
[00:00:00.040 --> 00:00:20.560]   Thank you so much for coming. My name is Gabriela de Queiroz. I work at Microsoft,
[00:58:30.640 --> 00:58:38.720]   So we give workshops and talks all the time and we want to improve, right? But don't say like, oh, I wish the wifi was better.
[00:58:38.720 --> 00:58:48.400]   Sure. Yeah. But this is out of control, right? So if you can take a picture, I would really appreciate any feedback that you have for us to improve or to make this.
[00:58:48.400 --> 00:58:53.760]   This is like very dense, this workshop, like there is a lot, uh, we try to compress.
[00:58:53.760 --> 00:58:59.040]   So you have like a lot of like materials that you can go and work by yourself.
[00:58:59.040 --> 00:59:16.120]   Um, yes. So I have one of the questions for people who are like either working at a startup or like want to build a startup or are currently a founder of a startup would love to know what are some of the use cases that you're working on.
[00:59:16.120 --> 00:59:21.720]   And does it like closely relate to any of the AI templates that we showed today?
[00:59:21.720 --> 00:59:24.200]   If not, like tell us more because this is not the only templates.
[00:59:24.200 --> 00:59:33.200]   This is just like three of the examples that we showed in the, for the workshop, there's tons of more AI templates available on the GitHub repository.
[00:59:33.200 --> 00:59:44.880]   But for now, like would love to learn more about like, you know, some of the use cases that you're working on or you're interested in building and maybe like, you know, we can, we can answer some specific questions.
[00:59:44.880 --> 00:59:50.080]   So it's, is somebody interested in sharing a use case that they have?
[00:59:50.080 --> 00:59:59.160]   But yeah, like really appreciate if you have any questions. Yeah. Any like examples.
[00:59:59.160 --> 01:00:09.360]   Uh, so one thing that it's, it's a good practice now that I'm seeing is when you open code spaces, you are paying for it.
[01:00:09.360 --> 01:00:19.280]   So make sure that you either pause it or you delete it. Otherwise your GitHub account, uh,
[01:00:19.280 --> 01:00:28.640]   Yeah, you have 60 hours for free, but right every month, I guess, but make sure that, uh, if you go to github.com slash code spaces,
[01:00:28.640 --> 01:00:32.440]   you can see everything that is running because I saw someone had like three or four or five.
[01:00:32.440 --> 01:00:47.680]   So, so pay attention to that. Uh, so you don't, I don't, you can, you can expect, you can set, you can, can I, can I do a hip?
[01:00:47.680 --> 01:00:56.040]   You can set up like, you can say in my case, if, if it's like, I'm not using for more than 30 hours, I just shut down automatically.
[01:00:56.040 --> 01:01:02.160]   Uh, but it's something that sometimes you forget. Um,
[01:01:02.160 --> 01:01:10.040]   Yeah. So make sure that let's see how many Pamela has. Pamela has a bunch of them running as you can see.
[01:01:10.040 --> 01:01:20.520]   Yeah. So yeah, quite a few people are actually using this in production, which, um, at first we were a little surprised by because originally it was a sample, but now we've really hardened it.
[01:01:20.520 --> 01:01:31.880]   Uh, so people are using it for public facing stuff like, um, government websites using it because governments have lots of PDFs and documents and it's hard to sort through their stuff. Right. So making it easier for,
[01:01:31.880 --> 01:01:53.760]   citizens to interact with government data is one use case. The other big one is internal HR stuff or internal meeting transcripts. Um, like being able to look through all the transcripts and ask like, you know, what did the CEO say then? Um, uh, internal sales training manuals. Like there's, there's like, there's so many people using it for lots of things.
[01:01:53.760 --> 01:02:15.760]   Yeah. So in terms of being able to automatically update the index, like you just had it in manual ingestion. Um, but you could use instead integrated vectorization, which is an AI search, uh, option where you set up an indexer. So you would point it at like a blob storage, your, uh, blob storage and say, Hey, every time this updates, every five minutes, make sure you refresh the index. And then it would, uh,
[01:02:15.760 --> 01:02:22.760]   refresh it. Uh, so that would be one option or you could use like an Azure function with a trigger. And that's, uh,
[01:02:22.760 --> 01:02:29.760]   there's another, uh, there's another repo that does that. Uh, it's the chat with your data solution accelerator repo. And this one sets up an Azure function that has a trigger. So, um, you've got a few different options for how you could keep it updated. Uh, people just figure out what's, you know, what works out for them.
[01:02:29.760 --> 01:02:39.760]   Cool. Thank you so much. Yeah.
[01:02:39.760 --> 01:02:42.760]   Thank you so much. Yeah.
[01:02:42.760 --> 01:02:44.760]   Thank you.
[01:02:44.760 --> 01:02:49.760]   Um, you've got a few different options for how you could keep it updated. Uh, people just figure out what's, you know, what works out for them.
[01:02:49.760 --> 01:02:52.760]   Uh, people just figure out what's, you know, what works out for them.
[01:02:52.760 --> 01:02:55.760]   Cool. Thank you so much.
[01:02:55.760 --> 01:02:56.760]   Yeah.
[01:02:56.760 --> 01:02:57.760]   Thank you.
[01:02:57.760 --> 01:02:58.760]   Sure.
[01:02:58.760 --> 01:02:59.760]   Thank you.
[01:02:59.760 --> 01:03:00.760]   Thank you.
[01:03:00.760 --> 01:03:01.760]   Thank you.
[01:03:01.760 --> 01:03:02.760]   Thank you.
[01:03:02.760 --> 01:03:03.760]   Thank you.
[01:03:03.760 --> 01:03:04.760]   Thank you.
[01:03:04.760 --> 01:03:05.760]   Thank you.
[01:03:05.760 --> 01:03:06.760]   Thank you.
[01:03:06.760 --> 01:03:07.760]   Thank you.
[01:03:07.760 --> 01:03:08.760]   Thank you.
[01:03:08.760 --> 01:03:09.760]   Thank you.
[01:03:09.760 --> 01:03:10.760]   Thank you.
[01:03:10.760 --> 01:03:11.760]   Thank you.
[01:03:11.760 --> 01:03:11.760]   Thank you.
[01:03:11.760 --> 01:03:12.760]   Thank you.
[01:03:12.760 --> 01:03:13.760]   Thank you.
[01:03:13.760 --> 01:03:14.760]   Thank you.
[01:03:14.760 --> 01:03:19.060]   We'll see you next time.

