
[00:00:00.000 --> 00:00:01.400]   Let's bring him out.
[00:26:56.360 --> 00:26:57.580]   I mean, clearly, it's working.
[00:26:57.580 --> 00:27:00.220]   I think that no one cares about your guys' thumbnails.
[00:27:00.220 --> 00:27:02.380]   I think the big thing is the value you guys provide
[00:27:02.380 --> 00:27:03.700]   and that it's a--
[00:27:03.700 --> 00:27:05.740]   Should we not close our mouths now in thumbnails?
[00:27:05.740 --> 00:27:06.380]   Oh, you should.
[00:27:06.380 --> 00:27:07.060]   Are the mouths open?
[00:27:07.060 --> 00:27:07.900]   Yeah, the mouths are open.
[00:27:07.900 --> 00:27:08.380]   Oh, yeah.
[00:27:08.380 --> 00:27:08.820]   I would close them.
[00:27:08.820 --> 00:27:10.380]   I mean, there's something different about--
[00:27:10.380 --> 00:27:10.900]   James, another--
[00:27:10.900 --> 00:27:11.940]   --each week of--
[00:27:11.940 --> 00:27:14.260]   Especially for this age group, definitely close them.
[00:27:14.260 --> 00:27:14.760]   Well, no.
[00:27:14.760 --> 00:27:15.460]   I mean, there's--
[00:27:15.460 --> 00:27:15.960]   [LAUGHTER]
[00:27:15.960 --> 00:27:17.140]   No one wants to see a shock--
[00:27:17.140 --> 00:27:20.380]   There's something distinctly different about what you do.
[00:27:20.380 --> 00:27:22.260]   Every week, it's something new.
[00:27:22.260 --> 00:27:23.700]   It's something original.
[00:27:23.700 --> 00:27:26.180]   We're trying to have a conversation, McLaughlin group--
[00:27:26.180 --> 00:27:26.680]   Of course.
[00:27:26.680 --> 00:27:27.420]   --kind of format.
[00:27:27.420 --> 00:27:29.740]   So I think some of those tips don't work.
[00:27:29.740 --> 00:27:32.420]   But our audience on YouTube, I think,
[00:27:32.420 --> 00:27:36.360]   now will exceed what we're doing in podcasting, ultimately.
[00:27:36.360 --> 00:27:40.700]   Because it does seem that people like to watch us and put it
[00:27:40.700 --> 00:27:41.700]   on in the background.
[00:27:41.700 --> 00:27:42.580]   So we're seeing that.
[00:27:42.580 --> 00:27:43.620]   I think we have 380,000.
[00:27:43.620 --> 00:27:44.380]   You guys are doing great.
[00:27:44.380 --> 00:27:46.020]   To be honest, I remember when you first started it.
[00:27:46.020 --> 00:27:48.060]   And I was like, oh, this is an interesting combo.
[00:27:48.060 --> 00:27:48.740]   But it works.
[00:27:48.740 --> 00:27:51.220]   [LAUGHTER]
[00:27:51.220 --> 00:27:53.460]   And whenever something weird in the world happens,
[00:27:53.460 --> 00:27:55.760]   I'm like, oh, I'm going to go see what they think of it.
[00:27:55.760 --> 00:27:56.580]   It's cool.
[00:27:56.580 --> 00:27:57.580]   Where do you see this--
[00:27:57.580 --> 00:27:59.540]   We met Jimmy at poker, by the way.
[00:27:59.540 --> 00:28:00.540]   Do you think we could--
[00:28:00.540 --> 00:28:02.860]   No, where do you think this is going to be in 20 years?
[00:28:02.860 --> 00:28:03.940]   What, your podcast?
[00:28:03.940 --> 00:28:04.440]   You.
[00:28:04.440 --> 00:28:06.180]   [LAUGHTER]
[00:28:06.180 --> 00:28:08.220]   No, I mean, we have an idea where this is going.
[00:28:08.220 --> 00:28:10.300]   I don't know where this would be in 20 days, I'll tell you.
[00:28:10.300 --> 00:28:13.020]   Actually, to be honest, the only thing in front of us right now
[00:28:13.020 --> 00:28:16.500]   are The Daily from The New York Times,
[00:28:16.500 --> 00:28:19.380]   A Priest Reading the Bible, and Serial Killer Podcast.
[00:28:19.380 --> 00:28:20.620]   Serial Killer Podcast.
[00:28:20.620 --> 00:28:22.380]   I mean, it's really not much ahead of us.
[00:28:22.380 --> 00:28:24.740]   All our podcasts are in news.
[00:28:24.740 --> 00:28:26.780]   All podcasting, those are the three ahead of us.
[00:28:26.780 --> 00:28:27.280]   Yeah.
[00:28:27.280 --> 00:28:31.100]   And just to build on J-Kal's question,
[00:28:31.100 --> 00:28:34.660]   do you feel pressure to elongate the content?
[00:28:34.660 --> 00:28:37.300]   Or you feel like you've optimized now the amount of time
[00:28:37.300 --> 00:28:38.900]   where you maximize viewership?
[00:28:38.900 --> 00:28:39.660]   Well, yeah.
[00:28:39.660 --> 00:28:40.780]   I mean, that's actually something we've
[00:28:40.780 --> 00:28:42.080]   been focused on a lot recently.
[00:28:42.080 --> 00:28:44.780]   I think the problem is people are like, we waited two weeks,
[00:28:44.780 --> 00:28:46.380]   and it was just 15 minutes of content.
[00:28:46.380 --> 00:28:48.580]   And they actually get annoyed when it's too short.
[00:28:48.580 --> 00:28:50.220]   So we're working on elongating it,
[00:28:50.220 --> 00:28:52.220]   but not because of algorithms or anything.
[00:28:52.220 --> 00:28:54.020]   It's just like people just actually
[00:28:54.020 --> 00:28:56.660]   don't like waiting two weeks for just 15 minutes of content.
[00:28:56.660 --> 00:28:59.220]   They want more or more frequent videos.
[00:28:59.220 --> 00:29:01.500]   And the problem is the spectacles are so big,
[00:29:01.500 --> 00:29:04.420]   it's much easier just to make it longer than do a whole new one
[00:29:04.420 --> 00:29:05.580]   to upload more.
[00:29:05.580 --> 00:29:07.860]   So yeah, they're naturally getting longer and longer
[00:29:07.860 --> 00:29:08.360]   right now.
[00:29:08.360 --> 00:29:11.460]   I wonder if you did a behind the scenes on the off week
[00:29:11.460 --> 00:29:12.660]   and just had another group.
[00:29:12.660 --> 00:29:14.460]   Because I was watching the one you did where
[00:29:14.460 --> 00:29:17.420]   you were all on a raft.
[00:29:17.420 --> 00:29:17.940]   Yeah.
[00:29:17.940 --> 00:29:19.460]   And you decided to torture your team.
[00:29:19.460 --> 00:29:21.540]   We spent seven days on a raft in the ocean.
[00:29:21.540 --> 00:29:22.460]   I mean, it was torture.
[00:29:22.460 --> 00:29:23.800]   I mean, it was painful to watch.
[00:29:23.800 --> 00:29:25.340]   But a behind the scenes of that done
[00:29:25.340 --> 00:29:27.740]   by another group of video editors on the off week,
[00:29:27.740 --> 00:29:29.180]   I bet you would do as many views.
[00:29:29.180 --> 00:29:29.700]   Yeah.
[00:29:29.700 --> 00:29:32.180]   The thing is, though, the mystery is part of what's cool.
[00:29:32.180 --> 00:29:34.420]   How does this random YouTuber give a million dollars
[00:29:34.420 --> 00:29:36.460]   away to someone on the street or things like that?
[00:29:36.460 --> 00:29:39.860]   So part of it is them not knowing how it's even possible
[00:29:39.860 --> 00:29:41.460]   is why it's so interesting.
[00:29:41.460 --> 00:29:43.660]   And they click on it, if that makes sense.
[00:29:43.660 --> 00:29:47.220]   Can you talk a little bit about the point of view
[00:29:47.220 --> 00:29:50.700]   where folks say content creators on YouTube have an audience.
[00:29:50.700 --> 00:29:51.900]   And that audience ages out.
[00:29:51.900 --> 00:29:53.060]   And then they lose that audience.
[00:29:53.060 --> 00:29:55.780]   And how you've continued to be able to grow your audience.
[00:29:55.780 --> 00:29:55.940]   Yeah.
[00:29:55.940 --> 00:29:56.300]   Well, everything is--
[00:29:56.300 --> 00:29:57.060]   Even though some of the folks you started with
[00:29:57.060 --> 00:29:57.780]   have gotten older.
[00:29:57.780 --> 00:29:58.540]   Yeah.
[00:29:58.540 --> 00:30:04.420]   The problem is there's no one size fits all advice.
[00:30:04.420 --> 00:30:06.900]   And so obviously, if we're talking to someone who
[00:30:06.900 --> 00:30:09.860]   unboxes toys, their audience is going to grow.
[00:30:09.860 --> 00:30:11.860]   And there's nothing they can do about it.
[00:30:11.860 --> 00:30:15.500]   But for us, ideally, one day you guys
[00:30:15.500 --> 00:30:17.420]   aren't going to be like, oh, my kid loves you.
[00:30:17.420 --> 00:30:19.660]   You'll be like, I also like your content.
[00:30:19.660 --> 00:30:23.020]   But we try to make content that no matter what age you are,
[00:30:23.020 --> 00:30:23.700]   you'll enjoy it.
[00:30:23.700 --> 00:30:24.660]   So usually they don't--
[00:30:24.660 --> 00:30:26.660]   Who here personally watches Beast?
[00:30:26.660 --> 00:30:27.220]   Yeah.
[00:30:27.220 --> 00:30:27.700]   Oh.
[00:30:27.700 --> 00:30:28.420]   More than I would have thought.
[00:30:28.420 --> 00:30:28.660]   Oh, yeah.
[00:30:28.660 --> 00:30:29.180]   Us too.
[00:30:29.180 --> 00:30:29.780]   Appreciate it.
[00:30:29.780 --> 00:30:31.180]   All right, everybody.
[00:30:31.180 --> 00:30:31.860]   Jimmy Donaldson.
[00:30:31.860 --> 00:30:33.700]   And the timer says 25 seconds.
[00:30:33.700 --> 00:30:34.420]   Oh, we went over.
[00:30:34.420 --> 00:30:35.220]   We went over.
[00:30:35.220 --> 00:30:36.060]   We gave you an extra.
[00:30:36.060 --> 00:30:36.700]   Over 25 seconds.
[00:30:36.700 --> 00:30:38.060]   Well, you can stay up here if you want.
[00:30:38.060 --> 00:30:39.980]   We're going to take questions from the audience.
[00:30:39.980 --> 00:30:41.700]   I'll take a question from the audience.
[00:30:41.700 --> 00:30:42.820]   I flew out here for this.
[00:30:42.820 --> 00:30:43.700]   Let's do some more.
[00:30:43.700 --> 00:30:43.940]   OK.
[00:30:43.940 --> 00:30:45.360]   I'm going to moderate the question.
[00:30:45.360 --> 00:30:47.500]   Raise your hand.
[00:30:47.500 --> 00:30:51.380]   How do you stay consistent with executing so frequently?
[00:30:51.380 --> 00:30:53.460]   I think that's the hardest thing for entrepreneurs.
[00:30:53.460 --> 00:30:53.780]   I'll repeat.
[00:30:53.780 --> 00:30:54.340]   I'm going to repeat.
[00:30:54.340 --> 00:30:54.780]   I can.
[00:30:54.780 --> 00:30:55.420]   I'll repeat it.
[00:30:55.420 --> 00:30:58.540]   So he asked, how do you stay so consistent with what?
[00:30:58.540 --> 00:30:59.500]   With your execution.
[00:30:59.500 --> 00:31:00.500]   [LAUGHTER]
[00:31:00.500 --> 00:31:01.980]   With your incredible execution.
[00:31:01.980 --> 00:31:02.980]   It's so hard.
[00:31:02.980 --> 00:31:04.660]   You have to spot on all the time.
[00:31:04.660 --> 00:31:05.300]   Yeah.
[00:31:05.300 --> 00:31:07.860]   He said, how do you be so consistent with execution,
[00:31:07.860 --> 00:31:09.900]   spot on all the time?
[00:31:09.900 --> 00:31:12.620]   So the thing is, you just have to obviously just train
[00:31:12.620 --> 00:31:13.300]   great people.
[00:31:13.300 --> 00:31:15.100]   Because if you're doing everything yourself,
[00:31:15.100 --> 00:31:16.980]   eventually you're going to burn out, get different interests,
[00:31:16.980 --> 00:31:17.700]   blah, blah, blah.
[00:31:17.700 --> 00:31:21.700]   And so I actually-- my top people, I bought a house,
[00:31:21.700 --> 00:31:23.620]   and we all lived together for years.
[00:31:23.620 --> 00:31:26.100]   I just kind of trained them to think like me and see
[00:31:26.100 --> 00:31:26.820]   the world like me.
[00:31:26.820 --> 00:31:31.420]   And so my top probably 12 people, 95% of the time,
[00:31:31.420 --> 00:31:33.860]   if you ask them something and ask me in different rooms,
[00:31:33.860 --> 00:31:35.220]   we'll give the exact same answer.
[00:31:35.220 --> 00:31:36.420]   And the other 5% of the time will just
[00:31:36.420 --> 00:31:37.580]   be very slightly different.
[00:31:37.580 --> 00:31:39.260]   Have you thrown away a video because you
[00:31:39.260 --> 00:31:40.260]   were unsatisfied with it?
[00:31:40.260 --> 00:31:40.780]   Oh, of course.
[00:31:40.780 --> 00:31:41.500]   All the time.
[00:31:41.500 --> 00:31:42.540]   That happens all the time.
[00:31:42.540 --> 00:31:42.780]   Yeah.
[00:31:42.780 --> 00:31:44.180]   So out of 10 videos, how many would be--
[00:31:44.180 --> 00:31:46.940]   Well, the thing is, if you want to build viewership
[00:31:46.940 --> 00:31:48.980]   over time, if you want to go from 10 million to 20 million
[00:31:48.980 --> 00:31:50.460]   views a video to 30 million views a video,
[00:31:50.460 --> 00:31:52.860]   you just have to get it where every time they show up,
[00:31:52.860 --> 00:31:53.580]   they're happy.
[00:31:53.580 --> 00:31:55.260]   They feel like they got value out of it.
[00:31:55.260 --> 00:31:57.340]   It's like it was worth their time and investment.
[00:31:57.340 --> 00:32:00.740]   So yeah, if something's not good and they click on it,
[00:32:00.740 --> 00:32:03.540]   then they're less likely to click on future videos.
[00:32:03.540 --> 00:32:05.460]   To grow viewership like that, it has to be--
[00:32:05.460 --> 00:32:06.540]   Want to take a second one?
[00:32:06.540 --> 00:32:07.180]   Yeah, take one.
[00:32:07.180 --> 00:32:08.540]   Right here.
[00:32:08.540 --> 00:32:10.500]   When I hear you talk, you're amazing.
[00:32:10.500 --> 00:32:11.460]   You're very uptight.
[00:32:11.460 --> 00:32:13.460]   And you've obviously accomplished a lot.
[00:32:13.460 --> 00:32:16.460]   I'm just curious, how do you keep your--
[00:32:16.460 --> 00:32:17.940]   how do you keep your ego?
[00:32:17.940 --> 00:32:20.460]   So here's a talk you developed with a guy
[00:32:20.460 --> 00:32:21.460]   you can back it up to.
[00:32:21.460 --> 00:32:22.460]   And it's pretty great.
[00:32:22.460 --> 00:32:23.460]   And it's very casual.
[00:32:23.460 --> 00:32:24.460]   Thank you.
[00:32:24.460 --> 00:32:25.940]   And it's all building to our business.
[00:32:25.940 --> 00:32:26.940]   So how do you--
[00:32:26.940 --> 00:32:29.460]   Here, you repeat the question.
[00:32:29.460 --> 00:32:30.940]   I don't know how to repeat that one.
[00:32:30.940 --> 00:32:32.140]   Not as easy as it looks, huh?
[00:32:32.140 --> 00:32:33.140]   That's how he does it.
[00:32:33.140 --> 00:32:36.380]   He would like to know how you're a normal person
[00:32:36.380 --> 00:32:39.660]   and you stay so authentic given this incredible--
[00:32:39.660 --> 00:32:40.460]   Keep your humility.
[00:32:40.460 --> 00:32:41.460]   Yeah, how do you keep your humility?
[00:32:41.460 --> 00:32:42.060]   And stay humble, yeah.
[00:32:42.060 --> 00:32:43.260]   Well, I think the beauty of it is I usually
[00:32:43.260 --> 00:32:44.940]   spend 99% of my time in my studio.
[00:32:44.940 --> 00:32:45.940]   So I don't really--
[00:32:45.940 --> 00:32:47.940]   Like, the 100 million number on the video
[00:32:47.940 --> 00:32:49.940]   just looks like pixels on a screen.
[00:32:49.940 --> 00:32:51.460]   Like, I don't really experience it that much.
[00:32:51.460 --> 00:32:53.460]   So I think that's kind of the best part.
[00:32:53.460 --> 00:32:55.460]   How do you walk through an airport these days
[00:32:55.460 --> 00:32:58.460]   or walk, you know, through a city?
[00:32:58.460 --> 00:33:00.460]   It is pretty crazy, huh?
[00:33:00.460 --> 00:33:01.460]   I was really worried about getting you here.
[00:33:01.460 --> 00:33:03.460]   I kept asking them, how are we going to get him
[00:33:03.460 --> 00:33:04.460]   through LAX?
[00:33:04.460 --> 00:33:05.460]   I don't understand how this is going to happen.
[00:33:05.460 --> 00:33:06.460]   Well, that's--
[00:33:06.460 --> 00:33:08.460]   The thing is you throw a hood on and wear some glasses.
[00:33:08.460 --> 00:33:10.460]   And you're pretty good.
[00:33:10.460 --> 00:33:13.460]   And you just don't talk out loud or anything like that.
[00:33:13.460 --> 00:33:14.460]   So--
[00:33:14.460 --> 00:33:15.460]   Same thing.
[00:33:15.460 --> 00:33:17.460]   All right, everybody, give it up for Jimmy Donaldson.
[00:33:17.460 --> 00:33:18.460]   Thank you.
[00:33:18.460 --> 00:33:19.460]   [APPLAUSE]
[00:33:19.460 --> 00:33:20.460]   That was fun.
[00:33:20.460 --> 00:33:21.460]   That was awesome.
[00:33:21.460 --> 00:33:22.460]   [MUSIC - JIMMY DONALDSON, "I'M GOING ALL IN"]
[00:33:22.460 --> 00:33:24.460]   I'm going all in.
[00:33:24.460 --> 00:33:27.460]   Let your winter slide.
[00:33:27.460 --> 00:33:30.460]   Rain man David Sasson.
[00:33:30.460 --> 00:33:31.460]   I'm going all in.
[00:33:31.460 --> 00:33:32.460]   And it said--
[00:33:32.460 --> 00:33:33.460]   We open sourced it to the fans.
[00:33:33.460 --> 00:33:35.460]   And they've just gone crazy with it.
[00:33:35.460 --> 00:33:36.460]   Love you, Wesley.
[00:33:36.460 --> 00:33:38.460]   I'm the queen of Kinwan.
[00:33:38.460 --> 00:33:40.460]   I'm going all in.
[00:33:40.460 --> 00:33:43.460]   Let your winter slide.
[00:33:43.460 --> 00:33:44.460]   Rain man David Sasson.
[00:33:44.460 --> 00:33:45.460]   Besties are gone.
[00:33:45.460 --> 00:33:46.460]   [LAUGHTER]
[00:33:46.460 --> 00:33:49.460]   That's my dog taking a noise in your driveway.
[00:33:49.460 --> 00:33:50.460]   [LAUGHTER]
[00:33:50.460 --> 00:33:51.460]   Oh, man.
[00:33:51.460 --> 00:33:52.460]   Oh, man.
[00:33:52.460 --> 00:33:54.460]   My athetaster will meet me at place.
[00:33:54.460 --> 00:33:57.460]   We should all just get a room and just have one big huge orgy
[00:33:57.460 --> 00:33:58.460]   because they're all just useless.
[00:33:58.460 --> 00:34:00.460]   It's like this sexual tension that we just
[00:34:00.460 --> 00:34:02.460]   need to release somehow.
[00:34:02.460 --> 00:34:04.460]   Let the beat.
[00:34:04.460 --> 00:34:05.460]   Let your beat.
[00:34:05.460 --> 00:34:06.460]   Let your beat.
[00:34:06.460 --> 00:34:07.460]   Beat.
[00:34:07.460 --> 00:34:08.460]   That's going to be good.
[00:34:08.460 --> 00:34:09.460]   We need to get merch.
[00:34:09.460 --> 00:34:10.460]   Besties are back.
[00:34:10.460 --> 00:34:11.460]   I'm going all in.
[00:34:11.460 --> 00:34:20.500]   I'm going all in.
[00:34:20.500 --> 00:34:22.580]   you

