
[00:00:00.000 --> 00:00:02.000]   New on CuriosityStream.
[00:54:27.000 --> 00:54:28.000]   And that's it.
[00:54:28.000 --> 00:54:45.000]   You know, it's a 2017 Prius, which I used to drive for Lyft. So I'm not sure how much it's worth. It's not worth more than, I don't know, $20,000, I figure.
[00:54:45.000 --> 00:54:50.000]   Okay. And what was the source of the credit card debt? What did you buy?
[00:54:50.000 --> 00:54:55.000]   A bunch of stuff that I don't need.
[00:54:55.000 --> 00:54:59.000]   Do you still have any of the stuff that you could sell?
[00:54:59.000 --> 00:55:14.000]   Not a whole lot. Not a whole lot, really. I mean, I am working on that on the side as far as putting stuff online to sell. For the last two months, haven't really sold anything. There's not much of an interest on that.
[00:55:14.000 --> 00:55:20.000]   And in the last, when did you and your wife marry? How long ago?
[00:55:20.000 --> 00:55:23.000]   Two years ago.
[00:55:23.000 --> 00:55:29.000]   And in the last year, how much debt have you and she paid off?
[00:55:29.000 --> 00:55:37.000]   Well, I just want to make sure that it's clear that she doesn't own any of my debts. Those $31,000 is all mine.
[00:55:37.000 --> 00:55:38.000]   Understood.
[00:55:38.000 --> 00:55:42.000]   And I paid off $2,000 so far.
[00:55:42.000 --> 00:55:49.000]   So in the last year, you've paid off $2,000 of your balance. A year ago, your balance was $33,000, and today it's $31,000?
[00:55:49.000 --> 00:55:50.000]   Correct, sir.
[00:55:50.000 --> 00:55:51.000]   Okay.
[00:55:51.000 --> 00:55:52.000]   Correct, sir.
[00:55:52.000 --> 00:56:13.000]   When you clarified that your wife doesn't own that debt, were you simply clarifying that you were the one who made those initial charges, or were you indicating that she financially does not contribute to the payments of the debt, rather that all of the debt payments are coming out of your share of the household income?
[00:56:13.000 --> 00:56:16.000]   Both statements are true.
[00:56:16.000 --> 00:56:23.000]   Okay. What does she think and feel about the credit card debt then?
[00:56:23.000 --> 00:56:37.000]   She doesn't like it. It's my fault. I mean, when I was listening to your previous podcast, one of the things you mentioned is actually having an emergency fund.
[00:56:37.000 --> 00:56:52.000]   So when we got together – she actually just started working earlier this year. So when she started working, I was like, "Hey, we want to set up an emergency fund." So her income was just trying to stack up.
[00:56:52.000 --> 00:57:04.000]   How much total savings do both of you together have currently?
[00:57:04.000 --> 00:57:07.000]   Currently, I want to say $12,000.
[00:57:07.000 --> 00:57:15.000]   Okay. And of that $12,000, how much has been saved from her earnings with her new job?
[00:57:15.000 --> 00:57:20.000]   It's actually all $12,000 is from her new job, her earnings.
[00:57:20.000 --> 00:57:21.000]   Okay.
[00:57:21.000 --> 00:57:28.000]   My income is just basically paid for all the bills and my credit card debt.
[00:57:28.000 --> 00:57:36.000]   Got it. So when were you and she hoping to have children? What's your timeline?
[00:57:36.000 --> 00:57:43.000]   We're hoping in a year. So yeah, end of 2019.
[00:57:43.000 --> 00:57:52.000]   And in terms of the actual terms of your credit cards, what are the current interest rates and how many cards do you have?
[00:57:52.000 --> 00:58:00.000]   I have five credit cards and basically they're all within 10% to 11% interest.
[00:58:00.000 --> 00:58:07.000]   Do you know what your credit score is?
[00:58:07.000 --> 00:58:11.000]   700 max. I don't remember the latest. Sorry.
[00:58:11.000 --> 00:58:21.000]   And you owe a total balance of $31,000. Do you know what your total available credit is across all of your credit cards?
[00:58:21.000 --> 00:58:28.000]   My highest one is 15 and the next one is 10 and then it's like $6,000 and $3,000.
[00:58:28.000 --> 00:58:43.000]   So $15,000 plus $10,000 plus $6,000. Oh, my calculator died just a moment. $15,000 plus $10,000 plus let's do this manually, six plus three.
[00:58:43.000 --> 00:58:49.000]   So about $35,000 then of total available credit. Is that right?
[00:58:49.000 --> 00:58:51.000]   Pretty close. Yeah, pretty close.
[00:58:51.000 --> 00:59:05.000]   So here are some suggestions for you to consider and I'll just give them to you in the order that they come to my mind and they'll start from big picture to specifics.
[00:59:05.000 --> 00:59:17.000]   First, the situation that you're in with regard to being married and yet having a different financial background is a difficult situation to be in.
[00:59:17.000 --> 00:59:21.000]   And some people, different people approach this type of situation differently.
[00:59:21.000 --> 00:59:29.000]   Some people say, well, it was my credit card debt. I had it before we were married, so I'm just going to do it and I'm going to pay it all off.
[00:59:29.000 --> 00:59:37.000]   Unfortunately, even if you were to actually follow through on that financially, it is impossible.
[00:59:37.000 --> 00:59:43.000]   In my opinion, it is impossible for there to ever be an exclusive embrace of responsibility.
[00:59:43.000 --> 00:59:47.000]   It's not possible that you would just be the one to pay it off.
[00:59:47.000 --> 01:00:00.000]   No matter what decision you make, even if your wife saves every dollar that she earns, and even if you put every dollar that you earn towards the credit card debt, there is still going to be a joint bearing of responsibility.
[01:00:00.000 --> 01:00:06.000]   When you're out driving Lyft at night and on the weekends, that means that you're not home cuddling on the couch with her.
[01:00:06.000 --> 01:00:09.000]   Thus, she's bearing a part of the cost.
[01:00:09.000 --> 01:00:14.000]   When you're out working, you're not doing other things that could be doing.
[01:00:14.000 --> 01:00:28.000]   When you're spending money from your income and you're putting that money towards debt repayment, that's by definition money that's not being saved for your future children, or that's not being saved for you to buy a house to live in together, etc.
[01:00:28.000 --> 01:00:36.000]   So in general, I hate to hear of husbands and wives who have different financial priorities and different goals.
[01:00:36.000 --> 01:00:47.000]   Now, I do think it's healthy for you to discuss with her what were the specific actions and responsibilities that led to your current financial situation.
[01:00:47.000 --> 01:00:53.000]   It's healthy for you to bear the responsibility and say, "I made bad financial decisions."
[01:00:53.000 --> 01:00:59.000]   And it's healthy for you to acknowledge that, at least by the information that you've shared with me, your wife did not.
[01:00:59.000 --> 01:01:08.000]   That's worth acknowledging both to her and to yourself and to anybody else who's involved just so you can have a clear idea of what's involved.
[01:01:08.000 --> 01:01:14.000]   But the reality is, when you married your wife, you married her for better or for worse.
[01:01:14.000 --> 01:01:20.000]   When you married your wife, you married her and agreed to take on all of your lives together.
[01:01:20.000 --> 01:01:30.000]   So if you have some kind of physical ailment, she doesn't get to look at your physical ailment and say, "Well, my husband is handicapped, so that's his problem. I'm not going to take responsibility for it."
[01:01:30.000 --> 01:01:38.000]   Or let's say that your wife has some kind of psychological problem. You don't get to look at her and say, "Well, that's your psychological problem. I don't have to deal with it."
[01:01:38.000 --> 01:01:42.000]   And so why is it any different when it comes down to your financial history?
[01:01:42.000 --> 01:01:48.000]   She can't look at you and say, "Well, you've got $31,000 of credit card debt. That's your problem. You've got to deal with it."
[01:01:48.000 --> 01:01:51.000]   That is a recipe for disaster. That's a recipe for divorce.
[01:01:51.000 --> 01:01:56.000]   When you marry, you unequivocally, unreservedly commit yourself to another person.
[01:01:56.000 --> 01:02:00.000]   And that means all of the good things and all of the bad things.
[01:02:00.000 --> 01:02:07.000]   And unfortunately, I think it's very unhealthy that we even indulge for a moment this idea that, "Well, you have your debt and my debt."
[01:02:07.000 --> 01:02:13.000]   Well, whose money is it if you inherit a million dollars? Is it your money or is it her money?
[01:02:13.000 --> 01:02:16.000]   Now, there is a level at which legally there are some distinctions.
[01:02:16.000 --> 01:02:29.000]   So, for example, if you and she were to divorce, then the divorce court will understand and will pay attention to whose debt it was and who had an inheritance and who owned what assets, etc.
[01:02:29.000 --> 01:02:33.000]   But I think that's a recipe for disaster, and you should never even consider that in your thinking.
[01:02:33.000 --> 01:02:38.000]   Rather, both you and she should be absolutely unreservedly committed to us.
[01:02:38.000 --> 01:02:45.000]   When you marry, I'm convinced there is no more room for yours and mine. There is ours.
[01:02:45.000 --> 01:03:03.000]   Now, that's hard because those feelings, for example, your feelings of inferiority for your bad financial decisions in the past, perhaps her feelings of lack of trust and confidence in your financial acumen and your willingness to make good decisions, those feelings don't just go away because you think they should.
[01:03:03.000 --> 01:03:04.000]   They're real.
[01:03:04.000 --> 01:03:07.000]   But in working through things together, you will be far stronger.
[01:03:07.000 --> 01:03:12.000]   And you'll be far stronger if you and she tackle it and say, "We're in this together."
[01:03:12.000 --> 01:03:24.000]   If your wife were to lose her job today or to get sick or hurt, you don't have the option of saying to her, "Sorry, honey, you're not working, so I'm not supporting you anymore. Pay up. Pony up."
[01:03:24.000 --> 01:03:26.000]   And the same way goes the other way.
[01:03:26.000 --> 01:03:34.000]   Just because you brought debt into the marriage, she doesn't have the option, in my opinion, of saying to you, "Sorry, honey, that's your problem. You've got to deal with it."
[01:03:34.000 --> 01:03:45.000]   Because if it's just your problem, you've got to deal with it, she's going to suffer now because you're going to be out working and she's going to be suffering in the future because, "Yeah, we want to go buy a house, but I can't because I have too much money. Sorry, too much debt," etc.
[01:03:45.000 --> 01:03:50.000]   And so the best way is in any way possible to tackle this together.
[01:03:50.000 --> 01:04:09.000]   Because together as a team, with both of you fully on board, with both of you contributing everything to the marriage, with both of you increasing the income for the household, with both of you reducing the expenses of the household, this will forge, this path of adversity can forge a deepness in your relationship that really can come no other way.
[01:04:09.000 --> 01:04:12.000]   My wife and I have been through financial problems since we married.
[01:04:12.000 --> 01:04:16.000]   I thought because I was a financial guru and a financial advisor, everything was going to be great.
[01:04:16.000 --> 01:04:24.000]   I made some stupid decisions and they were primarily my business decisions that I made earlier in life that took me a long time to fix.
[01:04:24.000 --> 01:04:28.000]   But in working through those, I took responsibility for them.
[01:04:28.000 --> 01:04:38.000]   But by collaborating and being committed to the same thing, it helps to build a forge and a bond of connection between us that can't come any other way.
[01:04:38.000 --> 01:04:46.000]   And in 2018, there's this idea that marriage should only happen when people are financially independent, when people are financially stable.
[01:04:46.000 --> 01:04:55.000]   And there's this idea that two perfect people come together and because two perfect people come together, they have this opportunity to somehow have this blissful relationship.
[01:04:55.000 --> 01:05:00.000]   That's absurd. Marriage is a matter of two people coming together who are clearly imperfect.
[01:05:00.000 --> 01:05:09.000]   And together as a team working through those things, learning from one another, helping one another, and together building a solid family forge.
[01:05:09.000 --> 01:05:18.000]   And oftentimes, as long as you have a strong foundation of commitment to one another, adversity and going through that period of adversity can ultimately prove strong for your relationship.
[01:05:18.000 --> 01:05:29.000]   So to whatever extent is possible, given your personality, your wife's personality, the specific successes in your relationship and the specific hurts in your relationship,
[01:05:29.000 --> 01:05:39.000]   I would encourage you together to brainstorm ideas together for you to take responsibility for the mistakes of the past, for her to take responsibility for the mistakes of her past.
[01:05:39.000 --> 01:05:44.000]   But to say, "Now that we are together, we are no longer two but one."
[01:05:44.000 --> 01:05:54.000]   That means that we make decisions together. There is no yours and mine. We are no longer two. We are one. There is no more you, me. There is only us.
[01:05:54.000 --> 01:06:01.000]   So we owe money. We owe $31,000 of debt. We have a family household income that comes in from these two jobs.
[01:06:01.000 --> 01:06:06.000]   We have family goals and we have family problems and we work through those things together.
[01:06:06.000 --> 01:06:16.000]   If you will build that foundation and if you will lead in setting that foundation, then together as a team, you can tackle these things really, really well and effectively and quickly.
[01:06:16.000 --> 01:06:21.000]   And the work is hard because it means you have to increase your income and you have to decrease your expenses.
[01:06:21.000 --> 01:06:26.000]   And all of those decisions of increasing your income and decreasing your expenses are going to come at a cost.
[01:06:26.000 --> 01:06:31.000]   It's going to come at a cost of additional time working. It's going to come at a cost of additional time studying.
[01:06:31.000 --> 01:06:40.000]   It's going to come at a cost of frugality. Your date nights are going to be a bottle of wine and a loaf of bread down at the local park instead of $100 dinner at the fancy Italian place.
[01:06:40.000 --> 01:06:42.000]   These things all come at a cost together.
[01:06:42.000 --> 01:06:56.000]   But if together you work together and you build an aggressive plan and you set a hard target and you encourage one another towards that date and you get together as a team, then you can bust out this $31,000 of debt really in short order.
[01:06:56.000 --> 01:07:03.000]   Now, that's all psychological stuff. But if that's there, you don't need anything else that's practical and tactical.
[01:07:03.000 --> 01:07:07.000]   You'll figure all that stuff out because the reality is the only way to get out of credit card debt is to pay it off.
[01:07:07.000 --> 01:07:21.000]   But if that foundation is lacking, then this road that you're on of you trying to say, "Well, I've got to pay it all off," this road that you're on will be very lonely and very difficult and will take a long time.
[01:07:21.000 --> 01:07:30.000]   And you will probably be frustrated if you're not in it together. You'll probably be frustrated because you may want to move from your expensive apartment to a cheaper apartment to save money.
[01:07:30.000 --> 01:07:36.000]   Or you might want to sell something. And your wife says, "No, you can't do that. You've got to figure out how to pay off your credit card debt without selling something."
[01:07:36.000 --> 01:07:54.000]   Well, you've got to work together on these things. So if you can solve that foundation where you and she can be united together as one, facing your collective financial problems as one, then you build a powerful team and you can work really well together.
[01:07:54.000 --> 01:08:13.000]   Now, moving on. Practically, the recipe and the path of paying off debt is very simple. You want to earn as much as you possibly can. And you want to spend as little as you possibly can. And you want to pay as aggressively on your debt as you possibly can.
[01:08:13.000 --> 01:08:26.000]   That's the path through this. Now, I am convinced that the best way to do it is, as long as your family decision will allow it, and I'll clarify that in just a moment, is to be an extremist.
[01:08:26.000 --> 01:08:40.000]   It's much easier to be an extremist for a short period of time and face hardship for a short period of time where you're focused and you're determined than it is to face moderate difficulty for a longer period of time.
[01:08:40.000 --> 01:08:54.000]   Now, I do hold here that there are things that are more important than money. So, for example, let's say that we're living in an expensive house or an expensive apartment and we're paying $2,000 a month of rent.
[01:08:54.000 --> 01:09:10.000]   And I think that, well, listen, we could just go and we could move into my parents' shed in their backyard and pay nothing in rent. I need to very carefully consider that financial decision in light of other circumstances of my life.
[01:09:10.000 --> 01:09:23.000]   So, for example, if my wife is on board with such a decision and she's willing to deal with the sacrifice of living in my parents' garden shed so we can put an extra $2,000 over the next six months and get out a credit card in six months, then we'll do it.
[01:09:23.000 --> 01:09:35.000]   But if she's not okay with that or I recognize that that would cause intense relational stress and that by putting her in that close proximity with my parents, I would be putting her in a difficult situation because of her stress or her relationship.
[01:09:35.000 --> 01:09:47.000]   Or if I'm, then I wouldn't do it. I'm not going to prioritize money over my wife. I'm not going to prioritize money over my family. I'm not going to prioritize money over what's morally right.
[01:09:47.000 --> 01:09:58.000]   So you should subject your financial decisions to that big picture decision-making tree. But then within that, go as extreme as you possibly can.
[01:09:58.000 --> 01:10:06.000]   And the best way to do this is going to be for you and she to look and say, "How much can we do to earn as much as possible?"
[01:10:06.000 --> 01:10:15.000]   Just a simple example, you can drive Lyft, but you have this car. So is she willing to drive Lyft as well?
[01:10:15.000 --> 01:10:22.000]   Maybe by keeping this car on the road full-time where either you're driving or she's driving and you're both working and then you're both getting sleep.
[01:10:22.000 --> 01:10:25.000]   Yeah, it's going to be hard, but we can increase our earnings by doing this.
[01:10:25.000 --> 01:10:34.000]   And then maybe you can lend the Lyft car out to your brother who also can earn and he pays you a royalty for the use of your car or however it works out.
[01:10:34.000 --> 01:10:41.000]   You then look at your job and you do everything you can in the context of your job to earn the most amount of money possible.
[01:10:41.000 --> 01:10:47.000]   Then you look at your expenses and together you look at your expenses and you say, "What can we do to cut our expenses?"
[01:10:47.000 --> 01:10:52.000]   So in looking at your expenses, there are things that both of you can contribute to.
[01:10:52.000 --> 01:10:59.000]   She may be really good at driving a long time and so you may love to cook.
[01:10:59.000 --> 01:11:02.000]   And so you say, "Okay, I'll cook and I'll do groceries and you drive."
[01:11:02.000 --> 01:11:09.000]   Now on the flip side, she may be able to look at your food budget and say, "Hey, this thing stinks. We're going to cut this from $700 to $150."
[01:11:09.000 --> 01:11:13.000]   And that's a contribution of her time together.
[01:11:13.000 --> 01:11:19.000]   So you look at it and you say, "How high can we get our income through working the maximum number of hours we can handle,
[01:11:19.000 --> 01:11:27.000]   through producing the most work per hour that we can handle, and by producing the most valuable work that we're capable of producing while we're working?"
[01:11:27.000 --> 01:11:32.000]   On our expenses, how low can we get our expenses within where we are right now?
[01:11:32.000 --> 01:11:35.000]   And then how much can we send towards our debt?
[01:11:35.000 --> 01:11:41.000]   Now tactically as well, then you look at your debt and you say, "You make a plan for what order should I pay off the debt?"
[01:11:41.000 --> 01:11:45.000]   In general, the order should include a number of different factors.
[01:11:45.000 --> 01:11:46.000]   One factor is the--
[01:11:46.000 --> 01:11:47.000]   So I may have a--
[01:11:47.000 --> 01:11:48.000]   Yeah, go ahead.
[01:11:48.000 --> 01:11:51.000]   So I may have a third option on this.
[01:11:51.000 --> 01:11:59.000]   But my question is, is there a benefit to consolidate my debt to a maybe lower interest and then try to pay that off?
[01:11:59.000 --> 01:12:04.000]   So a few years back, I actually inherited my parents' house.
[01:12:04.000 --> 01:12:07.000]   The house is still in payoffs under my name.
[01:12:07.000 --> 01:12:19.000]   But for whatever reason, I'm not qualified to take out a loan from the house as a second mortgage or something as a collateral.
[01:12:19.000 --> 01:12:26.000]   I think I have too much debt currently, and that may be part of the reason that I wasn't qualified.
[01:12:26.000 --> 01:12:30.000]   Right. So in general, I am very risk-averse.
[01:12:30.000 --> 01:12:31.000]   And so I would--
[01:12:31.000 --> 01:12:32.000]   So let's start with this.
[01:12:32.000 --> 01:12:38.000]   Is the house owned free and clear or does it have currently a mortgage on it?
[01:12:38.000 --> 01:12:39.000]   It's free and clear.
[01:12:39.000 --> 01:12:40.000]   Okay.
[01:12:40.000 --> 01:12:48.000]   I would not encumber an asset such as a free and clear house with debt in order to pay off an unsecured debt.
[01:12:48.000 --> 01:12:49.000]   I think that's a bad move.
[01:12:49.000 --> 01:12:51.000]   I would rather have the house free and clear--
[01:12:51.000 --> 01:12:52.000]   Thank you.
[01:12:52.000 --> 01:12:58.000]   --rather than--and have--and pay 15% interest on my credit cards than I would take out a loan on the house just to pay 5%.
[01:12:58.000 --> 01:13:04.000]   And this is where you have to look at how quickly you're actually going to pay off the debt.
[01:13:04.000 --> 01:13:12.000]   So if you're going to pay off debt slowly, you're going to pay off this $31,000 over the next 10 years, then your interest rates are a huge deal.
[01:13:12.000 --> 01:13:13.000]   Let me give you an example.
[01:13:13.000 --> 01:13:16.000]   You said that your interest rates are anywhere from 10% to 11%.
[01:13:16.000 --> 01:13:17.000]   So let's use 10%.
[01:13:17.000 --> 01:13:24.000]   So $31,000 of debt at 10% is $3,100 per year of interest.
[01:13:24.000 --> 01:13:35.000]   Now, if it takes you 10 years to pay off this debt, then holding everything constant, you would pay $31,000 of interest and also pay off this $31,000 of principal.
[01:13:35.000 --> 01:13:42.000]   Now, if you pick a year to pay off this debt, then you would pay off $31,000 of principal and $3,100 of interest.
[01:13:42.000 --> 01:13:55.000]   Now, if we change our interest rates down to 5%, then the difference between you're paying a 5% interest rate and a 10% interest rate is the difference between $3,100 and $1,550.
[01:13:55.000 --> 01:13:58.000]   So it's only a difference of $1,500.
[01:13:58.000 --> 01:14:06.000]   In the grand scope of your life, the difference in interest rate, if paying it off over a year, of $1,500 is not that big of a difference.
[01:14:06.000 --> 01:14:14.000]   Now, if it takes you 10 years to pay off this debt, then the difference between $31,000 and $15,000 is much more significant.
[01:14:14.000 --> 01:14:17.000]   So there are a couple of things that can be true simultaneously.
[01:14:17.000 --> 01:14:20.000]   One, you should get the lowest interest that you can.
[01:14:20.000 --> 01:14:28.000]   Two, depending on how fast you're paying off debt, you should worry about interest or not worry about interest depending on that.
[01:14:28.000 --> 01:14:40.000]   So this is where you wind up the question, are we going to be extremists and pay off our debt quickly, in which case interest is a less important factor, or are we going to take a long time, in which case interest is a more important factor?
[01:14:40.000 --> 01:14:43.000]   My choice is to be an extremist.
[01:14:43.000 --> 01:14:44.000]   That's what I would do.
[01:14:44.000 --> 01:14:47.000]   Now, you may not be able to do that given your circumstances.
[01:14:47.000 --> 01:14:49.000]   Your wife may not be on board with that.
[01:14:49.000 --> 01:14:51.000]   You may not like that.
[01:14:51.000 --> 01:14:53.000]   And so you might make a different decision.
[01:14:53.000 --> 01:14:58.000]   But if it were me, I would not encumber a free and clear asset to pay off an unsecured asset.
[01:14:58.000 --> 01:15:06.000]   Rather, what I would do is I would systematically work through the process of the credit card game to make sure that I keep my balances at 0%.
[01:15:06.000 --> 01:15:22.000]   I would apply for every credit card that I could get to improve my credit score, use the good best offers, and I would keep whittling away at the credit card debt with paying that down and refinancing it at the best terms until I cleared it and paid it completely off.
[01:15:22.000 --> 01:15:25.000]   I understand.
[01:15:25.000 --> 01:15:26.000]   Makes sense.
[01:15:26.000 --> 01:15:32.000]   So I'll give you – you are a good candidate for the course that I'm creating.
[01:15:32.000 --> 01:15:42.000]   You should consider trying it, at least trying it and seeing if it helps you because the process of paying off the credit card debt, your situation is one of the situations that I considered in this.
[01:15:42.000 --> 01:15:44.000]   So these things are not mutually exclusive.
[01:15:44.000 --> 01:15:48.000]   It's not that you either play credit card games or you get out of debt.
[01:15:48.000 --> 01:15:50.000]   You can play credit card games while you're getting out of debt.
[01:15:50.000 --> 01:15:58.000]   And so you want to make sure that you are enhancing your credit score, that you're applying for credit, that you're refinancing your cards systematically little by little.
[01:15:58.000 --> 01:16:05.000]   I don't care if you have 20 cards three years from now as long as your total balance has gone down and has gone down to zero.
[01:16:05.000 --> 01:16:14.000]   So you can play the credit card game to refinance your debts while also paying off the total balance.
[01:16:14.000 --> 01:16:30.000]   One of the things that always bothered me is I was able to get a 0% interest for the car loan, but at the same time, I wasn't able to get like a new low-rate credit card interest.
[01:16:30.000 --> 01:16:32.000]   How many credit cards did you apply for?
[01:16:32.000 --> 01:16:35.000]   About six.
[01:16:35.000 --> 01:16:38.000]   Okay. And all six of them denied you?
[01:16:38.000 --> 01:16:40.000]   Pretty much.
[01:16:40.000 --> 01:16:41.000]   Okay. So it's not a surprise.
[01:16:41.000 --> 01:16:42.000]   Except one.
[01:16:42.000 --> 01:16:48.000]   So it's not a surprise. So first, do you have a good payment history on your previous debts?
[01:16:48.000 --> 01:16:51.000]   Yes. I always try to pay my payment.
[01:16:51.000 --> 01:16:53.000]   Good. So that's good. That's very good.
[01:16:53.000 --> 01:16:56.000]   Now, the biggest impact then to your credit score will be this.
[01:16:56.000 --> 01:17:06.000]   Your relatively low income, your low income as compared to the total amount of debt that you owe, and your high utilization ratio, meaning you don't have a lot of available credit.
[01:17:06.000 --> 01:17:09.000]   Do you know how much available credit you have across all your cards right now?
[01:17:09.000 --> 01:17:12.000]   How much more could you borrow if you wanted to?
[01:17:12.000 --> 01:17:14.000]   I'm pretty much maxed out.
[01:17:14.000 --> 01:17:17.000]   Okay. So here's where – let me just give you an example. You are maxed out.
[01:17:17.000 --> 01:17:24.000]   And when you are maxed out, that has a huge impact on your credit score and also to the formulas of the underwriting credit card companies.
[01:17:24.000 --> 01:17:35.000]   So let me give you an example of as to why working together with your wife is a big deal and building your finances together as one.
[01:17:35.000 --> 01:17:42.000]   So the reason that you were able to get a 0% car loan on the purchase of your car was a couple of things.
[01:17:42.000 --> 01:17:45.000]   Number one, that loan is a secured loan.
[01:17:45.000 --> 01:17:52.000]   Number two, that loan – that car was sold to you most likely at a higher rate because the company also held the financing.
[01:17:52.000 --> 01:17:56.000]   You probably used the Toyota financing, and they know what the car is worth.
[01:17:56.000 --> 01:17:57.000]   The car maintains its value.
[01:17:57.000 --> 01:18:01.000]   And they can sell the car to you at a higher rate when you actually borrow the money.
[01:18:01.000 --> 01:18:10.000]   So now this is not always true because sometimes the company who is lending the money on the car will get more money for the financing than they will for the actual sale of the car.
[01:18:10.000 --> 01:18:16.000]   But in general, they sold the car to you at a higher number because they also held the financing.
[01:18:16.000 --> 01:18:19.000]   You weren't concerned totally with what was the total price of the car.
[01:18:19.000 --> 01:18:23.000]   You were concerned with what was the total – what was the monthly payment.
[01:18:23.000 --> 01:18:27.000]   So because the fact that it's a secured loan, they can come and they can get that car anytime.
[01:18:27.000 --> 01:18:31.000]   And that's a much lower-risk loan than you applying for more credit.
[01:18:31.000 --> 01:18:37.000]   Now, as a credit card debtor, you look like a bad borrower because you owe – you've used almost all your available credit.
[01:18:37.000 --> 01:18:43.000]   So from the perspective of a credit card company, you look like somebody who is in a tough spot.
[01:18:43.000 --> 01:18:48.000]   You look like somebody who is unable to pay their bills.
[01:18:48.000 --> 01:18:50.000]   So here's what I would do.
[01:18:50.000 --> 01:18:56.000]   First, do you have – other than the $12,000 of cash, do you have any other money or any other investment accounts right now?
[01:18:56.000 --> 01:19:01.000]   Look, 401(k) and that's about it.
[01:19:01.000 --> 01:19:03.000]   How much money do you have in your 401(k)?
[01:19:03.000 --> 01:19:07.000]   Maybe $10,000.
[01:19:07.000 --> 01:19:19.000]   Okay. So what I would do if I were in your shoes – and here is where, again, you will want to very carefully make sure you understand this type of strategy and how this works.
[01:19:19.000 --> 01:19:28.000]   But what I would do if I were in your shoes is I would take a significant amount of money from my savings and perhaps even consider taking out a 401(k) loan.
[01:19:28.000 --> 01:19:30.000]   I would pay down my credit cards.
[01:19:30.000 --> 01:19:38.000]   If you could take your credit card balance – let's say you have a $35,000 total available credit and a $31,000 balance.
[01:19:38.000 --> 01:19:48.000]   What that means is you have effectively an 88% utilization ratio, which kills your credit score and it kills your opportunities for additional financing.
[01:19:48.000 --> 01:20:07.000]   If you could take a $5,000 loan on your 401(k) and you could take $10,000 of your available cash and you could use that and put that towards your credit cards and make a down payment – pay down your credit cards by $15,000, it would drop your utilization ratio.
[01:20:07.000 --> 01:20:24.000]   In my example, it would drop you down to $16,000, $35,000. It would drop your utilization ratio to – hold on – it would drop you to a 45% utilization ratio.
[01:20:24.000 --> 01:20:31.000]   So what I would do is I would make a payment towards my credit cards and drop my utilization ratio down to 45%.
[01:20:31.000 --> 01:20:34.000]   I would wait a month and then I would apply for six new cards.
[01:20:34.000 --> 01:20:39.000]   Now, your new cards then would be approved. At least one or two of them would be approved.
[01:20:39.000 --> 01:20:48.000]   I would apply for some that offer a 0% purchase on introductory purchases. I would apply for whatever 0% cards I could.
[01:20:48.000 --> 01:20:52.000]   And I would apply for six or eight of them in a single day and try to get as many of them as I could.
[01:20:52.000 --> 01:21:01.000]   Now, depending on what's approved – and you'll have at least one or two of them approved if you were to make such a dramatic difference in your payoff – depending on which of them is approved,
[01:21:01.000 --> 01:21:10.000]   I would then start to siphon the money back into my savings and I would then start to siphon the money back and pay off that 401(k) loan.
[01:21:10.000 --> 01:21:23.000]   And by – until I own – let's say that I would have all the cards, $35,000 still available credit, and I would move – and let's say I were approved for another $15,000 of available credit.
[01:21:23.000 --> 01:21:26.000]   That would bring up my total available credit to $50,000.
[01:21:26.000 --> 01:21:37.000]   Now, fast forward a few months later, you change your spending to go on to those new cards, you pick all that cash and you refill your savings and/or you take a cash advance on a card,
[01:21:37.000 --> 01:21:44.000]   and you put the money back in your 401(k) and you put the money back into your savings account.
[01:21:44.000 --> 01:21:51.000]   Now, let's pretend you still have a $30,000 debt, but now you have a $50,000 available balance – available credit.
[01:21:51.000 --> 01:21:56.000]   So now your utilization ratio is 60% instead of its current 88%.
[01:21:56.000 --> 01:21:58.000]   That makes a big difference in your credit score.
[01:21:58.000 --> 01:22:01.000]   You can recycle that again and again going through while you pay down the debt.
[01:22:01.000 --> 01:22:12.000]   Now, in a worst-case scenario, if you don't – let's say that you take the money from your savings or you take the money from your 401(k) in terms of a temporary 401(k) loan, and then you lose your job.
[01:22:12.000 --> 01:22:14.000]   Well, you still have the credit cards.
[01:22:14.000 --> 01:22:17.000]   You still have the available credit that you could then charge again.
[01:22:17.000 --> 01:22:25.000]   You're not going to be in any worse shape. You just then start charging those cards again, and you would build the debt back up while you – until or unless you needed to.
[01:22:25.000 --> 01:22:28.000]   So that's what I would do because that will make a big difference in your credit score.
[01:22:28.000 --> 01:22:35.000]   It allows you to refinance it while simultaneously doing everything possible to pay off the debt as quickly as I can.
[01:22:35.000 --> 01:22:40.000]   I hope that wasn't too much of my – I threw a lot at you.
[01:22:40.000 --> 01:22:42.000]   I'm going to listen to you over and over again.
[01:22:42.000 --> 01:22:44.000]   All right. Well, congratulations on your marriage.
[01:22:44.000 --> 01:22:50.000]   Congratulations on your marriage and congratulations on working to get out of debt.
[01:22:50.000 --> 01:22:51.000]   Thank you.
[01:22:51.000 --> 01:22:53.000]   I'll give you my one final thing.
[01:22:53.000 --> 01:23:02.000]   There is a sense in which it makes sense to plan on personal decisions as far as marriage and children and such related to finances.
[01:23:02.000 --> 01:23:10.000]   But I also don't like it when people – just my personal sort of semi-solicited advice.
