
[00:00:00.000 --> 00:00:03.540]   That's a great intro. It is I.
[00:51:18.300 --> 00:51:21.700]   I have like a, I have like a, I have a tree sitter interface that works.
[00:51:21.700 --> 00:51:26.400]   And then I have a text text apply interface that works as well.
[00:51:26.400 --> 00:51:28.800]   So those, I'm going to merge them.
[00:51:28.800 --> 00:51:31.060]   Um, cause LSP is really cool.
[00:51:31.060 --> 00:51:35.360]   Like, like, uh, it's really cool to be in JavaScript and say like, oh, where's the symbol used?
[00:51:35.360 --> 00:51:36.480]   And then it like kind of does it.
[00:51:36.480 --> 00:51:38.380]   And I wrote zero code for it.
[00:51:39.400 --> 00:51:50.800]   Um, anyway, I'm, I'm really curious to see where all of this, all of this goes, um, or like why I want to, uh, so much to play with.
[00:51:50.800 --> 00:51:51.520]   So a little time.
[00:51:51.520 --> 00:51:52.840]   Um, yeah.
[00:51:53.680 --> 00:51:54.120]   Yeah.
[00:51:54.120 --> 00:52:07.180]   So in, in, uh, Neo Vim, if you use mcphub.nvim, you can make a native Lua MCP server that has access to the Neo Vim API such that you can use things like telescope.
[00:52:07.640 --> 00:52:18.620]   Um, and trouble to like, let the model just drive Neo Vim and bounce around between all the symbols and grab LSP outputs and all that, you know, I'm just, I'm not good at Neo Vim.
[00:52:18.620 --> 00:52:19.580]   Just let the model do it.
[00:52:19.580 --> 00:52:21.960]   Like what's really, what's really funny.
[00:52:21.960 --> 00:52:33.980]   It's, it's like pretty token inefficient, but if you give, I, I tried a little bit, if you give, if you give the model Tmux and then you say like run Vim and write macros, it will start using Tmux to write macros to refactor the file.
[00:52:33.980 --> 00:52:37.280]   It's like really funny and then it will read it back and forth.
[00:52:37.760 --> 00:52:39.620]   So it's a little bit slow.
[00:52:39.620 --> 00:52:39.860]   Right.
[00:52:39.860 --> 00:52:44.940]   Because it like calls the shell tools all the fricking time, but it's really funny to see it.
[00:52:44.940 --> 00:52:46.820]   Just like know what to do.
[00:52:46.820 --> 00:52:47.720]   Well, yeah.
[00:52:47.720 --> 00:52:49.940]   And that's why the Lua MCP is really intriguing to me.
[00:52:49.940 --> 00:52:53.840]   Cause it's just gonna, it's just gonna try to, it's just gonna tool call to, to drive it.
[00:52:53.840 --> 00:52:55.920]   You know, you're hitting them.
[00:52:55.920 --> 00:53:04.500]   What, what, what models are you guys working with that are, that are using these MCPs effectively?
[00:53:05.000 --> 00:53:09.720]   Opus four tends to be the one that I usually default to.
[00:53:09.720 --> 00:53:15.740]   Um, I think, or like what I, I want to find an open source solution for that.
[00:53:15.740 --> 00:53:17.480]   Cause I, cause I think gorilla can do it.
[00:53:17.480 --> 00:53:19.940]   Um, cause it can do it for, for open API.
[00:53:19.940 --> 00:53:21.420]   So why can't it do it for MCP?
[00:53:21.420 --> 00:53:24.620]   Um, but yeah.
[00:53:24.620 --> 00:53:29.860]   Cloud four seems to be, seems to be the guy, at least when it comes to tool calling.
[00:53:29.860 --> 00:53:31.680]   Um, and then, and then.
[00:53:32.200 --> 00:53:38.260]   If Claude needs a model for something else, just give it a tool where it can call Oh three.
[00:53:38.260 --> 00:53:39.860]   If it gets confused or whatever.
[00:53:39.860 --> 00:53:41.180]   Yeah.
[00:53:41.180 --> 00:53:42.580]   I've been having a really good time.
[00:53:42.580 --> 00:53:49.440]   A really good, uh, I've been getting better results than I expected, uh, by having, uh,
[00:53:49.440 --> 00:53:54.480]   Claude code call other models like Gemini for components of the, of the workflow.
[00:53:54.480 --> 00:53:59.400]   Uh, like, like Gemini has got that 1 million token context window.
[00:53:59.400 --> 00:54:02.880]   And so when there's like a deep analysis that I want to kick off in the middle of a
[00:54:02.880 --> 00:54:05.900]   component, but like, you know, cloud's got that 200 K limitation.
[00:54:05.900 --> 00:54:08.820]   I have it, uh, called Gemini 2.5 pro.
[00:54:08.820 --> 00:54:13.860]   And the trick, uh, or the trick there, uh, Gemini has really good.
[00:54:13.860 --> 00:54:20.340]   Throughput on its recall, but it's re it it's, uh, when it's context window is full.
[00:54:20.340 --> 00:54:23.160]   It's reasoning degrades fairly quickly.
[00:54:23.160 --> 00:54:28.780]   So what you want to do is have Gemini is have a Gemini pull out all of the information
[00:54:28.780 --> 00:54:32.760]   and make a new document that you can, that Claude can then read down and do reasoning
[00:54:32.760 --> 00:54:33.100]   about.
[00:54:33.100 --> 00:54:33.940]   Yeah.
[00:54:33.940 --> 00:54:35.900]   Yeah, that's, yeah, that's exactly the workflow.
[00:54:35.900 --> 00:54:41.080]   Um, because yeah, Gemini is great for summarizing and like analyzing, but it's,
[00:54:41.080 --> 00:54:44.740]   I, I haven't found it advertised on code.
[00:54:44.740 --> 00:54:47.400]   How do you have plot codes called Gemini?
[00:54:47.400 --> 00:54:49.480]   You have an MCP for that or like, how would you do it?
[00:54:49.480 --> 00:54:51.700]   Uh, you use a code with the API hook.
[00:54:51.700 --> 00:54:53.480]   Use it.
[00:54:53.480 --> 00:54:56.360]   Um, so it depends on, it depends on your workflow, frankly.
[00:54:56.360 --> 00:54:58.220]   Um, but yeah.
[00:54:58.220 --> 00:55:06.240]   Uh, yeah, you using the hooks, um, or, or you structure the, I'm curious.
[00:55:06.240 --> 00:55:11.240]   I'm curious if you, if you were willing to try out something for me, cause I use M code and
[00:55:11.240 --> 00:55:17.200]   I don't have time to like, I don't want to go into M code, but try this, the same approach
[00:55:17.200 --> 00:55:24.540]   out, which is, um, which is to have, if you, if you start having like a refactoring plan, like
[00:55:24.540 --> 00:55:28.040]   this one, also ask it to create the necessary hooks to do it.
[00:55:28.040 --> 00:55:32.040]   So you can say like, oh, every time you do this kind of thing, review with Gemini.
[00:55:33.560 --> 00:55:34.460]   And X, Y, Z.
[00:55:34.460 --> 00:55:39.460]   So basically speaking out loud, what you just said, then it generates this mermaid diagram
[00:55:39.460 --> 00:55:42.920]   with, you know, just like pretty strong poles.
[00:55:42.920 --> 00:55:44.160]   And it may be the hooks as well.
[00:55:44.160 --> 00:55:47.000]   The thing I'm going to have to bounce.
[00:55:47.000 --> 00:55:49.700]   But the thing I'm, I'm, I'm trying to Yolo refactor right now.
[00:55:49.700 --> 00:55:49.900]   Right.
[00:55:49.900 --> 00:55:53.020]   Like I took a huge code base and I was like, yeah, make this event driven.
[00:55:53.020 --> 00:55:55.920]   Like that went completely sideways.
[00:55:55.920 --> 00:55:57.660]   I, I like what you're thinking.
[00:55:57.660 --> 00:55:59.180]   I'm, I'm not a hundred percent sure.
[00:55:59.180 --> 00:56:05.460]   I got it, but definitely, uh, I'm going to ping you when I have the time to actually explore
[00:56:05.460 --> 00:56:06.140]   that idea.
[00:56:06.140 --> 00:56:08.220]   Uh, who are you in the discord?
[00:56:08.220 --> 00:56:10.400]   I am slow.
[00:56:10.400 --> 00:56:10.700]   No.
[00:56:10.700 --> 00:56:16.160]   What are your, what are your, your handles Adam?
[00:56:16.160 --> 00:56:18.100]   And, and all right.
[00:56:18.100 --> 00:56:18.820]   Yeah.
[00:56:18.820 --> 00:56:19.120]   Cool.
[00:56:19.180 --> 00:56:23.660]   Uh, I got a bounce, but I, that's currently my, my big thing for the last two weeks was
[00:56:23.660 --> 00:56:25.000]   like, can I Yolo refactor?
[00:56:25.000 --> 00:56:26.860]   Can I like Yolo big code bases?
[00:56:26.860 --> 00:56:28.940]   Cause in my head, it's very simple.
[00:56:28.940 --> 00:56:29.140]   Right.
[00:56:29.140 --> 00:56:31.360]   I'm going to be like, oh, this needs to be event driven.
[00:56:31.360 --> 00:56:33.040]   And I don't want to prompt more than that.
[00:56:33.040 --> 00:56:36.400]   It's, it should be able to come up with a good architecture to do that.
[00:56:36.400 --> 00:56:39.900]   Cause, cause it can, if I ask or three, I'm going to give me something.
[00:56:39.900 --> 00:56:40.720]   That's pretty decent.
[00:56:40.720 --> 00:56:46.400]   It's just like applying that to the code base, which is also very tedious kind of ad hoc.
[00:56:46.400 --> 00:56:48.240]   Like it's always the same stuff.
[00:56:48.840 --> 00:56:56.080]   It doesn't seem to be able to do it, but it feels eminently possible to do, to do that part.
[00:56:56.080 --> 00:56:56.340]   Right.
[00:56:56.340 --> 00:57:01.860]   It's like, that's models are made to do this and it's just the way we currently.
[00:57:01.860 --> 00:57:03.240]   Yeah.
[00:57:03.240 --> 00:57:08.460]   You want like a patch based or diff based workflow or like rather, uh, like I'm, I'm where I'm
[00:57:08.460 --> 00:57:14.140]   heading with it is I, I think it's going to be patches where, um, the, um, I think it's
[00:57:14.140 --> 00:57:18.500]   going to be like, I think it's going to be like the ad hoc creation of the tools that
[00:57:18.500 --> 00:57:20.540]   that you need to do the thing that you need to do.
[00:57:20.540 --> 00:57:20.740]   Right.
[00:57:20.740 --> 00:57:23.600]   Cause you need to adapt to certain systems where.
[00:57:24.240 --> 00:57:28.600]   If you want to refactor, you need to find the right granularity to make sure you're not
[00:57:28.600 --> 00:57:33.020]   breaking everything, but also to not make it small enough that you actually never progress.
[00:57:33.020 --> 00:57:37.340]   Cause the pattern I've seen is that cloud will start refactoring, right?
[00:57:37.340 --> 00:57:39.260]   Like I've got a really good plan in O three.
[00:57:39.260 --> 00:57:41.460]   I give it to end code, which is sonnet.
[00:57:41.460 --> 00:57:45.560]   And then sonnet at some point we'll get like a lint error saying like, oh, well, this symbol
[00:57:45.560 --> 00:57:47.820]   that you're refactoring away is broken.
[00:57:47.820 --> 00:57:49.820]   So I'll be like, oh shit, the symbol's broken.
[00:57:49.820 --> 00:57:51.020]   I'm going to write a wrapper.
[00:57:51.020 --> 00:57:55.040]   And then, so it starts wrapping the stuff that actually needs to be removed.
[00:57:55.040 --> 00:57:59.580]   And then it starts removing the wrapper and says like, oh shit, the wrapper is gone.
[00:57:59.580 --> 00:58:00.380]   Let me create.
[00:58:00.380 --> 00:58:03.920]   And then some kind of like architecture astronaut pattern.
[00:58:03.920 --> 00:58:06.860]   What's going to be like, I'm going to make a mock interface wrapper wrapper.
[00:58:07.400 --> 00:58:09.500]   And then just like explodes from there.
[00:58:09.500 --> 00:58:13.280]   Do you have like prompts against anti-patterns like that?
[00:58:13.280 --> 00:58:16.280]   Like if you're telling it not to go too hard.
[00:58:16.280 --> 00:58:21.200]   And I think either it's M code, either it's the model as well.
[00:58:21.200 --> 00:58:24.580]   Like it seems hard to fight against on its training already.
[00:58:24.580 --> 00:58:30.700]   Um, but I think something about the agentic part of it also makes it much more easy to
[00:58:30.700 --> 00:58:32.020]   forget to do that.
[00:58:32.020 --> 00:58:35.580]   So, so I'm experimenting, but my trivial approaches were.
[00:58:36.820 --> 00:58:39.200]   Context bloat plays into it.
[00:58:39.200 --> 00:58:41.920]   Although M code is pretty good at that.
[00:58:41.920 --> 00:58:45.860]   Um, it doesn't feel like, like context bloat errors.
[00:58:45.860 --> 00:58:51.700]   It feels like, oh, I found something wrong and I reacted upon it, which makes sense when
[00:58:51.700 --> 00:58:53.380]   you greenfield, right?
[00:58:53.380 --> 00:58:58.360]   Like when you greenfield, you want to avoid having errors too early, but when you refactor,
[00:58:58.360 --> 00:59:02.320]   you actually want to have errors early until like everything resolves kind of.
[00:59:02.320 --> 00:59:05.320]   So it's, uh, it's an interesting balance.
[00:59:05.320 --> 00:59:06.320]   I have, I have to bounce.
[00:59:06.320 --> 00:59:06.820]   I'm sorry.
[00:59:06.820 --> 00:59:07.700]   We can talk about it.
[00:59:07.700 --> 00:59:08.240]   Yeah.
[00:59:08.240 --> 00:59:08.540]   Yeah.
[00:59:08.540 --> 00:59:08.540]   Yeah.
[00:59:08.540 --> 00:59:09.920]   I, I definitely, what, what was yours?
[00:59:09.920 --> 00:59:11.960]   Uh, this quick slow.
[00:59:11.960 --> 00:59:12.740]   Slow down.
[00:59:13.580 --> 00:59:18.580]   My suspicion here is that I am once again, trying to over engineer, I'm, I'm suspecting that
[00:59:18.580 --> 00:59:24.960]   like periodic injections of like, no, do it again might be like kind of enough to just.
[00:59:24.960 --> 00:59:27.080]   Not in my experience, not in.
[00:59:27.080 --> 00:59:29.120]   Well, I mean, you guys obviously.
[00:59:29.960 --> 00:59:30.720]   The burn, right.
[00:59:30.720 --> 00:59:33.120]   There's the, that's always the thing.
[00:59:33.120 --> 00:59:35.660]   That's, that's interesting.
[00:59:35.660 --> 00:59:36.320]   Um,
[00:59:36.320 --> 00:59:37.800]   Got a context management tool.
[00:59:37.800 --> 00:59:38.860]   Then it's like, oh, okay.
[00:59:38.860 --> 00:59:41.100]   Well, let me like, let me do some reasoning.
[00:59:41.100 --> 00:59:45.260]   Like, oh, why, why is, why is the user indicating that this is wrong?
[00:59:45.260 --> 00:59:47.360]   Let me reason about what this agent is doing.
[00:59:47.360 --> 00:59:50.840]   So now I need to look at its context window and then I'm gonna need to reconfigure that
[00:59:50.840 --> 00:59:54.920]   context window, um, in order for it to actually accomplish the goal.
[00:59:54.920 --> 01:00:00.420]   So if I just sort of periodically inject that when there's like two, there's one error, then there's
[01:00:00.420 --> 01:00:04.300]   the same error, then there's the original error again, like detect that.
[01:00:04.300 --> 01:00:06.300]   And then like, no, you're doing it wrong.
[01:00:06.300 --> 01:00:08.540]   You need to go back and, and figure it out.
[01:00:08.540 --> 01:00:14.720]   Um, is like at least one of the components of the waterfall that is in there.
[01:00:14.720 --> 01:00:16.800]   But I'm always like, how can I make this dumber?
[01:00:16.800 --> 01:00:21.680]   It's kind of the, the directive in my experience.
[01:00:21.680 --> 01:00:22.220]   Yeah.
[01:00:22.320 --> 01:00:25.480]   I, I mean, that's, that's the goal, right?
[01:00:25.480 --> 01:00:30.300]   Is to make it, uh, make it keep it simple, uh, ideally.
[01:00:30.300 --> 01:00:35.820]   But I feel like agents put, put, put us in a really weird spot where depending on how
[01:00:35.820 --> 01:00:41.280]   they interpret our simple, uh, commands, it can get pretty complicated, pretty quick.
[01:00:41.280 --> 01:00:42.300]   Hmm.
[01:00:42.300 --> 01:00:46.380]   I'm the, the other direction I'm kind of heading is, uh, uh, like functional
[01:00:46.380 --> 01:00:47.760]   programming and property testing.
[01:00:47.760 --> 01:00:51.880]   Cause if I can just take a PRD that defines properties of the software.
[01:00:52.140 --> 01:00:53.820]   Then I can just fuzz it.
[01:00:53.820 --> 01:00:54.180]   I'm doing.
[01:00:54.180 --> 01:00:54.780]   Yep.
[01:00:54.780 --> 01:00:55.380]   There you go.
[01:00:55.380 --> 01:00:56.400]   That's what I've been doing.
[01:00:56.400 --> 01:00:59.940]   I gotta get Oh three to learn Erlang where I was going to say, I need
[01:00:59.940 --> 01:01:01.200]   to learn Erlang, but no, I don't.
[01:01:01.200 --> 01:01:07.360]   So yeah, dude, uh, I, I've been, I've been having a lot of good, uh, results
[01:01:07.360 --> 01:01:10.020]   by just getting it broken out into like PRDs for each feature.
[01:01:10.860 --> 01:01:12.960]   And like linked PRDs.
[01:01:12.960 --> 01:01:18.540]   And that's where I get like the lazy loading of like the, the edges of each module and how
[01:01:18.540 --> 01:01:19.320]   they interconnect.
[01:01:19.320 --> 01:01:24.060]   So I can keep it from getting too much context around the whole project while it's
[01:01:24.060 --> 01:01:28.260]   focusing on any component, but that's not for like a new, that's not for a new refactor of
[01:01:28.260 --> 01:01:29.040]   an existing code base.
[01:01:29.040 --> 01:01:30.240]   That's just for like the planning of.
[01:01:30.240 --> 01:01:34.980]   Well, you, you just, all you need to do is generate a PRD that currently describes that
[01:01:34.980 --> 01:01:35.580]   code base.
[01:01:35.580 --> 01:01:37.620]   And then you can say, okay, like now.
[01:01:37.620 --> 01:01:38.580]   Yes.
[01:01:39.240 --> 01:01:43.200]   That's not a simple, it's a little bit more complicated when you're
[01:01:43.200 --> 01:01:45.000]   working on an existing base.
[01:01:45.000 --> 01:01:49.860]   Cause you gotta do that like layered agentic review of each, uh, subcomponent.
[01:01:49.860 --> 01:01:53.340]   And if it's not already modularized, that gets fun.
[01:01:53.340 --> 01:01:54.100]   Yeah.
[01:01:54.100 --> 01:01:54.480]   Yeah.
[01:01:54.480 --> 01:01:59.980]   It's definitely, um, it's definitely a task, but yeah, I think like the fundamental
[01:01:59.980 --> 01:02:04.920]   primitive of like big list and then smaller to do lists.
[01:02:04.920 --> 01:02:09.120]   Claude's has one, like the little tools like think.
[01:02:09.420 --> 01:02:14.400]   And like scratch pad are like way more, way more important than we think than, than
[01:02:14.400 --> 01:02:15.540]   one, one thing.
[01:02:15.540 --> 01:02:19.620]   Well, well, well, think is, think is dangerous because if you don't actually have much already
[01:02:19.620 --> 01:02:23.320]   in the context window loaded, like anthropic themselves will say, don't use think, don't
[01:02:23.320 --> 01:02:24.480]   use, uh, think hard.
[01:02:24.480 --> 01:02:26.400]   Don't use ultra think unless you've got.
[01:02:26.400 --> 01:02:29.460]   I made, I made my own MCP server that is called think.
[01:02:29.460 --> 01:02:34.020]   And what it does is it, it, it runs, uh, from the paper algorithm of thoughts.
[01:02:34.020 --> 01:02:37.500]   It's like choose an algorithm, run it down once and then review it.
[01:02:39.000 --> 01:02:39.840]   Can you link that?
[01:02:39.840 --> 01:02:41.100]   That sounds fascinating.
[01:02:41.100 --> 01:02:44.040]   I would be very interested in that.
[01:02:44.040 --> 01:02:47.580]   I I've used the, I've tried the sequential thinking MCP.
[01:02:47.580 --> 01:02:54.900]   That's it's not much better than a, than a checklist that, uh, opus generates itself
[01:02:54.900 --> 01:02:55.800]   in my experience.
[01:02:55.800 --> 01:02:56.700]   Hmm.
[01:02:56.700 --> 01:03:03.300]   I'll, I'll see if I, I might be broken right now, but it is.
[01:03:03.300 --> 01:03:07.920]   I mean, you know, uh, I'll, I put it in AI in, in accent.
[01:03:07.920 --> 01:03:13.560]   It's, uh, uh, MCP reasoner is what it's called, but it's, I think it's got like five algorithms
[01:03:13.560 --> 01:03:13.860]   in there.
[01:03:13.860 --> 01:03:19.620]   So the idea is like, okay, sequentially thinking this way and then, um, like evaluate.
[01:03:19.620 --> 01:03:22.380]   Like, will you get to the solution here?
[01:03:22.380 --> 01:03:24.420]   If not choose a different algorithm and run that.
[01:03:33.840 --> 01:03:38.500]   Oh, you muted again, but I think we're, uh, Yeah, I, I really appreciate this.
[01:03:38.500 --> 01:03:40.980]   This is really cool, uh, broken or not.
[01:03:40.980 --> 01:03:41.820]   I'm still going to check it out.
[01:03:41.820 --> 01:03:43.560]   It'll still end up being productive somehow.
[01:03:43.560 --> 01:03:43.980]   I'm sure.
[01:03:43.980 --> 01:03:48.060]   Um, I really appreciate this whole, uh, talk has been very informative for me.
[01:03:48.060 --> 01:03:52.080]   Uh, I appreciate the, the counterpoints to, to my experience.
[01:03:52.080 --> 01:03:53.040]   It's been very productive.
[01:03:53.040 --> 01:03:54.300]   Uh, so yeah.
[01:03:54.300 --> 01:03:55.320]   Uh, thanks.
[01:03:55.320 --> 01:03:56.220]   Yeah.
[01:03:56.220 --> 01:04:00.240]   I'm, I'm curious to see if anything like, uh, unblocks or changes for you.
[01:04:00.240 --> 01:04:01.620]   So yeah, uh, keep dropping it.
[01:04:01.620 --> 01:04:01.920]   Yeah.
[01:04:01.920 --> 01:04:02.640]   Oh, I will.
[01:04:02.640 --> 01:04:02.920]   Yeah.
[01:04:02.920 --> 01:04:04.260]   We'll, we'll, we'll, we'll be in touch.
[01:04:04.260 --> 01:04:04.960]   Don't worry about that.
[01:04:04.960 --> 01:04:08.520]   All right.
[01:04:08.520 --> 01:04:09.180]   I gotta go.
[01:04:09.180 --> 01:04:10.660]   Uh, thanks everybody.
[01:04:10.660 --> 01:04:11.340]   I'll catch you later.
[01:04:11.340 --> 01:04:11.840]   Bye.
[01:04:11.840 --> 01:04:11.940]   Bye.
[01:04:11.940 --> 01:04:12.840]   Bye.
[01:04:12.840 --> 01:04:13.840]   Bye.
[01:04:13.840 --> 01:04:14.840]   Bye.
[01:04:14.840 --> 01:04:15.840]   Bye.
[01:04:15.840 --> 01:04:16.840]   Bye.
[01:04:16.840 --> 01:04:17.840]   Bye.
[01:04:17.840 --> 01:04:18.840]   Bye.
[01:04:18.840 --> 01:04:19.840]   Bye.
[01:04:19.840 --> 01:04:20.840]   Bye.
[01:04:20.840 --> 01:04:21.840]   Bye.
[01:04:21.840 --> 01:04:22.840]   Bye.
[01:04:22.840 --> 01:04:23.840]   Bye.
[01:04:23.840 --> 01:04:24.840]   Bye.
[01:04:24.840 --> 01:04:25.840]   Bye.
[01:04:25.840 --> 01:04:26.840]   Bye.
[01:04:26.840 --> 01:04:56.820]   Thank you.

