
[00:00:00.440 --> 00:00:04.740]   Today I was going to talk about Temporal, so I'm not sure if people heard a bit of it.
[00:56:31.080 --> 00:56:38.920]   traditional way or via, you know, like a traditional, you know, declared the, declared a programming way.
[00:56:38.920 --> 00:56:42.840]   It's more of an advantage of a little bit. You can have these kind of interruptions and events and
[00:56:42.840 --> 00:56:45.880]   signals. That's where it temporal really shines. I think.
[00:56:48.200 --> 00:56:53.000]   Yeah. Yeah. Yeah. That's, that's about it for today. Um, I could do a part two,
[00:56:53.000 --> 00:56:55.320]   if you are interested in, we'd go into like some more advanced stuff.
[00:56:55.320 --> 00:57:02.680]   Yeah. That's really good demo. Yeah. Yeah. Thanks. Yeah. It's not my demo. It's the demo
[00:57:02.680 --> 00:57:08.040]   from temporal. I took it because it's no, no, but whole workflow and understand the way it fits this
[00:57:08.040 --> 00:57:14.120]   like technology. Yeah. Yeah. Yeah. I think, I think it's great. I think it's, uh, this, this came up before,
[00:57:14.120 --> 00:57:19.480]   um, a, authentic AI. And when like authentic AI was booming, I was like temporal, I'm going
[00:57:19.480 --> 00:57:28.360]   all in on temporal. It's like, yeah. Luca. I actually didn't want to raise my hand. I don't
[00:57:28.360 --> 00:57:35.720]   know how I did it. Okay. Okay. I can't put it down. Okay. Now I did it. Okay. Sorry.
[00:57:35.720 --> 00:57:45.320]   You think to, um, like one of the thoughts I had, I think before when you took like explain temporal,
[00:57:45.320 --> 00:57:56.680]   but also now is if we took some, if we took like graph AI, it's like some, so the foundation of a AI
[00:57:56.680 --> 00:58:04.840]   framework and just like kits that out with temporal would that, yeah, I was actually trying to make a,
[00:58:04.840 --> 00:58:09.480]   uh, I was doing this on a, on a, on a random weekend when I was like thinking, like, can I make
[00:58:09.480 --> 00:58:16.280]   an extension to temporal to allow these kind of like graphs deformed? I haven't found a good way yet,
[00:58:16.280 --> 00:58:24.440]   but I've, I've been looking at it. Yeah. Yeah. Cause that, that could be like a sort of prediction
[00:58:24.440 --> 00:58:32.520]   ready, more robust graph AI would be pretty. Yeah. Yeah. And that'd be great. I think,
[00:58:32.520 --> 00:58:36.120]   I think Tempo always really liked that too, because they're, they're really, really pushing just AI stuff.
[00:58:36.120 --> 00:58:45.960]   Yeah. But yeah, I think it's a great technology. It's really nice to work with. I think it's basically
[00:58:45.960 --> 00:58:52.040]   shifts the burden more on people like me and someone else who are like running it, but, um, or, and also
[00:58:52.040 --> 00:58:58.120]   like, it's not very cheap to run, to use the cloud version. Um, but it's not actually that hard to run.
[00:58:58.120 --> 00:59:00.840]   Like I was, I thought it'd be hard. It's not actually that hard to run.
[00:59:00.840 --> 00:59:12.040]   Yeah. Yeah. Yeah. Yeah. This, yeah. The self-hosted version is completely
[00:59:12.040 --> 00:59:18.360]   deeper parity. Yeah. They're basically betting on the fact that people don't really know how to
[00:59:18.360 --> 00:59:24.360]   host the database side of things. I think that's, I think the smallest part here is like the most
[00:59:24.360 --> 00:59:30.120]   consequential is that if you have like globally distributed workflows, there are millions of users
[00:59:30.120 --> 00:59:34.920]   and billions of actions a day, then like the databases have been the biggest bottleneck as
[00:59:34.920 --> 00:59:38.760]   we're talking about, like how that there's like that object parity with a database for the state.
[00:59:38.760 --> 00:59:44.840]   Um, yeah. So that's why they recommend using Sandra and all these more esoteric databases that
[00:59:44.840 --> 00:59:48.440]   not many people, you know how to use, but then they're like, well, we're just going to offer you a cloud
[00:59:48.440 --> 00:59:58.520]   version to use. Okay. Okay. Makes sense. Nice. Yeah. Uh, I'll, I'll need to go by the way. So
[00:59:59.400 --> 01:00:05.000]   yeah, if it's finished, uh, yeah, yeah, it's finished. I already overrun by like 10 minutes and
[01:00:05.000 --> 01:00:14.840]   okay. You mentioned that this is spinoff of Uber. So, and so it's Uber company or no, no, no,
[01:00:14.840 --> 01:00:18.360]   no. It's basically the engineers left Uber and they just like, would you just start this?
[01:00:18.360 --> 01:00:23.000]   They basically took their learnings from like what they were doing at Uber. And they're like,
[01:00:23.880 --> 01:00:27.320]   I'm not sure how Uber didn't come after them for that. Maybe they had a good relations and they're
[01:00:27.320 --> 01:00:32.360]   like, okay, we, we, we're chill. But yeah. Um, yeah.
[01:00:38.520 --> 01:00:42.600]   Thank you. I go. Yeah. No worries. Thanks for coming.
[01:00:42.600 --> 01:00:48.680]   Thank you both. And that was really helpful. Yeah. I'll put the, I'll put the PDF on the,
[01:00:48.680 --> 01:00:56.120]   on the Slack cause. Yeah. I'll also share the recording after for anyone who wants it as long.

