
[00:00:00.000 --> 00:00:08.000]   [no audio]
[00:47:21.000 --> 00:47:23.000]   Well, Paul, you're wrong.
[00:47:23.000 --> 00:47:26.000]   I've been suggesting that for the past seven years, I think.
[00:47:26.000 --> 00:47:28.000]   Well, there's six of them.
[00:47:28.000 --> 00:47:32.000]   [laughter]
[00:47:32.000 --> 00:47:38.000]   You know, I think that in finance, at best, you're going to be right.
[00:47:38.000 --> 00:47:45.000]   60% or 55% of the time, this falls into the other category.
[00:47:45.000 --> 00:47:52.000]   That said, I'm still comfortable holding relatively short-term bonds.
[00:47:52.000 --> 00:47:59.000]   I'd like to lay it on my face here a little bit.
[00:47:59.000 --> 00:48:03.000]   This is for Mr. Bogle.
[00:48:03.000 --> 00:48:06.000]   What do you recommend for individuals and organizations
[00:48:06.000 --> 00:48:09.000]   who need reliable, predictable income?
[00:48:09.000 --> 00:48:12.000]   A mixture of individual securities, dividend-paying stock,
[00:48:12.000 --> 00:48:17.000]   and bonds, or do you still believe a portfolio of index funds is best?
[00:48:17.000 --> 00:48:22.000]   Well, it seems to me quite clear that depending on income,
[00:48:22.000 --> 00:48:28.000]   it is a long way from irrational to depend on higher-yielding common stocks
[00:48:28.000 --> 00:48:29.000]   as well as bonds.
[00:48:29.000 --> 00:48:31.000]   Of course, don't accept the market return.
[00:48:31.000 --> 00:48:34.000]   The purists will say, "I'm wrong here," which is fine.
[00:48:34.000 --> 00:48:37.000]   But you need the money, and you can probably get out of it.
[00:48:37.000 --> 00:48:42.000]   I'm not sure of the exact yield of the Vanguard high-dividend fund.
[00:48:42.000 --> 00:48:45.000]   I look at it in the paper just about every day,
[00:48:45.000 --> 00:48:49.000]   and it has a return very comparable to the market.
[00:48:49.000 --> 00:48:52.000]   I don't know what the yield is, but I'm going to guess it's about 3%.
[00:48:52.000 --> 00:48:55.000]   And you're going to have a correlation with the market,
[00:48:55.000 --> 00:49:00.000]   probably '96 or '97 with that fund because the big companies in America
[00:49:00.000 --> 00:49:03.000]   that make up the S&P, the total stock market,
[00:49:03.000 --> 00:49:06.000]   are by and large dividend-paying companies,
[00:49:06.000 --> 00:49:08.000]   not necessarily high-dividend-paying companies.
[00:49:08.000 --> 00:49:12.000]   So I think it's a good strategy if you need the income, and most people do.
[00:49:12.000 --> 00:49:18.000]   I think the risks are very small, but I also continue to differentiate.
[00:49:18.000 --> 00:49:24.000]   I think probably a lot of my fellow panel members talk about returns,
[00:49:24.000 --> 00:49:29.000]   and returns are very uncertain, but dividends are quite certain.
[00:49:29.000 --> 00:49:31.000]   It's only been, as I showed you in that chart yesterday,
[00:49:31.000 --> 00:49:37.000]   only been one significant dividend cut in the last, I think it's 1935,
[00:49:37.000 --> 00:49:40.000]   that's what it's been, 80 years,
[00:49:40.000 --> 00:49:43.000]   when the banks all cut their dividends back in 2008.
[00:49:43.000 --> 00:49:48.000]   So dividends are quite reliable, and I look at dividends as being real
[00:49:48.000 --> 00:49:52.000]   and market returns being, to some degree, illusory.
[00:49:52.000 --> 00:49:54.000]   And if you don't believe market returns are illusory,
[00:49:54.000 --> 00:49:59.000]   just check the percentage changes in the market in each of the last eight days.
[00:49:59.000 --> 00:50:02.000]   You know, it's like this. I never said anything quite so crazy in my life,
[00:50:02.000 --> 00:50:06.000]   I've got no trend, and so I like that strategy.
[00:50:06.000 --> 00:50:09.000]   I like a strategy for an investor that needs the income
[00:50:09.000 --> 00:50:12.000]   and understands the risk of a more appropriate bond strategy
[00:50:12.000 --> 00:50:15.000]   than a total bond market strategy.
[00:50:15.000 --> 00:50:19.000]   And there are a lot of investors, perhaps many of you in the room,
[00:50:19.000 --> 00:50:22.000]   maybe most of you in this room, who are in this game for some income,
[00:50:22.000 --> 00:50:26.000]   and I think we ought to make sure we have options that are available,
[00:50:26.000 --> 00:50:32.000]   and we do have it vanguarded through our high-dividend yield fund
[00:50:32.000 --> 00:50:38.000]   and high-dividend fund and our intermediate-term corporate bond fund.
[00:50:38.000 --> 00:50:44.000]   So look at all the options, and I think the incremental risk is small,
[00:50:44.000 --> 00:50:46.000]   so don't do it, maybe, with your hobo portfolio,
[00:50:46.000 --> 00:50:49.000]   but do it with 75% and have the rest, the other 25%,
[00:50:49.000 --> 00:50:51.000]   figure the number out of the air here,
[00:50:51.000 --> 00:50:57.000]   and just come down the middle, totally down the middle, almost down.
[00:50:57.000 --> 00:51:01.000]   The next is a question for the panel from Samuel Moller.
[00:51:01.000 --> 00:51:06.000]   What do you think of Vanguard managed payout fund for a retiree?
[00:51:06.000 --> 00:51:14.000]   How about as a way of simplifying if one's spouse has no interest in investing?
[00:51:14.000 --> 00:51:20.000]   There's only one up left, so you have to use the singular.
[00:51:20.000 --> 00:51:23.000]   I guess I invented those, so I'll--
[00:51:23.000 --> 00:51:27.000]   [laughter]
[00:51:27.000 --> 00:51:30.000]   The funds are designed to try to minimize volatility
[00:51:30.000 --> 00:51:33.000]   and yet provide a reasonable rate of return,
[00:51:33.000 --> 00:51:36.000]   and so we pursue that with a number of different asset classes.
[00:51:36.000 --> 00:51:42.000]   It's more broadly diversified than, say, the target-date funds,
[00:51:42.000 --> 00:51:45.000]   even now using some alternative beta strategies
[00:51:45.000 --> 00:51:52.000]   that we put into development about almost a decade ago now.
[00:51:52.000 --> 00:51:58.000]   Those alternative beta funds have worked out as expected,
[00:51:58.000 --> 00:52:07.000]   but I think that, by and large, the managed payout fund is meeting its objective.
[00:52:07.000 --> 00:52:10.000]   I think we did have too many funds.
[00:52:10.000 --> 00:52:14.000]   We had the 7% fund, and everybody's putting their money in that.
[00:52:14.000 --> 00:52:18.000]   Without the realization that probably you weren't going to get--
[00:52:18.000 --> 00:52:21.000]   your standard volume is going to go down over time,
[00:52:21.000 --> 00:52:26.000]   and everybody said, "Well, if I'm going to take the 5% fund, then I can get a 7% fund."
[00:52:26.000 --> 00:52:30.000]   But the end result is very different.
[00:52:30.000 --> 00:52:33.000]   So I think it's an appropriate investment.
[00:52:33.000 --> 00:52:36.000]   I wouldn't make it my entire investment for my retiree assets,
[00:52:36.000 --> 00:52:40.000]   but, again, the design is to be a balanced approach,
[00:52:40.000 --> 00:52:46.000]   a broadly diversified approach that still provides a reasonable rate of return
[00:52:46.000 --> 00:52:49.000]   and with much lower volatility.
[00:52:49.000 --> 00:52:51.000]   And the volatility has been less.
[00:52:51.000 --> 00:52:55.000]   Volatility is every investor's enemy.
[00:52:55.000 --> 00:53:02.000]   The same return in a volatile portfolio is one that's constant.
[00:53:02.000 --> 00:53:04.000]   I'll give you numbers.
[00:53:04.000 --> 00:53:09.000]   10% and 10% over two years gets you a 21% return.
[00:53:09.000 --> 00:53:11.000]   Zero and 20 gives you a 20% return.
[00:53:11.000 --> 00:53:13.000]   So you don't want volatility.
[00:53:13.000 --> 00:53:17.000]   So those portfolios were designed to try to address that volatility
[00:53:17.000 --> 00:53:19.000]   and help with higher returns.
[00:53:19.000 --> 00:53:25.000]   Well, Gus, was that designed as an alternative to annuities,
[00:53:25.000 --> 00:53:30.000]   like a SPIA, a single premium immediate annuity?
[00:53:30.000 --> 00:53:36.000]   Yes, except for the fact that it does have more volatility.
[00:53:36.000 --> 00:53:43.000]   I mean, it was designed to be something you can have in retirement,
[00:53:43.000 --> 00:53:48.000]   really count on the amount of income, the income growing over time with inflation,
[00:53:48.000 --> 00:53:52.000]   and hopefully even a little bit on a real basis,
[00:53:52.000 --> 00:53:55.000]   but do it in a very low-cost fashion.
[00:53:55.000 --> 00:53:58.000]   The problem with the annuity is that it's a high cost.
[00:53:58.000 --> 00:54:02.000]   Well, not only that, but you lose the money that was there.
[00:54:02.000 --> 00:54:05.000]   People don't buy annuities. They're sold annuities.
[00:54:05.000 --> 00:54:09.000]   I'm talking about a single premium immediate annuity.
[00:54:09.000 --> 00:54:12.000]   Yeah, well, what I mean, they're sold.
[00:54:12.000 --> 00:54:14.000]   Nobody goes out looking for one.
[00:54:14.000 --> 00:54:16.000]   It's a salesperson who comes to you and sells you one.
[00:54:16.000 --> 00:54:20.000]   Well, I think in this group, single premium immediate annuities
[00:54:20.000 --> 00:54:24.000]   are one of the acceptable options.
[00:54:24.000 --> 00:54:26.000]   Oh, really? That's an interesting piece.
[00:54:26.000 --> 00:54:31.000]   I think a lot of hesitation people have is it's the risk of dying tomorrow,
[00:54:31.000 --> 00:54:35.000]   and you gave up all your principal.
[00:54:35.000 --> 00:54:39.000]   So that's why they're still relatively small.
[00:54:39.000 --> 00:54:42.000]   But when the managed payout funds came out,
[00:54:42.000 --> 00:54:45.000]   I thought that this was a good alternative
[00:54:45.000 --> 00:54:50.000]   for people who could accept the variability in the returns
[00:54:50.000 --> 00:54:55.000]   because they still retain the assets as opposed to a single premium immediate annuity
[00:54:55.000 --> 00:54:58.000]   where they lost the assets.
[00:54:58.000 --> 00:55:04.000]   If I can say something slightly scandalous, perhaps moderately scandalous,
[00:55:04.000 --> 00:55:07.000]   a lot is written about the annuitization puzzle,
[00:55:07.000 --> 00:55:09.000]   which is why more people don't do it.
[00:55:09.000 --> 00:55:15.000]   And Mel's given one good reason, and so is Mr. Sauter.
[00:55:15.000 --> 00:55:20.000]   But what we find when we look at annuitizations,
[00:55:20.000 --> 00:55:22.000]   there are lots of good reasons not to do it.
[00:55:22.000 --> 00:55:28.000]   And it turns out that a lot of the people who write about the annuitization puzzle
[00:55:28.000 --> 00:55:33.000]   receive very large consultant fees from the insurance industry.
[00:55:33.000 --> 00:55:35.000]   No.
[00:55:35.000 --> 00:55:37.000]   [laughter]
[00:55:37.000 --> 00:55:39.000]   Say it in itself.
[00:55:39.000 --> 00:55:43.000]   Yeah, say it in itself.
[00:55:43.000 --> 00:55:47.000]   Okay, here's a question for the panel from Victoria F.
[00:55:47.000 --> 00:55:55.000]   Last April, we were bombarded with the news about high-frequency trading, HFT.
[00:55:55.000 --> 00:55:59.000]   What is your current opinion about HFT and the merits of Vanguard
[00:55:59.000 --> 00:56:07.000]   using HFT-resistant exchanges such as IEX?
[00:56:07.000 --> 00:56:09.000]   I guess that kind of falls on me.
[00:56:09.000 --> 00:56:15.000]   I've actually been somewhat vocal that I think all the uproar about HFT
[00:56:15.000 --> 00:56:20.000]   is that it sells books and actually has had less impact.
[00:56:20.000 --> 00:56:22.000]   It's interesting.
[00:56:22.000 --> 00:56:27.000]   At the end, you have to have some metric to measure the quality of a market.
[00:56:27.000 --> 00:56:29.000]   So what would that metric be?
[00:56:29.000 --> 00:56:30.000]   It would be transaction costs.
[00:56:30.000 --> 00:56:35.000]   I mean, that's really what the fallout is when you're investing.
[00:56:35.000 --> 00:56:38.000]   And if you look at transaction costs 15 years ago,
[00:56:38.000 --> 00:56:41.000]   they were well over 1% to buy the average equity.
[00:56:41.000 --> 00:56:44.000]   Today, it's about 35 basis points.
[00:56:44.000 --> 00:56:48.000]   So transaction costs have absolutely plummeted in the last 15 years.
[00:56:48.000 --> 00:56:50.000]   And there are several reasons why.
[00:56:50.000 --> 00:56:54.000]   There was a very significant change in what's called the border handling rules
[00:56:54.000 --> 00:56:58.000]   in the mid-1990s, 1996, I believe.
[00:56:58.000 --> 00:57:02.000]   And that led to the proliferation of different trading venues.
[00:57:02.000 --> 00:57:07.000]   Prior to that time, there were really only four different places to trade, four or five.
[00:57:07.000 --> 00:57:11.000]   And then all of a sudden, you see this explosion of trading venues.
[00:57:11.000 --> 00:57:13.000]   And I would say that I'm not in favor of that.
[00:57:13.000 --> 00:57:18.000]   I don't like all of the dark pools in all the trading venues.
[00:57:18.000 --> 00:57:22.000]   But they're there, and it would be crazy not to use them.
[00:57:22.000 --> 00:57:24.000]   But that led to the proliferation of exchanges.
[00:57:24.000 --> 00:57:32.000]   Then we had another very significant change, the decimalization in 2002, I think.
[00:57:32.000 --> 00:57:35.000]   That led to a collapse in spreads.
[00:57:35.000 --> 00:57:42.000]   We then had, with this proliferation of exchanges, we ended up with kind of a mess.
[00:57:42.000 --> 00:57:44.000]   The exchanges weren't tied together.
[00:57:44.000 --> 00:57:48.000]   And so the SEC created what's called REG NMS, National Market System.
[00:57:48.000 --> 00:57:54.000]   And that tried to bring all these 52 different trading venues together again.
[00:57:54.000 --> 00:58:00.000]   But they needed some vehicle to do that, and that's what high-frequency traders do.
[00:58:00.000 --> 00:58:04.000]   One function high-frequency traders do, you'll be very familiar with.
[00:58:04.000 --> 00:58:09.000]   They tie the exchange-traded fund prices to the underlying securities,
[00:58:09.000 --> 00:58:11.000]   or futures prices to the underlying securities.
[00:58:11.000 --> 00:58:17.000]   And the prices would wander away if there weren't people arbitraging to keep them close.
[00:58:17.000 --> 00:58:22.000]   So all of this has come together to create an ecosystem.
[00:58:22.000 --> 00:58:29.000]   And it's not an ideal ecosystem, but it has resulted in a dramatic decline in transaction costs.
[00:58:29.000 --> 00:58:33.000]   We live in a much better place today than we did 15 years ago.
[00:58:33.000 --> 00:58:35.000]   Could it be better? Yes, I think it could be better.
[00:58:35.000 --> 00:58:38.000]   I don't like the current market structure.
[00:58:38.000 --> 00:58:48.000]   Interestingly, the issues brought out in Flash Boys really aren't the real problems.
[00:58:48.000 --> 00:58:53.000]   There are some problems with high-frequency trading, but not the ones brought out in that book.
[00:58:53.000 --> 00:58:58.000]   So the SEC is reviewing order types.
[00:58:58.000 --> 00:59:01.000]   And that's really the biggest issue, is order types.
[00:59:01.000 --> 00:59:04.000]   Most institutional traders, and certainly individual traders,
[00:59:04.000 --> 00:59:07.000]   don't know what these order types are that high-frequency traders are using.
[00:59:07.000 --> 00:59:13.000]   If you use those same order types, you're totally immune to high-frequency traders.
[00:59:13.000 --> 00:59:16.000]   So I think there are some issues.
[00:59:16.000 --> 00:59:19.000]   I think they're way overblown in Flash Boys.
[00:59:19.000 --> 00:59:21.000]   We definitely live in a better world today.
[00:59:21.000 --> 00:59:24.000]   And I do worry that if all of a sudden somebody came in and said,
[00:59:24.000 --> 00:59:27.000]   "Get rid of all high-frequency traders," we'd go back to the old world.
[00:59:27.000 --> 00:59:29.000]   And that was not a good place.
[00:59:29.000 --> 00:59:33.000]   Let me expand on that literary dimension,
[00:59:33.000 --> 00:59:38.000]   which is the essence of good nonfiction writing is compelling narratives.
[00:59:38.000 --> 00:59:44.000]   And the narratives that Mr. Lewis had were spectacular.
[00:59:44.000 --> 00:59:48.000]   You know, people cutting straight lines through mountains across the Appalachians,
[00:59:48.000 --> 00:59:55.000]   heroic young financial analysts discovering irregularities in the system.
[00:59:55.000 --> 01:00:01.000]   Never mind the fact that the cost of this to the individual trader who's unaware of them
[01:00:01.000 --> 01:00:07.000]   might be a basis point or two, versus the hundreds or thousands of basis points
[01:00:07.000 --> 01:00:12.000]   that are garnered by a mendacious mutual fund brokerage industry.
[01:00:12.000 --> 01:00:14.000]   That's not a good narrative.
[01:00:14.000 --> 01:00:16.000]   And he pretty much admitted that.
[01:00:16.000 --> 01:00:18.000]   He said, "Yeah, everybody knows that Wall Street is corrupt,
[01:00:18.000 --> 01:00:22.000]   and it's creaming trillions of dollars off from individual investors,
[01:00:22.000 --> 01:00:24.000]   but that just wasn't a good enough story for me.
[01:00:24.000 --> 01:00:27.000]   This was a much more compelling narrative."
[01:00:27.000 --> 01:00:36.000]   Let me just suggest to Gus that you read with great care my editorial from JPM for summer
[01:00:36.000 --> 01:00:39.000]   called "Flash Boy and High-Frequency Trading."
[01:00:39.000 --> 01:00:44.000]   By the time you get through it, Gus, you will think, "Why is he putting my name to your work?"
[01:00:44.000 --> 01:00:47.000]   [laughter]
[01:00:47.000 --> 01:00:51.000]   Or your name to my work, I guess, would be a better formulation.
[01:00:51.000 --> 01:00:54.000]   I totally agree with you.
[01:00:54.000 --> 01:00:57.000]   See, it happens. Once again?
[01:00:57.000 --> 01:01:01.000]   [laughter]
[01:01:01.000 --> 01:01:05.000]   This is a question for the panel from Frugal Investor.
[01:01:05.000 --> 01:01:10.000]   Given that a retiree has ensured a basic survival budget using Social Security
[01:01:10.000 --> 01:01:13.000]   and single premium immediate annuities,
[01:01:13.000 --> 01:01:17.000]   I've been reading with interest various discussions on bubbleheads.org
[01:01:17.000 --> 01:01:20.000]   about a variable withdrawal method.
[01:01:20.000 --> 01:01:24.000]   For those of you who may be familiar with it, what are your opinions about it?
[01:01:24.000 --> 01:01:32.000]   Is it any better or safer than other withdrawal methods, and if so, why?
[01:01:32.000 --> 01:01:34.000]   Well, sure.
[01:01:34.000 --> 01:01:39.000]   A variable flexible withdrawal method that reduces withdrawals when returns are low or negative
[01:01:39.000 --> 01:01:43.000]   is obviously going to have a better survival percentage probability
[01:01:43.000 --> 01:01:48.000]   than one that has a fixed one that doesn't change with portfolio returns.
[01:01:48.000 --> 01:01:51.000]   So the question is, how flexible are you?
[01:01:51.000 --> 01:01:55.000]   If you're very flexible, then by all means, use a variable method.
[01:01:55.000 --> 01:02:00.000]   You're going to increase your chance of retiring successfully.
[01:02:00.000 --> 01:02:04.000]   The only problem is that will come at a cost of reduced consumption.
[01:02:04.000 --> 01:02:07.000]   There's always this trade-off between safety and consumption.
[01:02:07.000 --> 01:02:12.000]   You've got to figure out a way around it.
[01:02:12.000 --> 01:02:15.000]   Anyone else here care to comment?
[01:02:15.000 --> 01:02:20.000]   Well, I think the other threat of a lower-- of a reduced income stream
[01:02:20.000 --> 01:02:23.000]   is also that you have to consider inflation in there.
[01:02:23.000 --> 01:02:33.000]   So when you consider that plus the lower withdrawal, it's kind of a double-header.
[01:02:33.000 --> 01:02:37.000]   Okay, here's a question for the panel from Disaprius.
[01:02:37.000 --> 01:02:42.000]   Dr. Bernstein, Bernstein sometimes cites Rekenthal's rule,
[01:02:42.000 --> 01:02:47.000]   if the bozos know about it, it doesn't work anymore, for all panel members.
[01:02:47.000 --> 01:02:51.000]   In your opinion, is this just one of those amusing platitudes
[01:02:51.000 --> 01:02:54.000]   that sometimes fits and sometimes doesn't?
[01:02:54.000 --> 01:03:00.000]   Or is there actually actionable wisdom in it?
[01:03:00.000 --> 01:03:06.000]   Or is it truth?
[01:03:06.000 --> 01:03:10.000]   I think it's a useful rule at extremes.
[01:03:10.000 --> 01:03:13.000]   And, you know, one of the--
[01:03:13.000 --> 01:03:15.000]   I think most people, if we're going to talk, you know,
[01:03:15.000 --> 01:03:17.000]   financial porn market time in here,
[01:03:17.000 --> 01:03:20.000]   one of the most reliable indicators, in my opinion,
[01:03:20.000 --> 01:03:22.000]   is when all of your neighbors are doing something,
[01:03:22.000 --> 01:03:25.000]   it's generally a good idea that you don't do it.
[01:03:25.000 --> 01:03:28.000]   And when people start arguing with you and getting angry at you
[01:03:28.000 --> 01:03:30.000]   because you disagree with them,
[01:03:30.000 --> 01:03:38.000]   that's an almost certain sign that they're wrong.
[01:03:38.000 --> 01:03:40.000]   Anyone else?
[01:03:40.000 --> 01:03:43.000]   Well, I would just say arbitrage is a very strong phenomenon,
[01:03:43.000 --> 01:03:55.000]   so if everybody does perceive something, they'll arbitrage it away.
[01:03:55.000 --> 01:03:59.000]   Okay, here's a question for the panel from Ray James.
[01:03:59.000 --> 01:04:03.000]   Gold and tail risk, how much would each of you allocate to gold
[01:04:03.000 --> 01:04:10.000]   in a hypothetical portfolio purely for diversification?
[01:04:10.000 --> 01:04:13.000]   Well, if the portfolio has a 25 or 50-year time horizon,
[01:04:13.000 --> 01:04:17.000]   it's ain't that bad, but I would allocate 5% to gold
[01:04:17.000 --> 01:04:21.000]   just in case something awful happens that will help you a little bit.
[01:04:21.000 --> 01:04:26.000]   Other than that, I don't think it should be installed.
[01:04:26.000 --> 01:04:29.000]   Or, alternatively, instead of 5% gold,
[01:04:29.000 --> 01:04:31.000]   you can do 2% precious metals aggregate,
[01:04:31.000 --> 01:04:35.000]   which does effectively the same thing.
[01:04:35.000 --> 01:04:39.000]   You can use up a little smaller portion of your portfolio.
[01:04:39.000 --> 01:04:43.000]   By the way, precious metals aggregate prices have fallen
[01:04:43.000 --> 01:04:48.000]   in the past three years by 70%.
[01:04:48.000 --> 01:04:52.000]   Let me just reiterate for all of you a very simple fact about gold,
[01:04:52.000 --> 01:04:54.000]   precious metals, and any other commodity.
[01:04:54.000 --> 01:04:58.000]   They have no internal rate of return.
[01:04:58.000 --> 01:05:00.000]   I said this yesterday.
[01:05:00.000 --> 01:05:02.000]   Stocks have dividend yields and earnings growth.
[01:05:02.000 --> 01:05:04.000]   Bonds have interest group bonds.
[01:05:04.000 --> 01:05:07.000]   Precious metals, commodities, gold have nothing.
[01:05:07.000 --> 01:05:10.000]   So when you buy that particular security,
[01:05:10.000 --> 01:05:13.000]   you're basically betting you can sell it for more than you pay for it.
[01:05:13.000 --> 01:05:16.000]   And that is exactly the definition of speculation.
[01:05:16.000 --> 01:05:18.000]   So you want to be very careful.
[01:05:18.000 --> 01:05:23.000]   We all know it gets very popular when gold is at 3,000 or wherever it got,
[01:05:23.000 --> 01:05:25.000]   3,300, I don't know.
[01:05:25.000 --> 01:05:28.000]   And it used to be the big thing in Forbes about 40 years ago.
[01:05:28.000 --> 01:05:30.000]   And then it didn't do well for a long time.
[01:05:30.000 --> 01:05:31.000]   So everybody forgot it.
[01:05:31.000 --> 01:05:34.000]   Remember it after it's done well.
[01:05:34.000 --> 01:05:37.000]   So just keep in mind that if everybody's talking gold,
[01:05:37.000 --> 01:05:39.000]   it's the time to get out.
[01:05:39.000 --> 01:05:41.000]   Now that everybody's talking non-gold,
[01:05:41.000 --> 01:05:43.000]   it's probably the time to get in.
[01:05:43.000 --> 01:05:44.000]   God knows.
[01:05:44.000 --> 01:05:46.000]   So you shouldn't be betting in your portfolio.
[01:05:46.000 --> 01:05:50.000]   Except Ron Paul said, "It could go to infinity."
[01:05:50.000 --> 01:05:54.000]   [laughter]
[01:05:54.000 --> 01:05:57.000]   This is number four that I agree with Jack on.
[01:05:57.000 --> 01:06:00.000]   [laughter]
[01:06:00.000 --> 01:06:06.000]   I have a different perspective in that I was a gold miner from 1982 to 1985.
[01:06:06.000 --> 01:06:10.000]   It took me three years to bankrupt a company that I put together.
[01:06:10.000 --> 01:06:12.000]   And I'm cured now.
[01:06:12.000 --> 01:06:14.000]   [laughter]
[01:06:14.000 --> 01:06:16.000]   I do believe that gold is not an investment.
[01:06:16.000 --> 01:06:21.000]   Gold could be, as Jack said, a catastrophic hedge.
[01:06:21.000 --> 01:06:27.000]   To me, if the world blew up, gold is a catastrophic hedge.
[01:06:27.000 --> 01:06:31.000]   But I don't place a high probability on that.
[01:06:31.000 --> 01:06:33.000]   So I wouldn't put a whole lot of money into gold.
[01:06:33.000 --> 01:06:36.000]   I certainly would not consider it an investment.
[01:06:36.000 --> 01:06:39.000]   And I think that some people consider it an inflation hedge.
[01:06:39.000 --> 01:06:45.000]   But in my portfolio, I have a $120 gold piece that I inherited from my dad.
[01:06:45.000 --> 01:06:49.000]   And I use tips and outbounds for my inflation protection.
[01:06:49.000 --> 01:06:50.000]   That's interesting.
[01:06:50.000 --> 01:06:52.000]   There are two types of inflation.
[01:06:52.000 --> 01:06:56.000]   So there's anticipated inflation and unanticipated inflation.
[01:06:56.000 --> 01:07:03.000]   And gold and other commodities are good inflation hedges with unanticipated inflation.
[01:07:03.000 --> 01:07:06.000]   In fact, they're one of the best, one of the few good ones.
[01:07:06.000 --> 01:07:14.000]   But then, once inflation is anticipated, all of a sudden, equities are probably your best hedge against anticipated inflation.
[01:07:14.000 --> 01:07:21.000]   You know, as far as gold as an investment goes, this is exactly what Rick Ferry has to raise his left hand.
[01:07:21.000 --> 01:07:24.000]   There we go. There's the gold investment you can make.
[01:07:24.000 --> 01:07:26.000]   That's gold investment you can make.
[01:07:26.000 --> 01:07:29.000]   [laughter]
[01:07:29.000 --> 01:07:31.000]   Best investment ever.
[01:07:31.000 --> 01:07:33.000]   [laughter]
[01:07:33.000 --> 01:07:40.000]   There is a very important point here that I don't think anybody but Cliff Asness has talked about.
[01:07:40.000 --> 01:07:45.000]   And he's at this wonderful award, if you can get a hold of this, it's all public, with Paul Kerman,
[01:07:45.000 --> 01:07:48.000]   who says the Fed has stopped inflation.
[01:07:48.000 --> 01:07:55.000]   And Cliff Asness says the Fed has stopped price inflation for the things we buy.
[01:07:55.000 --> 01:07:58.000]   But they have increased the inflation of financial assets.
[01:07:58.000 --> 01:08:02.000]   We've had huge inflation of financial assets due to the very Fed programs
[01:08:02.000 --> 01:08:06.000]   that are holding inflation down on things like the CPI.
[01:08:06.000 --> 01:08:08.000]   So it's not an open and shut case.
[01:08:08.000 --> 01:08:14.000]   And, you know, it's almost like you push something in here because it's whack-a-mole or something,
[01:08:14.000 --> 01:08:16.000]   and it pops up over here.
[01:08:16.000 --> 01:08:21.000]   And that's a very important point to realize, that the Fed, I think, is kidding itself in a lot of ways
[01:08:21.000 --> 01:08:24.000]   by giving themselves the hero's pat on the back.
[01:08:24.000 --> 01:08:27.000]   Always a worrisome thing, except when Gus and I are concerned.
[01:08:27.000 --> 01:08:30.000]   [laughter]
[01:08:30.000 --> 01:08:33.000]   And so you want to think about what's really happening,
[01:08:33.000 --> 01:08:37.000]   and it requires looking at financial assets as well as the normal consumer price,
[01:08:37.000 --> 01:08:42.000]   the basket of consumer goods.
[01:08:42.000 --> 01:08:46.000]   Here's a question for the panel.
[01:08:46.000 --> 01:08:51.000]   What fixed income choice and asset allocation do you advise in the current climate
[01:08:51.000 --> 01:08:55.000]   for individuals that have little or no tax advantage space
[01:08:55.000 --> 01:09:04.000]   and want an only large taxable account?
[01:09:04.000 --> 01:09:07.000]   I mean, you know, you should diversify.
[01:09:07.000 --> 01:09:14.000]   You should have a fair dollop of very safe assets, treasuries, CDs.
[01:09:14.000 --> 01:09:17.000]   Alan Roth will tell you how to do great work with CDs.
[01:09:17.000 --> 01:09:20.000]   I'm listening to the community's writings about that.
[01:09:20.000 --> 01:09:23.000]   And, you know, munis as well.
[01:09:23.000 --> 01:09:27.000]   A mistake that a lot of people make is they put 100% of their fixed income into their single state
[01:09:27.000 --> 01:09:30.000]   and do it to munis in their own state,
[01:09:30.000 --> 01:09:38.000]   which can be a disastrous mistake to make in terms of legal credit.
[01:09:38.000 --> 01:09:42.000]   Or alternatively, just buy the third bottom line.
[01:09:42.000 --> 01:09:48.000]   Let me just say that this is one of those questions where everybody wants the answer.
[01:09:48.000 --> 01:09:50.000]   And there is no answer.
[01:09:50.000 --> 01:09:52.000]   One example here, and I agree with what Bill says.
[01:09:52.000 --> 01:09:56.000]   It depends, first of all, and by far the most importantly, on what your time horizon is.
[01:09:56.000 --> 01:10:01.000]   If you're investing for the next five years, you probably should not be in the stock market.
[01:10:01.000 --> 01:10:04.000]   If you're investing for the next ten years, you should do it moderately.
[01:10:04.000 --> 01:10:09.000]   If you're investing for, as everybody must know, if you're investing for another 75 years,
[01:10:09.000 --> 01:10:11.000]   which our young people are doing today,
[01:10:11.000 --> 01:10:15.000]   you should not only be 100% in the stock market, you should be levered.
[01:10:15.000 --> 01:10:19.000]   You should be wholly levered, and you will double your market returns almost without any question.
[01:10:19.000 --> 01:10:23.000]   And you've got to be ready to stay through all the storms we get.
[01:10:23.000 --> 01:10:27.000]   But all these things depend on so many individual factors.
[01:10:27.000 --> 01:10:29.000]   Time horizon is a big one.
[01:10:29.000 --> 01:10:31.000]   Risk tolerance is a big one.
[01:10:31.000 --> 01:10:34.000]   Dimension of your financial goals.
[01:10:34.000 --> 01:10:38.000]   If you think you need to make more money, try to get more in stock.
[01:10:38.000 --> 01:10:40.000]   Not necessarily always the best idea.
[01:10:40.000 --> 01:10:45.000]   But we're all individuals.
[01:10:45.000 --> 01:10:47.000]   We all have our own behavioral problems.
[01:10:47.000 --> 01:10:49.000]   We all have our own hopes and fears.
[01:10:49.000 --> 01:10:57.000]   And so I think we're heading into a rules-making society as if we're all one, the same individual.
[01:10:57.000 --> 01:11:03.000]   And if anything is true, we have in this room probably 230 totally different individuals,
