
[00:00:00.040 --> 00:00:09.540]  bak
[01:00:12.240 --> 01:00:12.240]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:00:12.240 --> 01:00:12.240]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:00:12.240 --> 01:00:12.240]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:00:12.240 --> 01:00:12.240]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:00:12.240 --> 01:00:12.240]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:00:12.240 --> 01:00:12.240]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:00:12.280 --> 01:00:42.260]  ,
[01:00:42.260 --> 01:00:42.260]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:00:42.260 --> 01:00:42.260]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:00:42.260 --> 01:00:42.260]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:00:42.260 --> 01:00:42.260]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:00:42.260 --> 01:00:42.260]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:00:42.260 --> 01:00:42.260]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:00:42.280 --> 01:01:12.280]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:01:12.280 --> 01:01:12.280]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:01:12.280 --> 01:01:12.280]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:01:12.280 --> 01:01:12.280]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:01:12.280 --> 01:01:12.280]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:01:12.280 --> 01:01:12.280]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:01:12.280 --> 01:01:12.280]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:01:12.280 --> 01:01:12.280]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:01:12.280 --> 01:01:12.280]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:01:12.280 --> 01:01:12.280]   Right. So I wanted you to just recognize the key words I said were
[01:01:12.320 --> 01:01:22.220]   a little bit of a
[01:01:22.220 --> 01:01:42.300]   I think it's at least reasonable to say it's possible that we might have significant health care.
[01:01:42.300 --> 01:01:42.300]   Right. So I wanted you to just recognize the key words I said were
[01:01:42.300 --> 01:01:42.300]   right. So I wanted you to just recognize the key words I said were
[01:01:42.300 --> 01:01:42.300]   right. So I wanted you to just recognize the key words I said were
[01:01:42.300 --> 01:01:42.300]   right. So I wanted you to just recognize the key words I said were
[01:01:42.300 --> 01:01:42.300]   right. So I wanted you to just recognize the key words I said were
[01:01:42.300 --> 01:01:42.300]   right. So I wanted you to just recognize the key words I said were
[01:01:42.340 --> 01:01:51.460]   к
[01:01:51.460 --> 01:01:52.740]   quite about,,,
[01:03:09.760 --> 01:03:20.460]   demand
[01:03:20.460 --> 01:03:21.540]   is a l
[01:03:28.860 --> 01:03:39.060]   in
[01:03:39.060 --> 01:03:42.680]   grain hurt Lee I use to be
[01:03:58.900 --> 01:04:09.160]   .
[01:04:09.160 --> 01:04:13.120]  וד, a car car car,,,,,, address televis contin открыв out over then eating
[01:04:13.120 --> 01:04:22.840]   Word Sonjud Hey τους
[01:04:22.840 --> 01:04:27.680]   cannot. I'm "G.G. aver.ulations. advise. Rosen. 50. recall. be r. believe. found. 500. piece. fl.rot. go.pez. marched. Assad. dez the co vaccin. contact. set. ver. Bud.idity. Zimmer isпов. ped.best. 느. private. glanceкие. debt. Spiritual knew it兩個원�eless. quer cin. vie'G.DI.PC.etzt. kickingild. cab Så arrived. clutter en
[01:04:27.720 --> 01:04:37.920]   talk
[01:04:37.920 --> 01:04:56.040]   blasting.,,,, concentrate EV C Is He's glaube dé �'t, and,,,,,,,,,,,,,,.,, excuse 12 chat Click receive like eший як Far remember do seeds didnt mise marrow tree那 avoid seam деньvisressed war� volume weigh in the Trustee the es cannot beautiful than, and, when, and, it
[01:04:56.180 --> 01:05:24.640]   the best financing terms, whatever you're going to do, but then also look to say, can I do make this thing make more money for me? Can I make this thing do more for me? So maybe that means with your new car, you say, well, I don't have enough money, you know, for some people, but I don't have enough money to buy a condo, but I'm going to buy a new car.
[01:05:24.640 --> 01:05:24.640]   I'm going to buy a new car.
[01:05:24.640 --> 01:05:24.640]   I'm going to buy a new car.
[01:05:24.640 --> 01:05:24.840]   I'm going to buy a new car.
[01:05:24.840 --> 01:05:24.900]   I'm going to buy a new car.
[01:05:24.900 --> 01:05:24.940]   I'm going to buy a new car.
[01:05:24.940 --> 01:05:25.020]   I'm going to buy a new car.
[01:05:25.020 --> 01:05:25.100]   I'm going to buy a new car.
[01:05:25.100 --> 01:05:25.140]   I'm going to buy a new car.
[01:05:25.140 --> 01:05:25.200]   I'm going to buy a new car.
[01:05:25.200 --> 01:05:25.260]   I'm going to buy a new car.
[01:05:25.260 --> 01:05:25.360]   I'm going to buy a new car.
[01:05:25.360 --> 01:05:45.540]  , but let me make sure I'm going to go and drive this car two weekends a month for a ride share service and make enough to pay my car payment.
[01:05:45.560 --> 01:05:48.360]   I'm going to buy a new car.
[01:05:48.360 --> 01:05:49.100]   I'm going to buy a new car.
[01:05:49.100 --> 01:05:49.140]   I'm going to buy a new car.
[01:05:49.140 --> 01:05:49.260]   I'm going to buy a new car.
[01:05:49.260 --> 01:05:49.360]   I'm going to buy a new car.
[01:05:49.360 --> 01:05:49.400]   I'm going to buy a new car.
[01:05:49.400 --> 01:05:49.440]   I'm going to buy a new car.
[01:05:49.440 --> 01:05:49.500]   I'm going to buy a new car.
[01:05:49.500 --> 01:06:01.240]   Or look at it and say, if I'm going to buy this car, how can I buy this car in a business that I've created that would allow me to depreciate it or to expense my miles in a bigger way.
[01:06:01.240 --> 01:06:05.680]   To look at every way that you can to try to maximize the value of it.
[01:06:05.680 --> 01:06:14.460]   And when you start putting all those things together, then, again, you can have a lifetime of increasing wealth and decreasing and good solid consumption over time.
[01:06:14.460 --> 01:06:15.520]   That's it for today.
[01:06:15.520 --> 01:06:15.560]   See you next time.
[01:06:15.560 --> 01:06:15.560]   Bye.
[01:06:15.560 --> 01:06:15.560]   Bye.
[01:06:15.560 --> 01:06:15.560]   Bye.
[01:06:15.600 --> 01:06:25.820]   seem
[01:06:25.820 --> 01:06:40.860]   уб confirm,,, son
[01:07:13.680 --> 01:07:23.900]   stomach
[01:07:23.900 --> 01:07:43.100]   çünkü was,,,,
[01:08:12.920 --> 01:08:12.920]   ------
[01:08:12.920 --> 01:08:12.920]   ------
[01:08:12.920 --> 01:08:12.920]   ------
[01:08:12.920 --> 01:08:12.920]   ------
[01:08:12.920 --> 01:08:13.300]   ------
[01:08:13.340 --> 01:08:24.420]  ,
[01:08:24.420 --> 01:08:40.480]   with "
[01:08:42.180 --> 01:08:54.300]   gtm@gmail.com.

