
[00:00:00.160 --> 00:00:04.640]   all right everybody uh let's get the show started here wait jason why are you wearing a tux what's
[00:57:54.720 --> 00:58:00.160]   but do i mean if well when you're asking like i want to watch chamath on rogan like i don't just
[00:58:00.160 --> 00:58:05.600]   want to hear i want to see like when i want to visualize stuff i want to visualize it i want to look at the
[00:58:05.600 --> 00:58:09.520]   food i'm buying online i want to look at pictures of the restaurant i'm going to go to but how much
[00:58:09.520 --> 00:58:15.120]   of that time when you say those things are you not near some screen that you can just project and
[00:58:15.120 --> 00:58:20.800]   broadcast that i mean right maybe that's the model is if the use case is i'm walking in the park and i
[00:58:20.800 --> 00:58:26.240]   need to watch tv at the same time i don't think that's a real use i i think you're on this one wrong
[00:58:26.240 --> 00:58:34.080]   chamath because i saw this revolution in japan maybe 20 years ago they got obsessed with augmented reality
[00:58:34.080 --> 00:58:39.360]   there were a ton of startups right as they started getting to the mobile phones and the use cases were
[00:58:39.360 --> 00:58:44.240]   really very compelling and we're starting to see them now in education and when you're at dinner with
[00:58:44.240 --> 00:58:50.960]   a bunch of friends how often does picking up your phone and you know looking at a message disturb the
[00:58:50.960 --> 00:58:54.880]   flow well people will have glasses on they'll be going for walks they'll be driving they'll be at a
[00:58:54.880 --> 00:58:59.760]   dinner party they'll be with their kids and you'll have something on like focus mode you know whatever the
[00:58:59.760 --> 00:59:05.120]   equivalent is an apple and a message will come in from your spouse or from your child but you won't
[00:59:05.120 --> 00:59:09.600]   have to take your phone out of your pocket and i think once these things weigh a lot less you're
[00:59:09.600 --> 00:59:14.560]   going to have four different ways to interact with your computer in your pocket your phone your watch your
[00:59:14.560 --> 00:59:19.040]   airpods whatever you have in your ears and the glasses and i bet you glasses are going to take like
[00:59:19.040 --> 00:59:24.960]   a third of the tasks you do i mean what is the point of taking out your phone and watching the uber come to you
[00:59:24.960 --> 00:59:29.760]   but seeing that little strip that tells you the uber is 20 minutes away 15 minutes away or what the
[00:59:29.760 --> 00:59:34.640]   gate number is i don't have that anxiety well i don't know if it's anxiety but i just think it's
[00:59:34.640 --> 00:59:40.320]   ease of use 15 minutes 10 minutes that's that's the definition i think it adds up i think it taking your
[00:59:40.320 --> 00:59:45.600]   phone out of your pocket 50 times a day those are all useless notifications the whole thing is to train
[00:59:45.600 --> 00:59:50.480]   yourself to realize that it'll come when it comes okay sac do you have any thoughts on this uh impressive
[00:59:50.480 --> 00:59:55.600]   demo or you know the demo that people who've seen have said is pretty pretty darn compelling i think
[00:59:55.600 --> 01:00:00.720]   it it does look pretty impressive i mean you can wear these meta orion glasses around
[01:00:00.720 --> 01:00:08.320]   and look like a human i mean you might look like eugene levy but you'll still look like a semi-normal
[01:00:08.320 --> 01:00:13.440]   person whereas you can't wear the apple vision pro i mean you can't wear that around what they don't
[01:00:13.440 --> 01:00:18.160]   look good you don't like them nick can you please find a picture of eugene levy
[01:00:18.160 --> 01:00:25.680]   i mean it seems like a major advancement certainly compared to apple vision pro i mean you don't hear
[01:00:25.680 --> 01:00:30.640]   really impressive you don't hear about the apple vision pros anymore at all i mean those things came and
[01:00:30.640 --> 01:00:44.080]   went it seems to me that who's that meta meta is executing extremely well i mean you had the very
[01:00:44.080 --> 01:00:50.080]   successful cost-cutting which wall street liked zuck published that letter which i give him credit for
[01:00:50.080 --> 01:00:57.200]   regretting the censorship that meta did which was at the best of the deep state yeah they made huge
[01:00:57.200 --> 01:01:01.120]   advancements in ai i don't think they were initially on the cutting edge of that but they've caught up
[01:01:01.120 --> 01:01:07.440]   and now they're leading their firing on all cylinders yeah with with llama 3.2 and now it seems to me that
[01:01:07.440 --> 01:01:13.920]   they're ahead on augmented reality ever since uh zuck grew out the hair yeah gold chain don't ever don't
[01:01:13.920 --> 01:01:19.760]   ever cut the hair it's like samson i mean yeah it's like samson based based zuck is the best zuck
[01:01:19.760 --> 01:01:25.760]   he does i mean by the way i want to be clear i i think these glasses are are going to be successful my
[01:01:25.760 --> 01:01:32.560]   only comment is that i think that when you look back 25 and 30 years from now and say that was the
[01:01:32.560 --> 01:01:38.880]   killer ai device i don't think it's going to look like something we know today that's my only point
[01:01:38.880 --> 01:01:44.160]   and maybe it's going to be this thing that sam altman and johnny ive are baking up that's supposed
[01:01:44.160 --> 01:01:53.360]   to be this ai infused iphone killer maybe it's that thing i doubt that will be a pair of glasses or a phone
[01:01:53.360 --> 01:01:59.920]   or a pin if you think about like so so take the constraints on i don't need a keyboard because i'm
[01:01:59.920 --> 01:02:06.640]   not gonna be typing stuff i don't need a normal browser interface you could see a device come out
[01:02:06.640 --> 01:02:11.440]   that's almost like smaller than the palm of your hand that gives you enough of the visuals and all
[01:02:11.440 --> 01:02:17.120]   it is is a screen with maybe two buttons on the side and it's all audio driven you put a headset in
[01:02:17.120 --> 01:02:21.840]   and you're basically just talking or using gesture or looking at it to kind of describe where you want
[01:02:21.840 --> 01:02:25.680]   things to go and it can create an entirely new computing interface because ai does all of these
[01:02:25.680 --> 01:02:32.160]   incredible things with predictive text with gesture control with eye control and with audio control
[01:02:32.160 --> 01:02:35.040]   and then it can just give you what you want on a screen and all you're getting is a simple
[01:02:35.040 --> 01:02:39.680]   interface so chamath you may be right it might be a big watch or a handheld thing that's much smaller
[01:02:39.680 --> 01:02:46.320]   than an iphone and just all it is is a screen with nothing i really resonate when you talk about voice
[01:02:46.320 --> 01:02:52.560]   only because i think it's like it you i think there's like a part of like social decorum
[01:02:52.560 --> 01:03:00.160]   that all of these goggles and glasses violate and i think we're going to have to decide as a society
[01:03:00.160 --> 01:03:06.880]   whether that's going to be okay and then i think like are when you like go trekking in nepal are you
[01:03:06.880 --> 01:03:12.000]   going to encounter somebody wearing ar glasses i think the odds are pretty low but you do see people
[01:03:12.000 --> 01:03:19.440]   today with a phone so what do they replace it with and i think voice as a modality is is i think it's
[01:03:19.440 --> 01:03:23.920]   more credible that that could be used by eight billion people i think social fabric's more affected by
[01:03:23.920 --> 01:03:27.440]   people staring at their phones all the time you sit on a bus you sit at a restaurant you go to dinner
[01:03:27.440 --> 01:03:32.320]   with someone and they're staring at their phone like you know spouses friends we all deal with it
[01:03:32.320 --> 01:03:36.400]   where you feel like you're not getting attention from the person that you're interfacing with in
[01:03:36.400 --> 01:03:41.520]   the real world because they're so connected to the phone if we can disconnect the phone but still
[01:03:41.520 --> 01:03:46.400]   take away this kind of addictive feedback loop system but still give you this computing ability
[01:03:46.400 --> 01:03:49.920]   in a more ambient way that allows you to remain engaged in the physical world i think everyone
[01:03:49.920 --> 01:03:55.120]   could say it hurts your feeling when he's playing chess and not paying attention yeah i'll be playing chess
[01:03:55.120 --> 01:04:03.120]   on my ar glasses while pretending to listen to you you idiot oh fine he's buying him he got he got
[01:04:03.120 --> 01:04:08.800]   version one but what one point i want to just hit on is that the reason why these glasses have a chance
[01:04:08.800 --> 01:04:14.720]   of working is because of ai i mean facebook initially made that's exactly my point that's exactly my point
[01:04:14.720 --> 01:04:20.400]   facebook or meta made these huge investments before ai was a thing and in a way i think they've kind of
[01:04:20.400 --> 01:04:27.440]   gotten lucky because what ai gives you is uh voice and audio so you can talk to the glasses or whatever
[01:04:27.440 --> 01:04:34.080]   the wearable is it can talk to you that's the perfect natural language and computer vision allows
[01:04:34.080 --> 01:04:39.120]   it to understand the world around you so whatever this device is it can be a true yeah personal
[01:04:39.120 --> 01:04:43.840]   digital assistant in the real world and that's the opportunity if you guys play with apple vision
[01:04:43.840 --> 01:04:50.000]   pro have any of you actually like used it to any extent if you actually play with it i used it for a day
[01:04:50.480 --> 01:04:56.560]   or a night when we were playing poker and i've never used it again right which i get but i do think
[01:04:56.560 --> 01:05:01.600]   that it has these tools in it similar to like the original macintosh had these incredible graphics
[01:05:01.600 --> 01:05:07.120]   editors like mac paint and all these things that like people didn't like get addicted to at the time but
[01:05:07.120 --> 01:05:13.200]   they became this like tool that completely revolutionized everything in computing later
[01:05:13.200 --> 01:05:18.800]   and fonts and so on but like this i think has these tools apple vision pro with gesture control
[01:05:18.800 --> 01:05:26.000]   and the keyboard and the eye control those aspects of that device highlight where this could all go which
[01:05:26.000 --> 01:05:32.560]   is this these systems can kind of be driven without keyboards without typing without like you know moving
[01:05:32.560 --> 01:05:36.800]   your finger around without clicking i think that's the i think that's the key observation i really
[01:05:36.800 --> 01:05:41.520]   agree with what you just said it's this it's this idea that you're just you're liberated from
[01:05:41.520 --> 01:05:47.360]   the hunting and pecking the controlling it's you don't need to control the computer anymore the
[01:05:47.360 --> 01:05:52.720]   computer now knows what you want and then the computer can just go and do the work well this is
[01:05:52.720 --> 01:05:56.240]   respond yeah now this is the behavior change that i don't think we're fully
[01:05:57.120 --> 01:06:02.720]   giving enough credit to so today part of what jason talked about what i called anxiety is because of
[01:06:02.720 --> 01:06:07.920]   the information architecture of these apps that is totally broken and the reason why it's broken is
[01:06:07.920 --> 01:06:15.520]   when you tell an ai agent get me the cheapest car right now to go to xyz place it will go and look
[01:06:15.520 --> 01:06:21.280]   at lyft and uber and whatever it'll provision the car and then it'll just tell you when it's coming and
[01:06:21.280 --> 01:06:27.200]   it will break this cycle that people have of having to check these apps for what is useless filler
[01:06:27.200 --> 01:06:32.880]   information and when you strip a lot of that notification traffic away i think you'll find that
[01:06:32.880 --> 01:06:37.680]   people start looking at each other in the face more often and i think that that's a net positive
[01:06:37.680 --> 01:06:45.120]   so we'll we'll meta sell hundreds of millions of these things i suspect probably but all i'm saying
[01:06:45.120 --> 01:06:50.000]   is if you look backwards 30 years from now what is the device that sells in the billions
[01:06:50.880 --> 01:06:55.280]   it's probably not a form factor that we understand today i just want to point out like
[01:06:55.280 --> 01:07:00.960]   the the form factor you're seeing now is going to get greatly reduced these were um some of the
[01:07:00.960 --> 01:07:06.560]   early apple um i don't know if you guys remember these but frog design made these crazy
[01:07:06.560 --> 01:07:13.840]   tablets in the 80s that were the eventual inspiration for the ipad you know 25 years later
[01:07:13.840 --> 01:07:20.000]   i guess exactly uh and so that's the journey we're on here right now this clunky and these are not
[01:07:20.000 --> 01:07:24.160]   functional prototypes dude the apple newton is like exactly people forget about and then it
[01:07:24.160 --> 01:07:28.560]   turns out hey you throw away the stylus and you got an iphone right and then and everything gets a
[01:07:28.560 --> 01:07:32.720]   million x better the other subtle thing that's happening which i don't think we should sleep on
[01:07:32.720 --> 01:07:40.560]   is that the air pods are probably going to become much more socially acceptable to wear on a 24 by 7
[01:07:40.560 --> 01:07:46.640]   basis because of this feature that allows it to become a useful hearing aid and i think as it starts
[01:07:46.640 --> 01:07:53.440]   being worn in more and more social environments and as the form factor of that shrinks that's when i
[01:07:53.440 --> 01:08:00.160]   really do think we're going to find some very novel use case which is you know very unobtrusive it kind
[01:08:00.160 --> 01:08:06.480]   of blends into your own physical makeup as a person without it really sticking out i think that's when
[01:08:06.480 --> 01:08:12.320]   you'll have a really killer feature but i think that the the air pods as hearing aids will also add a lot
[01:08:12.320 --> 01:08:17.760]   so meta's doing a lot apple's doing a lot but i don't think we've yet seen the super killer hardware
[01:08:17.760 --> 01:08:23.520]   device yet and there was an interesting waypoint microsoft had the first tablets here's the the
[01:08:23.520 --> 01:08:28.960]   microsoft tablet for those of you watching that came you know i don't know this was the late 90s or early
[01:08:28.960 --> 01:08:35.760]   2000s friedberg if you remember it these like incredibly bulky tablets that bill gates was
[01:08:35.760 --> 01:08:42.480]   bringing to all the events 99 2000 yeah that era so you get a lot of false starts they're spending
[01:08:42.480 --> 01:08:46.960]   i think close to 20 billion dollars a year on this arv or so anyway we're definitely on this path to
[01:08:46.960 --> 01:08:50.800]   ambient computing i don't think i don't think this whole like hey you got to control a computer thing is
[01:08:50.800 --> 01:08:54.720]   anything my kids are going to be doing in 20 years this is uh this is the convergence of like three
[01:08:54.720 --> 01:09:00.160]   or four really interesting technological waves all right just uh dovetailing with tech jobs and the
[01:09:00.160 --> 01:09:08.880]   static team size there is a report of a blue collar boom the tool belt generation is what gen z
[01:09:08.880 --> 01:09:14.800]   is being referred to as a report in the wall street journal reports say tech jobs have dried up we all
[01:09:14.800 --> 01:09:20.960]   we're all seeing that and according to indeed developer jobs down within 30 since february of 2020
[01:09:20.960 --> 01:09:26.960]   pre-covered of course if you look at layoffs.fyi you'll see all the you know tech jobs that have
[01:09:26.960 --> 01:09:34.160]   been eliminated since 2022 over a half million of them a bunch of things at play here and the wall
[01:09:34.160 --> 01:09:41.040]   street journal notes that entry-level tech workers are getting hit the hardest especially all these recent
[01:09:41.040 --> 01:09:47.200]   college graduates and if you look at a historical college enrollment let's pull up that chart nick you can
[01:09:47.200 --> 01:09:54.320]   see here undergraduate graduate and total with the red line we peaked at 21 million people in either
[01:09:54.320 --> 01:10:00.320]   graduate school or undergraduate in 2010 and that's come down to 8.6 million at the same time obviously
[01:10:00.320 --> 01:10:06.000]   in the last 12 years you've had the population has grown so this is even you know it was a percentage
[01:10:06.000 --> 01:10:13.360]   basis would be even more dramatic so what's behind this a poll of a thousand teens this summer found that
[01:10:13.360 --> 01:10:18.720]   about half believe a high school degree trade program or two-year degree best meets their career
[01:10:18.720 --> 01:10:24.240]   needs and 56 percent said real world on the job experience is more valuable than obtaining a college
[01:10:24.240 --> 01:10:29.680]   degree something you've talked about with your own personal experience chamath at waterloo doing
[01:10:29.680 --> 01:10:34.880]   apprenticeships essentially your thoughts on generation tool belt such a positive trend i mean
[01:10:35.600 --> 01:10:41.360]   there's so many reasons why this is good i'll i'll just list a handful that come to the top of my mind
[01:10:41.360 --> 01:10:49.520]   the first and probably the most important is that it breaks this stranglehold that the university
[01:10:49.520 --> 01:10:58.800]   education system has on america's kids we have tricked millions and millions of people
[01:10:59.920 --> 01:11:05.760]   into getting trillions of dollars in debt on this idea that you're learning something in university
[01:11:05.760 --> 01:11:14.720]   that's somehow going to give you economic stability and ideally freedom and it has turned out for so many
[01:11:14.720 --> 01:11:22.560]   people to not be true it's just so absurd and unfair that that has happened so if you can go and get a
[01:11:22.560 --> 01:11:28.160]   trade degree and live a economically productive life where you can get married and have kids and take care of
[01:11:28.160 --> 01:11:32.240]   your family and do all the things you want to do that's going to put an enormous amount of pressure
[01:11:32.240 --> 01:11:39.440]   on higher ed why does it charge so much what does it give in return that's one thought the second
[01:11:39.440 --> 01:11:44.960]   thought which is much more narrow peter thiel has that famous saying where if you have to put the word
[01:11:44.960 --> 01:11:52.160]   science behind it it's not really a thing and what we are going to find out is that that was true for
[01:11:52.160 --> 01:11:57.120]   a whole bunch of things where people went to school like political science and social science social
[01:11:57.120 --> 01:12:02.640]   science but i always thought that computer science would be immune but i think he's going to be right
[01:12:02.640 --> 01:12:08.000]   about that too because you can spend two or three hundred thousand dollars getting in debt to get a
[01:12:08.000 --> 01:12:12.640]   computer science degree but you're probably better off learning javascript and learning these tools
[01:12:12.640 --> 01:12:17.600]   in some kind of a boot camp for far far less and graduating in a position to make money right away
[01:12:18.240 --> 01:12:24.720]   so those are just two ideas i think that it allows us to be a better functioning society so i am
[01:12:24.720 --> 01:12:32.080]   really supportive of this trend sacks your thoughts on this generation tool belt where we're reading about
[01:12:32.080 --> 01:12:39.360]   and you know the sort of combination with static team size that we're seeing in technology companies
[01:12:39.360 --> 01:12:43.680]   keeping the number of employees the same or trending down while they grow 30 year over year
[01:12:43.680 --> 01:12:50.560]   oh my god i'm like so sick of this this topic of of job loss or job disruption yeah i got in so much
[01:12:50.560 --> 01:12:55.200]   trouble last week you asked a question about whether the upper middle class is going to suffer because
[01:12:55.200 --> 01:13:00.880]   they're all going to be put out of work by ai and i just kind of brush it off not because i'm advocating
[01:13:00.880 --> 01:13:05.840]   for that but just because i don't think it's going to happen this whole thing about job loss is so
[01:13:06.400 --> 01:13:12.160]   overdone there's going to be a lot of job disruption but in the case of coders just as an example i think
[01:13:12.160 --> 01:13:19.280]   we can say that coders depending on who you talk to are 10 20 30 more productive as a result of these
[01:13:19.280 --> 01:13:25.600]   coding assistant tools but we still need coders you can't automate 100 of it and the world needs so many
[01:13:25.600 --> 01:13:31.840]   of them the need for software is unlimited we can't hire enough of them at glue by the way shout out if
[01:13:31.840 --> 01:13:36.160]   you're looking if you're a coder who is afraid of not being able to get a job apply for one at
[01:13:36.160 --> 01:13:41.920]   glue believe me we're hiring i just think that this is so overdone there's going to be a lot of
[01:13:41.920 --> 01:13:49.200]   disruption in the knowledge worker space like we talked about the workflow at call centers and just
[01:13:49.200 --> 01:13:53.920]   service factories there's going to be a lot of change but at the end of the day i think there's
[01:13:53.920 --> 01:13:59.760]   going to be plenty of work for humans to do and some of the work will be more in the blue collar space
[01:13:59.760 --> 01:14:05.920]   and i agree with jamoth that this is a good thing i think there's been perhaps an over emphasis on the idea
[01:14:05.920 --> 01:14:11.680]   that the only way to get ahead in life is to get uh like a fancy degree from one of these universities
[01:14:11.680 --> 01:14:17.440]   and we've seen that many of the universities they're just not that great they're overpriced you end up
[01:14:17.440 --> 01:14:23.040]   graduating with a mountain of debt and you get a degree that is you know maybe even far worse than
[01:14:23.040 --> 01:14:30.320]   computer science this is completely worthless so if people learn more vocational skills if they skip college
[01:14:30.320 --> 01:14:34.640]   because they are have a proclivity to do something that doesn't need that degree i think that's a good
[01:14:34.640 --> 01:14:39.040]   thing and that's healthy for the economy friedberg is this like uh just the pendulum swung too much
[01:14:39.040 --> 01:14:44.560]   and education got too expensive spending 200k to make 50 000 a year distinctly different than our
[01:14:44.560 --> 01:14:49.360]   childhoods or i'm sorry our adolescence when we were able to go to college for 10k a year 20k a year
[01:14:49.360 --> 01:14:54.160]   graduate with you know some low tens of thousands in debt if you did take debt and then
[01:14:54.800 --> 01:14:59.200]   your entry level job was 50 60 70k coming out of college what are your thoughts here is this a value
[01:14:59.200 --> 01:15:04.720]   issue with college well yeah i think the market's definitely correcting itself i think for years as
[01:15:04.720 --> 01:15:09.520]   chamat said there was kind of this belief that if you went to college there was regardless of the
[01:15:09.520 --> 01:15:16.640]   college there was this outcome where you would make enough money to justify the debt you're taking on
[01:15:17.600 --> 01:15:23.600]   and i think folks have woken up to the fact that that's not reality again if there was a free market
[01:15:23.600 --> 01:15:29.200]   remember most people go to college with student loans and all student loans are funded by the federal
[01:15:29.200 --> 01:15:36.800]   government so the the cost of education has ballooned and the underwriting criteria necessary for this
[01:15:36.800 --> 01:15:43.600]   free market to work has been completely destroyed because of the federal spending in the student loan
[01:15:43.600 --> 01:15:49.600]   program that there's no disc discrimination between one school or another you could go to trump university
[01:15:49.600 --> 01:15:53.360]   or you could go to harvard it doesn't matter you still get a student loan
[01:15:53.360 --> 01:15:59.360]   even if at the end of the process you don't have a degree that's valuable and so i think folks are
[01:15:59.360 --> 01:16:04.240]   now waking up to this fact and the market is correcting itself which is good i'll also say that
[01:16:04.240 --> 01:16:12.960]   i think that there's this premium with generally mass production and industrialization of
[01:16:13.440 --> 01:16:20.880]   the human touch and what i mean is if you think about hey you could go to the store and buy a bunch of
[01:16:20.880 --> 01:16:24.880]   cheap food off of the store shelves you could buy a bunch of hershey's chocolate bars
[01:16:24.880 --> 01:16:32.160]   or you can go to a swiss chocolatier in downtown san francisco pay 20 for a box of handmade chocolates
[01:16:32.160 --> 01:16:36.960]   you'll pay that premium for that better product same with clothes there's this big trend in kind of
[01:16:36.960 --> 01:16:46.000]   handmade clothes and high-end luxury goods bespoke artisanal artisanal handmade and and similarly i
[01:16:46.000 --> 01:16:52.080]   think that there's a premium in human service in the partnership with a human it's not just about
[01:16:52.080 --> 01:16:59.600]   blue-collar jobs it's about having a waiter talk to you and serve you if you go to a restaurant instead
[01:16:59.600 --> 01:17:04.240]   of having a machine spit out the food to you there's an experience associated with that that
[01:17:04.240 --> 01:17:08.720]   you'll pay a premium for there's hundreds and hundreds of micro breweries in the united states
[01:17:08.720 --> 01:17:14.400]   that in aggregate outsell budweiser and miller and even modello today and that's because they're
[01:17:14.400 --> 01:17:20.480]   handcrafted by local people and there's a there's an artisan craftsmanship yeah so while technology and
[01:17:20.480 --> 01:17:26.560]   ai are going to completely reduce the cost of a lot of things and increase the production and
[01:17:26.560 --> 01:17:32.240]   productivity of those things one of the complementary consequences of that is that there will be an
[01:17:32.240 --> 01:17:38.160]   emerging premium for human service and i think that there will be an absolute burgeoning and blossoming
[01:17:38.160 --> 01:17:45.120]   in the salaries and the availability and demand for human service in a lot of walks of life certainly
[01:17:45.120 --> 01:17:51.360]   there's all the work at home the electricians and the plumbers and so on but also fitness classes food
[01:17:51.360 --> 01:17:57.040]   personal service around tutoring and learning and developing oneself there's going to be an incredible
[01:17:57.040 --> 01:18:02.000]   blossoming i think in human service jobs and they don't need to have a degree in poli-sci to be
[01:18:02.000 --> 01:18:05.200]   performed i think that there will be a lot of people that'll be very happy in that world how do
[01:18:05.200 --> 01:18:11.840]   you see the differentiation the person makes freeberg in doing that job versus the agent or the ai or whatever
[01:18:12.400 --> 01:18:17.360]   well these are in-person human jobs so if i want to do a fitness class do i want to stare at the tonal
[01:18:17.360 --> 01:18:23.840]   this is what i'm asking you yeah like yeah i think i i think that there's an aspect of um it look it's
[01:18:23.840 --> 01:18:30.960]   like your laura piano like you you talk about the story of laura piano where is the vicuna coming from
[01:18:30.960 --> 01:18:37.520]   how's it made who's involved in it like yes look you're oh my god look at those who say the white don't
[01:18:37.520 --> 01:18:42.400]   stop freeberg i can give you truffle flavoring out of a can but you you love the white truffles you
[01:18:42.400 --> 01:18:47.040]   want to go to italy you want the storytelling there's an aspect of it right like yeah and i think that
[01:18:47.040 --> 01:18:52.720]   there's an aspect of humanity that we pay a premium that we do and will look etsy crushes i don't know
[01:18:52.720 --> 01:18:57.360]   how much stuff you guys buy on etsy i love buying from etsy i love finding handmade stuff on it i buy my
[01:18:57.360 --> 01:19:03.120]   underwear for decoration no you don't do you really yes i do yeah handcrafted yeah handmade so i think that
[01:19:03.120 --> 01:19:08.320]   there's an aspect of this that um in a lot of walks of life i mean i have so many jokes right
[01:19:08.320 --> 01:19:15.760]   i've never used that seat but i'm going to try it now after have you guys taken music lessons lately
[01:19:15.760 --> 01:19:20.160]   you know i started my kids do piano lessons and so last year i started ducking in to do a
[01:19:20.160 --> 01:19:24.880]   third 45 minute piano lesson with the piano teacher there's just like a great aspect to paying for these
[01:19:24.880 --> 01:19:32.160]   services to getting fascinating to bring that up oh here we go you can play the harmonica really
[01:19:32.160 --> 01:19:36.320]   i've just like well i've been playing some i want to play some zach bryant songs and he's got a couple
[01:19:36.320 --> 01:19:40.080]   songs i like with a harmonica in them so i just got a harmonica my daughter and i have been playing
[01:19:40.080 --> 01:19:45.680]   harmonica yeah are you teaching yourself let's hear it let's hear it let's hear it i'll play it next week
[01:19:45.680 --> 01:19:54.800]   it could be a bit but i'll write your song next week be a little shy he's a little shy
[01:19:54.800 --> 01:20:01.520]   no no i'll do i'll i'll write a song i'll do the uh the trials and tribulations of donald trump
[01:20:01.520 --> 01:20:04.400]   and i'll do a little bob dylan send-up song for you
[01:20:04.400 --> 01:20:10.800]   but listen to that interview with um with bob dylan i don't know when it was recently
[01:20:10.800 --> 01:20:16.880]   about how oh and then writing the lyrics that clip oh yeah that's amazing that bradley clip
[01:20:16.880 --> 01:20:22.320]   about magic yeah well you know some of those songs i don't know how i wrote them they just came out
[01:20:22.320 --> 01:20:28.240]   in the best but the best part is what he says what he says that anymore he's like no but i did it once
[01:20:28.240 --> 01:20:32.880]   no but i did it what i mean what an incredible that means something yeah
[01:20:32.880 --> 01:20:38.640]   eclipses are both that's really grounding it's really grounding to understand too soon there is no
[01:20:38.640 --> 01:20:44.000]   chance of dying yeah that's an incredible clip all right guys want to wrap or you want to keep
[01:20:44.000 --> 01:20:47.840]   talking about more stuff we were at 90 minutes here let me just say tell you something i think there's
[01:20:47.840 --> 01:20:52.960]   going to be a big war i think by the time the show airs israel's incursion into lebanon is going to
[01:20:52.960 --> 01:21:00.160]   get bigger it's going to escalate and by next week we could be in a full-blown multinational war in the
[01:21:00.160 --> 01:21:07.760]   middle east and if i am you know a betting man i would bet that the odds are you know more than 30 40
[01:21:07.760 --> 01:21:12.640]   that this happens before the election that this this conflict in the middle east escalates thank you for
[01:21:12.640 --> 01:21:22.320]   bringing this up i am not asking anybody to go listen to what i my interview with rogan but i will say
[01:21:22.320 --> 01:21:31.600]   this part of why i was so excited to go and talk to him in a long form format was this issue of war
[01:21:32.720 --> 01:21:41.040]   is i think the existential crisis of this election and of this moment and i really do agree with you
[01:21:41.040 --> 01:21:48.400]   freeberg there is a non-trivially high probability the highest it's ever been that we are just bumbling
[01:21:48.400 --> 01:21:56.240]   and sleepwalking into a really bad situation we can't walk back from i really hope you're wrong and
[01:21:56.240 --> 01:22:02.640]   here's the here's the situation i really hope you're wrong if israel incurs further in into lebanon
[01:22:02.640 --> 01:22:11.280]   going after hezbollah and iran ends up getting involved in a more active way does russia start to
[01:22:11.280 --> 01:22:17.680]   provide supplies to iran like we are supplying to ukraine today does this sort of bring everyone to a
[01:22:17.680 --> 01:22:24.880]   line just to give you a sense you know of the scale of what israel could then respond with iran has 600 000
[01:22:24.880 --> 01:22:31.040]   active duty military another 350 000 in reserve they have dozens of ships they have 19 submarines they
[01:22:31.040 --> 01:22:38.640]   have a 600 kilometer range missile system israel has 90 000 sorry 170 000 active duty and half a million
[01:22:38.640 --> 01:22:45.200]   reserve personnel 15 warships five submarines potentially up to 400 nuclear weapons including
[01:22:45.200 --> 01:22:52.560]   a very wide range of tactical sub one kiloton nuclear weapons small small payload you could see that if israel
[01:22:53.680 --> 01:23:01.440]   starts to feel incurred upon further they could respond in a more aggressive way with what is
[01:23:01.440 --> 01:23:09.520]   you know by far and away you know the the most significantly stocked arsenal and military force
[01:23:09.520 --> 01:23:14.240]   in the middle east again we've talked about what are these other countries going to do what is jordan
[01:23:14.240 --> 01:23:20.640]   going to do in this situation how is uh how are the saudis going to respond what is russia going to do
[01:23:20.640 --> 01:23:26.000]   well the russia ukraine thing meanwhile still goes on and we saw in our group chat one of our friends
[01:23:26.000 --> 01:23:32.720]   posted but russia basically said any more attacks on our land you know we reserve all rights including
[01:23:32.720 --> 01:23:39.360]   nuclear response that is insane well you know so just to give you a sense um it's insane how are we here
[01:23:40.080 --> 01:23:47.840]   yeah so the the nuclear bombs that were set off during world war ii i just want to show you how crazy
[01:23:47.840 --> 01:23:56.480]   this this is do you see that image on the left that all the way over on the left that's a bunker buster you
[01:23:56.480 --> 01:24:02.160]   guys remember those from afghanistan and and the damage that those bunker buster bombs caused hiroshima
[01:24:02.880 --> 01:24:10.240]   is a 15 kiloton nuclear and you can see the size of it there on the left that's a zoom in of the image
[01:24:10.240 --> 01:24:16.800]   on the right and the image on the right starts to show the biggest ever tested was tsar bomba by the
[01:24:16.800 --> 01:24:26.080]   soviets this was a 50 megaton bomb it it caused shock waves that went around the earth three times they
[01:24:26.080 --> 01:24:30.960]   could be felt as seismic shock waves around the earth three times from this one detonation today
[01:24:30.960 --> 01:24:38.080]   there are a lot of 0.1 to one kiloton nuclear bombs that are kind of considered these tactical nuclear
[01:24:38.080 --> 01:24:45.200]   weapons that kind of fall closer to between the bunker buster and the hiroshima and that's really
[01:24:45.200 --> 01:24:51.440]   where a lot of folks get concerned that if israel or russia or others get cornered in a way and there's
[01:24:51.440 --> 01:24:57.920]   no other tactical response that that is what then gets pulled out now if someone detonates a 0.1 or
[01:24:57.920 --> 01:25:03.280]   one kiloton nuclear bomb which is going to look like a mega bunker buster what is the other side and
[01:25:03.280 --> 01:25:10.240]   what's the world going to respond with that's how on the brink we are and there's 12 000 nuclear weapons
[01:25:10.240 --> 01:25:17.520]   with an average payload of 100 kilotons around the world the u.s has a large stockpile russia has the
[01:25:17.520 --> 01:25:22.800]   largest many of these are hair trigger alert systems china has the third largest and then
[01:25:22.800 --> 01:25:30.400]   israel and india and and so on it is a very concerning situation because if anyone does get
