
[00:00:00.000 --> 00:00:03.260]   So what I want to do today the deep question I want to dive into today
[00:48:04.720 --> 00:48:09.920]   At some point soon that requires me to access the collection at the Library of Congress
[00:48:09.920 --> 00:48:15.040]   Just so I can spend days in that massive reading room and have people like bring me because if you're an academic
[00:48:15.040 --> 00:48:21.040]   You can get a researcher card and they'll just have these awesome collection and it takes them a couple hours
[00:48:21.040 --> 00:48:25.720]   But you can basically get any book you want and they'll bring them all to you in a cart to your desk and you can work
[00:48:25.720 --> 00:48:30.040]   On it all day. And so I I need a reason to do that. The other thing I do
[00:48:31.040 --> 00:48:34.440]   Thanks to you is I put on my weekly plan every week just
[00:48:34.440 --> 00:48:38.960]   Some of the stuff I want to get through because I get a lot of magazines and I have different books
[00:48:38.960 --> 00:48:41.960]   I was you look at it reading on your weekly plan
[00:48:41.960 --> 00:48:47.320]   Yeah specific and then I like if I have like a pile of New Yorkers. I'll just yeah, I get through a
[00:48:47.320 --> 00:48:49.960]   couple of them so you might put like
[00:48:49.960 --> 00:48:55.400]   Thursday Thursday afternoon. I'm gonna like do some New Yorker reading. Yeah
[00:48:55.400 --> 00:49:00.000]   Yeah, I put like what I want on then when I do my daily plan. I just put it in there
[00:49:00.000 --> 00:49:04.080]   I'm gonna read this that's nice. You have you have a queue of what you want to read that week
[00:49:04.080 --> 00:49:08.040]   Yeah, when you have when you're doing a plan keep track of it and I'd forget about certain things
[00:49:08.040 --> 00:49:09.680]   So now I just kind of I like that strategy
[00:49:09.680 --> 00:49:12.900]   So it's like here's my reading queue for the week and when you're doing a daily plan
[00:49:12.900 --> 00:49:14.600]   You're used to putting aside time for reading
[00:49:14.600 --> 00:49:17.800]   But now you could actually pull something from that queue and say this specifically is what I'm gonna read
[00:49:17.800 --> 00:49:18.800]   Yeah, it's been working out
[00:49:18.800 --> 00:49:19.240]   Yeah
[00:49:19.240 --> 00:49:22.680]   and the other thing that I do too is especially after going to Library Congress and you know,
[00:49:22.680 --> 00:49:29.060]   Looking online stuff. It's like he's got to be comfortable knowing that you're never gonna read everything like there's so much stuff
[00:49:29.060 --> 00:49:34.220]   And just get through what you can just kind of what you talk about. It's slow and I'm surprised by how often
[00:49:34.220 --> 00:49:39.240]   I'm a big library guy. We're gonna personal library person and the next question is gonna get at this
[00:49:39.240 --> 00:49:41.520]   I'm surprised by how often I'll get a book
[00:49:41.520 --> 00:49:46.960]   Like I just finished a book last night that I originally bought
[00:49:46.960 --> 00:49:50.280]   Five years ago
[00:49:50.280 --> 00:49:52.280]   But I kept it in my library like this
[00:49:52.280 --> 00:49:54.320]   It's like it's a book I want to read
[00:49:54.320 --> 00:49:57.880]   You know, but sometimes you have to wait till you're in the right mood and it took five years
[00:49:58.200 --> 00:50:02.900]   Mm-hmm. I read it. I finished it last night. Yeah, you know, and I'm surprised by how often that this way
[00:50:02.900 --> 00:50:08.300]   I love libraries how often that'll happen, you know, sometimes I'll buy a book like I'm not gonna read this right now
[00:50:08.300 --> 00:50:10.240]   But I want to own this I think I'm gonna read this
[00:50:10.240 --> 00:50:13.980]   I think it's important thing to have I get to these things and it can take me years, but I
[00:50:13.980 --> 00:50:16.860]   cycle back to things
[00:50:16.860 --> 00:50:22.660]   All right, speaking of libraries, we have a good library question. Let's do this next one. All right. Next question is from Quran
[00:50:22.660 --> 00:50:27.040]   I'm becoming more of an avid reader. Thanks to gal. How should I build my library?
[00:50:27.540 --> 00:50:30.720]   All right. Well, I'm a big fan of as I just talked about libraries
[00:50:30.720 --> 00:50:35.700]   My current library setup just so we can calibrate
[00:50:35.700 --> 00:50:40.820]   So now we're down to we have we have one full bookshelf here in the HQ
[00:50:40.820 --> 00:50:47.460]   Then in my study at home, the whole room is built in bookshelves now on one one half of the room
[00:50:47.460 --> 00:50:53.360]   It's all kids book. We have a really great collection of kids books of various readers age and then all the other shelves are
[00:50:54.640 --> 00:51:00.600]   Adult books and then in our living room. We also have a full wall of built-in bookshelves
[00:51:00.600 --> 00:51:07.360]   I sort of have you know, kind of three major libraries. So a big fan of personal libraries. How do you start one from scratch?
[00:51:07.360 --> 00:51:10.080]   Well, all right. I have a method
[00:51:10.080 --> 00:51:16.560]   Here's my here is my method you start with a single bookshelf and you start filling that bookshelf somewhat haphazardly
[00:51:16.560 --> 00:51:21.560]   You know you buy books that are interesting you go to use book sales. Let me try this books
[00:51:21.560 --> 00:51:25.940]   You want to read right away books you want to get to at some other point if you live in a town like I do
[00:51:25.940 --> 00:51:29.200]   With a lot of little free libraries. Hey, this book looks interesting. I'm gonna
[00:51:29.200 --> 00:51:31.360]   Grab it from there, right?
[00:51:31.360 --> 00:51:37.280]   So you're kind of filling this bookshelf with books you bought books you've read books. You might want to read some
[00:51:37.280 --> 00:51:40.480]   Really good and some you're like, I don't know so much about this
[00:51:40.480 --> 00:51:44.140]   Once the book is the bookshelf is full
[00:51:44.140 --> 00:51:46.840]   Then for a while what you do is to replacement rule
[00:51:47.680 --> 00:51:50.900]   When you get a new book you say I have to make room for this on the bookshelf
[00:51:50.900 --> 00:51:56.840]   So let me take off whatever sort of very low on my ranking of books on here. What's a book?
[00:51:56.840 --> 00:52:00.640]   This is probably my least favorite book that's on here. This is kind of dumb
[00:52:00.640 --> 00:52:06.040]   Replace the replace that with the new books. You're replacing sort of worst book with new book
[00:52:06.040 --> 00:52:10.000]   You do this for a while. So now you're kind of cycling through
[00:52:10.000 --> 00:52:14.640]   the same bookshelf that bookshelves quality on
[00:52:15.520 --> 00:52:21.060]   Average begins to increase and after a while most of this books on these bookshelves are pretty good
[00:52:21.060 --> 00:52:25.360]   I mean they've survived this calling for a long time most of the stuff that was you know
[00:52:25.360 --> 00:52:28.040]   Here's this random book on quilting that I you know
[00:52:28.040 --> 00:52:32.680]   Got at a yard sale and I never really did that stuff is gone and now your bookshelf is pretty good
[00:52:32.680 --> 00:52:35.160]   Then you can buy a second bookshelf
[00:52:35.160 --> 00:52:40.000]   And you can start kind of doing that same process over there and you do that until you have the number of shelves you think
[00:52:40.000 --> 00:52:43.760]   Is appropriate for where you live and your interest and how you feel about books?
[00:52:43.760 --> 00:52:49.200]   I'm a big fan of that bill then replace for a while to get the average quality up and wait till a shelf is of high
[00:52:49.200 --> 00:52:51.200]   quality before you actually
[00:52:51.200 --> 00:52:53.920]   Move on to get a new shelf. I mean, there's a whole art to
[00:52:53.920 --> 00:52:56.880]   Library tending and I would say
[00:52:56.880 --> 00:53:00.020]   Jesse of the personal libraries we've seen or looked at at the show
[00:53:00.020 --> 00:53:06.160]   Probably our man Ryan holiday wins. He's got a lot of books. He's got a lot of books
[00:53:06.160 --> 00:53:12.440]   He's got a lot it helps to be so Ryan and I have the advantages of writers we get sent a lot of books
[00:53:13.040 --> 00:53:14.760]   Which is great
[00:53:14.760 --> 00:53:20.320]   And I buy a lot of books because I feel like it's important for my job. Yeah, but still he has a lot of books
[00:53:20.320 --> 00:53:24.760]   I have a lot of books. He has a lot of books. So I had a bookstore
[00:53:24.760 --> 00:53:28.120]   Yeah, eventually had to get a to get a bookstore. Hey
[00:53:28.120 --> 00:53:33.640]   Bookstore is supposedly coming to come to park. Really? Yeah, are you involved?
[00:53:33.640 --> 00:53:37.480]   I don't I don't they're they're new to the town
[00:53:38.360 --> 00:53:42.040]   Having coffee with him. Oh, he's gonna or he or she is gonna love you. Yeah, it's a family
[00:53:42.040 --> 00:53:46.840]   Yeah, if kids so, I don't know I just was like look I want to I want to meet these people
[00:53:46.840 --> 00:53:50.040]   Yeah, just like give us just give a sustained round of applause
[00:53:50.040 --> 00:53:54.680]   And I'm excited about the idea of having you'll be a good customer. Yeah
[00:53:54.680 --> 00:53:57.880]   Yeah, I'll be there all the time what I'm gonna tell them is
[00:53:57.880 --> 00:54:01.120]   I'm gonna do like three or four days a week
[00:54:01.120 --> 00:54:04.000]   multi-hour long signings
[00:54:04.040 --> 00:54:09.640]   Like just usually not going to be people there coming to see me because I'm gonna be there something like 15 20 hours a week
[00:54:09.640 --> 00:54:14.800]   I'm just gonna show up a lot randomly and just like have a have a book. It's gonna be like and this is
[00:54:14.800 --> 00:54:18.160]   sad, that's not sad, but there's
[00:54:18.160 --> 00:54:22.960]   one of our favorite museums is the the air and space museum out by Dulles and
[00:54:22.960 --> 00:54:30.480]   It's I think it's cool that they allow people who have published books about their experience and usually like military
[00:54:31.120 --> 00:54:35.520]   Deviation come and like sign books or whatever, but they don't really promote anything
[00:54:35.520 --> 00:54:37.920]   They just like have them on a table sort of over by the bar
[00:54:37.920 --> 00:54:42.680]   And they so they're always just sort of there and I always feel sort of bad about it because as an author you really are
[00:54:42.680 --> 00:54:46.720]   Empathetic to unpromoted book signings. It's the worst. It's nothing worse
[00:54:46.720 --> 00:54:50.360]   We've all had it you're on book tour and like three people show up or whatever
[00:54:50.360 --> 00:54:56.080]   But anyways, I'm gonna lean into that just unsolicited. That's good news. Yeah. Yeah, so I hope that works out
[00:54:56.080 --> 00:54:59.680]   Real and we'll be able to around the corner from here
[00:55:00.440 --> 00:55:02.440]   You great
[00:55:02.440 --> 00:55:09.120]   All right libraries, all right, let's do a let's do one more question we got time it sounds good next questions from Sarah
[00:55:09.120 --> 00:55:15.760]   Would Cal like to comment on this quote from saying Sam Bank been freed. I'm very skeptical of books
[00:55:15.760 --> 00:55:20.160]   I don't want to say no book is ever worth reading, but I actually do believe something pretty close to that
[00:55:20.160 --> 00:55:25.720]   I think that if you wrote a book you f'd up and it should not have been a sick and it should have been a
[00:55:25.720 --> 00:55:28.240]   six-paragraph blog post
[00:55:28.240 --> 00:55:30.120]   well
[00:55:30.120 --> 00:55:36.320]   If you don't know who Sam Bankman freed is look it up and I think this question will make more sense
[00:55:36.320 --> 00:55:44.080]   Sarah here's my answer. Let's look at the state of my life today in the state of Sam Bankman Freed's life today
[00:55:44.080 --> 00:55:50.840]   someone who prioritizes the creativity innovation empathy and critical thinking that is
[00:55:50.840 --> 00:55:55.520]   Developed by reading and someone who prefers six-paragraph blog post
[00:55:55.520 --> 00:55:58.120]   Where would you rather be?
[00:55:58.120 --> 00:56:00.120]   Whose life would you rather have right now?
[00:56:00.120 --> 00:56:03.200]   I'll leave it there and rest my case
[00:56:03.200 --> 00:56:07.120]   Have you seen pictures of Sam Bankman freed
[00:56:07.120 --> 00:56:12.800]   Recently or yeah, I want to look at him for book advice. I want to look at him for fashion advice either
[00:56:12.800 --> 00:56:19.360]   I'm doing a panel in San Francisco later this spring and we were talking with some of the other panel members and
[00:56:19.360 --> 00:56:24.800]   We were joking of like so we so it's a dress code Sam Bankman freed because you do these panels with
[00:56:25.120 --> 00:56:30.120]   There's a picture of him doing a panel with former president Bill Clinton and he's wearing shorts
[00:56:30.120 --> 00:56:35.320]   Cargo shorts flip-flops and a t-shirt. He was like that in the commercials, too
[00:56:35.320 --> 00:56:42.620]   Yeah, but his parents professors, right? Yeah lawyers law professors. So you think you must have read at some point? Yeah, I mean, he's obviously a
[00:56:42.620 --> 00:56:46.600]   Intelligent person. I mean went to MIT and everything. I just think his
[00:56:46.600 --> 00:56:51.320]   Yeah, got a little that brain got shook up somewhere
[00:56:51.320 --> 00:56:54.360]   Something done broke. I think it's because he didn't read enough
[00:56:54.920 --> 00:56:58.200]   He's a PSA. This is your brain. It's a PSA
[00:56:58.200 --> 00:57:02.320]   This is your brain not on books and then there's like a quick montage of Sam Bankman free
[00:57:02.320 --> 00:57:07.400]   And then like this is your brain on books and it's me at a table
[00:57:07.400 --> 00:57:10.920]   All by myself in the new bookstore in Tacoma Park
[00:57:10.920 --> 00:57:14.000]   with an ascot and a striped shirt
[00:57:14.000 --> 00:57:21.880]   Drinking a beer use your English and your French accent mixed together. Yeah. Yeah flexing furiously. He's got him both got him both
[00:57:22.000 --> 00:57:25.280]   Well, they're both intellectual people. All right enough of that nonsense
[00:57:25.280 --> 00:57:25.800]   All right
[00:57:25.800 --> 00:57:27.280]   So what I like to do in the third
[00:57:27.280 --> 00:57:33.000]   Act of the show is shift away from our main question and talk about some interesting things that readers have sent me
[00:57:33.000 --> 00:57:38.120]   Before we do let me mention a another sponsor that made this show possible
[00:57:38.120 --> 00:57:40.800]   This may be our very first sponsor
[00:57:40.800 --> 00:57:46.420]   I got to go back and confirm that like from way back in the pre Jesse days, but that is our good friends at grammarly
[00:57:47.200 --> 00:57:53.460]   The feature I have been messing around with with grammarly that I am most impressed by is grammarly premiums
[00:57:53.460 --> 00:57:55.960]   advanced tone
[00:57:55.960 --> 00:58:02.820]   Suggestions. This is why this is so important in a knowledge work world and especially in an increasingly
[00:58:02.820 --> 00:58:07.320]   remote knowledge work world where more communication is textual
[00:58:07.320 --> 00:58:11.820]   emails chat under the zoom window slack communication
[00:58:11.820 --> 00:58:15.320]   The quality clarity of your writing plays a big difference
[00:58:15.720 --> 00:58:21.020]   Now I actually think there's an opportunity embedded in this evolution of our office landscape
[00:58:21.020 --> 00:58:24.840]   There's a lot of issues I have with the shift towards everything being textual communication
[00:58:24.840 --> 00:58:27.600]   But there is one opportunity for you the lister of the show
[00:58:27.600 --> 00:58:34.000]   Which means if you get really good at clear textual communication you get the sudden competitive advantage over everyone else
[00:58:34.000 --> 00:58:38.760]   You come across as more confident and smarter and more on the ball just because you're writing better
[00:58:38.760 --> 00:58:45.560]   So there's no other time in the history of the world of business where clear communication clear written communication is more important
[00:58:45.560 --> 00:58:52.320]   And grammarly premium and a particular grammarly premiums advanced tone detector can help you get there faster
[00:58:52.320 --> 00:58:55.280]   So I have a couple examples. I want to tell you here Jesse
[00:58:55.280 --> 00:58:56.920]   of
[00:58:56.920 --> 00:58:58.920]   the tone detector in
[00:58:58.920 --> 00:59:04.960]   Work. All right. So some real sentences here real corrections from the tone detector. So one thing it can do is
[00:59:04.960 --> 00:59:10.800]   Help you with confidence in your communication. So here's a real sentence
[00:59:10.800 --> 00:59:13.920]   We may want to consider providing an update
[00:59:14.400 --> 00:59:20.760]   Here's the suggestion from the tone detector for increasing confidence. We should consider providing an update
[00:59:20.760 --> 00:59:27.020]   Seems like a small change, but you come across more confident in that email in that slack makes a big difference
[00:59:27.020 --> 00:59:29.680]   All right. Here's another thing the advanced tone detector does
[00:59:29.680 --> 00:59:32.160]   reframe
[00:59:32.160 --> 00:59:36.200]   Negativity. So here's something you might write. Yeah, this marketing strategy isn't right
[00:59:36.200 --> 00:59:41.720]   Just throw that in a slack message, but that's going to come across as negative people might feel attacked
[00:59:41.720 --> 00:59:47.160]   Here's an actual suggested correction from the tone detector for that sentence. The marketing strategy needs to be different
[00:59:47.160 --> 00:59:51.880]   Small change makes a huge difference in the impact on the reader
[00:59:51.880 --> 00:59:58.120]   There's obviously a lot of other things you get with the grammarly product from even just the basic fixing your broken grammar
[00:59:58.120 --> 01:00:01.600]   To these much more advanced tone suggestions and sentence rewrites
[01:00:01.600 --> 01:00:05.960]   But anyway, it's it's like having a personal editor who sits there and helps you be a better
[01:00:05.960 --> 01:00:07.960]   communicator
[01:00:07.960 --> 01:00:11.600]   The right tone can move any project forward when you get it just right with grammarly
[01:00:11.600 --> 01:00:19.840]   So go to grammarly.com slash tone t o n e to download and learn about grammarly premiums advanced tone suggestions. That's g r a
[01:00:19.840 --> 01:00:27.600]   M m a r l y dot com slash tone. Let's also talk about our friends at my body tutor
[01:00:27.600 --> 01:00:35.080]   If you want to get in better shape if you want to get healthier, the problem is not information
[01:00:36.240 --> 01:00:38.240]   You know how to do it
[01:00:38.240 --> 01:00:42.920]   The problem is actually accountability. How do you actually get motivated?
[01:00:42.920 --> 01:00:48.000]   To continually take that action. This is where my body tutor enters the picture
[01:00:48.000 --> 01:00:52.000]   It's a 100% online coaching program. It connects you with a
[01:00:52.000 --> 01:00:59.560]   Dedicated online coach they work with you the specific circumstances of your life
[01:00:59.560 --> 01:01:01.760]   right
[01:01:01.760 --> 01:01:08.000]   Are you and I'm just being hypothetical here a 40 year old male with three three kids ten or under who are sick all the
[01:01:08.000 --> 01:01:11.520]   Time and have seven jobs. The workout plan is going to be different
[01:01:11.520 --> 01:01:14.480]   Then if you are 22 year old Arnold Schwarzenegger
[01:01:14.480 --> 01:01:21.120]   On the bodybuilding circuit in Venice, California, you know in the 1970s, so they build a plan that makes sense
[01:01:21.120 --> 01:01:25.640]   Here's let's think about your eating. Let's think about your exercising that makes sense for you and then
[01:01:25.640 --> 01:01:28.600]   It's a big magic you check in every day
[01:01:28.600 --> 01:01:31.280]   You do it an app. It's real easy
[01:01:31.480 --> 01:01:35.520]   You say here's what I did. So I ate here's I worked out. Here's any questions I have they give you feedback
[01:01:35.520 --> 01:01:38.760]   And that's where you get the consistency. That's what makes it work
[01:01:38.760 --> 01:01:45.680]   It's like having the dedicated dietitian and trainers that the actors get to train for Marvel superhero movies
[01:01:45.680 --> 01:01:50.240]   But without having that huge expense of having to pay people to come to your house because it's all on
[01:01:50.240 --> 01:01:52.080]   line
[01:01:52.080 --> 01:01:58.480]   Adam and his coaches at my body tutor are the best in the world at delivering highly personal accountability and coaching
[01:01:58.480 --> 01:02:04.840]   So if you're serious about getting fit Adam will give you $50 off your first month if you mention deep questions when you sign up
[01:02:04.840 --> 01:02:09.240]   So when you sign up you just mention deep questions, and they'll give you $50 off
[01:02:09.240 --> 01:02:14.920]   So my body tutor tutor comm mentioned deep questions and get $50 off
[01:02:14.920 --> 01:02:22.200]   All right final segment of the show something interesting. I usually just talk about one interesting thing that listeners sent me today Jesse
[01:02:22.200 --> 01:02:24.200]   I'm gonna do three
[01:02:24.200 --> 01:02:26.400]   Going crazy today like it. Yeah
[01:02:27.080 --> 01:02:30.080]   Number one, this is visual. Hold on. I'm gonna grab something here from the ground
[01:02:30.080 --> 01:02:33.680]   So if you're not watching
[01:02:33.680 --> 01:02:36.680]   youtube.com slash calendar port media or at the deep life comm
[01:02:36.680 --> 01:02:43.420]   You're missing out here. It's the end of an era Jesse. I have has been made fun of for months now
[01:02:43.420 --> 01:02:48.960]   After I revealed on one of our weekly update videos the state of my computer keyboard
[01:02:48.960 --> 01:02:52.360]   Because you may not know this about me. I write a whole bunch
[01:02:52.360 --> 01:02:59.160]   I had worn away all of the keys on my keyboard from just hitting them too much only the like Q and the Z keys actually
[01:02:59.160 --> 01:03:00.360]   Still remained
[01:03:00.360 --> 01:03:04.400]   All right. Here we go. Jesse. Oh, wow end of an era
[01:03:04.400 --> 01:03:08.920]   Completely clean keys that comes off real easily, right?
[01:03:08.920 --> 01:03:15.680]   So what it is is just a little just a little silicon thing. So let's show them the ones. Yeah. Look at that
[01:03:15.680 --> 01:03:21.280]   So I can actually see the keys I'm off the touch type all the time
[01:03:21.920 --> 01:03:28.520]   Advantage and I do like Apple products, but the new MacBook airs is the 2018-19 models. The keys were too low. I
[01:03:28.520 --> 01:03:32.040]   Really care about the tactile feel of keys
[01:03:32.040 --> 01:03:37.540]   I write for a living and they got too low like your keys are a little on that dealt. They're a little bit higher
[01:03:37.540 --> 01:03:39.560]   Yeah, that's a much better experience
[01:03:39.560 --> 01:03:44.400]   Adding the silicon cover to my keys gives me an extra little eighth of an inch and you have a little bit more
[01:03:44.400 --> 01:03:49.920]   Carry on each press. I like it better. So your next computer is it gonna be a Mac or is it gonna be?
[01:03:49.920 --> 01:03:54.120]   Yeah, I like the Mac ecosystem, but I this is whoever's in charge of this now
[01:03:54.120 --> 01:03:59.620]   You got to work with writers when you build your keys on the keyboard the they can't be too low
[01:03:59.620 --> 01:04:05.040]   We got it. We need some spring. You need the fingers to do a little effort and the pound up a little bit
[01:04:05.040 --> 01:04:08.720]   So I'm simulating that with the gives you momentum gives you momentum
[01:04:08.720 --> 01:04:13.600]   I'm a fast writer when I get I mean I fast hyper as you might imagine so I need momentum
[01:04:13.600 --> 01:04:16.280]   All right. So the second thing is a quote
[01:04:17.080 --> 01:04:22.400]   That was sent to me the interesting that Cal Newport comm email address
[01:04:22.400 --> 01:04:30.040]   This is from a TI L reddit forum in a previous episode readers told me that stands for today. I learned
[01:04:30.040 --> 01:04:33.000]   so TI L
[01:04:33.000 --> 01:04:37.760]   What TI L means is that recursive? Anyways, here was a quote from that forum
[01:04:37.760 --> 01:04:40.200]   Napoleon Bonaparte
[01:04:40.200 --> 01:04:42.200]   Refused to open his mail for three weeks
[01:04:42.480 --> 01:04:48.520]   By that time most of the issues raised in letters had resolved themselves and no longer retired his attention. I
[01:04:48.520 --> 01:04:51.000]   Like this strategy
[01:04:51.000 --> 01:04:53.120]   Just ignore your email until people
[01:04:53.120 --> 01:04:59.560]   Yeah moved on in anger. The only issue is it helps not it necessary
[01:04:59.560 --> 01:05:03.880]   But if you can arrange this it helps for the strategy to be the Emperor of Europe
[01:05:03.880 --> 01:05:10.840]   It's a little bit harder if you are not the Emperor of Europe to do the strategy, but still a good one
[01:05:11.360 --> 01:05:14.520]   Alright, the third interesting thing I want to talk about is an article
[01:05:14.520 --> 01:05:17.320]   that was sent in from a
[01:05:17.320 --> 01:05:21.120]   product management website now this article is
[01:05:21.120 --> 01:05:25.560]   This is a technical I'm not going to get lost in the technical details
[01:05:25.560 --> 01:05:30.760]   What I care about here is a big picture idea that I think is relevant to slow productivity
[01:05:30.760 --> 01:05:32.760]   So if you're watching this on the screen
[01:05:32.760 --> 01:05:37.440]   You will see the title of this article. I have up here right now is called
[01:05:38.040 --> 01:05:41.080]   Stop obsessing over development velocity
[01:05:41.080 --> 01:05:43.160]   focus on
[01:05:43.160 --> 01:05:46.600]   this instead and so if you read this whole article
[01:05:46.600 --> 01:05:54.120]   It's talking about software development and it says there is an issue of software development to focus on the velocity of
[01:05:54.120 --> 01:05:56.680]   features getting completed
[01:05:56.680 --> 01:06:02.200]   How many features do we complete and add to the product this month or this week and it's this?
[01:06:02.200 --> 01:06:05.760]   Endless hurry up cycle to push more and more of those features
[01:06:06.440 --> 01:06:11.560]   This article makes the argument that that's not necessarily the way to maximize the value you produce
[01:06:11.560 --> 01:06:16.400]   so here's a few points this is actually the summary that the listener sent me along with this article and
[01:06:16.400 --> 01:06:21.600]   Software most new features don't make a positive impact for users because of that
[01:06:21.600 --> 01:06:27.680]   Increasing the velocity that is the number of features you ship per unit of time can create more waste
[01:06:27.680 --> 01:06:32.560]   If you obsess instead over making a positive impact
[01:06:32.560 --> 01:06:35.920]   You deliver more value with fewer features
[01:06:35.920 --> 01:06:36.880]   and
[01:06:36.880 --> 01:06:44.600]   Because existing features good or bad slow down the development of new features due to code complexity and the maintenance requirements and supporting them the positive effect
[01:06:44.600 --> 01:06:50.640]   Of building fewer but better features compounds as time goes on. I think there's a cool idea there
[01:06:50.640 --> 01:06:53.040]   It is relevant well beyond just software
[01:06:53.040 --> 01:06:55.440]   development
[01:06:55.440 --> 01:06:57.240]   focusing on a
[01:06:57.240 --> 01:07:02.560]   Smaller number of things that are clearly very important and high impact and doing them very well in
[01:07:03.720 --> 01:07:09.960]   Many different areas can end up producing more value and therefore more success economically
[01:07:09.960 --> 01:07:12.760]   Then just trying to do as many things
[01:07:12.760 --> 01:07:20.000]   This approach of course falls out of the three big principles of slow productivity do fewer things working at a natural pace
[01:07:20.000 --> 01:07:25.600]   Obsessing over quality. So looking at impact over velocity is exactly the type of strategy
[01:07:25.600 --> 01:07:32.060]   You might adopt if you are a believer in those three principles and I can imagine this in so many different areas. I mean think about
[01:07:33.280 --> 01:07:35.280]   academic service
[01:07:35.280 --> 01:07:41.080]   Instead of saying like how many different issues can we get through as a faculty during this semester in our faculty meetings?
[01:07:41.080 --> 01:07:45.720]   It might be let's really take our time to figure out. What's the biggest thing we could do
[01:07:45.720 --> 01:07:50.600]   Let's do that. Well and take our time and do it really well, you know, you're probably gonna end up better
[01:07:50.600 --> 01:07:53.840]   You imagine working on client service
[01:07:53.840 --> 01:07:59.160]   Let's try to do this one thing really well really change that clients business as opposed to like look at how many things we responded
[01:07:59.160 --> 01:08:04.440]   To and and got back to him on I could imagine this impact verse velocity trade-off happening in a lot of different areas
[01:08:04.440 --> 01:08:06.360]   I love that mindset
[01:08:06.360 --> 01:08:09.760]   And so I love this way of thinking so I wanted to highlight that this article is by
[01:08:09.760 --> 01:08:17.080]   Itamar Gillad, so good for you smart ideas if you're software developer
[01:08:17.080 --> 01:08:21.800]   Follow the link in the show notes so you can get lost in the weeds here. But for everyone else, let's just like this idea
[01:08:21.800 --> 01:08:24.480]   Velocity is not always the key
[01:08:24.480 --> 01:08:27.640]   to producing more value
[01:08:28.640 --> 01:08:31.680]   All right, everyone so that's all the time we have for today
[01:08:31.680 --> 01:08:37.320]   You can now shut down your podcast player and go read a real book
[01:08:37.320 --> 01:08:45.240]   We will be back next week with another episode of the deep questions podcast and until then as always stay deep
[01:08:45.960 --> 01:08:47.960]   *outro music*
[01:08:47.960 --> 01:08:50.540]   (upbeat music)
[01:08:50.540 --> 01:08:52.000]   (upbeat music)

