
[00:00:00.000 --> 00:00:01.660]   So it's mid-summer.
[00:46:19.380 --> 00:46:21.320]   on the things that are important to you,
[00:46:21.320 --> 00:46:23.060]   the leisure activities are important to you?
[00:46:23.060 --> 00:46:24.320]   I typically say no.
[00:46:24.320 --> 00:46:29.300]   So here's how I talk about managing leisure activities.
[00:46:29.300 --> 00:46:30.340]   They matter.
[00:46:30.340 --> 00:46:33.820]   So you should have them in your strategic or quarterly plans
[00:46:33.820 --> 00:46:35.100]   like these things that are important to you,
[00:46:35.100 --> 00:46:37.600]   I'm trying to become whatever.
[00:46:37.600 --> 00:46:39.140]   More knowledgeable about movies,
[00:46:39.140 --> 00:46:41.580]   I'm training for an athletic event, whatever it is,
[00:46:41.580 --> 00:46:43.780]   have those in your strategic plans.
[00:46:43.780 --> 00:46:45.700]   Visit those then in your weekly plans, right?
[00:46:45.700 --> 00:46:48.140]   We talked about multi-scale planning, the deep dive.
[00:46:48.140 --> 00:46:49.720]   When you're making your weekly plan,
[00:46:49.720 --> 00:46:51.220]   you're looking at these higher scale plans,
[00:46:51.220 --> 00:46:53.620]   you know, this is the time to integrate it.
[00:46:53.620 --> 00:46:56.220]   Maybe there's some thing you have to go do
[00:46:56.220 --> 00:46:58.040]   that is gonna require a bunch of time,
[00:46:58.040 --> 00:46:59.820]   you wanna pre-block that on your calendar,
[00:46:59.820 --> 00:47:02.420]   like, okay, I need to go like
[00:47:02.420 --> 00:47:04.420]   buy this new athletic equipment.
[00:47:04.420 --> 00:47:05.860]   I got time Friday afternoon,
[00:47:05.860 --> 00:47:07.020]   let me block that on my calendar.
[00:47:07.020 --> 00:47:08.300]   So you can block off time
[00:47:08.300 --> 00:47:11.260]   for specific time-consuming appointments
[00:47:11.260 --> 00:47:13.880]   or things involved with your leisure activity.
[00:47:13.880 --> 00:47:17.460]   You can have reminders to yourself in your weekly plan,
[00:47:17.460 --> 00:47:20.020]   like, hey, here's what I wanna make progress on this week.
[00:47:20.020 --> 00:47:22.120]   You know, I'm gonna try to exercise most mornings
[00:47:22.120 --> 00:47:23.380]   or whatever it is, right?
[00:47:23.380 --> 00:47:25.860]   But beyond that, don't time block.
[00:47:25.860 --> 00:47:28.060]   Like that's where I would put the end to the planning.
[00:47:28.060 --> 00:47:30.160]   So now what happens when you get to a particular day?
[00:47:30.160 --> 00:47:32.780]   Well, when your time block work schedule is over,
[00:47:34.060 --> 00:47:37.060]   you can then implement what I often think of
[00:47:37.060 --> 00:47:39.260]   as like non-urgent productivity,
[00:47:39.260 --> 00:47:43.020]   which is like do your best to choose interesting things
[00:47:43.020 --> 00:47:44.940]   to do with whatever free time you have,
[00:47:44.940 --> 00:47:46.380]   but don't sweat how much time that is
[00:47:46.380 --> 00:47:48.700]   or how much you fit in, right?
[00:47:48.700 --> 00:47:50.580]   So it's like, okay, I know what I'm working on.
[00:47:50.580 --> 00:47:51.980]   I've blocked off times for stuff
[00:47:51.980 --> 00:47:53.060]   that really need to be on my calendar.
[00:47:53.060 --> 00:47:54.540]   And then otherwise like, oh, it's the afternoon now,
[00:47:54.540 --> 00:47:56.180]   I have some free time.
[00:47:56.180 --> 00:47:57.820]   Great, this is what I'm working on.
[00:47:57.820 --> 00:47:58.820]   Let me go for a run.
[00:47:58.820 --> 00:48:01.540]   Let me go like find a book on this thing
[00:48:01.540 --> 00:48:03.480]   that I'm trying to learn more about, right?
[00:48:03.480 --> 00:48:04.500]   But if I don't have a lot of free time,
[00:48:04.500 --> 00:48:05.540]   that's also not a big deal.
[00:48:05.540 --> 00:48:07.620]   I don't have some sort of like hard schedule plan
[00:48:07.620 --> 00:48:10.180]   of like I need to get this many hours done on this or that.
[00:48:10.180 --> 00:48:13.220]   So I'm a big believer in having a little bit more looseness
[00:48:13.220 --> 00:48:16.000]   around your non-professional pursuits.
[00:48:16.000 --> 00:48:20.420]   All right, so the idea here is you're avoiding
[00:48:20.420 --> 00:48:24.740]   the stress of trying to follow a schedule.
[00:48:24.740 --> 00:48:26.740]   Like time block planning is pretty stressful.
[00:48:26.740 --> 00:48:27.620]   It's very effective,
[00:48:27.620 --> 00:48:29.740]   but it requires a lot of sort of concentration.
[00:48:29.740 --> 00:48:30.560]   It's pretty urgent.
[00:48:30.560 --> 00:48:31.620]   Like what's happening now?
[00:48:31.620 --> 00:48:32.820]   I need to get this done.
[00:48:32.820 --> 00:48:35.020]   We wanna avoid that footprint as possible
[00:48:35.020 --> 00:48:38.940]   for your time outside of work so your mind can recharge.
[00:48:38.940 --> 00:48:40.980]   On the other hand, for a lot of people,
[00:48:40.980 --> 00:48:44.260]   straight up free time's not the best.
[00:48:44.260 --> 00:48:47.180]   Like we think having nothing to do
[00:48:47.180 --> 00:48:49.380]   is gonna somehow be what we need
[00:48:49.380 --> 00:48:51.440]   or that's gonna be rejuvenating and recharging,
[00:48:51.440 --> 00:48:53.280]   but for a lot of people, it's not.
[00:48:53.280 --> 00:48:55.460]   So you do want to the extent possible,
[00:48:55.460 --> 00:48:57.760]   you are gonna feel better filling the time you have
[00:48:57.760 --> 00:48:59.520]   doing interesting, useful stuff.
[00:48:59.520 --> 00:49:01.700]   So that's where this like non-urgent productivity approach
[00:49:01.700 --> 00:49:02.540]   comes in.
[00:49:02.540 --> 00:49:04.940]   You have a great queue of things to do,
[00:49:04.940 --> 00:49:06.980]   but you're not sweating exactly how much you're gonna do
[00:49:06.980 --> 00:49:07.820]   and when you're gonna do it.
[00:49:07.820 --> 00:49:09.820]   It's just like, hey, as I have time, let me do stuff.
[00:49:09.820 --> 00:49:11.660]   I like doing stuff versus not doing stuff
[00:49:11.660 --> 00:49:13.740]   and I've got a pretty good plan of stuff to do.
[00:49:13.740 --> 00:49:16.420]   And if it's 10 hours versus three hours versus 20 hours,
[00:49:16.420 --> 00:49:17.260]   like it is what it is.
[00:49:17.260 --> 00:49:19.260]   You're just filling the time you happen to have.
[00:49:19.260 --> 00:49:22.260]   So Luke, that's what I would suggest.
[00:49:22.260 --> 00:49:23.400]   You don't wanna have nothing to do,
[00:49:23.400 --> 00:49:24.980]   but you don't wanna be over-scheduling
[00:49:24.980 --> 00:49:26.940]   the time you do have available as well.
[00:49:26.940 --> 00:49:29.900]   All right, who got next, Jesse?
[00:49:29.900 --> 00:49:31.860]   - Next question is from April.
[00:49:31.860 --> 00:49:33.900]   I'm a college student and I find it hard
[00:49:33.900 --> 00:49:36.020]   to fit all my activities and responsibilities
[00:49:36.020 --> 00:49:39.340]   into the 11 hours allotted by the time block planner.
[00:49:39.340 --> 00:49:41.140]   So I often find myself scrambling
[00:49:41.140 --> 00:49:43.180]   with ad hoc work in the evenings.
[00:49:43.180 --> 00:49:44.900]   How do I schedule a longer day?
[00:49:44.900 --> 00:49:48.520]   - Well, college students do have a sort of
[00:49:48.520 --> 00:49:50.340]   unique scheduling challenge
[00:49:50.340 --> 00:49:53.220]   because their work spreads out over a larger footprint
[00:49:53.220 --> 00:49:54.060]   than most jobs, right?
[00:49:54.060 --> 00:49:57.020]   So like most jobs, you can typically have something
[00:49:57.020 --> 00:49:59.320]   roughly like a nine to five
[00:49:59.320 --> 00:50:01.320]   in the which you can constrain most of your work,
[00:50:01.320 --> 00:50:04.520]   but college students, it might be an evening block
[00:50:04.520 --> 00:50:06.340]   is a big part of your plan,
[00:50:06.340 --> 00:50:09.260]   or maybe you have an early morning class,
[00:50:09.260 --> 00:50:10.640]   you have activities in the afternoon,
[00:50:10.640 --> 00:50:14.500]   and you can really have a bigger spread of active time.
[00:50:14.500 --> 00:50:18.320]   So this is a good question, this is a relevant question.
[00:50:18.320 --> 00:50:20.720]   What I try to do, like what I tried to do
[00:50:20.720 --> 00:50:25.720]   when I was a college student was to avoid the idea
[00:50:25.720 --> 00:50:28.980]   of the evenings and the late evenings
[00:50:28.980 --> 00:50:32.400]   were like your good open water to get things done.
[00:50:32.400 --> 00:50:35.020]   I felt like there was a lot of usable time
[00:50:35.020 --> 00:50:36.240]   throughout the entire day
[00:50:36.240 --> 00:50:38.500]   that if you took advantage of that properly,
[00:50:38.500 --> 00:50:40.560]   you didn't have to lean too heavily
[00:50:40.560 --> 00:50:43.800]   on the like nine to midnight hours,
[00:50:43.800 --> 00:50:45.320]   the sort of wait to get work done.
[00:50:45.320 --> 00:50:48.480]   In fact, I usually aim to be done with work by eight,
[00:50:48.480 --> 00:50:50.100]   which then gives you a schedule that does fit
[00:50:50.100 --> 00:50:52.760]   into like a reasonable time block plan.
[00:50:52.760 --> 00:50:54.840]   Now, how is that possible?
[00:50:54.840 --> 00:50:55.860]   I mean, if you just said tomorrow,
[00:50:55.860 --> 00:50:57.960]   I don't wanna work past eight, you might be out of luck.
[00:50:57.960 --> 00:50:59.120]   You're like, well, I have to have all this work
[00:50:59.120 --> 00:51:01.520]   that has to get done and three things are due tomorrow.
[00:51:01.520 --> 00:51:05.040]   But long-term, how do you constrain your college work?
[00:51:05.040 --> 00:51:05.880]   Here's what matters.
[00:51:05.880 --> 00:51:07.680]   One, and this is big picture,
[00:51:07.680 --> 00:51:11.140]   keep your course load and activity load reasonable.
[00:51:11.140 --> 00:51:14.240]   The number one source of stress for college students
[00:51:14.240 --> 00:51:16.260]   is they have too many courses, they're too hard,
[00:51:16.260 --> 00:51:18.760]   they have too many activities going on.
[00:51:18.760 --> 00:51:19.820]   If you're a college student,
[00:51:19.820 --> 00:51:21.280]   there's nobody in your future
[00:51:21.280 --> 00:51:24.280]   who is going to scrutinize the difficulty of your schedule.
[00:51:24.280 --> 00:51:26.680]   That's something you felt like was relevant
[00:51:26.680 --> 00:51:28.160]   when you were applying to college.
[00:51:28.160 --> 00:51:29.640]   It's not relevant for grad school,
[00:51:29.640 --> 00:51:30.840]   it's not relevant for jobs.
[00:51:30.840 --> 00:51:31.960]   They wanna know where you went to school,
[00:51:31.960 --> 00:51:34.200]   what you majored in, what's your grades.
[00:51:34.200 --> 00:51:35.020]   And for a lot of jobs,
[00:51:35.020 --> 00:51:36.040]   if you have other relevant experience,
[00:51:36.040 --> 00:51:37.360]   like you know how to program.
[00:51:37.360 --> 00:51:40.680]   They do not know or care that your junior fall,
[00:51:40.680 --> 00:51:43.160]   you were taking five really hard courses.
[00:51:43.160 --> 00:51:46.000]   Like that could have killed you work-wise.
[00:51:46.000 --> 00:51:47.640]   No one knows, no one cares.
[00:51:47.640 --> 00:51:48.800]   What'd you major in, what's your grades,
[00:51:48.800 --> 00:51:49.740]   where'd you go to school?
[00:51:49.740 --> 00:51:51.560]   So take advantage of that reality
[00:51:51.560 --> 00:51:53.060]   by keeping your course loads reasonable,
[00:51:53.060 --> 00:51:55.920]   don't overload courses, mix hard courses with easy courses,
[00:51:55.920 --> 00:51:58.480]   mix quantitative courses with other types of courses.
[00:51:58.480 --> 00:52:00.880]   If you have credits that can reduce your course load
[00:52:00.880 --> 00:52:01.720]   for certain semesters,
[00:52:01.720 --> 00:52:03.260]   take advantage of everything you have there.
[00:52:03.260 --> 00:52:05.520]   So keep your course load reasonable.
[00:52:05.520 --> 00:52:07.340]   Number two, use autopilot scheduling
[00:52:07.340 --> 00:52:08.920]   for all your regular work.
[00:52:08.920 --> 00:52:10.280]   I have a problem set due every week.
[00:52:10.280 --> 00:52:12.760]   When and where do I do the work for this problem set?
[00:52:12.760 --> 00:52:15.100]   I have an essay I have to respond right every other week
[00:52:15.100 --> 00:52:16.200]   for my English class.
[00:52:16.200 --> 00:52:18.420]   When and where do I do the work on this essay?
[00:52:18.420 --> 00:52:20.160]   Start figuring out in advance
[00:52:20.160 --> 00:52:21.760]   where this work fits onto your schedule
[00:52:21.760 --> 00:52:23.700]   so you don't have to make scheduling decisions.
[00:52:23.700 --> 00:52:25.680]   You're just executing this autopilot schedule
[00:52:25.680 --> 00:52:26.880]   and the stuff gets done.
[00:52:26.880 --> 00:52:29.320]   When you do autopilot scheduling,
[00:52:29.320 --> 00:52:32.600]   this work gets done, a couple of things happen.
[00:52:32.600 --> 00:52:35.400]   One, it starts to get done more in advance.
[00:52:35.400 --> 00:52:37.720]   So it's not just what's due tomorrow.
[00:52:37.720 --> 00:52:38.560]   Oh, I have a problem set.
[00:52:38.560 --> 00:52:40.320]   Let me go work on that problem set tonight.
[00:52:40.320 --> 00:52:41.840]   It gets done farther in advance
[00:52:41.840 --> 00:52:43.140]   so the work gets spread out more
[00:52:43.140 --> 00:52:45.640]   so it doesn't need to sit so much in the evening.
[00:52:45.640 --> 00:52:49.120]   It also tends to get done earlier.
[00:52:49.120 --> 00:52:50.000]   When you're trying to find,
[00:52:50.000 --> 00:52:53.200]   when do I want to work on my biweekly essay
[00:52:53.200 --> 00:52:54.040]   for English class?
[00:52:54.040 --> 00:52:56.480]   That's where you realize like I have this hour gap
[00:52:56.480 --> 00:52:59.720]   between 11 and my noon class.
[00:52:59.720 --> 00:53:02.280]   And if I use that gap on Tuesday and Wednesday,
[00:53:02.280 --> 00:53:03.880]   I could get my essay done.
[00:53:03.880 --> 00:53:06.880]   And so now suddenly work is getting done earlier in the day.
[00:53:06.880 --> 00:53:08.000]   Whereas again, if you're just saying
[00:53:08.000 --> 00:53:09.160]   what do I want to work on next?
[00:53:09.160 --> 00:53:11.200]   Most students wait till they have the clear water of night
[00:53:11.200 --> 00:53:12.040]   to even start.
[00:53:12.040 --> 00:53:14.400]   So you're better able to take advantage
[00:53:14.400 --> 00:53:17.340]   of the time that is available earlier in the day.
[00:53:17.340 --> 00:53:19.520]   Adding onto that,
[00:53:19.520 --> 00:53:21.480]   time block plan your mornings and afternoons.
[00:53:21.480 --> 00:53:22.960]   Do not waste the time
[00:53:22.960 --> 00:53:26.320]   that's in the morning and the afternoons between classes.
[00:53:26.320 --> 00:53:27.920]   That's the good time.
[00:53:27.920 --> 00:53:30.280]   That's when you want to be getting as much done as possible
[00:53:30.280 --> 00:53:33.600]   to minimize what needs to be done later.
[00:53:33.600 --> 00:53:35.400]   When you do work, study in quiet places
[00:53:35.400 --> 00:53:36.640]   and don't do it without your phone.
[00:53:36.640 --> 00:53:38.800]   And do it without your phone rather.
[00:53:38.800 --> 00:53:39.900]   Here's where I do this work.
[00:53:39.900 --> 00:53:40.800]   I go to this library.
[00:53:40.800 --> 00:53:41.640]   It's very austere.
[00:53:41.640 --> 00:53:42.960]   I don't bring my phone with me.
[00:53:42.960 --> 00:53:45.480]   So it is full non-context switching focus.
[00:53:45.480 --> 00:53:48.440]   Full non-context switching focus in a quiet place
[00:53:48.440 --> 00:53:51.560]   accomplishes work at roughly two times the speed
[00:53:51.560 --> 00:53:53.920]   of working with your phone nearby.
[00:53:53.920 --> 00:53:56.440]   There's another big key
[00:53:56.440 --> 00:53:58.880]   to reducing the footprint of your student work
[00:53:58.880 --> 00:54:00.040]   is to work in full focus.
[00:54:00.040 --> 00:54:01.800]   It makes a huge difference.
[00:54:01.800 --> 00:54:03.040]   Trust me, your friends will survive
[00:54:03.040 --> 00:54:05.600]   if you're not answering their WhatsApp immediately.
[00:54:05.600 --> 00:54:07.780]   Where am I at?
[00:54:07.780 --> 00:54:09.920]   One, two, three, four, okay.
[00:54:09.920 --> 00:54:11.880]   Okay, number five, last piece of advice.
[00:54:11.880 --> 00:54:13.680]   Make paper and exam studying plans.
[00:54:13.680 --> 00:54:14.840]   This is an idea for my book,
[00:54:14.840 --> 00:54:17.360]   How to Become a Straight A Student.
[00:54:17.360 --> 00:54:20.240]   It's coming up on its 20th anniversary,
[00:54:20.240 --> 00:54:21.640]   which is hard to believe.
[00:54:21.640 --> 00:54:22.480]   20th anniversary.
[00:54:22.480 --> 00:54:23.320]   - That's amazing.
[00:54:23.320 --> 00:54:24.140]   - Yeah, I know.
[00:54:24.140 --> 00:54:25.180]   I know these things.
[00:54:25.180 --> 00:54:28.140]   It's, you know, we've started looking through,
[00:54:28.140 --> 00:54:32.520]   started looking through my old student books
[00:54:32.520 --> 00:54:34.000]   and finding all the references
[00:54:34.000 --> 00:54:35.800]   that now there's references in these books
[00:54:35.800 --> 00:54:39.560]   that just don't make sense in like our current period.
[00:54:39.560 --> 00:54:41.600]   Like just technologies that we don't use,
[00:54:41.600 --> 00:54:43.260]   like things we don't use anymore.
[00:54:43.260 --> 00:54:46.160]   Just the world has changed so much
[00:54:46.160 --> 00:54:47.280]   that now we have to go back
[00:54:47.280 --> 00:54:48.840]   and start like making these sort of edits
[00:54:48.840 --> 00:54:51.200]   so that like the book is legible.
[00:54:51.200 --> 00:54:53.000]   - So 20 years ago, there was,
[00:54:53.000 --> 00:54:54.560]   I didn't have a telephone 20 years ago.
[00:54:54.560 --> 00:54:56.320]   Actually I did, it was 2004.
[00:54:56.320 --> 00:54:57.160]   I just got one.
[00:54:57.160 --> 00:54:58.480]   - But there's no smartphones.
[00:54:58.480 --> 00:54:59.320]   - Yeah.
[00:54:59.320 --> 00:55:01.360]   - A lot of students didn't have laptops.
[00:55:01.360 --> 00:55:03.560]   A lot of talking about like newspapers
[00:55:03.560 --> 00:55:05.220]   and going to the bookstore to find your textbook,
[00:55:05.220 --> 00:55:07.400]   like stuff that's like a lot more rare now.
[00:55:07.400 --> 00:55:08.240]   It's interesting.
[00:55:08.240 --> 00:55:10.920]   So we might go back and update some of those references.
[00:55:10.920 --> 00:55:12.800]   Anyways, one of the ideas I had
[00:55:12.800 --> 00:55:14.060]   in How to Become a Straight A Student
[00:55:14.060 --> 00:55:15.880]   is at the beginning of your semester,
[00:55:15.880 --> 00:55:19.040]   get your syllabi and figure out where's my exams
[00:55:19.040 --> 00:55:20.800]   and where's my major papers and all my classes.
[00:55:20.800 --> 00:55:22.960]   Let's get those on the calendar.
[00:55:22.960 --> 00:55:27.320]   For each of those, go back and schedule on your calendar
[00:55:27.320 --> 00:55:29.200]   when you're gonna work on it.
[00:55:29.200 --> 00:55:30.680]   So at the very beginning of the semester,
[00:55:30.680 --> 00:55:33.960]   you say there's gonna be a paper that's due in two months.
[00:55:33.960 --> 00:55:36.400]   When am I gonna work on this paper?
[00:55:36.400 --> 00:55:38.040]   And now you start rewinding in time.
[00:55:38.040 --> 00:55:39.440]   Well, two weeks in advance
[00:55:39.440 --> 00:55:41.680]   is when I really probably have to get all my research done
[00:55:41.680 --> 00:55:44.320]   and let me schedule out some time there to work on this.
[00:55:44.320 --> 00:55:46.060]   And then one week in advance,
[00:55:46.060 --> 00:55:47.500]   I need to get my rough draft writing.
[00:55:47.500 --> 00:55:50.640]   So again, you're spreading out work
[00:55:50.640 --> 00:55:53.560]   where there's space for it to fit reasonably.
[00:55:53.560 --> 00:55:55.960]   So you don't have to say, I have an exam tomorrow,
[00:55:55.960 --> 00:55:56.800]   let me go study.
[00:55:56.800 --> 00:55:59.200]   It's like, no, I just follow my calendar.
[00:55:59.200 --> 00:56:01.440]   I actually started preparing for this exam three weeks ago
[00:56:01.440 --> 00:56:03.780]   in like reasonable bursts where time happened to be free.
[00:56:03.780 --> 00:56:06.600]   And now as I get closer and closer to the actual exam day,
[00:56:06.600 --> 00:56:09.140]   there's not so much left for me to do.
[00:56:09.140 --> 00:56:11.620]   These type of systems, these type of ideas and plans
[00:56:11.620 --> 00:56:13.800]   can keep your student workday much more constrained,
[00:56:13.800 --> 00:56:16.360]   give you something where you rarely have to work past eight
[00:56:16.360 --> 00:56:18.600]   and now you can just throw standard professional
[00:56:18.600 --> 00:56:20.260]   office job style time block planning
[00:56:20.260 --> 00:56:22.760]   on the actual like morning and afternoon.
[00:56:22.760 --> 00:56:24.480]   And this all sort of works out well, right?
[00:56:24.480 --> 00:56:27.060]   So that's usually what I recommend for students
[00:56:27.060 --> 00:56:29.840]   is some sort of mixture of that type of advice.
[00:56:29.840 --> 00:56:32.680]   All right, who have we got next?
[00:56:32.680 --> 00:56:35.040]   - Next question is from Alexander.
[00:56:35.040 --> 00:56:36.540]   I'm a head of one of the departments
[00:56:36.540 --> 00:56:38.380]   in a game development company,
[00:56:38.380 --> 00:56:40.520]   which by design means cross project work
[00:56:40.520 --> 00:56:42.920]   and a lot of switching between different projects.
[00:56:42.920 --> 00:56:44.360]   I follow much of your advice.
[00:56:44.360 --> 00:56:45.640]   I multi-scale plan.
[00:56:45.640 --> 00:56:46.760]   I don't multitask.
[00:56:46.760 --> 00:56:48.200]   I keep my phone away.
[00:56:48.200 --> 00:56:51.400]   I say no often, but most of the days after work,
[00:56:51.400 --> 00:56:54.760]   I feel such mental fatigue, I can barely do anything.
[00:56:54.760 --> 00:56:58.560]   Is there a way to better regain my energy after work?
[00:56:58.560 --> 00:57:02.680]   - Well, there's the easy answer and the hard answer.
[00:57:02.680 --> 00:57:04.320]   So the easy answer is more tactical.
[00:57:04.320 --> 00:57:06.720]   Okay, I want more energy after work, I'm too tired.
[00:57:06.720 --> 00:57:09.180]   Two things matter there that can help some.
[00:57:10.440 --> 00:57:13.080]   One, you want to make sure drawing from the advice
[00:57:13.080 --> 00:57:14.400]   from the deep dive in this episode
[00:57:14.400 --> 00:57:16.200]   that you have a good shutdown ritual.
[00:57:16.200 --> 00:57:19.680]   A good shutdown ritual at the end of your day
[00:57:19.680 --> 00:57:22.040]   really does free up more mental resources.
[00:57:22.040 --> 00:57:24.680]   The more your brain is actually holding on to things
[00:57:24.680 --> 00:57:27.600]   from the workday itself and kind of worrying about this
[00:57:27.600 --> 00:57:29.360]   and writing the email you need to send here
[00:57:29.360 --> 00:57:30.880]   and rehashing what's going on
[00:57:30.880 --> 00:57:32.740]   and stressing about the timeline
[00:57:32.740 --> 00:57:34.640]   for some sort of project that's going up.
[00:57:34.640 --> 00:57:35.740]   The more your brain is doing that,
[00:57:35.740 --> 00:57:38.360]   the more your brain is going to be exhausted.
[00:57:38.360 --> 00:57:40.800]   The less energy, cognitive energy will be left over
[00:57:40.800 --> 00:57:41.880]   for other types of things.
[00:57:41.880 --> 00:57:45.080]   So have a good shutdown ritual will help a little.
[00:57:45.080 --> 00:57:46.680]   Another thing that really matters here
[00:57:46.680 --> 00:57:49.160]   is getting as healthy as possible.
[00:57:49.160 --> 00:57:50.820]   Physical health really matters
[00:57:50.820 --> 00:57:52.760]   when it comes to mental energy.
[00:57:52.760 --> 00:57:56.340]   How you eat, how you exercise.
[00:57:56.340 --> 00:57:57.480]   Now it might seem at first like,
[00:57:57.480 --> 00:57:58.660]   well, this is the last thing I want to do
[00:57:58.660 --> 00:58:02.880]   because this is another energy consuming time obligation
[00:58:02.880 --> 00:58:04.680]   I'm adding into my life that's going to make things worse.
[00:58:04.680 --> 00:58:06.800]   It'll actually make things better.
[00:58:06.800 --> 00:58:09.040]   If you're eating really well,
[00:58:09.040 --> 00:58:10.520]   you're getting in like a morning,
[00:58:10.520 --> 00:58:13.920]   like run or row or Peloton before the day gets started.
[00:58:13.920 --> 00:58:15.600]   And then, and I highly recommend this,
[00:58:15.600 --> 00:58:18.000]   this is what I do during the school year.
[00:58:18.000 --> 00:58:22.220]   You have a pretty intense resistance weight-based workout
[00:58:22.220 --> 00:58:24.400]   as your transition from work to non-work.
[00:58:24.400 --> 00:58:26.640]   That does really well.
[00:58:26.640 --> 00:58:29.320]   It kind of like resets your brain and your body.
[00:58:29.320 --> 00:58:30.400]   You would think it would tire you,
[00:58:30.400 --> 00:58:32.560]   but it also kind of like switches you out of brain mode
[00:58:32.560 --> 00:58:35.440]   into body mode and it helps keep you strong
[00:58:35.440 --> 00:58:36.880]   and your muscles working in a way
[00:58:36.880 --> 00:58:38.720]   that just sort of keeps you more alert.
[00:58:38.720 --> 00:58:41.800]   So it's like getting way more serious about your health,
[00:58:41.800 --> 00:58:44.240]   not just like a little bit, but a lot,
[00:58:44.240 --> 00:58:45.180]   that makes a difference.
[00:58:45.180 --> 00:58:49.300]   I mean, super high performing people do this, right?
[00:58:49.300 --> 00:58:52.960]   Like executives at these sort of,
[00:58:52.960 --> 00:58:55.080]   these high-end executives, hedge fund managers,
[00:58:55.080 --> 00:58:56.760]   where there's millions of dollars in the line,
[00:58:56.760 --> 00:58:58.920]   they're often pretty obsessive about their health
[00:58:58.920 --> 00:58:59.760]   because it matters.
[00:58:59.760 --> 00:59:04.080]   Like it matters for, it matters for their energy, right?
[00:59:04.080 --> 00:59:05.600]   So you should care about that a lot more
[00:59:05.600 --> 00:59:06.520]   than you probably are.
[00:59:06.520 --> 00:59:10.100]   The hard answer is some jobs are hard by design.
[00:59:10.100 --> 00:59:12.520]   Like this might be a job,
[00:59:12.520 --> 00:59:16.120]   big company, department head, it's a prestigious job.
[00:59:16.120 --> 00:59:17.380]   It might just be by design.
[00:59:17.380 --> 00:59:18.340]   This is a really hard job.
[00:59:18.340 --> 00:59:19.400]   That's what you're signing up for.
[00:59:19.400 --> 00:59:20.760]   You got a lot of things you got to manage.
[00:59:20.760 --> 00:59:21.800]   A lot's coming at you.
[00:59:21.800 --> 00:59:23.280]   You got to be locked in like you are
[00:59:23.280 --> 00:59:24.760]   in all the types of stuff I talk about,
[00:59:24.760 --> 00:59:26.540]   to organize, control your time and attention.
[00:59:26.540 --> 00:59:27.780]   Otherwise you're going to drown.
[00:59:27.780 --> 00:59:29.720]   But even with all those things, it's a lot
[00:59:29.720 --> 00:59:32.380]   and it's exhausting, right?
[00:59:32.380 --> 00:59:34.300]   That could just be the reality of your job.
[00:59:34.300 --> 00:59:37.260]   Now, hopefully they're compensating you fairly
[00:59:37.260 --> 00:59:38.100]   for what they're asking.
[00:59:38.100 --> 00:59:39.740]   This is typically the case.
[00:59:39.740 --> 00:59:41.380]   Law partners are like this.
[00:59:41.380 --> 00:59:42.700]   That's a very demanding job.
[00:59:42.700 --> 00:59:45.540]   But to say, hey, look, no surprises here.
[00:59:45.540 --> 00:59:46.380]   We're paying you well.
[00:59:46.380 --> 00:59:49.660]   You know what you're getting into, but this is what it is.
[00:59:49.660 --> 00:59:51.420]   Consulting can be like that.
[00:59:51.420 --> 00:59:53.860]   Clearly like startup founders can be like that.
[00:59:53.860 --> 00:59:56.200]   C-suite jobs for companies can be like that.
[00:59:56.200 --> 00:59:57.940]   Like these are very hard jobs.
[00:59:57.940 --> 00:59:59.260]   We pay you fairly for that hardness,
[00:59:59.260 --> 01:00:00.700]   but these are very hard jobs.
[01:00:00.700 --> 01:00:03.680]   They cannot be made into a low stress, not so hard job.
[01:00:03.680 --> 01:00:06.040]   All right.
[01:00:06.040 --> 01:00:07.820]   So if that's the reality here, which it probably is,
[01:00:07.820 --> 01:00:10.380]   there's some deeper questions to ask.
[01:00:10.380 --> 01:00:11.900]   Is this the right job?
[01:00:11.900 --> 01:00:13.640]   The right way to approach this, of course,
[01:00:13.640 --> 01:00:15.380]   is with lifestyle-centric planning.
[01:00:15.380 --> 01:00:19.180]   Don't just have some idea of a radical change
[01:00:19.180 --> 01:00:21.380]   and fall in love with change for the sake of change.
[01:00:21.380 --> 01:00:24.900]   Get in touch with what is my vision of an ideal lifestyle?
[01:00:24.900 --> 01:00:27.020]   Like, what do I want my typical day to be like?
[01:00:27.020 --> 01:00:29.140]   Like where, what's the location where I'm living?
[01:00:29.140 --> 01:00:30.780]   What's the rhythm of the day?
[01:00:30.780 --> 01:00:31.940]   What does it look like?
[01:00:31.940 --> 01:00:32.780]   Where am I?
[01:00:32.780 --> 01:00:33.620]   What's happening?
[01:00:33.620 --> 01:00:35.860]   What's the feel of my work and my non-work?
[01:00:35.860 --> 01:00:39.020]   Am I walking my dog around a quiet lake?
[01:00:39.020 --> 01:00:43.700]   Or am I going to see a cool new filmmaker's opening
[01:00:43.700 --> 01:00:46.000]   in the city that night after going to, like whatever.
[01:00:46.000 --> 01:00:48.460]   You just get this sort of concrete image
[01:00:48.460 --> 01:00:51.300]   of like what your ideal lifestyle looks like
[01:00:51.300 --> 01:00:53.020]   in the next five years or so.
[01:00:53.020 --> 01:00:55.340]   Like the rhythms of the day, the feel of the day,
