
[00:00:00.000 --> 00:00:05.640]   You just got paid, but now what do you do? Do you move money to savings, invest, pay down debt,
[00:44:49.660 --> 00:44:52.540]   versus on the tax loss harvesting side,
[00:44:52.540 --> 00:44:54.180]   whatever amount you prescribe,
[00:44:54.180 --> 00:44:56.100]   whether that's half a percent or 1%,
[00:44:56.100 --> 00:44:58.080]   is going to apply to the whole portfolio value.
[00:44:58.080 --> 00:45:02.640]   That said, over time, as the market increases in value,
[00:45:02.640 --> 00:45:05.340]   the real opportunities for tax loss harvesting
[00:45:05.340 --> 00:45:08.340]   are going to be the new contributions that have lower cost bases.
[00:45:08.340 --> 00:45:13.320]   So in theory, I think the tax loss harvesting could outperform SoFi.
[00:45:13.320 --> 00:45:16.300]   But right now, if the bulk of your investments
[00:45:16.300 --> 00:45:18.200]   are coming from regular contributions
[00:45:18.200 --> 00:45:20.820]   and you're not sitting on a really large pool of investments,
[00:45:20.820 --> 00:45:21.780]   I would keep doing that.
[00:45:21.780 --> 00:45:23.340]   If SoFi gets rid of that,
[00:45:23.340 --> 00:45:25.840]   then I could make an argument that tax loss harvesting
[00:45:25.840 --> 00:45:28.240]   could outperform not tax loss harvesting,
[00:45:28.240 --> 00:45:31.080]   but you could also do that on your own in your brokerage account.
[00:45:31.080 --> 00:45:32.400]   You don't have to automate it
[00:45:32.400 --> 00:45:35.140]   and you don't have to necessarily do it on a daily basis
[00:45:35.140 --> 00:45:36.220]   or even weekly basis.
[00:45:36.220 --> 00:45:39.140]   I think that in the last few years,
[00:45:39.140 --> 00:45:42.360]   90% of the benefit of tax loss harvesting for me
[00:45:42.360 --> 00:45:43.960]   happened right after the pandemic.
[00:45:43.960 --> 00:45:46.780]   But you do have to have the ability
[00:45:46.780 --> 00:45:50.840]   and the mental capacity to act when things are down,
[00:45:50.840 --> 00:45:51.920]   which can be super stressful,
[00:45:51.920 --> 00:45:53.540]   which is why I like to automate it.
[00:45:53.540 --> 00:45:55.120]   On to the question about appreciated assets.
[00:45:55.120 --> 00:45:55.780]   Absolutely.
[00:45:55.780 --> 00:45:57.060]   If you're donating to charity,
[00:45:57.060 --> 00:45:58.620]   donate appreciated assets.
[00:45:58.620 --> 00:46:00.960]   If you don't want to donate the appreciated assets
[00:46:00.960 --> 00:46:01.840]   directly to charity,
[00:46:01.840 --> 00:46:03.420]   donate it to a donor advised fund.
[00:46:03.420 --> 00:46:04.920]   The only exception I'll say here is
[00:46:04.920 --> 00:46:06.120]   in his question, Chris mentioned,
[00:46:06.120 --> 00:46:07.700]   should I move to Wealthfront and do that?
[00:46:07.700 --> 00:46:09.400]   And I will say no,
[00:46:09.400 --> 00:46:10.540]   because Wealthfront,
[00:46:10.540 --> 00:46:12.440]   at least as of the last time I asked,
[00:46:12.440 --> 00:46:15.320]   does not let you partially transfer out securities.
[00:46:15.320 --> 00:46:17.200]   You have to transfer the entire account.
[00:46:17.200 --> 00:46:19.300]   So if you had an account with $100,000 of securities
[00:46:19.300 --> 00:46:22.840]   and you wanted to donate $1,000 to a charity
[00:46:22.840 --> 00:46:24.840]   in the form of one of those securities,
[00:46:24.840 --> 00:46:26.680]   you would actually have to transfer
[00:46:26.680 --> 00:46:29.300]   all your brokerage account to another brokerage account,
[00:46:29.300 --> 00:46:32.260]   transfer the securities that you want to a charity
[00:46:32.260 --> 00:46:33.420]   or to your donor advised fund,
[00:46:33.420 --> 00:46:36.100]   and then move all of those securities back to Wealthfront.
[00:46:36.480 --> 00:46:40.180]   So I would say if your goal is to regularly donate appreciated assets
[00:46:40.180 --> 00:46:41.120]   from your brokerage account,
[00:46:41.120 --> 00:46:42.800]   Wealthfront is not a great option.
[00:46:42.800 --> 00:46:45.940]   However, if you're managing individual stock positions,
[00:46:45.940 --> 00:46:47.560]   maybe at one brokerage account,
[00:46:47.560 --> 00:46:49.560]   and you're managing your diversified,
[00:46:49.560 --> 00:46:51.140]   low-cost index funds at Wealthfront,
[00:46:51.140 --> 00:46:53.660]   then you could use that other brokerage account
[00:46:53.660 --> 00:46:55.780]   as the place you make a lot of your contributions
[00:46:55.780 --> 00:46:56.820]   to your donor advised fund.
[00:46:56.820 --> 00:46:57.640]   That's what I do.
[00:46:57.640 --> 00:47:00.220]   My brokerage account for my individual stocks is separate.
[00:47:00.420 --> 00:47:02.060]   And then my brokerage account at Wealthfront
[00:47:02.060 --> 00:47:06.180]   is long-term investing where I'm not making contributions
[00:47:06.180 --> 00:47:08.380]   from that account to my donor advised fund.
[00:47:08.380 --> 00:47:10.920]   This episode is brought to you by Masterclass.
[00:47:10.920 --> 00:47:13.540]   I have learned so much about everything from communication
[00:47:13.540 --> 00:47:17.220]   to leadership to negotiation from business experts on this show.
[00:47:17.220 --> 00:47:20.040]   But if you're like me, you are always hungry for more.
[00:47:20.040 --> 00:47:21.900]   And that's when I turned to Masterclass.
[00:47:21.900 --> 00:47:25.260]   It's the only streaming platform where you can learn and grow
[00:47:25.260 --> 00:47:27.440]   with over 200 of the world's best.
[00:47:27.860 --> 00:47:31.420]   And for just $10 a month, an annual membership with Masterclass
[00:47:31.420 --> 00:47:34.320]   gets you unlimited access to every instructor
[00:47:34.320 --> 00:47:38.420]   on your phone, computer, smart TV, or even in audio mode.
[00:47:38.420 --> 00:47:40.520]   I've leveled up my investing with Ray Dalio,
[00:47:40.520 --> 00:47:42.700]   perfected pizza making with Tony Gimignani,
[00:47:42.700 --> 00:47:45.020]   and picked up so many great business lessons
[00:47:45.020 --> 00:47:47.320]   from Howard Schultz, Rosalind Brewer, Bob Iger,
[00:47:47.320 --> 00:47:50.180]   and so many more, all through Masterclass.
[00:47:50.180 --> 00:47:53.400]   But recently, I wanted to set up some great habits for 2025,
[00:47:53.400 --> 00:47:56.000]   and I took James Clear's class on habits,
[00:47:56.000 --> 00:47:57.120]   and it was so helpful.
[00:47:57.600 --> 00:47:58.860]   And it's not just me that loves it.
[00:47:58.860 --> 00:48:03.100]   88% of members feel that Masterclass has made a positive impact on their lives.
[00:48:03.100 --> 00:48:06.620]   Plus, every new membership comes with a 30-day money-back guarantee.
[00:48:06.620 --> 00:48:08.160]   So you have to check out Masterclass.
[00:48:08.160 --> 00:48:12.320]   And right now, our listeners will get an additional 15% off
[00:48:12.320 --> 00:48:16.660]   any annual membership at chrishutchins.com slash masterclass.
[00:48:16.660 --> 00:48:21.040]   That's 15% off at chrishutchins.com slash masterclass.
[00:48:21.040 --> 00:48:22.320]   All right, two more.
[00:48:22.320 --> 00:48:23.400]   Next one's a great question.
[00:48:23.560 --> 00:48:24.060]   I'm 38.
[00:48:24.060 --> 00:48:26.760]   I have a wife and a couple young kids, seven and four.
[00:48:26.760 --> 00:48:30.820]   And my portfolio has been long time managed by my father's friend,
[00:48:30.820 --> 00:48:32.720]   who's a financial advisor at Morgan Stanley.
[00:48:32.720 --> 00:48:36.560]   And a few years back, we learned we're paying 1.25% in fees,
[00:48:36.560 --> 00:48:38.780]   which we negotiated down to 0.75.
[00:48:39.240 --> 00:48:42.320]   But when I'm looking at the returns and the investment options,
[00:48:42.320 --> 00:48:44.280]   my net returns are not great.
[00:48:44.280 --> 00:48:47.620]   However, I'm in a lot of individual stocks.
[00:48:47.620 --> 00:48:50.620]   And I know that if I transition to the portfolio I want,
[00:48:50.620 --> 00:48:52.380]   I'm going to be paying a lot of taxes
[00:48:52.380 --> 00:48:55.340]   because I'm going to have to sell all those stocks and buy index funds.
[00:48:56.680 --> 00:49:00.040]   This is a loaded question and I really appreciate you sending it in.
[00:49:00.040 --> 00:49:02.840]   It's a lot more common than you think that people have just inherited
[00:49:02.840 --> 00:49:06.080]   their parents' financial advisor and haven't really thought about it for too long.
[00:49:06.080 --> 00:49:09.480]   So high fee management can really eat away at your portfolio.
[00:49:09.480 --> 00:49:13.660]   A 0.75% fee over 15 years is a really big deal,
[00:49:13.660 --> 00:49:16.880]   especially if the funds that you're being invested in
[00:49:16.880 --> 00:49:20.860]   are also high fee themselves or not exactly what you want.
[00:49:20.860 --> 00:49:23.100]   In this person's case, they said they're an individual stock.
[00:49:23.180 --> 00:49:24.920]   So there's probably not a lot of fees there.
[00:49:24.920 --> 00:49:29.000]   But another thing I often see is that you've got high management fees
[00:49:29.000 --> 00:49:32.000]   plus proprietary funds with their own high fees.
[00:49:32.000 --> 00:49:34.040]   And that can really eat at the value of the portfolio.
[00:49:34.040 --> 00:49:38.180]   So the good news is you don't have to sell everything all at once.
[00:49:38.180 --> 00:49:39.460]   So if this were me,
[00:49:39.460 --> 00:49:42.200]   I would pretty quickly move all of those investments
[00:49:42.200 --> 00:49:44.420]   into a brokerage account that is self-directed
[00:49:44.420 --> 00:49:45.980]   and not managed by a financial advisor.
[00:49:45.980 --> 00:49:49.060]   And that'll eliminate the 0.75% fee.
[00:49:49.060 --> 00:49:51.160]   And then I would over time
[00:49:51.160 --> 00:49:53.460]   start to transition out this portfolio.
[00:49:53.460 --> 00:49:54.920]   You could start to look at it.
[00:49:54.920 --> 00:49:56.560]   Some of the things you're invested in
[00:49:56.560 --> 00:49:59.300]   might not have a lot of baked in capital gains.
[00:49:59.300 --> 00:50:01.060]   Those will be easier to sell now.
[00:50:01.060 --> 00:50:04.200]   Each year, you can kind of sell up to the top
[00:50:04.200 --> 00:50:06.800]   of your current capital gains bracket is one option.
[00:50:06.800 --> 00:50:10.300]   You kind of decide at what level you're willing to
[00:50:10.300 --> 00:50:12.140]   realize those gains today
[00:50:12.140 --> 00:50:15.060]   to be able to get into a portfolio you really want.
[00:50:15.060 --> 00:50:16.440]   I don't envy this situation.
[00:50:16.440 --> 00:50:20.260]   I was actually in a similar situation for a different reason.
[00:50:20.260 --> 00:50:23.340]   And so one of the great things about tax loss harvesting
[00:50:23.340 --> 00:50:25.640]   was that during the pandemic a few years ago,
[00:50:25.640 --> 00:50:27.700]   we harvested a lot of tax losses.
[00:50:27.700 --> 00:50:30.700]   And then I used those to be able to get out of this situation.
[00:50:30.700 --> 00:50:33.320]   Obviously, I'm not hoping that the market crashes
[00:50:33.320 --> 00:50:35.080]   so you can capture a lot of losses.
[00:50:35.080 --> 00:50:37.840]   But in a circumstance where the market did crash
[00:50:37.840 --> 00:50:39.040]   and you could capture losses,
[00:50:39.040 --> 00:50:41.220]   this is a great opportunity to use them
[00:50:41.220 --> 00:50:43.420]   and remove the psychological barrier
[00:50:43.420 --> 00:50:46.660]   of trying to sell your positions you're not happy about
[00:50:46.660 --> 00:50:49.060]   knowing you're going to have to realize capital gains.
[00:50:49.060 --> 00:50:51.480]   Now, another couple of things to keep in mind.
[00:50:51.480 --> 00:50:53.900]   One, if you have dividend reinvesting on,
[00:50:53.900 --> 00:50:55.380]   immediately you can turn that off
[00:50:55.380 --> 00:50:57.600]   so you're not rebuying these positions.
[00:50:57.600 --> 00:50:59.420]   Sometimes that's part of your portfolio
[00:50:59.420 --> 00:51:00.360]   and the way it's set up.
[00:51:00.360 --> 00:51:01.060]   One other thing,
[00:51:01.060 --> 00:51:03.360]   depending on what kinds of stocks you have,
[00:51:03.360 --> 00:51:06.340]   you might be able to incorporate them into a portfolio.
[00:51:06.720 --> 00:51:10.080]   So I actually had a handful of individual stocks,
[00:51:10.080 --> 00:51:12.480]   mostly Apple and Facebook and Google.
[00:51:12.480 --> 00:51:16.160]   And I wanted to start doing more index fund investing.
[00:51:16.160 --> 00:51:18.620]   And so I set up direct indexing at Wealthfront.
[00:51:18.620 --> 00:51:21.420]   And I actually transferred in those stocks
[00:51:21.420 --> 00:51:23.420]   and Wealthfront incorporated them
[00:51:23.420 --> 00:51:25.060]   into the direct indexing portfolio.
[00:51:25.060 --> 00:51:27.000]   So if you look at the S&P 500
[00:51:27.000 --> 00:51:29.260]   or you look at the total US stock market,
[00:51:29.260 --> 00:51:34.020]   no individual stock is more than 6% or 7%.
[00:51:34.020 --> 00:51:35.620]   And that's the high end, right?
[00:51:35.620 --> 00:51:37.180]   That's the Microsofts, the NVIDIAs.
[00:51:37.180 --> 00:51:39.440]   But let's say you had $100,000
[00:51:39.440 --> 00:51:41.680]   and in that $100,000,
[00:51:41.680 --> 00:51:44.820]   5,000 was Google or Facebook or Apple
[00:51:44.820 --> 00:51:46.060]   or Microsoft or NVIDIA.
[00:51:46.060 --> 00:51:48.800]   And you wanted to do a direct indexing strategy
[00:51:48.800 --> 00:51:50.040]   with someone like Wealthfront
[00:51:50.040 --> 00:51:51.480]   or someone else that offers that.
[00:51:51.480 --> 00:51:54.100]   You might be able to transfer those positions in
[00:51:54.100 --> 00:51:55.920]   and have the strategy built around it.
[00:51:55.920 --> 00:51:57.560]   I know there's a company called Freck
[00:51:57.560 --> 00:51:59.380]   that does direct indexing.
[00:51:59.380 --> 00:52:00.600]   I got to know the founder.
[00:52:00.600 --> 00:52:02.000]   I think it's a really cool product.
[00:52:02.000 --> 00:52:05.160]   They might actually be able to incorporate these as well.
[00:52:05.560 --> 00:52:07.680]   And so taking a look at incorporating
[00:52:07.680 --> 00:52:10.180]   your existing positions into something
[00:52:10.180 --> 00:52:12.240]   you don't have to manage at a much lower fee
[00:52:12.240 --> 00:52:13.680]   could make a lot of sense.
[00:52:13.680 --> 00:52:15.160]   Now, obviously, I don't know your portfolio.
[00:52:15.160 --> 00:52:16.720]   I don't know what those stocks are.
[00:52:16.720 --> 00:52:18.580]   I don't know what the Morgan Stanley advisor picked.
[00:52:18.580 --> 00:52:20.860]   So I can't really speak to that in much detail.
[00:52:20.860 --> 00:52:22.620]   As we mentioned before on charitable giving,
[00:52:22.620 --> 00:52:25.220]   if you're regularly donating money to charity,
[00:52:25.220 --> 00:52:28.200]   then I think you could use your appreciated stocks
[00:52:28.200 --> 00:52:29.100]   to donate to charity,
[00:52:29.100 --> 00:52:31.660]   take the money you otherwise would have donated to charity
[00:52:31.660 --> 00:52:33.440]   and buy the investments you actually want.
[00:52:33.540 --> 00:52:34.760]   And so that's another great strategy.
[00:52:34.760 --> 00:52:36.140]   So I know that's a lot.
[00:52:36.140 --> 00:52:37.380]   You don't have to do it all at once.
[00:52:37.380 --> 00:52:39.920]   Come up with a plan and a transition timeline
[00:52:39.920 --> 00:52:42.300]   and slowly chip away at it over time.
[00:52:42.300 --> 00:52:44.060]   I think you'll get there soon enough
[00:52:44.060 --> 00:52:45.880]   and it'll feel really good to not be paying
[00:52:45.880 --> 00:52:47.180]   those advisory fees.
[00:52:47.740 --> 00:52:49.340]   So last question was a quick one,
[00:52:49.340 --> 00:52:51.260]   which was, what are your thoughts on financial advisors?
[00:52:51.260 --> 00:52:52.200]   Great question.
[00:52:52.200 --> 00:52:52.780]   Let me be clear.
[00:52:52.780 --> 00:52:54.400]   I don't think financial advisors are bad.
[00:52:54.400 --> 00:52:55.940]   I was one in a previous life.
[00:52:55.940 --> 00:52:57.760]   I ran a firm for them in a previous life.
[00:52:57.760 --> 00:52:59.620]   I do think the industry needs to evolve.
[00:52:59.620 --> 00:53:02.360]   Many advisors are charging a high percentage
[00:53:02.360 --> 00:53:05.320]   of your portfolio just to manage a few investments
[00:53:05.320 --> 00:53:07.300]   that software can do a great job of.
[00:53:07.300 --> 00:53:10.340]   So I'm not a fan of paying 1%, half a percent,
[00:53:10.340 --> 00:53:13.100]   0.75% for someone to manage my portfolio.
[00:53:13.400 --> 00:53:16.120]   I'd much rather do that on an automated basis with software.
[00:53:16.120 --> 00:53:20.040]   However, if your financial advisor is doing financial planning,
[00:53:20.040 --> 00:53:22.160]   tax planning, estate strategy,
[00:53:22.160 --> 00:53:25.160]   helping you with complicated decisions in your family
[00:53:25.160 --> 00:53:27.860]   or with the equity you have in a company you work at,
[00:53:27.860 --> 00:53:31.440]   those are great reasons to be getting help
[00:53:31.440 --> 00:53:32.520]   for your financial life.
[00:53:32.520 --> 00:53:34.980]   And those are things that you should pay a professional for.
[00:53:34.980 --> 00:53:37.700]   Personally, I prefer to pay a flat fee
[00:53:37.700 --> 00:53:42.240]   on an hourly, monthly, annual basis for advice
[00:53:42.240 --> 00:53:44.180]   and then pay for my investments
[00:53:44.180 --> 00:53:46.000]   either as part of that fee
[00:53:46.000 --> 00:53:48.200]   or as a percentage that is much, much lower.
[00:53:48.200 --> 00:53:50.660]   And there are a lot of financial planners out there
[00:53:50.660 --> 00:53:51.700]   you can take a look at
[00:53:51.700 --> 00:53:54.720]   that are fiduciary only, fee-based
[00:53:54.720 --> 00:53:57.020]   and not focused on a percentage of assets.
[00:53:57.020 --> 00:53:58.680]   So that is something I would like to do.
[00:53:58.680 --> 00:54:00.100]   So I think advisors still matter.
[00:54:00.100 --> 00:54:01.280]   I still think they're helpful,
[00:54:01.280 --> 00:54:03.600]   but I want to make sure you're getting real value
[00:54:03.600 --> 00:54:05.320]   relative to how much you're paying for them.
[00:54:05.320 --> 00:54:06.340]   So I really hope it was helpful
[00:54:06.340 --> 00:54:08.380]   for you guys to hear those four questions
[00:54:08.380 --> 00:54:09.720]   and how I think about them
[00:54:09.720 --> 00:54:11.880]   and walk through my entire money allocation framework.
[00:54:12.020 --> 00:54:13.640]   The goal was for this to be a helpful way
[00:54:13.640 --> 00:54:14.900]   for you guys to think about money
[00:54:14.900 --> 00:54:16.020]   and how to allocate money
[00:54:16.020 --> 00:54:17.820]   and hear my perspective on how I think about it
[00:54:17.820 --> 00:54:20.120]   as someone who's probably spent decades
[00:54:20.120 --> 00:54:21.720]   thinking about this exact topic
[00:54:21.720 --> 00:54:23.160]   and helping other clients do it.
[00:54:23.160 --> 00:54:26.220]   If you have other questions similar to this
[00:54:26.220 --> 00:54:27.120]   or on any topic,
[00:54:27.120 --> 00:54:28.600]   I always love to hear them
[00:54:28.600 --> 00:54:29.700]   and I'm trying to find ways
[00:54:29.700 --> 00:54:31.560]   to incorporate them in future episodes.
[00:54:31.560 --> 00:54:32.680]   And in many ways,
[00:54:32.680 --> 00:54:34.040]   the questions you guys have
[00:54:34.040 --> 00:54:35.440]   that aren't necessarily answered
[00:54:35.440 --> 00:54:37.480]   in any episode you've heard so far
[00:54:37.480 --> 00:54:40.100]   are great ways that I think about future content.
[00:54:40.520 --> 00:54:41.440]   So please send them over
[00:54:41.440 --> 00:54:43.080]   podcast at allthehacks.com.
[00:54:43.080 --> 00:54:44.900]   I definitely read everything that comes in.
[00:54:44.900 --> 00:54:46.300]   That is it for this week.

