
[00:00:00.000 --> 00:00:04.400]   Democrats still think the currency of politics is money and the currency of politics is attention.
[01:40:32.740 --> 01:40:34.960]   In many cases, it should regulate parts of the market more.
[01:40:35.840 --> 01:40:41.920]   What we don't talk about enough is how much the government regulates the government and
[01:40:41.920 --> 01:40:44.160]   how badly it needs to deregulate the government.
[01:40:44.160 --> 01:40:48.480]   So I have many more left friends and they'll come to me or they'll critique me and they'll
[01:40:48.480 --> 01:40:52.840]   say, this all is fine, but what we really need in this country is public housing or it's
[01:40:52.840 --> 01:40:54.180]   been rebranded social housing.
[01:40:54.180 --> 01:40:54.860]   It's fine.
[01:40:54.860 --> 01:40:57.480]   Singapore, huge amount of social housing, right?
[01:40:57.480 --> 01:40:58.500]   They do a great job with it.
[01:40:58.500 --> 01:41:04.920]   One of the things we go into, and this book is a manifesto on some level, but something
[01:41:04.920 --> 01:41:12.140]   we really try to do is take you into the gritty, grimy, frustrating details of how policy plays
[01:41:12.140 --> 01:41:12.720]   out on the ground.
[01:41:12.720 --> 01:41:16.320]   What actually happens after a bill passes and why we get the outcomes we do.
[01:41:16.320 --> 01:41:21.160]   Because often it's like a bunch of decisions made after everybody stopped paying attention.
[01:41:21.160 --> 01:41:26.980]   So one of the things we pay some real attention to is the part of the kind of housing that people
[01:41:26.980 --> 01:41:31.260]   on the left all agree on is affordable housing through government grants, right?
[01:41:31.260 --> 01:41:34.820]   The government says, oh, we're not just going to have market rate developers coming in,
[01:41:34.820 --> 01:41:37.860]   building more luxury condos for the children of the upper class.
[01:41:37.860 --> 01:41:44.540]   We're going to build affordable housing for people who should be in this city, but otherwise
[01:41:44.540 --> 01:41:46.200]   couldn't pay enough to be here.
[01:41:46.200 --> 01:41:47.920]   California.
[01:41:47.920 --> 01:41:50.980]   I can give you two different examples, but let's look at Los Angeles.
[01:41:51.100 --> 01:41:54.700]   I'm from outside LA, and they have something, I always forget if it's measure H or measure
[01:41:54.700 --> 01:42:01.420]   HHH, but California, LA voters pass a bond measure, about a billion dollars, a little bit
[01:42:01.420 --> 01:42:03.380]   more, I think it was, to build affordable housing.
[01:42:03.380 --> 01:42:09.140]   Six years later, when I'm writing about this, they have built a couple thousand units at an
[01:42:09.140 --> 01:42:12.460]   average cost of $600,000 to $700,000 a unit.
[01:42:13.000 --> 01:42:18.160]   So it's costing more to build housing under this affordable housing bond measure, which
[01:42:18.160 --> 01:42:23.460]   they have agreed to pay for, than it is to buy a home market rate in Denver.
[01:42:23.460 --> 01:42:25.460]   Denver is a nice place to live.
[01:42:25.460 --> 01:42:26.620]   So why?
[01:42:26.620 --> 01:42:27.200]   What had happened?
[01:42:27.200 --> 01:42:33.340]   Well, it turns out that when you trigger the public money in various cities, these are city
[01:42:33.340 --> 01:42:37.340]   ordinances often, but not always, and you use these public grants and you cobble together
[01:42:37.340 --> 01:42:41.280]   the different grants you need to build an affordable housing complex, what you've done is layer
[01:42:41.280 --> 01:42:45.960]   onto yourself a huge number of rules that the market rate developers don't have to follow.
[01:42:45.960 --> 01:42:48.840]   You're either using union labor or paying prevailing wage.
[01:42:48.840 --> 01:42:51.420]   You're building to higher green building codes.
[01:42:51.420 --> 01:42:54.840]   Oftentimes, by the way, to get through the kind of planning board meetings that Derek is
[01:42:54.840 --> 01:42:57.360]   talking about, you've made a bunch of concessions on the design.
[01:42:57.360 --> 01:42:59.520]   You know, is there going to be parking in it?
[01:42:59.520 --> 01:43:01.840]   You know, security, things like that.
[01:43:01.840 --> 01:43:05.540]   You have to often agree to who's going to be in the home.
[01:43:06.060 --> 01:43:10.100]   So you're getting, you know, there's a thing in the Measure H stuff where, well, they wanted
[01:43:10.100 --> 01:43:11.680]   it to not just be the taxpayer money.
[01:43:11.680 --> 01:43:14.040]   They also wanted non-profit grants so the money would go further.
[01:43:14.040 --> 01:43:17.520]   So you're trying to get these other grants, but these grants are to house homeless veterans.
[01:43:17.520 --> 01:43:19.640]   So now to open the thing, you need to find these homeless veterans.
[01:43:19.640 --> 01:43:22.920]   You need to go through extra disability accessibility reviews.
[01:43:22.920 --> 01:43:27.020]   And of course, we all want these things to be accessible, but they already had to comply with
[01:43:27.020 --> 01:43:28.140]   the American Disability Act.
[01:43:28.140 --> 01:43:30.680]   But now you're doing another Disability Act review in the city.
[01:43:30.680 --> 01:43:34.640]   And they come in, they say, well, you know, your doors are a little bit not as wide as we
[01:43:34.640 --> 01:43:37.380]   think so you got to make all your doors three inches wider before you can open up.
[01:43:37.380 --> 01:43:39.040]   And that adds time and that adds cost.
[01:43:39.040 --> 01:43:41.260]   You have these subcontractor rules, right?
[01:43:41.260 --> 01:43:45.440]   This is now I'm using an example from San Francisco, but you had a preference initially for minority
[01:43:45.440 --> 01:43:49.520]   based subcontractors that became illegal, became small businesses.
[01:43:49.520 --> 01:43:52.740]   But that meant it had a preference against the bigger contractors who are more efficient
[01:43:52.740 --> 01:43:53.440]   at building housing.
[01:43:54.480 --> 01:44:00.440]   In order to use public money, and then very much in order to build public housing directly,
[01:44:00.440 --> 01:44:05.680]   it ends up being more expensive and slower than market rate.
[01:44:05.680 --> 01:44:07.660]   And that is a choice.
[01:44:07.660 --> 01:44:13.520]   We do not have to try to solve every problem in society through an individual housing project.
[01:44:13.520 --> 01:44:15.520]   Building affordable housing is hard enough.
[01:44:15.520 --> 01:44:17.820]   It's not impossible, but it's difficult to do.
[01:44:17.820 --> 01:44:19.200]   You do have to talk with the neighbors, right?
[01:44:19.240 --> 01:44:23.180]   It's never going to be trivial to build 500, you know, a 500 unit apartment building.
[01:44:23.180 --> 01:44:28.620]   But instead, we layer on all these external and additional agenda items.
[01:44:28.620 --> 01:44:32.060]   I call this everything bagel liberalism because, like, you know, you sprinkle just enough on
[01:44:32.060 --> 01:44:32.940]   the bagel and it's great.
[01:44:32.940 --> 01:44:36.960]   But if you saw everything everywhere all at once, you put everything on the everything bagel
[01:44:36.960 --> 01:44:39.280]   and it becomes a black hole from which nothing can escape.
[01:44:40.000 --> 01:44:42.440]   And so the need to deregulate government, right?
[01:44:42.440 --> 01:44:49.440]   Why I saw some of Elon Musk's marathon appearance on your show, and he talks about high-speed
[01:44:49.440 --> 01:44:50.060]   rail in California.
[01:44:50.060 --> 01:44:55.280]   And the thing he says there that it's functionally illegal to build high-speed rail in California.
[01:44:55.280 --> 01:44:58.060]   I got a hundred disagreements with Elon Musk right now.
[01:44:58.060 --> 01:44:58.920]   That's not one of them.
[01:44:58.920 --> 01:45:01.160]   It's functionally illegal to build high-speed rail in California.
[01:45:01.160 --> 01:45:02.040]   Like, I went out.
[01:45:02.040 --> 01:45:03.860]   I toured the high-speed rail.
[01:45:03.860 --> 01:45:05.260]   I've done a lot of reporting on that.
[01:45:05.260 --> 01:45:07.320]   You can't build it affordably.
[01:45:07.320 --> 01:45:08.620]   You just can't on time.
[01:45:08.620 --> 01:45:11.160]   Like, they have no way to get the money to build the rest of it.
[01:45:11.160 --> 01:45:12.060]   It's not going to happen.
[01:45:12.060 --> 01:45:15.020]   And it's not going to happen not because you can't build high-speed rail.
[01:45:15.020 --> 01:45:16.440]   Europe builds high-speed rail.
[01:45:16.440 --> 01:45:17.620]   Japan builds high-speed rail.
[01:45:17.620 --> 01:45:18.800]   China builds high-speed rail.
[01:45:18.800 --> 01:45:22.880]   And it's not because of the private market, like, we'll only build luxury high-speed rail.
[01:45:22.880 --> 01:45:29.080]   It's because we have so heavily regulated a public project that you can't finish it.
[01:45:29.080 --> 01:45:31.600]   And you definitely can't bring it in on time and affordably.
[01:45:31.600 --> 01:45:36.740]   And so I really would like to, like, uncode deregulation.
[01:45:37.180 --> 01:45:39.260]   Because, yeah, there's places where I would like to regulate more.
[01:45:39.260 --> 01:45:41.840]   I don't want you to be able to build a coal-fired power plant in America.
[01:45:41.840 --> 01:45:43.200]   I just don't want it to be possible.
[01:45:43.200 --> 01:45:44.040]   I think it's bad.
[01:45:44.040 --> 01:45:49.740]   But I do want it to be possible to build high-speed rail and affordable housing, including through the public market.
[01:45:49.740 --> 01:45:54.880]   And one thing my friends on the left, I think, really underrate is how hard they've made it for the government to act.
[01:45:55.340 --> 01:45:56.360]   They believe in government.
[01:45:56.360 --> 01:46:00.780]   But if you believe in government, then you have to make it possible for government to complete projects.
[01:46:00.780 --> 01:46:07.260]   You have to make it possible for the people who work for government to apply their own genius and initiative.
[01:46:07.260 --> 01:46:08.640]   They have to have agency.
[01:46:09.380 --> 01:46:16.780]   I always say that, like, we're sort of trapped right now between a party that wants government to fail and a party that won't make government work.
[01:46:16.780 --> 01:46:26.980]   And, like, we are trying to push this idea that the thing we want is a capable government, a strong government, a government that when it promises it will do something, it actually doesn't and gets it done.
[01:46:27.320 --> 01:46:33.860]   And that requires not just deregulation of the private sector, though sometimes it does require that, it requires deregulation of the government itself.
[01:46:33.860 --> 01:46:36.620]   I love this question of deregulation.
[01:46:36.620 --> 01:46:44.120]   But I also sometimes find it very frustrating because sometimes I find that people's sense of regulation is so specifically coded.
[01:46:44.120 --> 01:46:46.120]   Regulation is just rules.
[01:46:46.120 --> 01:46:53.760]   If you change the word from regulation to rules, I think it would be easier for people to see some rules are good and some rules are stupid.
[01:46:53.760 --> 01:46:55.680]   We all understand that in life.
[01:46:56.140 --> 01:46:57.320]   That's what regulations are.
[01:46:57.320 --> 01:46:57.960]   They're just rules.
[01:46:57.960 --> 01:47:03.640]   And sometimes they give us exactly the outcomes we want, and sometimes they give us the outcomes we would never hope for.
[01:47:03.640 --> 01:47:04.700]   And here's a good example.
[01:47:04.700 --> 01:47:07.860]   You go back to the 1940s, 1950s.
[01:47:07.860 --> 01:47:09.980]   America was fucking disgusting.
[01:47:09.980 --> 01:47:11.700]   Disgusting.
[01:47:11.700 --> 01:47:14.860]   The air and the water was horrifying.
[01:47:14.860 --> 01:47:23.820]   In 1943, residents of Los Angeles woke up to a smog that was so black they thought the Japanese had launched a chemical attack against America.
[01:47:24.340 --> 01:47:33.560]   In New Hampshire, in the rivers next to textile mills, sometimes the rivers themselves would run green and purple and red, depending on what textile colors were being dumped into the river.
[01:47:33.560 --> 01:47:37.600]   You had the Ohio River on fire in the 1960s, 1970s.
[01:47:37.600 --> 01:47:44.360]   The world of mid-1900s America was truly sickening, and it made people sick.
[01:47:44.360 --> 01:47:46.880]   And so we passed a raft of environmental rules.
[01:47:46.880 --> 01:47:49.360]   And some of them achieved exactly what we wanted.
[01:47:49.360 --> 01:47:54.940]   The air we breathe and the water we drink is cleaner because of the Clean Air and Water Acts.
[01:47:55.340 --> 01:47:59.080]   We did extraordinary things with this era of regulation.
[01:47:59.080 --> 01:48:08.180]   Some of these regulations were about outcomes, like the Clean Air and Water Act regulates specific pollution levels in the air and the water or the emissions coming out of tailpipes.
[01:48:08.180 --> 01:48:11.380]   Some of the regulations, though, were about process.
[01:48:11.380 --> 01:48:16.100]   NEPA is the National Environmental Protection Act, and it, among many other things,
[01:48:16.560 --> 01:48:32.660]   empowered individuals and citizens to sue the government and organizations, businesses to stop construction or fill out environmental reviews to prove that their construction wouldn't, would meat buster, wouldn't degrade the, the, the environment too severely.
[01:48:33.120 --> 01:48:41.620]   This opened the door to an infinitude of lawsuits to wrap up any effort to build anything in red tape forever.
[01:48:41.620 --> 01:48:54.940]   So fast forward to 2021, the year or sorry, the month after Newsom signs, Gavin Newsom, governor of California, signs the law to end single family zoning in California.
[01:48:54.940 --> 01:48:58.480]   Seems like a massive win for the pro-housing YIMBYs of California.
[01:48:58.480 --> 01:49:12.020]   The month after that law was passed, the Board of Supervisors in San Francisco decided to rule against an apartment building that would have added 500 total units and 100 below market rent units,
[01:49:12.020 --> 01:49:17.320]   so something like public or social housing, that was going to be built on a Nordstrom parking lot,
[01:49:17.320 --> 01:49:21.600]   just about the best possible place you could add housing in the world, a Nordstrom parking lot,
[01:49:21.600 --> 01:49:28.360]   because the builders, the developers, didn't file the appropriate paperwork under environmental review.
[01:49:28.360 --> 01:49:42.060]   So this is a world in which the most housing starved city in America is being starved even more of housing because of the expression of or the power of the instrumentalization of a rule past the 1970s
[01:49:42.060 --> 01:49:46.280]   that has allowed people to sue to stop the physical world from being changed.
[01:49:46.280 --> 01:49:54.500]   And I think it goes back to this idea that like sometimes the solutions of one era can become the problems of the next generation, right?
[01:49:54.500 --> 01:50:07.620]   It was really good to pass the set of environmental bills that we did in the 1960s and 1970s because it addressed the extremely real problem of air and water and land being degraded by industry.
[01:50:07.980 --> 01:50:13.000]   But we're in a new world, and the problem of environmentalism today is in part a problem of global warming,
[01:50:13.000 --> 01:50:16.640]   and we have to build not only dense housing but also clean energy.
[01:50:16.640 --> 01:50:27.020]   And the same rules that were designed to help the environment in the 1960s and 1970s are sometimes ironically used in a way that hurt the environment in the 2020s.
[01:50:27.100 --> 01:50:32.220]   And that's one reason why we, as liberals, need a paradigm shift.
[01:50:32.220 --> 01:50:34.980]   Okay, you said a lot of really interesting insights there.
[01:50:34.980 --> 01:50:44.300]   So one, if I understood correctly, that regulation of outcomes is more a good idea than regulation of process
[01:50:44.300 --> 01:50:50.060]   because regulation of process is where you can breed a lot of basically the lawyers show up.
[01:50:50.180 --> 01:50:54.200]   The other insight is if we get rid of 99% of lawyers, the world would be a better place.
[01:50:54.200 --> 01:50:55.460]   There's a lot of jokes around that.
[01:50:55.460 --> 01:50:55.940]   I don't know.
[01:50:55.940 --> 01:50:57.780]   I don't know if you agree, but that-
[01:50:57.780 --> 01:50:59.340]   I definitely wouldn't say 99%.
[01:50:59.340 --> 01:50:59.820]   98.
[01:50:59.820 --> 01:51:00.440]   Yeah, yeah.
[01:51:00.440 --> 01:51:02.240]   82.3 to be absolutely right.
[01:51:02.240 --> 01:51:02.940]   In the 80s.
[01:51:02.940 --> 01:51:03.140]   No.
[01:51:03.140 --> 01:51:03.280]   Okay.
[01:51:03.280 --> 01:51:04.540]   Majority of them.
[01:51:04.540 --> 01:51:04.880]   No.
[01:51:04.880 --> 01:51:09.920]   They're simply there to take advantage of the rules.
[01:51:09.920 --> 01:51:11.500]   We talk a lot about a book.
[01:51:11.500 --> 01:51:17.180]   I don't know if you've run into this one, but it's by Mansur Olson, who's sort of a founder of public interest economics.
[01:51:17.180 --> 01:51:20.020]   And it's called The Rise and Decline of Nations.
[01:51:20.020 --> 01:51:21.640]   This is like a very famous book.
[01:51:21.640 --> 01:51:22.820]   Libertarians love this book.
[01:51:22.820 --> 01:51:24.680]   And I love this book.
[01:51:24.680 --> 01:51:35.040]   It's not right about everything, but its fundamental question is how come after World War II did the completely destroyed, bombed out countries of Germany and Japan?
[01:51:35.040 --> 01:51:37.560]   You would have thought they would be just screwed.
[01:51:37.560 --> 01:51:40.000]   Instead, they both become growth miracles.
[01:51:40.000 --> 01:51:43.360]   They both do much better than the UK, which, you know, was on the winning side of the war.
[01:51:43.360 --> 01:51:43.720]   Why?
[01:51:44.140 --> 01:51:56.140]   And Olson's argument is that affluent, stable societies over long periods of time develop something that is very difficult to develop and very important to develop, which is bargaining organizations, right?
[01:51:56.140 --> 01:51:57.400]   Collective action is hard.
[01:51:57.400 --> 01:51:59.020]   It is hard to form an organization.
[01:51:59.020 --> 01:52:00.900]   It is hard to make that organization persist.
[01:52:01.260 --> 01:52:07.840]   But if you can do that in an atmosphere of stability, then over time, that organization will tend to entrench its power, right?
[01:52:07.840 --> 01:52:17.860]   Think about AARP or the Chamber of Commerce or certain unions or, you know, the National Manufacturing Council, et cetera, the Business Roundtable.
[01:52:18.600 --> 01:52:25.700]   You know, they're not that powerful when they start, but over a long period of time, they become really powerful and they start to pass laws and make themselves more powerful and so on.
[01:52:25.700 --> 01:52:36.620]   There's a lot you can say about this insight, but my favorite part of Olson's book and one that I don't think people emphasize enough is this insight he has, which is that over time, countries will begin.
[01:52:36.620 --> 01:52:39.700]   And every country has a kind of form of natural selection within it.
[01:52:39.700 --> 01:52:47.360]   And that form of natural selection will select for people with the skills to navigate, best navigate the kind of economy that country has.
[01:52:47.360 --> 01:52:54.160]   So if you're in China right now and China is in its developmentalism phase, you really want to be in civil infrastructure, right?
[01:52:54.160 --> 01:53:01.200]   It is great to be a civil engineer in China, great to be working on semiconductors in China, great to be doing all this stuff in the physical world.
[01:53:01.460 --> 01:53:12.100]   But America, you know, as a kind of price of our affluence and our success, we've become a country, and this happens for a lot of countries, where negotiation is really important.
[01:53:12.100 --> 01:53:26.740]   And a country in which negotiation is really important is going to, over time, start developing a preference for lots of lawyers, people in finance, management consultants, because it is a society that requires continuous, what he calls complex bargaining.
[01:53:27.680 --> 01:53:33.600]   And I think this actually explains all Patrick Collison, we quote him in the, who's a founder, CEO of Stripe, you know, brilliant tech guy.
[01:53:33.600 --> 01:53:41.560]   Here's his point that he made in an interview with Noah Smith, who's a blogger and economist, where they were talking about high-speed rail.
[01:53:41.560 --> 01:53:47.580]   And sort of Patrick makes this point, he's like, it's just tough to be a high-speed rail engineer in America.
[01:53:47.580 --> 01:53:51.140]   You're going to have a much easier time working in the digital space.
[01:53:51.200 --> 01:53:54.340]   And so the digital space becomes a kind of frontier of last resort.
[01:53:54.340 --> 01:54:01.100]   And so people want to build things, go into bits and bytes, not into atoms, right, to use the old kind of Peter Thiel cut.
[01:54:01.100 --> 01:54:03.260]   And I think there's something to that.
[01:54:03.260 --> 01:54:04.500]   It's not that lawyers are bad.
[01:54:04.500 --> 01:54:09.300]   Some of the people I love most in this world are lawyers, and many lawyers do amazing, amazing work.
[01:54:09.720 --> 01:54:20.140]   But one reason we've selected for so many lawyers, and America has a lot of lawyers, is we became a society that needs a lot of lawyers, because we are a society that is stable, affluent, and have become, like, very into bargaining.
[01:54:20.140 --> 01:54:22.920]   You know, Donald Trump is a real estate developer.
[01:54:22.920 --> 01:54:24.420]   That's a relational business.
[01:54:24.800 --> 01:54:34.960]   The way real estate development works in this country, the reason you don't have all that many huge firms building housing in many, many states simultaneously, is it requires a lot of relationships in the individual city you're in.
[01:54:34.960 --> 01:54:47.560]   And so, you know, if you read, say, Maggie Haberman's great biography of Donald Trump, Confidence Man, which focuses a lot on his time as a real estate magnate in New York, you see, like, Donald Trump doesn't build a ton of stuff in other states.
[01:54:47.560 --> 01:54:52.000]   He actually builds in other countries sometimes, or more to the point, he puts his name on things built in other countries.
[01:54:52.040 --> 01:54:57.640]   But really, what he did was build here, and he built here through his relationships with the New York political system.
[01:54:57.640 --> 01:55:17.660]   And so, over time, societies that make building and construction and creation something that is the output of negotiations, rather than, like, very clear standards and rules where if you've done it, you can just do it, you get a lot of lawyers, you get a lot of management consultants, you get a lot of finance people, because that's what society is selecting for.
[01:55:17.760 --> 01:55:20.800]   That's what you've made it possible to have agency and freedom in.
[01:55:20.800 --> 01:55:22.960]   That's what you need to do to do big things.
[01:55:22.960 --> 01:55:27.020]   This is coming from Nick Bagley, who's a University of Michigan law professor.
[01:55:27.020 --> 01:55:35.540]   But between Walter Mondale and Tim Walls, there's not a single person on a Democratic presidential ticket who didn't go to law school, not one.
[01:55:36.480 --> 01:55:38.520]   Like, the Democratic Party in particular is a party of lawyers.
[01:55:38.520 --> 01:55:41.120]   And lawyers look at things from the legal perspective.
[01:55:41.120 --> 01:55:45.260]   And the legal perspective is that government is legitimate by following process.
[01:55:45.260 --> 01:55:51.540]   And Bagley's point is that government attains legitimacy, at least in part, through outcomes.
[01:55:52.080 --> 01:56:01.460]   And when you prize process so high over outcomes, you think you're acting legitimately, but actually it would have made you legitimate in the view of the people, is that you built the thing you told them you were going to build.
[01:56:01.460 --> 01:56:03.580]   You made it possible to live affordably in the city.
[01:56:03.580 --> 01:56:11.340]   And so you have this sort of movement then over time to populist strongmen who say, I alone can fix it, because they've kind of given up on this procedural liberalism.
[01:56:11.340 --> 01:56:12.620]   Like, they didn't deliver for them.
[01:56:12.760 --> 01:56:16.460]   So you keep telling them, you know, we're the ones who know how to run government, and they don't see it.
[01:56:16.460 --> 01:56:21.880]   And eventually somebody else comes and says, I'm going to bust through the walls of this thing like the Kool-Aid man, and they win.
[01:56:21.880 --> 01:56:23.900]   So speaking of the Kool-Aid man.
[01:56:23.900 --> 01:56:26.660]   I see what you're about to do.
[01:56:26.660 --> 01:56:32.400]   Yeah, I'm so transparent.
[01:56:32.400 --> 01:56:36.780]   It makes me think I'm a robot built in a lab somewhere.
[01:56:36.780 --> 01:56:43.880]   Sam Altman once said to me, he said, well, aren't you just a reinforcement learning system with energy running through it?
[01:56:43.880 --> 01:56:44.140]   Yeah.
[01:56:44.140 --> 01:56:46.460]   It's like, I'd like to think not, but maybe.
[01:56:46.460 --> 01:56:59.240]   So on the Kool-Aid man, I was wondering if you could maybe steel man the case for and against Elon Musk and Doge.
[01:56:59.440 --> 01:57:06.060]   Because you mentioned all of these regulations, all of the complexities that get in the way of building.
[01:57:06.060 --> 01:57:13.520]   It seems like a bold human like Elon is required to break through the regulation.
[01:57:13.520 --> 01:57:15.580]   Put that on one side.
[01:57:15.580 --> 01:57:21.340]   And the other side, I read somewhere that abundance is kind of the anti-Doge.
[01:57:23.260 --> 01:57:29.660]   So, which to me, it seems like there is conflicting ideas, but there's also alignment.
[01:57:29.660 --> 01:57:31.560]   So maybe can we break all that?
[01:57:31.560 --> 01:57:34.100]   I think the steel man is very easy to make here.
[01:57:34.100 --> 01:57:35.860]   Department of Government Efficiency.
[01:57:35.860 --> 01:57:40.160]   That sounds like an organization that's needed if government is inefficient.
[01:57:40.160 --> 01:57:44.860]   And one of the themes of our book is just how inefficient government can be.
[01:57:44.860 --> 01:57:49.920]   Not only at building houses, building energy, often at achieving its own ends.
[01:57:50.160 --> 01:57:52.740]   Building high-speed rail when it wants to build high-speed rail.
[01:57:52.740 --> 01:57:57.060]   Adding affordable housing units when it wants to add affordable housing units.
[01:57:57.060 --> 01:58:01.620]   You know, I love Ezra's line that we don't just need to think about, you know, deregulating the market.
[01:58:01.620 --> 01:58:04.400]   We need to think about deregulating government itself.
[01:58:04.400 --> 01:58:10.740]   Getting the rules out of the way that keep government from achieving the democratic outcomes that it's trying to achieve.
[01:58:10.740 --> 01:58:16.440]   This is a world in which a Department of Government Efficiency is a godsend.
[01:58:17.160 --> 01:58:26.160]   We should be absolutely obsessed with making government work well, especially if we're going to be the kind of liberals who believe that government is important in the first place.
[01:58:26.160 --> 01:58:31.960]   So that, to me, is the sort of pillbox version of a steel case for a Department of Government Efficiency.
[01:58:31.960 --> 01:58:34.700]   Wait, before you do the anti-case, can I offer a different steel man?
[01:58:34.700 --> 01:58:35.160]   Please.
[01:58:35.160 --> 01:58:46.060]   I think the steel man case for what Doge is, right, rather than what it pretended to be, is that the government is an interest.
[01:58:46.060 --> 01:58:50.160]   The bureaucracy, the deep state, the rules, the regulations.
[01:58:50.160 --> 01:58:51.640]   And it's not about efficiency.
[01:58:51.640 --> 01:58:52.760]   Never was.
[01:58:52.760 --> 01:58:54.360]   You wouldn't do this if it was about efficiency.
[01:58:55.360 --> 01:58:56.980]   That it's zero-based budgeting.
[01:58:56.980 --> 01:58:59.560]   That you're breaking the thing.
[01:58:59.560 --> 01:59:01.840]   You're turning it on and off.
[01:59:01.840 --> 01:59:03.880]   You're firing massive parts of it.
[01:59:03.880 --> 01:59:10.040]   Because the only way to make change within it possible is to delete what currently exists.
[01:59:10.040 --> 01:59:11.360]   Whether it was efficient or not.
[01:59:11.360 --> 01:59:12.820]   You would never actually know.
[01:59:12.820 --> 01:59:16.620]   That if you had it all come and present its case for efficiency or something, you'd never know.
[01:59:17.080 --> 01:59:18.740]   You'd get turned around, whatever.
[01:59:18.740 --> 01:59:24.500]   That the only way, like, the problem with the government is there is no actual competition.
[01:59:24.500 --> 01:59:32.640]   The Department of Education doesn't get out-competed by the, you know, the Agency of Education, which has started up, you know, three years ago or something.
[01:59:32.640 --> 01:59:41.920]   And because of that, the only way to make possible radical change is to bulldoze the thing that currently exists.
[01:59:41.920 --> 01:59:45.660]   And then once that is done, you can begin to rebuild.
[01:59:46.520 --> 01:59:50.900]   You can, you know, if you've fired half of the Department of Education, then you can start rehiring your people.
[01:59:50.900 --> 01:59:52.600]   And they will actually do what you want.
[01:59:52.600 --> 01:59:58.680]   If you have shown that you can delete every regulation or just not follow it, then you can begin deciding which ones to actually follow.
[01:59:58.680 --> 02:00:05.460]   If there is no Department of USAID and you've moved it back under state, then you can tell state what really to fund in terms of foreign aid, right?
[02:00:05.460 --> 02:00:09.160]   There's a theory here, I think, that was never about efficiency.
[02:00:09.160 --> 02:00:10.760]   It was about deletion.
[02:00:10.760 --> 02:00:14.200]   He's not trying to make things run a little bit better.
[02:00:14.200 --> 02:00:16.540]   He's not trying to lower the overhead cost of government.
[02:00:16.540 --> 02:00:22.620]   That the theory is that in the first term, the bureaucracy impeded Donald Trump.
[02:00:22.620 --> 02:00:23.780]   It didn't listen to him.
[02:00:23.780 --> 02:00:26.220]   Bureaucracy is supposed to be limbs of the president.
[02:00:26.220 --> 02:00:34.500]   The only way to make the federal government a neural link of Donald Trump himself is to destroy the federal government and then rebuild it as that thing.
[02:00:34.680 --> 02:00:43.960]   I think if you talk to people at Doge or talk to people who are authors of the project of Project 2025, who are at Heritage, who are chiefs of staff of the people working for Heritage.
[02:00:44.500 --> 02:00:50.340]   If you have a truth serum conversation with these folks and you say, oh, they'll defend what's happening.
[02:00:50.340 --> 02:00:53.240]   That's not just what they're saying.
[02:00:53.240 --> 02:01:04.940]   They're saying something metastatic has grown inside of government, not just over the last few years under Joe Biden, but over the last few decades, maybe going all the way back to FDR and even Woodrow Wilson.
[02:01:05.020 --> 02:01:21.020]   We have allowed an administrative state to accumulate like barnacles on a ship around the executive branch and it's keeping the executive branch from being able to translate the democratic will into policy because there's never any president who is purely elected by the people.
[02:01:21.020 --> 02:01:25.940]   They're elected into an office that is already pre-contaminated by the bureaucracy itself.
[02:01:25.940 --> 02:01:28.560]   And we're trying to take all of that away.
[02:01:28.560 --> 02:01:43.840]   We're trying to I mean, this is this is very just explicitly the case they're going to make trying to make government more democratic, not less by allowing the democratic, the elected president guide in a lead in a pure way.
[02:01:43.840 --> 02:01:46.380]   OK, so as you said, two things.
[02:01:46.380 --> 02:01:47.320]   One is the steel man.
[02:01:47.320 --> 02:01:50.000]   And then at the end there, there was a non steel man.
[02:01:50.000 --> 02:01:57.040]   So the first part is cutting, removing as much as possible to see what's actually needed.
[02:01:57.040 --> 02:02:02.540]   This seems like one of the ways to figure out what's actually needed is by removing it.
[02:02:02.540 --> 02:02:11.820]   And then there's the second thing is that you mentioned so that you can install the people that follow your policy.
[02:02:11.820 --> 02:02:13.960]   Well, I disagree with you that that wasn't the steel man.
[02:02:13.960 --> 02:02:17.080]   I mean, I think you have to listen to them to do the steel man.
[02:02:17.080 --> 02:02:17.340]   Right.
[02:02:17.340 --> 02:02:18.640]   I don't think the steel man is imaginary.
[02:02:18.640 --> 02:02:32.860]   If you read the the OMB regulation that froze funding, it said explicitly that the government has to reflect the will of the people as expressed through their choice of president.
[02:02:33.540 --> 02:02:37.700]   If you read anything Russ Vought has ever said, they have the unitary executive theory.
[02:02:37.700 --> 02:02:38.720]   I'm not saying it's right or wrong.
[02:02:38.720 --> 02:02:42.420]   I if you ask me to do the non steel man, which I would love to do, too.
[02:02:42.420 --> 02:02:48.880]   It is not my view that the steel man case of this is to make the federal government fully responsive to Donald Trump.
[02:02:49.380 --> 02:02:52.920]   But the steel man case for what they are doing as expressed by them.
[02:02:52.920 --> 02:02:56.560]   And I think like a steel man reflects like I mean, I have talked to these people.
[02:02:56.560 --> 02:02:56.840]   Right.
[02:02:56.840 --> 02:02:59.220]   Like I'm telling you what they tell me on some level.
[02:02:59.220 --> 02:03:05.180]   The steel man cases, they believe, like as Derek said a minute ago, this has become non democratically responsive.
[02:03:05.180 --> 02:03:10.560]   Like and the way it becomes democratically responsive is deeply responsive to the president.
