
[00:00:00.000 --> 00:00:02.040]   The following is a conversation with Scott Horton.
[05:02:52.440 --> 05:02:57.160]   when you listen to the Likudniks, what you end up doing is empowering the Ayatollah and his men.
[05:02:57.160 --> 05:03:03.880]   Well, what do you think about the attack of the United States on Iran? That, as I mentioned,
[05:03:03.880 --> 05:03:08.040]   had me so nervous. There would be another escalation into another forever war.
[05:03:08.040 --> 05:03:09.960]   Yeah. What do you think about that situation?
[05:03:09.960 --> 05:03:13.720]   Wait, let's hold that. Cause let's do Syria first in the redirection. Then we'll do the Iran war. Okay.
[05:03:13.720 --> 05:03:19.880]   Can you talk about the redirection? Okay. So the redirection was from the policy
[05:03:19.880 --> 05:03:26.600]   was really, I think invented in late 05 and then sort of discussed and implemented in beginning in 2006.
[05:03:26.600 --> 05:03:31.800]   And the article is called the redirection by Seymour Hersh in the New Yorker magazine.
[05:03:32.680 --> 05:03:38.920]   So Hersh, uh, pardon me. Yes. Hersh has an incredible series from this whole year long.
[05:03:38.920 --> 05:03:43.960]   It includes the coming wars, preparing the battlefield, the redirection. And I forget
[05:03:43.960 --> 05:03:48.680]   the fourth one, maybe the fifth one had a bunch of great ones this time. So I might be combining
[05:03:48.680 --> 05:03:52.840]   these articles a little bit here, but it's along the same lines. Here's what you need to understand
[05:03:52.840 --> 05:04:00.440]   about the redirection. Okay. Oops. We screwed up and we fought Iraq war two for the Shiites. Now to
[05:04:00.440 --> 05:04:05.800]   make up for that, we're tilting back toward the Sunnis. But what does that mean? That means we're
[05:04:05.800 --> 05:04:11.240]   tilting back toward Osama bin Laden and the suicide bomber brigades. Saudis don't have an army. We don't
[05:04:11.240 --> 05:04:18.120]   trust them with one probably. And we're their army for the most part. And so how are we going to make
[05:04:18.120 --> 05:04:26.680]   it up to the Israelis that we took their stupid idiot advice and launched this war, but empowered
[05:04:26.680 --> 05:04:31.720]   their regional rivals? And how are we going to make it up to the Saudis who tried to warn us for the most
[05:04:31.720 --> 05:04:37.240]   part, I think against it, but we ignored their advice and did it anyway, and empowered their regional
[05:04:37.240 --> 05:04:43.160]   rivals, the Iranians. And so how are we going to fix this? And how we're going to fix this is,
[05:04:43.160 --> 05:04:50.360]   since we put Tehran up two pegs in Baghdad, we're going to take them down a peg in Damascus. And so
[05:04:50.360 --> 05:04:58.040]   they started in Lebanon, backing a group called Fatah al-Islam, bin Ladenite, suicide bomber,
[05:04:58.040 --> 05:05:04.520]   head chopper, lunatic, terrorist to fight against Hezbollah. In Syria, Elizabeth Cheney, who was then
[05:05:04.520 --> 05:05:11.320]   working in the state department, later known as Liz Cheney, Dick Cheney's daughter, she had the job of
[05:05:11.320 --> 05:05:20.120]   working with the Muslim Brotherhood to create the first major government in exile to try to use to
[05:05:20.120 --> 05:05:26.040]   overthrow Bashar al-Assad. And I got to tell you, man, we used to joke on my show going back to, I think,
[05:05:26.040 --> 05:05:30.920]   2004 or 2005 would have been probably the first time that I had asked Eric Margulies,
[05:05:31.720 --> 05:05:37.080]   hey, Eric, if they do, because Eric Margulies was there, just like Patrick Coburn, he was there when
[05:05:37.080 --> 05:05:46.200]   Bashar al-Assad's father, Hafez al-Assad, had crushed the Muslim Brotherhood uprising in Hama in 1984,
[05:05:46.200 --> 05:05:51.640]   or was it '82? And he crushed him and he killed like 20,000 people in this horrific thing to crush the
[05:05:51.640 --> 05:05:57.720]   Muslim Brotherhood. Margulies was there, knew all about it, told me that story. And I says to him, I says, well,
[05:05:57.720 --> 05:06:03.960]   if the neocons get their way and they overthrow Bashar al-Assad, then what organized force is there
[05:06:03.960 --> 05:06:08.200]   in the country after the Ba'athists that could possibly take over, other than maybe the Muslim
[05:06:08.200 --> 05:06:13.880]   Brotherhood, if you're lucky? And Margulies says, yeah, exactly, or it could be the Bin Ladenites
[05:06:13.880 --> 05:06:19.160]   could take over. Now back to David Wormser, in a clean break and coping with crumbling states.
[05:06:19.160 --> 05:06:31.560]   Wormser says, we have to expedite the chaotic collapse to Syria. Expedite the chaotic collapse to Syria so
[05:06:31.560 --> 05:06:37.240]   that we will control the outcome, which will be more to our liking. And he says, and he's acknowledging
[05:06:37.240 --> 05:06:43.000]   Bin Ladenite terrorism is what he's referring to here, with the recent history at the time he's writing this in '96.
[05:06:44.040 --> 05:06:50.040]   And he's saying, now, there's a lot of talk about the dangers of fundamentalism. Meaning,
[05:06:50.040 --> 05:06:56.520]   okay, we're going to get rid of these secular Ba'athist regimes. There are fundamentalist terrorist
[05:06:56.520 --> 05:07:03.800]   wackos running around right now. He acknowledges that. And he says, but America will just have to find
[05:07:03.800 --> 05:07:11.880]   better allies against fundamentalism than the Ba'athists. So, now maybe some idiot could write that
[05:07:11.880 --> 05:07:20.280]   as policy advice for the Likud in 1996, maybe before the Kobar Towers, but then they kill our airmen at
[05:07:20.280 --> 05:07:27.640]   Kobar Towers. And then they bomb the embassies. And then they bomb the coal. And then they hit us on
[05:07:27.640 --> 05:07:36.680]   September 11th. And then they lead as the vanguard of the Sunni insurgency that killed 4,000 of our guys
[05:07:36.680 --> 05:07:45.000]   in Iraq War II. And now you're telling me that we still better find better allies against the Bin
[05:07:45.000 --> 05:07:53.960]   Ladenites than the Ba'athists? That Bashar al-Assad is worse than Osama bin Laden? Yes, that's what
[05:07:53.960 --> 05:08:00.520]   they're telling you. Because Assad is friends with the Ayatollah. And Assad helps the Ayatollah arm Hezbollah.
[05:08:00.520 --> 05:08:07.800]   And Israel, as per the clean break. What's the clean break? It's a clean break from Oslo. Forget Rabin and
[05:08:07.800 --> 05:08:15.800]   Perez. We are going to steal all that's left of the West Bank and Gaza Strip sooner or later.
[05:08:15.800 --> 05:08:21.000]   But we don't want to have to worry about Hezbollah on our northern flank. We need to neutralize them
[05:08:21.000 --> 05:08:29.160]   somehow. So Syria, Wormser wrote, was the keystone in that arc of Iranian power, which was true. But of
[05:08:29.160 --> 05:08:35.960]   course, he was the one who added Saddam Hussein to that same arc. Now they're saying, "Oops, we have to
[05:08:35.960 --> 05:08:41.800]   fix this." And it was the neoconservatives, Elliott Abrams and Zalmay Khalilzad, who came to W. Bush
[05:08:41.800 --> 05:08:47.720]   and said, "Sir, we really screwed up here. We have to turn this thing around now." And Bush understood.
[05:08:47.720 --> 05:08:51.800]   Now it's funny, we read the article and it's all Condoleezza Rice and her people trying to explain
[05:08:51.800 --> 05:08:57.560]   that, "Oh, you know what? It's not really about Sunnis and Shiites, Lex. It's about moderates and
[05:08:57.560 --> 05:09:08.840]   extremists." And the Baathists are the extremists in this, you're saying, right? The multi-ethnic secular
[05:09:08.840 --> 05:09:14.520]   dictatorship in Syria, the last country in the Middle East where you can get a drink.
[05:09:14.520 --> 05:09:22.200]   Those are the extremists. And we got to support the Bin Ladenite insurgency against them. Now,
[05:09:22.840 --> 05:09:29.480]   this is the reason that Barack Obama supported Al-Qaeda in Syria. It's not because he was a secret
[05:09:29.480 --> 05:09:35.800]   Muslim terrorist with an allegiance to Bin Laden's goals. It's that he was a secret George W. Bush
[05:09:35.800 --> 05:09:42.680]   with allegiance to the American foreign policy establishment's goals, including the neoconservatives
[05:09:42.680 --> 05:09:49.000]   and the Israel lobby in this country, Likud interests in this country. And at that time, you know, in Iraq
[05:09:49.000 --> 05:09:57.240]   War II, for the average person, they'd have had to read Mearsheimer in '07 to know, or read Justin
[05:09:57.240 --> 05:10:05.240]   Raimondo@antiwar.com to even know what is a neocon? What's the difference between them and the rest of
[05:10:05.240 --> 05:10:11.880]   the Republicans? And what do they have against Iraq so bad? And what is that agenda about? And what does
[05:10:11.880 --> 05:10:17.240]   that have to do with the Likud party in Israel? You didn't think that. If you ask, you know, like Dave
[05:10:17.240 --> 05:10:21.960]   Chappelle and his skit, it's all like he tried to kill my daddy kind of stuff, right? Because people
[05:10:21.960 --> 05:10:26.760]   just don't know this deeper layer to it. Well, in Syria, it was just as obvious as it could be.
[05:10:26.760 --> 05:10:37.800]   The war party in America is the Israel lobby, right? It is all Zionists, led by the Likudniks and the
[05:10:37.800 --> 05:10:44.360]   neoconservatives. But on the so-called liberal side too, people like Jamie Rubin, who had worked
[05:10:44.360 --> 05:10:50.920]   for Bill Clinton, wrote a giant thing. First, it was a secret memo that he wrote to Hillary Clinton,
[05:10:50.920 --> 05:10:55.480]   and they later published it as an essay in Foreign Policy magazine. You can pull it up right now if you
[05:10:55.480 --> 05:11:02.840]   want. Jamie Rubin. I'm pretty sure it's 2011. If it's 12, I'm sorry, but I'm pretty sure it's 11
[05:11:02.840 --> 05:11:09.880]   in Foreign Policy magazine. And I don't know, type in Syria, Assad, and Israel. The reason we have to do
[05:11:09.880 --> 05:11:16.520]   this is for Israel, the real reason to intervene in Syria. There was a funny anecdote about this one too,
[05:11:16.520 --> 05:11:24.840]   Lex, because I just happened to be screwing around on Twitter that morning that Assange published the
[05:11:24.840 --> 05:11:32.680]   State Department cables. Maybe it was that morning or soon after that. And I'm virtually certain it was
[05:11:32.680 --> 05:11:38.280]   David Rothkopp, who was then the editor of Foreign Policy. And I can't remember who else, one of his right-hand
[05:11:38.280 --> 05:11:45.240]   men at foreignpolicy.com, the journal of, uh, it's a journal, the Foreign Policy Journal. I forgot if there's a
[05:11:45.880 --> 05:11:53.000]   specific think tank behind them. Anyway. And they freaked out, and they attacked Julian Assange,
[05:11:53.000 --> 05:11:59.960]   and they said, "Aha! We caught WikiLeaks posting a fake document!" Because this is not a State Department
[05:11:59.960 --> 05:12:07.000]   document. This is an article that we ran at Foreign Policy, and you, you obviously copied and pasted it,
[05:12:07.000 --> 05:12:13.320]   and are running it at WikiLeaks. And not only that, but you've changed it. And then Assange says, "No, you kooks.
[05:12:14.040 --> 05:12:20.120]   This is a memo that somebody wrote to Hillary Clinton. And apparently it was Jamie Rubin who
[05:12:20.120 --> 05:12:26.120]   wrote it. And then he submitted the same essay to you to run at Foreign Policy." That's what happened.
[05:12:26.120 --> 05:12:32.120]   And the article is about, "Madam Secretary, we gotta support Bin Ladenite headchoppers, suicide bombers,
[05:12:32.120 --> 05:12:38.840]   in the greatest act of treason that you could possibly imagine, because Israel matters more than the United
[05:12:38.840 --> 05:12:44.200]   States of America and the 3,000 killed on September 11th." That's why I'm paraphrasing roughly.
[05:12:44.200 --> 05:12:49.480]   The real reason to intervene in Syria, cutting Iran's link to the Mediterranean, sees a strategic
[05:12:49.480 --> 05:12:56.120]   price worth the risk. And why? Because Israel's foreign policy interests, not those of the United
[05:12:56.120 --> 05:13:01.480]   States of America. Now, what's the true history of that war? They called it an uprising. They called it a
[05:13:01.480 --> 05:13:05.640]   revolution. We're skipping Libya here, but they supported the Bin Ladenites in Libya. Then this
[05:13:05.640 --> 05:13:10.520]   was Hillary Clinton's bank shot to take the Libyan Islamic fighting group and Ansar al-Sharia, the same
[05:13:10.520 --> 05:13:17.400]   guys that did the Benghazi attack of September 11th, 2012, and send them on to Syria for the next jihad.
[05:13:17.400 --> 05:13:23.560]   Now, in Libya, Gaddafi wasn't a Shiite, and this wasn't about that, although the Israelis did hate him and
[05:13:23.560 --> 05:13:30.360]   want him gone. But in Syria, it was all about this redirection policy and continuing the redirection
[05:13:30.360 --> 05:13:35.400]   policy of trying to weaken Assad as essentially a consolation prize after America screwed up so bad
[05:13:35.400 --> 05:13:41.480]   by putting the Shiites in power in Baghdad. And so this is why we have to do this. And there was a
[05:13:41.480 --> 05:13:48.920]   whole chorus around that time. And if you remember the first major fake Seren attack of August, 2013,
[05:13:49.480 --> 05:13:55.480]   in Ghouta, which the war party tried to claim that Assad did it in order to launch a war there,
[05:13:55.480 --> 05:14:01.560]   and they were trying to get us to do it at that time. You know, first of all, Barack Obama is the
[05:14:01.560 --> 05:14:08.440]   commander in chief at this point. It's not the same as George W. Bush. And, you know, escalating the Afghan
[05:14:08.440 --> 05:14:13.800]   war that was already going on and we have to win it. And that's the consensus or whatever. That's kind of one
[05:14:13.800 --> 05:14:20.680]   thing. But Obama wants to start a new war in Syria now. The American right said, "I don't think so." And
[05:14:20.680 --> 05:14:27.800]   in fact, on this point, all hail Stephen Bannon, because it was Bannon and Breitbart that led the
[05:14:27.800 --> 05:14:32.120]   campaign that said at that time, Breitbart was an incredible, like much more important, I think,
[05:14:32.120 --> 05:14:36.200]   than it probably is now. But whatever, I don't, I don't know how to measure that. But at that time,
[05:14:36.200 --> 05:14:43.240]   they were extremely influential. And they led the charge, "We do not want to fight this war." And you
[05:14:43.240 --> 05:14:49.400]   might remember this, Lex. You had army soldiers and marines and navy sailors would be holding up pieces
[05:14:49.400 --> 05:14:55.800]   of paper in still shots and in short video clips that said, "I didn't join the marines to fight a
[05:14:55.800 --> 05:15:00.280]   civil war for al-Qaeda in Syria." Remember that? And those were going viral. It was a bunch of them.
[05:15:00.280 --> 05:15:01.320]   What was this, 13?
[05:15:01.320 --> 05:15:10.280]   This is August of 13. And at this point, Barack Obama reaches out to AIPAC and the Israel lobby
[05:15:10.280 --> 05:15:15.400]   and asks them to please do everything you can to push this. Now, I have to say, I don't know what
[05:15:15.400 --> 05:15:20.840]   was going on there, but I actually thought that he was being kind of sarcastic there. So at that point,
[05:15:20.840 --> 05:15:27.560]   there was nobody pushing for war with Syria except the Israel lobby. And Obama seemed to be saying,
[05:15:27.560 --> 05:15:32.440]   "Hey guys, if you want this, you need to really stick your neck out for it." But the thing is,
[05:15:32.440 --> 05:15:39.400]   they stuck their neck out. It's almost like a member in that Will Ferrell movie where he goes to college
[05:15:39.400 --> 05:15:43.960]   and he's running naked down the street and he thinks everybody's behind him, but he's just wasted.
[05:15:43.960 --> 05:15:44.520]   Old school.
[05:15:44.520 --> 05:15:44.520]   Old school.
[05:15:44.520 --> 05:15:45.000]   Yeah.
[05:15:45.000 --> 05:15:49.560]   Yeah. And it's like that. They're like, "Come on, everybody. We're going to Syria." Running drunk
[05:15:49.560 --> 05:15:53.640]   down the street. And then they look and nobody else is coming with them. It's just the Israel lobby.
[05:15:53.640 --> 05:15:56.280]   It's just as plain as day. Whose interest is this in?
[05:15:56.760 --> 05:16:01.000]   Nobody else cares. Nobody else wants to do this. Nobody else believes the lies that,
[05:16:01.000 --> 05:16:05.720]   "Oh, the day that the chemical weapons inspectors arrive, Assad gassed a bunch of people, huh? Give
[05:16:05.720 --> 05:16:10.520]   me a break, dude. This whole thing is so stupid." And then, so they couldn't do it. The Israel lobby
[05:16:10.520 --> 05:16:17.080]   basically failed. And then importantly, this is the one good thing I'll ever say in my life about James
[05:16:17.080 --> 05:16:22.600]   Clapper. And by the way, this was a secret. They didn't tell us this. We only found this out later from
[05:16:22.600 --> 05:16:30.280]   Jeffrey Goldberg in The Atlantic. Commissar Goldberg, the former prison guard and ruthless abuser of
[05:16:30.280 --> 05:16:38.840]   Palestinian captives. He wrote in The Atlantic that James Clapper told Barack Obama it's not a slam dunk
[05:16:39.880 --> 05:16:46.520]   that Bashar al-Assad was behind the gas attack. And Dempsey, who was then the Chairman, Admiral,
[05:16:46.520 --> 05:16:50.680]   was it General or Admiral? General Dempsey, who was then the Chairman of the Joint Chiefs of Staff,
[05:16:50.680 --> 05:16:56.120]   also gave a public statement who said, "I don't know why we have to do this right now." And so at that
[05:16:56.120 --> 05:17:00.600]   point, his own staff was telling him, "Mr. President," like, "Hey, if anybody asks me,
[05:17:00.600 --> 05:17:04.200]   I'm going to tell them that I told you that I can't even prove that this is true."
[05:17:04.200 --> 05:17:10.440]   Yeah. James Clapper was the Director of National Intelligence, D&I, from August 2010 to 2017,
[05:17:10.440 --> 05:17:15.240]   acting as the Principal Intelligence Advisor to President Barack Obama and overseeing all U.S.
[05:17:15.240 --> 05:17:15.800]   intelligence agencies.
[05:17:15.800 --> 05:17:24.200]   He also is the guy who planned Operation Storm where they cleansed the Kragina and Eastern Slavonia
[05:17:24.200 --> 05:17:31.640]   in 1995 of Croatian Serbs. He's also the guy who lied that Saddam Hussein had weapons of mass
[05:17:31.640 --> 05:17:36.760]   destruction and he could prove it from the satellite pictures. He's also the guy that lied that Vladimir
[05:17:36.760 --> 05:17:43.320]   Putin helped Saddam Hussein move those chemical weapons to Syria is why we can't find them. He's also
[05:17:43.320 --> 05:17:49.720]   the guy that lied that the NSA is not all up in your phone, seizing all of your data, which is what
[05:17:49.720 --> 05:17:55.880]   motivated the hero Edward Snowden to leak and tell the truth. And he's also the guy that lied that Donald
[05:17:55.880 --> 05:18:03.000]   Trump was a blackmailed suborn agent of Vladimir Putin who helped to usurp Hillary Clinton's rightful
[05:18:03.000 --> 05:18:08.840]   throne in a coup d'etat and take over this country. And of course, he's a paid analyst at CNN. And if
[05:18:08.840 --> 05:18:13.240]   Donald Trump doesn't give him life in prison, I'm going to really regret it a lot. He deserves
[05:18:13.240 --> 05:18:18.360]   to suffer horribly. But you did say a positive thing about I did say a positive thing about him,
[05:18:18.360 --> 05:18:23.000]   which was he told Barack Obama, I'm not going to vouch for this chemical weapons lie here, buddy.
[05:18:23.000 --> 05:18:26.520]   No slam dunk. And that was a reference to George Tenet telling George Bush,
[05:18:26.520 --> 05:18:31.080]   it's a slam dunk, sir. Ain't no one else want to know what's funny about that is that George Tenet said,
[05:18:31.080 --> 05:18:36.680]   oh, that's not fair. They're throwing me under the bus. I didn't say that Iraq's possession of chemical
[05:18:36.680 --> 05:18:46.360]   weapons was a slam dunk. What I said was, you can convince the American people with this story.
[05:18:46.360 --> 05:18:52.760]   That's the slam dunk. In other words, I wasn't lying. I was saying, Mr. President,
[05:18:52.760 --> 05:18:58.920]   you'll be able to get away with this lie. That's George Tenet's defense of that statement. Anyway,
[05:18:58.920 --> 05:19:03.560]   so Clapper was saying, well, this ain't a slam dunk. I won't stand by it. By the way,
[05:19:03.560 --> 05:19:08.680]   as long as we're talking about Jeffrey Goldberg in the Atlantic, it may be the same article.
[05:19:08.680 --> 05:19:15.400]   If you type in James Clapper and slam dunk in Syria there, let me see if I got this right.
[05:19:15.400 --> 05:19:23.000]   The Obama doctrine. That's the article. Okay. Not a slam dunk. Okay. I'm glad we clarified this.
[05:19:23.000 --> 05:19:30.440]   It's a different article. The article is called As President, I Don't Bluff. It's another interview
[05:19:30.440 --> 05:19:39.480]   of Obama by Jeffrey Goldberg. And in this article is where Jeffrey Goldberg, well, I'll tell you what,
[05:19:39.480 --> 05:19:42.360]   no, no, no, get the, this is just the Politico. Do the Atlantic. Yeah.
[05:19:42.360 --> 05:19:49.160]   Obama to Iran and Israel as president of the United States. I don't bluff by Jeffrey Goldberg,
[05:19:49.160 --> 05:19:56.360]   March 2nd, 2012. Okay. Just so people understand the headline there is he is telling Jeffrey Goldberg
[05:19:56.360 --> 05:20:02.600]   to please tell the Israelis that they can trust me, that you trust me, that I promise that I really,
[05:20:02.600 --> 05:20:07.080]   really, really, really, really, really, really mean it. That if the Ayatollah breaks out for a nuclear
[05:20:07.080 --> 05:20:13.880]   bomb, I will go to war. I will not let him get one. Jeffrey, please tell them I'm not lying about this.
[05:20:13.880 --> 05:20:18.520]   Okay. That's what, where that comes from. That's what he's doing there. But now, will they show you the
[05:20:18.520 --> 05:20:23.400]   whole thing or you're paywalled here? Maybe if you put it in archive.is, can you copy and paste
[05:20:23.400 --> 05:20:31.080]   that and put it in archive.is? Oh, you got to just sign in. So now, see if you can control F
[05:20:31.080 --> 05:20:39.240]   for classified or clearance. Can we talk about Syria as a strategic issue? Talk about it as a
[05:20:39.240 --> 05:20:44.040]   humanitarian issue as well. But it would seem to me that one way to weaken and further isolate Iran
[05:20:44.040 --> 05:20:52.840]   is to remove or help remove Iran's only Arab ally, Obama. Absolutely. Okay. This is why we want to
[05:20:52.840 --> 05:21:00.920]   weaken Syria is a easier way to weaken Iran. And as they continue to talk about here, he's saying that
[05:21:00.920 --> 05:21:08.360]   we are intervening there. And this is a way to weaken Iran in this way. And then Goldberg says,
[05:21:09.800 --> 05:21:15.480]   is there anything you could do to move it faster? And Obama on a less funny version of the joke about,
[05:21:15.480 --> 05:21:20.520]   I could tell you, but I'd have to kill you. He says, well, nothing that I can tell you because
[05:21:20.520 --> 05:21:25.560]   your classified clearance isn't good enough. In other words, and check my date on this again,
[05:21:25.560 --> 05:21:31.480]   was it 12 or 11? I forget. No, no, this would have been 12. This is 12. Yeah. March 12. Um,
[05:21:32.440 --> 05:21:38.440]   and so he's saying it's already on Jeffrey. We're doing it, buddy. What's he doing? He's working
[05:21:38.440 --> 05:21:45.880]   with Britain and France, Turkey, Israel, Saudi, and Qatar to back Osama bin Laden's suicide bomber
[05:21:45.880 --> 05:21:53.640]   brigades. In fact, worse, Abu Musab al-Zarqawi's suicide bomber brigades. Remember, we talked about how
[05:21:53.640 --> 05:22:00.120]   the local Iraqi Sunnis had turned on Al Qaeda. It wasn't America and the Shiites that defeated Al Qaeda in Iraq.
[05:22:00.120 --> 05:22:04.600]   It was the local Iraqi Sunnis that did so. And they're the ones even who turned in
[05:22:04.600 --> 05:22:09.880]   Zarqawi to the Americans to kill. I know the interrogator. I interviewed the interrogator
[05:22:09.880 --> 05:22:17.080]   who without torture, but by being a nice guy, got the information. Tell us where Zarqawi is. We'll get
[05:22:17.080 --> 05:22:21.800]   him. And the guy told him and they got him. This is in the summer of 2006. They killed him. And at that
[05:22:21.800 --> 05:22:27.800]   time, Al Qaeda in Iraq then renamed itself the Islamic State of Iraq. And we all got a good chuckle out
[05:22:27.800 --> 05:22:33.400]   of it because you guys don't control a single county anywhere in Iraq. There is no state.
[05:22:33.400 --> 05:22:38.920]   But at the same time, we said, aha, though, look at what they're talking about. Bin Laden's policy
[05:22:38.920 --> 05:22:46.120]   always was just keep fighting. There's no point in creating a caliphate as long as the American empire
[05:22:46.120 --> 05:22:53.800]   is here to erase it again. So we fight the far enemy. We fight a long-term strategy to bog the empire down,
[05:22:53.800 --> 05:23:00.520]   bleed them to bankruptcy, force them all the way out. Only then can we have our perfect Islamic state we
[05:23:00.520 --> 05:23:07.240]   want to create. Zarqawi says, no, I want that now. This was his doctrine. And they called their group,
[05:23:07.240 --> 05:23:12.680]   Islamic State of Iraq, just about, I forget, it was just before he died. I believe it was just after he
[05:23:12.680 --> 05:23:18.280]   died they started calling themselves that. But very clearly, you know, betraying their intentions, if they
[05:23:18.280 --> 05:23:24.120]   were to have the ability to take over anything, that's their goal. And they have these, that level
[05:23:24.120 --> 05:23:30.360]   of ambition. Now, it's very important to note that in Iraq War II, when I say America fought that war as
[05:23:30.360 --> 05:23:38.360]   a civil war for the Shiite side against the Sunnis, they didn't want the whole country. They only wanted
[05:23:38.360 --> 05:23:44.200]   Shia-stan. They only wanted the land basically from Baghdad over to Iran and down to Kuwait,
[05:23:44.200 --> 05:23:51.960]   down to Najaf, right, down to the Saudi border. They didn't so much worry about the Sunni Iraqis
[05:23:51.960 --> 05:23:58.840]   of Fallujah and Tikrit and Mosul. Let them burn in the sun, man, screw them. Oh, I should have said,
[05:23:59.880 --> 05:24:04.760]   this was a big part of why the Sunnis fought so hard in the first place. It was because, remember,
[05:24:04.760 --> 05:24:09.800]   they're losing control of the national government. Well, all the oil is down in the south near Basra,
[05:24:09.800 --> 05:24:14.200]   and it's up in the north near Kirkuk, where it's going to be controlled either by the Shiites or by
[05:24:14.200 --> 05:24:20.520]   the Kurds, now by the Shiites. And so what does that mean for the Sunnis? They have some oil, but it's
[05:24:20.520 --> 05:24:27.000]   virtually all undeveloped oil and much less of it in the predominantly Sunni areas of the country. So when they
[05:24:27.000 --> 05:24:32.760]   lose control of the national government, they lose control over all the spoils, right? And so they get
[05:24:32.760 --> 05:24:40.440]   nothing. And so the Shiites idea is, by the Shiites, I mean the Supreme Islamic Council of Abdul Aziz al-Hakim,
[05:24:40.440 --> 05:24:47.160]   the Dawa party of Nuri al-Maliki and their murderous forces. Their idea, they're just as chauvinistic as
[05:24:47.160 --> 05:24:53.080]   the bin Ladenites. Screw you guys, man. You can just burn in the sun. We'll do nothing for you. We got nothing
[05:24:53.080 --> 05:24:59.960]   for you. But what did that mean in practice? And again, the heroic Patrick Coburn. It meant that all
[05:24:59.960 --> 05:25:08.200]   Western Iraq was wide open. No man's land. No consolidated political authority anywhere.
[05:25:08.200 --> 05:25:14.840]   Ongoing low-level Sunni insurgency led by bin Ladenites. Even when the Americans leave by the end
[05:25:14.840 --> 05:25:21.560]   of 2011, they still leave a few CIA guys and drones there. And as we joked on the show in real time,
[05:25:21.560 --> 05:25:26.840]   Lex, me and Jason Ditz from antiwar.com would joke that we're still doing drone strikes in Iraq after the
[05:25:26.840 --> 05:25:32.360]   withdrawal, but we still got spies there. We're still doing drone strikes. Why? Not that we're killing the bin Ladenites.
[05:25:32.360 --> 05:25:36.760]   We're aiming at their heels because we're trying to chase them west into Syria where they're heroes.
[05:25:37.720 --> 05:25:43.400]   In Syria, they're the moderate rebels. In Syria, they're just trying to fight for freedom against
[05:25:43.400 --> 05:25:50.280]   the forces of evil Baathist tyranny. These are Bin Laden's guys. These are Zarqawi's guys. It's Bin Laden's
[05:25:50.280 --> 05:26:00.280]   agent. His main agent in Iraq was a guy named Abu Muhammad al-Jolani. And then later, you know,
[05:26:00.280 --> 05:26:07.960]   his boss was this guy, Abu Bakr al-Baghdadi, who was apparently the second leader after Zarqawi.
[05:26:07.960 --> 05:26:13.240]   Some say that the first leader after Zarqawi was actually made up, that there was no leader,
[05:26:13.240 --> 05:26:19.000]   and they just sort of put this persona out there. Well, Abu Bakr al-Baghdadi sure existed. These guys
[05:26:19.000 --> 05:26:25.000]   had all been locked up in Kambuka together and had, you know, kind of reorganized Al-Qaeda in Iraq.
[05:26:25.000 --> 05:26:30.680]   And when America left, they sprung them all loose. They're ready to go. So Baghdadi tells Jolani,
[05:26:30.680 --> 05:26:37.080]   "Go to Syria." Jolani, you know as al-Shara, the self-appointed president of Syria right now.
[05:26:37.080 --> 05:26:42.920]   That's Abu Muhammad al-Jolani. Lex, he joined the jihad because he was inspired by September 11th.
[05:26:42.920 --> 05:26:51.160]   He told Frontline that you damn right he fought and killed Americans in Mosul and Ramadi in Iraq War
[05:26:51.160 --> 05:27:01.000]   too. Then he went to Syria to help lead the so-called uprising, revolution, civil war in Syria? No.
[05:27:01.000 --> 05:27:09.240]   Again, we have from 2011 that Prince Bandar bin Sultan was emptying Saudi jails and sending all
[05:27:09.240 --> 05:27:14.760]   the jihadists off to Syria to fight. And they were on the record. I have the quotes where they say,
[05:27:15.960 --> 05:27:22.280]   it's, it's, is it Bandar? Bandar says, we're sick and tired of the Shiites and they're going to find
[05:27:22.280 --> 05:27:30.680]   out whatever. I forgot the exact, it's in there. And then the other quote was from a guy named Prince
[05:27:30.680 --> 05:27:40.680]   Turkey who said, Dash, that is ISIS, that is Al-Qaeda in Iraq. Dash is our answer to your support for the
[05:27:40.680 --> 05:27:51.880]   Dawah. Get it? Why does, why does Saudi Arabia in conspiracy with Barack Obama and Benjamin Netanyahu,
[05:27:51.880 --> 05:27:58.760]   Recep Erdogan and all these guys, why are they backing the bin Ladenites in Syria? Because we put
[05:27:58.760 --> 05:28:06.680]   the Dawah party in power in Baghdad. This is their answer to that. Where, so this is again, the redirection.
[05:28:06.680 --> 05:28:11.080]   We empowered the Shiites so much. Now we got to move to limit them again, mostly because that's
[05:28:11.080 --> 05:28:19.080]   what our allies want so badly, especially the Israelis and the Saudis. And so from 2011, we knew
[05:28:19.080 --> 05:28:25.880]   this is not a revolution. This is not an uprising. I don't care if there's footage of protesters on TV,
[05:28:25.880 --> 05:28:32.760]   or even if Bashar al-Assad's forces are shooting them, which they were. I would note, although it's
[05:28:32.760 --> 05:28:37.240]   proven by Shermeen al-Narwani and the great journalist William Van Wagenen, whose book on
[05:28:37.240 --> 05:28:43.160]   Syria I'm going to publish any day now at the Libertarian Institute, who's written these massive
[05:28:43.160 --> 05:28:50.280]   long-form studies on the origins of the Syria war for the Libertarian Institute and shows how,
