
[00:00:00.000 --> 00:00:01.720]   Stocks versus real estate.
[00:37:02.200 --> 00:37:03.640]   Let's talk liquidity.
[00:37:03.640 --> 00:37:06.000]   I think that's an important thing for a lot of people listening.
[00:37:06.000 --> 00:37:07.360]   Life is unexpected.
[00:37:07.360 --> 00:37:09.360]   Sometimes people need access to capital.
[00:37:09.360 --> 00:37:13.880]   How do these two types of investing give investors access to their capital?
[00:37:13.880 --> 00:37:15.720]   I think it's my turn to throw you guys a bone.
[00:37:15.720 --> 00:37:16.800]   I haven't thrown one yet.
[00:37:16.800 --> 00:37:20.800]   So this is really one of the better advantages for the stock market.
[00:37:20.800 --> 00:37:23.880]   Real estate is relatively illiquid asset class.
[00:37:23.880 --> 00:37:26.840]   There are ways to get some liquidity,
[00:37:26.840 --> 00:37:32.280]   you know, through cash out refinances or there's sometimes options
[00:37:32.280 --> 00:37:33.720]   for lines of credit.
[00:37:33.720 --> 00:37:38.160]   But I think for real estate investors, the key is really to use your capital
[00:37:38.160 --> 00:37:41.920]   elsewhere in your portfolio to maintain some liquidity.
[00:37:41.920 --> 00:37:45.240]   So that's whether that's keeping personal emergency funds
[00:37:45.240 --> 00:37:50.200]   in terms of cash or cash reserves for every property or on a portfolio level.
[00:37:50.200 --> 00:37:55.440]   It's important that you have some liquidity outside of the actual capital
[00:37:55.440 --> 00:37:59.600]   that you're putting into an asset, because right now it's relatively easy
[00:37:59.600 --> 00:38:02.360]   to sell real estate, but there are times when it could take months
[00:38:02.360 --> 00:38:04.200]   or even years to sell assets.
[00:38:04.200 --> 00:38:07.840]   So it's really important to make sure that you have easily
[00:38:07.840 --> 00:38:11.160]   accessible capital elsewhere in your financial life
[00:38:11.160 --> 00:38:13.120]   if you're going to be investing in real estate.
[00:38:13.120 --> 00:38:16.640]   Yeah, I mean, I think, you know, when you look at real estate
[00:38:16.640 --> 00:38:20.680]   versus something like stocks, I mean, obviously stocks are more liquid.
[00:38:20.680 --> 00:38:23.600]   Like if I need to sell a stock today, I can do that.
[00:38:23.600 --> 00:38:27.960]   If I need to sell real estate, that may require a little bit more time.
[00:38:28.280 --> 00:38:31.440]   And, you know, we mentioned earlier in the show
[00:38:31.440 --> 00:38:34.680]   here sort of that concept of being a desperate seller.
[00:38:34.680 --> 00:38:36.720]   You never want to be a desperate seller.
[00:38:36.720 --> 00:38:40.760]   And so, you know, trying to realize those returns from real estate
[00:38:40.760 --> 00:38:43.320]   doesn't always work out on our timeline.
[00:38:43.320 --> 00:38:46.840]   Now, the flip side of that is, you know, as a real estate owner,
[00:38:46.840 --> 00:38:49.960]   and I think is it, you know, I'm a homeowner.
[00:38:49.960 --> 00:38:51.840]   I think some of us are, at least if not all.
[00:38:51.840 --> 00:38:55.960]   But but you build that equity and you're able to borrow against that.
[00:38:55.960 --> 00:38:57.800]   And that really does make a big difference,
[00:38:57.800 --> 00:38:59.960]   particularly in a lower interest rate environment,
[00:38:59.960 --> 00:39:03.680]   which we used to be more familiar with than we are today.
[00:39:03.680 --> 00:39:06.600]   But hey, listen, we don't have any control over that. Right.
[00:39:06.600 --> 00:39:11.160]   But it's really nice to be able to borrow against that equity
[00:39:11.160 --> 00:39:14.960]   to do other things right that enables all sorts of things,
[00:39:14.960 --> 00:39:20.480]   whether it's funding college education or, you know, upgrading to a new house.
[00:39:20.480 --> 00:39:25.360]   I mean, there are a lot of things that owning a home can really facilitate
[00:39:25.360 --> 00:39:27.880]   in regard to equities, in regard to stocks.
[00:39:27.880 --> 00:39:30.400]   Sure. I mean, they're much more liquid.
[00:39:30.400 --> 00:39:33.920]   You can buy and sell them at the drop of a hat, and that's great.
[00:39:33.920 --> 00:39:38.080]   But that doesn't necessarily always work out so well
[00:39:38.080 --> 00:39:41.840]   because you're still subject to vagaries of the stock market.
[00:39:41.840 --> 00:39:45.240]   OK, we got one big topic that came up briefly,
[00:39:45.240 --> 00:39:47.200]   but we didn't really drill into it.
[00:39:47.200 --> 00:39:48.720]   Let's talk about taxes.
[00:39:48.720 --> 00:39:52.920]   Let's talk about the tax advantages each of you get from your style of investing.
[00:39:53.360 --> 00:39:55.280]   We're going to start with real estate.
[00:39:55.280 --> 00:39:58.760]   Yeah. So, you know, the real estate is a business.
[00:39:58.760 --> 00:40:02.680]   So all the like on a rental property, all the expenses like interest,
[00:40:02.680 --> 00:40:06.920]   a property management, if you hire that out, maintenance,
[00:40:06.920 --> 00:40:09.200]   those types of things can all be expensed.
[00:40:09.200 --> 00:40:14.040]   The land, the not the land, the structure and any improvements made to it
[00:40:14.040 --> 00:40:16.520]   can be capitalized and then depreciated.
[00:40:16.520 --> 00:40:20.240]   And that depreciation can offset cash flow on the P&L,
[00:40:20.240 --> 00:40:23.240]   which means that if you get a five, six, seven percent yield on your cash flow,
[00:40:23.240 --> 00:40:28.000]   you often are actually having a tax loss show up on your income tax returns.
[00:40:28.000 --> 00:40:30.960]   So you're not paying any income tax on that cash flow for a long period of time.
[00:40:30.960 --> 00:40:33.200]   And then when you go to sell the property,
[00:40:33.200 --> 00:40:36.000]   you have to recapture that depreciation, which is a trap that investors
[00:40:36.000 --> 00:40:38.840]   who think that they'll never have to do that sometimes run into.
[00:40:38.840 --> 00:40:42.880]   But there are options to continuously defer those taxes
[00:40:42.880 --> 00:40:45.120]   through what's called a 1031 exchange,
[00:40:45.120 --> 00:40:47.680]   where you can kind of continue to buy bigger and bigger properties
[00:40:47.680 --> 00:40:49.560]   using the equity in your portfolios.
[00:40:49.560 --> 00:40:52.840]   And some real estate investors like to play that game indefinitely,
[00:40:52.840 --> 00:40:55.840]   never pay taxes by deferring them indefinitely, die,
[00:40:55.840 --> 00:41:00.400]   pass on their properties to their heirs at a stepped up basis and go from there.
[00:41:00.400 --> 00:41:02.800]   This is wonderful in theory and practice.
[00:41:02.800 --> 00:41:05.440]   Investors sometimes run into challenges with that for that reason.
[00:41:05.440 --> 00:41:08.840]   However, real estate's not really a good option, in my opinion,
[00:41:08.840 --> 00:41:11.120]   for people to invest in like their 401k.
[00:41:11.120 --> 00:41:13.920]   So real estate, if you want to get into it
[00:41:13.920 --> 00:41:15.840]   and you're not trying to move out of your house
[00:41:15.840 --> 00:41:17.960]   and move into a new rental property with a really low down payment,
[00:41:17.960 --> 00:41:21.840]   you got to accumulate liquidity outside of that 401k and outside of your home,
[00:41:22.040 --> 00:41:24.600]   probably to the tune of $50,000 to $100,000
[00:41:24.600 --> 00:41:27.680]   in most markets to begin to put in the down payments.
[00:41:27.680 --> 00:41:29.040]   That's a challenge there.
[00:41:29.040 --> 00:41:31.000]   I'll speak for the stock side.
[00:41:31.000 --> 00:41:32.640]   We're not going to win this argument when it comes to taxes.
[00:41:32.640 --> 00:41:35.320]   I agree. I think real estate has a lot of tax advantages.
[00:41:35.320 --> 00:41:38.400]   I think when you look at the stock market, what we get,
[00:41:38.400 --> 00:41:39.880]   well, our advantages are in deferral.
[00:41:39.880 --> 00:41:43.640]   In other words, whether it's through retirement accounts, Roth IRA, 401k.
[00:41:43.640 --> 00:41:47.400]   I know there's certain vehicles, real estate, you can put into a self-managed IRA.
[00:41:47.400 --> 00:41:48.920]   Those processes are hard, though.
[00:41:48.920 --> 00:41:50.600]   But with stocks, it's easy.
[00:41:50.600 --> 00:41:54.040]   So you can defer taxes by never selling or rarely selling
[00:41:54.040 --> 00:41:56.880]   or by putting in the retirement accounts, which are advantages.
[00:41:56.880 --> 00:42:00.600]   But I would say you're not going to get sort of the very juice
[00:42:00.600 --> 00:42:05.160]   leveraged tax advantages you get with real estate in the stock market.
[00:42:05.160 --> 00:42:07.480]   And plus, in the stock market, even though dividends are great,
[00:42:07.480 --> 00:42:12.320]   they're double taxed and we're paying 15% rates or higher on those as well.
[00:42:12.320 --> 00:42:16.760]   So that's a disadvantage for us, except for those investors who, again,
[00:42:16.760 --> 00:42:22.440]   take a long term view of it and buy a company and don't sell it or have to sell it.
[00:42:22.440 --> 00:42:24.800]   You can defer those taxes for a very long time in stocks.
[00:42:24.800 --> 00:42:27.520]   I think we're at the point that I want you guys to stop throwing bones
[00:42:27.520 --> 00:42:30.280]   to each other's side, stop arguing for the other person.
[00:42:30.280 --> 00:42:33.320]   I'm going to have you guys do your closing arguments,
[00:42:33.320 --> 00:42:37.560]   like pretend you're on the courtroom floor, really trying to convince the listeners.
[00:42:37.560 --> 00:42:42.320]   I'm going to let real estate go first this time.
[00:42:42.320 --> 00:42:44.360]   And Dave, you want to take that?
[00:42:44.360 --> 00:42:48.240]   Yeah, my closing argument is that if you want to maximize your wealth,
[00:42:48.240 --> 00:42:54.080]   especially early in your career, real estate investing is by far the best way to do it.
[00:42:54.080 --> 00:42:58.560]   If you have the energy to put five or 10 hours a week to get started in,
[00:42:58.560 --> 00:43:00.520]   you can literally generate returns
[00:43:00.520 --> 00:43:03.520]   that are double that of the average of the stock market.
[00:43:03.520 --> 00:43:05.000]   And yes, it does take work.
[00:43:05.000 --> 00:43:09.840]   But if you have a good entrepreneurial spirit, the total return method
[00:43:09.840 --> 00:43:14.800]   of real estate investing, which includes cash flow, appreciation, amortization,
[00:43:14.800 --> 00:43:19.640]   value add and tax benefits is really unmatched in any other asset class.
[00:43:19.640 --> 00:43:22.640]   All right, Matt, you want to take it from the from the stock side?
[00:43:22.640 --> 00:43:28.720]   Sure. I will say, listen, if you want to invest easily via an app
[00:43:28.720 --> 00:43:32.040]   on your phone, as I talked about earlier, and you don't want to get the 2 a.m.
[00:43:32.040 --> 00:43:35.280]   phone call from a tenant whose toilet broke and you got to go there and fix it.
[00:43:35.280 --> 00:43:37.480]   Check out stocks.
[00:43:37.480 --> 00:43:42.680]   Like I said, the unlevered return is probably the best in the world that you can get.
[00:43:42.680 --> 00:43:44.680]   And it's simple.
[00:43:44.680 --> 00:43:46.080]   It's highly liquid.
[00:43:46.080 --> 00:43:48.320]   You can buy something today and sell it five minutes later
[00:43:48.320 --> 00:43:49.720]   and get your cash out if you want to.
[00:43:49.720 --> 00:43:51.120]   Not that that's recommended.
[00:43:51.120 --> 00:43:54.280]   So I just think if you're starting out, you have a little bit of money.
[00:43:54.280 --> 00:43:56.080]   You don't have enough for a down payment or big capital
[00:43:56.080 --> 00:43:58.080]   to become a big invest real estate investor.
[00:43:58.080 --> 00:43:59.680]   And you don't have a lot of time.
[00:43:59.680 --> 00:44:01.360]   Stock market investing is probably the way to go.
[00:44:01.360 --> 00:44:03.560]   I'll let the listeners decide who won this debate.
[00:44:03.560 --> 00:44:05.840]   I'm not going to make any make any judgments here.
[00:44:05.840 --> 00:44:10.320]   But I heard the entire time, I think every single one of you at one point
[00:44:10.320 --> 00:44:14.200]   mentioned that you've dabbled in the other one's sport of investing.
[00:44:14.200 --> 00:44:18.400]   So how do you guys think broadly about real estate and stocks
[00:44:18.400 --> 00:44:20.880]   fitting into your overall investment portfolio?
[00:44:20.880 --> 00:44:25.400]   I didn't hear anyone advocating for a portfolio exclusively of one or the other.
[00:44:25.400 --> 00:44:27.120]   Yeah, I'll jump in there right now.
[00:44:27.120 --> 00:44:30.200]   Just say, listen, I own a lot of both. Right.
[00:44:30.200 --> 00:44:33.760]   I mean, we have we we're homeowners here in northern Virginia.
[00:44:34.760 --> 00:44:36.640]   We have equity in our house.
[00:44:36.640 --> 00:44:38.720]   We've utilized that equity in our house.
[00:44:38.720 --> 00:44:42.960]   We're big investors in stocks and ETFs.
[00:44:42.960 --> 00:44:46.120]   So we're big participants in the equity markets.
[00:44:46.120 --> 00:44:50.680]   I mean, to me, this really all boils down to sort of diversification.
[00:44:50.680 --> 00:44:52.840]   I don't think it's one or the other.
[00:44:52.840 --> 00:44:56.640]   I think that's the beauty of this system is you can participate in both.
[00:44:56.640 --> 00:44:59.440]   It's just a matter of how you do it. Right.
[00:44:59.440 --> 00:45:03.040]   And if you want to be more active on the real estate side
[00:45:03.440 --> 00:45:08.480]   and act as a property owner and a landlord, then that's great.
[00:45:08.480 --> 00:45:09.680]   Do that. Try that.
[00:45:09.680 --> 00:45:10.640]   I mean, I've tried that.
[00:45:10.640 --> 00:45:13.360]   And it's there. There are a lot of things you learn from it.
[00:45:13.360 --> 00:45:14.880]   It can be very rewarding.
[00:45:14.880 --> 00:45:19.520]   But but regardless, whether you're a landlord or just a homeowner,
[00:45:19.520 --> 00:45:22.680]   building up that equity can be tremendously valuable.
[00:45:22.680 --> 00:45:27.440]   By the same token, you can still invest in equities at the same time. Right.
[00:45:27.440 --> 00:45:30.080]   You can you can continue to build that retirement portfolio
[00:45:30.240 --> 00:45:34.720]   and just sort of ignore all of that short term, short term noise
[00:45:34.720 --> 00:45:37.840]   that that we always criticize. Right.
[00:45:37.840 --> 00:45:41.640]   And just sort of let the equity sort of do their thing.
[00:45:41.640 --> 00:45:43.280]   Let those companies continue to grow.
[00:45:43.280 --> 00:45:46.160]   So to me, it's not a one or the other thing.
[00:45:46.160 --> 00:45:49.640]   It's really the beauty of the system is you can participate in both.
[00:45:49.640 --> 00:45:52.080]   And they can be very they can be very powerful
[00:45:52.080 --> 00:45:56.560]   to ultimately getting to where you want to go in regard to your financial freedom.
[00:45:56.560 --> 00:45:59.280]   Yeah. One of the things I always think about is I call it the
[00:45:59.680 --> 00:46:03.920]   the middle class trap, right, where what I don't want to do with my portfolio
[00:46:03.920 --> 00:46:06.960]   is I don't want to have all of my wealth in my home equity
[00:46:06.960 --> 00:46:11.680]   and then my 401k balance and not have any liquidity outside of that.
[00:46:11.680 --> 00:46:13.080]   No cash flow, no optionality.
[00:46:13.080 --> 00:46:16.000]   So every couple of years, I take out a piece of paper
[00:46:16.000 --> 00:46:19.360]   and just literally a piece of paper and I draw a circle and I think, say,
[00:46:19.360 --> 00:46:22.440]   this is how much wealth I'm going to have in three, five, seven, ten years.
[00:46:22.440 --> 00:46:23.600]   You pick a number. Right.
[00:46:23.600 --> 00:46:27.120]   And I say, OK, what do I want my portfolio to look like at that point in time?
[00:46:27.120 --> 00:46:29.400]   I just slice it out into different pie chunks.
[00:46:29.400 --> 00:46:32.440]   Right. Probably financial advisors are crying about how simple
[00:46:32.440 --> 00:46:34.560]   and stupid this exercise is, but it works for me.
[00:46:34.560 --> 00:46:37.920]   And I say, OK, what do I want it to look like at that point in time?
[00:46:37.920 --> 00:46:41.640]   And if I'm not on that track, I start changing my behavior,
[00:46:41.640 --> 00:46:43.840]   even if that means I'm doing slightly inefficient things
[00:46:43.840 --> 00:46:48.120]   like not maxing out my 401k to save more for real estate, for example.
[00:46:48.120 --> 00:46:51.240]   So for me, I want a third, a third, a third, a third in real estate,
[00:46:51.240 --> 00:46:53.440]   a third in stocks and a third in private business.
[00:46:53.440 --> 00:46:56.080]   That's what I'm looking for for my long term portfolio.
[00:46:56.080 --> 00:47:00.280]   And I keep looking at it and every once in a while say, am I on the right track?
[00:47:00.280 --> 00:47:00.960]   I need to course correct
[00:47:00.960 --> 00:47:03.720]   a little bit with where I'm allocating the cash coming into my life
[00:47:03.720 --> 00:47:05.320]   in order to make that true.
[00:47:05.320 --> 00:47:09.400]   And so I think it's that simple for me as an exercise and that hard
[00:47:09.400 --> 00:47:12.800]   to make those big, challenging tradeoffs about where to direct your cash flow.
[00:47:12.800 --> 00:47:17.520]   I think in getting me and Scott to represent real estate here,
[00:47:17.520 --> 00:47:21.600]   Jason and Matt, you're getting the two most maybe stock friendly
[00:47:21.600 --> 00:47:24.280]   personalities in the BiggerPockets network.
[00:47:24.280 --> 00:47:28.520]   I have a lot of friends who are 100 percent in real estate investing.
[00:47:28.520 --> 00:47:34.480]   But I typically my my target allocation is like 60 40 real estate.
[00:47:34.480 --> 00:47:38.080]   And I would split my real estate in half for passive and active.
[00:47:38.080 --> 00:47:42.160]   So I try and do like 30 percent into actively owned rental properties,
[00:47:42.160 --> 00:47:46.440]   30 percent and more passive opportunities, 40 percent stocks.
[00:47:46.440 --> 00:47:48.600]   And as Scott said, it's never perfectly there.
[00:47:48.600 --> 00:47:50.280]   But that's sort of what I shoot for.
[00:47:50.280 --> 00:47:51.560]   Matt, any final thoughts?
[00:47:51.560 --> 00:47:52.880]   Yeah, I'll just say I'm glad we did this,
[00:47:52.880 --> 00:47:55.000]   because I think these are the two, in my view, the best
[00:47:55.000 --> 00:47:56.960]   the two best asset classes out there. Right.
[00:47:56.960 --> 00:48:00.480]   We're going to talk about bonds or gold or God, crypto.
[00:48:00.480 --> 00:48:03.560]   These are these the best.
[00:48:03.560 --> 00:48:07.840]   And I think, yeah, for me as well, I think everyone here has a good mix of both.
[00:48:07.840 --> 00:48:10.080]   I'm obviously more weighted stocks and real estate.
[00:48:10.080 --> 00:48:13.600]   But I see I see so many advantages to both.
[00:48:13.600 --> 00:48:15.600]   And I plan to invest in both for the rest of my life.
[00:48:15.600 --> 00:48:17.280]   All right. Well, I think we've we've convinced everyone,
[00:48:17.280 --> 00:48:19.880]   at least of what the two best asset classes are.
[00:48:19.880 --> 00:48:22.480]   If you want to go a lot deeper on the real estate side,
[00:48:22.720 --> 00:48:26.680]   check out the BiggerPockets real estate podcast and all the content you guys create.
[00:48:26.680 --> 00:48:30.960]   If you want to go deeper on the stock side, check out the Motley Fool podcast.
[00:48:30.960 --> 00:48:32.720]   Everything on your site.
[00:48:32.720 --> 00:48:36.520]   I've been a user of both of them, so I've consumed the content.
[00:48:36.520 --> 00:48:37.560]   I've read the blogs.
[00:48:37.560 --> 00:48:39.760]   I appreciate all you guys have done.
[00:48:39.760 --> 00:48:41.080]   Thank you for being here.
[00:48:41.080 --> 00:48:43.600]   If anyone wants to go deeper on other stuff I've moderated,
[00:48:43.600 --> 00:48:46.240]   I've lots of conversations over at all the hacks.
[00:48:46.240 --> 00:48:47.720]   So thank you for being here.

