
[00:00:00.000 --> 00:00:08.920]   (sound of clock ticking)
[00:27:51.980 --> 00:27:53.700]   So that could mean two to three decades
[00:27:53.700 --> 00:27:54.660]   of investing after retiring.
[00:27:54.660 --> 00:27:56.940]   Maybe four if you live long enough.
[00:27:56.940 --> 00:27:58.920]   So there is less human capital where you don't have
[00:27:58.920 --> 00:28:00.600]   as much income coming in, you're not saving,
[00:28:00.600 --> 00:28:02.580]   you don't have the ability to wait out bear markets
[00:28:02.580 --> 00:28:04.840]   as much as you did in the past as a young person,
[00:28:04.840 --> 00:28:07.840]   because your biggest asset should be financial assets
[00:28:07.840 --> 00:28:09.620]   at this point, right?
[00:28:09.620 --> 00:28:11.680]   So you're not like someone who's accumulating
[00:28:11.680 --> 00:28:13.440]   can take advantage of a bear market.
[00:28:13.440 --> 00:28:15.600]   So there's more balance involved at this stage.
[00:28:15.600 --> 00:28:18.600]   I just think you have to keep that balance
[00:28:18.600 --> 00:28:20.440]   of protecting your wealth on one side
[00:28:20.440 --> 00:28:22.000]   versus you need to keep up your standard of living
[00:28:22.000 --> 00:28:22.840]   on the other side, right?
[00:28:22.840 --> 00:28:24.700]   John, do a chart on of inflation here.
[00:28:24.700 --> 00:28:27.320]   This is just a simple thing that we've shown over time.
[00:28:27.320 --> 00:28:29.200]   How long it takes for different inflation rates
[00:28:29.200 --> 00:28:30.160]   to cut your money in half.
[00:28:30.160 --> 00:28:32.620]   So 3% inflation rate is about the long-term average.
[00:28:32.620 --> 00:28:34.640]   It takes 23 years to cut it in half.
[00:28:34.640 --> 00:28:35.480]   If you're a millionaire today,
[00:28:35.480 --> 00:28:38.840]   that million's worth $500,000 in 23 years.
[00:28:38.840 --> 00:28:42.720]   4%, it would be 17 years, 5%, 14 years, even 2%,
[00:28:42.720 --> 00:28:46.000]   it's 35 years if we're using the handy rule of 72.
[00:28:46.000 --> 00:28:48.880]   So unless you have more money than you know what to do with,
[00:28:48.880 --> 00:28:50.840]   the stock market is likely gonna have to play a role
[00:28:50.840 --> 00:28:52.280]   in your portfolio in some fashion,
[00:28:52.280 --> 00:28:53.920]   because it remains the best bet for beating inflation
[00:28:53.920 --> 00:28:55.400]   over the long-term.
[00:28:55.400 --> 00:28:56.220]   Well, the short-term, obviously,
[00:28:56.220 --> 00:28:58.960]   inflation can ding stocks like it has recently.
[00:28:58.960 --> 00:29:00.560]   So one of the ways I like to think about this
[00:29:00.560 --> 00:29:01.400]   is in terms of spending.
[00:29:01.400 --> 00:29:04.560]   So let's say you land on 4% of your portfolio each year
[00:29:04.560 --> 00:29:06.060]   you're gonna take out for spending purposes, right?
[00:29:06.060 --> 00:29:07.680]   That's how you cover your spending each year
[00:29:07.680 --> 00:29:10.240]   and your way of living.
[00:29:10.240 --> 00:29:12.680]   If you had a 60/40 portfolio,
[00:29:12.680 --> 00:29:15.000]   that would give you 10 years worth of spending, right?
[00:29:15.000 --> 00:29:17.560]   A 40/60 portfolio would give you 15 years worth of spending
[00:29:17.560 --> 00:29:19.600]   in fixed income or cash or something like that.
[00:29:19.600 --> 00:29:22.640]   Now, this ignores inflation in your spending over time,
[00:29:22.640 --> 00:29:24.480]   so it's pretty back of the envelope.
[00:29:24.480 --> 00:29:26.200]   But I think this is a good way to look at things
[00:29:26.200 --> 00:29:28.280]   in terms of getting comfortable with some balance
[00:29:28.280 --> 00:29:29.880]   and the understanding that you have to have
[00:29:29.880 --> 00:29:32.760]   accept some volatility in your portfolio
[00:29:32.760 --> 00:29:35.600]   if you want to beat the rate of inflation over time.
[00:29:35.600 --> 00:29:37.460]   So a lot of retirees are gonna wanna leave money
[00:29:37.460 --> 00:29:38.500]   to next generation as well.
[00:29:38.500 --> 00:29:40.480]   Most retirees who have a lot of money
[00:29:40.480 --> 00:29:42.200]   don't end up spending at all.
[00:29:42.200 --> 00:29:44.200]   And so if that's the case,
[00:29:44.200 --> 00:29:45.760]   you're managing based on your children's
[00:29:45.760 --> 00:29:48.240]   or your grandchildren's time horizon and risk profile.
[00:29:48.240 --> 00:29:50.660]   And that's theirs, not yours.
[00:29:50.660 --> 00:29:52.760]   So I know it's a scary proposition
[00:29:52.760 --> 00:29:54.940]   once you're relying exclusively on financial assets
[00:29:54.940 --> 00:29:55.760]   to support your lifestyle,
[00:29:55.760 --> 00:29:57.960]   but you're gonna have to live to accept
[00:29:57.960 --> 00:30:01.280]   a little bit of volatility with part of your portfolio.
[00:30:01.280 --> 00:30:02.960]   Maybe you kind of mentally bucket this.
[00:30:02.960 --> 00:30:05.000]   You know, this part of the portfolio,
[00:30:05.000 --> 00:30:09.360]   this 20, 30, 40, 50% is for the next 10 plus years.
[00:30:09.360 --> 00:30:11.640]   This part is for the next one to three years.
[00:30:11.640 --> 00:30:14.120]   This part is for the next three to seven years.
[00:30:14.120 --> 00:30:17.360]   Whatever you have to do to get yourself comfortable there
[00:30:17.360 --> 00:30:19.800]   because you're balancing out spending some now
[00:30:19.800 --> 00:30:21.220]   and also growing it for the future.
[00:30:21.220 --> 00:30:23.780]   So that's the kind of thing where it stinks.
[00:30:23.780 --> 00:30:25.140]   It would be nice if you could just put your money
[00:30:25.140 --> 00:30:27.820]   into something that paid you 7% a year,
[00:30:27.820 --> 00:30:29.640]   year in and year out.
[00:30:29.640 --> 00:30:31.700]   It doesn't really exist, unfortunately,
[00:30:31.700 --> 00:30:33.260]   and you're just gonna have to live with some volatility
[00:30:33.260 --> 00:30:34.900]   because people are living longer.
[00:30:34.900 --> 00:30:38.220]   - Right, I think I like their attitude here
[00:30:38.220 --> 00:30:41.500]   of thinking about, you know, yeah, still staying invested.
[00:30:41.500 --> 00:30:43.220]   It's not like it's a end date
[00:30:43.220 --> 00:30:46.140]   where you're cashing out all of your retirement plans
[00:30:46.140 --> 00:30:46.980]   or something.
[00:30:46.980 --> 00:30:50.000]   They make the point that your portfolio management
[00:30:50.000 --> 00:30:52.900]   is never more important than when you are retired, right?
[00:30:52.900 --> 00:30:54.080]   'Cause when you're accumulating assets
[00:30:54.080 --> 00:30:55.860]   and you're putting money to work,
[00:30:55.860 --> 00:30:57.840]   your asset allocation doesn't matter nearly as much
[00:30:57.840 --> 00:30:59.120]   as it does when you're actually retiring.
[00:30:59.120 --> 00:31:00.960]   And withdrawing money and financial planning
[00:31:00.960 --> 00:31:02.800]   and all this stuff, there's so much more that goes into it,
[00:31:02.800 --> 00:31:05.260]   which is why we have a lot of clients come to us
[00:31:05.260 --> 00:31:06.240]   when they're approaching retirement
[00:31:06.240 --> 00:31:09.080]   because there's a lot more complexities involved in that.
[00:31:09.080 --> 00:31:10.520]   - And that's actually what I was about to ask,
[00:31:10.520 --> 00:31:11.960]   if that's a popular time for people
[00:31:11.960 --> 00:31:14.000]   to get an advisor for the first time.
[00:31:14.000 --> 00:31:15.240]   It seems counterintuitive,
[00:31:15.240 --> 00:31:17.500]   but like when they're actually retiring.
[00:31:17.500 --> 00:31:19.500]   - Because financial planning and advice
[00:31:19.500 --> 00:31:20.340]   is so much more important.
[00:31:20.340 --> 00:31:21.180]   Taxes are more important.
[00:31:21.180 --> 00:31:22.660]   Insurance is more important.
[00:31:22.660 --> 00:31:26.580]   All these things, it's definitely a mindset shift too,
[00:31:26.580 --> 00:31:29.700]   psychologically, to go from being an accumulator of assets
[00:31:29.700 --> 00:31:31.140]   to someone who's then spending it down.
[00:31:31.140 --> 00:31:32.960]   That can be tough for people to turn on a dime
[00:31:32.960 --> 00:31:35.640]   and then spend because they just want to hoard it all
[00:31:35.640 --> 00:31:36.480]   their whole life.
[00:31:36.480 --> 00:31:37.780]   And then to turn around and have to spend it,
[00:31:37.780 --> 00:31:40.500]   it's tough when there's not anything else coming in.
[00:31:40.500 --> 00:31:41.500]   - Right.
[00:31:41.500 --> 00:31:42.340]   That makes sense.
[00:31:42.340 --> 00:31:44.500]   Cool.
[00:31:44.500 --> 00:31:45.340]   All right.
[00:31:45.340 --> 00:31:46.160]   Next week, we are going to be back
[00:31:46.160 --> 00:31:47.000]   going over all the changes
[00:31:47.000 --> 00:31:49.160]   to retirement contribution limits, tax code,
[00:31:49.160 --> 00:31:51.080]   everything else you need to know for the new year.
[00:31:51.080 --> 00:31:51.920]   So if you have any questions,
[00:31:51.920 --> 00:31:55.120]   remember email us, askthecompoundshow@gmail.com.
[00:31:55.120 --> 00:31:56.800]   If you're listening in podcast form,
[00:31:56.800 --> 00:31:58.580]   leave us a nice review.
[00:31:58.580 --> 00:32:01.120]   Every week you can just talk about Duncan's hats, right?
[00:32:01.120 --> 00:32:02.200]   The guy's never without a hat.
[00:32:02.200 --> 00:32:03.800]   - I got some new ones for the holidays too.
[00:32:03.800 --> 00:32:04.960]   So keep your eyes peeled.
[00:32:04.960 --> 00:32:05.800]   There'll be some new ones.
[00:32:05.800 --> 00:32:06.620]   - Perfect.
[00:32:06.620 --> 00:32:07.620]   If you're watching on YouTube,
[00:32:07.620 --> 00:32:09.640]   hit that like button, subscribe.
[00:32:09.640 --> 00:32:12.120]   You can also leave us a comment or a question.
[00:32:12.120 --> 00:32:13.360]   On YouTube, we always check it.
[00:32:13.360 --> 00:32:16.300]   I'm always in the comments battling it out with people.
[00:32:16.300 --> 00:32:18.260]   I don't mind heading in there.
[00:32:18.260 --> 00:32:19.100]   We have some nice people
[00:32:19.100 --> 00:32:20.640]   and they also have some good comments too.
[00:32:20.640 --> 00:32:21.480]   I don't mind.
[00:32:21.480 --> 00:32:22.300]   Keep those coming.
[00:32:22.300 --> 00:32:25.220]   Remember, email us, askthecompoundshow@gmail.com.
[00:32:25.220 --> 00:32:26.980]   We're looking forward to an awesome year here.
[00:32:26.980 --> 00:32:27.820]   Let's do it.
[00:32:27.820 --> 00:32:28.640]   We'll have guests going forward.
[00:32:28.640 --> 00:32:29.480]   - Happy New Year, man.
[00:32:29.480 --> 00:32:32.140]   - I'm not going to say it back.
[00:32:32.140 --> 00:32:33.860]   And we will see you next week.
[00:32:33.860 --> 00:32:34.800]   - See you everyone.
[00:32:34.800 --> 00:32:37.380]   (upbeat music)
[00:32:37.380 --> 00:32:39.960]   (upbeat music)
[00:32:39.960 --> 00:32:42.540]   (upbeat music)
[00:32:42.540 --> 00:32:45.120]   (upbeat music)
[00:32:45.120 --> 00:32:47.700]   (upbeat music)
[00:32:47.720 --> 00:32:50.300]   (upbeat music)
[00:32:50.300 --> 00:32:52.880]   (gentle music)
[00:32:52.880 --> 00:32:54.940]   you

