
[00:00:00.040 --> 00:00:09.480]   ち
[00:41:53.340 --> 00:41:53.340]   It's not a good idea to throw it away.
[00:41:53.340 --> 00:41:53.340]   It's not a good idea to throw it away.
[00:41:53.340 --> 00:41:53.340]   It's not a good idea to throw it away.
[00:41:53.340 --> 00:41:53.340]   It's not a good idea to throw it away.
[00:41:53.340 --> 00:41:53.340]   It's not a good idea to throw it away.
[00:41:53.340 --> 00:41:53.340]   It's not a good idea to throw it away.
[00:41:53.340 --> 00:41:53.340]   It's not a good idea to throw it away.
[00:41:53.340 --> 00:41:53.340]   It's not a good idea to throw it away.
[00:41:53.340 --> 00:41:53.340]   It's not a good idea to throw it away.
[00:41:53.340 --> 00:41:53.340]   It's not a good idea to throw it away.
[00:41:53.340 --> 00:41:53.340]   It's not a good idea to throw it away.
[00:41:53.340 --> 00:41:53.340]   It's not a good idea to throw it away.
[00:41:53.340 --> 00:41:53.340]   It's not a good idea to throw it away.
[00:41:53.340 --> 00:41:53.340]   It's not a good idea to throw it away.
[00:41:53.340 --> 00:41:53.340]   It's not a good idea to throw it away.
[00:41:53.340 --> 00:42:23.360]   It's not a good idea to throw it away.
[00:42:23.360 --> 00:42:23.360]   It's not a good idea to throw it away.
[00:42:23.360 --> 00:42:23.360]   It's not a good idea to throw it away.
[00:42:23.360 --> 00:42:23.360]   It's not a good idea to throw it away.
[00:42:23.360 --> 00:42:23.360]   It's not a good idea to throw it away.
[00:42:23.360 --> 00:42:23.360]   It's not a good idea to throw it away.
[00:42:23.360 --> 00:42:23.360]   It's not a good idea to throw it away.
[00:42:23.380 --> 00:42:53.380]   It's not a good idea to throw it away.
[00:42:53.380 --> 00:42:53.380]   It's not a good idea to throw it away.
[00:42:53.380 --> 00:42:53.380]   It's not a good idea to throw it away.
[00:42:53.380 --> 00:42:53.380]   It's not a good idea to throw it away.
[00:42:53.380 --> 00:42:53.380]   It's not a good idea to throw it away.
[00:42:53.380 --> 00:42:53.380]   It's not a good idea to throw it away.
[00:42:53.380 --> 00:42:53.380]   It's not a good idea to throw it away.
[00:42:53.380 --> 00:42:53.380]   It's not a good idea to throw it away.
[00:42:53.380 --> 00:42:53.380]   It's not a good idea to throw it away.
[00:42:53.380 --> 00:42:53.380]   It's not a good idea to throw it away.
[00:42:53.380 --> 00:42:53.380]   It's not a good idea to throw it away.
[00:42:53.380 --> 00:42:53.380]   It's not a good idea to throw it away.
[00:42:53.380 --> 00:42:53.380]   It's not a good idea to throw it away.
[00:42:53.380 --> 00:42:53.380]   It's not a good idea to throw it away.
[00:42:53.380 --> 00:42:53.380]   It's not a good idea to throw it away.
[00:42:53.380 --> 00:42:53.380]   It's not a good idea to throw it away.
[00:42:53.400 --> 00:43:23.400]   It's not a good idea to throw it away.
[00:43:23.400 --> 00:43:23.400]   It's not a good idea to throw it away.
[00:43:23.400 --> 00:43:23.400]   It's not a good idea to throw it away.
[00:43:23.400 --> 00:43:23.400]   It's not a good idea to throw it away.
[00:43:23.400 --> 00:43:23.400]   It's not a good idea to throw it away.
[00:43:23.400 --> 00:43:23.400]   It's not a good idea to throw it away.
[00:43:23.400 --> 00:43:23.400]   It's not a good idea to throw it away.
[00:43:23.400 --> 00:43:23.400]   It's not a good idea to throw it away.
[00:43:23.400 --> 00:43:23.400]   It's not a good idea to throw it away.
[00:43:23.400 --> 00:43:23.400]   It's not a good idea to throw it away.
[00:43:23.400 --> 00:43:23.400]   It's not a good idea to throw it away.
[00:43:23.400 --> 00:43:23.400]   It's not a good idea to throw it away.
[00:43:23.420 --> 00:43:53.420]   It's not a good idea to throw it away.
[00:43:53.420 --> 00:43:53.420]   It's not a good idea to throw it away.
[00:43:53.420 --> 00:43:53.420]   It's not a good idea to throw it away.
[00:43:53.420 --> 00:43:53.420]   It's not a good idea to throw it away.
[00:43:53.420 --> 00:43:53.420]   It's not a good idea to throw it away.
[00:43:53.420 --> 00:43:53.420]   It's not a good idea to throw it away.
[00:43:53.420 --> 00:43:53.420]   It's not a good idea to throw it away.
[00:43:53.420 --> 00:43:53.420]   It's not a good idea to throw it away.
[00:43:53.420 --> 00:43:53.420]   It's not a good idea to throw it away.
[00:43:53.420 --> 00:43:53.420]   It's not a good idea to throw it away.
[00:43:53.420 --> 00:43:53.420]   It's not a good idea to throw it away.
[00:43:53.420 --> 00:43:53.420]   It's not a good idea to throw it away.
[00:43:53.420 --> 00:43:53.420]   It's not a good idea to throw it away.
[00:43:53.420 --> 00:44:23.440]   I'm not saying that you should throw it away.
[00:44:23.440 --> 00:44:23.440]   It's not a good idea to throw it away.
[00:44:23.440 --> 00:44:23.440]   It's not a good idea to throw it away.
[00:44:23.440 --> 00:44:23.440]   It's not a good idea to throw it away.
[00:44:23.440 --> 00:44:23.440]   It's not a good idea to throw it away.
[00:44:23.440 --> 00:44:23.440]   It's not a good idea to throw it away.
[00:44:23.440 --> 00:44:23.440]   It's not a good idea to throw it away.
[00:44:23.440 --> 00:44:23.440]   It's not a good idea to throw it away.
[00:44:23.440 --> 00:44:23.440]   It's not a good idea to throw it away.
[00:44:23.440 --> 00:44:23.440]   It's not a good idea to throw it away.
[00:44:23.440 --> 00:44:23.440]   It's not a good idea to throw it away.
[00:44:23.440 --> 00:44:23.440]   It's not a good idea to throw it away.
[00:44:23.440 --> 00:44:23.440]   It's not a good idea to throw it away.
[00:44:23.460 --> 00:44:53.460]   I'm not saying that you should throw it away.
[00:44:53.460 --> 00:44:53.460]   I'm not saying that you should throw it away.
[00:44:53.460 --> 00:44:53.460]   I'm not saying that you should throw it away.
[00:44:53.460 --> 00:44:53.460]   I'm not saying that you should throw it away.
[00:44:53.460 --> 00:44:53.460]   I'm not saying that you should throw it away.
[00:44:53.460 --> 00:44:53.460]   I'm not saying that you should throw it away.
[00:44:53.460 --> 00:44:53.460]   I'm not saying that you should throw it away.
[00:44:53.460 --> 00:44:53.460]   I'm not saying that you should throw it away.
[00:44:53.460 --> 00:44:53.460]   I'm not saying that you should throw it away.
[00:44:53.460 --> 00:44:53.460]   I'm not saying that you should throw it away.
[00:44:53.460 --> 00:44:53.460]   I'm not saying that you should throw it away.
[00:44:53.460 --> 00:44:53.460]   I'm not saying that you should throw it away.
[00:44:53.460 --> 00:44:53.460]   I'm not saying that you should throw it away.
[00:44:53.460 --> 00:44:53.460]   I'm not saying that you should throw it away.
[00:44:53.460 --> 00:44:53.460]   I'm not saying that you should throw it away.
[00:44:53.460 --> 00:44:53.460]   I'm not saying that you should throw it away.
[00:44:53.460 --> 00:45:23.480]   I'm not saying that you should throw it away.
[00:45:23.480 --> 00:45:23.480]   I'm not saying that you should throw it away.
[00:45:23.480 --> 00:45:23.480]   I'm not saying that you should throw it away.
[00:45:23.480 --> 00:45:23.480]   I'm not saying that you should throw it away.
[00:45:23.480 --> 00:45:23.480]   I'm not saying that you should throw it away.
[00:45:23.480 --> 00:45:23.480]   I'm not saying that you should throw it away.
[00:45:23.500 --> 00:45:53.500]   I'm not saying that you should throw it away.
[00:45:53.500 --> 00:45:53.500]   I'm not saying that you should throw it away.
[00:45:53.500 --> 00:45:53.500]   I'm not saying that you should throw it away.
[00:45:53.500 --> 00:45:53.500]   I'm not saying that you should throw it away.
[00:45:53.500 --> 00:45:53.500]   I'm not saying that you should throw it away.
[00:45:53.500 --> 00:45:53.500]   I'm not saying that you should throw it away.
[00:45:53.500 --> 00:45:53.500]   I'm not saying that you should throw it away.
[00:45:53.500 --> 00:45:53.500]   I'm not saying that you should throw it away.
[00:45:53.500 --> 00:45:53.500]   I'm not saying that you should throw it away.
[00:45:53.500 --> 00:45:53.500]   I'm not saying that you should throw it away.
[00:45:53.500 --> 00:45:53.500]   I'm not saying that you should throw it away.
[00:45:53.500 --> 00:45:53.500]   I'm not saying that you should throw it away.
[00:45:53.500 --> 00:45:53.500]   I'm not saying that you should throw it away.
[00:45:53.500 --> 00:45:53.500]   I'm not saying that you should throw it away.
[00:45:53.500 --> 00:45:53.500]   I'm not saying that you should throw it away.
[00:45:53.500 --> 00:45:53.500]   I'm not saying that you should throw it away.
[00:45:53.500 --> 00:46:23.520]   I'm not saying that you should throw it away.
[00:46:23.520 --> 00:46:23.520]   I'm not saying that you should throw it away.
[00:46:23.520 --> 00:46:23.520]   I'm not saying that you should throw it away.
[00:46:23.520 --> 00:46:23.520]   I'm not saying that you should throw it away.
[00:46:23.520 --> 00:46:23.520]   I'm not saying that you should throw it away.
[00:46:23.520 --> 00:46:23.520]   I'm not saying that you should throw it away.
[00:46:23.520 --> 00:46:23.520]   I'm not saying that you should throw it away.
[00:46:23.520 --> 00:46:23.520]   I'm not saying that you should throw it away.
[00:46:23.520 --> 00:46:23.520]   I'm not saying that you should throw it away.
[00:46:23.520 --> 00:46:23.520]   I'm not saying that you should throw it away.
[00:46:23.540 --> 00:46:53.540]   I'm not saying that you should throw it away.
[00:46:53.540 --> 00:46:53.540]   I'm not saying that you should throw it away.
[00:46:53.540 --> 00:46:53.540]   I'm not saying that you should throw it away.
[00:46:53.540 --> 00:46:53.540]   I'm not saying that you should throw it away.
[00:46:53.540 --> 00:46:53.540]   I'm not saying that you should throw it away.
[00:46:53.540 --> 00:46:53.540]   I'm not saying that you should throw it away.
[00:46:53.540 --> 00:46:53.540]   I'm not saying that you should throw it away.
[00:46:53.540 --> 00:46:53.540]   I'm not saying that you should throw it away.
[00:46:53.540 --> 00:46:53.540]   I'm not saying that you should throw it away.
[00:46:53.540 --> 00:46:53.540]   I'm not saying that you should throw it away.
[00:46:53.540 --> 00:46:53.540]   I'm not saying that you should throw it away.
[00:46:53.540 --> 00:46:53.540]   I'm not saying that you should throw it away.
[00:46:53.540 --> 00:46:53.540]   I'm not saying that you should throw it away.
[00:46:53.540 --> 00:46:53.540]   I'm not saying that you should throw it away.
[00:46:53.540 --> 00:46:53.540]   I'm not saying that you should throw it away.
[00:46:53.540 --> 00:46:53.540]   I'm not saying that you should throw it away.
[00:46:53.580 --> 00:47:03.900]   И
[00:47:03.900 --> 00:47:04.600]   �
[00:47:04.600 --> 00:47:04.700]   compared more that has a
[00:47:04.700 --> 00:47:22.480]   as I I elго, and, ,,,,,,,,.,,.. .ill begins
[00:47:23.020 --> 00:47:27.320]   the information doesn't contain any personal connection to you.
[00:47:27.320 --> 00:47:30.240]   Make sure that there's no, for example, papers or mail, junk mail
[00:47:30.240 --> 00:47:32.160]   that has your name on it in the same bag.
[00:47:32.160 --> 00:47:33.540]   That of course would be evidence.
[00:47:33.540 --> 00:47:38.280]   You would want to make sure to remove anything that would have any kind of physical DNA.
[00:47:38.280 --> 00:47:41.360]   Burning, I don't, I think, I'm not an expert on this,
[00:47:41.360 --> 00:47:43.760]   but I guess that burning would be a good way to do that.
[00:47:43.760 --> 00:47:46.760]   Or make sure that you can dispose of them in some way
[00:47:46.760 --> 00:47:50.400]   where you can dispose of them completely away from yourself.
[00:47:50.400 --> 00:47:52.460]   And again, one thing is considered a good way to dispose of them.
[00:47:52.460 --> 00:47:52.460]   And again, one thing is considered a good way to dispose of them.
[00:47:52.460 --> 00:47:52.460]   And again, one thing is considered a good way to dispose of them.
[00:47:52.460 --> 00:47:52.460]   And again, one thing is considered a good way to dispose of them.
[00:47:52.500 --> 00:48:02.640]   blind
[00:48:02.640 --> 00:48:03.500]   everybody, statt,
[00:48:03.500 --> 00:48:21.580]   believeOf" 77 expect. And, you are. And, and, and, and, and, and, and, * Travis, встреч, equity, scheme, 1988,iş,led,ire, шт. letter, continue to be aono, sp limit, đi, willing to be. Ab i'm con coを рав, ent though I'm not swallow a play a with a ORC Сер i's something а меньше in the loudaker. It'suis a或 fried a dari terrific Okey ad戲 on my chin che be colour wouldn Ban Model de where好asy name is�市 cad llegOFF 어�ianiabl tribe color Aí Pero en provides de TED season detail in 199 phones says g claw ou Kultur them Man my reason Давайте어�
[00:48:21.640 --> 00:48:31.560]  ,
[00:49:45.280 --> 00:49:47.700]   start
[00:49:47.700 --> 00:50:03.880]   N The M
[00:50:03.880 --> 00:50:13.380]   nobody Cap, or hear, and, and, and, requires,'m, investigación, prote,^;_ meinem
[00:50:13.680 --> 00:50:24.700]   bus
[00:50:24.700 --> 00:50:40.400]   gave Big I arrive
[00:50:40.400 --> 00:50:41.780]   "... imagine cheek
[00:50:42.440 --> 00:50:51.860]   caffeine
[00:50:51.860 --> 00:50:54.400]   Old L S
[00:51:11.620 --> 00:51:40.760]   rendition of the film, the new film.
[00:51:40.760 --> 00:51:40.760]   The film is available on Amazon, Google Play, and Google Play Store.
[00:51:40.760 --> 00:51:40.760]   In Wisconsin, some municipal governments are taking garbage surveillance to a whole new level. In Onalaska and La Crosse, garbage trucks are actually equipped with video cameras. Garbage trucks scan the chips installed in each bin when emptying carts. The cameras monitor the materials being dumped and transmit a detailed collection history back to the company in order to determine if the right materials are coming out of each container. This information is, when deemed necessary, used to levy fines against residents who improperly sort their waste.
[00:51:40.780 --> 00:51:57.940]   This kind of automated garbage monitoring raises very serious privacy concerns. While encouraging residents to recycle is commendable, any program involving the government's systematic monitoring of citizens crosses a line. The contents of your trash can be surprisingly revealing.
[00:51:57.940 --> 00:52:07.120]   It goes on in reference to the Willamette Week article, which I previously read to you. But in my mind, this is absolutely unconscionable.
[00:52:07.120 --> 00:52:09.940]   I don't know about you, but I think that it's a very important thing to do.
[00:52:09.940 --> 00:52:09.940]   I think that it's a very important thing to do.
[00:52:09.940 --> 00:52:09.940]   I think that it's a very important thing to do.
[00:52:09.940 --> 00:52:09.940]   I think that it's a very important thing to do.
[00:52:09.940 --> 00:52:09.940]   I think that it's a very important thing to do.
[00:52:09.940 --> 00:52:09.940]   I think that it's a very important thing to do.
[00:52:09.940 --> 00:52:09.940]   I think that it's a very important thing to do.
[00:52:09.940 --> 00:52:09.940]   I think that it's a very important thing to do.
[00:52:09.940 --> 00:52:09.940]   I think that it's a very important thing to do.
[00:52:10.120 --> 00:52:39.140]   I think that it's a very important thing to do.
[00:52:39.140 --> 00:52:39.160]   I think that it's a very important thing to do.
[00:52:39.160 --> 00:52:39.200]   I think that it's a very important thing to do.
[00:52:39.200 --> 00:52:39.240]   I think that it's a very important thing to do.
[00:52:39.240 --> 00:52:39.300]   I think that it's a very important thing to do.
[00:52:39.300 --> 00:52:39.320]   I think that it's a very important thing to do.
[00:52:39.320 --> 00:52:39.340]   I think that it's a very important thing to do.
[00:52:39.340 --> 00:52:39.360]   I think that it's a very important thing to do.
[00:52:39.360 --> 00:52:39.380]   I think that it's a very important thing to do.
[00:52:39.380 --> 00:52:39.400]   I think that it's a very important thing to do.
[00:52:39.400 --> 00:52:39.440]   I think that it's a very important thing to do.
[00:52:39.440 --> 00:52:39.460]   I think that it's a very important thing to do.
[00:52:39.460 --> 00:52:39.500]   I think that it's a very important thing to do.
[00:52:39.500 --> 00:52:39.500]   I think that it's a very important thing to do. I think that it's a very important thing to do.
[00:52:39.540 --> 00:52:49.400]   in
[00:52:49.400 --> 00:53:06.740]  � , the, the, —, 12TA E The I is in,in, committed to make a,
[00:53:06.740 --> 00:53:08.360]  ,,,,,,,,,, familyzzoご affecture Muslim determinanched in candle barre change unрасDIにな Sleepingrot 60 delightful sunglasses ch實pro decide my Push S vegan Import 그 I'm Digital never the P weigh times, . I'm S這裡 is not check it is a за, and I's you should expect your discplé stressed the charge a rise, if you're a邊
[00:53:08.420 --> 00:53:35.520]   ,

