
[00:00:00.000 --> 00:00:01.320]   Dating is inherently deceptive.
[00:18:15.040 --> 00:18:16.040]   Dating didn't exist back then.
[00:18:16.040 --> 00:18:17.040]   Right.
[00:18:17.040 --> 00:18:18.040]   So.
[00:18:18.040 --> 00:18:19.040]   So how do you think biblically about dating.
[00:18:19.040 --> 00:18:20.040]   Yeah.
[00:18:20.040 --> 00:18:21.040]   Well you gotta start with what you know.
[00:18:21.040 --> 00:18:22.040]   Right.
[00:18:22.040 --> 00:18:23.040]   Start with what you know.
[00:18:23.040 --> 00:18:24.040]   And then extrapolate that to.
[00:18:24.040 --> 00:18:25.040]   To how it can plan out.
[00:18:25.040 --> 00:18:26.040]   So.
[00:18:26.040 --> 00:18:27.040]   So then.
[00:18:27.040 --> 00:18:28.040]   Like.
[00:18:28.040 --> 00:18:29.040]   The bible says a lot about marriage though.
[00:18:29.040 --> 00:18:30.040]   And it says.
[00:18:30.040 --> 00:18:32.040]   That marriage is like.
[00:18:32.040 --> 00:18:33.040]   Incredibly important.
[00:18:33.040 --> 00:18:34.040]   Like.
[00:18:34.040 --> 00:18:35.040]   The kind of relationship between a.
[00:18:35.040 --> 00:18:36.040]   Husband and wife.
[00:18:36.040 --> 00:18:38.040]   Is that you become one flesh.
[00:18:38.040 --> 00:18:39.040]   That.
[00:18:39.040 --> 00:18:40.040]   Should never separate.
[00:18:40.040 --> 00:18:41.040]   Except for like.
[00:18:41.040 --> 00:18:42.040]   Really extreme situations.
[00:18:42.040 --> 00:18:43.040]   So.
[00:18:43.040 --> 00:18:44.040]   It's like.
[00:18:44.040 --> 00:18:45.040]   Incredibly important.
[00:18:45.040 --> 00:18:46.040]   Such a powerful.
[00:18:46.040 --> 00:18:47.040]   Relationship.
[00:18:47.040 --> 00:18:48.040]   If that's the case.
[00:18:48.040 --> 00:18:50.040]   It should be treated as such.
[00:18:50.040 --> 00:18:52.040]   A lot of people told me.
[00:18:52.040 --> 00:18:54.040]   Marriage is like the second.
[00:18:54.040 --> 00:18:55.040]   Most important decision.
[00:18:55.040 --> 00:18:56.040]   You'll ever make in your life.
[00:18:56.040 --> 00:18:58.040]   After your decision to become Christian.
[00:18:58.040 --> 00:18:59.040]   Right.
[00:18:59.040 --> 00:19:00.040]   I can see that.
[00:19:00.040 --> 00:19:01.040]   So.
[00:19:01.040 --> 00:19:03.040]   Then we gotta treat that with a lot of care.
[00:19:03.040 --> 00:19:05.040]   Cause you don't wanna mess that up.
[00:19:05.040 --> 00:19:07.040]   It's a beautiful gift that God has given us.
[00:19:07.040 --> 00:19:08.040]   But.
[00:19:08.040 --> 00:19:09.040]   The.
[00:19:09.040 --> 00:19:12.040]   The more beautiful something is.
[00:19:12.040 --> 00:19:14.040]   The more ugly it can become.
[00:19:14.040 --> 00:19:16.040]   If it isn't treated properly.
[00:19:16.040 --> 00:19:17.040]   So.
[00:19:17.040 --> 00:19:18.040]   So then what is dating.
[00:19:18.040 --> 00:19:19.040]   It's kinda getting ready for marriage.
[00:19:19.040 --> 00:19:20.040]   So you wanna do that.
[00:19:20.040 --> 00:19:21.040]   Really really well.
[00:19:21.040 --> 00:19:23.040]   So then in terms of like.
[00:19:23.040 --> 00:19:24.040]   How to.
[00:19:24.040 --> 00:19:25.040]   How to date and all that.
[00:19:25.040 --> 00:19:26.040]   There's a lot of wisdom there.
[00:19:26.040 --> 00:19:29.040]   But I think what most undergrads.
[00:19:29.040 --> 00:19:30.040]   Wanna know is.
[00:19:30.040 --> 00:19:32.040]   When can I start dating.
[00:19:32.040 --> 00:19:33.040]   Yeah.
[00:19:33.040 --> 00:19:34.040]   Am I ready.
[00:19:34.040 --> 00:19:35.040]   When can I start dating.
[00:19:35.040 --> 00:19:36.040]   And for that.
[00:19:36.040 --> 00:19:37.040]   Usually what I tell them.
[00:19:37.040 --> 00:19:38.040]   Is something along the lines of.
[00:19:38.040 --> 00:19:40.040]   When you're ready to be married in a few years.
[00:19:40.040 --> 00:19:41.040]   If you're ready to be married in a few years.
[00:19:41.040 --> 00:19:42.040]   Mm.
[00:19:42.040 --> 00:19:43.040]   If you're ready to be married in a few years.
[00:19:43.040 --> 00:19:45.040]   That's a good time to start dating.
[00:19:45.040 --> 00:19:46.040]   Mm.
[00:19:46.040 --> 00:19:47.040]   Um.
[00:19:47.040 --> 00:19:48.040]   Yeah.
[00:19:48.040 --> 00:19:49.040]   And I guess like.
[00:19:49.040 --> 00:19:50.040]   Really it comes down to.
[00:19:50.040 --> 00:19:51.040]   Practically.
[00:19:51.040 --> 00:19:52.040]   Um.
[00:19:52.040 --> 00:19:58.040]   I just think it's really hard to date someone for like five, six years and not be married.
[00:19:58.040 --> 00:19:59.040]   Mm.
[00:19:59.040 --> 00:20:00.040]   God wants.
[00:20:00.040 --> 00:20:02.040]   The boundary of sex to be within a marriage.
[00:20:02.040 --> 00:20:03.040]   To enhance that marriage.
[00:20:03.040 --> 00:20:05.040]   To seal that marriage.
[00:20:05.040 --> 00:20:06.040]   Consummate that marriage.
[00:20:06.040 --> 00:20:11.040]   And to date someone that you're very attracted to.
[00:20:11.040 --> 00:20:12.040]   For five years.
[00:20:12.040 --> 00:20:14.040]   And not consummate that relationship.
[00:20:14.040 --> 00:20:16.040]   Is actually really, really hard.
[00:20:16.040 --> 00:20:17.040]   Mm.
[00:20:17.040 --> 00:20:18.040]   I think the world solution of just.
[00:20:18.040 --> 00:20:20.040]   You know, premarital sex is not what.
[00:20:20.040 --> 00:20:21.040]   It's not God honoring.
[00:20:21.040 --> 00:20:22.040]   That's not what God would want.
[00:20:22.040 --> 00:20:23.040]   So.
[00:20:23.040 --> 00:20:24.040]   Mm.
[00:20:24.040 --> 00:20:25.040]   Just practically speaking.
[00:20:25.040 --> 00:20:26.040]   To start dating.
[00:20:26.040 --> 00:20:27.040]   Mm.
[00:20:27.040 --> 00:20:28.040]   Uh.
[00:20:28.040 --> 00:20:29.040]   Looking towards marriage.
[00:20:29.040 --> 00:20:30.040]   But doing it.
[00:20:30.040 --> 00:20:33.040]   When you're practically ready to be married in a few years.
[00:20:33.040 --> 00:20:34.040]   Mm.
[00:20:34.040 --> 00:20:35.040]   Yeah.
[00:20:35.040 --> 00:20:37.040]   So do you guys have like at Irvine.
[00:20:37.040 --> 00:20:38.040]   Um.
[00:20:38.040 --> 00:20:39.040]   You guys have couples who are dating.
[00:20:39.040 --> 00:20:41.040]   And how do you go about like ministering to them.
[00:20:41.040 --> 00:20:42.040]   And like yeah.
[00:20:42.040 --> 00:20:43.040]   Tell us a little bit about that.
[00:20:43.040 --> 00:20:44.040]   Yeah.
[00:20:44.040 --> 00:20:45.040]   So.
[00:20:45.040 --> 00:20:46.040]   We do have a couple undergrads who are dating.
[00:20:46.040 --> 00:20:48.040]   And it really is case by case.
[00:20:48.040 --> 00:20:49.040]   It just kind of depends on the person.
[00:20:49.040 --> 00:20:50.040]   And um.
[00:20:50.040 --> 00:20:51.040]   How well we know them.
[00:20:51.040 --> 00:20:52.040]   Yeah.
[00:20:52.040 --> 00:20:53.040]   And then um.
[00:20:53.040 --> 00:20:54.040]   How much they want to talk about it.
[00:20:54.040 --> 00:20:55.040]   You know.
[00:20:55.040 --> 00:20:56.040]   It's always permission based.
[00:20:56.040 --> 00:20:57.040]   So.
[00:20:57.040 --> 00:20:58.040]   Hey.
[00:20:58.040 --> 00:20:59.040]   If this is something you guys want to talk about.
[00:20:59.040 --> 00:21:00.040]   Receive wisdom about.
[00:21:00.040 --> 00:21:01.040]   We are available to you.
[00:21:01.040 --> 00:21:02.040]   Uh.
[00:21:02.040 --> 00:21:03.040]   And some people take us up on that.
[00:21:03.040 --> 00:21:04.040]   And some people don't.
[00:21:04.040 --> 00:21:05.040]   Give up to them.
[00:21:05.040 --> 00:21:06.040]   Yeah.
[00:21:06.040 --> 00:21:07.040]   So there's no like.
[00:21:07.040 --> 00:21:08.040]   I don't know.
[00:21:08.040 --> 00:21:09.040]   Does that.
[00:21:09.040 --> 00:21:10.040]   Does that cause like.
[00:21:10.040 --> 00:21:11.040]   I don't know.
[00:21:11.040 --> 00:21:12.040]   Drama.
[00:21:12.040 --> 00:21:13.040]   Or like.
[00:21:13.040 --> 00:21:14.040]   Do people break up.
[00:21:14.040 --> 00:21:15.040]   Like.
[00:21:15.040 --> 00:21:16.040]   You know.
[00:21:16.040 --> 00:21:17.040]   Again.
[00:21:17.040 --> 00:21:18.040]   Depends on the couple.
[00:21:18.040 --> 00:21:19.040]   Yeah.
[00:21:19.040 --> 00:21:20.040]   And then some.
[00:21:20.040 --> 00:21:21.040]   Some like.
[00:21:21.040 --> 00:21:22.040]   Are not.
[00:21:22.040 --> 00:21:23.040]   But doesn't cause drama.
[00:21:23.040 --> 00:21:24.040]   Some.
[00:21:24.040 --> 00:21:25.040]   Some are.
[00:21:25.040 --> 00:21:26.040]   And does.
[00:21:26.040 --> 00:21:27.040]   Inevitably cause drama.
[00:21:27.040 --> 00:21:28.040]   Right.
[00:21:28.040 --> 00:21:29.040]   So yeah.
[00:21:29.040 --> 00:21:30.040]   It just kind of depends.
[00:21:30.040 --> 00:21:31.040]   Like a college pastor.
[00:21:31.040 --> 00:21:32.040]   Is.
[00:21:32.040 --> 00:21:33.040]   Like.
[00:21:33.040 --> 00:21:33.040]   Okay.
[00:21:33.040 --> 00:21:34.040]   So traditionally.
[00:21:34.040 --> 00:21:35.040]   One thing that.
[00:21:35.040 --> 00:21:36.040]   I've always thought is.
[00:21:36.040 --> 00:21:37.040]   And that.
[00:21:37.040 --> 00:21:38.040]   I think our church has practices.
[00:21:38.040 --> 00:21:39.040]   Hey.
[00:21:39.040 --> 00:21:40.040]   We don't want to.
[00:21:40.040 --> 00:21:41.040]   Like a flirtatious environment.
[00:21:41.040 --> 00:21:42.040]   So for me.
[00:21:42.040 --> 00:21:43.040]   It's like.
[00:21:43.040 --> 00:21:44.040]   That's fine.
[00:21:44.040 --> 00:21:45.040]   Like.
[00:21:45.040 --> 00:21:46.040]   It's.
[00:21:46.040 --> 00:21:47.040]   I mean.
[00:21:47.040 --> 00:21:48.040]   It's your life.
[00:21:48.040 --> 00:21:49.040]   I'm not.
[00:21:49.040 --> 00:21:50.040]   You're an adult.
[00:21:50.040 --> 00:21:51.040]   I'm not going to control you.
[00:21:51.040 --> 00:21:52.040]   But.
[00:21:52.040 --> 00:21:53.040]   If you come in.
[00:21:53.040 --> 00:21:54.040]   You start to like.
[00:21:54.040 --> 00:21:55.040]   Shift the atmosphere.
[00:21:55.040 --> 00:21:56.040]   And the culture of my.
[00:21:56.040 --> 00:21:57.040]   Of our group.
[00:21:57.040 --> 00:21:58.040]   Then it does sort of.
[00:21:58.040 --> 00:21:59.040]   Veer into the territory.
[00:21:59.040 --> 00:22:00.040]   Of like.
[00:22:00.040 --> 00:22:01.040]   Okay.
[00:22:01.040 --> 00:22:02.040]   Do I need to do something.
[00:22:02.040 --> 00:22:03.040]   About that.
[00:22:03.040 --> 00:22:04.040]   So.
[00:22:04.040 --> 00:22:05.040]   I'm just wondering.
[00:22:05.040 --> 00:22:06.040]   How have you guys.
[00:22:06.040 --> 00:22:07.040]   Thought about that.
[00:22:07.040 --> 00:22:08.040]   And like.
[00:22:08.040 --> 00:22:09.040]   What are some conclusions.
[00:22:09.040 --> 00:22:10.040]   Or.
[00:22:10.040 --> 00:22:11.040]   Kind of practices.
[00:22:11.040 --> 00:22:12.040]   That you've drawn.
[00:22:12.040 --> 00:22:12.040]   Hmm.
[00:22:12.040 --> 00:22:12.040]   Yeah.
[00:22:12.040 --> 00:22:13.040]   In our hearts.
[00:22:13.040 --> 00:22:14.040]   Yeah.
[00:22:14.040 --> 00:22:15.040]   As like.
[00:22:15.040 --> 00:22:16.040]   A ministering couple.
[00:22:16.040 --> 00:22:17.040]   Trying to.
[00:22:17.040 --> 00:22:18.040]   Help non-Christians.
[00:22:18.040 --> 00:22:19.040]   Come into an environment.
[00:22:19.040 --> 00:22:20.040]   Where they're not being distracted.
[00:22:20.040 --> 00:22:21.040]   By a lot of the.
[00:22:21.040 --> 00:22:22.040]   Kind of meat market.
[00:22:22.040 --> 00:22:23.040]   Kind of mentality.
[00:22:23.040 --> 00:22:24.040]   Where everybody's scoping.
[00:22:24.040 --> 00:22:25.040]   Everybody else out.
[00:22:25.040 --> 00:22:26.040]   Yeah.
[00:22:26.040 --> 00:22:27.040]   So.
[00:22:27.040 --> 00:22:28.040]   I mean.
[00:22:28.040 --> 00:22:29.040]   When we talk about.
[00:22:29.040 --> 00:22:30.040]   I guess.
[00:22:30.040 --> 00:22:31.040]   One of the reasons.
[00:22:31.040 --> 00:22:32.040]   Why we talk about it.
[00:22:32.040 --> 00:22:33.040]   On like.
[00:22:33.040 --> 00:22:34.040]   An annual basis.
[00:22:34.040 --> 00:22:35.040]   I guess.
[00:22:35.040 --> 00:22:36.040]   Is because.
[00:22:36.040 --> 00:22:37.040]   We want to talk about.
[00:22:37.040 --> 00:22:38.040]   How it affects.
[00:22:38.040 --> 00:22:39.040]   The culture.
[00:22:39.040 --> 00:22:40.040]   How it affects.
[00:22:40.040 --> 00:22:41.040]   The overall atmosphere.
[00:22:41.040 --> 00:22:42.040]   The reality that.
[00:22:42.040 --> 00:22:43.040]   We're interested in.
[00:22:43.040 --> 00:22:44.040]   Allowing anybody to hear.
[00:22:44.040 --> 00:22:45.040]   About the gospel.
[00:22:45.040 --> 00:22:46.040]   Yeah.
[00:22:46.040 --> 00:22:47.040]   Anybody and everybody.
[00:22:47.040 --> 00:22:48.040]   Who's.
[00:22:48.040 --> 00:22:49.040]   Who's desiring to.
[00:22:49.040 --> 00:22:50.040]   And.
[00:22:50.040 --> 00:22:51.040]   If you have.
[00:22:51.040 --> 00:22:52.040]   This atmosphere.
[00:22:52.040 --> 00:22:53.040]   Where people are like.
[00:22:53.040 --> 00:22:54.040]   Scoping each other out.
[00:22:54.040 --> 00:22:55.040]   Or there's lots of PDA.
[00:22:55.040 --> 00:22:56.040]   And then everybody's kind of yearning.
[00:22:56.040 --> 00:22:57.040]   And then everybody's kind of yearning.
[00:22:57.040 --> 00:22:58.040]   For that.
[00:22:58.040 --> 00:22:59.040]   How much of a distraction.
[00:22:59.040 --> 00:23:00.040]   That can become.
[00:23:00.040 --> 00:23:01.040]   From them being able to hear.
[00:23:01.040 --> 00:23:02.040]   From the word of God.
[00:23:02.040 --> 00:23:03.040]   Or from them.
[00:23:03.040 --> 00:23:04.040]   Even investigating.
[00:23:04.040 --> 00:23:05.040]   Because they feel like.
[00:23:05.040 --> 00:23:06.040]   They don't belong in.
[00:23:06.040 --> 00:23:07.040]   There's a.
[00:23:07.040 --> 00:23:08.040]   There's a testimonial.
[00:23:08.040 --> 00:23:09.040]   That we actually share.
[00:23:09.040 --> 00:23:10.040]   During the.
[00:23:10.040 --> 00:23:10.040]   I guess.
[00:23:10.040 --> 00:23:11.040]   The dating courtship talk.
[00:23:11.040 --> 00:23:12.040]   That we have.
[00:23:12.040 --> 00:23:13.040]   Where.
[00:23:13.040 --> 00:23:14.040]   There was a non-Christian guy.
[00:23:14.040 --> 00:23:15.040]   He wanted to check out church.
[00:23:15.040 --> 00:23:16.040]   He goes to his friends church.
[00:23:16.040 --> 00:23:18.040]   And then like.
[00:23:18.040 --> 00:23:19.040]   You know.
[00:23:19.040 --> 00:23:20.040]   His friends with him.
[00:23:20.040 --> 00:23:21.040]   But as soon as the girls arrive.
[00:23:21.040 --> 00:23:22.040]   He dips.
[00:23:22.040 --> 00:23:23.040]   Like.
[00:23:23.040 --> 00:23:24.040]   He's like.
[00:23:24.040 --> 00:23:25.040]   Standing there.
[00:23:25.040 --> 00:23:26.040]   By himself at church.
[00:23:26.040 --> 00:23:27.040]   He doesn't even know.
[00:23:27.040 --> 00:23:28.040]   What to do.
[00:23:28.040 --> 00:23:29.040]   Because it's church.
[00:23:29.040 --> 00:23:30.040]   You know.
[00:23:30.040 --> 00:23:31.040]   But basically.
[00:23:31.040 --> 00:23:32.040]   All the guys.
[00:23:32.040 --> 00:23:33.040]   Are like.
[00:23:33.040 --> 00:23:34.040]   Trying to get the attention.
[00:23:34.040 --> 00:23:35.040]   Of the girls.
[00:23:35.040 --> 00:23:36.040]   And the girls are interested.
[00:23:36.040 --> 00:23:37.040]   In getting attention.
[00:23:37.040 --> 00:23:38.040]   Of the guys.
[00:23:38.040 --> 00:23:39.040]   And then.
[00:23:39.040 --> 00:23:40.040]   So this new guys.
[00:23:40.040 --> 00:23:41.040]   Non-Christian.
[00:23:41.040 --> 00:23:42.040]   Wants to hear about the gospel.
[00:23:42.040 --> 00:23:43.040]   But he's like.
[00:23:43.040 --> 00:23:44.040]   This is not the place for me.
[00:23:44.040 --> 00:23:45.040]   Um.
[00:23:45.040 --> 00:23:46.040]   And so.
[00:23:46.040 --> 00:23:47.040]   As we kind of share.
[00:23:47.040 --> 00:23:48.040]   About testimonies like that.
[00:23:48.040 --> 00:23:49.040]   Or.
[00:23:49.040 --> 00:23:50.040]   Um.
[00:23:50.040 --> 00:23:51.040]   I think personally.
[00:23:51.040 --> 00:23:52.040]   We'll have conversations.
[00:23:52.040 --> 00:23:53.040]   With people.
[00:23:53.040 --> 00:23:54.040]   If we have enough relationship.
[00:23:54.040 --> 00:23:55.040]   With them.
[00:23:55.040 --> 00:23:56.040]   Like.
[00:23:56.040 --> 00:23:57.040]   Hey.
[00:23:57.040 --> 00:23:58.040]   Like.
[00:23:58.040 --> 00:23:59.040]   If you could cool it.
[00:23:59.040 --> 00:24:00.040]   A little bit.
[00:24:00.040 --> 00:24:01.040]   Because.
[00:24:01.040 --> 00:24:02.040]   Like.
[00:24:02.040 --> 00:24:03.040]   This is an area.
[00:24:03.040 --> 00:24:04.040]   That people are struggling with.
[00:24:04.040 --> 00:24:05.040]   And if they don't have that relationship.
[00:24:05.040 --> 00:24:06.040]   It can be distraction.
[00:24:06.040 --> 00:24:07.040]   For them.
[00:24:07.040 --> 00:24:08.040]   So we do actually.
[00:24:08.040 --> 00:24:09.040]   Have pretty straight up conversations.
[00:24:09.040 --> 00:24:10.040]   With people.
[00:24:10.040 --> 00:24:11.040]   But you know.
[00:24:11.040 --> 00:24:12.040]   In the end.
[00:24:12.040 --> 00:24:13.040]   Like.
[00:24:13.040 --> 00:24:14.040]   Like.
[00:24:14.040 --> 00:24:15.040]   People take it well.
[00:24:15.040 --> 00:24:16.040]   Yeah.
[00:24:16.040 --> 00:24:17.040]   On the whole.
[00:24:17.040 --> 00:24:18.040]   I think.
[00:24:18.040 --> 00:24:19.040]   Well.
[00:24:19.040 --> 00:24:20.040]   I don't know.
[00:24:20.040 --> 00:24:21.040]   I just.
[00:24:21.040 --> 00:24:22.040]   I feel like.
[00:24:22.040 --> 00:24:23.040]   Actually.
[00:24:23.040 --> 00:24:24.040]   Most people don't.
[00:24:24.040 --> 00:24:25.040]   Haven't thought about that.
[00:24:25.040 --> 00:24:26.040]   Yeah.
[00:24:26.040 --> 00:24:27.040]   We could see that.
[00:24:27.040 --> 00:24:28.040]   Yeah.
[00:24:28.040 --> 00:24:29.040]   Or atmosphere.
[00:24:29.040 --> 00:24:30.040]   Or those types of things.
[00:24:30.040 --> 00:24:31.040]   Yeah.
[00:24:31.040 --> 00:24:32.040]   Yeah.
[00:24:32.040 --> 00:24:33.040]   So like.
[00:24:33.040 --> 00:24:34.040]   As far as it goes.
[00:24:34.040 --> 00:24:35.040]   I don't.
[00:24:35.040 --> 00:24:36.040]   I don't ever remember that.
[00:24:36.040 --> 00:24:37.040]   Conversation.
[00:24:37.040 --> 00:24:38.040]   Not going well.
[00:24:38.040 --> 00:24:39.040]   I mean.
[00:24:39.040 --> 00:24:40.040]   It's pretty.
[00:24:40.040 --> 00:24:41.040]   Yeah.
[00:24:41.040 --> 00:24:42.040]   I don't know.
[00:24:42.040 --> 00:24:43.040]   Dating.
[00:24:43.040 --> 00:24:44.040]   You got to think about it.
[00:24:44.040 --> 00:24:45.040]   Be thoughtful about it.
[00:24:45.040 --> 00:24:46.040]   Be careful about it.
[00:24:46.040 --> 00:24:47.040]   If you're going to do it.
[00:24:47.040 --> 00:24:48.040]   You know.
[00:24:48.040 --> 00:24:49.040]   That's okay.
[00:24:49.040 --> 00:24:50.040]   But hey.
[00:24:50.040 --> 00:24:51.040]   Let's just do it like.
[00:24:51.040 --> 00:24:52.040]   In a classy way.
[00:24:52.040 --> 00:24:53.040]   Where it's not going to be distracting to the rest of the group.
[00:24:53.040 --> 00:24:54.040]   Yeah.
[00:24:54.040 --> 00:24:55.040]   And then I guess the other thing is like.
[00:24:55.040 --> 00:24:56.040]   I.
[00:24:56.040 --> 00:24:57.040]   You know.
[00:24:57.040 --> 00:24:58.040]   One thing I'm always.
[00:24:58.040 --> 00:25:00.040]   Trying to inspire college students to do.
[00:25:00.040 --> 00:25:02.040]   Is to see their campus.
[00:25:02.040 --> 00:25:03.040]   Christian college students.
[00:25:03.040 --> 00:25:04.040]   Yeah.
[00:25:04.040 --> 00:25:05.040]   See their campus as a harvest field.
[00:25:05.040 --> 00:25:06.040]   Mm-hmm.
[00:25:06.040 --> 00:25:07.040]   Um.
[00:25:07.040 --> 00:25:08.040]   There are so many people who.
[00:25:08.040 --> 00:25:09.040]   Just need love.
[00:25:09.040 --> 00:25:10.040]   Yeah.
[00:25:10.040 --> 00:25:11.040]   Lonely.
[00:25:11.040 --> 00:25:12.040]   You know.
[00:25:12.040 --> 00:25:13.040]   Just.
[00:25:13.040 --> 00:25:14.040]   Full of.
[00:25:14.040 --> 00:25:15.040]   Uh.
[00:25:15.040 --> 00:25:16.040]   Stuff that they don't even like or want.
[00:25:16.040 --> 00:25:17.040]   And just.
[00:25:17.040 --> 00:25:18.040]   They just need people to love them.
[00:25:18.040 --> 00:25:19.040]   And so.
[00:25:19.040 --> 00:25:20.040]   Um.
[00:25:20.040 --> 00:25:21.040]   Once.
[00:25:21.040 --> 00:25:22.040]   You know.
[00:25:22.040 --> 00:25:23.040]   Once people kind of really catch that vision.
[00:25:23.040 --> 00:25:24.040]   Like.
[00:25:24.040 --> 00:25:25.040]   Oh.
[00:25:25.040 --> 00:25:26.040]   Yeah.
[00:25:26.040 --> 00:25:27.040]   Man.
[00:25:27.040 --> 00:25:28.040]   My campus is a harvest field.
[00:25:28.040 --> 00:25:29.040]   Um.
[00:25:29.040 --> 00:25:30.040]   It actually just kind of naturally tends to.
[00:25:30.040 --> 00:25:31.040]   Like.
[00:25:31.040 --> 00:25:32.040]   They're interested in meeting people.
[00:25:32.040 --> 00:25:33.040]   Uh.
[00:25:33.040 --> 00:25:34.040]   Even during our Bible studies.
[00:25:34.040 --> 00:25:35.040]   Oh.
[00:25:35.040 --> 00:25:36.040]   Let me.
[00:25:36.040 --> 00:25:37.040]   Let me.
[00:25:37.040 --> 00:25:38.040]   Let me.
[00:25:38.040 --> 00:25:39.040]   Let me meet that person.
[00:25:39.040 --> 00:25:40.040]   Like.
[00:25:40.040 --> 00:25:41.040]   Maybe that's someone I can.
[00:25:41.040 --> 00:25:42.040]   Kind of love and minister.
[00:25:42.040 --> 00:25:43.040]   You know.
[00:25:43.040 --> 00:25:44.040]   To.
[00:25:44.040 --> 00:25:45.040]   Or something like that.
[00:25:45.040 --> 00:25:46.040]   So.
[00:25:46.040 --> 00:25:47.040]   I actually find that that kind of.
[00:25:47.040 --> 00:25:48.040]   Really.
[00:25:48.040 --> 00:25:49.040]   Like.
[00:25:49.040 --> 00:25:50.040]   Not.
[00:25:50.040 --> 00:25:51.040]   Not.
[00:25:51.040 --> 00:25:52.040]   In order to.
[00:25:52.040 --> 00:25:53.040]   Interaction.
[00:25:53.040 --> 00:25:54.040]   In this space.
[00:25:54.040 --> 00:25:55.040]   Just with.
[00:25:55.040 --> 00:25:56.040]   My girlfriend.
[00:25:56.040 --> 00:25:57.040]   Because here's a space where I can actually.
[00:25:57.040 --> 00:25:58.040]   Like.
[00:25:58.040 --> 00:25:59.040]   Be an older brother to someone.
[00:25:59.040 --> 00:26:00.040]   And.
[00:26:00.040 --> 00:26:01.040]   Get to know someone.
[00:26:01.040 --> 00:26:02.040]   And love someone.
[00:26:02.040 --> 00:26:03.040]   You know.
[00:26:03.040 --> 00:26:03.040]   So.
[00:26:03.040 --> 00:26:04.040]   So.
[00:26:04.040 --> 00:26:05.040]   Like.
[00:26:05.040 --> 00:26:06.040]   Help with the atmosphere.
[00:26:06.040 --> 00:26:07.040]   Yeah.
[00:26:07.040 --> 00:26:08.040]   Of people caring about each other.
[00:26:08.040 --> 00:26:09.040]   In that space.
[00:26:09.040 --> 00:26:10.040]   I like that.
[00:26:10.040 --> 00:26:11.040]   Going back to what you were saying earlier about.
[00:26:11.040 --> 00:26:12.040]   See.
[00:26:12.040 --> 00:26:13.040]   You kind of.
[00:26:13.040 --> 00:26:14.040]   You leave it the ball in their court.
[00:26:14.040 --> 00:26:15.040]   Whether they want.
[00:26:15.040 --> 00:26:16.040]   I guess.
[00:26:16.040 --> 00:26:17.040]   Kind of mentorship.
[00:26:17.040 --> 00:26:18.040]   In this area.
[00:26:18.040 --> 00:26:19.040]   If they are dating.
[00:26:19.040 --> 00:26:20.040]   Some guidance.
[00:26:20.040 --> 00:26:21.040]   And some mentorship.
[00:26:21.040 --> 00:26:22.040]   What are some tips.
[00:26:22.040 --> 00:26:23.040]   That you've given them.
[00:26:23.040 --> 00:26:24.040]   Or some tools.
[00:26:24.040 --> 00:26:25.040]   What do you guys do with that.
[00:26:25.040 --> 00:26:26.040]   Yeah.
[00:26:26.040 --> 00:26:27.040]   Okay.
[00:26:27.040 --> 00:26:28.040]   Huh.
[00:26:28.040 --> 00:26:29.040]   Um.
[00:26:29.040 --> 00:26:30.040]   Dude.
[00:26:30.040 --> 00:26:31.040]   There are a couple books that I always recommend.
[00:26:31.040 --> 00:26:32.040]   I think.
[00:26:32.040 --> 00:26:33.040]   Outdated by.
[00:26:33.040 --> 00:26:34.040]   Jonathan Pucuta is good.
[00:26:34.040 --> 00:26:35.040]   It's a good one.
[00:26:35.040 --> 00:26:36.040]   Um.
[00:26:36.040 --> 00:26:37.040]   I really like the meaning of marriage.
[00:26:37.040 --> 00:26:38.040]   By Tim Keller.
[00:26:38.040 --> 00:26:39.040]   Uh.
[00:26:39.040 --> 00:26:40.040]   Cause I think it kind of.
[00:26:40.040 --> 00:26:41.040]   Brings out the goal.
[00:26:41.040 --> 00:26:42.040]   Like the goal is marriage.
[00:26:42.040 --> 00:26:43.040]   And here's the kind of marriage you want to.
[00:26:43.040 --> 00:26:44.040]   Have.
[00:26:44.040 --> 00:26:46.040]   And if that's the kind of marriage you want to have.
[00:26:46.040 --> 00:26:47.040]   Then that sort of.
[00:26:47.040 --> 00:26:48.040]   Helps you.
[00:26:48.040 --> 00:26:49.040]   Determine.
[00:26:49.040 --> 00:26:50.040]   The kind of dating.
[00:26:50.040 --> 00:26:51.040]   You want to do.
[00:26:51.040 --> 00:26:52.040]   Yeah.
[00:26:52.040 --> 00:26:54.040]   And then the kind of people you want to date.
[00:26:54.040 --> 00:26:55.040]   Um.
[00:26:55.040 --> 00:26:56.040]   And then like.
[00:26:56.040 --> 00:26:57.040]   One.
[00:26:57.040 --> 00:26:59.040]   I guess one just very practical thing.
[00:26:59.040 --> 00:27:00.040]   That I.
[00:27:00.040 --> 00:27:01.040]   I tell a lot of people is.
[00:27:01.040 --> 00:27:03.040]   One of the best ways to.
[00:27:03.040 --> 00:27:04.040]   Know someone.
[00:27:04.040 --> 00:27:07.040]   Is.
[00:27:07.040 --> 00:27:08.040]   To.
[00:27:08.040 --> 00:27:10.040]   Observe their relationships.
[00:27:10.040 --> 00:27:11.040]   Um.
[00:27:11.040 --> 00:27:13.040]   This is too strongly stated.
