
[00:00:00.000 --> 00:00:01.200]   - Yeah.
[00:48:16.580 --> 00:48:17.700]   I always hit right and left.
[00:48:17.700 --> 00:48:19.780]   So right goes to the end of a section.
[00:48:19.780 --> 00:48:21.620]   Left goes to the start.
[00:48:21.620 --> 00:48:23.460]   Left again to close it up.
[00:48:23.460 --> 00:48:26.620]   Left again to go to the start of the super section.
[00:48:26.620 --> 00:48:28.700]   Left again to close that up.
[00:48:28.700 --> 00:48:31.780]   So that's collapsible headings, which is super handy.
[00:48:31.780 --> 00:48:35.140]   And the other one that's super handy is TOC2.
[00:48:35.980 --> 00:48:39.020]   Table of contents.
[00:48:39.020 --> 00:48:41.700]   And you can configure that in various different ways,
[00:48:41.700 --> 00:48:44.100]   but the main thing I find useful
[00:48:44.100 --> 00:48:49.380]   is that I get this nice navigate menu
[00:48:49.380 --> 00:48:50.800]   to jump straight to anything,
[00:48:50.800 --> 00:48:53.260]   which gives me the same functionality
[00:48:53.260 --> 00:48:56.780]   as I have in the documentation
[00:48:56.780 --> 00:48:59.620]   that gives me these table of contents.
[00:49:03.340 --> 00:49:05.220]   Which is probably gonna be easier to see
[00:49:05.220 --> 00:49:06.980]   if I look at the tutorial.
[00:49:06.980 --> 00:49:09.100]   Oops, that should be last AI.
[00:49:09.100 --> 00:49:14.520]   Yeah, nbdev, great.
[00:49:14.520 --> 00:49:19.060]   So the contents is automatically created.
[00:49:19.060 --> 00:49:21.540]   So I don't need it in Jekyll.
[00:49:21.540 --> 00:49:25.500]   Okay.
[00:49:25.500 --> 00:49:29.540]   So yeah, finally, I don't know,
[00:49:29.540 --> 00:49:31.100]   it's often just helpful to see
[00:49:31.100 --> 00:49:36.100]   how things have already been written in another context.
[00:49:36.100 --> 00:49:40.140]   And so going and having a look at the nbdev notebooks,
[00:49:40.140 --> 00:49:42.580]   all that functionality you've seen is just in
[00:49:42.580 --> 00:49:46.780]   one, two, three, four, five, six, seven, eight notebooks.
[00:49:46.780 --> 00:49:48.280]   And like, for example,
[00:49:48.280 --> 00:49:53.180]   have a look at our export, right?
[00:49:53.180 --> 00:49:55.300]   And it kind of gives you a sense
[00:49:55.300 --> 00:49:57.700]   of how we go about programming.
[00:49:59.320 --> 00:50:01.880]   You can see like it starts with like,
[00:50:01.880 --> 00:50:02.900]   what's a notebook?
[00:50:02.900 --> 00:50:07.100]   A notebook is JSON.
[00:50:07.100 --> 00:50:09.820]   So here's something like starts right at step one.
[00:50:09.820 --> 00:50:11.900]   So like, if you're trying to understand all the detail
[00:50:11.900 --> 00:50:14.820]   of how nbdev works, then start here,
[00:50:14.820 --> 00:50:16.620]   because you can see the very first bit,
[00:50:16.620 --> 00:50:19.660]   which is where we actually read the JSON of a notebook.
[00:50:19.660 --> 00:50:21.900]   And then you can see it's created a dict
[00:50:21.900 --> 00:50:24.060]   and here's the keys of the dict.
[00:50:24.060 --> 00:50:28.020]   And here's an example of the metadata and so forth.
[00:50:28.020 --> 00:50:31.160]   So kind of, we kind of try to write,
[00:50:31.160 --> 00:50:32.820]   this is how we explore, right?
[00:50:32.820 --> 00:50:35.060]   Is when we start, when we started this,
[00:50:35.060 --> 00:50:37.620]   we didn't know much about what a notebook is
[00:50:37.620 --> 00:50:39.220]   in terms of how it was formatted.
[00:50:39.220 --> 00:50:41.500]   So as we started building the functions to read it
[00:50:41.500 --> 00:50:46.180]   and explore it, that became part of the documentation
[00:50:46.180 --> 00:50:47.740]   and part of the process.
[00:50:47.740 --> 00:50:49.900]   And so then you can also see that the checks
[00:50:49.900 --> 00:50:52.920]   that we did along the way as we tried to build something
[00:50:52.920 --> 00:50:55.740]   to test whether a cell has some particular
[00:50:55.740 --> 00:50:58.020]   or expression and so forth.
[00:50:58.020 --> 00:51:01.160]   So yeah, and then as you go along,
[00:51:01.160 --> 00:51:04.120]   you might see, you know, other little things
[00:51:04.120 --> 00:51:06.380]   which we haven't described like default class level.
[00:51:06.380 --> 00:51:08.100]   And then you can go and search the documentation
[00:51:08.100 --> 00:51:09.500]   to find out what they are.
[00:51:09.500 --> 00:51:13.140]   And wow, that was good timing.
[00:51:13.140 --> 00:51:14.980]   That was exactly an hour.
[00:51:14.980 --> 00:51:17.940]   Any things you guys wanted to mention?
[00:51:17.940 --> 00:51:18.900]   Anything we missed?
[00:51:18.900 --> 00:51:19.860]   Any questions?
[00:51:19.860 --> 00:51:22.900]   - I had one question.
[00:51:22.900 --> 00:51:25.500]   I know that you work in a notebook
[00:51:25.500 --> 00:51:28.220]   and then using these compile tools essentially,
[00:51:28.220 --> 00:51:29.900]   you can generate a Python module.
[00:51:29.900 --> 00:51:31.700]   It's like what you would have if you'd worked
[00:51:31.700 --> 00:51:34.160]   with a traditional text editor or an ID.
[00:51:34.160 --> 00:51:35.940]   But people already have tool choices
[00:51:35.940 --> 00:51:37.520]   that they're comfortable with.
[00:51:37.520 --> 00:51:39.780]   Let's say you do that and then you want to go in
[00:51:39.780 --> 00:51:42.900]   and make a change directly to the Python code
[00:51:42.900 --> 00:51:43.740]   that's been generated.
[00:51:43.740 --> 00:51:45.300]   How do you get the change back into the notebook?
[00:51:45.300 --> 00:51:47.640]   Is that always a manual process?
[00:51:47.640 --> 00:51:48.820]   - Not at all.
[00:51:48.820 --> 00:51:51.540]   So that's a really good point.
[00:51:51.540 --> 00:51:56.540]   And we encourage people where possible
[00:51:56.540 --> 00:52:01.600]   where appropriate to edit things in the notebook.
[00:52:01.600 --> 00:52:03.580]   And the reason for that is that in the notebook,
[00:52:03.580 --> 00:52:05.500]   you can see that context.
[00:52:05.500 --> 00:52:07.620]   There's a pros about why is it done this way
[00:52:07.620 --> 00:52:08.860]   or what else did we try?
[00:52:08.860 --> 00:52:10.660]   You can see the tests right next to it.
[00:52:10.660 --> 00:52:13.220]   You can explore to make sure the change you made
[00:52:13.220 --> 00:52:15.860]   really is working the way you thought it was.
[00:52:15.860 --> 00:52:20.460]   But sometimes there's extremely good reasons
[00:52:20.460 --> 00:52:25.460]   to modify the actual Python files.
[00:52:25.460 --> 00:52:32.880]   And so in particular,
[00:52:32.880 --> 00:52:39.100]   when you're kind of starting to find your way
[00:52:39.100 --> 00:52:40.500]   around something,
[00:52:40.500 --> 00:52:47.320]   it can be really helpful to use kind of the tags features,
[00:52:47.320 --> 00:52:48.160]   for example.
[00:52:48.160 --> 00:52:49.580]   So if I'm reading through this and I'm like,
[00:52:49.580 --> 00:52:51.600]   oh, what's say hello do?
[00:52:51.600 --> 00:52:54.180]   And so I'd like in VMI hit control right square bracket
[00:52:54.180 --> 00:52:56.460]   to jump straight to the definition of say hello.
[00:52:56.460 --> 00:52:58.020]   And obviously, particularly across files,
[00:52:58.020 --> 00:52:59.100]   this is really useful.
[00:52:59.100 --> 00:53:01.780]   And then maybe you just want to explore
[00:53:01.780 --> 00:53:05.660]   by like adding the print statement somewhere,
[00:53:05.660 --> 00:53:09.580]   or maybe you find like a typo in a doc string.
[00:53:09.580 --> 00:53:11.300]   So there's no particular point to go
[00:53:11.300 --> 00:53:13.060]   all the way back to the notebook.
[00:53:13.060 --> 00:53:16.140]   So let's say we do that.
[00:53:19.300 --> 00:53:21.780]   Anybody at all?
[00:53:21.780 --> 00:53:23.180]   All right, so I've only changed the doc string.
[00:53:23.180 --> 00:53:26.860]   So there's no particular point to go back to the notebook,
[00:53:26.860 --> 00:53:29.380]   but I would like to now have that be modified
[00:53:29.380 --> 00:53:31.260]   in the notebook as well.
[00:53:31.260 --> 00:53:36.260]   So to do that, I just type nb dev update lib instead
[00:53:36.260 --> 00:53:37.420]   of build lib.
[00:53:37.420 --> 00:53:40.540]   And so that will modify the notebook
[00:53:40.540 --> 00:53:43.840]   to match the changed module.
[00:53:43.840 --> 00:53:46.100]   So if we now go back to oocor,
[00:53:46.100 --> 00:53:51.100]   there is the change.
[00:53:51.100 --> 00:53:57.820]   Now, this is not for doing like major refactorings and stuff.
[00:53:57.820 --> 00:54:04.380]   It's kind of, you can only do small changes.
[00:54:04.380 --> 00:54:07.020]   It's relying on these special cell comments
[00:54:07.020 --> 00:54:08.500]   to kind of know where cells are
[00:54:08.500 --> 00:54:11.100]   and to be able to find the right place to change.
[00:54:11.100 --> 00:54:13.820]   But for little changes like that, it'll work fine.
[00:54:14.660 --> 00:54:17.000]   Yes, the main thing is, as long as you don't want
[00:54:17.000 --> 00:54:19.280]   to add a new cell, it's gonna work.
[00:54:19.280 --> 00:54:20.960]   But that's the only limitation.
[00:54:20.960 --> 00:54:23.240]   - Yep.
[00:54:23.240 --> 00:54:26.040]   Anything else?
[00:54:26.040 --> 00:54:28.240]   - And to complete what you just said,
[00:54:28.240 --> 00:54:30.840]   if at any point you want to see the diff
[00:54:30.840 --> 00:54:32.480]   between the notebooks and the library,
[00:54:32.480 --> 00:54:36.740]   there is a command for that, which is nb dev diff
[00:54:36.740 --> 00:54:39.760]   or something, we've stopped complete.
[00:54:39.760 --> 00:54:44.360]   I named them, but I forgot all the names.
[00:54:44.360 --> 00:54:47.340]   So let's say we want to go back to what we had before.
[00:54:47.340 --> 00:54:53.320]   nb dev diff nb's.
[00:54:53.320 --> 00:54:54.280]   - Diff nb's, yeah.
[00:54:54.280 --> 00:54:57.480]   - And so you can see this is the difference
[00:54:57.480 --> 00:55:01.480]   between the notebook and the module.
[00:55:01.480 --> 00:55:08.140]   And this is run automatically when you push.
[00:55:08.140 --> 00:55:11.360]   And so if there's a difference, it'll tell you so.
[00:55:12.760 --> 00:55:15.600]   And so one obvious way to fix that is just to run
[00:55:15.600 --> 00:55:19.800]   nb dev build lib, for instance.
[00:55:19.800 --> 00:55:22.360]   And then there won't be a difference anymore.
[00:55:22.360 --> 00:55:25.100]   Well, that's an impressive.
[00:55:25.100 --> 00:55:30.400]   - Down to the kernel there.
[00:55:30.400 --> 00:55:31.400]   - What just happened?
[00:55:31.400 --> 00:55:34.960]   That's terrifying.
[00:55:34.960 --> 00:55:36.280]   Did my whole machine just blow up
[00:55:36.280 --> 00:55:38.120]   when we were chatting here or something?
[00:55:38.120 --> 00:55:40.800]   That was weird.
[00:55:40.800 --> 00:55:43.600]   I mean, get cwd, no such file or directory.
[00:55:43.600 --> 00:55:45.760]   Wow, oh, I see what happened.
[00:55:45.760 --> 00:55:48.960]   I said nb dev build lib when I was inside the lib.
[00:55:48.960 --> 00:55:51.760]   So the directory I was in had just got replaced
[00:55:51.760 --> 00:55:54.280]   by a new directory and didn't exist anymore.
[00:55:54.280 --> 00:55:56.240]   I don't quite know what that's got to do with the MKL,
[00:55:56.240 --> 00:55:58.860]   but it's all good.
[00:55:58.860 --> 00:56:02.960]   Right.
[00:56:02.960 --> 00:56:04.320]   Okay, anything else?
[00:56:04.320 --> 00:56:08.120]   - I think I just want to pull things together
[00:56:08.120 --> 00:56:09.020]   to make sure I understood one thing.
[00:56:09.020 --> 00:56:11.640]   It sounds like there's a set of conventions
[00:56:11.640 --> 00:56:14.240]   that you need to follow for this to work,
[00:56:14.240 --> 00:56:16.060]   but they're pretty straightforward.
[00:56:16.060 --> 00:56:19.560]   Basic one is that the project becomes a package,
[00:56:19.560 --> 00:56:21.540]   the notebooks become modules.
[00:56:21.540 --> 00:56:24.880]   It's advisable, maybe necessary, I'm not sure about that,
[00:56:24.880 --> 00:56:26.520]   that the notebooks be named
[00:56:26.520 --> 00:56:28.960]   with this number prefixing convention.
[00:56:28.960 --> 00:56:30.960]   - I'm not sure the number prefixing is necessary.
[00:56:30.960 --> 00:56:33.040]   The fact that they match the name
[00:56:33.040 --> 00:56:38.040]   with the modules and documentations is necessary.
[00:56:38.040 --> 00:56:44.040]   The numbers is just a recommendation, I think.
[00:56:44.040 --> 00:56:46.760]   - A lot of the names that need to be aligned
[00:56:46.760 --> 00:56:50.440]   could be, are specified in the settings on any file.
[00:56:50.440 --> 00:56:52.440]   And then there's also a special markdown cell
[00:56:52.440 --> 00:56:55.340]   which needs to be set up in a certain way
[00:56:55.340 --> 00:56:57.280]   that has an h1 header, a quote,
[00:56:57.280 --> 00:56:59.280]   and then possibly text afterwards.
[00:56:59.280 --> 00:57:01.080]   - You could, if you don't have that,
[00:57:01.080 --> 00:57:04.320]   it'll just mean that you'll have some default
[00:57:04.320 --> 00:57:07.280]   or you won't have a proper title and stuff.
[00:57:07.280 --> 00:57:09.200]   - All right, so that just affects how the docs look.
[00:57:09.200 --> 00:57:10.800]   That's not something where it's parsed.
[00:57:10.800 --> 00:57:13.360]   - The default exp is necessary.
[00:57:13.360 --> 00:57:15.480]   Now that I think about it, I don't know why it's necessary
[00:57:15.480 --> 00:57:18.560]   because we should be able to just grab it from the name.
[00:57:18.560 --> 00:57:19.780]   Maybe by the time you're watching this,
[00:57:19.780 --> 00:57:21.760]   that will be fixed.
[00:57:21.760 --> 00:57:24.320]   - It's just because sometimes you have notebooks
[00:57:24.320 --> 00:57:25.760]   that are not exported at all.
[00:57:25.760 --> 00:57:27.160]   So you need a way to--
[00:57:27.160 --> 00:57:28.480]   - Yeah, that makes sense.
[00:57:28.480 --> 00:57:29.720]   - Oh yeah, and then there's a convention
[00:57:29.720 --> 00:57:32.280]   around underscore notebooks not being exported.
[00:57:32.280 --> 00:57:36.320]   And in terms of what someone would need to use this,
[00:57:36.320 --> 00:57:39.960]   you need to have stuff like Python assault, obviously,
[00:57:39.960 --> 00:57:42.160]   but you need Jekyll installed
[00:57:42.160 --> 00:57:45.240]   to do the document generation locally.
[00:57:45.240 --> 00:57:50.000]   This thing called Twine, it's also part of the--
[00:57:50.000 --> 00:57:53.280]   - You can store Twine in order to push to PayPal.
[00:57:53.280 --> 00:57:56.320]   Other than those, everything is automatically installed
[00:57:56.320 --> 00:57:58.480]   when you pip install mbdev.
[00:57:59.600 --> 00:58:00.440]   - Okay.
[00:58:00.440 --> 00:58:05.640]   - Including Jupyter, which,
[00:58:05.640 --> 00:58:08.880]   but if you've installed from Anaconda,
[00:58:08.880 --> 00:58:11.440]   that'll be installed for you anyway.
[00:58:11.440 --> 00:58:13.920]   - And in terms of the key mechanics of interaction,
[00:58:13.920 --> 00:58:16.240]   there's a set of build tools for building the load,
[00:58:16.240 --> 00:58:17.480]   for building the docs.
[00:58:17.480 --> 00:58:22.320]   There's a make file for like bumping versions
[00:58:22.320 --> 00:58:23.480]   and uploading docs.
[00:58:23.480 --> 00:58:24.980]   And then within the notebooks themselves,
[00:58:24.980 --> 00:58:27.160]   there's hide, which means don't put it in the module
[00:58:27.160 --> 00:58:28.000]   or the docs.
[00:58:28.000 --> 00:58:29.560]   There's export, which means put it in the module
[00:58:29.560 --> 00:58:30.840]   and the docs.
[00:58:30.840 --> 00:58:31.680]   There's nothing at all,
[00:58:31.680 --> 00:58:33.160]   which means only put it in the docs.
[00:58:33.160 --> 00:58:35.120]   And then there's export s or exports,
[00:58:35.120 --> 00:58:38.520]   which means put the code as well as the--
[00:58:38.520 --> 00:58:40.040]   - Yeah, the export code.
[00:58:40.040 --> 00:58:44.360]   - As well as the export in the docs in the module.
[00:58:44.360 --> 00:58:45.320]   - Right, exactly.
[00:58:45.320 --> 00:58:49.760]   - Just wanna make sure I had the essentials right.
[00:58:49.760 --> 00:58:52.000]   - No, that's very helpful, thank you.
[00:58:52.000 --> 00:58:52.840]   Okay.
[00:58:52.840 --> 00:58:54.680]   Thanks, Kang.
[00:58:54.680 --> 00:58:58.800]   See you next time we do a thrilling tutorial.
[00:58:58.800 --> 00:58:59.640]   - Awesome.
[00:58:59.640 --> 00:59:00.460]   - All right.
[00:59:00.460 --> 00:59:01.460]   - See you.
[00:59:01.460 --> 00:59:02.300]   - Bye.
[00:59:02.300 --> 00:59:12.300]   [BLANK_AUDIO]

