
[00:00:00.000 --> 00:00:05.000]   The following is a conversation with Jack Weatherford, anthropologist and historian
[02:15:01.260 --> 02:15:09.900]   know these spirits in China. It took a long time. And so gradually Chinggis Khan, he kind of moved from
[02:15:09.900 --> 02:15:15.820]   just the spirit of the mountain that he worshiped, which remained his main focus of worship his whole
[02:15:15.820 --> 02:15:22.860]   life. He removed that to the sky. That was the one universal spirit. It was everywhere in the world. The
[02:15:22.860 --> 02:15:29.180]   sky was the same for every people. And so for the Mongolians in their language, the word for sky,
[02:15:29.180 --> 02:15:35.260]   and the word for heaven, and the word for God, and the word for weather, are all the same.
[02:15:35.260 --> 02:15:42.300]   Tenggir, Tenggir. And so, or mongkukh Tenggir in the case of the eternal sky,
[02:15:42.300 --> 02:15:45.420]   when they're talking about it in their religious terms, the eternal blue sky.
[02:15:46.700 --> 02:15:55.820]   So he became more universalistic in this animist vision of the world. And so then the sky could
[02:15:55.820 --> 02:16:01.820]   embrace all religions, all religions. And all people were trying to attain the same
[02:16:01.820 --> 02:16:07.900]   form of enlightenment. Well, enlightenment is too specific a word. But the same form of moral life
[02:16:07.900 --> 02:16:15.820]   and guidance from the sky. He felt that each person knew morality. Each person could communicate and know
[02:16:15.820 --> 02:16:20.940]   morality within themselves. They didn't have to just be taught it by somebody from a book.
[02:16:20.940 --> 02:16:27.740]   And in fact, as one of his grandson, Monkhan, said, "You people," talking to all the others,
[02:16:27.740 --> 02:16:33.420]   to the Christians, the Jews, the Muslims, the Taoists, he said, "You people have your scriptures,
[02:16:33.420 --> 02:16:38.060]   and you don't live by them. We have our spirits, and our shamans, and our drums,
[02:16:38.060 --> 02:16:41.100]   and we live by them." And I think it's true.
[02:16:41.100 --> 02:16:47.660]   It's just, throughout this conversation, it's just blowing my mind that the kid from the Mongol step
[02:16:47.660 --> 02:16:54.700]   that lost everything, right? Lost, just had the hardest of lives, is now,
[02:16:57.180 --> 02:17:06.300]   yes, a military genius, but also this kind of sage-type character to understand the value of
[02:17:06.300 --> 02:17:12.380]   religious freedom. I mean, there is a cynical way to see all these things, because he did awfully
[02:17:12.380 --> 02:17:20.140]   a lot of things that look like he's a feminist. And you're saying, "Well, the cynical way to see that is
[02:17:20.140 --> 02:17:25.580]   what he saw the value of promoting women in positions of power, because they create a more stable
[02:17:25.580 --> 02:17:32.140]   society." And there's less power struggles, all that. But the reality is, there's a lot of things
[02:17:32.140 --> 02:17:36.220]   that look awfully progressive about the things he's implemented, and they stayed.
[02:17:36.220 --> 02:17:41.420]   I'm not trying to say it in modern terms. When you have one million people, you've got to use
[02:17:41.420 --> 02:17:47.020]   every one. And the men are fighting, and so he left women to administer a lot of things inside the
[02:17:47.020 --> 02:17:53.900]   country, the economy in particular, and then in some of the ancillary Turkic kingdoms around the Mongols,
[02:17:53.900 --> 02:18:00.380]   such as the Angud, the Tar-Harlek, and different Mongols, and the Uyghur even, were administered by
[02:18:00.380 --> 02:18:06.940]   his daughters primarily. And then his wives were in charge of administering the land of Mongolia itself,
[02:18:06.940 --> 02:18:14.540]   and handling the economy. So he was using the women, but in a very practical way. But it wasn't
[02:18:14.540 --> 02:18:20.860]   necessarily in our ideological way. I think it's the same with the environment. I'm not trying to say he was
[02:18:20.860 --> 02:18:26.620]   environmentalist in our modern way. But he passed very strict laws about the use of water,
[02:18:26.620 --> 02:18:34.220]   and also about not using water, that you couldn't move water into an area to irrigate it. That was
[02:18:34.220 --> 02:18:39.260]   violating the earth and violating the water. So they think, I mean, a lot of the historians, they think
[02:18:39.260 --> 02:18:44.540]   the Mongols are so stupid, they let the irrigation system be destroyed. No, it takes more work to destroy an
[02:18:44.540 --> 02:18:50.140]   irrigation system than it does to create it. They destroyed those systems out of a policy. And that
[02:18:50.140 --> 02:18:58.220]   was, this is going to return to pasture land. Kublai Khan was the one who changed that actually, and then
[02:18:58.220 --> 02:19:04.940]   started allowing for more irrigation and the movement of water and things. But Genghis Khan, we can't use
[02:19:04.940 --> 02:19:11.660]   these modern terms of human rights crusader, or I'm trying to say he's the Democrat, the modern sense,
[02:19:11.660 --> 02:19:17.980]   or environmentalist, or a feminist. But all of this was a part of it. Another part was the protection of
[02:19:17.980 --> 02:19:26.060]   envoys. He said, "Every envoy, every ambassador, every messenger is protected from arrest, from torture,
[02:19:26.060 --> 02:19:36.780]   and from killing. And if you kill one of ours, we will wipe you out." And in 1240, that was the
[02:19:36.780 --> 02:19:42.140]   destruction of Kiev. This is after Genghis Khan already. You know, there's Agude Khan, his son,
[02:19:42.140 --> 02:19:50.220]   the happy drunk. Agude Khan's army had come there under Subodai, the greatest general in the history of the
[02:19:50.220 --> 02:19:54.620]   world, I would say, Subodai, a person who's not Subodai. It was Genghis Khan, who was for the
[02:19:54.620 --> 02:19:59.980]   military part. He was the greatest strategist for organizing everything together. But the military
[02:19:59.980 --> 02:20:05.420]   part was Subodai. So Subodai had been there. And they sent in an ambassador who happened to be a woman.
[02:20:05.420 --> 02:20:12.460]   Now, some of the Western sources say a daughter of Genghis Khan. I have no evidence of that, and I don't
[02:20:12.460 --> 02:20:17.500]   quite believe it, but maybe she was kin to him or something. Some say she was a daughter of Genghis Khan.
[02:20:17.500 --> 02:20:22.380]   Others say she was a witch. The people of Kiev decided she was a witch and killed her.
[02:20:22.380 --> 02:20:31.900]   Okay. That's it. That's it. Kiev was destroyed for killing a Mongol envoy.
[02:20:31.900 --> 02:20:34.780]   The envoy is a method of communication.
[02:20:34.780 --> 02:20:35.100]   Yes.
[02:20:35.100 --> 02:20:35.980]   In diplomacy.
[02:20:35.980 --> 02:20:36.300]   Yes.
[02:20:36.300 --> 02:20:41.900]   And so, if you destroy that method of communication or disrespect it in any way.
[02:20:41.900 --> 02:20:43.020]   Right. Exactly.
[02:20:43.020 --> 02:20:44.940]   And that sends a signal to everybody else.
[02:20:44.940 --> 02:20:45.260]   Yes.
[02:20:45.260 --> 02:20:48.300]   You send an envoy. You respect it.
[02:20:48.300 --> 02:20:53.740]   That's why these plans, I say that the making of the modern world, most of the ideas have,
[02:20:53.740 --> 02:20:59.740]   we accept the idea we don't do the practice. All of us accept today diplomatic freedom. Diplomats
[02:20:59.740 --> 02:21:06.220]   are killed around the world yearly. We accept the idea of female equality and emancipation of every way.
[02:21:06.220 --> 02:21:09.500]   But in fact, they're enslaved in many parts of the world today.
[02:21:10.700 --> 02:21:17.340]   We accept the idea of religious freedom. Oh, but not those people. That's not – theirs isn't good.
[02:21:17.340 --> 02:21:23.420]   Their religion isn't right. But our religion, we will tolerate them, but they got to be more like – no.
[02:21:23.420 --> 02:21:30.220]   We only say these things, but the world still hasn't achieved some – and he did achieve these within his
[02:21:30.220 --> 02:21:33.420]   empire in his time. He achieved those.
[02:21:33.420 --> 02:21:41.020]   So one of the things we've mentioned, but I think is really, really fascinating and maybe an immeasurable
[02:21:41.020 --> 02:21:48.940]   impact that Genghis Khan had is on trade. And you could say a lot of stuff, but basically establishing
[02:21:48.940 --> 02:21:56.940]   a unified trade network that spanned I don't know how many thousands of kilometers. And there's a lot
[02:21:56.940 --> 02:22:06.140]   of interesting things that were done to enable that trade. One is providing safety and security of not
[02:22:06.140 --> 02:22:12.540]   just the envoys, like we mentioned, for communication in the military context, but for the merchants.
[02:22:12.540 --> 02:22:20.060]   Can you speak to what Genghis Khan did for the trade network connected to the Silk Road, as an example?
[02:22:20.060 --> 02:22:24.620]   Nomads in general are interested in trade. And throughout most of history, they have been
[02:22:24.620 --> 02:22:30.860]   the traders who carried the goods from one city to another, one oasis to another. And so the Mongols
[02:22:30.860 --> 02:22:36.940]   were also extremely interested and extremely dependent. They could create very little in their home country.
[02:22:36.940 --> 02:22:42.140]   They couldn't grow hardly anything, and they didn't have the technological skills for most of the crafts.
[02:22:42.140 --> 02:22:50.620]   So they're very dependent on trade. Well, they raised the status of merchants very high. This was
[02:22:50.620 --> 02:22:56.060]   particularly a problem in the Chinese world. It wasn't so much in the Christian or the Muslim world,
[02:22:56.060 --> 02:23:01.420]   but certainly in the Chinese world where merchants were considered extremely low. And all of a sudden,
[02:23:01.420 --> 02:23:08.140]   he raises them up above scholars. They're going to have certain rights. For example, they get to be taxed
[02:23:08.140 --> 02:23:14.300]   one time. Whatever the national tax is, that's it. They're not taxed every time they stop in some new
[02:23:14.300 --> 02:23:24.700]   town. And he created a set of what we would call rest houses or recuperation centers where they could get
[02:23:24.700 --> 02:23:31.900]   fresh horses. They could get food. They could deposit their money and get paper receipts that could be
[02:23:31.900 --> 02:23:37.580]   used anywhere in the empire. They were guaranteed protection. If they had to pass to an area where
[02:23:37.580 --> 02:23:45.900]   it might be dangerous, then a small group, a squad of men and horses would go with them. So trade was
[02:23:45.900 --> 02:23:53.420]   extremely important. And then the Mongols, they also, they supported trade in a very odd way. And that is,
[02:23:53.420 --> 02:23:58.940]   the merchants would come in and they would ask for an outrageous price for some goods, you know, much
[02:23:58.940 --> 02:24:05.100]   more than they should get, waiting for the Mongols to bargain them down. And the Mongols would say,
[02:24:05.100 --> 02:24:13.420]   "I'll give you much more than that." And his grandson or his son, Okotei Han was once asked,
[02:24:13.420 --> 02:24:19.180]   "Why do you do that? You've got to stop doing that." This was a Muslim financial advisor he'd called in.
[02:24:19.180 --> 02:24:23.340]   He told him, "Well, you've got to stop paying more than people ask." And then Okotei said,
[02:24:23.900 --> 02:24:28.860]   "Where's the money going to go? It's still in my empire. It's going to come back eventually."
[02:24:28.860 --> 02:24:35.980]   And so they had a much different attitude with great respect. And I think a symbol of that is in
[02:24:35.980 --> 02:24:41.340]   the time of Kublai Khan, when we see that his uncle and father went to China and came back from China.
[02:24:41.340 --> 02:24:47.260]   And then on the second trip, Marco Polo went with him to China and back. They were safe the whole way.
[02:24:47.260 --> 02:24:52.460]   Their goods were safe. They came back with tremendous amount of wealth. They were never harassed. And the
[02:24:52.460 --> 02:24:57.100]   mere fact that they could cross, it took two years, but the mere fact that they could cross the whole
[02:24:57.100 --> 02:25:05.740]   continent safely and come back, that was unprecedented. We really don't have any well-documented case of
[02:25:05.740 --> 02:25:10.140]   anybody, say, from China visiting Europe or Europe visiting China before the Mongols.
[02:25:10.780 --> 02:25:16.300]   But since Genghis Khan, there's never been a year without contact between East and West.
[02:25:16.300 --> 02:25:19.340]   It was permanent. Once he created it, it was permanent.
[02:25:19.340 --> 02:25:23.020]   I don't think it's possible to measure the positive impact of that.
[02:25:23.020 --> 02:25:27.100]   Because it wasn't just trade of goods. It was also exchange,
[02:25:27.100 --> 02:25:33.740]   explicit or implicit along the way, exchange of ideas, whether that's exchange of technologies,
[02:25:33.740 --> 02:25:42.700]   exchange of philosophical ideas, scientific ideas, technical, mathematical ideas, all of this
[02:25:42.700 --> 02:25:50.540]   spread throughout and constantly circulating. Can you speak to that aspect of it?
[02:25:50.540 --> 02:25:59.020]   Yes. It was an exchange of ideas on every level. Ideas, technology, ideologies, beliefs,
[02:25:59.020 --> 02:26:06.140]   scientific information. Everything was being exchanged, even agricultural goods of new crops for new
[02:26:06.140 --> 02:26:14.540]   areas. But Genghis Khan, he had a part of his genius of organization was knowing what skill people had
[02:26:14.540 --> 02:26:20.380]   that would contribute towards his empire. For example, the Muslims were very good with arithmetic.
[02:26:20.380 --> 02:26:26.940]   In fact, he conquered the little empire of Khorezm, from which we get the word algorithm,
[02:26:26.940 --> 02:26:33.180]   because there was a mathematician there who invented algorithms. And so Khorezm, he conquered it very
[02:26:33.180 --> 02:26:39.340]   quickly, very easily, no problem. But it belonged to him. But the Muslims were using the zero.
[02:26:39.340 --> 02:26:45.740]   The Mongols were absolutely impressed with that. The Chinese, less so. They're very suspicious about the zero.
[02:26:45.740 --> 02:26:52.620]   But the Mongols were very impressed because herders' numbers are important to them for keeping up with
[02:26:52.620 --> 02:26:58.620]   their animals. In fact, the Mongols have a simple system. They reduce all animals to the number of
[02:26:58.620 --> 02:27:04.940]   horses. You can ask somebody how many animals you can have, and they can say, "Well, 100 horses." And it doesn't
[02:27:04.940 --> 02:27:15.580]   mean they have 100 horses. It's gonna be five cows count as four horses. Five sheep or five goats count as
[02:27:15.580 --> 02:27:23.980]   one horse. Four camels count as five horses. So they reduced it all down like that. The Mongols take a
[02:27:23.980 --> 02:27:27.500]   census of everything. And that's one of the first things Genghis Khan did. And that was one of the
[02:27:27.500 --> 02:27:34.380]   demands he made of every place he went, is a complete census of your people. And every house had to post
[02:27:34.380 --> 02:27:40.300]   outside. How many people? How many animals? What did they do? The occupations? All this information.
[02:27:40.300 --> 02:27:48.060]   So they needed good mathematics for this. The Muslims provided it. So they took the Muslims to China,
[02:27:48.060 --> 02:27:53.980]   these Middle Eastern scholars and all. Unfortunately, they were rather ruthless sometimes when it came to
[02:27:53.980 --> 02:28:02.780]   implementing the tax policies. But they became the financial advisors to him. Other groups of people
[02:28:02.780 --> 02:28:09.500]   had other roles like that. And he was moving them around constantly. And so you had a combination.
[02:28:09.500 --> 02:28:17.820]   As I said, he himself had that genius for combining new bits of technology. But it created a new kind of
[02:28:17.820 --> 02:28:25.100]   cultural spirit in which other people were combining technology at other levels and being encouraged.
[02:28:25.100 --> 02:28:30.860]   It was no longer heresy or the devil's work to bring in this thing. So we had the spread of printing,
[02:28:30.860 --> 02:28:38.940]   for example. We had the partial spread of something such as print money, for example. We had almanacs being
[02:28:38.940 --> 02:28:44.620]   created now through printing that combine different calendars and different information that was coming
[02:28:44.620 --> 02:28:53.420]   along. But one simple but lethal form of technology was that, for example, Chinese had gunpowder. Mostly,
[02:28:53.420 --> 02:28:59.340]   it was used for fireworks, religious things. And then sometimes in warfare, it was used for a kind of
[02:28:59.340 --> 02:29:05.100]   primitive hand grenade or a primitive bomb that could be thrown with a trebuchet. This was in the time of
[02:29:05.100 --> 02:29:11.900]   Kubla Khan War, the grandson. So they had that. The Middle Eastern, the Muslims, and the Byzantines,
[02:29:11.900 --> 02:29:20.700]   especially, they had naphtha, what we call Greek fire, flamethrowers, that could set things on fire.
[02:29:20.700 --> 02:29:27.340]   You know, the Europeans did not excel very much in technology. They were behind in almost everything,
[02:29:27.340 --> 02:29:35.260]   but they could cast bells for churches. Okay, let's take that bell, and we're going to turn it on its side,
[02:29:36.700 --> 02:29:43.340]   and we're going to use some principles of the flamethrower, and we're going to use the gunpowder
[02:29:43.340 --> 02:29:45.500]   from China, and you've got a cannon.
[02:29:45.500 --> 02:29:51.500]   So the Mongols, even early on, by the time they got to the siege of Baghdad, but not, I think,
[02:29:51.500 --> 02:29:57.740]   in the lifetime of Chinggis Khan, but soon thereafter, and his sons and grandsons, they were using some
[02:29:57.740 --> 02:30:05.660]   very primitive forms of cannon and even something like firing rods. We can't even call it anything like a
[02:30:05.660 --> 02:30:15.420]   rifle, but it could fire a very small ballistic device. So this combination of metallurgy, gunpowder,
[02:30:15.420 --> 02:30:20.620]   flamethrowers, you put it all together, and you come up with something incredibly different.
[02:30:20.620 --> 02:30:29.500]   So if we jump around a little bit, sort of on the topic of a cannon, what are some technological
[02:30:29.500 --> 02:30:37.500]   developments that Genghis Khan and his son and Kublai Khan were using? So how much gunpowder were they
[02:30:37.500 --> 02:30:43.420]   using? In general, what was their approach to the siege warfare, for example? What are some different
[02:30:43.420 --> 02:30:51.500]   ideas there? If we switch to the grandson, Kublai Khan, he, first of all, he changed a lot of the
[02:30:51.500 --> 02:30:56.620]   strategies. They were no longer working. The Mongol system worked perfectly on the grassland,
[02:30:56.620 --> 02:31:01.180]   but by the time you get to Hungary, the grassland starts to give out. By the time you get to Poland,
[02:31:01.180 --> 02:31:05.420]   it's so many farms. It's hard for horses to get through the farms, and they don't want to go on the
[02:31:05.420 --> 02:31:11.740]   roads. By the time you get to the Indus River, it's too hot, too humid. The bows are beginning to wilt.
[02:31:12.300 --> 02:31:18.220]   The horses are exhausted. It's not working. So to conquer South China, Kublai Khan had to come up
[02:31:18.220 --> 02:31:26.380]   with new things. One thing, the South Chinese had built a Great Wall. It was called the Great Wall of
[02:31:26.380 --> 02:31:32.140]   the Sea. This is before the wall that we know as a Great Wall, which is really the Ming Wall of the Ming
[02:31:32.140 --> 02:31:37.980]   Dynasty was built. But the Great Wall of the Sea, and they used it as a defensive navy. They're the largest
[02:31:37.980 --> 02:31:44.940]   a navy in the world. It was defensive, and it was literally defensive, and it came time for warfare.
[02:31:44.940 --> 02:31:51.740]   They would chain the ships together across the mouth of a harbor to protect the city, and so it became a wall.
[02:31:51.740 --> 02:32:00.540]   So actually, if we rewind Kublai Khan, who was he, and what was the state of China at that time that kind of
[02:32:00.540 --> 02:32:05.020]   sets up this idea of ships and siege warfare?
[02:32:05.020 --> 02:32:11.980]   In 1215, Chinggis Khan conquered the city we now know as Beijing. It was the capital of the Jin Dynasty of
[02:32:11.980 --> 02:32:18.300]   Northern China. And at that time, Southern China was ruled by the Song Dynasty, or usually called the
[02:32:18.300 --> 02:32:25.980]   Southern Song. He had already conquered the Xixia Kingdom of the Tangut people. And so most of Northern
[02:32:25.980 --> 02:32:32.540]   China was under the control of the Mongols from about 1215. And then he conquered Middle. Later,
[02:32:32.540 --> 02:32:39.260]   his descendants conquered Middle, and then Kublai Khan was the one to take on the south. But Kublai Khan was
[02:32:39.260 --> 02:32:48.140]   born that year in 1215, about three months after the capture of Beijing. And he was nobody. He was the
[02:32:48.140 --> 02:32:54.620]   second son of the fourth son of Chinggis Khan. Well, he's got lots of cousins out there who've been
[02:32:54.620 --> 02:33:00.220]   riding around. They're conquering Russia, and they've already burned down Kiev, and they've conquered
[02:33:00.220 --> 02:33:06.540]   different places in the world. They're real Mongols. That's their whole life. And he's born and he doesn't
[02:33:06.540 --> 02:33:11.980]   meet Chinggis Khan until he's about seven years old, because Chinggis Khan was away on conquest in Central
[02:33:11.980 --> 02:33:19.500]   Asia. And Chinggis Khan came back, and he met him. And he said, "Oh, he doesn't look like a Mongol.
[02:33:19.500 --> 02:33:24.540]   He looks like his mother's people." His mother was a Sorakhtani, who was actually a part of the royal
[02:33:24.540 --> 02:33:30.860]   family of the Merkit people whom he had conquered sometime earlier. And he looks like his mother's
[02:33:30.860 --> 02:33:37.340]   people, who was a little bit more tawny. Mongols tend to be very white, with very bright red cheeks,
[02:33:37.340 --> 02:33:44.940]   and have a certain very round face, and so on. And so he looked different. And for whatever reason,
[02:33:44.940 --> 02:33:50.300]   his mother, I think she recognized the difference and treated him differently. Her oldest son was called
[02:33:50.300 --> 02:34:01.020]   Munch, later Mongkhan. And she wanted him to become even though her husband was drunk, who died out on
[02:34:01.020 --> 02:34:08.940]   campaign drunk. And she took over northern China. And she began to put it together. And she wanted her son
[02:34:08.940 --> 02:34:15.100]   to become the Great Han, the emperor of the Mongol Empire. And this wasn't in line. This wasn't going
[02:34:15.100 --> 02:34:21.980]   to happen, because he's the fourth son out of three. Others are way in line, way ahead of her. But she
[02:34:21.980 --> 02:34:28.220]   caused the revolution. She made it happen. She put her son in Mongkhan in 1251. He became Great Han.
[02:34:29.580 --> 02:34:35.660]   He only lived till 1259. He died of something. It could have been cholera, or they're different
[02:34:35.660 --> 02:34:41.020]   stories. And I don't know the truth of it. But he died on campaign in China, trying to conquer southern
[02:34:41.020 --> 02:34:49.100]   China. Well, up to this point, Kublai Khan had not been distinguishing himself. His mother, she was a
[02:34:49.100 --> 02:34:56.220]   Christian woman, but she had a Buddhist nurse for him. And she had Chinese scholars come in to tutor him.
[02:34:56.220 --> 02:35:02.220]   She had a very good education for him. And I think that she planned that he was going to be a great
[02:35:02.220 --> 02:35:07.260]   administrator under his older brother. And he was going to administer the lands in China. And so he
[02:35:07.260 --> 02:35:13.180]   was learning all this stuff for it. But the older brother, he insisted on sending him out on campaign.
[02:35:13.180 --> 02:35:19.820]   Oh, but he was overweight. He was fat. He had gout. He needed to go rest. There was always some excuse.
[02:35:19.820 --> 02:35:25.100]   And the brother was assigning people. Orihangdai, who was the son of Subodai, the great general.
[02:35:25.100 --> 02:35:31.660]   He assigned him to teach him warfare. He wasn't great on the battlefield. He really was not. But
[02:35:32.780 --> 02:35:38.540]   he was very smart. And at first a little bit lazy, like talking about the religion, sitting around,
[02:35:38.540 --> 02:35:45.420]   go hunting, as long as he had many with him to do the shooting, and then to prepare the food and all.
[02:35:45.420 --> 02:35:55.100]   And his territory in northern China was just being run in the dirt by these administrators the Mongols had
[02:35:55.100 --> 02:36:00.380]   brought in. They were just overtaxing the people, cheating the people, doing everything wrong. And his
[02:36:00.380 --> 02:36:06.060]   mother basically just pulled his chain, and she said, "Go to your land. This is your land. You have to
[02:36:06.060 --> 02:36:12.700]   administer this land. You go there. You live there. You take charge." And everybody was terrified of
[02:36:12.700 --> 02:36:18.140]   the mother. And so he ran off to China, and he started administering his land, and he started learning
[02:36:18.140 --> 02:36:26.300]   how to do it. Well, when his brother died in 1259, he was down on the Yangtze River on a campaign that he
[02:36:26.300 --> 02:36:31.340]   was sent by his brother. He was having no success at all. But he thought, "Okay, the brother's dead. I
[02:36:31.340 --> 02:36:37.820]   should finish the campaign." Meanwhile, his youngest brother, Arikbukh. Arikbukh was another hothead
[02:36:37.820 --> 02:36:44.460]   Mongol like their father, Tolu. He was rather hotheaded, and he was back in Mongolia. And his tolerance for
[02:36:44.460 --> 02:36:50.860]   religions, he had to oversee the debate one time between the Taoists and the Buddhists because the Mongols
[02:36:50.860 --> 02:36:56.380]   thought the Taoists were overtaxing everybody, the Buddhists. And so he had to oversee it. He got mad,
[02:36:56.380 --> 02:37:01.820]   and he picked up a statue of the Buddha and beat the Taoist representative to death. So he just wasn't
[02:37:01.820 --> 02:37:11.660]   good for moderating debates. So he was going to be the new great Khan. So he was declared the great Khan in
[02:37:11.660 --> 02:37:18.860]   Mongolia. But this was a turning life for Kublai Khan, who had never achieved much of anything other than
[02:37:18.860 --> 02:37:26.300]   talking to people. So his wife, Chabi, sent him some coded messages, basically telling him,
[02:37:26.300 --> 02:37:32.540]   "Forget about Southern China. It's going to always be there. You can conquer that some other time.
[02:37:32.540 --> 02:37:38.940]   Right now, your brother is taking over the empire. You should be the new emperor. You are the next son
[02:37:38.940 --> 02:37:47.260]   after Mongkhan." And somehow she invigorated him. And he came back, and even though he didn't have all the
[02:37:47.260 --> 02:37:53.820]   military strategy, he had Northern China, the resources were immense. He could cut off Mongolia. Mongolia
[02:37:53.820 --> 02:38:01.260]   was very dependent on Northern China for food. All the Mongols supported Arikbok. All the ones in Central
[02:38:01.260 --> 02:38:09.580]   Asia, all of them were supporting Arikbok. And so he went to get food from them. And then they didn't want to
[02:38:09.580 --> 02:38:15.900]   give up their food. Yeah, we want to support you for great Khan, but we're not giving up our food. So he was
[02:38:15.900 --> 02:38:23.580]   basically kind of starved into submission in 1262. And then he was taken prisoner into China. And then he
[02:38:23.580 --> 02:38:35.500]   mysteriously passed away in 1264, while a legal case was being brought against him for trial. But he never made it to
[02:38:35.500 --> 02:38:45.980]   trial. He was gone. So Kublai Khan had not really distinguished himself very much. But he didn't
[02:38:45.980 --> 02:38:51.900]   have the genius of his grandfather. I won't say that. But he was smart and clever. He understood more about
[02:38:51.900 --> 02:38:56.940]   China than most Mongols did. And he understood more about Mongols than most Chinese did.
[02:38:56.940 --> 02:39:06.220]   So the great thing left that Chinggis Khan said on his deathbed, "Finish conquering China." You know,
[02:39:06.220 --> 02:39:13.900]   that was the great objective. So Kublai was going to fulfill this. And they didn't know how. The Great
[02:39:13.900 --> 02:39:22.380]   Wall of Ships was protecting the Southern Song. This huge Yangtze River was so wide. The ocean on the side,
[02:39:22.380 --> 02:39:30.060]   all of these things were protecting them. So he had one of his very smart generals named Aju,
[02:39:30.060 --> 02:39:35.340]   who was a real Mongol. But he was also able to think in an innovative way. He was the grandson of Subodai.
[02:39:35.340 --> 02:39:43.980]   And he went with his father, Uri Hanggadai, on the conquest of the Red River of Northern Vietnam against
[02:39:43.980 --> 02:39:50.620]   the Dai Viet people. They went down the river. They were trying to surround the Chinese
[02:39:50.620 --> 02:39:55.260]   territory. They were going to hit them from the north, from the west, and from the south.
[02:39:55.260 --> 02:40:01.580]   So they went down the Red River to conquer the Dai Viet. The Dai Viet moved their army up on the other
[02:40:01.580 --> 02:40:06.780]   side by boat. And then they had a whole corps of elephants. So they had the Mongols on one side of the
[02:40:06.780 --> 02:40:14.380]   river and the Dai Viet forces on the other side. Uri Hanggadai was a smart man, not a genius, but smart.
[02:40:14.380 --> 02:40:20.460]   And he already knew from campaigns in Burma that the only way to route the elephants was with flaming
[02:40:20.460 --> 02:40:28.140]   arrows to the feet. That was it. But he recognized that they came up on boats. Mongols didn't like boats.
[02:40:28.780 --> 02:40:34.060]   It just, they crossed the river on a goatskin. They wanted to do something organic. A boat was like a
[02:40:34.060 --> 02:40:39.740]   cart. A cart belonged to a woman. It was a floating cart. I am not going over on a floating cart. I'm
[02:40:39.740 --> 02:40:49.020]   going to ride a goatskin across the river. So he's assigned one detachment. You have to burn the boats
[02:40:49.020 --> 02:40:57.260]   so the Dai Viet cannot escape when we route the elephants. Well, the war battle, I mean, got started.
[02:40:57.260 --> 02:41:03.740]   The elephants are running wild. All kinds of chaos is going on. The group that's sent to burn the boats,
[02:41:03.740 --> 02:41:09.740]   they're Mongols. They want to go to war. I mean, why burn a bunch of women's carts? It's just not,
[02:41:09.740 --> 02:41:13.020]   you know, floating. So they go and join the battle. They leave the boats.
[02:41:13.020 --> 02:41:18.300]   Well, the Mongols won the battle, but the Dai Viet forces got on the boats and sailed back to what's now
[02:41:18.300 --> 02:41:23.260]   Hanoi. And then they evacuated the city, took all the food, everything out of the city, and they
[02:41:23.260 --> 02:41:30.300]   disappeared into the delta. The Mongols arrived, they conquered, quote unquote, Hanoi, the capital city,
[02:41:30.300 --> 02:41:38.300]   and they had nothing. They had nothing. They won every battle. They lost the war. They retreated.
[02:41:38.300 --> 02:41:46.700]   Aju was the son of Hongkadi, and he saw all this happen, and he recognized the importance of water and
[02:41:46.700 --> 02:41:53.420]   boats. And so he knew. And he spent his time studying the Yangtze River and every little river
[02:41:53.420 --> 02:42:00.380]   around it and the cities. And the crucial thing he saw was the cities are heavily, heavily fortified
[02:42:00.380 --> 02:42:05.820]   on the land side. Because invasion comes from the land, and they expect this little line of boats to
[02:42:05.820 --> 02:42:11.740]   protect them on the water. And so their city walls are weak. The defenses are weak on that side.
[02:42:11.740 --> 02:42:19.340]   That's where we have to attack. So how? They sent off to the Ilkhanate, to Persia, where Chinggis Khan,
[02:42:19.340 --> 02:42:23.660]   his uncle, was now dead, and his cousins were ruling there. Or his nephews, we would say,
[02:42:23.660 --> 02:42:33.260]   a cousin's nephew. So they sent over engineers to build a special kind of trebuchet, a catapult. And they had to
[02:42:33.260 --> 02:42:37.900]   play around with it to adapt it for a boat because they were usually made for stable ground. But they
[02:42:37.900 --> 02:42:44.780]   adapted it for the boat and for throwing heavy things and also for some incendiary bombs. They
[02:42:44.780 --> 02:42:51.340]   developed it, and they attacked the first city. It fell. They attacked the next. It fell. They had
[02:42:51.340 --> 02:42:58.060]   something that was working. They worked their way down the Yangtze River, destroying city after city with
[02:42:58.060 --> 02:43:02.540]   this navy. And then the army would move in after the navy had broken down.
[02:43:02.540 --> 02:43:05.580]   So this is a catapult on a ship.
[02:43:05.580 --> 02:43:09.740]   A catapult on a ship. But yeah, we call it trebuchet for this type of catapult.
[02:43:09.740 --> 02:43:16.460]   So this is an engineering solution for peoples who are deeply uncomfortable with boats.
[02:43:16.460 --> 02:43:17.660]   Yes.
[02:43:17.660 --> 02:43:19.180]   And they've accepted it.
[02:43:19.180 --> 02:43:27.580]   Yes. Now it's a great weapon. It's no longer a woman's cart. It's a bow and arrow. It is a giant bow and
[02:43:27.580 --> 02:43:35.020]   arrow. It's fascinating. So they hit them hard on the walls on the weak side where there's no army
[02:43:35.020 --> 02:43:42.780]   protection. Yes. And they conquer their way down to Hangzhou, the capital of the Southern Song.
