
[00:00:00.000 --> 00:00:03.840]   Hello guys, welcome back to my channel. Today we are going to talk about Mamba
[00:55:19.960 --> 00:55:23.560]   Or you can do A multiplied by the result of B multiplied by C
[00:55:23.560 --> 00:55:25.800]   So this is the associative property
[00:55:25.800 --> 00:55:31.960]   So as long as the operations that we are doing have this property, then we can parallelize the scan operation
[00:55:31.960 --> 00:55:35.500]   I want to show you how to actually do it practically
[00:55:36.040 --> 00:55:42.120]   So imagine the initial array is this we can create multiple threads each one computing
[00:55:42.120 --> 00:55:47.800]   In parallel a sum. So for example, we have a we can have for example this
[00:55:47.800 --> 00:55:54.120]   Okay, this is actually the picture I took from wikipedia and it's made for 16 input array
[00:55:54.120 --> 00:55:56.280]   But imagine we have eight threads
[00:55:56.280 --> 00:55:59.400]   The first thread will compute the summation of the first two elements
[00:55:59.400 --> 00:56:03.960]   the second thread will compute the summation of the third and the fourth the third of the
[00:56:04.680 --> 00:56:08.760]   Fourth the fifth and the sixth etc, etc. And then we use the result of this
[00:56:08.760 --> 00:56:11.640]   summation to compute the next step
[00:56:11.640 --> 00:56:20.440]   And then in parallel and then we use it to compute the next step in parallel and then to compute the next step in parallel
[00:56:20.440 --> 00:56:27.240]   This is called the sweep down if I remember correctly and then we have a sweep up operation to rebuild all the
[00:56:27.240 --> 00:56:32.600]   Values that we didn't compute. So for example, this value here is not computed until the last step
[00:56:33.400 --> 00:56:35.160]   now by
[00:56:35.160 --> 00:56:36.680]   By doing a parallel scan
[00:56:36.680 --> 00:56:43.080]   Basically, we can decrease the time complexity of the scan operation from a sequence or so o of n
[00:56:43.080 --> 00:56:50.280]   It's reduced to o of n divided by t where t is the number of parallel threads that are computing this operation
[00:56:50.280 --> 00:56:56.440]   And in my github repository, I have also put a excel file that shows you how to
[00:56:56.440 --> 00:57:02.600]   How this scan operation is computed step by step. So I actually show you all the intermediate steps. So if you want to
[00:57:03.480 --> 00:57:05.480]   Understand how this works
[00:57:05.480 --> 00:57:12.360]   Now that we know that this parallel scan can be done in parallel, this is actually what the authors do. They also do the
[00:57:12.360 --> 00:57:15.080]   computation of the
[00:57:15.080 --> 00:57:20.220]   Recurrence to calculate the output of the model in parallel to reduce its time complexity
[00:57:20.220 --> 00:57:25.960]   Basically since Mamba cannot be evaluated using a convolution because it's time varying
[00:57:25.960 --> 00:57:29.800]   So it means that the parameters of the model are different for each time step
[00:57:30.120 --> 00:57:33.800]   Our only way of computing the output is to use the recurrent formulation
[00:57:33.800 --> 00:57:38.620]   But thanks to the parallel scan algorithm, this can be parallelized to reduce its time complexity
[00:57:38.620 --> 00:57:43.480]   The authors also indicate some techniques that they have used to make this algorithm faster
[00:57:43.480 --> 00:57:47.000]   The first technique that they show you is the kernel fusion
[00:57:47.000 --> 00:57:50.840]   The second is the parallel scan which I have already shown and then we have the
[00:57:50.840 --> 00:57:56.280]   Circumputation of the activations that we will show later. So let's see all these techniques one by one
[00:57:56.280 --> 00:57:59.960]   But first let's see how the memory hierarchy of the GPU works
[00:57:59.960 --> 00:58:06.200]   The GPU basically it's a very fast calculator. So it's a very very very big
[00:58:06.200 --> 00:58:11.080]   computational unit that can do a lot of operations in parallel
[00:58:11.080 --> 00:58:13.880]   And it has two main memories
[00:58:13.880 --> 00:58:20.600]   The one that you are mostly familiar with, the one that you actually check when you buy a GPU is called the DRAM
[00:58:20.600 --> 00:58:24.140]   So it's the high bandwidth memory and it's in the order of gigabytes
[00:58:24.520 --> 00:58:29.560]   And then the GPU also has a smaller memory, a local memory that is called the SRAM
[00:58:29.560 --> 00:58:34.600]   The difference between the two is that first of all the SRAM is much much much much much smaller
[00:58:34.600 --> 00:58:36.680]   It's in the order of megabytes
[00:58:36.680 --> 00:58:40.600]   And however, this is where the GPU will do the computation
[00:58:40.600 --> 00:58:42.920]   So when the GPU needs to do some matrix multiplication
[00:58:42.920 --> 00:58:47.020]   It will first of all copy the information from the high bandwidth memory to the SRAM
[00:58:47.020 --> 00:58:53.420]   Then the core of the GPU will access the information in the SRAM to do the computation
[00:58:53.720 --> 00:58:57.080]   And then the result will be saved back to this high bandwidth memory
[00:58:57.080 --> 00:58:59.400]   and
[00:58:59.400 --> 00:59:04.300]   Actually, if we check the data sheet of a GPU, in this case, this is the NVIDIA A100
[00:59:04.300 --> 00:59:09.320]   You will see that the GPU is very fast at computing operations
[00:59:09.320 --> 00:59:16.940]   But the copying of information from the SRAM to the DRAM is not very fast, not as fast as computing operations
[00:59:16.940 --> 00:59:19.480]   So as you can see here, for example
[00:59:19.560 --> 00:59:25.160]   The copy speed of the copying speed is much slower
[00:59:25.160 --> 00:59:30.120]   So this is like two terabytes per second compared to the number of operations that the GPU can do
[00:59:30.120 --> 00:59:36.440]   In this case, it can do 20 tera floating point operations per second of 32 bit
[00:59:36.440 --> 00:59:42.360]   So this parameter here is basically 40 times faster than this parameter here
[00:59:42.360 --> 00:59:47.720]   This also means that when we create an algorithm that runs on the GPU, so ECUDA kernel
[00:59:48.740 --> 00:59:53.940]   Sometimes the kernel may run slowly not because we are doing a lot of operations
[00:59:53.940 --> 00:59:59.800]   But maybe because we are copying a lot of stuff around which results in a slow overall computation
[00:59:59.800 --> 01:00:07.300]   And if this happens, we see that our operation is I/O bound because it's bounded by the I/O speed, by the copying speed
[01:00:07.300 --> 01:00:09.460]   Not by the computation speed of the GPU
[01:00:09.460 --> 01:00:16.900]   Now in the authors, they exploit this different hierarchy of the GPU to make their algorithm
[01:00:16.900 --> 01:00:22.740]   So the selective scan faster. So the main idea is to leverage the properties of modern accelerators
[01:00:22.740 --> 01:00:29.380]   So the GPU to maximize the to materialize the state edge. So the hidden state only in more
[01:00:29.380 --> 01:00:34.420]   Efficient levels of the memory hierarchy. So only in the SRAM, so the smaller memory
[01:00:34.420 --> 01:00:40.340]   Concretely instead of preparing the scan input because they compute the recurrence as a scan operation
[01:00:40.340 --> 01:00:43.700]   Just like I showed you before. So the scan input is what is
[01:00:43.700 --> 01:00:46.340]   batch
[01:00:46.340 --> 01:00:48.340]   the sequence length is
[01:00:48.340 --> 01:00:51.540]   The
[01:00:51.540 --> 01:00:54.660]   Size, the D model, so the size of the input vector and N
[01:00:54.660 --> 01:01:01.860]   In the GPU high bandwidth memory, so in the DRAM, they load all the parameter of the state space model
[01:01:01.860 --> 01:01:06.100]   So the delta, the A matrix, the B matrix, and the C matrix directly from the highest
[01:01:06.100 --> 01:01:12.820]   Bandwidth memory, so the DRAM, into the fast SRAM. They perform the discretization in the SRAM
[01:01:13.140 --> 01:01:19.700]   The recurrence also, so the scan operation is also done in this SRAM and finally the result of this scan is
[01:01:19.700 --> 01:01:22.900]   computed back to the high bandwidth memory
[01:01:22.900 --> 01:01:28.660]   And they also make use of what is known as a kernel fusion
[01:01:28.660 --> 01:01:34.420]   So what is kernel fusion? When we perform a tensor operation, our deep learning framework
[01:01:34.420 --> 01:01:41.700]   So PyTorch, it will load the tensor. Suppose we are doing a matrix multiplication. It will load the tensor from the fast memory
[01:01:42.900 --> 01:01:47.460]   From the slow memory to the fast memory. So from the DRAM to the SRAM of the GPU
[01:01:47.460 --> 01:01:52.580]   It will perform the operation, for example the matrix multiplication, and then it will save back the result
[01:01:52.580 --> 01:01:57.860]   From the SRAM to the DRAM. So from the SRAM to the high bandwidth memory of the GPU
[01:01:57.860 --> 01:02:03.620]   However, what if we do three operations on the same tensor in sequence?
[01:02:03.620 --> 01:02:09.540]   The deep learning framework will do something like this. So it will load first of all the tensor from the
[01:02:10.260 --> 01:02:13.700]   High bandwidth memory to the SRAM. It will compute the first operation
[01:02:13.700 --> 01:02:20.580]   Which means calling the CUDA kernel associated with the first operation and then save the result back to the high bandwidth memory
[01:02:20.580 --> 01:02:26.500]   Then it will load again the result of the previous computation from the high bandwidth memory into the fast memory
[01:02:26.500 --> 01:02:28.900]   compute the second operation which means
[01:02:28.900 --> 01:02:36.100]   Launching the second CUDA kernel associated with this operation and then it will save the result of this operation back to the high bandwidth memory
[01:02:36.100 --> 01:02:38.500]   then it will
[01:02:38.740 --> 01:02:43.700]   Load the result of the previous computation again from the high bandwidth memory into the fast memory
[01:02:43.700 --> 01:02:49.620]   compute the third operation and then save back the result into the high bandwidth memory. As you can see
[01:02:49.620 --> 01:02:55.460]   the total time is occupied in this case when we have three operations in sequence is
[01:02:55.460 --> 01:02:58.900]   occupied by the copying operations that we are performing from the
[01:02:58.900 --> 01:03:04.980]   high bandwidth memory to the fast memory and from the fast memory back to the high bandwidth memory because we know that
[01:03:05.300 --> 01:03:07.620]   The GPUs are relatively slow at copying
[01:03:07.620 --> 01:03:10.760]   data instead of computing operations
[01:03:10.760 --> 01:03:15.300]   So kernel fusion means that to make a sequence of operations faster
[01:03:15.300 --> 01:03:17.700]   We can fuse all these CUDA kernels
[01:03:17.700 --> 01:03:23.220]   So the three operations that we are doing in sequence into one custom CUDA kernel such that
[01:03:23.220 --> 01:03:27.460]   We don't copy the intermediate results to the high bandwidth memory
[01:03:27.460 --> 01:03:32.120]   But we keep doing these operations in the fast memory until we have done all these three computations
[01:03:32.420 --> 01:03:36.180]   And then only the last result is saved into the high bandwidth memory
[01:03:36.180 --> 01:03:42.120]   This speeds up the overall computation because we don't have the intermediate copy operations
[01:03:42.120 --> 01:03:44.820]   Because they would result in an I/O bound
[01:03:44.820 --> 01:03:47.920]   algorithm
[01:03:47.920 --> 01:03:55.060]   Okay, the last innovation of this selective scan algorithm is the recomputation of the activations, let's see what is it
[01:03:55.060 --> 01:04:00.180]   So when we train a deep learning model, this model gets converted into a computation graph
[01:04:00.580 --> 01:04:06.340]   When we perform a back propagation in order to calculate the gradients at each node of this computation graph
[01:04:06.340 --> 01:04:11.700]   We need to cache the output values of each node that we have done during the forward step
[01:04:11.700 --> 01:04:15.380]   So imagine we have a very simple model like the one I show you here
[01:04:15.380 --> 01:04:21.940]   Let me show with a pointer. So this model basically computes the output using just a linear operation
[01:04:21.940 --> 01:04:23.940]   So x1 is multiplied by this
[01:04:23.940 --> 01:04:28.820]   Parameter w1 plus x2 multiplied by this parameter w2 plus a bias
[01:04:30.260 --> 01:04:34.900]   Suppose we have done the forward process and it has produced at each node its own value
[01:04:34.900 --> 01:04:42.840]   During the back propagation our goal is to calculate the gradient of the loss function with respect to each parameter
[01:04:42.840 --> 01:04:48.020]   Here so with respect to w1 with respect to w2 and with respect to the bias
[01:04:48.020 --> 01:04:50.500]   to compute the
[01:04:50.500 --> 01:04:55.540]   The gradient of the loss function with respect to the w1 for example, I show you the step here
[01:04:57.060 --> 01:05:02.900]   And to compute this gradient we need to also compute the gradient of all the intermediate nodes
[01:05:02.900 --> 01:05:06.100]   And to compute the gradient of the intermediate nodes
[01:05:06.100 --> 01:05:11.940]   We need to have the values of the activations of each node that we had during the forward step
[01:05:11.940 --> 01:05:16.900]   So for example to compute the gradient of the loss function with respect to this node y_pred
[01:05:16.900 --> 01:05:23.700]   Which result in the expression 2 multiplied by y_pred minus 2 multiplied by target. We need to cache the
[01:05:24.340 --> 01:05:28.020]   Value y_pred that we had during the forward step
[01:05:28.020 --> 01:05:34.660]   And these activations actually can occupy a lot of memory in a very big network. And this is why in the
[01:05:34.660 --> 01:05:37.780]   in the paper they talk about
[01:05:37.780 --> 01:05:46.340]   Recomputing them. So since caching the activations and then reusing them during back propagation means that we need to save them
[01:05:46.340 --> 01:05:52.520]   To the high bandwidth memory. So the slow memory and then copy back them from the slow memory during back propagation
[01:05:52.900 --> 01:05:57.560]   It may be faster to just recompute them during back propagation because maybe the recomputation
[01:05:57.560 --> 01:06:02.820]   Speed because the gpu is very fast at computing operations than it is at copying
[01:06:02.820 --> 01:06:06.100]   Maybe just recomputing them is faster than copying them
[01:06:06.100 --> 01:06:09.780]   So this is the reference in the paper in which they describe this technique
[01:06:09.780 --> 01:06:15.380]   So they say finally we must also avoid saving the intermediate states which are necessary for back propagation
[01:06:15.380 --> 01:06:19.860]   So the intermediate states are all the activations of all the nodes of this computation graph
[01:06:20.420 --> 01:06:27.140]   So we carefully apply the classic technique of recomputation to reduce the memory requirements. So the intermediate states are not stored
[01:06:27.140 --> 01:06:29.780]   They are not stored in the high bandwidth memory
[01:06:29.780 --> 01:06:35.380]   But recomputed during the backward pass when the inputs are loaded from the high bandwidth memory to the fast RAM
[01:06:35.380 --> 01:06:42.340]   So basically it's faster to just redo the calculations again instead of copying this information to the high band memory and then
[01:06:42.340 --> 01:06:46.580]   Reloading it from high bandwidth memory to the fast memory
[01:06:48.820 --> 01:06:53.860]   Now let's look at the block that makes up Mamba in the Mamba architecture
[01:06:53.860 --> 01:06:58.360]   So first I introduce what is the Mamba block and then we will show you all the Mamba architecture
[01:06:58.360 --> 01:07:03.620]   So Mamba is built by stacking multiple layers of this Mamba block that we can see here
[01:07:03.620 --> 01:07:07.140]   And this is very similar to the stacked layer of the transformer
[01:07:07.140 --> 01:07:08.660]   So if you remember the transformer model
[01:07:08.660 --> 01:07:15.380]   We have the encoder and the decoder and the encoder side and the decoder sides are made by stacking these blocks
[01:07:16.420 --> 01:07:19.220]   with the self-attention and the feed forward the network
[01:07:19.220 --> 01:07:22.500]   multiple times on top of the other such that the
[01:07:22.500 --> 01:07:29.380]   Output of the one block is sent as input to the next block and the output of the last block is sent to the output
[01:07:29.380 --> 01:07:33.620]   Of the model and this is exactly what we do with Mamba in which we create
[01:07:33.620 --> 01:07:41.060]   First of all, we have our input which will be sent to this block and this block will be repeated many times such that the
[01:07:41.060 --> 01:07:45.460]   Output of this block here will become the input of the next block
[01:07:46.420 --> 01:07:52.180]   At the beginning of this block we have a linear layer two linear layers that convert the size
[01:07:52.180 --> 01:07:56.740]   D model into d inner as least this is how they call it in the code
[01:07:56.740 --> 01:08:03.620]   So d model is the size of the vector of our embedding. So imagine we have an embedding size of 512
[01:08:03.620 --> 01:08:10.180]   This is d model and the d inner can be chosen. You can choose for example double the size of the d model
[01:08:10.180 --> 01:08:12.920]   And this is just a linear projection
[01:08:13.460 --> 01:08:16.820]   Then they have a convolution here on this branch and this is actually
[01:08:16.820 --> 01:08:24.040]   To mix up kind of the tokens with each other because otherwise the state space model they will be running independently
[01:08:24.040 --> 01:08:28.520]   For each dimension, but this convolution makes up all these dimensions
[01:08:28.520 --> 01:08:33.060]   And then we have these two silo activations. We have the state space
[01:08:33.060 --> 01:08:40.100]   Model here that runs the recurrence using the parallel scan algorithm that I have just shown you before
[01:08:40.660 --> 01:08:47.140]   and then we will multiply element wise product of this branch and the output of the state space model then the
[01:08:47.140 --> 01:08:50.980]   Linear, there is another linear layer that will project back the d inner
[01:08:50.980 --> 01:08:55.140]   So the inner dimension of this block to the outer dimension, which is the d model
[01:08:55.140 --> 01:09:02.120]   So we go back to the 512 dimensions of the embedding size initially if we have chosen the model equal to 512
[01:09:02.120 --> 01:09:06.180]   Now let's see the entire architecture of
[01:09:07.380 --> 01:09:13.380]   And I drew this architecture by myself by analyzing the code so I didn't have time to make it very beautiful
[01:09:13.380 --> 01:09:20.360]   But okay, it's very similar to what we do with the transformer. So we have our input it gets converted into embeddings
[01:09:20.360 --> 01:09:26.680]   So it becomes a sequence of tokens each token made up of an embedding of size. Let's say 512
[01:09:26.680 --> 01:09:31.780]   And then we have many blocks like this one after another
[01:09:31.780 --> 01:09:36.660]   We have n of them such that the output of one block is sent as input to the next one
[01:09:36.660 --> 01:09:41.940]   And the mama block that I show you in the previous slide is basically just this one
[01:09:41.940 --> 01:09:46.900]   But they also include a rms norm at the beginning and then a skip connection
[01:09:46.900 --> 01:09:50.420]   You can see here and this is repeated n times
[01:09:50.420 --> 01:09:53.060]   finally, there is an rms norm just like
[01:09:53.060 --> 01:10:00.180]   Lama and just like mistral because we have this rms norm and then we have the linear layer that will project the output embedding
[01:10:00.580 --> 01:10:04.260]   back into our vocabulary and then we have a softmax to choose the
[01:10:04.260 --> 01:10:08.600]   Which will indicate which token from our vocabulary
[01:10:08.600 --> 01:10:13.380]   We need to choose as the next token if we are modeling a language model
[01:10:13.380 --> 01:10:16.420]   and this is the architecture of
[01:10:16.420 --> 01:10:18.020]   of mamba guys
[01:10:18.020 --> 01:10:20.500]   So let's look also at the performance
[01:10:20.500 --> 01:10:26.980]   So as you remember at the initial when we started talking about mamba mamba was introduced to solve the problems of the selecting
[01:10:27.300 --> 01:10:30.260]   selective copying task and the induction task because
[01:10:30.260 --> 01:10:33.060]   we saw that the
[01:10:33.060 --> 01:10:35.780]   State space models were not performing very well in
[01:10:35.780 --> 01:10:38.180]   context aware reasoning
[01:10:38.180 --> 01:10:44.740]   So they wanted to solve this problem with mamba by using they introduced that's why they introduced the selective state space model
[01:10:44.740 --> 01:10:47.720]   with their selective scan algorithm
[01:10:47.720 --> 01:10:55.220]   And we can see that the state space model. So the s4 model. So the structural space space model
[01:10:55.780 --> 01:11:00.580]   Performs quite poorly on this selective copying but mamba performs very well
[01:11:00.580 --> 01:11:02.900]   So it has a 99.8%
[01:11:02.900 --> 01:11:09.540]   Of accuracy and the mamba basically this layer here is called the s6 layer
[01:11:09.540 --> 01:11:14.340]   And the s4 layer is the one described in the previous paper. So structure state space model
[01:11:14.340 --> 01:11:19.780]   While on the induction heads we can see that also mamba is performing very well
[01:11:19.780 --> 01:11:22.900]   So the accuracy of mamba you can see here is always
[01:11:23.700 --> 01:11:29.620]   Nearly 100% actually it's 100% for sequence length that can reach 10 to the power of 6
[01:11:29.620 --> 01:11:33.380]   So very very very very very long sequence length in comparison
[01:11:33.380 --> 01:11:38.360]   For example, the transformer model with the absolute positional encoding or also rotary positional encodings
[01:11:38.360 --> 01:11:43.060]   Start degrading in accuracy when the sequence length reaches a certain size
[01:11:43.060 --> 01:11:49.460]   And so they are very quite good up to a few hundred tokens
[01:11:49.860 --> 01:11:55.540]   But they start degrading as soon as they reach the thousands of tokens, but mamba maintains a very
[01:11:55.540 --> 01:12:02.180]   Consistent performance over even very long sequence length and this is very important for language modeling because
[01:12:02.180 --> 01:12:06.980]   The prompts especially with the retrieval augmented generation, but also with chat applications, etc
[01:12:06.980 --> 01:12:12.420]   They are becoming very long. So we want models that can perform well on very very long sequence
[01:12:12.420 --> 01:12:16.100]   And we can also see here that the model
[01:12:17.280 --> 01:12:23.460]   Performance so the number of operations that we need to do to train a model to reach a certain perplexity
[01:12:23.460 --> 01:12:26.800]   Is very comparable with the transformer
[01:12:26.800 --> 01:12:32.080]   So mamba actually performs as good as the best transformer model that we have now
[01:12:32.080 --> 01:12:38.560]   So the transformer model like lama and mistral. This is the transformer plus plus you can see here
[01:12:38.560 --> 01:12:43.760]   And it performs very similarly to the best model that we have here. So it's a very good
[01:12:45.420 --> 01:12:50.780]   Concurrent to the transform, but as we saw in the previous slide it can scale much better for longer sequences
[01:12:50.780 --> 01:12:53.660]   And this is why it became quite popular recently
[01:12:53.660 --> 01:12:57.900]   Thank you guys for watching my video. I hope you learned a lot in this video
[01:12:57.900 --> 01:13:02.140]   I wanted to make a video that was very descriptive and also very
[01:13:02.140 --> 01:13:08.620]   Technically in detail because I wanted to derive all the formulations of mamba. I just don't like to throw formulas at people
[01:13:08.620 --> 01:13:12.380]   And mamba I think will be a very popular model in the future
[01:13:12.460 --> 01:13:15.180]   Even if I think it has its own limitations, for example
[01:13:15.180 --> 01:13:19.120]   It's still a recurrent neural network because it's still run like a recurrence
[01:13:19.120 --> 01:13:22.460]   And it may have its own limitations for for example
[01:13:22.460 --> 01:13:28.940]   We still don't know how well it performs on massive amounts of data like data that has been used for lama or for
[01:13:28.940 --> 01:13:30.780]   mistral
[01:13:30.780 --> 01:13:37.740]   So but I think people are looking for alternatives for the transformer because the transformer has shown its limitations, especially for
[01:13:38.300 --> 01:13:43.260]   Scaling to very long sequence length which are very much needed for language modeling
[01:13:43.260 --> 01:13:47.920]   But also with recent models for image generation movie generation and audio generation
[01:13:47.920 --> 01:13:50.140]   and so
[01:13:50.140 --> 01:13:52.700]   also, the computational complexity of the
[01:13:52.700 --> 01:13:57.840]   Transformer is massive because the the scaling power is quadratic
[01:13:57.840 --> 01:14:02.380]   so it results in a really high memory consumption and that's why
[01:14:02.860 --> 01:14:09.120]   People normal people cannot even inference a model like mistral on their computer unless they use the model sharding
[01:14:09.120 --> 01:14:11.580]   and very advanced techniques
[01:14:11.580 --> 01:14:14.380]   so I hope that
[01:14:14.380 --> 01:14:18.060]   More research is done in this area. So thank you for watching my video
[01:14:18.060 --> 01:14:21.900]   I hope you like this video and you will subscribe to my channel
[01:14:21.900 --> 01:14:27.020]   Please share this video with your friends and share it on your social media. This is the best way to support me
[01:14:27.020 --> 01:14:29.340]   Thank you and have a nice day

