
[00:00:00.000 --> 00:00:04.740]   We have all heard to brush and floss our teeth, but what if that's just the tip of the iceberg?
[00:47:12.360 --> 00:47:19.860]   profession overall, overall. So, so it's kind of, it's laziness and it's kind of ubiquitous,
[00:47:19.860 --> 00:47:24.220]   but there is an arm of dentistry that is seeing it for what it is. And again, it's all about the oral
[00:47:24.220 --> 00:47:29.700]   microbiome. When that came online, now we understand all the, a lot of the recommendations we've been
[00:47:29.700 --> 00:47:36.320]   making have been incorrect based on the knowledge of this new biome.
[00:47:36.320 --> 00:47:41.700]   Yep. Do you think in five, 10 years, most dentists will stop, you know, handing out a little tube of
[00:47:41.700 --> 00:47:43.500]   crest toothpaste with fluoride?
[00:47:43.500 --> 00:47:49.820]   Probably not. I'd be happy with a 50, 50 mix, but remember private equity is buying dental practices.
[00:47:49.820 --> 00:47:55.700]   And again, it's just, it's whatever's cheapest. And unfortunately, a lot of this is cost-driven.
[00:47:55.700 --> 00:48:01.140]   Uh, my toothpaste costs $14 a tube. That's what it costs to make. I have the same margins. Actually,
[00:48:01.140 --> 00:48:07.220]   I have less of a margin than Colgate does, but you know, Colgate is much cheaper. Uh, and especially if
[00:48:07.220 --> 00:48:12.220]   you go to Costco, right, you're, you're not going to see my toothpaste at Costco, uh, not anytime soon.
[00:48:12.220 --> 00:48:19.580]   So, so a lot of it is, is economics. Um, I would say, and here's, here's a bold statement for you.
[00:48:19.580 --> 00:48:25.980]   I would say instead of using Colgate, you're better off not using toothpaste at all, just floss and brush
[00:48:25.980 --> 00:48:31.660]   the mechanics of just that alone is fine. Okay. So you talked about, you know, perfect world,
[00:48:31.660 --> 00:48:37.100]   50, 50 functional dentistry. How should someone listening, you know, find a dentist? What questions
[00:48:37.100 --> 00:48:41.480]   should they be asking their existing dentist? And if they need to find a new dentist, what questions
[00:48:41.480 --> 00:48:47.280]   should they be asking to find them? It's not easy. So I, we, we created a directory on our website.
[00:48:47.280 --> 00:48:52.340]   It's not a big directory. Uh, there are other directories. Um, I think really what you need to
[00:48:52.340 --> 00:48:57.100]   do, and I mentioned it earlier, you need to advocate for yourself. You need to educate yourself.
[00:48:57.100 --> 00:49:03.200]   It's the same thing with your financial part of your life, uh, health. Certainly you need to become
[00:49:03.200 --> 00:49:08.740]   informed. You need to go out there and find out what is the right thing. And it's not necessarily
[00:49:08.740 --> 00:49:13.880]   the norm dentistry and medicine. They're 20 years behind what the new research is talking about.
[00:49:13.880 --> 00:49:18.440]   So I would say find a, find a influencer that you like and trust that's been around for a long time.
[00:49:18.440 --> 00:49:23.000]   Um, that's a great source because it's free. All you have to do is listen while you're running,
[00:49:23.000 --> 00:49:30.080]   going on a run or driving in your car, commuting. Also go to the internet. The internet has democratized
[00:49:30.080 --> 00:49:35.100]   healthcare. Not all of it's correct, but most people can pick through what's right and what's wrong.
[00:49:35.600 --> 00:49:41.240]   You can even read studies. Now you can take a study and drop it into chat GPT or LM notebook.
[00:49:41.240 --> 00:49:46.800]   It will pull out all the main points. You can ask chat GPT. Is this a good study or bad study as a
[00:49:46.800 --> 00:49:52.240]   lay person? I mean, this is not out of the realm of the lay person anymore, but it does take some work.
[00:49:52.240 --> 00:49:57.660]   The other thing you can do is ask around, you know, find out, find out from your coworkers,
[00:49:57.660 --> 00:50:03.640]   friends, family, uh, other than just seeing the hygienist. When I had my cavity done,
[00:50:03.640 --> 00:50:09.540]   the dentist told me how not to get the next cavity. They explained it. They didn't give me fluoride.
[00:50:09.540 --> 00:50:14.500]   These are all questions you can ask behind the scenes. And then your friend or coworker will say,
[00:50:14.500 --> 00:50:19.920]   yeah, this is how it went. Just know what questions to ask. We have a list of questions on our website,
[00:50:19.920 --> 00:50:26.580]   ask the dentist. We have the directory on, on our website. It's, and we also have a blog post on how
[00:50:26.580 --> 00:50:32.020]   to get a good referral from a loved one or a family member. Again, it's work. It's work. You can't just,
[00:50:32.020 --> 00:50:38.660]   don't just take, take the list that you're given by your employer and, and go down the list and pick
[00:50:38.660 --> 00:50:42.580]   the one that's closest to you. Yeah. You're, you're playing with fire. Yeah. I mean, a couple of things
[00:50:42.580 --> 00:50:47.460]   I learned. So one, the reason we even got connected was I was at the dentist's office and I was asking my
[00:50:47.460 --> 00:50:53.300]   dentist a question that I learned to ask my doctor, which was, you know, if I was going to spend a little
[00:50:53.300 --> 00:50:57.880]   bit of money out of pocket, not covered by insurance, what should I do? And my dentist's
[00:50:57.880 --> 00:51:02.700]   answer was get a third cleaning. You know, your insurance will cover to get a third one. It's about
[00:51:02.700 --> 00:51:07.880]   $120. And I was like, well, that doesn't seem that expensive for if the best thing I could be doing for
[00:51:07.880 --> 00:51:15.040]   my dental health is $120 a year. That seems wild. Um, and, and then I asked him, you know, who should I,
[00:51:15.200 --> 00:51:20.100]   who do you look up to in the space as someone you respect in the dental world? Because I'd love to
[00:51:20.100 --> 00:51:25.700]   do an episode on it. He suggested you and here we are. So I've got a handful of questions, but first
[00:51:25.700 --> 00:51:30.220]   off, we talked about all the things in your oral health routine. We didn't talk about dental
[00:51:30.220 --> 00:51:37.240]   cleanings. How important is that process? So that twice a year was completely arbitrary, uh, way back
[00:51:37.240 --> 00:51:43.220]   when 20, 40, 50 years ago, again, dentistry as a profession was thinking, well, how, what's the
[00:51:43.220 --> 00:51:48.860]   biggest bang for the patient's buck? In other words, how can we treat everyone the same and guarantee
[00:51:48.860 --> 00:51:54.740]   that we can stop, you know, gum disease in its tracks? And they came up with twice every six months.
[00:51:54.740 --> 00:52:00.940]   It was easy. Insurance had something to do with it, uh, as well. Uh, it's just an easy formula. Uh,
[00:52:00.940 --> 00:52:07.000]   again, as I said earlier, look for a customized program. Uh, most people don't do well with,
[00:52:07.000 --> 00:52:13.120]   every six months. It could be every three to six weeks. That actually is something that we do
[00:52:13.120 --> 00:52:19.460]   recommend for some patients. Um, and again, at $120 a cleaning, deep cleanings are, it costs more
[00:52:19.460 --> 00:52:24.400]   just to let you know, they're quite a bit more, but insurance, uh, will cover 80% of that. If you
[00:52:24.400 --> 00:52:28.880]   have dental insurance and up to a maximum, of course, when you first mentioned that that's a great
[00:52:28.880 --> 00:52:34.960]   suggestion. And what's going on in that cleaning that is beyond what, you know, is happening at home
[00:52:34.960 --> 00:52:39.240]   that would make it something worth doing. You're scraping off a toxin. It can be tartar.
[00:52:39.240 --> 00:52:44.920]   It can be a biofilm. Uh, it can be some bugs that are in those pockets. They are, they're continually
[00:52:44.920 --> 00:52:50.500]   and more often removing the source of this inflammation. We haven't really used the word
[00:52:50.500 --> 00:52:56.200]   plaque that often, but is that when you say, is that plaque? Yep. It's plaque, plaque and tartar,
[00:52:56.200 --> 00:53:00.880]   calcified plaque. Those are irritants. I mean, the body responds to that. It's a foreign
[00:53:00.880 --> 00:53:05.840]   body and it starts bleeding and sending blood to that area. And those aren't things we can easily
[00:53:05.840 --> 00:53:11.380]   remove at home. Not really. No. Once it forms, it's very difficult. I have some patients that buy
[00:53:11.380 --> 00:53:16.320]   instruments on eBay and they're in front of the mirror and cutting themselves. And you can't,
[00:53:16.320 --> 00:53:21.160]   I can't even do it. You just can't work on yourself. Uh, you really need someone else to
[00:53:21.160 --> 00:53:25.220]   come in with a mirror and good lighting to be able to get to all the different, uh, there's so many
[00:53:25.220 --> 00:53:29.380]   little nooks and crannies in the mouth in between the teeth. And so a good cleaning can accomplish
[00:53:29.380 --> 00:53:33.460]   that. Now that doesn't necessarily address the root cause of why you need three or four cleanings a
[00:53:33.460 --> 00:53:39.760]   year. That also has to be addressed, but that was a good answer on his part. It was, that is a quick
[00:53:39.760 --> 00:53:45.180]   and easy way. No brainer. Don't even think about it. Just come in a third time every year.
[00:53:45.180 --> 00:53:51.000]   So I have a lot more questions for him the next time I go in, which will be sooner than six months now.
[00:53:51.600 --> 00:53:56.620]   Another thing I learned, I went really deep on dental insurance because we were on a Cobra policy
[00:53:56.620 --> 00:54:01.200]   that included a dental and then we had to shift and now we were responsible for deciding whether
[00:54:01.200 --> 00:54:06.280]   we wanted our own dental insurance. It was a little mind blowing how dental insurance works because
[00:54:06.280 --> 00:54:13.380]   unlike medical insurance, there's always some sort of cap. And the cap in my mind was relatively low
[00:54:13.380 --> 00:54:20.120]   one to $2,000 for most of the plans. So, you know, no matter what best dental plan you had,
[00:54:20.120 --> 00:54:24.920]   I didn't really find a plan that would cover you for more than $2,000 of dental cost a year.
[00:54:24.920 --> 00:54:30.000]   And if your employer is paying for it, of course, why not? But if you are, you know,
[00:54:30.000 --> 00:54:37.380]   those plans costed anywhere from, you know, probably on the low end $30 to $50 a month.
[00:54:37.380 --> 00:54:42.400]   You could make a case if you have good clean health that self-insuring might actually be a more
[00:54:42.400 --> 00:54:49.300]   appropriate path here because your maximum out-of-pocket loss was $2,000. But with a lot of
[00:54:49.300 --> 00:54:54.960]   these dental plans for anything that is beyond cleaning, you know, there's like a tier one,
[00:54:54.960 --> 00:55:01.540]   80% covered, tier two, 50% covered. So you're going to be paying a lot even if your dental insurance is
[00:55:01.540 --> 00:55:06.620]   kicking in. So I'm not going to tell people not to get dental insurance, but definitely take a look
[00:55:06.620 --> 00:55:13.040]   at it. It's significantly cheaper to get dental plans that are preventative only. And I guess
[00:55:13.040 --> 00:55:18.560]   people don't get their annual cleanings because it is cheaper to get a preventative only dental plan
[00:55:18.560 --> 00:55:24.920]   that covers two cleanings and x-rays than it is to pay for two cleanings and x-rays. Presumably
[00:55:24.920 --> 00:55:30.240]   because people aren't using it. Right. It's a very well engineered product. It is not an insurance
[00:55:30.240 --> 00:55:35.400]   product. It's more of a service. If your employer pays for it, try and get a high quality product.
[00:55:35.400 --> 00:55:41.400]   There are deductibles. Even the first moment you walk in, there's a, even for preventative work,
[00:55:41.400 --> 00:55:47.680]   not always, it depends. Low maximums. It's designed for very, they control the utilization of
[00:55:47.680 --> 00:55:52.720]   the plan very well. It's actually a more lucrative product, not in overall dollars, but per plan.
[00:55:52.900 --> 00:55:59.560]   There's very little, there's no loss really. Um, so, uh, we have a blog post. It's quite old now,
[00:55:59.560 --> 00:56:04.540]   but we call it the margarita plan where we would always encourage our patients to do this, uh,
[00:56:04.540 --> 00:56:09.420]   depending on what the payout and what plan they had, especially if they're paying for their own plan,
[00:56:09.420 --> 00:56:14.340]   put the money aside, put a hundred dollars aside and you, you have the same maximum almost,
[00:56:14.340 --> 00:56:18.800]   maybe a little bit less, but you can spend a hundred percent of it. It's not limited by those
[00:56:18.800 --> 00:56:22.640]   different tiers that you were mentioning. So there's not a 20% copayment. So
[00:56:22.640 --> 00:56:28.660]   it's a tricky product. Again, if your employer pays for it, uh, hopefully it's a good plan. If
[00:56:28.660 --> 00:56:37.540]   it forces you to go to a kind of a capitation or a DSO type of office, maybe you'd want to get paid a
[00:56:37.540 --> 00:56:41.420]   little bit more instead of getting that dental plan. Uh, and then talk to your employer about
[00:56:41.420 --> 00:56:45.620]   that before you get hired. Medical insurance, of course, is very, very important that protects you
[00:56:45.620 --> 00:56:49.580]   against catastrophic financial loss. If you were to get into a car accident, Chris, and,
[00:56:49.580 --> 00:56:54.900]   and this, I see this happen a lot, the damage to the teeth and the face, but mostly the teeth
[00:56:54.900 --> 00:57:01.580]   easily exceeds 20 to $60,000. Your insurance will not pay for that. Even if you over a period of 10
[00:57:01.580 --> 00:57:07.560]   years, it won't because it's limited by the year, the maximum. So it's really not an insurance product.
[00:57:07.560 --> 00:57:14.660]   There are a lot of issues that we've really never addressed in, uh, this schism between, uh, dentistry
[00:57:14.660 --> 00:57:19.460]   and medicine. And, and anyway, um, it's, it's, it's a very interesting area.
[00:57:19.560 --> 00:57:23.640]   This episode is brought to you by Copilot. If you're looking to get your finances organized
[00:57:23.640 --> 00:57:28.940]   this year, you have to check out Copilot. It's one of my favorite apps and I check it almost every day
[00:57:28.940 --> 00:57:32.820]   because it makes it so seamless and easy to manage your money and track your spending,
[00:57:32.820 --> 00:57:38.220]   which for us has resulted in a huge boost to our savings. And I've tried dozens of apps that do
[00:57:38.220 --> 00:57:43.140]   this. I've even made a whole episode about it, but Copilot is the only one I've kept using and I have
[00:57:43.140 --> 00:57:49.140]   no plans to stop. You can link accounts at over 10,000 institutions and their AI powered expense
[00:57:49.140 --> 00:57:54.140]   categorization is the best I've used with custom Amazon and Venmo integrations to make it even
[00:57:54.140 --> 00:57:59.140]   better. You can completely design your spending categories and subcategories and easily set up
[00:57:59.140 --> 00:58:04.660]   rules to assign transactions to them in the future. Thanks to Copilot. I have never had a better grasp
[00:58:04.660 --> 00:58:09.660]   on our spending and cashflow, which I'm pretty sure has resulted in thousands of dollars of savings
[00:58:09.660 --> 00:58:14.220]   every year. So for the best app to track your spending subscriptions and investments, go to
[00:58:14.220 --> 00:58:18.940]   chrishutchins.com slash Copilot, or click the link in the description to download
[00:58:18.940 --> 00:58:25.940]   Copilot and enter code hacks during onboarding for a two month free trial. Again, that's chrishutchins.com
[00:58:25.940 --> 00:58:32.520]   slash Copilot and the code hacks too for a free two month trial of my favorite personal finance app.
[00:58:32.520 --> 00:58:37.420]   This episode is brought to you by Delete Me. And if you prefer not to have your identity stolen or have
[00:58:37.420 --> 00:58:42.020]   your phone number, home address, or email showing up all over the internet, you really need to check out
[00:58:42.020 --> 00:58:47.460]   Delete Me this year. Unfortunately, there's hundreds of data brokers online that are constantly sharing and
[00:58:47.460 --> 00:58:52.680]   selling your personal info and keeping track of all of them is like playing whack-a-mole. But fortunately,
[00:58:52.680 --> 00:58:57.740]   if you go to them one by one, you can get them to remove your data. However, that process can take
[00:58:57.740 --> 00:59:04.620]   hours and hours to do yourself. I know I tried it two years ago and after spending more than 10 hours and
[00:59:04.620 --> 00:59:09.460]   not even getting close to finishing, I gave up and started using Delete Me and I haven't looked
[00:59:09.460 --> 00:59:14.680]   back. Since then, I've signed up my entire family because Delete Me will not just find and remove your personal
[00:59:14.680 --> 00:59:21.140]   info from hundreds of data broker websites. They'll continuously scan for new data that shows up, which
[00:59:21.140 --> 00:59:28.000]   sadly happens all the time, and get that removed as well. On average, they find and remove over 2,000 pieces of
[00:59:28.000 --> 00:59:33.780]   personal info for a customer in their first two years. And to date, they've done over 100 million data
[00:59:33.780 --> 00:59:38.700]   removals for customers. So if you want your personal information removed from the web, go to
[00:59:38.700 --> 00:59:45.200]   chrishutchins.com slash delete me and get 20% off a plan for you or your entire family. Again, that's
[00:59:45.200 --> 00:59:49.000]   chrishutchins.com slash delete me or click the link in the description.
[00:59:49.000 --> 00:59:55.540]   Two more little things I learned in the process. One, many, not all, but many dental plans offer
[00:59:55.540 --> 01:00:01.580]   out-of-network coverage. And I was surprised to see that a lot of the out-of... In a lot of medical
[01:00:01.580 --> 01:00:07.100]   plans, you'll see, well, we cover... You have a 20% copay in-network, maybe you have a 40% copay out-of-network.
[01:00:07.100 --> 01:00:14.640]   A lot. I probably looked at 9 or 10 different dental provider options. And it was more common than not
[01:00:14.640 --> 01:00:20.020]   that the out-of-network coverage equaled the in-network coverage. So if that's the case,
[01:00:20.020 --> 01:00:25.800]   by no means restrict yourself to the dentists that are on the list. Does that mean you might have to
[01:00:25.800 --> 01:00:30.920]   file your claim yourself? Not always. Some dentists will even take care of the out-of-network claim
[01:00:30.920 --> 01:00:32.120]   management also. Correct.
[01:00:32.120 --> 01:00:39.020]   So I would say, don't be restricted to the list you see on your dental network plan. And then my dentist,
[01:00:39.020 --> 01:00:45.620]   they have their own dental plan, which costs, I think, $375 a year. It includes your x-rays,
[01:00:45.620 --> 01:00:52.360]   two cleanings, and then they give a 25% discount on any dental work you have to do beyond that.
[01:00:52.360 --> 01:00:58.300]   And so we've decided, let's self-insure our dental with a plan from them.
[01:00:58.400 --> 01:01:03.460]   And I did the math. And the number of scenarios where we would end up better with dental insurance
[01:01:03.460 --> 01:01:10.600]   was like only the scenario where we exactly had $2,000 worth of dental work. But if we had $1,000
[01:01:10.600 --> 01:01:16.000]   of dental work, nope, we were better paying ourselves. And I'm surprised for the sake of
[01:01:16.000 --> 01:01:24.240]   dentists around the country, getting my teeth, a cavity filled with a dentist and a hygienist,
[01:01:24.240 --> 01:01:29.380]   both there in the chair for almost an hour is a few hundred dollars.
[01:01:29.380 --> 01:01:29.960]   I know.
[01:01:29.960 --> 01:01:36.540]   Whereas last night, unfortunately, we took my daughter to urgent care to get an x-ray for her
[01:01:36.540 --> 01:01:42.800]   leg, which may or may not have resulted in a fracture from a gymnastics trampoline. Turns out
[01:01:42.800 --> 01:01:47.000]   we might not know for three days. We have to go back to get another x-ray if she's still hurting.
[01:01:47.240 --> 01:01:53.900]   I am almost certain that the cost behind that, where we engaged with the doctor for minutes,
[01:01:53.900 --> 01:01:56.640]   is going to be over $1,000.
[01:01:56.640 --> 01:01:58.420]   Oh, I would say it's probably more.
[01:01:58.420 --> 01:02:03.340]   That will be billed to, well, in our high deductible health plan case, us to some extent.
[01:02:03.340 --> 01:02:11.400]   But it's just mind-blowing that healthcare has gotten so expensive and dental care relative to the
[01:02:11.400 --> 01:02:16.080]   number of minutes you're sitting down with someone who's gone through rigorous education
[01:02:16.080 --> 01:02:21.900]   seems relatively affordable. And I know that there are lots of people that can't afford that in their
[01:02:21.900 --> 01:02:26.860]   budget, but relative to medical, it seems like I was surprised at how affordable it was once I
[01:02:26.860 --> 01:02:29.040]   started looking at covering it ourselves.
[01:02:29.040 --> 01:02:34.360]   This is a perfect illustration of a question you asked earlier, what to look for in a dentist.
[01:02:34.740 --> 01:02:41.640]   That's another thing to look for. If your dentist is basically looking at you when they look in your
[01:02:41.640 --> 01:02:46.240]   mouth as just an insurance plan, and you could be a really good insurance plan, you could be a very
[01:02:46.240 --> 01:02:51.880]   poor insurance plan, they are literally indirectly being influenced by that insurance plan. If you have
[01:02:51.880 --> 01:02:56.180]   a great plan, they're going to think, oh, that patient's more likely to go for the crown. And that's
[01:02:56.180 --> 01:03:01.560]   not the kind of dentist you want. You want to see the guy, the dental clinic that you're seeing.
[01:03:01.960 --> 01:03:07.760]   That's a brilliant move. And that should be an indication to the patient that they are immune
[01:03:07.760 --> 01:03:13.780]   from the influences, the external influences of a dental plan. Most dentists practice based on what
[01:03:13.780 --> 01:03:18.340]   kind of insurance you have. And if you're a cash patient, they're just used to not getting paid or
[01:03:18.340 --> 01:03:25.340]   to being turned down on the correct treatment plan, which may seem expensive to begin with, but it's the
[01:03:25.340 --> 01:03:29.900]   right one, whatever that may be. Do you want to be seeing an extension of an insurance plan that's
[01:03:29.900 --> 01:03:35.520]   reducing utilization, or trying to increase profits if it's a private equity owned corporate kind of
[01:03:35.520 --> 01:03:41.860]   dental insurance? Or do you want to be seeing a mom and pop that really has some flesh in this game,
[01:03:41.860 --> 01:03:46.140]   and they want their kids to be dentists and work in this practice, and they've set up a system,
[01:03:46.140 --> 01:03:53.520]   like what you mentioned, their own dental plan, or, which is what I did for over 36 years is I would
[01:03:53.520 --> 01:03:58.640]   ask for the cash up front. I was tired of chasing down the insurance companies that cost me money.
[01:03:58.640 --> 01:04:02.960]   So I charged my patients less, I would ask for everything up front, and we would bill their
[01:04:02.960 --> 01:04:07.200]   insurance for free. And guess what? Insurance companies are regulated in the state of California,
[01:04:07.200 --> 01:04:13.560]   I'm sure it's in every state, and a payment has to be made or denied within 30 days, right? Well,
[01:04:13.560 --> 01:04:18.840]   if you play the regular game that most dentists do, where you just bill the insurance, you wait,
[01:04:18.840 --> 01:04:21.840]   and then you bill them a second time, and you get on the phone, you pay someone to get on the phone,
[01:04:21.980 --> 01:04:27.480]   and get that payment, usually it's 90 days out, right? And no one ever prosecutes them or slaps
[01:04:27.480 --> 01:04:34.540]   their hand, and that kind of thing. Why not let the dentist regulate their cash flow in a very
[01:04:34.540 --> 01:04:42.920]   expensive, high overhead business, and give them the cash at the time of service. And then you wait for
[01:04:42.920 --> 01:04:47.980]   the insurance payment. Here's the kicker. When we did that, when we switched to that, we had to drop Delta Dental to do
[01:04:47.980 --> 01:04:53.240]   that. The punchline is this, the insurance payment came to the patient like 1315 days, every single
[01:04:53.240 --> 01:04:58.660]   time, which by the way, is probably before the credit card bill they paid on was due. And you know, for
[01:04:58.660 --> 01:05:04.380]   anyone listening that likes points and miles, let's say you have $1,000 of dental work a year, if you pay
[01:05:04.380 --> 01:05:10.240]   for it, you get points on $1,000, the dental insurance reimburses you. If you go direct to the insurance
[01:05:10.240 --> 01:05:16.500]   company, now you don't get that spend. So it's an extra 1000 or two or 4000 points that you might have
[01:05:16.500 --> 01:05:23.720]   running that model. We were happy as a profession to help support that point system. Yes. That next
[01:05:23.720 --> 01:05:28.000]   flight to Europe or whatever it may be. Yes, that's dental insurance. I'm sure we could unpack that a
[01:05:28.000 --> 01:05:32.360]   lot deeper. Oh, yeah. It's a fascinating subject that does not get talked about often enough.
[01:05:32.360 --> 01:05:37.080]   One other thing. I remember a time where my sister went to the dentist, and the dentist was like, I think
[01:05:37.080 --> 01:05:42.240]   you have four cavities. And she was just blown away. It was a new dentist. So she went to another dentist
[01:05:42.240 --> 01:05:46.560]   dentist and got a second opinion. And they were like, you're fine. Right? How important do you think
[01:05:46.560 --> 01:05:52.900]   someone who gets a diagnosis from a dentist of something like three, four cavities, or even one?
[01:05:52.900 --> 01:05:58.960]   Is it worth getting another opinion on either whether these are real cavities, whether they could be
[01:05:58.960 --> 01:06:06.260]   something treated in other ways, like just letting your body remineralize the area? How should someone
[01:06:06.260 --> 01:06:12.360]   react when a dentist tells them they need work? This happens a lot. Unfortunately, a lot of the new
[01:06:12.360 --> 01:06:16.700]   patients I would get would be second opinions with outrageous treatment plans. I don't know if you
[01:06:16.700 --> 01:06:23.280]   remember, but a lot, maybe 1015 years ago, there was a Reader's Digest article on and the, the journalist
[01:06:23.280 --> 01:06:29.260]   went to eight or nine different practices in in her area. And she literally got, you know, every treatment
[01:06:29.260 --> 01:06:34.220]   plan was way different than the other one, not just in cost, but in terms of which tooth was being treated.
[01:06:34.220 --> 01:06:38.040]   And that was a real problem for the profession. And there were a lot of explanations given,
[01:06:38.040 --> 01:06:43.020]   and then it popped up again later. Someone else, you know, had a slow day in journalism. They tried
[01:06:43.020 --> 01:06:48.520]   the same thing and it happened again. So this is a problem. So we have a blog post on this on our
[01:06:48.520 --> 01:06:56.120]   website. It's pretty simple. Gut feeling, you know, if you've been going along every, every twice a year
[01:06:56.120 --> 01:07:02.120]   and you get a cavity once or twice a year or less, or you've never had a cavity and all of a sudden
[01:07:02.120 --> 01:07:07.800]   something has changed, uh, definitely get a second opinion, uh, because this does happen. And
[01:07:07.800 --> 01:07:13.360]   everyone quote unquote has a different philosophy. A lot of dentists say, well, if there's any chance
[01:07:13.360 --> 01:07:18.180]   of a cavity, I want to go in, well, I can keep it small. Well, but if there isn't a cavity, is that
[01:07:18.180 --> 01:07:24.520]   ethical? I mean, and what if the cavity never occurs? Sometimes, um, uh, sometimes root canals are,
[01:07:24.520 --> 01:07:28.400]   are jumped to. In other words, there's no need for the root canal. The tooth is hurting,
[01:07:28.400 --> 01:07:33.940]   but it's reversible pulpitis. That's a diagnostic code. And if it's reversible, that means that it
[01:07:33.940 --> 01:07:38.880]   could recover. But then the dentist says, yeah, but the patient's in pain. They're going to Barcelona
[01:07:38.880 --> 01:07:43.180]   next week and we don't want it to blow up in Barcelona. I mean, this is the kind of reasoning
[01:07:43.180 --> 01:07:48.340]   that goes on either upfront with the patient or without a lot of knowledge for the patient. The
[01:07:48.340 --> 01:07:53.920]   patient's just taking the word of a dentist. So if it seems a little out of whack, like in the case of
[01:07:53.920 --> 01:07:58.280]   your sister, all of a sudden four cavities, absolutely. Those could be cavities that didn't
[01:07:58.280 --> 01:08:04.560]   exist to begin with. Um, or it could be a cavity that could be reversed. Uh, so definitely get a
[01:08:04.560 --> 01:08:09.460]   second opinion. And you know what, if they resist or get a little funny or, or just throw you a set
[01:08:09.460 --> 01:08:14.220]   of records, or you don't get copies of the x-rays as quickly as you would like, and it's a difficult
[01:08:14.220 --> 01:08:20.020]   process, or you pay an exorbitant amount for those copies, then you're probably better off moving on.
[01:08:20.020 --> 01:08:23.160]   There's something wrong there, or they just don't like to be second guessed. A lot of dentists
[01:08:23.160 --> 01:08:28.860]   don't like to be second guessed. Yep. And I'll just remind everyone that as much as it might seem
[01:08:28.860 --> 01:08:33.660]   in the medical world, like a second opinion is a pretty expensive process. If you're able to get
[01:08:33.660 --> 01:08:38.820]   your x-rays from your dentist and you're taken to another dentist for a second opinion, even if it
[01:08:38.820 --> 01:08:44.280]   weren't covered by insurance, my guess is that second opinion is going to be in the low hundreds of
[01:08:44.280 --> 01:08:50.040]   dollars, if not as much as you might think. Um, right. So as a policy, I'd never charge for a second
[01:08:50.040 --> 01:08:55.140]   opinion unless we had to take another x-ray, but if it's just a quick look, it's 15 minutes. I did
[01:08:55.140 --> 01:09:00.600]   that for the betterment of the profession. I did. I wanted patients to do well through the process and
[01:09:00.600 --> 01:09:04.320]   it wasn't because I wanted them to stay with me. A lot of the time I would send them back and say,
[01:09:04.320 --> 01:09:09.420]   you know what, they're right. Or it would be a lot of these second opinions are about bad dental work.
[01:09:09.800 --> 01:09:14.920]   And then I would send, I would give them an option. There's a very inexpensive option.
[01:09:14.920 --> 01:09:19.340]   Instead of hiring a lawyer, there's a peer review system. And I would hook them up with that.
[01:09:19.340 --> 01:09:24.680]   Every dental society has a peer review system. They go in, they have three dentists look at it. If it
[01:09:24.680 --> 01:09:30.880]   is bad dental work, then the, it gets written up and those that their, their membership is at risk.
[01:09:30.880 --> 01:09:35.460]   So they return the money and then they move on. It's way better than handling it with attorneys and,
[01:09:35.660 --> 01:09:40.720]   and the result is better for the patient. So yeah. Uh, if that happens, gut, I mean,
[01:09:40.720 --> 01:09:46.260]   follow your gut instincts. If it doesn't feel right and, and, and ask for the x-rays right away,
[01:09:46.260 --> 01:09:51.020]   say, I just want to run this by someone else. And for the cases where maybe it is the case that you
[01:09:51.020 --> 01:09:55.640]   need a lot of dental work, whether it's a root canal crowns, bridges, you know, the accident you
[01:09:55.640 --> 01:10:00.440]   mentioned, but maybe, maybe not in an emergency sense. I did an episode recently on medical travel
[01:10:00.440 --> 01:10:05.220]   and I, I, we talked about turkeys well-known for hair transplants and there's all kinds of
[01:10:05.220 --> 01:10:10.440]   procedures that people can travel for where the healthcare system isn't like the healthcare
[01:10:10.440 --> 01:10:15.920]   system in the U S where things can be quite expensive. I know traveling for dental care,
[01:10:15.920 --> 01:10:22.080]   maybe not your, your preventative care, but for, for really expensive things is, is a possibility.
[01:10:22.080 --> 01:10:23.820]   How do you feel about that? Do you have any thoughts?
[01:10:23.820 --> 01:10:29.560]   Yeah, that's called dental tourism. Again, we have a blog post on that. Um, that was a difficult one to
[01:10:29.560 --> 01:10:34.620]   write and we did a lot of research and we spoke to a lot of patients, some great success, uh, success
[01:10:34.780 --> 01:10:39.220]   stories, huge, uh, Hungary. We listed some of the countries that we would recommend. We would not
[01:10:39.220 --> 01:10:45.160]   recommend Mexico, uh, Canada. Uh, there are differences, local regional pricing, uh, take
[01:10:45.160 --> 01:10:49.620]   advantage of an exchange rate. For example, the problem is, and again, we mentioned this in the,
[01:10:49.620 --> 01:10:55.700]   in the post, a lot of dental work needs a follow-up. Are you willing to travel back? And then what about
[01:10:55.700 --> 01:10:59.900]   the follow-up and the care? And then if you go to a new dentist, then, you know, they're, they're,
[01:10:59.900 --> 01:11:04.000]   they're taking over that dental work. It's going to be more expensive. So there are some issues with that,
[01:11:04.340 --> 01:11:08.860]   but people have had success stories. I know people that have had their hip transplants done
[01:11:08.860 --> 01:11:13.100]   in Belgium. I had a lot of patients that did that. And that typically is a good example of why you'd
[01:11:13.100 --> 01:11:17.960]   want to do it. It's cheaper. You get better physical, uh, you get better PT, physical therapy
[01:11:17.960 --> 01:11:22.200]   afterwards. And then after that, you're done. Okay. All right. So I was thinking at the end of
