
[00:00:00.000 --> 00:00:05.400]   Very well, also, so I, and I think, um.
[00:53:22.360 --> 00:53:31.360]   Uh, basically it has a, a way to calculate it by using the maximum attention logit in the previous step.
[00:53:31.360 --> 00:53:35.360]   I'm not going to go into details about the math.
[00:53:35.360 --> 00:53:43.360]   Uh, you can take a look at the equations and try to understand the intuition by a bit, but basically they're trying to have a soft capping on the.
[00:53:43.360 --> 00:53:47.360]   uh, values of the query multiplied by the key.
[00:53:47.360 --> 00:53:51.360]   And they obviously did a lot of training and, uh, training experiments.
[00:53:51.360 --> 00:53:58.360]   And they showed that one clip can effectively prevent the explosions while maintaining the, uh, downstream task performance.
[00:53:58.360 --> 00:54:02.360]   And this is, I think the highlight of the Kimi Q2 model.
[00:54:02.360 --> 00:54:06.360]   They show us the loss curve while training the model.
[00:54:06.360 --> 00:54:09.360]   So this very big model was trained on 15 trillion tokens.
[00:54:09.360 --> 00:54:11.360]   So this is a massive training run.
[00:54:11.360 --> 00:54:12.360]   And they use long clip.
[00:54:12.360 --> 00:54:16.360]   And they say that the didn't encounter any, any training spike.
[00:54:16.360 --> 00:54:25.360]   And this demonstrates that one clip can be stable and robust for training state of the art, uh, large language models.
[00:54:25.360 --> 00:54:30.360]   And even more, you can notice a second dip in, in loss at around 11 trillion tokens.
[00:54:30.360 --> 00:54:34.360]   And this is quite awesome.
[00:54:34.360 --> 00:54:44.360]   Um, so yeah, the first, uh, contribution by the team is scaling more one by developing more on clip and training the model on 15 trillion tokens in a stable and robust way.
[00:54:44.360 --> 00:54:55.360]   Uh, I had a question, um, with regards to the, um, uh, the soft cap logits, uh, technique that they addressed.
[00:54:55.360 --> 00:55:01.360]   Is that, uh, what's the relationship to that with soft max or are they the, essentially the same thing?
[00:55:01.360 --> 00:55:03.360]   Are they describing the same operation?
[00:55:03.360 --> 00:55:07.360]   I don't, no, I don't think it's related to soft max.
[00:55:07.360 --> 00:55:13.360]   I think they're just trying to, uh, put a limit on, on the value of the query.
[00:55:13.360 --> 00:55:21.360]   And key because they noticed that during the training, the, the, the value of multiplying query and key kept going up and up and up.
[00:55:21.360 --> 00:55:28.360]   And this exceeded the, the range that can be represented by BF 16, uh, values.
[00:55:28.360 --> 00:55:30.360]   I don't think it's related to soft max.
[00:55:30.360 --> 00:55:35.360]   It's just like a way for them to, uh, control the values without explosion.
[00:55:35.360 --> 00:55:36.360]   I think.
[00:55:36.360 --> 00:55:37.360]   Okay, cool.
[00:55:37.360 --> 00:55:38.360]   Yeah.
[00:55:38.360 --> 00:55:38.360]   Good.
[00:55:38.360 --> 00:55:39.360]   Thank you.
[00:55:39.360 --> 00:55:41.360]   Okay.
[00:55:41.360 --> 00:55:42.360]   Okay.
[00:55:42.360 --> 00:55:49.360]   So yeah, this was their first contribution, the mon clip, uh, which allowed them to do a very successful pre-training run.
[00:55:49.360 --> 00:55:53.360]   The other contributions are related to the RL side of things.
[00:55:53.360 --> 00:55:55.360]   And they did two contributions.
[00:55:55.360 --> 00:56:01.360]   The first one is they generated a large scale agentic data, agentic synthetic data set.
[00:56:01.360 --> 00:56:05.360]   So basically how do we teach the model sophisticated tool, tool use capabilities?
[00:56:05.360 --> 00:56:11.360]   And they, their approach was to develop a very comprehensive pipeline that generates synthetic data to train the model.
[00:56:11.360 --> 00:56:23.360]   So they start by, uh, evolving hundreds of domains with thousands of tools and evolving here comes, I think from the evolve instruct algorithm by the wizard LMT.
[00:56:23.360 --> 00:56:29.360]   So you're trying to create more and more domains and trying to make them more complex, uh, starting with a, I think fixed seed of domains.
[00:56:29.360 --> 00:56:42.360]   And then once you have these domains, you can generate hundreds of agents with diverse tool sets, and then you can create a simulated environment and user agents to interact with these agents.
[00:56:42.360 --> 00:56:46.360]   And I, I think user agents mean here means just an agent that acts as a user.
[00:56:46.360 --> 00:56:48.360]   So submitting queries and questions.
[00:56:48.360 --> 00:56:55.360]   And then they use tasks that are rubric based, basically tasks that are easy to gauge or easy to judge.
[00:56:55.360 --> 00:57:03.360]   And they use this to, uh, basically judge and evaluate the generated data set.
[00:57:03.360 --> 00:57:06.360]   And then they start the simulations.
[00:57:06.360 --> 00:57:11.360]   They run multi turn toolier scenarios with their agents, uh, interacting with the environment and the user agents.
[00:57:11.360 --> 00:57:21.360]   And then they use LLM as a judge to evaluate the results and then use this, uh, judgment by the LLM to filter for high quality training data.
[00:57:21.360 --> 00:57:24.360]   Uh, this is on Instagram from their blog posts as well.
[00:57:24.360 --> 00:57:29.360]   So basically you start with a list of domains that have been evolved.
[00:57:29.360 --> 00:57:40.360]   You evolve the domains to generate tools, and then maybe use some MCP tools and then give these tools to agents, which interacts with, uh, user agents.
[00:57:40.360 --> 00:57:41.360]   And the environment.
[00:57:41.360 --> 00:57:51.360]   And then you have these tasks that you can evaluate easily, uh, and then use the LLM as a judge to filter and continue the generation and evolve more and more.
[00:57:51.360 --> 00:57:57.360]   So this is quite an, uh, highly attractive loop that allows you to generate high quality data.
[00:57:57.360 --> 00:58:07.360]   So basically eval driven training, I think, or I should say eval driven, uh, synthetic data generation.
[00:58:07.360 --> 00:58:10.360]   Uh, so this is the first approach regarding reinforcement learning.
[00:58:10.360 --> 00:58:13.360]   The second one is general reinforcement learning.
[00:58:13.360 --> 00:58:14.360]   The second one is general reinforcement learning.
[00:58:14.360 --> 00:58:17.360]   So we already have RL for, for verifiable tasks.
[00:58:17.360 --> 00:58:19.360]   Uh, thanks to deep seek R1.
[00:58:19.360 --> 00:58:25.360]   They basically trained the model on code and math where the model, uh, generates a solution.
[00:58:25.360 --> 00:58:34.360]   And then they, uh, run unit tests or, uh, evaluate the math solution and use this as a signal to the model.
[00:58:34.360 --> 00:58:38.360]   Now the key challenge is how can we expand RL into other types of tasks?
[00:58:38.360 --> 00:58:41.360]   Uh, especially the ones that are not easily verifiable.
[00:58:41.360 --> 00:58:45.360]   Examples of verifiable tasks are like math and competition coding.
[00:58:45.360 --> 00:58:50.360]   While writing a research board or a summarization is viewed as a non-verifiable.
[00:58:50.360 --> 00:58:55.360]   So they created a general RL system using a self judge mechanism.
[00:58:55.360 --> 00:59:03.360]   Basically they use the model to act as its own critic, uh, providing scalable rubric based feedback for non-verifiable tasks.
[00:59:03.360 --> 00:59:12.360]   And one cool, uh, detail here is that they use the on policy rollout, uh, with verifiable rewards to continuously update the critic.
[00:59:12.360 --> 00:59:15.360]   So basically we have some tasks that are verifiable.
[00:59:15.360 --> 00:59:16.360]   They can use.
[00:59:16.360 --> 00:59:26.360]   You can track the performance of the model on these verifiable rewards and see if you're actually, if the model is still going better and better.
[00:59:26.360 --> 00:59:32.360]   And this makes sure that the critic model keeps improving, uh, its evaluation accuracy.
[00:59:32.360 --> 00:59:39.360]   So this can be viewed as a way of using verifiable rewards to improve the estimation of non-verifiable rewards.
[00:59:39.360 --> 00:59:44.360]   And these are like the three main contributions by the team.
[00:59:44.360 --> 00:59:56.360]   Uh, the first one is the mon clip optimizer to allow them to train up to 15 trillion tokens and achieve, uh, lower loss while having the training being stable and robust.
[00:59:56.360 --> 01:00:00.360]   And the second one is synthetic data generation for tool use.
[01:00:00.360 --> 01:00:05.360]   And the third one is to generalize the RL into non-verifiable rewards.
[01:00:05.360 --> 01:00:09.360]   Uh, so I think that's, that's all I have to share.
[01:00:09.360 --> 01:00:12.360]   Uh, this is all the information extracted from the blog post.
[01:00:12.360 --> 01:00:15.360]   Just one fun fact here regarding the mon optimizer.
[01:00:15.360 --> 01:00:20.360]   Uh, this is Keller Jordan, the main author behind the optimizer.
[01:00:20.360 --> 01:00:29.360]   And he said, when he was interviewing with open AI and XI, the XAI team told him that they don't think the idea of developing Moan is going to work.
[01:00:29.360 --> 01:00:36.360]   Uh, so I think, yeah, sometimes you, you're like, you get rejected until you can prove that the algorithm scales.
[01:00:36.360 --> 01:00:38.360]   Um, these are like some references.
[01:00:38.360 --> 01:00:49.360]   I used the blog post and the tweet of Sebastian Ruschka and the translation of one of the engineers about the reasoning for developing for modifying the architecture of the model.
[01:00:49.360 --> 01:00:53.360]   So, yeah, that's, that's all I have to share with you guys.
[01:00:53.360 --> 01:01:05.360]   If, if anyone has any questions, please go ahead.
[01:01:05.360 --> 01:01:13.360]   Um, yeah, I asked it in chat, but, uh, they mentioned that they have the, the, the sort of, uh, self-judging RL framework.
[01:01:13.360 --> 01:01:20.360]   Did they, did they like release the code for that anywhere or, um, uh, was it just like something you found in a blog?
[01:01:20.360 --> 01:01:25.360]   Uh, I don't think they shared anything besides the weights and the inference code, uh, unfortunately.
[01:01:25.360 --> 01:01:28.360]   So yeah, this is just inferred from the blog.
[01:01:28.360 --> 01:01:29.360]   Sure.
[01:01:29.360 --> 01:01:42.360]   I think we had, that's it for time.
[01:01:42.360 --> 01:01:43.360]   Amazing.
[01:01:43.360 --> 01:01:44.360]   We actually covered Kimmy.
[01:01:44.360 --> 01:01:49.360]   I didn't, I just put it in there because I was like, maybe there's not enough on, on just move on.
[01:01:49.360 --> 01:01:53.360]   Um, fun facts.
[01:01:53.360 --> 01:01:57.360]   Kimmy is now powering all the LLM responses inside of the discord.
[01:01:57.360 --> 01:02:04.360]   And so whenever you enter, you see a summary from, um, yikes is bought it's, it's Kimmy.
[01:02:04.360 --> 01:02:06.360]   Cause Gemini is.
[01:02:06.360 --> 01:02:07.360]   Yeah.
[01:02:07.360 --> 01:02:09.360]   He's on free tier on open router.
[01:02:09.360 --> 01:02:10.360]   So figure we give her a shot.
[01:02:10.360 --> 01:02:11.360]   Yeah.
[01:02:11.360 --> 01:02:12.360]   Yeah.
[01:02:12.360 --> 01:02:13.360]   Yeah.
[01:02:13.360 --> 01:02:14.360]   Yeah.
[01:02:14.360 --> 01:02:18.360]   I think we have a thread on the discord server about which providers are, are serving Kimmy
[01:02:18.360 --> 01:02:19.360]   key to.
[01:02:19.360 --> 01:02:20.360]   Yeah.
[01:02:20.360 --> 01:02:24.360]   I mean, you know, it's given that it's free tier, so we're not using any tokens.
[01:02:24.360 --> 01:02:28.360]   We might as well just like enable that bot to chat more.
[01:02:28.360 --> 01:02:32.360]   Um, cause right now it only summarizes links, but, uh, it's pretty useful.
[01:02:32.360 --> 01:02:33.360]   Yeah.
[01:02:33.360 --> 01:02:35.360]   You can add her like she'll, she'll talk.
[01:02:35.360 --> 01:02:36.360]   I'll see.
[01:02:36.360 --> 01:02:37.360]   I'll double check.
[01:02:37.360 --> 01:02:42.360]   See if she's got, um, I don't know if she's got, I think I should be able to, I'll double,
[01:02:42.360 --> 01:02:45.360]   I'll double check her chat model, but yeah, you can add her and she'll chat.
[01:02:45.360 --> 01:02:46.360]   Yeah.
[01:02:46.360 --> 01:02:47.360]   Cool.
[01:02:47.360 --> 01:02:48.360]   All right.
[01:02:48.360 --> 01:02:49.360]   Okay.
[01:02:49.360 --> 01:02:50.360]   Uh, lots of people need to go.
[01:02:50.360 --> 01:02:51.360]   I need to go.
[01:02:51.360 --> 01:02:52.360]   Uh, thank you everyone.
[01:02:52.360 --> 01:02:53.360]   Thanks.
[01:02:53.360 --> 01:02:54.360]   I'm glad.
[01:02:54.360 --> 01:02:55.360]   Um, yeah.
[01:02:55.360 --> 01:02:56.360]   People want your, uh, your write up.
[01:02:56.360 --> 01:02:57.360]   Yeah.
[01:02:57.360 --> 01:02:58.360]   I'll share it in the discord server.
[01:02:58.360 --> 01:03:00.360]   I mean, like a few minutes.
[01:03:00.360 --> 01:03:01.360]   Okay.
[01:03:01.360 --> 01:03:02.360]   Bye everyone.
[01:03:02.360 --> 01:03:03.360]   Thank you so much.
[01:03:03.360 --> 01:03:04.360]   Thanks RJ.
[01:03:04.360 --> 01:03:05.360]   Okay.

