
[00:00:00.000 --> 00:00:05.840]   (applause)
[00:34:02.440 --> 00:34:05.520]   have provided a solution, but even then, they have
[00:34:05.580 --> 00:34:08.080]   to assume things like, well, is it a 25-year
[00:34:08.080 --> 00:34:10.280]   retirement or what the case will be?
[00:34:10.280 --> 00:34:13.160]   So, yes, in theory, you could try to use a bond
[00:34:13.160 --> 00:34:15.420]   fund to duration match the liability in your
[00:34:15.420 --> 00:34:17.360]   retirement that you're trying to fund.
[00:34:17.360 --> 00:34:22.900]   In practice, it's a very heavy-duty math problem to
[00:34:22.900 --> 00:34:25.840]   try to solve, and very few companies even offer
[00:34:25.840 --> 00:34:29.540]   solutions trying to do that.
[00:34:29.540 --> 00:34:32.720]   >> So, certainly doing a Treasury ladder or a TIPS
[00:34:32.780 --> 00:34:36.020]   ladder isn't unreasonable, yet, to be a little bit
[00:34:36.020 --> 00:34:38.120]   of a broken record, I always encourage folks to
[00:34:38.120 --> 00:34:39.860]   think about the complexity of the investment plan
[00:34:39.860 --> 00:34:41.660]   that they're going to put in place.
[00:34:41.660 --> 00:34:44.220]   Yes, you could do that, but I want you to consider,
[00:34:44.220 --> 00:34:47.600]   if you're making a 30-year ladder, and maybe you're
[00:34:47.600 --> 00:34:49.400]   in your 60s now, that means you're managing this
[00:34:49.400 --> 00:34:50.740]   thing into your 90s.
[00:34:50.740 --> 00:34:53.640]   Is that something that you want to be doing?
[00:34:53.640 --> 00:34:55.700]   And then, you also should have some considerations
[00:34:55.700 --> 00:34:57.400]   about your legacy investment plan.
[00:34:57.400 --> 00:34:59.940]   Maybe you love a bond ladder, but maybe your
[00:34:59.940 --> 00:35:00.700]   spouse doesn't.
[00:35:00.780 --> 00:35:02.980]   So, yes, it is one way to do it, and it's certainly
[00:35:02.980 --> 00:35:05.140]   reasonable, but I always want to encourage folks
[00:35:05.140 --> 00:35:06.920]   to keep it simple.
[00:35:06.920 --> 00:35:09.580]   Again, there's some really great zero-maintenance
[00:35:09.580 --> 00:35:13.420]   funds out there that have bonds of various
[00:35:13.420 --> 00:35:16.220]   maturities that, when you look at the total bonds
[00:35:16.220 --> 00:35:18.460]   that are in a bond ladder, aren't going to be too
[00:35:18.460 --> 00:35:23.500]   dissimilar from what you're going to get in a fund.
[00:35:23.500 --> 00:35:24.900]   >> We will be taking questions.
[00:35:24.900 --> 00:35:27.700]   Alan Roth is collecting your cards, so raise your
[00:35:27.700 --> 00:35:29.480]   hand if you have a question that you would
[00:35:29.540 --> 00:35:31.080]   like to turn over to Alan.
[00:35:31.080 --> 00:35:33.240]   I wanted to ask about taxes, and I think we could
[00:35:33.240 --> 00:35:36.340]   do this whole session on tax planning during and
[00:35:36.340 --> 00:35:37.740]   leading up to retirement.
[00:35:37.740 --> 00:35:40.680]   But I'd like to ask about people who are in the
[00:35:40.680 --> 00:35:43.920]   home stretch maybe five years before retirement.
[00:35:43.920 --> 00:35:46.380]   They're trying to decide what account types to
[00:35:46.380 --> 00:35:49.460]   prioritize if they're saving, which ones they
[00:35:49.460 --> 00:35:50.860]   should fund.
[00:35:50.860 --> 00:35:53.600]   Mike, maybe you can talk about how to triangulate
[00:35:53.600 --> 00:35:56.060]   that question, whether to make traditional tax
[00:35:56.060 --> 00:35:59.160]   deferred contributions or Roth contributions at
[00:35:59.240 --> 00:36:00.340]   that life stage.
[00:36:00.340 --> 00:36:01.500]   >> Sure.
[00:36:01.500 --> 00:36:05.900]   The answer there is actually the exact same
[00:36:05.900 --> 00:36:08.680]   answer it's been your whole career that you've had
[00:36:08.680 --> 00:36:11.340]   access to Roth and tax deferred anyway, which is
[00:36:11.340 --> 00:36:14.840]   it depends on the tax rate that you expect to be
[00:36:14.840 --> 00:36:16.780]   paying whenever these dollars come out of the
[00:36:16.780 --> 00:36:19.860]   account later as compared to the tax rate that would
[00:36:19.860 --> 00:36:22.500]   apply now, like what rate of tax savings would you
[00:36:22.500 --> 00:36:25.420]   get on tax deferred contributions.
[00:36:25.420 --> 00:36:26.560]   So, it's the exact same question.
[00:36:26.560 --> 00:36:29.000]   The only thing is that the circumstances, the
[00:36:29.060 --> 00:36:33.040]   inputs are different because A, your income in
[00:36:33.040 --> 00:36:35.540]   the years, at least for a lot of people, in the
[00:36:35.540 --> 00:36:37.340]   years immediately preceding retirement is
[00:36:37.340 --> 00:36:39.580]   often the highest it's been, not necessarily
[00:36:39.580 --> 00:36:42.440]   for some people, you know, you're scaling back.
[00:36:42.440 --> 00:36:43.940]   But the higher your rate of income, the more
[00:36:43.940 --> 00:36:46.420]   appealing tax deferred contributions become.
[00:36:46.420 --> 00:36:48.660]   But on the other hand, the closer you get towards
[00:36:48.660 --> 00:36:51.380]   retirement, the better we can see what did the
[00:36:51.380 --> 00:36:53.160]   account balances look like.
[00:36:53.160 --> 00:36:57.560]   And I know that for a lot of people, especially in
[00:36:57.620 --> 00:36:59.720]   the boomer generation where you had access to tax
[00:36:59.720 --> 00:37:01.760]   deferred for a good number of years before you had
[00:37:01.760 --> 00:37:02.960]   access to Roth at all.
[00:37:02.960 --> 00:37:04.800]   And when you did first get access to Roth, it was
[00:37:04.800 --> 00:37:07.100]   Roth IRAs with a tiny contribution limit.
[00:37:07.100 --> 00:37:10.740]   And so, for so many people in this room, you've got
[00:37:10.740 --> 00:37:14.940]   big tax deferred balances and much less big Roth
[00:37:14.940 --> 00:37:15.640]   balances.
[00:37:15.640 --> 00:37:18.740]   And so, that kind of starting to tell you the
[00:37:18.740 --> 00:37:21.020]   story of what the retirement tax rates going
[00:37:21.020 --> 00:37:21.680]   to look like.
[00:37:21.680 --> 00:37:24.820]   It's going to be higher than you might have guessed
[00:37:24.880 --> 00:37:27.680]   20 years ago when you first started, you know, or
[00:37:27.680 --> 00:37:29.060]   however many years ago when you first decided to
[00:37:29.060 --> 00:37:30.920]   start contributing to tax deferred accounts.
[00:37:30.920 --> 00:37:33.360]   And so, once we start to get that sense that, boy,
[00:37:33.360 --> 00:37:35.360]   there's a lot of tax deferred balances here and
[00:37:35.360 --> 00:37:37.500]   the tax rate in retirement is likely to be higher,
[00:37:37.500 --> 00:37:39.900]   then suddenly we're looking at Roth.
[00:37:39.900 --> 00:37:40.560]   Yeah.
[00:37:40.560 --> 00:37:48.640]   So, I did the presentation on this yesterday.
[00:37:48.640 --> 00:37:50.580]   It was like a fire hose, but I don't know if I ever
[00:37:50.580 --> 00:37:53.980]   really articulated, like, what you are actually
[00:37:54.040 --> 00:37:54.720]   doing.
[00:37:54.720 --> 00:37:56.720]   So, the kind of, for me, the tax efficient
[00:37:56.720 --> 00:37:59.980]   drawdown strategy with this is, while you still
[00:37:59.980 --> 00:38:03.020]   have taxable funds, you cover your spending needs
[00:38:03.020 --> 00:38:05.080]   through the taxable account, and then you're
[00:38:05.080 --> 00:38:07.400]   looking to see if on top of that you can do Roth
[00:38:07.400 --> 00:38:10.860]   conversions and pay taxes from the taxable account
[00:38:10.860 --> 00:38:12.720]   on those Roth conversions.
[00:38:12.720 --> 00:38:14.300]   And that's what's happening until the
[00:38:14.300 --> 00:38:16.300]   taxable account depletes.
[00:38:16.300 --> 00:38:18.600]   Then you switch over to, you now need to cover your
[00:38:18.600 --> 00:38:21.580]   spending needs through the IRA, the tax deferred
[00:38:21.640 --> 00:38:24.580]   account, and you're managing the tax threshold
[00:38:24.580 --> 00:38:26.980]   of, well, maybe you can meet all your spending
[00:38:26.980 --> 00:38:28.820]   needs and still do a Roth conversion.
[00:38:28.820 --> 00:38:30.180]   It's going to be a lot harder at that point
[00:38:30.180 --> 00:38:31.840]   because you've got to cover your spending needs
[00:38:31.840 --> 00:38:33.760]   through the IRA first, and that's generating a lot
[00:38:33.760 --> 00:38:35.220]   of taxable income.
[00:38:35.220 --> 00:38:37.420]   But if, otherwise, if the tax bracket you're
[00:38:37.420 --> 00:38:41.500]   managing is lower, you may, you're going to blend
[00:38:41.500 --> 00:38:43.820]   between the tax deferred account and the Roth to
[00:38:43.820 --> 00:38:45.120]   cover your spending needs.
[00:38:45.120 --> 00:38:47.360]   So, part of your spending comes from the IRA, the
[00:38:47.360 --> 00:38:49.100]   rest will come from the Roth.
[00:38:49.100 --> 00:38:50.160]   And then when we're talking about, well,
[00:38:50.240 --> 00:38:52.640]   what's the efficient tax rate to manage?
[00:38:52.640 --> 00:38:55.440]   The answer is partly driven by the tax rate
[00:38:55.440 --> 00:38:57.200]   that's efficient to manage is what's going to be
[00:38:57.200 --> 00:39:00.580]   allowing you to smooth distributions from the
[00:39:00.580 --> 00:39:02.720]   tax deferred and Roth accounts throughout your
[00:39:02.720 --> 00:39:05.520]   entire retirement so that you maintain that
[00:39:05.520 --> 00:39:08.560]   capacity to manage the particular level of
[00:39:08.560 --> 00:39:10.620]   income that you wanted to manage for that.
[00:39:10.620 --> 00:39:18.960]   Just to add one tiny point, because everything
[00:39:19.040 --> 00:39:22.040]   there is exactly how I would put it.
[00:39:22.040 --> 00:39:24.980]   I'll just add that it's, you're trying, ideally,
[00:39:24.980 --> 00:39:27.180]   not just to smooth the tax rate through your
[00:39:27.180 --> 00:39:29.400]   retirement, but also retirement and the ten
[00:39:29.400 --> 00:39:33.980]   years after you pass away because that's, frankly,
[00:39:33.980 --> 00:39:35.380]   when a lot of the money is going to be coming out
[00:39:35.380 --> 00:39:36.720]   of the account, most likely.
[00:39:36.720 --> 00:39:38.760]   And then, of course, we're looking at somebody else's
[00:39:38.760 --> 00:39:43.360]   tax rate or some, plural, somebody else's tax rate.
[00:39:43.360 --> 00:39:47.700]   And we started to talk a little bit about giving
[00:39:47.760 --> 00:39:51.500]   and one important question there is charitable
[00:39:51.500 --> 00:39:54.240]   giving to the extent that you're planning on
[00:39:54.240 --> 00:39:58.500]   leaving assets to the nonprofit, then that future
[00:39:58.500 --> 00:40:01.940]   tax rate is zero and that has a huge impact on all
[00:40:01.940 --> 00:40:04.700]   of these retirement tax planning decisions that
[00:40:04.700 --> 00:40:05.380]   we make.
[00:40:05.380 --> 00:40:06.940]   If a chunk of the money is going to be coming out
[00:40:06.940 --> 00:40:09.740]   later at a zero percent rate, that affects all of
[00:40:09.740 --> 00:40:11.820]   this math.
[00:40:11.820 --> 00:40:12.480]   Great point.
[00:40:12.480 --> 00:40:14.780]   And I would just note the Bogle Center is, indeed,
[00:40:14.860 --> 00:40:16.760]   a not-for-profit, a 501(c)(3).
[00:40:16.760 --> 00:40:21.720]   Now we're on to the good questions.
[00:40:21.720 --> 00:40:25.400]   Should you pay off your home before retirement?
[00:40:25.400 --> 00:40:28.940]   And just really quick, that's boglecenter.org/donate.
[00:40:28.940 --> 00:40:31.800]   Thank you, John.
[00:40:31.800 --> 00:40:34.440]   So, going back to, we touched on, hey, if I'm
[00:40:34.440 --> 00:40:36.880]   going to have long-term care expenses and there's
[00:40:36.880 --> 00:40:38.140]   going to be a big distribution, again,
[00:40:38.140 --> 00:40:40.620]   $100,000 maybe in that first year I need long-term
[00:40:40.620 --> 00:40:44.260]   care because that stuff, those facilities are
[00:40:44.320 --> 00:40:47.580]   expensive, you want to be investing not very
[00:40:47.580 --> 00:40:50.660]   aggressively because you're going to need that money
[00:40:50.660 --> 00:40:53.360]   to come out, ideally, not during a market
[00:40:53.360 --> 00:40:54.020]   correction.
[00:40:54.020 --> 00:40:55.120]   If there is a market correction, you want your
[00:40:55.120 --> 00:40:57.600]   portfolio less impacted and investing more
[00:40:57.600 --> 00:41:00.340]   conservatively helps ensure that.
[00:41:00.340 --> 00:41:01.540]   So, it's going to be the same thing with the
[00:41:01.540 --> 00:41:04.600]   decision to pay off that mortgage because if you
[00:41:04.600 --> 00:41:06.900]   don't pay off the mortgage and now there's a market
[00:41:06.900 --> 00:41:09.080]   correction, that means that's a bigger amount
[00:41:09.080 --> 00:41:11.140]   that has to come out of the portfolio during a
[00:41:11.140 --> 00:41:11.820]   market drawdown.
[00:41:11.820 --> 00:41:13.340]   It's that mortgage payment.
[00:41:13.420 --> 00:41:15.780]   So, by not having that mortgage payment, now you
[00:41:15.780 --> 00:41:18.480]   don't have to take out as much of your portfolio
[00:41:18.480 --> 00:41:19.960]   during a market drawdown.
[00:41:19.960 --> 00:41:22.320]   So, paying off your mortgage is a risk
[00:41:22.320 --> 00:41:24.860]   management strategy in retirement.
[00:41:24.860 --> 00:41:26.760]   That's what folks want to be thinking about with
[00:41:26.760 --> 00:41:28.520]   respect to, hey, should I pay this thing off or
[00:41:28.520 --> 00:41:29.460]   it's not.
[00:41:29.460 --> 00:41:32.500]   So, how do rising yields figure into this because
[00:41:32.500 --> 00:41:34.700]   many people now have mortgage interest rates
[00:41:34.700 --> 00:41:36.840]   that are well below what they could get on very
[00:41:36.840 --> 00:41:39.080]   safe securities?
[00:41:39.080 --> 00:41:40.840]   Yeah, so if you're looking at your total
[00:41:40.900 --> 00:41:43.320]   portfolio, the total portfolio performance,
[00:41:43.320 --> 00:41:46.360]   again, let's think about that one single balance
[00:41:46.360 --> 00:41:47.040]   fund.
[00:41:47.040 --> 00:41:48.800]   I'm going to keep my investments simple.
[00:41:48.800 --> 00:41:50.400]   Your portfolio is still going to be down
[00:41:50.400 --> 00:41:53.840]   regardless of what you're getting on the bonds.
[00:41:53.840 --> 00:41:56.700]   So, to manage risk, to avoid having to spend
[00:41:56.700 --> 00:41:59.300]   more from your portfolio when the market is down,
[00:41:59.300 --> 00:42:05.380]   you don't want to have that mortgage payment.
[00:42:05.380 --> 00:42:09.660]   If your mortgage rate is 3% and cash or bonds are
[00:42:09.720 --> 00:42:15.260]   yielding 5-ish, it's not super appealing to
[00:42:15.260 --> 00:42:18.360]   eliminate 5% yielding investments to pay down
[00:42:18.360 --> 00:42:19.900]   3% interest rate.
[00:42:19.900 --> 00:42:22.040]   On the other hand, for anybody who has a new
[00:42:22.040 --> 00:42:25.100]   mortgage, and so it's a 7 point whatever percent
[00:42:25.100 --> 00:42:27.200]   interest rate, that's, you know, the math is
[00:42:27.200 --> 00:42:29.000]   exactly the opposite.
[00:42:29.000 --> 00:42:30.680]   Yeah, okay.
[00:42:30.680 --> 00:42:36.520]   Mike, can you talk about your funded ratio Excel?
[00:42:36.580 --> 00:42:40.680]   Sure, so this is just an article I wrote a while
[00:42:40.680 --> 00:42:42.880]   ago that just explained the funded ratio concept,
[00:42:42.880 --> 00:42:44.320]   which is what Wade was talking about.
[00:42:44.320 --> 00:42:47.880]   And frankly, Wade is a much deeper expert in this
[00:42:47.880 --> 00:42:50.020]   concept than I am.
[00:42:50.020 --> 00:42:54.160]   In the article, I just made a very, very quick
[00:42:54.160 --> 00:42:56.700]   spreadsheet to illustrate the way that the math
[00:42:56.700 --> 00:42:58.940]   works, just so you can see how it works in Excel if
[00:42:58.940 --> 00:43:01.900]   you're an Excel sort of person.
[00:43:01.900 --> 00:43:05.840]   Wade has built an actual application, which
[00:43:05.900 --> 00:43:08.580]   includes tax calculations and on and on.
[00:43:08.580 --> 00:43:12.480]   And so, the spreadsheet is basically an
[00:43:12.480 --> 00:43:14.580]   illustration of how funded ratio math works.
[00:43:14.580 --> 00:43:16.420]   That's what I would say.
[00:43:16.420 --> 00:43:18.460]   But I think really, if we want to hear more about
[00:43:18.460 --> 00:43:20.260]   funded ratio, Wade is definitely the person.
[00:43:20.260 --> 00:43:26.260]   At Retirement Researcher, we do quarterly
[00:43:26.260 --> 00:43:27.320]   retirement income challenges.
[00:43:27.320 --> 00:43:28.600]   A lot of local heads have joined them.
[00:43:28.600 --> 00:43:31.100]   They're free and it's a week-long thing and you
[00:43:31.100 --> 00:43:33.260]   have access to our funded ratio tool during the
[00:43:33.260 --> 00:43:35.340]   week and you're free to use it for the week.
[00:43:35.400 --> 00:43:37.940]   And run your plan and all that sort of thing.
[00:43:37.940 --> 00:43:40.280]   And it's no obligation involved.
[00:43:40.280 --> 00:43:42.340]   Just kind of leave it there as a plug.
[00:43:42.340 --> 00:43:43.440]   Okay.
[00:43:43.440 --> 00:43:46.940]   Here's another household capital allocation question.
[00:43:46.940 --> 00:43:49.180]   My husband retired three years ago and I have three
[00:43:49.180 --> 00:43:51.120]   or four years before I retire.
[00:43:51.120 --> 00:43:53.220]   Does it make sense for me to keep contributing to
[00:43:53.220 --> 00:43:57.320]   my 401(k) while my husband is taking from his IRA?
[00:43:57.320 --> 00:43:59.260]   I can't get a grasp on what to do.
[00:43:59.260 --> 00:44:01.320]   We are debt free.
[00:44:04.960 --> 00:44:06.960]   Sorry, could you repeat the scenario?
[00:44:06.960 --> 00:44:09.560]   Yes, she is contributing to her 401(k), still
[00:44:09.560 --> 00:44:10.240]   working.
[00:44:10.240 --> 00:44:13.600]   Husband is retired and pulling from his IRA to
[00:44:13.600 --> 00:44:16.240]   maybe meet additional living expenses that they
[00:44:16.240 --> 00:44:18.140]   need above and beyond her income.
[00:44:18.140 --> 00:44:22.820]   And is it wise for them to continue down this path?
[00:44:22.820 --> 00:44:25.280]   Knowing that we can't provide anyone with
[00:44:25.280 --> 00:44:27.220]   specific advice knowing that we don't know their
[00:44:27.220 --> 00:44:28.020]   whole situation.
[00:44:28.020 --> 00:44:28.680]   Sure.
[00:44:28.680 --> 00:44:30.620]   So in that case, basically all we're doing is
[00:44:30.620 --> 00:44:33.720]   we're swapping IRA dollars for 401(k) dollars.
[00:44:33.780 --> 00:44:35.860]   They're both tax deferred in that sense.
[00:44:35.860 --> 00:44:39.100]   It's a wash and 401(k) dollars can become IRA
[00:44:39.100 --> 00:44:41.660]   dollars later.
[00:44:41.660 --> 00:44:43.760]   So I guess a couple of concepts there that might
[00:44:43.760 --> 00:44:46.660]   apply is that 401(k)s have better asset
[00:44:46.660 --> 00:44:49.640]   protection in terms of if you get sued, that might
[00:44:49.640 --> 00:44:51.040]   be relevant, might not be relevant to your
[00:44:51.040 --> 00:44:52.700]   household.
[00:44:52.700 --> 00:44:56.040]   Another point that is relevant I guess also as I
[00:44:56.040 --> 00:44:58.140]   just think about this is that we're not only
[00:44:58.140 --> 00:45:03.720]   swapping IRA for 401(k) but we're swapping his
[00:45:03.760 --> 00:45:04.660]   for hers.
[00:45:04.660 --> 00:45:08.600]   And so if they're different ages, then that
[00:45:08.600 --> 00:45:09.960]   could be relevant also potentially.
[00:45:09.960 --> 00:45:13.540]   But it's probably really not that big of a
[00:45:13.540 --> 00:45:15.100]   decision, frankly.
[00:45:15.100 --> 00:45:16.940]   It's not changing that much to go from one
[00:45:16.940 --> 00:45:18.200]   account to the other, especially once you're
[00:45:18.200 --> 00:45:20.740]   already retired and you've got the ability to move
[00:45:20.740 --> 00:45:21.580]   the money between them.
[00:45:21.580 --> 00:45:26.340]   Oh, yes.
[00:45:26.340 --> 00:45:27.880]   Then that for sure.
[00:45:27.880 --> 00:45:28.540]   Right.
[00:45:28.540 --> 00:45:29.220]   That's a great point.
[00:45:29.220 --> 00:45:31.420]   If there is a match in the 401(k), we still
[00:45:31.420 --> 00:45:32.720]   definitely want to be getting at least that
[00:45:32.720 --> 00:45:33.380]   match.
[00:45:33.460 --> 00:45:34.120]   Excellent.
[00:45:34.120 --> 00:45:37.660]   And related to what Mike said too, if she's
[00:45:37.660 --> 00:45:40.200]   younger, that would be a way to help defer R&Ds
[00:45:40.200 --> 00:45:41.500]   into the future as well.
[00:45:41.500 --> 00:45:42.900]   Yeah, good point.
[00:45:42.900 --> 00:45:45.900]   You know, related to this, Jamie Hopkins, who's a
[00:45:45.900 --> 00:45:50.500]   retirement guy, made a point to me that for some
[00:45:50.500 --> 00:45:53.640]   people, the greater good is actually to stop
[00:45:53.640 --> 00:45:57.820]   contributing to their retirement plans if it
[00:45:57.820 --> 00:46:00.340]   can help them continue to work longer.
[00:46:00.420 --> 00:46:04.120]   If they can spend what they would otherwise save
[00:46:04.120 --> 00:46:05.920]   and that makes them - just gives them a better
[00:46:05.920 --> 00:46:07.380]   quality of life.
[00:46:07.380 --> 00:46:08.160]   John, you're nodding.
[00:46:08.160 --> 00:46:09.860]   Have you run into this with clients?
[00:46:09.860 --> 00:46:13.920]   The math is certainly there because if the
[00:46:13.920 --> 00:46:17.020]   option A is, A, I retire and now I'm pulling $100
[00:46:17.020 --> 00:46:20.460]   grand out from my portfolio, or option B is
[00:46:20.460 --> 00:46:24.040]   I'm just not going to put $10 grand in more next
[00:46:24.040 --> 00:46:27.280]   year, then certainly not taking $100 grand out,
[00:46:27.280 --> 00:46:29.000]   that's going to increase the odds of your
[00:46:29.000 --> 00:46:29.680]   retirement plan.
[00:46:29.740 --> 00:46:31.580]   So if someone's looking at that decision and their
[00:46:31.580 --> 00:46:34.520]   retirement plan needs some work, they're not really
[00:46:34.520 --> 00:46:36.780]   fully funded, that could be a very reasonable way
[00:46:36.780 --> 00:46:37.460]   to go.
[00:46:37.460 --> 00:46:42.560]   Yeah, just the best way to get a retirement plan on
[00:46:42.560 --> 00:46:44.160]   track is to work longer.
[00:46:44.160 --> 00:46:47.000]   Just what you're doing with that is it's another year
[00:46:47.000 --> 00:46:51.560]   of work, so more time for your savings to grow, a
[00:46:51.560 --> 00:46:53.800]   shorter than subsequent retirement horizon.
[00:46:53.800 --> 00:46:55.840]   You may be increasing your Social Security benefit
[00:46:55.840 --> 00:46:57.680]   as well by working longer.
[00:46:57.740 --> 00:47:01.780]   So at the end of the day, if doing this idea of
[00:47:01.780 --> 00:47:03.580]   taking it, don't contribute to your
[00:47:03.580 --> 00:47:06.520]   savings, but instead take a vacation and then that
[00:47:06.520 --> 00:47:09.520]   allows you to work longer, yes, financially that
[00:47:09.520 --> 00:47:12.120]   would be better than worrying that you didn't
[00:47:12.120 --> 00:47:16.260]   make the full contribution to your retirement plan.
[00:47:16.260 --> 00:47:17.960]   Question related to long-term care.
[00:47:17.960 --> 00:47:20.260]   My long-term care insurance premium is going
[00:47:20.260 --> 00:47:22.160]   up for the fourth time.
[00:47:22.160 --> 00:47:24.200]   Is there a product available where the costs
[00:47:24.200 --> 00:47:25.260]   are more predictable?
[00:47:25.340 --> 00:47:28.840]   Does anyone have any specific knowledge of, I
[00:47:28.840 --> 00:47:30.640]   assume this is like a pure long-term care
[00:47:30.640 --> 00:47:32.800]   insurance policy.
[00:47:32.800 --> 00:47:35.480]   Yeah, that's where the hybrid products usually
[00:47:35.480 --> 00:47:38.220]   have guaranteed premiums and part of the whole
[00:47:38.220 --> 00:47:40.920]   effort to create those in the first place was this
[00:47:40.920 --> 00:47:43.320]   issue that with traditional long-term care,
[00:47:43.320 --> 00:47:45.880]   premiums can be increased over time and that's
[00:47:45.880 --> 00:47:47.560]   what's tended to happen.
[00:47:47.560 --> 00:47:49.920]   So that is one of the selling points of the
[00:47:49.920 --> 00:47:52.460]   hybrid products is that you are guaranteed not to
[00:47:52.460 --> 00:47:54.200]   have premium increases in the future.
[00:47:54.260 --> 00:47:56.560]   I don't know the scenario at this point about
[00:47:56.560 --> 00:47:58.460]   switching to something else.
[00:47:58.460 --> 00:48:00.940]   You really have to do the analysis at that point,
[00:48:00.940 --> 00:48:03.540]   but that's an option.
[00:48:03.540 --> 00:48:06.380]   Do any of you have experience with switching
[00:48:06.380 --> 00:48:10.120]   from a pure life insurance product to a hybrid
[00:48:10.120 --> 00:48:13.320]   product doing, you know, 1035 exchange from one to
[00:48:13.320 --> 00:48:15.420]   the other?
[00:48:15.420 --> 00:48:16.080]   No?
[00:48:16.080 --> 00:48:18.180]   Not personal experience, but that is another point.
[00:48:18.180 --> 00:48:20.880]   When I mentioned in the previous session I got a
[00:48:20.880 --> 00:48:23.160]   whole life policy and I didn't realize it when I
[00:48:23.220 --> 00:48:26.160]   was purchasing it, but it has an acceleration of
[00:48:26.160 --> 00:48:28.560]   death benefit rider that if I have a long-term care
[00:48:28.560 --> 00:48:31.260]   need, I can - it's not a hybrid policy,
[00:48:31.260 --> 00:48:34.140]   but I can accelerate to receive the death benefit
[00:48:34.140 --> 00:48:36.060]   to pay for long-term care needs.
[00:48:36.060 --> 00:48:38.600]   So that - you may have something like that
[00:48:38.600 --> 00:48:39.280]   already.
[00:48:39.280 --> 00:48:40.700]   You might want to check your life insurance,
[00:48:40.700 --> 00:48:44.680]   but if not, you can do the 1035 exchange where you
[00:48:44.680 --> 00:48:46.580]   switch from one life insurance policy to
[00:48:46.580 --> 00:48:49.180]   another, including these hybrid policies,
[00:48:49.180 --> 00:48:52.960]   without creating a taxable event.
[00:48:53.020 --> 00:48:55.280]   So I assume this is from someone who is already
[00:48:55.280 --> 00:48:56.020]   retired.
[00:48:56.020 --> 00:48:57.960]   The question is for each year,
[00:48:57.960 --> 00:49:00.220]   would it be better to withdraw once a year,
[00:49:00.220 --> 00:49:02.720]   semi-annually, quarterly, or monthly?
[00:49:02.720 --> 00:49:06.600]   Any thoughts on sort of the cadence of
[00:49:06.600 --> 00:49:08.960]   distributions?
[00:49:08.960 --> 00:49:10.940]   So again, I've got that bias for simplicity.
[00:49:10.940 --> 00:49:12.500]   Make it easy on yourself.
[00:49:12.500 --> 00:49:13.940]   Do it once a year and then, you know,
[00:49:13.940 --> 00:49:14.780]   go live your life.
[00:49:14.780 --> 00:49:16.740]   Don't, you know, look at your portfolio every
[00:49:16.740 --> 00:49:19.920]   month.
[00:49:19.920 --> 00:49:20.580]   Yeah.
[00:49:20.640 --> 00:49:22.640]   Mathematically, obviously, in theory,
[00:49:22.640 --> 00:49:25.520]   the longer you leave your assets invested,
[00:49:25.520 --> 00:49:27.420]   the greater the return will be.
[00:49:27.420 --> 00:49:29.620]   But if we're talking about leaving them invested for
[00:49:29.620 --> 00:49:32.620]   a few more months for a relatively small amount
[00:49:32.620 --> 00:49:34.320]   because it's just a few months of spending,
[00:49:34.320 --> 00:49:36.380]   it's not a big difference.
[00:49:36.380 --> 00:49:39.800]   Yeah.
[00:49:39.800 --> 00:49:41.460]   A lot of the research just assumes you take out
[00:49:41.460 --> 00:49:43.060]   once a year at the start of the year because it's
[00:49:43.060 --> 00:49:44.020]   using annual data.
[00:49:44.020 --> 00:49:46.300]   But the reality is you might smooth that over
[00:49:46.300 --> 00:49:46.960]   time.
[00:49:46.960 --> 00:49:49.460]   And also, just if you're spending the qualified
[00:49:49.540 --> 00:49:51.880]   dividends and interest payments and so forth,
[00:49:51.880 --> 00:49:53.700]   that may be an automatic way over time of
[00:49:53.700 --> 00:49:56.280]   replenishing your checking account by having those
[00:49:56.280 --> 00:49:58.180]   payments go there rather than necessarily
[00:49:58.180 --> 00:49:59.520]   reinvesting them when you're in the
[00:49:59.520 --> 00:50:00.780]   retirement phase.
[00:50:00.780 --> 00:50:01.520]   Okay.
[00:50:01.520 --> 00:50:03.860]   Here's a question to end on.
[00:50:03.860 --> 00:50:08.060]   Best DIY tools for pre-retirement and
[00:50:08.060 --> 00:50:09.900]   retirement income planning?
[00:50:09.900 --> 00:50:12.600]   Wade's book is great, but I don't want to build
[00:50:12.600 --> 00:50:16.560]   ground-up spreadsheets from the ground up.
[00:50:16.560 --> 00:50:19.200]   So, quick, maybe lightning round here.
[00:50:19.260 --> 00:50:23.140]   What are your favorite go-to tools that are maybe
[00:50:23.140 --> 00:50:26.240]   free or, you know, very nominal charge or even
[00:50:26.240 --> 00:50:28.240]   maybe some that charge a little bit more that you
[00:50:28.240 --> 00:50:31.320]   think are worthwhile?
[00:50:31.320 --> 00:50:31.980]   Yeah.
[00:50:31.980 --> 00:50:33.380]   So, a bit of a broken record.
[00:50:33.380 --> 00:50:35.860]   So, I care less about the exact tool that you use,
[00:50:35.860 --> 00:50:38.820]   but understand that this is just one calculator
[00:50:38.820 --> 00:50:41.220]   making a whole bunch of silly guesses about the
[00:50:41.220 --> 00:50:43.260]   future that probably aren't going to all come
[00:50:43.260 --> 00:50:43.920]   out.
[00:50:43.920 --> 00:50:45.900]   So, regardless of what tool you have, again,
[00:50:45.900 --> 00:50:47.800]   understand that if all doesn't go according to
