
[00:00:00.000 --> 00:00:02.320]   I hate affirmative action.
[01:42:44.860 --> 01:42:46.620]   a very distinguished lecture in his field
[01:42:46.620 --> 01:42:49.340]   based on planetary science.
[01:42:49.340 --> 01:42:51.540]   I don't know exactly what it is.
[01:42:51.540 --> 01:42:52.880]   I'm not a scientist.
[01:42:52.880 --> 01:42:57.460]   But in any case, because he had said
[01:42:57.460 --> 01:42:59.980]   that he didn't like affirmative action
[01:42:59.980 --> 01:43:01.780]   and he thought affirmative action was racist,
[01:43:01.780 --> 01:43:02.860]   that's basically what he said.
[01:43:02.860 --> 01:43:05.300]   Why are we looking at people based upon their race
[01:43:05.300 --> 01:43:07.420]   and decide we should just do it on the merit?
[01:43:07.420 --> 01:43:09.140]   That was his position.
[01:43:09.140 --> 01:43:12.340]   Now, people protesting at the university
[01:43:12.340 --> 01:43:16.060]   where he was invited, MIT, saying that he's a racist
[01:43:16.060 --> 01:43:17.620]   because he had that opinion.
[01:43:17.620 --> 01:43:19.100]   He gets disinvited.
[01:43:19.100 --> 01:43:26.340]   Charles Murray is a popular social science writer
[01:43:26.340 --> 01:43:31.980]   who is famous for his book about IQ, "The Bell Curve,"
[01:43:31.980 --> 01:43:36.660]   one chapter of which chronicles the racial differences
[01:43:36.660 --> 01:43:39.420]   between black and white in performance
[01:43:39.420 --> 01:43:42.980]   on mental ability tests and speculates
[01:43:42.980 --> 01:43:44.940]   about the extent to which such differences
[01:43:44.940 --> 01:43:48.260]   may be connected with the genetic inheritance
[01:43:48.260 --> 01:43:51.020]   of these racially distinct populations.
[01:43:51.020 --> 01:43:53.860]   Now, he could be wrong about everything that he's saying.
[01:43:53.860 --> 01:43:57.180]   The Southern Poverty Law Center
[01:43:57.180 --> 01:43:59.700]   calls him a white supremacist
[01:43:59.700 --> 01:44:04.700]   because he observes that there are racial differences
[01:44:04.700 --> 01:44:08.580]   in measured intellectual ability
[01:44:08.580 --> 01:44:11.340]   amongst Americans of different racial descent.
[01:44:11.340 --> 01:44:14.700]   He could be wrong.
[01:44:14.700 --> 01:44:16.140]   Let me stipulate that he is wrong.
[01:44:16.140 --> 01:44:18.500]   I mean, I don't wanna argue about whether he's right
[01:44:18.500 --> 01:44:20.540]   or about whether he's wrong.
[01:44:20.540 --> 01:44:24.620]   He's addressing himself to a factual issue.
[01:44:24.620 --> 01:44:26.340]   And now the issue becomes,
[01:44:26.340 --> 01:44:29.900]   instead of grappling with the factual questions at hand
[01:44:29.900 --> 01:44:32.140]   and demonstrating his rightness or wrongness
[01:44:32.140 --> 01:44:35.740]   about those questions, the issue becomes his character.
[01:44:35.740 --> 01:44:36.980]   He's a racist.
[01:44:37.980 --> 01:44:42.980]   That's, in my mind, a lot like calling him a witch.
[01:44:42.980 --> 01:44:48.060]   The use of that word now, I think,
[01:44:48.060 --> 01:44:53.060]   has parallels to accusing people of witchcraft
[01:44:53.060 --> 01:44:56.860]   because they have views about substantive questions
[01:44:56.860 --> 01:45:01.100]   that bear on racial inequality or racial difference
[01:45:01.100 --> 01:45:04.060]   that a person finds unacceptable
[01:45:04.060 --> 01:45:05.380]   or that a person disagrees with.
[01:45:05.380 --> 01:45:07.500]   And you think you can shut somebody up.
[01:45:07.500 --> 01:45:13.860]   Crime in the cities of Chicago, St. Louis,
[01:45:13.860 --> 01:45:19.260]   Baltimore, Philadelphia, Washington, DC is out of control,
[01:45:19.260 --> 01:45:20.940]   some person might say.
[01:45:20.940 --> 01:45:22.580]   Murder rate is high.
[01:45:22.580 --> 01:45:23.980]   Who's committing those crimes?
[01:45:23.980 --> 01:45:26.380]   They're mostly black young men
[01:45:26.380 --> 01:45:28.340]   who are doing the carjackings
[01:45:28.340 --> 01:45:29.460]   and who are doing the shootings.
[01:45:29.460 --> 01:45:30.700]   They're killing each other.
[01:45:30.700 --> 01:45:33.220]   They're making our city unlivable.
[01:45:33.220 --> 01:45:36.860]   Now, that's a hypothetical statement that I offer.
[01:45:36.860 --> 01:45:39.540]   It might be correct.
[01:45:39.540 --> 01:45:41.580]   It might be incorrect.
[01:45:41.580 --> 01:45:43.140]   It might be appropriate.
[01:45:43.140 --> 01:45:44.340]   It might be inappropriate.
[01:45:44.340 --> 01:45:47.820]   It may be true, but something that we would be better off
[01:45:47.820 --> 01:45:50.220]   if people didn't focus on, I don't know.
[01:45:50.220 --> 01:45:54.300]   Responding to someone making that statement,
[01:45:54.300 --> 01:45:57.380]   have you seen what has happened to my city?
[01:45:57.380 --> 01:46:00.140]   It used to be that you could go to North Michigan Avenue
[01:46:00.140 --> 01:46:02.140]   and you could find one after another,
[01:46:02.140 --> 01:46:03.380]   after another high-end shop.
[01:46:03.380 --> 01:46:05.780]   This is in Chicago, my hometown.
[01:46:05.780 --> 01:46:09.380]   And tourists would come and they'd go to the theater
[01:46:09.380 --> 01:46:11.300]   and there were restaurants and they'd go out.
[01:46:11.300 --> 01:46:12.500]   They don't do it anymore.
[01:46:12.500 --> 01:46:13.340]   You know what?
[01:46:13.340 --> 01:46:14.460]   Half of those stores are boarded up now.
[01:46:14.460 --> 01:46:15.580]   You know why?
[01:46:15.580 --> 01:46:17.820]   Because when George Floyd was killed,
[01:46:17.820 --> 01:46:21.140]   black people mobbed in the city
[01:46:21.140 --> 01:46:23.420]   and they burnt and they rioted and they looted.
[01:46:23.420 --> 01:46:25.220]   And it hasn't been the same ever since.
[01:46:25.220 --> 01:46:27.060]   And I'm moving to the suburbs.
[01:46:27.060 --> 01:46:29.060]   I'll be damned if I'm gonna send my children
[01:46:29.060 --> 01:46:29.900]   to those schools.
[01:46:29.900 --> 01:46:31.500]   A person could say that.
[01:46:31.500 --> 01:46:33.500]   They might be right, they might be wrong to say it.
[01:46:33.500 --> 01:46:36.260]   Calling them a racist is exactly not
[01:46:36.260 --> 01:46:39.020]   a rebuttal of what they said.
[01:46:39.020 --> 01:46:39.980]   It's a move.
[01:46:39.980 --> 01:46:43.540]   It's a move to try to take control of the conversation
[01:46:43.540 --> 01:46:45.820]   by accusing someone of having bad character
[01:46:45.820 --> 01:46:48.260]   because they said something that made you uncomfortable,
[01:46:48.260 --> 01:46:49.660]   which you can't deal with.
[01:46:49.660 --> 01:46:52.820]   So you think you can shut them up by calling them a racist.
[01:46:52.820 --> 01:46:55.100]   You might as well be calling them a witch.
[01:46:55.100 --> 01:46:57.180]   You might as well be calling for their head on a platter
[01:46:57.180 --> 01:47:00.180]   because they believe that Satan is Lord,
[01:47:00.180 --> 01:47:03.980]   because that's the kind of quote, argument,
[01:47:03.980 --> 01:47:06.380]   close quote, which is precisely not an argument
[01:47:06.380 --> 01:47:09.820]   that people who invoke that term are using.
[01:47:09.820 --> 01:47:12.180]   And here's what I have to say about that.
[01:47:12.180 --> 01:47:17.180]   It's a fool's errand to try to refute somebody
[01:47:17.180 --> 01:47:18.580]   by calling them a witch.
[01:47:18.580 --> 01:47:23.180]   Likewise, it's a fool's errand to try to rebut
[01:47:23.180 --> 01:47:26.300]   the contrary forces in American politics
[01:47:26.300 --> 01:47:29.420]   that are a reaction often to real things
[01:47:29.420 --> 01:47:31.540]   that are going on on the ground in black communities
[01:47:31.540 --> 01:47:33.460]   in the cities across this country
[01:47:33.460 --> 01:47:35.420]   by calling people a racist.
[01:47:35.420 --> 01:47:39.220]   You may shut them up, but you won't change their minds.
[01:47:39.220 --> 01:47:40.060]   And you know what?
[01:47:40.060 --> 01:47:41.780]   At the end of the day, they're gonna go to the ballot box
[01:47:41.780 --> 01:47:43.100]   and they're gonna vote.
[01:47:43.100 --> 01:47:45.460]   They're gonna pick up their store
[01:47:45.460 --> 01:47:47.620]   and they're gonna move it to the other side of town
[01:47:47.620 --> 01:47:49.740]   or to another town altogether.
[01:47:49.740 --> 01:47:51.980]   They're gonna keep their children away
[01:47:51.980 --> 01:47:53.860]   from places where they think the influences
[01:47:53.860 --> 01:47:55.980]   are harmful to those children.
[01:47:55.980 --> 01:47:58.660]   They may not even talk about it in public.
[01:47:58.660 --> 01:48:00.180]   You can believe that in private
[01:48:00.180 --> 01:48:02.540]   that they're talking about it with each other.
[01:48:02.540 --> 01:48:05.420]   You had better find a more effective way
[01:48:05.420 --> 01:48:07.620]   of dealing with the conflicts in this country
[01:48:07.620 --> 01:48:09.860]   that fall along racial fault lines
[01:48:09.860 --> 01:48:11.700]   than calling people witches,
[01:48:11.700 --> 01:48:16.020]   which is what this, you know, anti-racist.
[01:48:16.020 --> 01:48:18.100]   You're a racist because you think that
[01:48:18.100 --> 01:48:20.260]   they oughta wed like birthright amongst black Americans.
[01:48:20.260 --> 01:48:21.980]   The seven babies out of 10 are born
[01:48:21.980 --> 01:48:23.700]   to a woman without a husband.
[01:48:23.700 --> 01:48:25.260]   Their families are falling apart.
[01:48:25.260 --> 01:48:26.460]   Now, no one says that in public
[01:48:26.460 --> 01:48:27.780]   because they'd be called a racist
[01:48:27.780 --> 01:48:29.100]   if they said it in public.
[01:48:29.100 --> 01:48:32.420]   But as a matter of fact, the families are falling apart.
[01:48:32.420 --> 01:48:33.860]   You didn't change that in the least
[01:48:33.860 --> 01:48:35.940]   by telling people to shut up about it.
[01:48:35.940 --> 01:48:38.260]   Daniel Patrick Moynihan is called a racist
[01:48:38.260 --> 01:48:40.660]   in the 1960s, the late senator,
[01:48:40.660 --> 01:48:43.900]   the late New York senator who was a federal employee
[01:48:43.900 --> 01:48:45.620]   and an intellectual writing reports.
[01:48:45.620 --> 01:48:47.540]   And he writes a report about the Negro family,
[01:48:47.540 --> 01:48:48.980]   he called it in those years.
[01:48:48.980 --> 01:48:50.100]   If I use the word Negro,
[01:48:50.100 --> 01:48:52.260]   now they're gonna call me a racist if I'm a white person.
[01:48:52.260 --> 01:48:54.220]   I can't even use the word Negro,
[01:48:54.220 --> 01:48:57.620]   which is a historically legitimate reference
[01:48:57.620 --> 01:49:00.820]   to the descendants of the slaves,
[01:49:00.820 --> 01:49:03.420]   enslaved people, which we were, as black Americans,
[01:49:03.420 --> 01:49:05.460]   proud to use until yesterday.
[01:49:05.460 --> 01:49:09.060]   So all of this linguistic policing
[01:49:09.060 --> 01:49:12.100]   is a sign of weakness.
[01:49:12.100 --> 01:49:15.500]   It's false black power.
[01:49:15.500 --> 01:49:17.140]   People will cede you the ground.
[01:49:17.140 --> 01:49:18.380]   Okay, you don't want me to use that word,
[01:49:18.380 --> 01:49:19.420]   I won't use that word anymore.
[01:49:19.420 --> 01:49:21.260]   Okay, you don't want me to talk about that in public?
[01:49:21.260 --> 01:49:23.580]   All right, I won't talk about it in public anymore.
[01:49:23.580 --> 01:49:25.020]   I don't wanna be called a racist, okay,
[01:49:25.020 --> 01:49:26.780]   so I won't express my opinion.
[01:49:26.780 --> 01:49:28.580]   You haven't changed anybody's mind.
[01:49:28.580 --> 01:49:30.820]   You know, so--
[01:49:30.820 --> 01:49:34.540]   - And you've also mentioned that for that,
[01:49:34.540 --> 01:49:36.020]   you haven't changed anybody's mind,
[01:49:36.020 --> 01:49:40.260]   but also for things like in universities and institutions,
[01:49:40.260 --> 01:49:42.980]   there's a diversity, inclusion,
[01:49:42.980 --> 01:49:46.740]   and equity kind of meetings and education and so on.
[01:49:46.740 --> 01:49:48.540]   And I believe I read somewhere,
[01:49:48.540 --> 01:49:51.020]   I've been, like I mentioned to you offline,
[01:49:51.020 --> 01:49:55.100]   big fan of your Glenn show, people should listen to it.
[01:49:55.100 --> 01:49:55.940]   It's amazing.
[01:49:56.900 --> 01:49:59.780]   There's also just interviews of you that I've listened to.
[01:49:59.780 --> 01:50:00.820]   I believe you mentioned somewhere
[01:50:00.820 --> 01:50:02.740]   that even those kinds of meetings,
[01:50:02.740 --> 01:50:05.940]   people might sit through and nod along,
[01:50:05.940 --> 01:50:09.780]   but that doesn't necessarily mean that's making progress,
[01:50:09.780 --> 01:50:10.900]   that they may not,
[01:50:10.900 --> 01:50:15.620]   they may actually be bottling up a frustration.
[01:50:15.620 --> 01:50:17.700]   The fear is that that's going to result
[01:50:17.700 --> 01:50:22.580]   in a pendulum sort of pushback
[01:50:22.580 --> 01:50:26.060]   towards this idea of forced appreciation,
[01:50:26.060 --> 01:50:30.980]   like forced anti-racism kind of thing.
[01:50:30.980 --> 01:50:34.020]   - I talk about this often in my podcast,
[01:50:34.020 --> 01:50:35.340]   that's the Glenn show, you know,
[01:50:35.340 --> 01:50:38.700]   and you can find the Glenn show on my YouTube channel
[01:50:38.700 --> 01:50:39.980]   and also at Substack.
[01:50:39.980 --> 01:50:42.740]   - Yeah, you have a great Substack.
[01:50:42.740 --> 01:50:44.900]   You and your friend do Q&As
[01:50:44.900 --> 01:50:46.780]   and all that kind of stuff on Patreon.
[01:50:46.780 --> 01:50:47.620]   - Yeah.
[01:50:47.620 --> 01:50:49.620]   - So yeah, so people should definitely follow you.
[01:50:49.620 --> 01:50:51.420]   It's a brilliant conversation. - Check us out.
[01:50:51.420 --> 01:50:53.860]   - But yeah, I mean, one concern is that
[01:50:53.860 --> 01:50:58.780]   the superficial policing,
[01:50:58.780 --> 01:51:00.340]   this is a part of political correctness,
[01:51:00.340 --> 01:51:02.700]   you know, the insistence that you only use certain words,
[01:51:02.700 --> 01:51:04.460]   that you only talk in a certain way,
[01:51:04.460 --> 01:51:06.860]   is a phony kind of power
[01:51:06.860 --> 01:51:08.620]   because it doesn't actually persuade people
[01:51:08.620 --> 01:51:10.700]   about the issues that are at hand.
[01:51:10.700 --> 01:51:13.340]   Instead, it forces them underground
[01:51:13.340 --> 01:51:15.420]   in their talk about these issues,
[01:51:15.420 --> 01:51:19.180]   and that's problematic.
[01:51:19.180 --> 01:51:23.460]   Much better that we have overt and explicit
[01:51:23.460 --> 01:51:25.900]   and honest disagreement,
[01:51:25.900 --> 01:51:28.300]   to the extent that there are disagreement
[01:51:28.300 --> 01:51:30.180]   about things that are going on,
[01:51:30.180 --> 01:51:33.660]   than that we have a superficial kind of,
[01:51:33.660 --> 01:51:39.860]   you know, a conversation that is purged
[01:51:39.860 --> 01:51:42.980]   of any real biting,
[01:51:42.980 --> 01:51:47.220]   you know, discomforting confrontation
[01:51:47.220 --> 01:51:49.900]   with the realities of the situation at hand.
[01:51:49.900 --> 01:51:52.180]   And for black Americans, I think one big part
[01:51:52.180 --> 01:51:54.620]   of the reality of the situation at hand
[01:51:54.620 --> 01:51:58.020]   is violent crime, violent crime.
[01:51:58.020 --> 01:52:01.180]   You know, a police officer is afraid when he stops a car
[01:52:01.180 --> 01:52:04.180]   because it's an 18 year old driver in the vehicle.
[01:52:04.180 --> 01:52:06.820]   He's got dreadlocks, he's a black person,
[01:52:06.820 --> 01:52:09.340]   the car doesn't have the right license plate.
[01:52:09.340 --> 01:52:12.300]   He's afraid to deal with that person.
[01:52:12.300 --> 01:52:13.900]   And one of the reasons he's afraid to deal with them
[01:52:13.900 --> 01:52:16.620]   is because a few who look like him
[01:52:16.620 --> 01:52:18.300]   are behaving violently.
[01:52:18.300 --> 01:52:20.620]   Their violence is usually perpetrated against others
[01:52:20.620 --> 01:52:23.540]   who look like themselves, but not always.
[01:52:23.540 --> 01:52:28.140]   And that reality doesn't get changed by,
[01:52:28.140 --> 01:52:32.540]   you know, telling a newspaper writer who writes about it
[01:52:32.540 --> 01:52:36.340]   that they are a racist, or enforcing within a newsroom,
[01:52:36.340 --> 01:52:38.340]   you can't cover that story in that way
[01:52:38.340 --> 01:52:41.460]   because to do so would be racist.
[01:52:41.460 --> 01:52:45.900]   I think it's a monumental mistake.
[01:52:46.740 --> 01:52:51.740]   To enforce a closure on public discussion
[01:52:51.740 --> 01:52:55.980]   based upon a calculation that if we allow people,
[01:52:55.980 --> 01:52:58.820]   if Twitter allows this kind of post,
[01:52:58.820 --> 01:53:03.780]   if the Washington Post runs this kind of story, et cetera,
[01:53:03.780 --> 01:53:08.780]   you end up with a superficial politeness,
[01:53:12.700 --> 01:53:17.420]   but a subterranean, seething resentment
[01:53:17.420 --> 01:53:19.580]   that only makes matters worse.
[01:53:19.580 --> 01:53:24.500]   - If I can get your comment, maybe you have ideas,
[01:53:24.500 --> 01:53:29.500]   because it does seem that this kind of attack works,
[01:53:29.500 --> 01:53:35.140]   of being called a racist, being called,
[01:53:35.140 --> 01:53:40.260]   maybe not sexist, but somebody, you know,
[01:53:40.260 --> 01:53:44.260]   like we're going through a Johnny Depp trial now, right?
[01:53:44.260 --> 01:53:46.620]   It's a defamation trial, and the reason
[01:53:46.620 --> 01:53:48.420]   it's a defamation trial is because
[01:53:48.420 --> 01:53:51.420]   all it took is a single accusation of Johnny Depp
[01:53:51.420 --> 01:53:56.420]   being somebody who sexually and physically abused Amber Heard
[01:53:56.420 --> 01:53:59.460]   and all it took is just a single article.
[01:53:59.460 --> 01:54:04.460]   No proof was given except the accusation itself,
[01:54:04.460 --> 01:54:06.780]   and the world believed it.
[01:54:06.780 --> 01:54:09.580]   So it's effective.
[01:54:09.580 --> 01:54:13.140]   So how do you fight back if it's so damn effective
[01:54:13.140 --> 01:54:15.340]   that you can just call anybody racist?
[01:54:15.340 --> 01:54:16.980]   And it works.
[01:54:16.980 --> 01:54:18.260]   It's hard to wash off.
[01:54:18.260 --> 01:54:24.700]   It's, you're, you know, you're not proven
[01:54:24.700 --> 01:54:28.660]   in the court of law or anything like that,
[01:54:28.660 --> 01:54:33.580]   but we get those articles, we get that label,
[01:54:33.580 --> 01:54:34.980]   and then the world moves on
[01:54:34.980 --> 01:54:37.300]   and just assumes that person is racist.
[01:54:37.300 --> 01:54:40.980]   So how do you, do you have any ideas how to fight back?
[01:54:40.980 --> 01:54:42.220]   No, I don't, frankly.
[01:54:42.220 --> 01:54:44.620]   Just highlighting the fact.
[01:54:44.620 --> 01:54:46.700]   Listen, Roseanne Barr, who made this statement
[01:54:46.700 --> 01:54:49.660]   about Valerie Jarrett, she made some kind of ape-like
[01:54:49.660 --> 01:54:52.380]   reference to the whatever, and her show got canceled,
[01:54:52.380 --> 01:54:54.740]   and she's a racist.
[01:54:54.740 --> 01:54:56.900]   So first of all, pointing it out, I suppose,
[01:54:56.900 --> 01:54:58.300]   is one of the most powerful things,
[01:54:58.300 --> 01:55:03.060]   that the hypocrisy of it, the...
[01:55:03.060 --> 01:55:05.500]   You say it works.
[01:55:05.500 --> 01:55:06.740]   I guess you're right.
[01:55:06.740 --> 01:55:09.980]   It used to be that calling someone a communist worked.
[01:55:09.980 --> 01:55:13.860]   I mean, going back to the late '40s, early '50s,
[01:55:13.860 --> 01:55:18.060]   Red Scare, McCarthyism, and whatnot,
[01:55:18.060 --> 01:55:21.860]   and the person might've belonged to a club
[01:55:21.860 --> 01:55:24.740]   that was pro-Soviet Union in the 1930s
[01:55:24.740 --> 01:55:25.900]   when they were in college.
[01:55:25.900 --> 01:55:28.140]   They might've voted for the socialist candidate,
[01:55:28.140 --> 01:55:31.940]   Henry Wallace, in the presidential election of 1948.
[01:55:31.940 --> 01:55:33.900]   They might belong to the Communist Party.
[01:55:33.900 --> 01:55:37.260]   They might think Karl Marx was right about a whole lot
[01:55:37.260 --> 01:55:39.540]   of stuff about capitalism and whatnot,
[01:55:39.540 --> 01:55:42.340]   and they got called a communist or a Marxist,
[01:55:42.340 --> 01:55:43.860]   and it could've ruined their career,
[01:55:43.860 --> 01:55:45.300]   could've ruined their lives.
[01:55:45.300 --> 01:55:49.580]   And a lot of people shut up about it,
[01:55:49.580 --> 01:55:51.860]   and it went on for a long time,
[01:55:51.860 --> 01:55:56.860]   and in a way, it kind of still is going on.
[01:55:56.860 --> 01:55:58.420]   I mean, you call somebody a Marxist,
[01:55:58.420 --> 01:56:00.460]   if you can make that stick,
[01:56:00.460 --> 01:56:02.340]   they're certainly not gonna get elected president
[01:56:02.340 --> 01:56:03.500]   of the United States.
[01:56:04.500 --> 01:56:06.260]   But I don't know about this.
[01:56:06.260 --> 01:56:10.700]   I think, you know, I once read this book
[01:56:10.700 --> 01:56:13.780]   by a German political scientist
[01:56:13.780 --> 01:56:16.780]   called Elisabeth Neule Neumann.
[01:56:16.780 --> 01:56:21.780]   That was the writer's name, Elisabeth Neule Neumann.
[01:56:21.780 --> 01:56:24.580]   The book was called "The Spiral of Silence,"
[01:56:24.580 --> 01:56:30.060]   and the argument was there can be some views,
[01:56:30.060 --> 01:56:34.580]   some issues in society that get defined in such a way
[01:56:34.580 --> 01:56:37.300]   that it's inappropriate to hold those views.
[01:56:37.300 --> 01:56:40.940]   And as a result, people who don't wanna be shamed,
[01:56:40.940 --> 01:56:45.940]   who don't wanna be ostracized, don't express those views.
[01:56:45.940 --> 01:56:47.500]   And when they don't express them,
[01:56:47.500 --> 01:56:48.740]   anybody holding the view,
[01:56:48.740 --> 01:56:50.860]   because they don't hear it said by others,
[01:56:50.860 --> 01:56:51.980]   think that they're the only one
[01:56:51.980 --> 01:56:54.260]   or one of the few who hold the view,
[01:56:54.260 --> 01:56:56.700]   and so they don't wanna be the only one out there
[01:56:56.700 --> 01:56:59.260]   saying something, so they keep it to themselves.
[01:56:59.260 --> 01:57:02.900]   So now this view, this attitude in society
[01:57:02.900 --> 01:57:06.540]   could be held by a large number of people,
[01:57:06.540 --> 01:57:11.540]   but because of the fear that if they were to express it,
[01:57:11.540 --> 01:57:14.940]   they'd be ostracized, no one says it.
[01:57:14.940 --> 01:57:16.700]   And since no one is saying it,
[01:57:16.700 --> 01:57:18.860]   the others who hold the view don't know
[01:57:18.860 --> 01:57:20.100]   that they're not alone,
[01:57:20.100 --> 01:57:24.340]   that they are not the only ones who hold the view,
[01:57:24.340 --> 01:57:25.620]   and hence they keep silent.
[01:57:25.620 --> 01:57:26.660]   That could be an equilibrium.
[01:57:26.740 --> 01:57:29.540]   It could be a relatively stable situation
[01:57:29.540 --> 01:57:32.020]   in which the emperor has no clothes,
[01:57:32.020 --> 01:57:36.660]   everybody can see that this dude is naked, okay?
[01:57:36.660 --> 01:57:39.220]   But everybody thinks that, you know,
[01:57:39.220 --> 01:57:41.100]   I don't wanna be the only one to say it.
[01:57:41.100 --> 01:57:44.740]   And so we all kind of collaborate in this charade
[01:57:44.740 --> 01:57:47.300]   of keeping the view to ourselves.
[01:57:47.300 --> 01:57:53.580]   Then along comes an event that somebody decides
[01:57:54.700 --> 01:57:59.700]   to defy the consensus and to speak out.
[01:57:59.700 --> 01:58:01.500]   It could be a little kid who,
[01:58:01.500 --> 01:58:03.300]   in the story about the emperor has no clothes,
[01:58:03.300 --> 01:58:05.960]   doesn't realize that he's not supposed to say
[01:58:05.960 --> 01:58:07.980]   that the emperor is naked.
[01:58:07.980 --> 01:58:10.020]   The thing about the kid in the story
[01:58:10.020 --> 01:58:11.340]   who says that the emperor is naked
[01:58:11.340 --> 01:58:12.800]   is not that he's saying it,
[01:58:12.800 --> 01:58:17.540]   it's not even that other people hear him saying it,
[01:58:17.540 --> 01:58:19.180]   it's that everybody knows
[01:58:19.180 --> 01:58:23.020]   that everybody else heard him say it, okay?
[01:58:23.020 --> 01:58:27.100]   The kid who speaks out and says the emperor has no clothes
[01:58:27.100 --> 01:58:30.100]   creates a circumstance in which it's common knowledge
[01:58:30.100 --> 01:58:31.340]   that the emperor has no clothes.
[01:58:31.340 --> 01:58:34.020]   Now, common knowledge does not just mean knowledge.
[01:58:34.020 --> 01:58:36.500]   It does not even mean widespread knowledge.
[01:58:36.500 --> 01:58:38.500]   It means comprehensive knowledge
[01:58:38.500 --> 01:58:42.540]   of other person's knowledge of the thing, okay?
[01:58:42.540 --> 01:58:46.020]   So the spiral of silence is a equilibrium
[01:58:46.020 --> 01:58:48.740]   that is susceptible to being undermined
[01:58:49.820 --> 01:58:53.820]   by a process of a kind of cumulative process,
[01:58:53.820 --> 01:58:56.300]   a snowballing process of revelation
[01:58:56.300 --> 01:59:00.260]   that you're not the only one who thinks this way, okay?
[01:59:00.260 --> 01:59:02.260]   - It's fascinating to think that there's an ocean
[01:59:02.260 --> 01:59:05.620]   of common knowledge that we're waiting for the little kid
[01:59:05.620 --> 01:59:09.000]   to wake us up to, different little parts of it.
[01:59:09.000 --> 01:59:10.780]   - That's correct, and the little kid, by the way,
[01:59:10.780 --> 01:59:12.620]   could be somebody like Donald Trump,
[01:59:12.620 --> 01:59:15.220]   only more effective than Donald Trump.
[01:59:15.220 --> 01:59:17.300]   Somebody who is smarter than Donald Trump,
[01:59:17.300 --> 01:59:20.180]   somebody who is shrewder than Donald Trump,
[01:59:20.180 --> 01:59:25.700]   somebody who figures out that when Colin Kaepernick
[01:59:25.700 --> 01:59:29.140]   takes a knee at a football game and says,
[01:59:29.140 --> 01:59:31.420]   "I'm not gonna stand for this president's allegiance,"
[01:59:31.420 --> 01:59:36.420]   that a vast number of people are very unhappy about that.
[01:59:36.420 --> 01:59:42.220]   Somebody who understands that when a Black Lives Matter
[01:59:42.220 --> 01:59:44.980]   activist stands up with his ball fist and says,
[01:59:44.980 --> 01:59:47.500]   "Burn this bitch down," about a city
[01:59:47.500 --> 01:59:49.780]   in the United States of America,
[01:59:49.780 --> 01:59:52.660]   that a lot of people are upset about that, a lot of them.
[01:59:52.660 --> 01:59:55.860]   A person, a shrewd politician,
[01:59:55.860 --> 01:59:59.700]   a shrewd manager of public image
[01:59:59.700 --> 02:00:03.940]   could build on and create a circumstance
[02:00:03.940 --> 02:00:06.620]   in which more and more people will feel safe
[02:00:06.620 --> 02:00:10.220]   to express that view, and the more who express it,
[02:00:10.220 --> 02:00:12.020]   the safer those who have yet to express it,
[02:00:12.020 --> 02:00:14.980]   but who hold it, will feel in expressing it.
[02:00:14.980 --> 02:00:18.060]   And to the extent that the view is very widespread,
[02:00:18.060 --> 02:00:22.020]   but is kept under wraps, an explosion could happen.
[02:00:22.020 --> 02:00:23.020]   And you could look up at tomorrow
[02:00:23.020 --> 02:00:26.340]   and have a very different country than you had today
[02:00:26.340 --> 02:00:31.340]   because the conspiracy of silence, the spiral of silence,
[02:00:31.340 --> 02:00:35.780]   ends up getting unraveled by somebody who steps out
[02:00:35.780 --> 02:00:39.180]   away from the consensus, dares to take the slings and arrows
[02:00:39.180 --> 02:00:41.780]   of exposing themselves as a naysayer,
[02:00:41.780 --> 02:00:45.860]   but taps into a sentiment that's very widespread.
[02:00:45.860 --> 02:00:50.500]   And I fear that with respect to many racial issues,
[02:00:50.500 --> 02:00:53.940]   this is the situation that we actually confront,
[02:00:53.940 --> 02:00:57.220]   that it could unravel in a very ugly way.
[02:00:57.220 --> 02:01:00.100]   - But it could also unravel in a beautiful way.
[02:01:00.100 --> 02:01:02.260]   So it's depending.
[02:01:02.260 --> 02:01:04.340]   There is a spiral of silence, you're saying,
[02:01:04.340 --> 02:01:07.820]   and it could be, 'cause speaking of children,
[02:01:07.820 --> 02:01:11.700]   charismatic children, there's a guy named Elon Musk.
[02:01:11.700 --> 02:01:12.540]   (Lex laughing)
[02:01:12.540 --> 02:01:16.860]   Who might be a candidate for such an unraveling, right?
[02:01:16.860 --> 02:01:20.060]   You mentioned the person that speaks out
[02:01:20.060 --> 02:01:23.380]   could be a Donald Trump, but in this current situation
[02:01:23.380 --> 02:01:25.820]   that we live in, like as this week,
[02:01:25.820 --> 02:01:28.260]   Elon has purchased Twitter.
[02:01:28.260 --> 02:01:29.420]   - That's what I hear.
[02:01:29.420 --> 02:01:34.300]   - And is pushing for, in all kinds of ways,
[02:01:34.300 --> 02:01:37.460]   the increase of free speech on Twitter.
[02:01:37.460 --> 02:01:40.480]   And speaking about some of the issues
[02:01:40.480 --> 02:01:44.540]   that we've been speaking about here with you,
[02:01:44.540 --> 02:01:46.380]   but maybe in broader strokes,
[02:01:46.380 --> 02:01:49.260]   about just the fact that you have to,
[02:01:49.260 --> 02:01:52.900]   it's okay to point out that the emperor wears no clothes
[02:01:52.900 --> 02:01:55.940]   and to do so from all sides in a way
