
[00:00:00.000 --> 00:00:09.820]   All right, welcome to lesson six where we're going to do a deep dive into computer vision,
[01:12:58.480 --> 01:13:13.160]   And the ones in the middle are all 0 so don't care about that and then the ones underneath are all small numbers because they're all close to 0 so that really doesn't do much at all so therefore that little set there is going to end up with.
[01:13:13.160 --> 01:13:15.920]   Bright white.
[01:13:15.920 --> 01:13:25.720]   Whereas on the other side right down here you've got light pixels underneath so they're going to get a lot of negative.
[01:13:25.720 --> 01:13:28.000]   Dark pixels.
[01:13:28.000 --> 01:13:35.280]   On top which are very small so not much happens so therefore over here we're going to end up with.
[01:13:35.280 --> 01:13:37.360]   Very negative.
[01:13:37.360 --> 01:13:41.920]   So this thing where we take each.
[01:13:41.920 --> 01:13:44.560]   3 by 3 area.
[01:13:44.560 --> 01:13:48.160]   And element wise multiply them.
[01:13:48.160 --> 01:13:49.600]   With.
[01:13:49.600 --> 01:13:51.600]   A colonel.
[01:13:51.600 --> 01:13:55.720]   And add each of those up together to create.
[01:13:55.720 --> 01:13:58.040]   1 output.
[01:13:58.040 --> 01:14:00.440]   Is called a convolution.
[01:14:00.440 --> 01:14:16.240]   That's it that's a convolution so that might look familiar to you right because what we did back a while ago is we looked at that Xyla and Fergus paper where we saw like each different layer and we visualized.
[01:14:16.240 --> 01:14:23.080]   What the weights were doing remember how the first layer was basically like finding diagonal edges and gradients.
[01:14:23.080 --> 01:14:25.760]   That's because that's what a convolution can do.
[01:14:25.760 --> 01:14:33.520]   Each of our layers is just a convolution so the first layer can do nothing more than this kind of thing.
[01:14:33.520 --> 01:14:44.560]   But the nice thing is the next layer could then take the results of this right and it could kind of combine one channel which I want to the output of one convolutional filters called a channel.
[01:14:44.560 --> 01:14:57.360]   So to take one channel that found top edges and another channel that finds left edges and then the layer above that could take those two as input and create something that finds top left corners.
[01:14:57.360 --> 01:15:01.840]   As we saw when we looked at those earlier in focus visualizations.
[01:15:01.840 --> 01:15:14.000]   So let's take a look at this from another angle or quite a few other angles and we're going to look at a fantastic post from a guy called Matt Kline Smith who was actually a student in the first year.
[01:15:14.000 --> 01:15:21.600]   That we did this course and he wrote this as a part of his project work back then.
[01:15:21.600 --> 01:15:25.200]   And what he's going to show here is here is our image.
[01:15:25.200 --> 01:15:30.960]   It's a three by three image and a kernel is a two by two kernel.
[01:15:30.960 --> 01:15:43.600]   And what we're going to do is we're going to apply this kernel to the top left two by two part of this image and so the pink bit will be correspondingly multiplied by the pink bit the green by the green.
[01:15:43.600 --> 01:15:50.560]   And so forth and they all get added up together to create this top left and the output.
[01:15:50.560 --> 01:15:54.000]   So in other words P.
[01:15:54.000 --> 01:16:04.640]   Equals alpha times a beta times B gamma times D delta times a there it is.
[01:16:04.640 --> 01:16:10.160]   Plus B which is a bias OK so that's fine that's just a normal bias.
[01:16:10.160 --> 01:16:18.640]   So you can see how basically each of these output pixels is a result of some different linear equation.
[01:16:18.640 --> 01:16:27.200]   That makes sense and you can see these same four weights are being moved around because this is our convolutional kernel.
[01:16:27.200 --> 01:16:30.440]   Here's another way of looking at it from that.
[01:16:30.440 --> 01:16:47.640]   Which is here is a classic neural network view and so P now is result of multiplying every one of these inputs by a weight and then adding them all together except the gray ones.
[01:16:47.640 --> 01:17:01.720]   I got to have a value of zero right because remember P was only connected to A B D and E A B D and A.
[01:17:01.720 --> 01:17:09.400]   So in other words remembering that this represents a matrix multiplication.
[01:17:09.400 --> 01:17:14.760]   Therefore we can represent this as a matrix multiplication.
[01:17:14.760 --> 01:17:27.960]   So here is our list of pixels in our three by three image flattened out into a vector and here is a matrix vector multiplication plus bias.
[01:17:27.960 --> 01:17:32.640]   And then a whole bunch of them we're just going to set to zero.
[01:17:32.640 --> 01:17:42.000]   So you can see here we've got a zero zero zero zero zero which corresponds to zero zero zero zero zero.
[01:17:42.000 --> 01:17:49.600]   So in other words a convolution is just a matrix multiplication where two things happen.
[01:17:49.600 --> 01:17:57.560]   Some of the entries are set to zero all the time and all of the ones of the same color always have the same weight.
[01:17:57.560 --> 01:18:03.720]   So when you've got multiple things with the same weight that's called weight time.
[01:18:03.720 --> 01:18:12.120]   So clearly we could implement a convolution using matrix multiplication but we don't because it's slow.
[01:18:12.120 --> 01:18:22.600]   So in practice our libraries have specific convolution functions that we use and they're basically doing this.
[01:18:22.600 --> 01:18:30.040]   Which is this which is this equation which is the same as this matrix multiplication.
[01:18:30.040 --> 01:18:41.800]   And as we discussed we have to think about padding because if you have a three by three kernel and a three by three image then that can only create one pixel of output.
[01:18:41.800 --> 01:18:45.320]   There's only one place that this three by three can go.
[01:18:45.320 --> 01:18:54.480]   So if we want to create more than one pixel of output we have to do something called padding which is to put additional numbers all around the outside.
[01:18:54.480 --> 01:19:02.480]   So what most libraries do is that they just put a layer of zeros not a layer a bunch of zeros are all around the outside.
[01:19:02.480 --> 01:19:08.360]   So for a three by three kernel a single zero on every edge piece here.
[01:19:08.360 --> 01:19:19.000]   And so once you've padded it like that you can now move your three by three kernel all the way across and give you the same output size that you started with.
[01:19:19.000 --> 01:19:25.720]   Now as we mentioned in fast AI we don't normally necessarily use zero padding where possible.
[01:19:25.720 --> 01:19:34.680]   We use reflection padding although for these simple convolutions we often use zero padding because it doesn't matter too much in a big image.
[01:19:34.680 --> 01:19:40.040]   It doesn't make too much difference.
[01:19:40.040 --> 01:19:45.880]   OK so that's what a convolution is.
[01:19:45.880 --> 01:19:56.520]   So a convolutional neural network wouldn't be very interesting if it can only create top edges.
[01:19:56.520 --> 01:20:01.600]   So we have to take it a little bit further.
[01:20:01.600 --> 01:20:09.960]   So if we have an input.
[01:20:09.960 --> 01:20:17.680]   And it might be a standard kind of red green blue.
[01:20:17.680 --> 01:20:22.360]   Picture.
[01:20:22.360 --> 01:20:31.960]   Then we can create a kernel a three by three kernel.
[01:20:31.960 --> 01:20:33.840]   Like so.
[01:20:33.840 --> 01:20:39.040]   And then we could pass that kernel over all of the different pixels.
[01:20:39.040 --> 01:20:43.040]   But if you think about it we actually don't have a 2D input anymore.
[01:20:43.040 --> 01:20:46.960]   We have a 3D input a rank three tensor.
[01:20:46.960 --> 01:21:00.480]   So we probably don't want to use the same kernel values for each of red and green and blue because for example if we're creating a green frog detector we would want more activations on the green.
[01:21:00.480 --> 01:21:12.640]   Than we would on the blue or if we're trying to find something that can actually find a gradient that goes from green to blue then the different kernels for each channel need to have different values in.
[01:21:12.640 --> 01:21:16.400]   So therefore we need to create a.
[01:21:16.400 --> 01:21:22.960]   Three by three by three kernel.
[01:21:22.960 --> 01:21:32.400]   Okay, so this is still a kernel. And we're still going to vary it across the height and the width.
[01:21:32.400 --> 01:21:45.440]   But rather than doing an element wise modification of nine things we're going to do an element wise modification of twenty seven things three by three by three and we're still going to then add them up into a single number.
[01:21:45.440 --> 01:21:55.200]   So as we pass this cube over. This and the kind of like the little bit that's going to be sitting behind it.
[01:21:55.200 --> 01:21:59.280]   As we do that part of the convolution.
[01:21:59.280 --> 01:22:02.400]   It's still going to create just.
[01:22:02.400 --> 01:22:09.360]   One number as we do an element wise multiplication of all twenty seven and add them all together.
[01:22:09.360 --> 01:22:23.440]   So we can do that across the whole padded single unit padded input and so we started with one two three four five by five so we're going to end up with an output that's also.
[01:22:23.440 --> 01:22:27.600]   Five by five.
[01:22:27.600 --> 01:22:33.920]   But now our input was three channels and our output is only one channel.
[01:22:33.920 --> 01:22:39.200]   Now we're not going to be able to do very much with just one channel because all we've done now is found.
[01:22:39.200 --> 01:22:48.160]   The top edge how we're going to find a side edge and a gradient and an area of constant white.
[01:22:48.160 --> 01:22:54.160]   Well, we're going to have to create another kernel.
[01:22:54.160 --> 01:23:01.520]   And we're going to have to do that convolved over the input and that's going to create.
[01:23:01.520 --> 01:23:04.400]   Another five by five.
[01:23:04.400 --> 01:23:10.320]   And then we can just stack those together.
[01:23:10.320 --> 01:23:15.200]   Across this as another access and we can do that lots and lots of times.
[01:23:15.200 --> 01:23:19.760]   And that's going to give us.
[01:23:19.760 --> 01:23:24.240]   Another rank three tensor output.
[01:23:24.240 --> 01:23:32.240]   So that's what happens in practice that in practice we start with an input which is H.
[01:23:32.240 --> 01:23:39.760]   Which is H by W by images three.
[01:23:39.760 --> 01:23:50.240]   We pass it through a bunch of convolutional kernels that we can get to pick how many we want and it gives us back an output of.
[01:23:50.240 --> 01:24:00.800]   And it gives us back an output of height by width by however many kernels we had and so often that might be something like 16.
[01:24:00.800 --> 01:24:02.800]   In the first layer.
[01:24:02.800 --> 01:24:07.840]   And so now we've got 16 channels they called.
[01:24:07.840 --> 01:24:10.320]   16 channels.
[01:24:10.320 --> 01:24:22.560]   Representing things like how much left and edge was on this pixel how much top edge was in this pixel how much blue to red gradient was on this level this set of 27.
[01:24:22.560 --> 01:24:29.280]   Nine pixels each with RGB and so then you can just do the same thing right you can have another.
[01:24:29.280 --> 01:24:31.600]   Bunch of.
[01:24:31.600 --> 01:24:36.240]   Colonels.
[01:24:36.240 --> 01:24:38.400]   And that's going to create another output.
[01:24:38.400 --> 01:24:47.200]   Frank three tensor again height by width by whatever might still be 16.
[01:24:47.200 --> 01:25:02.640]   Now what we really like to do is as we get deeper in the network we actually want to have more and more channels we want to be able to find like a richer and richer set of features so that after a few as we saw in this either in focus paper by layer four or five we've kind of got.
[01:25:02.640 --> 01:25:07.920]   Eyeball detectors and fur detectors and things right so you really need a lot of channels.
[01:25:07.920 --> 01:25:11.920]   So in order to avoid our memory going out of control.
[01:25:11.920 --> 01:25:21.840]   From time to time we create a convolution where we don't step over every single set of three by three.
[01:25:21.840 --> 01:25:26.400]   But instead we skip over two at a time.
[01:25:26.400 --> 01:25:39.280]   So we would start with a three by three centered at two comma two and then we jump over to two comma four two comma six two comma eight and so forth and that's called a stride.
[01:25:39.280 --> 01:25:42.160]   Two convolution.
[01:25:42.160 --> 01:25:53.760]   And so what that does is it looks exactly the same right it's still just a bunch of kernels.
[01:25:53.760 --> 01:26:04.240]   But we're just jumping over two at a time right we're skipping every alternate input pixel and so the output from that.
[01:26:04.240 --> 01:26:15.440]   Will be H over two by W over two and so when we do that we generally create twice as many kernels so we can now have say.
[01:26:15.440 --> 01:26:31.760]   Thirty two activations in each of those spots and so that's what modern convolutional neural networks kind of tend to look like right and so we can actually see that.
[01:26:31.760 --> 01:26:49.680]   If we go into our pets and we grab our CNN. Right and we're going to take a look at this particular cat so if we go X comma Y equals valid data set some index so it's just grab the zeroth or go to show and would print out the value of Y.
[01:26:49.680 --> 01:27:00.880]   Apparently this cat is of category main current so until a week ago I was not at all familiar that there's a cat called a main current having spent all week with this particular cat.
[01:27:00.880 --> 01:27:06.480]   I am now deeply familiar with this main current.
[01:27:06.480 --> 01:27:17.920]   So we can if we go learn dot summary. Remember that our input we asked for was three fifty two by three fifty two pixels.
[01:27:17.920 --> 01:27:26.680]   Generally speaking the very first convolution tends to have a stride too so after the first layer it's one seventy six by one seventy six.
[01:27:26.680 --> 01:27:44.600]   So this is learned summary will print out for you the output shape after every layer one seventy six by one seventy six and the first set of convolutions is has sixty four activations and we can actually see that if we type in learn.
[01:27:44.600 --> 01:27:54.840]   Got model. You can see here it's a two day con with three input channels and sixty four output channels.
[01:27:54.840 --> 01:27:57.000]   And a stride.
[01:27:57.000 --> 01:28:00.080]   Of two.
[01:28:00.080 --> 01:28:14.320]   And interestingly it actually starts with a kernel size of seven by seven so like nearly all of the convolutions are three by three see they're all three by three right for reasons we're talking about in part two we often use a larger kernel for the very first one.
[01:28:14.320 --> 01:28:26.440]   If you use a larger kernel you have to use more padding so we have to use kernel size in divided by two padding to make sure we don't lose anything anyway so.
[01:28:26.440 --> 01:28:34.560]   We now have sixty four output channels and since it was straight to it's now one seventy six by one seventy six and then.
[01:28:34.560 --> 01:28:38.720]   As we go along you'll see that from time to time.
[01:28:38.720 --> 01:28:55.320]   We have go from eighty eight by eighty eight to forty by forty four by forty four the grid size so that was a two day con and then when we do that we generally double the number of channels.
[01:28:55.320 --> 01:29:03.800]   So we keep going through a few more coms and they've as you can see they've got batch norm and really that's kind of pretty standard.
[01:29:03.800 --> 01:29:13.400]   And eventually we do it again now the strategy cons which again doubles we've now got five twelve by eleven by eleven.
[01:29:13.400 --> 01:29:15.440]   And.
[01:29:15.440 --> 01:29:24.560]   That's basically where we finish the main part of the network we end up with five twelve channels eleven by eleven.
[01:29:24.560 --> 01:29:31.840]   OK so we're actually at a point where we're going to be able to do this heat map now so let's try and work through it.
[01:29:31.840 --> 01:29:40.440]   Before we do I want to show you how you can do your own manual convolutions because it's kind of fun.
[01:29:40.440 --> 01:29:44.400]   So we're going to start with this picture of a main Coon.
[01:29:44.400 --> 01:29:48.280]   And I've created a convolutional kernel.
[01:29:48.280 --> 01:29:56.640]   And so as you can see this one has a right edge and a bottom edge with positive numbers and just inside that it's got negative numbers.
[01:29:56.640 --> 01:30:03.600]   So I'm thinking this should show me bottom right edges.
[01:30:03.600 --> 01:30:17.920]   So that's my tensor now one complexity is that that three by three kernel cannot be used for this purpose because I need two more dimensions.
[01:30:17.920 --> 01:30:26.000]   The first is I need the third dimension to say how to combine the red green and blue.
[01:30:26.000 --> 01:30:31.240]   So what I do is I say don't expand.
[01:30:31.240 --> 01:30:43.880]   This is my three by three and I pop another three on the start what don't expand does is it says create a three by three by three tensor by simply copying this one.
[01:30:43.880 --> 01:30:55.760]   Three times when honestly it doesn't actually copy it it pretends to have copied it you know but it just basically refers to the same block of memory so it kind of copies it in a memory efficient way.
[01:30:55.760 --> 01:31:10.040]   So this one here is now three copies of that and the reason for that is that I want to treat red and green and blue the same way for this little manual kernel I'm showing you.
[01:31:10.040 --> 01:31:23.680]   And then we need one more access because rather than actually having a separate kernel like I kind of printed these as if they were multiple kernels what we actually do is we use a rank for tensor.
[01:31:23.680 --> 01:31:28.920]   And so the very first access is for the every separate.
[01:31:28.920 --> 01:31:38.520]   Kernel that we have so this case I'm just going to create one kernel so to do a convolution I still have to put this unit access on the front.
[01:31:38.520 --> 01:31:53.040]   So you can see k dot shape is now one comma three comma three comma three so it's a three by three kernel there are three of them and then that's just the one kernel that I have so it kind of takes a while to get the feel for these.
[01:31:53.040 --> 01:32:06.240]   Higher dimensional tensors because we're not used to writing out the four D tensor but like just think of them like this a four D tensor is just a bunch of three D tensor sitting on top of each other okay.
[01:32:06.240 --> 01:32:12.720]   So this is our four D tensor and then you can just call.
[01:32:12.720 --> 01:32:21.960]   Conf 2D passing in some image and so the image I'm going to use is the first part of my validation data set and the kernel.
[01:32:21.960 --> 01:32:29.920]   There's one more trick which is that in PyTorch pretty much everything is expecting to work on a mini batch.
[01:32:29.920 --> 01:32:32.760]   Not on an individual thing.
[01:32:32.760 --> 01:32:46.480]   So in our case we have to create a mini batch of size one so our original image is three channels by three fifty two by three fifty two by width that's member PyTorch is channel by height by width.
[01:32:46.480 --> 01:32:51.000]   I want to create a mini so I need to create a rank for tensor.
[01:32:51.000 --> 01:33:11.200]   Where the first access is one in other words it's a mini batch of size one because that's what PyTorch expects so there's something you can do in both PyTorch and NumPy which is you can index into an array or a tensor with a special value none and that creates a new unit access.
[01:33:11.200 --> 01:33:29.280]   In that point point so T is my image of dimensions three by three fifty two by three fifty two T none is a rank for tensor a mini batch of one image of one by three by three fifty two by three fifty two and so now I can go con 2D.
[01:33:29.280 --> 01:33:33.920]   And get back.
[01:33:33.920 --> 01:33:39.440]   Specifically my main Coon.
[01:33:39.440 --> 01:33:47.120]   OK so that's how you can play around with convolutions yourself.
[01:33:47.120 --> 01:33:50.840]   So how are we going to do this to create a heat map.
[01:33:50.840 --> 01:34:00.960]   This is where things get fun.
[01:34:00.960 --> 01:34:08.160]   Remember what I mentioned was that I basically have like.
[01:34:08.160 --> 01:34:11.120]   My input.
[01:34:11.120 --> 01:34:20.920]   Red green blue and it goes through a bunch of convolutional layers I just write a little line to say a convolutional layer.
[01:34:20.920 --> 01:34:35.720]   To create activations which have more and more channels and eventually less and less smaller and smaller height by width.
[01:34:35.720 --> 01:34:42.280]   Until eventually remember we looked at the summary we ended up with something which was.
[01:34:42.280 --> 01:34:47.920]   Eleven by eleven by.
[01:34:47.920 --> 01:34:50.560]   Five twelve.
[01:34:50.560 --> 01:34:55.880]   And there's a whole there's a whole bunch more layers that we skipped over.
[01:34:55.880 --> 01:35:04.080]   Now there are.
[01:35:04.080 --> 01:35:12.200]   Thirty seven classes because remember data dot C is the number of classes we have and we can see that at the end here.
[01:35:12.200 --> 01:35:15.640]   We end up with thirty seven features in our model.
[01:35:15.640 --> 01:35:23.160]   So that means that we end up with a probability for every one of the thirty seven breeds of cat and dog.
[01:35:23.160 --> 01:35:24.920]   So it's a vector.
[01:35:24.920 --> 01:35:29.760]   Of length thirty seven that's our final output that we need because that's what we're going to compare.
[01:35:29.760 --> 01:35:38.760]   Implicitly to our one hot encoded matrix which will have a one in the location for main Coon.
[01:35:38.760 --> 01:35:44.720]   So somehow we need to get from this eleven by eleven by five twelve.
[01:35:44.720 --> 01:35:57.720]   To this thirty seven and so the way we do it is we actually take the average of every one of these eleven by eleven faces we just take the main.
[01:35:57.720 --> 01:36:00.680]   So we're going to take the main of this.
[01:36:00.680 --> 01:36:05.520]   First face take the main.
[01:36:05.520 --> 01:36:13.400]   That gets us one value and then we'll take the second of the five twelve faces and take that mean and that'll give us one more value.
[01:36:13.400 --> 01:36:16.160]   And so we'll do that for every face.
[01:36:16.160 --> 01:36:19.280]   And that will give us a.
[01:36:19.280 --> 01:36:21.360]   Five twelve long.
[01:36:21.360 --> 01:36:23.880]   Vector.
[01:36:23.880 --> 01:36:31.160]   And so now all we need to do is pop that through a single matrix multiply.
[01:36:31.160 --> 01:36:33.320]   Of five twelve.
[01:36:33.320 --> 01:36:37.720]   By thirty seven.
[01:36:37.720 --> 01:36:42.040]   And that's going to give us an output vector of length thirty seven.
[01:36:42.040 --> 01:36:52.640]   OK so this step here where we take the average of each face is called average pooling.
[01:36:52.640 --> 01:36:56.600]   So let's go back to our model and take a look here it is.
[01:36:56.600 --> 01:37:05.360]   Here is our final five twelve and here is we will talk about what a concave pooling is in part two for now we'll just focus on this.
[01:37:05.360 --> 01:37:09.880]   This is a fast speciality everybody else just does this average pool.
[01:37:09.880 --> 01:37:13.040]   Average pool duty with an output size of one.
[01:37:13.040 --> 01:37:20.320]   So here it is output average pool 2D with an output size of one.
[01:37:20.320 --> 01:37:23.720]   And then.
[01:37:23.720 --> 01:37:27.760]   Again there's a bit of a.
[01:37:27.760 --> 01:37:33.120]   Special faster I think that we actually have two layers here but normally people then just have the one.
[01:37:33.120 --> 01:37:34.800]   Linear layer.
[01:37:34.800 --> 01:37:41.840]   With the input of five twelve and the output of thirty seven.
[01:37:41.840 --> 01:37:47.480]   OK so what that means is that this little box over here.
[01:37:47.480 --> 01:37:54.880]   Where we want a one for Maine Coon we've got to have a box over here which needs to have a high value.
[01:37:54.880 --> 01:38:01.560]   In that place so that the lots will be low so if we're going to have a high value there.
[01:38:01.560 --> 01:38:14.800]   The only way to get it is with this matrix multiplication is that it's going to represent a simple weighted linear combination of all of the five hundred and twelve values here.
[01:38:14.800 --> 01:38:26.200]   So if we're going to be able to say I'm pretty confident this is a Maine Coon just by taking the weighted sum of a bunch of inputs those inputs are going to have to represent features like.
[01:38:26.200 --> 01:38:41.520]   How fluffy is it what color is its nose how long is its legs how point here it is all the kinds of things that can be used because for the other thing which figures out is this a bulldog it's going to use exactly the same.
[01:38:41.520 --> 01:38:54.760]   Kind of five twelve inputs with a different set of weights because that's all the matrix multiplication is right it's just a bunch of weighted sums a different weighted sum for each output.
[01:38:54.760 --> 01:39:00.160]   So therefore we know that this you know.
[01:39:00.160 --> 01:39:09.920]   Potentially dozens or even hundreds of layers of convolutions must have eventually come up with an eleven by eleven face.
[01:39:09.920 --> 01:39:15.920]   For each of these features saying and this little bit here.
[01:39:15.920 --> 01:39:34.640]   How much is that part of the image like a point here how much is it fluffy how much is it like a long leg how much is it like a very red nose right so that's what all of those things must represent so each face is what we call each of these.
[01:39:34.640 --> 01:39:39.840]   Represents a different feature.
[01:39:39.840 --> 01:39:46.840]   So the outputs of these we can think of as different features.
[01:39:46.840 --> 01:40:03.360]   So what we really want to know then is not so much what's the average across the eleven by eleven to get this set of outputs but what we really want to know is what's in each of these eleven by eleven spots.
[01:40:03.360 --> 01:40:11.040]   So what if instead of averaging across the eleven by eleven let's instead average across.
[01:40:11.040 --> 01:40:20.600]   The five hundred and twelve if we average across the five hundred and twelve that's going to give us a single eleven by eleven matrix.
[01:40:20.600 --> 01:40:34.360]   And each item each grid point in that eleven by eleven matrix will be the average of how activated was that area when it came to figuring out that this was a main kun.
[01:40:34.360 --> 01:40:43.720]   How many signs of main kunishness was there in that part of the eleven by eleven grid.
[01:40:43.720 --> 01:40:51.880]   And so that's actually what we do to create our heat map so I think maybe the easiest way is to kind of work backwards.
[01:40:51.880 --> 01:40:54.000]   Here's our heat map.
[01:40:54.000 --> 01:41:12.840]   And it comes from something called average activations and it's just a little bit of matplotlib and fastai fastai to show the image and then matplotlib to take the heat map which we passed in which was called average activations H.M. for heat map.
[01:41:12.840 --> 01:41:16.640]   Alpha point six means make it a bit transparent.
[01:41:16.640 --> 01:41:24.200]   In that plot live extent means expand it from eleven by eleven to three fifty two by three fifty two.
[01:41:24.200 --> 01:41:31.760]   He is by linear interpolation so it's not all blocky and use a different color map to kind of highlight things such as the matplotlib is not important.
[01:41:31.760 --> 01:41:37.360]   The key thing here is that average activations is the eleven by eleven matrix we wanted.
[01:41:37.360 --> 01:41:42.520]   Here it is average activations touch shape is eleven by eleven.
[01:41:42.520 --> 01:42:02.400]   So to get there we took the mean of activations across dimension zero which is what I just said in PyTorch the channel dimension is the first dimension so the main across dimension zero took us from something of size five twelve by eleven by eleven as promised to something of eleven by eleven.
[01:42:02.400 --> 01:42:10.120]   So therefore activations acts contains the activations were averaging where did they come from.
[01:42:10.120 --> 01:42:13.240]   They came from something called a hook.
[01:42:13.240 --> 01:42:32.680]   So a hook is a really cool more advanced PyTorch feature that lets you as the name suggests hook into the PyTorch machinery itself and run any arbitrary Python code you want to.
[01:42:32.680 --> 01:42:50.560]   It's a really amazing and nifty thing because you know normally when we do a forward pass through a PyTorch module it gives us this set of outputs but we know that in the process it's calculated these.
[01:42:50.560 --> 01:43:02.720]   So why would I what I would like to do is I would like to hook into that forward pass and tell PyTorch hey when you calculate this can you store it for me please.
[01:43:02.720 --> 01:43:12.840]   So what is this this is the output of the convolutional part of the model so the convolutional part of the model which is everything before the average pool.
[01:43:12.840 --> 01:43:23.720]   Is basically all of. That. And so thinking back to transfer learning.
[01:43:23.720 --> 01:43:27.000]   I remember with transfer learning.
[01:43:27.000 --> 01:43:30.480]   We actually.
[01:43:30.480 --> 01:43:36.960]   Cut off everything after the convolutional part of the model and replaced it with our own little bit.
[01:43:36.960 --> 01:43:50.480]   So with fast AI the original convolutional part of the model is always going to be the first thing in the model and specifically it's always going to be called.
[01:43:50.480 --> 01:43:59.680]   Assuming so in this case I'm taking my model and I'm just going to call it M right so you can see.
[01:43:59.680 --> 01:44:09.880]   M is this. Big thing. But always. At least in faster AI always M zero.
[01:44:09.880 --> 01:44:15.400]   Will be the convolutional part of the model so in this case we created a.
[01:44:15.400 --> 01:44:19.160]   Let's go back and see we created a resident 34.
[01:44:19.160 --> 01:44:33.520]   So the main part of the resident 34 the pre trained bit we hold onto is in M zero and so this is basically it this is a print out of the resident 34 and at the end of it there is the 512 activations.
[01:44:33.520 --> 01:44:39.160]   So what in other words what we want to do is we want to grab.
[01:44:39.160 --> 01:44:48.840]   M zero and we want to hook its output so this is a really useful thing to be able to do so fast AI is actually created something to do it.
[01:44:48.840 --> 01:45:00.720]   For you which is literally you say hook output and you pass in the pipe watch module that you want to hook the output of and so most of the most likely the thing you want to hook is.
[01:45:00.720 --> 01:45:07.800]   The convolutional part of the model and that's always going to be M zero or learned up model zero.
[01:45:07.800 --> 01:45:10.320]   So we give that hook a name.
[01:45:10.320 --> 01:45:13.320]   Don't worry about this part will learn about it next week.
[01:45:13.320 --> 01:45:27.400]   So having hooked the output we now need to actually do the forward pass right and so remember in PI torch to actually get it to calculate something which is called doing the forward pass you just act as if the model is a function.
[01:45:27.400 --> 01:45:34.280]   So we just pass in our X X mini batch so we already had.
[01:45:34.280 --> 01:45:48.280]   A main Coon image called X right but we can't quite pass that into our model it has to be normalized and turned into a mini batch and put onto the GPU.
[01:45:48.280 --> 01:46:02.240]   So fast AI has a thing called a data bunch which we haven't data and you can always say data dot one item to create a mini batch with one thing in it and as an exercise at home you could try to.
[01:46:02.240 --> 01:46:12.600]   Create a mini batch without using data dot one item to make sure that you kind of learn how to normalize and stuff yourself if you want to, but this is how you can create a.
[01:46:12.600 --> 01:46:19.720]   Mini batch with just one thing in it and then I can pop that onto the GPU by saying dot CUDA.
[01:46:19.720 --> 01:46:23.800]   That's what I passed in my model and so the predictions I get out.
[01:46:23.800 --> 01:46:30.400]   Actually don't care about that 'cause the predictions is.
[01:46:30.400 --> 01:46:40.920]   The predictions is this thing which is not what I want right so I'm not actually going to do anything with the predictions. The thing I care about is the hook that I just created.
[01:46:40.920 --> 01:46:50.040]   Now one thing to be aware of is that when you hook something in pytorch that means every single time you run that model.
[01:46:50.040 --> 01:47:02.360]   Assuming your hooking outputs, it's storing those outputs and so you want to remove the hook when you've got what you want 'cause otherwise if you use the model again, it's going to keep looking more and more outputs, which will be slow and memory intensive.
[01:47:02.360 --> 01:47:15.600]   So we've created this thing. Python calls it a context manager. You can use any hook as a context manager at the end of that with block. It'll remove the hook.
[01:47:15.600 --> 01:47:32.480]   So we got our hook. And so now pytorch hooks sorry fast AI hooks always give you something called or at least the output hooks always give you something called dot stored, which is where it stores away. The thing you asked it to hook and so that's where the activations.
[01:47:32.480 --> 01:47:42.360]   Now OK, so we did a forward pass after hooking the output of the convolutional section of the model. We grabbed what it stored.
[01:47:42.360 --> 01:47:48.040]   We check the shape. It was 512 by 11 by 11 as we predicted.
[01:47:48.040 --> 01:47:56.760]   We then took the main of the channel access to get an 11 by 11 tensor.
[01:47:56.760 --> 01:48:00.240]   And then. If we look at that.
[01:48:00.240 --> 01:48:04.040]   That's our picture, so there's a lot to unpack.
[01:48:04.040 --> 01:48:17.960]   Right, a lot to unpack, but if you take your time going through these two sections, the convolution kernel section and the heat map section of this notebook like running those lines of code and changing them around a little bit.
[01:48:17.960 --> 01:48:30.600]   And remember, the most important thing to look at is shape. You might have noticed when I'm showing you these notebooks are very often print out the shape and we look at the shape. You want to be looking at how many axes are there.
[01:48:30.600 --> 01:48:41.160]   That's the rank of the tensor and how many things are there in each axis and try and think why I tried going back to the print out of the summary.
[01:48:41.160 --> 01:48:50.800]   Try going back to the actual list of the layers and try and go back and think about the actual picture we drew and think about what's actually going on.
[01:48:50.800 --> 01:49:05.600]   OK. So that's a lot of technical content, so what I'm going to do now is switch from technical content to something much more important unless we have some questions first.
[01:49:05.600 --> 01:49:20.920]   OK, because in the next lesson, we're going to be looking at generative models, both text and image generative models.
[01:49:20.920 --> 01:49:34.280]   And generative models are where you can create a new piece of text or a new image or a new video or a new sound.
[01:49:34.280 --> 01:49:42.040]   And as you probably are aware, this is the area that deep learning has developed the most in in the last 12 months.
[01:49:42.040 --> 01:49:57.120]   So we're now at a point where we can generate realistic looking videos, images, audio, and to some extent, even text.
[01:49:57.120 --> 01:50:09.640]   And so there are many things in in this journey which have ethical considerations, but perhaps this area of generative modeling is one of the largest ones.
[01:50:09.640 --> 01:50:17.360]   So before I got into it, I wanted to specifically touch on ethics and data science.
[01:50:17.360 --> 01:50:38.400]   Most of the stuff I'm showing you actually comes from Rachel and Rachel has a really cool TEDx San Francisco talk that you can check out on YouTube and a more extensive analysis of ethical principles and bias principles in AI, which you can find at this talk here.
