
[00:00:00.040 --> 00:00:07.140]  Ac not over
[00:44:05.500 --> 00:44:05.500]   I would be remiss if I didn't point out hostels here.
[00:44:05.500 --> 00:44:05.500]   I would be remiss if I didn't point out hostels here.
[00:44:05.500 --> 00:44:05.500]   I would be remiss if I didn't point out hostels here.
[00:44:05.500 --> 00:44:05.500]   I would be remiss if I didn't point out hostels here.
[00:44:05.500 --> 00:44:05.500]   I would be remiss if I didn't point out hostels here.
[00:44:05.500 --> 00:44:05.500]   I would be remiss if I didn't point out hostels here.
[00:44:05.500 --> 00:44:05.500]   I would be remiss if I didn't point out hostels here.
[00:44:05.500 --> 00:44:05.500]   I would be remiss if I didn't point out hostels here.
[00:44:05.500 --> 00:44:05.500]   I would be remiss if I didn't point out hostels here.
[00:44:05.540 --> 00:44:35.520]   I would be remiss if I didn't point out hostels here.
[00:44:35.520 --> 00:44:35.520]   I would be remiss if I didn't point out hostels here.
[00:44:35.520 --> 00:44:35.520]   I would be remiss if I didn't point out hostels here.
[00:44:35.520 --> 00:44:35.520]   I would be remiss if I didn't point out hostels here.
[00:44:35.520 --> 00:44:35.520]   I would be remiss if I didn't point out hostels here.
[00:44:35.520 --> 00:44:35.520]   I would be remiss if I didn't point out hostels here.
[00:44:35.520 --> 00:44:35.520]   I would be remiss if I didn't point out hostels here.
[00:44:35.520 --> 00:44:35.520]   I would be remiss if I didn't point out hostels here.
[00:44:35.520 --> 00:44:35.520]   I would be remiss if I didn't point out hostels here.
[00:44:35.520 --> 00:44:35.520]   I would be remiss if I didn't point out hostels here.
[00:44:35.520 --> 00:44:35.520]   I would be remiss if I didn't point out hostels here.
[00:44:35.520 --> 00:44:35.520]   I would be remiss if I didn't point out hostels here.
[00:44:35.540 --> 00:45:05.540]   I would be remiss if I didn't point out hostels here.
[00:45:05.540 --> 00:45:05.540]   I would be remiss if I didn't point out hostels here.
[00:45:05.540 --> 00:45:05.540]   I would be remiss if I didn't point out hostels here.
[00:45:05.540 --> 00:45:05.540]   I would be remiss if I didn't point out hostels here.
[00:45:05.540 --> 00:45:05.540]   I would be remiss if I didn't point out hostels here.
[00:45:05.540 --> 00:45:05.540]   I would be remiss if I didn't point out hostels here.
[00:45:05.540 --> 00:45:05.540]   I would be remiss if I didn't point out hostels here.
[00:45:05.540 --> 00:45:05.540]   I would be remiss if I didn't point out hostels here.
[00:45:05.540 --> 00:45:05.540]   I would be remiss if I didn't point out hostels here.
[00:45:05.540 --> 00:45:05.540]   I would be remiss if I didn't point out hostels here.
[00:45:05.540 --> 00:45:05.540]   I would be remiss if I didn't point out hostels here.
[00:45:05.540 --> 00:45:05.540]   I would be remiss if I didn't point out hostels here.
[00:45:05.540 --> 00:45:35.560]   I would be remiss if I didn't point out hostels here.
[00:45:35.560 --> 00:45:35.560]   I would be remiss if I didn't point out hostels here.
[00:45:35.560 --> 00:45:35.560]   I would be remiss if I didn't point out hostels here.
[00:45:35.560 --> 00:45:35.560]   I would be remiss if I didn't point out hostels here.
[00:45:35.560 --> 00:45:35.560]   I would be remiss if I didn't point out hostels here.
[00:45:35.560 --> 00:45:35.560]   I would be remiss if I didn't point out hostels here.
[00:45:35.560 --> 00:45:35.560]   I would be remiss if I didn't point out hostels here.
[00:45:35.560 --> 00:45:35.560]   I would be remiss if I didn't point out hostels here.
[00:45:35.560 --> 00:45:35.560]   I would be remiss if I didn't point out hostels here.
[00:45:35.580 --> 00:46:05.580]   I would be remiss if I didn't point out hostels here.
[00:46:05.580 --> 00:46:05.580]   I would be remiss if I didn't point out hostels here.
[00:46:05.580 --> 00:46:05.580]   I would be remiss if I didn't point out hostels here.
[00:46:05.580 --> 00:46:05.580]   I would be remiss if I didn't point out hostels here.
[00:46:05.580 --> 00:46:05.580]   I would be remiss if I didn't point out hostels here.
[00:46:05.580 --> 00:46:05.580]   I would be remiss if I didn't point out hostels here.
[00:46:05.580 --> 00:46:05.580]   I would be remiss if I didn't point out hostels here.
[00:46:05.580 --> 00:46:05.580]   I would be remiss if I didn't point out hostels here.
[00:46:05.580 --> 00:46:05.580]   I would be remiss if I didn't point out hostels here.
[00:46:05.580 --> 00:46:05.580]   I would be remiss if I didn't point out hostels here.
[00:46:05.580 --> 00:46:05.580]   I would be remiss if I didn't point out hostels here.
[00:46:05.580 --> 00:46:05.580]   I would be remiss if I didn't point out hostels here.
[00:46:05.600 --> 00:46:35.600]   I would be remiss if I didn't point out hostels here.
[00:46:35.600 --> 00:46:35.600]   I would be remiss if I didn't point out hostels here.
[00:46:35.600 --> 00:46:35.600]   I would be remiss if I didn't point out hostels here.
[00:46:35.600 --> 00:46:35.600]   I would be remiss if I didn't point out hostels here.
[00:46:35.600 --> 00:46:35.600]   I would be remiss if I didn't point out hostels here.
[00:46:35.600 --> 00:46:35.600]   I would be remiss if I didn't point out hostels here.
[00:46:35.600 --> 00:46:35.600]   I would be remiss if I didn't point out hostels here.
[00:46:35.600 --> 00:46:35.600]   I would be remiss if I didn't point out hostels here.
[00:46:35.600 --> 00:46:35.600]   I would be remiss if I didn't point out hostels here.
[00:46:35.600 --> 00:46:35.600]   I would be remiss if I didn't point out hostels here.
[00:46:35.600 --> 00:47:05.620]   I would be remiss if I didn't point out hostels here.
[00:47:05.620 --> 00:47:05.620]   I would be remiss if I didn't point out hostels here.
[00:47:05.620 --> 00:47:05.620]   I would be remiss if I didn't point out hostels here.
[00:47:05.620 --> 00:47:05.620]   I would be remiss if I didn't point out hostels here.
[00:47:05.620 --> 00:47:05.620]   I would be remiss if I didn't point out hostels here.
[00:47:05.620 --> 00:47:05.620]   I would be remiss if I didn't point out hostels here.
[00:47:05.620 --> 00:47:05.620]   I would be remiss if I didn't point out hostels here.
[00:47:05.620 --> 00:47:05.620]   I would be remiss if I didn't point out hostels here.
[00:47:05.620 --> 00:47:05.620]   I would be remiss if I didn't point out hostels here.
[00:47:05.620 --> 00:47:05.620]   I would be remiss if I didn't point out hostels here.
[00:47:05.620 --> 00:47:05.620]   I would be remiss if I didn't point out hostels here.
[00:47:05.620 --> 00:47:05.620]   I would be remiss if I didn't point out hostels here.
[00:47:05.640 --> 00:47:35.640]   I would be remiss if I didn't point out hostels here.
[00:47:35.640 --> 00:47:35.640]   I would be remiss if I didn't point out hostels here.
[00:47:35.640 --> 00:47:35.640]   I would be remiss if I didn't point out hostels here.
[00:47:35.640 --> 00:47:35.640]   I would be remiss if I didn't point out hostels here.
[00:47:35.640 --> 00:47:35.640]   I would be remiss if I didn't point out hostels here.
[00:47:35.640 --> 00:47:35.640]   I would be remiss if I didn't point out hostels here.
[00:47:35.640 --> 00:47:35.640]   I would be remiss if I didn't point out hostels here.
[00:47:35.640 --> 00:47:35.640]   I would be remiss if I didn't point out hostels here.
[00:47:35.640 --> 00:47:35.640]   I would be remiss if I didn't point out hostels here.
[00:47:35.640 --> 00:47:35.640]   I would be remiss if I didn't point out hostels here.
[00:47:35.640 --> 00:47:35.640]   I would be remiss if I didn't point out hostels here.
[00:47:35.640 --> 00:47:35.640]   I would be remiss if I didn't point out hostels here.
[00:47:35.640 --> 00:48:05.660]   I would be remiss if I didn't point out hostels here.
[00:48:05.660 --> 00:48:05.660]   I would be remiss if I didn't point out hostels here.
[00:48:05.660 --> 00:48:05.660]   I would be remiss if I didn't point out hostels here.
[00:48:05.660 --> 00:48:05.660]   I would be remiss if I didn't point out hostels here.
[00:48:05.660 --> 00:48:05.660]   I would be remiss if I didn't point out hostels here.
[00:48:05.660 --> 00:48:05.660]   I would be remiss if I didn't point out hostels here.
[00:48:05.660 --> 00:48:05.660]   I would be remiss if I didn't point out hostels here.
[00:48:05.660 --> 00:48:05.660]   I would be remiss if I didn't point out hostels here.
[00:48:05.660 --> 00:48:05.660]   I would be remiss if I didn't point out hostels here.
[00:48:05.660 --> 00:48:05.660]   I would be remiss if I didn't point out hostels here.
[00:48:05.680 --> 00:48:35.680]   I would be remiss if I didn't point out hostels here.
[00:48:35.680 --> 00:48:35.680]   I would be remiss if I didn't point out hostels here.
[00:48:35.680 --> 00:48:35.680]   I would be remiss if I didn't point out hostels here.
[00:48:35.680 --> 00:48:35.680]   I would be remiss if I didn't point out hostels here.
[00:48:35.680 --> 00:48:35.680]   I would be remiss if I didn't point out hostels here.
[00:48:35.680 --> 00:48:35.680]   I would be remiss if I didn't point out hostels here.
[00:48:35.680 --> 00:48:35.680]   I would be remiss if I didn't point out hostels here.
[00:48:35.680 --> 00:48:35.680]   I would be remiss if I didn't point out hostels here.
[00:48:35.680 --> 00:48:35.680]   I would be remiss if I didn't point out hostels here.
[00:48:35.680 --> 00:48:35.680]   I would be remiss if I didn't point out hostels here.
[00:48:35.680 --> 00:48:35.680]   I would be remiss if I didn't point out hostels here.
[00:48:35.680 --> 00:48:35.680]   I would be remiss if I didn't point out hostels here.
[00:48:35.700 --> 00:49:05.700]   I would be remiss if I didn't point out hostels here.
[00:49:05.700 --> 00:49:05.700]   I would be remiss if I didn't point out hostels here.
[00:49:05.700 --> 00:49:05.700]   I would be remiss if I didn't point out hostels here.
[00:49:05.700 --> 00:49:05.700]   I would be remiss if I didn't point out hostels here.
[00:49:05.700 --> 00:49:05.700]   I would be remiss if I didn't point out hostels here.
[00:49:05.700 --> 00:49:05.700]   I would be remiss if I didn't point out hostels here.
[00:49:05.700 --> 00:49:05.700]   I would be remiss if I didn't point out hostels here.
[00:49:05.700 --> 00:49:05.700]   I would be remiss if I didn't point out hostels here.
[00:49:05.700 --> 00:49:05.700]   I would be remiss if I didn't point out hostels here.
[00:49:05.700 --> 00:49:05.700]   I would be remiss if I didn't point out hostels here.
[00:49:05.700 --> 00:49:05.700]   I would be remiss if I didn't point out hostels here.
[00:49:05.700 --> 00:49:05.700]   I would be remiss if I didn't point out hostels here.
[00:49:05.700 --> 00:49:35.720]  ,
[00:49:35.720 --> 00:49:35.720]   and I would be remiss if I didn't point out hostels here.
[00:49:35.720 --> 00:49:35.720]   and I would be remiss if I didn't point out hostels here.
[00:49:35.720 --> 00:49:35.720]   and I would be remiss if I didn't point out hostels here.
[00:49:35.720 --> 00:49:35.720]   and I would be remiss if I didn't point out hostels here.
[00:49:35.720 --> 00:49:35.720]   and I would be remiss if I didn't point out hostels here.
[00:49:35.720 --> 00:49:35.720]   and I would be remiss if I didn't point out hostels here.
[00:49:35.720 --> 00:49:35.720]   and I would be remiss if I didn't point out hostels here.
[00:49:35.720 --> 00:49:35.720]   and I would be remiss if I didn't point out hostels here.
[00:49:35.720 --> 00:49:35.720]   and I would be remiss if I didn't point out hostels here.
[00:49:35.720 --> 00:49:35.720]   and I would be remiss if I didn't point out hostels here.
[00:49:35.740 --> 00:50:05.740]   and I would be remiss if I didn't point out hostels here.
[00:50:05.740 --> 00:50:05.740]   and I would be remiss if I didn't point out hostels here.
[00:50:05.740 --> 00:50:05.740]   and I would be remiss if I didn't point out hostels here.
[00:50:05.740 --> 00:50:05.740]   and I would be remiss if I didn't point out hostels here.
[00:50:05.740 --> 00:50:05.740]   and I would be remiss if I didn't point out hostels here.
[00:50:05.740 --> 00:50:05.740]   and I would be remiss if I didn't point out hostels here.
[00:50:05.740 --> 00:50:05.740]   and I would be remiss if I didn't point out hostels here.
[00:50:05.740 --> 00:50:05.740]   and I would be remiss if I didn't point out hostels here.
[00:50:05.740 --> 00:50:05.740]   and I would be remiss if I didn't point out hostels here.
[00:50:05.740 --> 00:50:05.740]   and I would be remiss if I didn't point out hostels here.
[00:50:05.740 --> 00:50:05.740]   and I would be remiss if I didn't point out hostels here.
[00:50:05.740 --> 00:50:05.740]   and I would be remiss if I didn't point out hostels here.
[00:50:05.740 --> 00:50:35.760]   and I would be remiss if I didn't point out hostels here.
[00:50:35.760 --> 00:50:35.760]   and I would be remiss if I didn't point out hostels here.
[00:50:35.760 --> 00:50:35.760]   and I would be remiss if I didn't point out hostels here.
[00:50:35.760 --> 00:50:35.760]   and I would be remiss if I didn't point out hostels here.
[00:50:35.760 --> 00:50:35.760]   and I would be remiss if I didn't point out hostels here.
[00:50:35.760 --> 00:50:35.760]   and I would be remiss if I didn't point out hostels here.
[00:50:35.760 --> 00:50:35.760]   and I would be remiss if I didn't point out hostels here.
[00:50:35.760 --> 00:50:35.760]   and I would be remiss if I didn't point out hostels here.
[00:50:35.780 --> 00:51:05.780]   I would be remiss if I didn't point out hostels here.
[00:51:05.780 --> 00:51:05.780]   and I would be remiss if I didn't point out hostels here.
[00:51:05.780 --> 00:51:05.780]   and I would be remiss if I didn't point out hostels here.
[00:51:05.780 --> 00:51:05.780]   and I would be remiss if I didn't point out hostels here.
[00:51:05.780 --> 00:51:05.780]   and I would be remiss if I didn't point out hostels here.
[00:51:05.780 --> 00:51:05.780]   and I would be remiss if I didn't point out hostels here.
[00:51:05.780 --> 00:51:05.780]   and I would be remiss if I didn't point out hostels here.
[00:51:05.780 --> 00:51:05.780]   and I would be remiss if I didn't point out hostels here.
[00:51:05.780 --> 00:51:05.780]   and I would be remiss if I didn't point out hostels here.
[00:51:05.780 --> 00:51:05.780]   and I would be remiss if I didn't point out hostels here.
[00:51:05.780 --> 00:51:05.780]   and I would be remiss if I didn't point out hostels here.
[00:51:05.780 --> 00:51:05.780]   and I would be remiss if I didn't point out hostels here.
[00:51:05.780 --> 00:51:35.800]   and I would be remiss if I didn't point out hostels here.
[00:51:35.800 --> 00:51:35.800]   and I would be remiss if I didn't point out hostels here.
[00:51:35.800 --> 00:51:35.800]   and I would be remiss if I didn't point out hostels here.
[00:51:35.800 --> 00:51:35.800]   and I would be remiss if I didn't point out hostels here.
[00:51:35.800 --> 00:51:35.800]   and I would be remiss if I didn't point out hostels here.
[00:51:35.800 --> 00:51:35.800]   and I would be remiss if I didn't point out hostels here.
[00:51:35.800 --> 00:51:35.800]   and I would be remiss if I didn't point out hostels here.
[00:51:35.820 --> 00:52:05.820]   and I would be remiss if I didn't point out hostels here.
[00:52:05.820 --> 00:52:05.820]   and I would be remiss if I didn't point out hostels here.
[00:52:05.820 --> 00:52:05.820]   and I would be remiss if I didn't point out hostels here.
[00:52:05.820 --> 00:52:05.820]   and I would be remiss if I didn't point out hostels here.
[00:52:05.820 --> 00:52:05.820]   and I would be remiss if I didn't point out hostels here.
[00:52:05.820 --> 00:52:05.820]   and I would be remiss if I didn't point out hostels here.
[00:52:05.820 --> 00:52:05.820]   and I would be remiss if I didn't point out hostels here.
[00:52:05.820 --> 00:52:05.820]   and I would be remiss if I didn't point out hostels here.
[00:52:05.820 --> 00:52:05.820]   and I would be remiss if I didn't point out hostels here.
[00:52:05.820 --> 00:52:05.820]   and I would be remiss if I didn't point out hostels here.
[00:52:05.820 --> 00:52:05.820]   and I would be remiss if I didn't point out hostels here.
[00:52:05.820 --> 00:52:05.820]   and I would be remiss if I didn't point out hostels here.
[00:52:05.860 --> 00:52:35.840]   and I would be remiss if I didn't point out hostels here.
[00:52:35.840 --> 00:52:35.840]   and I would be remiss if I didn't point out hostels here.
[00:52:35.840 --> 00:52:35.840]   and I would be remiss if I didn't point out hostels here.
[00:52:35.840 --> 00:52:35.840]   and I would be remiss if I didn't point out hostels here.
[00:52:35.840 --> 00:52:35.840]   and I would be remiss if I didn't point out hostels here.
[00:52:35.840 --> 00:52:35.840]   and I would be remiss if I didn't point out hostels here.
[00:52:35.840 --> 00:52:35.840]   and I would be remiss if I didn't point out hostels here.
[00:52:35.860 --> 00:53:05.860]   I would be remiss if I didn't point out hostels here.
[00:53:05.860 --> 00:53:05.860]   and I would be remiss if I didn't point out hostels here.
[00:53:05.860 --> 00:53:05.860]   and I would be remiss if I didn't point out hostels here.
[00:53:05.860 --> 00:53:05.860]   and I would be remiss if I didn't point out hostels here.
[00:53:05.860 --> 00:53:05.860]   and I would be remiss if I didn't point out hostels here.
[00:53:05.860 --> 00:53:05.860]   and I would be remiss if I didn't point out hostels here.
[00:53:05.860 --> 00:53:05.860]   and I would be remiss if I didn't point out hostels here.
[00:53:05.860 --> 00:53:05.860]   and I would be remiss if I didn't point out hostels here.
[00:53:05.860 --> 00:53:05.860]   and I would be remiss if I didn't point out hostels here.
[00:53:05.860 --> 00:53:05.860]   and I would be remiss if I didn't point out hostels here.
[00:53:05.860 --> 00:53:05.860]   and I would be remiss if I didn't point out hostels here.
[00:53:05.860 --> 00:53:05.860]   and I would be remiss if I didn't point out hostels here.
[00:53:05.860 --> 00:53:35.880]   and I would be remiss if I didn't point out hostels here.

