
[00:00:00.000 --> 00:00:01.500]   - Hi, it's Helen.
[00:34:49.340 --> 00:34:50.980]   you feel about what that's like,
[00:34:50.980 --> 00:34:53.660]   because five bills feels different from seven bills
[00:34:53.660 --> 00:34:55.540]   feels different from 10 bills.
[00:34:55.540 --> 00:34:57.920]   And so it's much easier to track.
[00:34:57.920 --> 00:35:00.320]   Now that's, you're in my situation
[00:35:00.320 --> 00:35:02.120]   after years of managing money,
[00:35:02.120 --> 00:35:03.620]   and most of us who are older,
[00:35:03.620 --> 00:35:06.620]   years of managing money in a non-digital context.
[00:35:06.620 --> 00:35:09.500]   So then we just assume that we have to train our children
[00:35:09.500 --> 00:35:10.980]   to manage digital money.
[00:35:10.980 --> 00:35:13.220]   And so the answer to that is give them a debit card.
[00:35:13.220 --> 00:35:14.700]   But they have the same problem.
[00:35:14.700 --> 00:35:17.380]   They don't have a feeling of what that feels like.
[00:35:17.380 --> 00:35:19.940]   And so I think it's perfectly reasonable
[00:35:19.940 --> 00:35:23.420]   to do all money management with currency
[00:35:23.420 --> 00:35:26.300]   until you get into the teenage years.
[00:35:26.300 --> 00:35:29.660]   And then you need to bring in additional skills.
[00:35:31.840 --> 00:35:34.880]   So then I think the idea should be,
[00:35:34.880 --> 00:35:36.880]   we should probably have multiple accounts.
[00:35:36.880 --> 00:35:38.680]   So I have not gotten to this stage yet.
[00:35:38.680 --> 00:35:40.040]   I've tested a few solutions.
[00:35:40.040 --> 00:35:41.760]   There are some financial,
[00:35:41.760 --> 00:35:44.940]   there are some financial companies
[00:35:44.940 --> 00:35:46.720]   that have products for this.
[00:35:46.720 --> 00:35:48.080]   I'm a big fan of Revolut.
[00:35:48.080 --> 00:35:51.300]   I think they've got a decent system for this.
[00:35:51.300 --> 00:35:55.600]   But I think it really can be, any bank can do it.
[00:35:55.600 --> 00:35:58.760]   But in essence, I think that we should
[00:35:58.760 --> 00:36:01.240]   simply teach our children to have multiple accounts.
[00:36:01.240 --> 00:36:02.840]   So we take the physical account structure
[00:36:02.840 --> 00:36:04.680]   that I have described,
[00:36:04.680 --> 00:36:07.560]   and we transfer the physical account structure
[00:36:07.560 --> 00:36:09.640]   into a bank account structure.
[00:36:09.640 --> 00:36:11.480]   So you should have three accounts.
[00:36:11.480 --> 00:36:13.420]   You should have a giving account,
[00:36:13.420 --> 00:36:15.760]   you should have a spending account,
[00:36:15.760 --> 00:36:17.980]   and you should have an investing account.
[00:36:17.980 --> 00:36:19.880]   And anytime you spend money,
[00:36:19.880 --> 00:36:21.480]   it should all be out of the spending account.
[00:36:21.480 --> 00:36:24.160]   Anytime you give money, you give out of the giving account.
[00:36:24.160 --> 00:36:26.880]   And then obviously investing, that never gets spent.
[00:36:26.880 --> 00:36:28.960]   It only gets invested, profits go back in,
[00:36:28.960 --> 00:36:30.640]   profits get split, et cetera.
[00:36:30.640 --> 00:36:34.840]   And so I think choosing some kind of debit card system
[00:36:34.840 --> 00:36:39.600]   that will work for you and give you
[00:36:39.600 --> 00:36:42.160]   that product for your child to split money into,
[00:36:42.160 --> 00:36:43.840]   I think is what you're looking for.
[00:36:43.840 --> 00:36:46.460]   Again, a lot of the,
[00:36:46.460 --> 00:36:49.200]   I wish I hadn't created a list of all the things.
[00:36:49.200 --> 00:36:52.400]   I'm sure most banks are looking for options.
[00:36:52.400 --> 00:36:54.820]   I'm a fan of Revolut, like I said,
[00:36:54.820 --> 00:36:58.700]   because it allows people to have a prepaid debit card
[00:36:58.700 --> 00:37:02.300]   that doesn't have, you don't overdraft,
[00:37:02.300 --> 00:37:03.680]   you don't incur fees, et cetera.
[00:37:03.680 --> 00:37:05.040]   You just look in the account, is there money there?
[00:37:05.040 --> 00:37:06.680]   I can spend it, if there's not, I don't.
[00:37:06.680 --> 00:37:07.680]   And that works really well.
[00:37:07.680 --> 00:37:09.040]   And by the way, to be clear,
[00:37:09.040 --> 00:37:11.640]   generally the child only needs one debit card
[00:37:11.640 --> 00:37:13.940]   for her spending account, that's it.
[00:37:13.940 --> 00:37:16.120]   And she needs some way to keep track of it.
[00:37:16.120 --> 00:37:18.000]   And so if it's attached to a phone app,
[00:37:18.000 --> 00:37:20.620]   if she has a phone, that's an ideal thing as well.
[00:37:20.620 --> 00:37:23.160]   This is where I see enormous value
[00:37:23.160 --> 00:37:24.560]   in teaching all the old skills
[00:37:24.560 --> 00:37:26.560]   of checkbook balancing, et cetera.
[00:37:26.560 --> 00:37:29.940]   I think it's really great to have those records, et cetera,
[00:37:29.940 --> 00:37:32.460]   but I also acknowledge the fact that nobody does it.
[00:37:32.460 --> 00:37:34.340]   And so those are some of those skills
[00:37:34.340 --> 00:37:36.180]   that are probably gonna go by the wayside.
[00:37:36.180 --> 00:37:40.020]   But that's my answer, is three different accounts,
[00:37:40.020 --> 00:37:41.860]   one with a debit card for spending,
[00:37:41.860 --> 00:37:44.480]   making sure that there's an easy way to check the balance,
[00:37:44.480 --> 00:37:46.980]   to see if there's money in the account, things like that.
[00:37:46.980 --> 00:37:49.380]   - That sounds great.
[00:37:49.380 --> 00:37:51.020]   I really, really appreciate it.
[00:37:51.020 --> 00:37:52.020]   - My pleasure.
[00:37:52.020 --> 00:37:55.980]   All right, we move on to Garth was next.
[00:37:55.980 --> 00:37:57.220]   Garth in Minnesota, welcome to the show.
[00:37:57.220 --> 00:37:58.520]   How can I serve you today?
[00:37:58.520 --> 00:38:03.620]   - Hey, Joshua, my wife and I are in our mid forties.
[00:38:03.620 --> 00:38:07.080]   We have two kids that are in their tween years.
[00:38:07.080 --> 00:38:09.680]   And in the past few years, our income,
[00:38:09.680 --> 00:38:12.520]   our net worth have ramped up quite a bit.
[00:38:12.520 --> 00:38:16.000]   Careers have grown and it's unlocking more options,
[00:38:16.000 --> 00:38:18.280]   I think, than we would have anticipated
[00:38:18.280 --> 00:38:20.400]   maybe five, 10 years ago.
[00:38:20.400 --> 00:38:22.560]   And as our kids are getting a little older,
[00:38:22.560 --> 00:38:23.720]   I'm starting to think more and more
[00:38:23.720 --> 00:38:26.140]   about like the next stages of life.
[00:38:26.140 --> 00:38:28.100]   And my wife has always preferred
[00:38:28.100 --> 00:38:30.720]   to be a little bit more spontaneous.
[00:38:30.720 --> 00:38:33.080]   We've been really focused on, we both work full time,
[00:38:33.080 --> 00:38:36.440]   focusing on raising our children and thinking and planning
[00:38:36.440 --> 00:38:38.120]   in terms of the coming months
[00:38:38.120 --> 00:38:40.000]   and what needs to get done today.
[00:38:40.000 --> 00:38:42.600]   And maybe it's a midlife thing,
[00:38:42.600 --> 00:38:47.600]   but as my perspective is changing,
[00:38:47.600 --> 00:38:52.320]   and I'm trying to think more longer term
[00:38:52.320 --> 00:38:55.120]   about money, career, and us building
[00:38:55.120 --> 00:38:57.060]   the next stage of our life together.
[00:38:57.060 --> 00:39:00.560]   And again, I think she's really kind of,
[00:39:00.560 --> 00:39:04.080]   you know, she thinks in terms of more of that spontaneous,
[00:39:04.080 --> 00:39:06.600]   which provides a nice balance in our relationship.
[00:39:06.600 --> 00:39:10.880]   But I'd love to get kind of your perspective on that, right?
[00:39:10.880 --> 00:39:13.080]   I'd love to be able to unlock that power
[00:39:13.080 --> 00:39:15.600]   of long-term goal setting and move in a direction together,
[00:39:15.600 --> 00:39:18.360]   but I don't know.
[00:39:18.360 --> 00:39:20.800]   Hopefully that's enough to riff on for you.
[00:39:20.800 --> 00:39:23.840]   - I think what you're, so it sounds like,
[00:39:23.840 --> 00:39:25.120]   at first I thought you were going to kind of,
[00:39:25.120 --> 00:39:26.320]   how does this relate to children?
[00:39:26.320 --> 00:39:27.720]   But that's not the question you're asking.
[00:39:27.720 --> 00:39:29.920]   You're primarily saying, you know,
[00:39:29.920 --> 00:39:34.400]   how do we build a vision for our life in the coming decades,
[00:39:34.400 --> 00:39:37.040]   given that we're likely to be wealthier
[00:39:37.040 --> 00:39:38.940]   than we ever imagined, is that right?
[00:39:38.940 --> 00:39:42.000]   - Yeah, that's exactly it.
[00:39:42.000 --> 00:39:42.840]   - Okay.
[00:39:42.840 --> 00:39:47.240]   As you stated, it's a wide question,
[00:39:47.240 --> 00:39:49.400]   but I'll give you my best shot.
[00:39:49.400 --> 00:39:52.560]   First, it's perfectly fine to focus
[00:39:52.560 --> 00:39:56.520]   on short and medium-term goals.
[00:39:56.520 --> 00:40:00.160]   And there is, you are in a stage of life
[00:40:00.160 --> 00:40:05.120]   that is only going to be here for a short period of time.
[00:40:05.120 --> 00:40:08.840]   And if you need to set aside the long-term goal planning
[00:40:08.840 --> 00:40:10.880]   to really focus on this stage,
[00:40:10.880 --> 00:40:14.960]   I think that is perfectly reasonable and appropriate.
[00:40:16.080 --> 00:40:18.840]   I think a lot about time-bound goals
[00:40:18.840 --> 00:40:20.960]   versus money-bound goals.
[00:40:20.960 --> 00:40:25.960]   And right now you have some very intensely time-bound goals.
[00:40:25.960 --> 00:40:31.840]   You have two twin children that are with you,
[00:40:31.840 --> 00:40:37.040]   and most of your experiences of long-term of life,
[00:40:37.040 --> 00:40:42.000]   most of the positive experiences
[00:40:42.000 --> 00:40:44.960]   that you're looking forward to in your life,
[00:40:44.960 --> 00:40:46.920]   and most of the negative experiences
[00:40:46.920 --> 00:40:48.960]   that could destroy your life,
[00:40:48.960 --> 00:40:53.760]   will be dependent upon the success of your children
[00:40:53.760 --> 00:40:56.040]   and your relationship,
[00:40:56.040 --> 00:40:59.800]   the quality of your relationship with your children.
[00:40:59.800 --> 00:41:02.000]   When I say success, let me define the context
[00:41:02.000 --> 00:41:03.680]   I'm saying that.
[00:41:03.680 --> 00:41:08.680]   If you have a child who becomes a drug addict
[00:41:08.680 --> 00:41:13.440]   and bears you a grandchild while a drug addict,
[00:41:13.440 --> 00:41:17.320]   and now you have to raise your grandchild
[00:41:17.320 --> 00:41:19.640]   while your daughter is off in the streets
[00:41:19.640 --> 00:41:23.360]   or your son is off shooting up people in the hood
[00:41:23.360 --> 00:41:24.960]   or something like that,
[00:41:24.960 --> 00:41:26.520]   the coming decades of your life
[00:41:26.520 --> 00:41:29.160]   are going to be extraordinarily painful.
[00:41:29.160 --> 00:41:33.280]   On the other hand, if your children do well in school,
[00:41:33.280 --> 00:41:35.560]   they have a good sense of who they are,
[00:41:35.560 --> 00:41:38.200]   they know what they like, what they don't like,
[00:41:38.200 --> 00:41:41.760]   they have a good sense of kind of the kinds of lifestyles
[00:41:41.760 --> 00:41:43.400]   that would be a good fit for them.
[00:41:43.400 --> 00:41:46.140]   If they proceed smoothly through the stages of life,
[00:41:46.140 --> 00:41:49.300]   they become competent and mature adults,
[00:41:49.300 --> 00:41:54.300]   they attract a high quality husband or a high quality wife,
[00:41:54.300 --> 00:41:59.600]   they get married, they have children,
[00:41:59.600 --> 00:42:01.280]   they have a satisfying life
[00:42:01.280 --> 00:42:04.160]   full of rich family relationships, et cetera,
[00:42:04.160 --> 00:42:07.120]   and they live stable, productive lives,
[00:42:07.120 --> 00:42:10.840]   then you can look forward to enormous amounts of pleasure
[00:42:10.840 --> 00:42:11.960]   for the coming decades.
[00:42:11.960 --> 00:42:14.920]   Pleasure in watching your children thrive and succeed,
[00:42:14.920 --> 00:42:18.520]   watching them experience all of the joys of young adulthood
[00:42:18.520 --> 00:42:19.920]   and passing through the stages,
[00:42:19.920 --> 00:42:22.480]   watching them bear grandchildren,
[00:42:22.480 --> 00:42:24.400]   raise grandchildren, et cetera,
[00:42:24.400 --> 00:42:26.760]   that's gonna be an enormous source of pleasure,
[00:42:26.760 --> 00:42:30.240]   and you will wind up like many grandparents
[00:42:30.240 --> 00:42:31.360]   moving across the country,
[00:42:31.360 --> 00:42:34.560]   so you can be close to your grandchildren, et cetera.
[00:42:34.560 --> 00:42:37.640]   And so to the extent that there's anything
[00:42:37.640 --> 00:42:42.640]   that you could do to determine the pathway of your children,
[00:42:42.640 --> 00:42:46.520]   whether they were on the pathway of success
[00:42:46.520 --> 00:42:49.560]   or the pathway of failure as human beings,
[00:42:49.560 --> 00:42:52.240]   that, then you should do those things.
[00:42:52.240 --> 00:42:57.000]   And yet, there's a very, a relatively narrow window
[00:42:57.000 --> 00:42:59.000]   in which you can do those things,
[00:42:59.000 --> 00:43:04.000]   because you are launching your children into independence
[00:43:04.000 --> 00:43:07.520]   over, let's say, the next five to seven years,
[00:43:07.520 --> 00:43:09.760]   depending on the specific ages
[00:43:09.760 --> 00:43:14.240]   and each individual child's process of maturity.
[00:43:14.240 --> 00:43:17.400]   So for you to be intensely focused on this
[00:43:17.400 --> 00:43:20.240]   over the course of these five years
[00:43:20.240 --> 00:43:24.260]   is a perfectly adequate thing to focus on,
[00:43:24.260 --> 00:43:25.920]   because that's what's gonna set the course
[00:43:25.920 --> 00:43:28.200]   for the next 50 years of your life.
[00:43:28.200 --> 00:43:31.880]   And so if 80% of your attention is on that
[00:43:31.880 --> 00:43:34.240]   and 20% is on the 50-year vision,
[00:43:34.240 --> 00:43:38.000]   then that's not wrong as a result.
[00:43:38.000 --> 00:43:41.840]   Now, what will happen is that as your children
[00:43:41.840 --> 00:43:46.280]   move from tweens to upper high school students
[00:43:46.280 --> 00:43:48.080]   and ultimately college students,
[00:43:48.080 --> 00:43:52.840]   you'll have naturally a lot more time available to you
[00:43:52.840 --> 00:43:54.560]   to think about those 50-year goals,
[00:43:54.560 --> 00:43:58.640]   just due to the natural process of independence.
[00:43:58.640 --> 00:44:01.200]   But don't think that it's more important
[00:44:01.200 --> 00:44:03.280]   to focus on the 50-year goals.
[00:44:03.280 --> 00:44:06.760]   To the neglect of your work right now, it's not.
[00:44:06.760 --> 00:44:10.020]   It's your work right now that's gonna make a big difference.
[00:44:10.020 --> 00:44:14.440]   Now, what is an enormous danger to be guarded against
[00:44:14.440 --> 00:44:17.720]   of where you are right now?
[00:44:17.720 --> 00:44:21.560]   Well, I think a danger is that your identity
[00:44:21.560 --> 00:44:25.560]   as husband and wife doesn't exist.
[00:44:25.560 --> 00:44:28.440]   Instead, your identity is father and mother.
[00:44:28.440 --> 00:44:33.360]   And so then if we think forward to a period of time,
[00:44:33.360 --> 00:44:36.120]   just a few short years from now, when you're empty nesters,
[00:44:36.120 --> 00:44:38.680]   if you wake up and you don't know your wife
[00:44:38.680 --> 00:44:41.440]   and you don't know anything about her goals
[00:44:41.440 --> 00:44:42.520]   and dreams for the future
[00:44:42.520 --> 00:44:45.200]   and her ambition for the future, et cetera,
[00:44:45.200 --> 00:44:46.300]   then you're doomed.
[00:44:46.300 --> 00:44:47.960]   And there's divorce court,
[00:44:47.960 --> 00:44:51.480]   you know, in some worst-case scenarios, waiting for you.
[00:44:51.480 --> 00:44:52.680]   And it's not necessary.
[00:44:52.680 --> 00:44:54.360]   So you do need to give attention
[00:44:54.360 --> 00:44:56.880]   to those long-term goals and dreams.
[00:44:56.880 --> 00:44:59.160]   But I just wanna, I'm just acknowledging
[00:44:59.160 --> 00:45:02.240]   that it may be a modest amount of attention.
[00:45:02.240 --> 00:45:04.360]   What I would say is the most important thing
[00:45:04.360 --> 00:45:07.240]   is for you and your wife to spend time together
[00:45:07.240 --> 00:45:11.360]   as husband and wife and to really make a priority of it.
[00:45:11.360 --> 00:45:12.800]   So having tweens is different
[00:45:12.800 --> 00:45:14.840]   than having very young children.
[00:45:14.840 --> 00:45:17.540]   You know, I just took my wife away
[00:45:17.540 --> 00:45:20.940]   for a short getaway for Valentine's Day.
[00:45:20.940 --> 00:45:24.400]   And, you know, when we're in baby mode as we are right now,
[00:45:24.400 --> 00:45:25.720]   we still have a baby with us,
[00:45:25.720 --> 00:45:28.060]   but I've gotta find multiple families
[00:45:28.060 --> 00:45:30.800]   to have multiple people who can take all the children
[00:45:30.800 --> 00:45:33.320]   'cause there's tons of children and they're all young.
[00:45:33.320 --> 00:45:36.480]   And so it's a lot of work.
[00:45:36.480 --> 00:45:37.960]   As you pass into the teenage years,
[00:45:37.960 --> 00:45:40.400]   it's relatively easy for you and your wife to get away.
[00:45:40.400 --> 00:45:43.080]   And so get away, get away for a weekend every quarter
[00:45:43.080 --> 00:45:44.560]   and just the two of you.
[00:45:44.560 --> 00:45:47.520]   And just talk about and think about what is in the future.
[00:45:47.520 --> 00:45:49.240]   And you need to make certain
[00:45:49.240 --> 00:45:52.840]   that you really understand her and her ambitions
[00:45:52.840 --> 00:45:55.240]   and what she's going to,
[00:45:55.240 --> 00:45:57.120]   what are the kinds of things
[00:45:57.120 --> 00:45:59.680]   that she wants more of in her life.
[00:45:59.680 --> 00:46:03.360]   The fact that she is more serendipitous in nature
[00:46:03.360 --> 00:46:06.120]   and more willing to accept what comes
[00:46:06.120 --> 00:46:09.320]   doesn't absolve you of your responsibility to plan
[00:46:09.320 --> 00:46:11.480]   for her to have all the things that she's serendipitous,
[00:46:11.480 --> 00:46:13.600]   gonna be serendipitously happy about.
[00:46:13.600 --> 00:46:15.680]   And so in some ways, what you're describing
[00:46:15.680 --> 00:46:18.520]   is a function of my own relationship with my wife.
[00:46:18.520 --> 00:46:20.360]   I'm the long-term thinker.
[00:46:20.360 --> 00:46:21.360]   Here's the plan.
[00:46:21.360 --> 00:46:23.080]   Here's the, okay, with this decade,
[00:46:23.080 --> 00:46:24.280]   it's gonna be this strategy.
[00:46:24.280 --> 00:46:26.200]   The following decade is gonna be these things.
[00:46:26.200 --> 00:46:27.040]   Here's what we're gonna do.
[00:46:27.040 --> 00:46:28.460]   Here's what we're gonna do, et cetera.
[00:46:28.460 --> 00:46:31.160]   But I still need to make sure that I know her
[00:46:31.160 --> 00:46:33.960]   because the fact that her way of planning
[00:46:33.960 --> 00:46:35.120]   is different than mine
[00:46:35.120 --> 00:46:38.200]   and her way of envisioning the future is different than mine
[00:46:38.200 --> 00:46:40.080]   doesn't make it more or less valid.
[00:46:40.080 --> 00:46:42.400]   And so I have to get out of her vision
[00:46:42.400 --> 00:46:43.720]   and I have to make certain
[00:46:43.720 --> 00:46:46.160]   that our family plan accounts for that.
[00:46:46.160 --> 00:46:48.680]   It counts for her to achieve those things.
[00:46:48.680 --> 00:46:51.440]   And that just comes with knowing your wife
[00:46:51.440 --> 00:46:53.080]   in an intimate way.
[00:46:53.080 --> 00:46:57.420]   And then talking to her in a context
[00:46:57.420 --> 00:47:02.420]   that is going to suss out what she's into.
[00:47:02.420 --> 00:47:03.840]   And so here's where I think
[00:47:03.840 --> 00:47:06.760]   some good goal-setting questions are important.
[00:47:06.760 --> 00:47:09.720]   And then just taking them and doing this as a couple.
[00:47:09.720 --> 00:47:13.160]   You go to a nice resort once a quarter,
[00:47:13.160 --> 00:47:15.080]   once every six months or whatever, get away.
[00:47:15.080 --> 00:47:17.920]   And don't pack your schedule full of activities,
[00:47:17.920 --> 00:47:19.400]   but spend some time talking about it
[00:47:19.400 --> 00:47:20.280]   and make the lists, right?
[00:47:20.280 --> 00:47:22.440]   Here are 30 things I wanna do, 30 things I wanna be,
[00:47:22.440 --> 00:47:25.120]   30 things I wanna have before I die.
[00:47:25.120 --> 00:47:26.680]   Go through, envision,
[00:47:26.680 --> 00:47:28.440]   okay, if we could do anything in the world,
[00:47:28.440 --> 00:47:29.440]   what would it look like?
[00:47:29.440 --> 00:47:32.080]   What would we do if we knew
[00:47:32.080 --> 00:47:33.520]   there was no possibility of failure?
[00:47:33.520 --> 00:47:36.040]   All the many dozens of great goal-setting questions
[00:47:36.040 --> 00:47:37.720]   and visioning exercises.
[00:47:37.720 --> 00:47:39.800]   Do those exercises and look for the themes
[00:47:39.800 --> 00:47:43.080]   and then start to schedule those things in intentionally.
[00:47:43.080 --> 00:47:47.820]   And recognize that your lives will be very different
[00:47:47.820 --> 00:47:50.020]   as you launch your children than they are now.
[00:47:50.020 --> 00:47:54.440]   And anything out more?
[00:47:54.440 --> 00:47:56.480]   I mean, I guess that's a starting point.
[00:47:56.480 --> 00:47:58.540]   Is that directionally helpful in any way?
[00:47:58.540 --> 00:48:01.000]   - Yeah, absolutely.
[00:48:01.000 --> 00:48:04.280]   And I logged you a non-specific question
[00:48:04.280 --> 00:48:06.120]   and I think you hit on all the key points
[00:48:06.120 --> 00:48:07.800]   I was hoping you would riff on.
[00:48:07.800 --> 00:48:09.400]   And I guess more than anything,
[00:48:09.400 --> 00:48:11.280]   it's a function of, hey,
[00:48:11.280 --> 00:48:13.440]   if we're following the 80/20 framework
[00:48:13.440 --> 00:48:15.720]   that you looked at and making sure that
[00:48:15.720 --> 00:48:17.820]   we're focused on that,
[00:48:17.820 --> 00:48:19.940]   that's, I think, some really sage advice
[00:48:19.940 --> 00:48:22.260]   and probably what I needed to hear on the call today.
[00:48:22.260 --> 00:48:23.300]   So thank you, Joshua.
[00:48:23.300 --> 00:48:24.140]   - My pleasure.
[00:48:24.140 --> 00:48:27.660]   It does really matter and you won't regret.
[00:48:27.660 --> 00:48:30.580]   If you spend more money now with your tweens,
[00:48:30.580 --> 00:48:33.980]   if you build more intimacy of relationship with them,
[00:48:33.980 --> 00:48:35.780]   et cetera, I think that,
[00:48:35.780 --> 00:48:37.660]   and by the way, you don't have to spend money,
[00:48:37.660 --> 00:48:39.700]   but my point is that if you're thinking about,
[00:48:39.700 --> 00:48:41.180]   well, should we get richer ourselves
[00:48:41.180 --> 00:48:44.540]   or should we really do this dream thing
[00:48:44.540 --> 00:48:45.780]   that we've wanted to do with our children?
[00:48:45.780 --> 00:48:49.500]   Take six months off and backpack Europe or whatever.
[00:48:49.500 --> 00:48:51.940]   You are in a very precious period of time
[00:48:51.940 --> 00:48:55.820]   where in terms of investing into relationship,
[00:48:55.820 --> 00:48:57.820]   there's going to be,
[00:48:57.820 --> 00:49:00.140]   there's just a very narrow window
[00:49:00.140 --> 00:49:01.820]   where your children are old enough
[00:49:01.820 --> 00:49:04.340]   to basically interact with you as adults,
[00:49:04.340 --> 00:49:08.080]   but they are not yet transitioning to full independence
[00:49:08.080 --> 00:49:10.780]   to where they are legal adults and et cetera.
[00:49:10.780 --> 00:49:14.580]   And I think that's a really satisfying phase of life
[00:49:14.580 --> 00:49:17.580]   where you can have enormous amounts of input
[00:49:17.580 --> 00:49:19.740]   into your children's lives,
[00:49:19.740 --> 00:49:24.740]   and also, but yet interact with them as adults.
[00:49:24.740 --> 00:49:30.300]   'Cause when you've got a 20 year old who's telling you,
[00:49:30.300 --> 00:49:33.260]   your daughter's telling you what she's thinking about,
[00:49:33.260 --> 00:49:35.940]   et cetera, you're not gonna be interfering in her life.
[00:49:35.940 --> 00:49:37.700]   You're not gonna be directing her life
[00:49:37.700 --> 00:49:39.620]   like you do when she's 13.
[00:49:39.620 --> 00:49:40.460]   You're gonna be listening.
[00:49:40.460 --> 00:49:41.820]   You're gonna be coaching.
[00:49:41.820 --> 00:49:43.780]   You're gonna be asking good questions,
[00:49:43.780 --> 00:49:45.180]   but you're not gonna be telling her what to do.
[00:49:45.180 --> 00:49:46.900]   She's 20 years old.
[00:49:46.900 --> 00:49:49.020]   But when she's 13, you're spending,
[00:49:49.020 --> 00:49:51.780]   you're able to direct her in a better way.
[00:49:51.780 --> 00:49:55.300]   And so anything you can do to really engage in relationship
[00:49:55.300 --> 00:49:57.860]   and help your children at this stage
[00:49:57.860 --> 00:50:02.860]   should be the 80% of your activities.
[00:50:02.860 --> 00:50:04.820]   I guess there's just one more thing.
[00:50:04.820 --> 00:50:06.200]   I really think that,
[00:50:06.200 --> 00:50:09.860]   I'm blanking on the name of the book.
[00:50:09.860 --> 00:50:11.580]   I think if you haven't read it,
[00:50:11.580 --> 00:50:15.820]   you should read Gabor Mate's book on,
[00:50:15.820 --> 00:50:17.380]   find the title here real quick,
[00:50:17.380 --> 00:50:22.380]   called "Hold On To Your Kids".
[00:50:22.380 --> 00:50:24.940]   I think that's a really valuable book,
[00:50:24.940 --> 00:50:26.820]   a really valuable parenting book.
[00:50:26.820 --> 00:50:30.980]   And basically, my two sentence summary of it
[00:50:30.980 --> 00:50:34.580]   is that you should be very intentional
[00:50:34.580 --> 00:50:38.860]   about keeping your children connected to you as a father
[00:50:38.860 --> 00:50:40.980]   and to your wife as a mother,
[00:50:40.980 --> 00:50:45.660]   rather than forcing your children onto their peers
[00:50:45.660 --> 00:50:50.260]   as a primary source of direction in the culture.
[00:50:50.260 --> 00:50:53.420]   And Mate makes the point in that book
[00:50:53.420 --> 00:50:58.420]   about the novelty that is modern youth culture.
[00:50:58.420 --> 00:51:02.780]   And I realize this is a big blind spot for me as a parent,
[00:51:02.780 --> 00:51:06.660]   is that I've always believed that we should help children
[00:51:06.660 --> 00:51:09.820]   to develop independence at an early age.
[00:51:09.820 --> 00:51:12.340]   It's my basic belief that we should,
[00:51:12.340 --> 00:51:14.420]   kind of like they used to do,
[00:51:14.420 --> 00:51:18.220]   our vision should be that by 13 or 14 or 15,
[00:51:18.220 --> 00:51:20.740]   that our children are fully independent adults.
[00:51:20.740 --> 00:51:21.940]   Now, obviously, they're not gonna be
[00:51:21.940 --> 00:51:23.100]   fully independent adults,
[00:51:23.100 --> 00:51:25.540]   but you're dealing with an adult at that point in time
[00:51:25.540 --> 00:51:27.700]   that in all historical cultures
[00:51:27.700 --> 00:51:29.000]   has been considered an adult.
[00:51:29.000 --> 00:51:30.820]   So we shouldn't aim for 18,
[00:51:30.820 --> 00:51:34.100]   we should aim for 13 as the age at which to produce adults.
[00:51:34.100 --> 00:51:37.300]   With various modifications of that
[00:51:37.300 --> 00:51:38.420]   due to the reality of the fact
[00:51:38.420 --> 00:51:39.900]   that they're not legal adults,
[00:51:39.900 --> 00:51:43.300]   and that we're not trying to force them into a path,
[00:51:43.300 --> 00:51:46.860]   you don't want your 13 year old getting married,
[00:51:46.860 --> 00:51:51.500]   but your ambition is not to extend childhood.
[00:51:51.500 --> 00:51:54.260]   However, what I realized when I read Mate's book
[00:51:54.260 --> 00:51:59.260]   was that it's very easy to,
[00:51:59.260 --> 00:52:01.620]   if you have a mindset of independence,
[00:52:01.620 --> 00:52:03.980]   it's very easy to force your children
[00:52:03.980 --> 00:52:06.140]   to go out into their peer culture
[00:52:06.140 --> 00:52:08.380]   and to attach to their peer culture
[00:52:08.380 --> 00:52:10.020]   instead of being attached to their family
[00:52:10.020 --> 00:52:11.300]   and in their community.
[00:52:11.300 --> 00:52:14.700]   And we don't want that because the peer culture is toxic.
[00:52:14.700 --> 00:52:17.100]   What we want is them to have great
[00:52:17.100 --> 00:52:19.260]   and fulfilling relationships with peers,
[00:52:19.260 --> 00:52:23.700]   but not to look to their peers for wisdom and for direction,
[00:52:23.700 --> 00:52:26.140]   but we want them to be very consciously attached
[00:52:26.140 --> 00:52:29.780]   to us as parents, to our community that we're in
[00:52:29.780 --> 00:52:31.860]   across the generations.
[00:52:31.860 --> 00:52:33.420]   And so check that out and think about
[00:52:33.420 --> 00:52:34.740]   how you can apply anything
[00:52:34.740 --> 00:52:36.820]   that is relevant from that as well.
[00:52:36.820 --> 00:52:38.340]   All right, we go to the great state of Ontario.
[00:52:38.340 --> 00:52:40.420]   Welcome to the show, how can I serve you today?
[00:52:40.420 --> 00:52:43.900]   - Oh, Joshua, thank you so much
[00:52:43.900 --> 00:52:47.220]   for those last couple of answers, they were excellent.
[00:52:47.220 --> 00:52:48.980]   - My pleasure, thank you very much.
[00:52:48.980 --> 00:52:54.540]   - So my basic question is to do with
[00:52:54.540 --> 00:52:57.220]   real estate versus Bitcoin.
[00:52:57.220 --> 00:52:59.060]   So I'll give you a quick background.
[00:52:59.820 --> 00:53:01.340]   I have some real estate properties
[00:53:01.340 --> 00:53:03.180]   I purchased about 20 years ago
[00:53:03.180 --> 00:53:04.460]   in a fairly depressed market,
[00:53:04.460 --> 00:53:06.540]   which sat quite still for about 15 years.
[00:53:06.540 --> 00:53:08.100]   And then approximately five years ago,
[00:53:08.100 --> 00:53:11.300]   things turned around here as they did in so many places.
