
[00:00:00.000 --> 00:00:02.000]   Freeberg, Freeberg. What's up?
[00:42:58.680 --> 00:43:04.380]   Please, because if you start to abandon these global tax treaties, and you're starting to see
[00:43:04.380 --> 00:43:10.080]   it, France is trying to do some stuff, the UK is trying to do some stuff, states individually in
[00:43:10.080 --> 00:43:14.820]   the United States are trying to sue these companies or tax them more. That's the that's the first way
[00:43:14.820 --> 00:43:19.560]   to chip away at these monopolies is to basically say, fuck your global tax treaty, you need to pay
[00:43:19.560 --> 00:43:25.140]   x amount of dollars to be here. And it already exists because of these, you know, realist,
[00:43:25.140 --> 00:43:28.440]   sorry, the retail tax nexus is and how ecommerce can be used.
[00:43:28.440 --> 00:43:51.740]   And then you have the
[00:43:51.740 --> 00:43:58.200]   commerce companies have to pay local tax in the areas. But once it sort of touches a whole bunch
[00:43:58.200 --> 00:44:03.540]   of these companies, you know, that country doesn't care what the taxation is in Zimbabwe, right, or
[00:44:03.540 --> 00:44:08.220]   Canada, they're like, if I'm the UK or France, I'm like, I look at the top 20 apps in my country. And
[00:44:08.220 --> 00:44:12.840]   I'm like, wait a minute, these guys would be paying me $50 billion a year in tax. It's hard
[00:44:12.840 --> 00:44:15.720]   to get away from the incentive to not want to tax these companies right now.
[00:44:15.720 --> 00:44:17.640]   Sax. Any thoughts?
[00:44:17.640 --> 00:44:22.920]   Yeah, I don't have a huge thought on the IP issue. It seems like I know
[00:44:22.920 --> 00:44:26.820]   the the Republican proposal on the infrastructure was six to 800 billion.
[00:44:27.960 --> 00:44:34.200]   Biden's proposal initially was 2.3. Chamath is right now they're down to 1.7. I think the markets
[00:44:34.200 --> 00:44:40.800]   have been choking on the size of all of this tax and spend. And the there's been all these reports
[00:44:40.800 --> 00:44:47.100]   of inflation spiking. And so the growth stocks have just been hammered. Because we're all
[00:44:47.100 --> 00:44:51.600]   expecting big interest rate increases to control this future inflation. So
[00:44:51.600 --> 00:44:57.720]   Biden's been horrible for growth stocks so far. And it really I guess that what it shows is that
[00:44:57.720 --> 00:45:02.460]   you know, what are growth stocks, growth stocks are future investment. And it shows the way that
[00:45:02.460 --> 00:45:07.920]   the government can crowd out when you have excess government spending. I guess you can call it an
[00:45:07.920 --> 00:45:13.320]   investment if you want. But when you have excess government spending, it starts to crowd out private
[00:45:13.320 --> 00:45:19.680]   investment, because it raises interest rates. And that, you know, decreases the value of growth
[00:45:19.680 --> 00:45:25.980]   stocks. And there's less money that flows into that. Yeah, it does seem like the market reaction
[00:45:25.980 --> 00:45:34.680]   to the infrastructure bill, and to inflation has made Biden reconsider his approach. And maybe he
[00:45:34.680 --> 00:45:39.420]   just came out too hot. I don't think Biden's reconsidering. I think it's people like Joe
[00:45:39.420 --> 00:45:45.240]   Manchin. Remember, it's a 50s Warner, Mark Warner, Kristen cinema, the moderate, there's three or four
[00:45:45.240 --> 00:45:50.820]   moderate Democrats in the Senate, who I think are receiving the message. I'm not putting it really
[00:45:50.820 --> 00:45:55.560]   well, the last pod that the markets are sending a message to Washington. I think some of those
[00:45:55.560 --> 00:46:00.420]   centrist Democrats read the message. I don't think Biden's aware of it. I don't know what he's aware
[00:46:00.420 --> 00:46:04.080]   of. He doesn't seem too aware of anything to me. But I think the moderate Democrats are getting a
[00:46:04.080 --> 00:46:08.460]   message. And they're telling they're telling the White House the package is too big. And they're,
[00:46:08.460 --> 00:46:09.780]   and I think that's why it's coming.
[00:46:09.780 --> 00:46:14.520]   The other thing that I think people may be getting their heads around, here's what's changed since
[00:46:14.520 --> 00:46:20.280]   last week. There's a growing body if I had to say like, you know, the beautiful thing about the markets
[00:46:20.580 --> 00:46:25.680]   is it is an extremely elegant voting mechanism in the short term, right? I mean, Buffett says it's,
[00:46:25.680 --> 00:46:30.120]   it's a voting machine in the short term and a weighing machine in the long term. But if you
[00:46:30.120 --> 00:46:36.660]   look at sentiment and how things are voted on in the public markets in real time, it's incredibly
[00:46:36.660 --> 00:46:43.080]   illustrative. So there's a body of people now that are voting a very different scenario than inflation.
[00:46:43.080 --> 00:46:50.340]   What they're voting for now is this idea that by the fall, a lot of this short term pent up demand will have
[00:46:50.340 --> 00:46:54.960]   worked its way through the system. And instead, we'll be back to this realization that we've had
[00:46:54.960 --> 00:46:59.160]   for the last 20 years, which is, hey, wait a minute, people don't actually want to buy more
[00:46:59.160 --> 00:47:03.240]   of these physical goods, they're going to go back to consuming the way they did before, it's going
[00:47:03.240 --> 00:47:07.800]   to reflexively push towards technology companies again, and we're going to have this rebirth of
[00:47:07.800 --> 00:47:13.500]   growth. And you would say, Well, how would you know that that vote is likely? And this one
[00:47:13.500 --> 00:47:17.940]   incredible thing happened this last week, which I just want to throw out here. One thing that I look
[00:47:17.940 --> 00:47:20.100]   at is this thing called 10 year break evens,
[00:47:20.100 --> 00:47:24.240]   which is basically a thing that the Federal Reserve of St. Louis publishes.
[00:47:24.240 --> 00:47:30.240]   And what it basically shows is like what people think collectively trillions of dollars, what the
[00:47:30.240 --> 00:47:37.680]   10 year break even interest rates going to be. And it peaked last week at 2.54%. And it's fallen 13
[00:47:37.680 --> 00:47:43.920]   basis points just in the last week down to 241. And I don't know whether it's sustained or whatever,
[00:47:43.920 --> 00:47:49.860]   but there is a growing idea that the worst may be behind us. And if you layer on top of this
[00:47:49.860 --> 00:47:58.440]   right now, Biden pulling back, right on stimulus, because he's can't get it done, pulling back on
[00:47:58.440 --> 00:48:04.680]   cap gains, pulling back on corporate taxation, and a more measured policy of investment.
[00:48:04.680 --> 00:48:07.020]   We could all be back.
[00:48:07.020 --> 00:48:12.240]   So we're basically taking the medicine and getting back to where we were. But we still
[00:48:12.240 --> 00:48:16.020]   have massive asset inflation, we're seeing in houses, cars and other things.
[00:48:16.020 --> 00:48:19.620]   Well, we may have just pulled forward demand, meaning, you know, people are like,
[00:48:19.620 --> 00:48:23.040]   okay, I'm flush with money, the savings rate in the United States has been, you know,
[00:48:23.040 --> 00:48:27.360]   going at an incredible clip, people may pull forward all that spending and say,
[00:48:27.360 --> 00:48:32.040]   I was going to buy a car 18 months from now, or I was going to buy a house two years from now.
[00:48:32.040 --> 00:48:36.720]   Fuck it, I'm going to do it now because prices are going up too fast, I don't want to miss out.
[00:48:36.720 --> 00:48:41.040]   But then they're out of the market now for the next many number of years. And this is
[00:48:41.040 --> 00:48:45.600]   what I'm saying where you see this short term spike of demand, and then things get back to
[00:48:45.600 --> 00:48:49.380]   normal. If that's what we see, good times are back in growth stock.
[00:48:49.380 --> 00:49:01.560]   I literally I did like two or three early stage deals recently. And I had members of my syndicate
[00:49:01.560 --> 00:49:06.420]   say like, how does this valuation make sense? And I said to them, you know, it actually doesn't make
[00:49:06.420 --> 00:49:11.460]   sense. If you're looking at it with the traditional metrics, but all valuations are higher at all
[00:49:11.460 --> 00:49:17.760]   stages. So I'm going to selectively you know, overpay compared to what we were paying a year or
[00:49:17.760 --> 00:49:18.260]   two ago.
[00:49:18.260 --> 00:49:23.900]   You know, if I really love a company, but I will sit out a lot of I'm sitting out a lot of rounds
[00:49:23.900 --> 00:49:28.340]   right now that I just can't get my head around the valuation. So hopefully some
[00:49:28.340 --> 00:49:32.600]   well, there's always a trickle down, there's always a trickle down from growth stocks in
[00:49:32.600 --> 00:49:38.060]   the public markets to venture, right? Because the last private investors like the big funds,
[00:49:38.060 --> 00:49:43.100]   who do the super late stage stuff, they're just doing an arbitrage on what they pay versus what
[00:49:43.100 --> 00:49:47.480]   the company is going to list for publicly. So when they see those valuations go down, they adjust,
[00:49:47.480 --> 00:49:48.020]   and then it works.
[00:49:48.020 --> 00:49:53.360]   It's way all the way down the stack. So you know, growth stocks have just been hammered,
[00:49:53.360 --> 00:49:58.820]   and especially all the recent listings, the IPOs and SPACs and everything. And,
[00:49:58.820 --> 00:50:02.060]   and that's going to trickle its way down, I think, to venture system.
[00:50:02.060 --> 00:50:05.960]   I think we have the Yeah, I think we have the lead indicator on that as Clubhouse,
[00:50:05.960 --> 00:50:09.920]   right, which will be the canary in the coal mine. I don't know how you guys reconcile
[00:50:09.920 --> 00:50:13.580]   explain, explain what's going on with clubhouse just for those of us explain what it is.
[00:50:13.580 --> 00:50:17.240]   Okay, so clubhouse is a casual audio space, you go into a room,
[00:50:17.240 --> 00:50:17.780]   and you're going to be able to get a lot of money out of it.
[00:50:17.780 --> 00:50:21.920]   And you're immediately taken to a live conversation with people speaking on stage
[00:50:21.920 --> 00:50:25.880]   and an audience audience members can be promoted to the stage and start talking.
[00:50:25.880 --> 00:50:30.380]   In a way, hold on, it's in an app. And it's an audio. So there's an audio,
[00:50:30.380 --> 00:50:32.420]   there's an app you go in, and it's all audio. Yes.
[00:50:32.420 --> 00:50:35.120]   So it's like amateur night at a strip club, but for words,
[00:50:35.120 --> 00:50:38.660]   or more comedy club, or whatever, you just bring public on stage. Yeah,
[00:50:38.660 --> 00:50:43.520]   it's kind of like a champagne room, but a little different. So anyway,
[00:50:43.520 --> 00:50:47.060]   there we go. More like the pod.
[00:50:47.060 --> 00:50:47.540]   Yeah.
[00:50:47.540 --> 00:50:52.640]   Apple 2000 signatures from Apple to remove all in from the podcasting app.
[00:50:52.640 --> 00:50:56.000]   We just lost three ranks in the Apple podcasting app.
[00:50:56.000 --> 00:51:03.380]   So what's very interesting about this app is that it had a massive number of downloads during the
[00:51:03.380 --> 00:51:06.860]   pandemic because people were home and people were not doing anything at night because they
[00:51:06.860 --> 00:51:13.880]   were sheltering in place. And they had in you know, 2 million downloads in January 9.5 million
[00:51:13.880 --> 00:51:17.300]   in February of this year and then came crashing down 2.7 million in in in the fall.
[00:51:17.300 --> 00:51:24.980]   And then in March and 922 in April, but at the same time, their valuation over 18 months went
[00:51:24.980 --> 00:51:31.160]   from 100 million in their seed when they had like three or 4000 users to a billion to 4 billion in
[00:51:31.160 --> 00:51:37.520]   the last round of financing for a company with zero revenue. And let's call it a couple of
[00:51:37.520 --> 00:51:42.140]   million people using the app. And what's really interesting is the same venture firm led all
[00:51:42.140 --> 00:51:46.400]   three rounds Allah Sequoia is investment in WhatsApp where they did all the private funding.
[00:51:46.400 --> 00:51:52.700]   So you have no outside capital marking this valuation a $4 billion valuation $4 billion.
[00:51:52.700 --> 00:51:57.680]   Well, they got a they got an acquisition offer from Twitter for 4 billion. And they they turned
[00:51:57.680 --> 00:52:04.040]   they confirmed I've heard it was real. So, so but so basically, the reason why the 4 billion private
[00:52:04.040 --> 00:52:08.540]   round happened was so that we keep going as an independent company. They could basically take
[00:52:08.540 --> 00:52:12.800]   some chips off the table through secondary and kind of go for the bigger outcome. But yeah,
[00:52:12.800 --> 00:52:16.160]   they could have just sold to Twitter for 4 billion. So, they may.
[00:52:16.160 --> 00:52:17.360]   They end up regretting that.
[00:52:17.360 --> 00:52:25.580]   But like, is this really a function of a broader inflation valuation inflation? Or is this just a
[00:52:25.580 --> 00:52:30.080]   function of there was a company that was a social network with hyper growth. And then it turns out
[00:52:30.080 --> 00:52:32.420]   that the product had no stickiness and the hyper growth went away.
[00:52:32.420 --> 00:52:33.920]   The souffle collapsed.
[00:52:33.920 --> 00:52:35.120]   The souffle collapsed.
[00:52:35.120 --> 00:52:40.640]   Can I can I can I just point out like and forgive me if any, any of you guys are investors in this
[00:52:40.640 --> 00:52:45.920]   company or anyone that's listening cares. But like if this thing came out before,
[00:52:45.920 --> 00:52:51.380]   YouTube, people would say, you know, this is interesting, but it needs an asynchronous killer.
[00:52:51.380 --> 00:52:55.280]   It needs a thing where you can like record a conversation posted online, and people can come
[00:52:55.280 --> 00:52:59.540]   and watch it and listen to it when they want. It was always so crazy to me that you had to be logged
[00:52:59.540 --> 00:53:03.500]   into the app to listen to what was going on. And if you didn't, you missed the conversation. And
[00:53:03.500 --> 00:53:07.880]   there was no way to like, go watch the recording of the conversation. Like, am I crazy to think
[00:53:07.880 --> 00:53:12.740]   that this was just like, I think you nailed it that they don't have a sink in there. And actually,
[00:53:12.740 --> 00:53:15.680]   I've got a little disclosure to make here. Oh,
[00:53:15.680 --> 00:53:21.020]   what? What? The beat got wet. But it's
[00:53:21.020 --> 00:53:29.840]   breaking news story. Okay, so I think I understand what clubhouse did wrong. Async is a huge part of
[00:53:29.840 --> 00:53:35.000]   it. But rather than tell you exactly I'm going to show you because I've been incubating a new
[00:53:35.000 --> 00:53:44.720]   lot that we're on test flight right now. And you guys after this pod, I can I can demo it for you.
[00:53:44.720 --> 00:53:49.280]   And if you guys if you guys want to invest, I'm going to close around this week for
[00:53:49.280 --> 00:53:53.540]   each getting wet. And so if you guys want to evaluate what's the value? What's our insider
[00:53:53.540 --> 00:53:57.500]   all in? What's the bestie Val? Yeah, what's the bestie? I'll talk to you guys offline.
[00:53:57.500 --> 00:53:59.360]   How much? How much money do you want to raise?
[00:53:59.360 --> 00:54:03.860]   We're already we're raising 10 million bucks and we already have commitments and but I'm creating
[00:54:03.860 --> 00:54:11.420]   room for you guys. Yeah. 500k each. Sounds like 500k each. Where is it? Let's talk about it offline.
[00:54:11.420 --> 00:54:14.480]   But but the apps on test flight, I think we'll be ready to launch in a few weeks.
[00:54:14.480 --> 00:54:16.640]   Can I can I say what's it called?
[00:54:16.640 --> 00:54:20.840]   Can you say? Yeah, no, I'll say it. It's called call in.
[00:54:20.840 --> 00:54:21.980]   Call in.
[00:54:21.980 --> 00:54:22.760]   Call in.
[00:54:22.760 --> 00:54:25.940]   I thought it was I thought it was going to be called glove mouse.
[00:54:25.940 --> 00:54:30.920]   Does this have a podcast?
[00:54:30.920 --> 00:54:33.860]   Yeah. Like are we going to do the podcast on it?
[00:54:33.860 --> 00:54:38.180]   We absolutely could do the podcast on it. And it would be awesome. Nick would be out of a job. So
[00:54:38.180 --> 00:54:41.840]   I don't think he would like that too much. But I think it's good for call ins. If we wanted to do
[00:54:41.840 --> 00:54:44.240]   a call in show, it would be good for that. Yes. It'd be great. It'd be great. It'd be great.
[00:54:44.240 --> 00:54:48.980]   It'd be great to do exactly. That's why it's called call in is because the ability for you
[00:54:48.980 --> 00:54:54.860]   to take callers is obviously a huge feature. But also like we could host after parties for
[00:54:54.860 --> 00:54:58.820]   our fans to like, you know, chop up the latest episode and talk about it.
[00:54:58.820 --> 00:55:03.020]   Yeah, these fans are getting crazy. Do you guys see the all in stats, Twitter handle?
[00:55:03.020 --> 00:55:07.100]   I don't know the Twitter handle off the top of my head. But somebody's these kids are doing
[00:55:07.100 --> 00:55:14.000]   they're using machine learning or something to know what percentage
[00:55:14.000 --> 00:55:18.140]   of time we each speak on the pod and how many monologues and they're doing all these statistics.
[00:55:18.140 --> 00:55:23.600]   It's crazy. That's really cool. I was gonna say, in defense of clubhouse for a second,
[00:55:23.600 --> 00:55:28.760]   I don't I don't know the app per se. But I think like, why Andreessen did all of that,
[00:55:28.760 --> 00:55:33.020]   in my opinion, is because they're pressing a hot hand, which makes a ton of sense from
[00:55:33.020 --> 00:55:36.620]   their perspective. It's like, you know, I think that they're going for the kill shot,
[00:55:36.620 --> 00:55:42.380]   because I think they're basically set up. They're basically set up to become Sequoia if they really,
[00:55:42.380 --> 00:55:43.760]   I mean, I think, if you think about it, I think they're going for the kill shot, because I think,
[00:55:43.760 --> 00:55:48.740]   if you think about like, which two firms are really crushing on all cylinders right now,
[00:55:48.740 --> 00:55:53.840]   obviously, Sequoia has always been the perennial number one. But if you think about the heater
[00:55:53.840 --> 00:55:59.180]   that Andreessen is on, it's incredible. And so from their perspective, the $4 billion valuation
[00:55:59.180 --> 00:56:03.800]   is less important than what is their real capital at risk. And that's probably 100 or 150 million,
[00:56:03.800 --> 00:56:09.020]   which in the grand scheme of having 40 or $50 billion of AUM, if you consider the value of
[00:56:09.020 --> 00:56:13.520]   all their public positions as well, that's a really reasonable risk to take. So I think
[00:56:13.520 --> 00:56:17.180]   that's a really good view. And that way, it's kind of like, they're taking a shot to try to just,
[00:56:17.180 --> 00:56:21.020]   you know, go for it. If it does become worth 10 billion or 50 billion. Also,
[00:56:21.020 --> 00:56:26.000]   if it only gets sold for 500 million, they get their money out first. So what does it matter?
[00:56:26.000 --> 00:56:28.760]   What does it matter? They're going for the $100 billion outcome. I mean,
[00:56:28.760 --> 00:56:33.680]   they've seen that Instagram sold too soon. They saw that Snap turned down a $3 billion
[00:56:33.680 --> 00:56:37.520]   offer from Facebook, and now it's worth 80 billion. So they're going for the $100 billion.
[00:56:37.520 --> 00:56:38.900]   YouTube, 1.6 billion.
[00:56:38.900 --> 00:56:42.620]   Yeah, and now it's worth hundreds of billions. So they're hoping it's going to be like that.
[00:56:43.280 --> 00:56:48.380]   But Chamath is right. Look, if they had taken, what, say 20% of a $4 billion outcome,
[00:56:48.380 --> 00:56:53.360]   800 million, that doesn't even pay back their fund, right? But if it ends up being $100 billion
[00:56:53.360 --> 00:56:56.960]   outcome, they make 20 billion. Now it's like a Coinbase for them.
[00:56:56.960 --> 00:56:59.480]   What do you think they gave to the founders?
[00:56:59.480 --> 00:57:00.980]   Well, who knows?
[00:57:00.980 --> 00:57:04.040]   To keep them in the game, because 4 billion, if they owned 80%.
[00:57:04.040 --> 00:57:07.940]   Yeah, they took chips off the table. But here's the thing,
[00:57:07.940 --> 00:57:13.040]   all those decisions were made before the recent collapse and engagement at Clubhouse. I'm
[00:57:13.040 --> 00:57:18.860]   not sure anybody would be paying 4 billion for it now, given everything that's gone wrong. But
[00:57:18.860 --> 00:57:20.900]   you know, who knows? It's still pretty early.
[00:57:20.900 --> 00:57:27.980]   And just for people who are curious, there is a Twitter handle, allin_stats. And yeah,
[00:57:27.980 --> 00:57:34.460]   it's allinstats.com. I don't know. We're not affiliated with these maniacs, but we love the
[00:57:34.460 --> 00:57:39.020]   stands, and we're going to do something in person in September. Congratulations to the stands for
[00:57:39.020 --> 00:57:42.800]   losing their minds. I think it's a pretty good way for them to capture
[00:57:42.800 --> 00:57:52.220]   a bunch of attention on the Twitter. All right. Crypto is getting absolutely hammered. And the
[00:57:52.220 --> 00:57:57.440]   Chinese have once again said that they're basically saber rattling about cryptocurrency.
[00:57:57.440 --> 00:57:59.180]   They're obviously going to do their own crypto.
[00:57:59.180 --> 00:58:05.420]   Jason, I think you have to talk about China in a slightly broader lens than just what's happening
[00:58:05.420 --> 00:58:11.720]   in crypto, because this is the same week where they basically forced Zhang Yiming to resign from
[00:58:12.560 --> 00:58:17.720]   the dance. I mean, you know, last week, it was or last month, it was the CEO pin duo duo.
[00:58:17.720 --> 00:58:19.340]   And Jack Ma's MIA.
[00:58:19.340 --> 00:58:21.800]   They're going for the jugular. I mean, it's like,
[00:58:21.800 --> 00:58:26.780]   we're what why are they taking out all their top CEOs? This would be like putting Elon and
[00:58:26.780 --> 00:58:30.920]   Jeff Bezos on the bench? Is it they just don't want any heroes?
[00:58:30.920 --> 00:58:34.580]   I don't know. I mean, I guess maybe the speculative part of me would say,
[00:58:34.580 --> 00:58:37.460]   they're showing them who's really in charge of these companies.
[00:58:37.460 --> 00:58:42.320]   I mean, it would be crazy to your point, if the government of the United
[00:58:42.320 --> 00:58:49.460]   States forced Sundar Pichai and Tim Cook and Mark Zuckerberg and Elon Musk to resign. It's like,
[00:58:49.460 --> 00:58:54.440]   hey, sorry, I'm sorry, you need to leave right now and put somebody else in and deactivate their
[00:58:54.440 --> 00:58:54.800]   badges.
[00:58:54.800 --> 00:58:59.540]   Yeah, we just we just relentlessly criticize them. Right. But But yeah,
[00:58:59.540 --> 00:59:02.960]   we just demonize them. Just try to cancel them.
[00:59:02.960 --> 00:59:06.740]   But look, but they deserve that level of scrutiny because the amount of power they have. But But
[00:59:06.740 --> 00:59:11.360]   yeah, that we don't we don't put them in jail or house arrest or drive them out of their companies.
[00:59:11.360 --> 00:59:12.080]   And that is a
[00:59:12.080 --> 00:59:13.580]   big advantage for the US economy.
[00:59:13.580 --> 00:59:18.140]   The Treasury Department here in the United States is doing a little saber rattling,
[00:59:18.140 --> 00:59:24.860]   they want to know anytime there is a $10,000 transaction in any kind of digital token. And
[00:59:24.860 --> 00:59:30.380]   they're talking about a CBDC to do their own cryptocurrency. So they're putting out a white
[00:59:30.380 --> 00:59:40.880]   paper for feedback this summer. And we are now seeing a pullback on Bitcoin from mid 60s to now
[00:59:40.880 --> 00:59:41.840]   into the 36 36.
[00:59:41.840 --> 00:59:47.780]   37,000 per Bitcoin. Do you think this is the end of the beginning beginning of the end?
[00:59:47.780 --> 00:59:54.800]   It's the beginning of the beginning. David Rubenstein was on CNBC today. And David Rubenstein,
[00:59:54.800 --> 00:59:59.240]   for those you guys don't know, is was a co founder of Carlisle group, you know,
[00:59:59.240 --> 01:00:05.000]   more blue chip and blue blooded, you cannot get and very connected in Washington. And you know,
[01:00:05.000 --> 01:00:10.580]   he said it best where he said, you know, effectively, people want this, and the government
[01:00:10.580 --> 01:00:11.240]   will,
[01:00:11.240 --> 01:00:11.600]   uh,
[01:00:11.600 --> 01:00:16.940]   have no choice except to support it, because you can't take something like this with this much
[01:00:16.940 --> 01:00:23.660]   institutional and retail demand away. So we have to go to the place where now crypto needs to be
[01:00:23.660 --> 01:00:27.500]   like everything else. And maybe the crypto stands get upset with that, because they don't like it,
[01:00:27.500 --> 01:00:31.400]   that, you know, a bunch of their parents are all of a sudden going to be buying tokens and stuff,
[01:00:31.400 --> 01:00:36.200]   but they got to get over it, then this stuff should be, you know, transacted in the same
[01:00:36.200 --> 01:00:40.820]   way you transact anything else, you buy it, you sell it, you get a tax return, you pay your taxes,
[01:00:40.820 --> 01:00:41.360]   and you move on.
[01:00:41.360 --> 01:00:45.500]   This reminds me of the transition that we all went through with I don't know,
[01:00:45.500 --> 01:00:52.520]   if you remember Kazaa and Napster and BitTorrent, like, everybody, all the we, a lot of our
[01:00:52.520 --> 01:00:57.260]   contemporaries in their 30s, you know, whatever, 1020 years ago, we're like, you can't stop it,
[01:00:57.260 --> 01:01:01.640]   you can't stop it. And it got stopped. You know, like you made it illegal,
[01:01:01.640 --> 01:01:06.260]   and you prosecuted people. And then you came up with solutions that were regulated,
[01:01:06.260 --> 01:01:11.120]   like Spotify, or, you know, Netflix, and you gave the consumers what they wanted. So,
[01:01:11.120 --> 01:01:15.380]   David, do you think this is a similar path right now that we're going through,
[01:01:15.380 --> 01:01:22.460]   which is the crypto zealots and the and the and the stands are gonna basically have to get used
[01:01:22.460 --> 01:01:26.420]   to as Chamath saying their parents buying it and crypto not being this underground thing,
[01:01:26.420 --> 01:01:30.080]   but being regulated in a major way in the United States? And is that a good or bad thing?
[01:01:30.080 --> 01:01:34.340]   I think the thing that that's happening quietly behind the scenes is that major
[01:01:34.340 --> 01:01:40.880]   Wall Street players, institutions, endowments, and so forth, over the past year have decided that
[01:01:40.880 --> 01:01:46.340]   Bitcoin and crypto is a legitimate asset class, and they've been allocating to it. Huge, huge
[01:01:46.340 --> 01:01:51.560]   pools of capital balance sheet capital have been allocating into it. I don't think that's gonna
[01:01:51.560 --> 01:01:56.840]   change. This is probably a pretty good buying opportunity. We've seen these crashes and Bitcoin
[01:01:56.840 --> 01:02:02.600]   many, many times over the years, it plummets down, and then it goes back up, and it eventually goes
[01:02:02.600 --> 01:02:06.620]   back up reaches a new peak. So this is probably a pretty good entry point for the next rally.
[01:02:06.620 --> 01:02:10.160]   We don't know when that's going to be. But the whole point of Bitcoin is that,
[01:02:10.640 --> 01:02:16.340]   it's censorship resistant. And China can do its best to try and stamp it out. But I don't think
[01:02:16.340 --> 01:02:22.220]   they'll be successful at that. You don't? You're so wrong about that. That is the most naive take,
[01:02:22.220 --> 01:02:24.980]   worst take you've ever had. How's China going to stop Bitcoin?
[01:02:24.980 --> 01:02:28.940]   How do they stop VPNs? They put people in jail. How do they stop religion? They put people in
[01:02:28.940 --> 01:02:34.040]   jail. They may make it incredibly hard for Chinese citizens to get a hold of Bitcoin. I agree with
[01:02:34.040 --> 01:02:38.300]   that. But they're not gonna be able to stop Bitcoin. They're not going to stop Bitcoin in
[01:02:38.300 --> 01:02:40.400]   the West, but they will stop it in China. Yeah.
[01:02:40.400 --> 01:02:45.500]   They will. 100% full stop. And you know how many servers are in China? I mean,
[01:02:45.500 --> 01:02:48.500]   go talk to the people who were in Tiananmen Square about what happened.
[01:02:48.500 --> 01:02:50.540]   The miners will have to move out. The miners will have to move out.
[01:02:50.540 --> 01:02:54.440]   Miners are done. And then it'll be an underground thing. It'll be like having a VPN,
[01:02:54.440 --> 01:02:59.180]   which is five years in jail for selling VPNs. What do you think about the IRS requirement
[01:02:59.180 --> 01:03:04.700]   that you have to report any Bitcoin transaction over $10,000? Do you think that that, and
[01:03:04.700 --> 01:03:10.160]   Americans can be prosecuted for not reporting, right? So I don't know how much.
[01:03:10.160 --> 01:03:11.660]   Good. Fine. Good. So what?
[01:03:11.660 --> 01:03:12.500]   Do it. So what?
[01:03:12.500 --> 01:03:17.420]   Yes. Get over it. But I do think that will get rid of 20% of the transactions that might have been
[01:03:17.420 --> 01:03:23.300]   nefarious. No, this is the Silk Road fallacy that the only legitimate use for crypto or.
[01:03:23.300 --> 01:03:24.920]   Well, I said 20%. I didn't say only.
[01:03:24.920 --> 01:03:30.620]   Okay, fine. But so maybe it makes that small fraction of illegitimate or illicit use cases.
[01:03:30.620 --> 01:03:31.700]   Yeah. Hard to define.
[01:03:31.700 --> 01:03:35.660]   No, Sax, I think the point is that they're trying to chase down. It's
[01:03:35.660 --> 01:03:39.920]   not about illegal use cases. It's about not reporting a taxable gain on your Bitcoin,
[01:03:39.920 --> 01:03:42.020]   before you use that money to buy something.
[01:03:42.020 --> 01:03:48.080]   Sure, of course, it's about tax evasion. But look, but that's not going to stop Bitcoin usage.
[01:03:48.080 --> 01:03:54.620]   Smart people who've been trading Bitcoin have been paying taxes on it for years. I don't think
[01:03:54.620 --> 01:03:58.700]   that's really an issue. If you were in China and you had created your wealth in China or many,
[01:03:58.700 --> 01:04:02.660]   many other countries all over the world, and there were currency restrictions and controls,
[01:04:02.660 --> 01:04:04.640]   and the government was asserting more and more power,
[01:04:04.640 --> 01:04:09.680]   and we're putting business leaders under house arrest and seeking to put them under
[01:04:09.680 --> 01:04:14.480]   their thumb, you'd be trying to convert as much of your net worth into Bitcoin as possible,
[01:04:14.480 --> 01:04:20.060]   so that all you have to do is if you ever had to flee the country, you wouldn't have to have dollars
[01:04:20.060 --> 01:04:25.040]   in your suitcase or gold bricks or diamonds. You'd simply have to have a password in your
[01:04:25.040 --> 01:04:29.360]   brain that you could access at any computer terminal when you got out of the country.
[01:04:29.360 --> 01:04:35.660]   And so that I think that sort of digital gold is a phenomenal use case of Bitcoin.
[01:04:35.660 --> 01:04:39.440]   And the more oppressive all these countries become, the more they
[01:04:39.440 --> 01:04:42.980]   increase the value of that use case. What do you think is the black swan event
[01:04:42.980 --> 01:04:49.280]   in crypto, in Bitcoin in particular? Taxation in the United States.
[01:04:49.280 --> 01:04:50.420]   There's a negative.
[01:04:50.420 --> 01:04:55.220]   Additional taxation like you do on cigarettes, that would be for me. The United States putting
[01:04:55.220 --> 01:05:01.340]   a tax on it that makes it less competitive with our national coming cryptocurrency,
[01:05:01.340 --> 01:05:04.880]   the CBDC that the United States will launch in the next two or three years.
[01:05:04.880 --> 01:05:09.200]   They're going to say, "If you want to use any of these other currencies, there's a 10% tax
[01:05:09.200 --> 01:05:12.260]   on them. We want you using ours, the legitimate one."
[01:05:12.260 --> 01:05:18.380]   There's a very negative black swan that obviously has never occurred. But if anyone
[01:05:18.380 --> 01:05:22.820]   ever manages to counterfeit a Bitcoin, or this is the double spend problem,
[01:05:22.820 --> 01:05:28.880]   right? If you could ever double spend or figure out a way to create Bitcoins or counterfeit them,
[01:05:28.880 --> 01:05:32.780]   whatever, that weren't in the blockchain, if the number of Bitcoins ever grew beyond the
[01:05:32.780 --> 01:05:38.720]   21 million that's just built into the way that the whole thing works, if that ever happened, Bitcoin is
