
[00:00:00.000 --> 00:00:15.680]   Welcome to the
[00:47:11.560 --> 00:47:18.000]   the same level of sales training, customer service, et cetera, you can possibly build
[00:47:18.000 --> 00:47:25.160]   a national empire in a way that allows you to have major competitive advantages and allows
[00:47:25.160 --> 00:47:31.680]   you to serve your customers and build a much more powerful system.
[00:47:31.680 --> 00:47:36.860]   So a geographic change is one tool, but it's not the only tool.
[00:47:36.860 --> 00:47:40.720]   There are many other tools to look at, to think about where can I grow this.
[00:47:40.720 --> 00:47:46.080]   So if you're in something that's declining, think about how you can adapt, adjust, change.
[00:47:46.080 --> 00:47:51.040]   And remember, you're only ever a few years away from a brand new life.
[00:47:51.040 --> 00:47:59.480]   You could be today a truck driver, a truck driver, long haul trucking across Canada,
[00:47:59.480 --> 00:48:00.560]   and you say, "You know what?
[00:48:00.560 --> 00:48:03.960]   I think my job has a relatively short lifespan.
[00:48:03.960 --> 00:48:09.200]   I think that self-driving trucks are probably going to be making their presence known very
[00:48:09.200 --> 00:48:11.280]   intensively within five or 10 years.
[00:48:11.280 --> 00:48:13.720]   I need to be thinking about this."
[00:48:13.720 --> 00:48:22.160]   And in three or four or five years, you can be completely retooled, reeducated, re-equipped
[00:48:22.160 --> 00:48:24.400]   for a brand new career.
[00:48:24.400 --> 00:48:30.000]   You could be the world's leading cryptocurrency programmer or the world's leading cryptocurrency
[00:48:30.000 --> 00:48:32.480]   expert within a few years.
[00:48:32.480 --> 00:48:36.200]   You could grab yourself, spend your time in your truck studying everything there is to
[00:48:36.200 --> 00:48:39.400]   know about cryptocurrency, thinking through the issues, thinking about how to organize
[00:48:39.400 --> 00:48:42.720]   them, understanding the applications for blockchain technology.
[00:48:42.720 --> 00:48:46.080]   At night, instead of watching movies in the cab of your truck, you're sitting there spending
[00:48:46.080 --> 00:48:49.320]   time studying the companies, understanding the innovators.
[00:48:49.320 --> 00:48:51.660]   You take your time off to go to the conferences.
[00:48:51.660 --> 00:48:54.260]   You start a web program, a podcast.
[00:48:54.260 --> 00:48:58.380]   You start a thing that gets you in front of all these people all around the world.
[00:48:58.380 --> 00:48:59.880]   You become known as the go-to guy.
[00:48:59.880 --> 00:49:03.600]   You go ahead and get that master's degree from the University of Malta.
[00:49:03.600 --> 00:49:07.200]   It costs you 10,000 euros, by the way, for the whole thing.
[00:49:07.200 --> 00:49:10.840]   Get the master's degree from the University of Malta in blockchain technology.
[00:49:10.840 --> 00:49:16.520]   And five years from now, you can be one of the world's most sought-after pundits or practitioners
[00:49:16.520 --> 00:49:22.360]   in the world of blockchain technology, investing your money with the winners along the way.
[00:49:22.360 --> 00:49:27.120]   We're all three, four, five, maybe 10 years at the maximum away from a completely different
[00:49:27.120 --> 00:49:28.280]   lifestyle.
[00:49:28.280 --> 00:49:34.840]   So don't be sad if your career is not lining up with where there's an opportunity for really
[00:49:34.840 --> 00:49:36.800]   good beta.
[00:49:36.800 --> 00:49:42.000]   Just recognize that this is a fact and I need to change and adjust.
[00:49:42.000 --> 00:49:43.000]   What about investments?
[00:49:43.000 --> 00:49:48.920]   Well, I think with investments, I have less to say here, but I would say that with investments,
[00:49:48.920 --> 00:49:52.600]   you need to focus on beta before you focus on alpha.
[00:49:52.600 --> 00:49:57.320]   For example, I think this is why in real estate do you have the saying, "Location, location,
[00:49:57.320 --> 00:49:58.320]   location, location."
[00:49:58.320 --> 00:50:04.960]   Well, because if you buy the best house in a bad neighborhood, you're going to lose your
[00:50:04.960 --> 00:50:10.920]   shirt from an investment perspective versus buying the worst house in the best neighborhood.
[00:50:10.920 --> 00:50:11.920]   Why?
[00:50:11.920 --> 00:50:16.640]   Well, that has to do with location, the things that people find desirable.
[00:50:16.640 --> 00:50:21.840]   If you have a walkable apartment in a downtown area in a major city, that's going to be forever
[00:50:21.840 --> 00:50:26.280]   more desirable than a place kind of out on the fringes.
[00:50:26.280 --> 00:50:28.800]   If you're dealing at the upper end of the market, you're serving the wealthy.
[00:50:28.800 --> 00:50:30.680]   That's generally going to be more insulated.
[00:50:30.680 --> 00:50:31.680]   Why?
[00:50:31.680 --> 00:50:36.400]   Because wealthy people suffer less during economic instability.
[00:50:36.400 --> 00:50:38.200]   There's many other ways to apply it.
[00:50:38.200 --> 00:50:42.800]   I don't know how you apply this in the stock market.
[00:50:42.800 --> 00:50:46.320]   For example, I'm not saying you should just sell all your index funds and go and buy real
[00:50:46.320 --> 00:50:47.320]   estate in Bangkok.
[00:50:47.320 --> 00:50:50.940]   I don't think that would be a good idea.
[00:50:50.940 --> 00:50:55.160]   One of the nice things that you are engaged in, and one of the wonders of the modern financial
[00:50:55.160 --> 00:51:00.960]   world, when you own well-run investments, when you own companies on the New York Stock
[00:51:00.960 --> 00:51:05.640]   Exchange, those companies are every day strategizing about how to earn their income from these
[00:51:05.640 --> 00:51:07.200]   growing markets.
[00:51:07.200 --> 00:51:13.920]   Coca-Cola Corporation is every day looking and saying, "How do we sell more Coke products?"
[00:51:13.920 --> 00:51:18.360]   Apple Computers is saying, "How do we sell more Apple products all around the world?"
[00:51:18.360 --> 00:51:20.520]   Samsung, every single one.
[00:51:20.520 --> 00:51:26.040]   You can benefit, even if you own a stock that is publicly traded in the United States or
[00:51:26.040 --> 00:51:31.680]   London or wherever, that stock can still be benefiting from the growth around the world.
[00:51:31.680 --> 00:51:38.320]   So while I think that the US economy is in a malaise, it doesn't by definition mean that
[00:51:38.320 --> 00:51:41.760]   the US stock market is going to have the same experience.
[00:51:41.760 --> 00:51:46.480]   You might find it much more exciting and a much better experience to go and be involved
[00:51:46.480 --> 00:51:51.160]   in something on the frontier markets, but you might not.
[00:51:51.160 --> 00:51:54.440]   So I don't know how to guide you on that.
[00:51:54.440 --> 00:51:55.440]   I have some ideas.
[00:51:55.440 --> 00:51:58.320]   I'm investing my money in areas where I think there's growth.
[00:51:58.320 --> 00:52:02.200]   I guess maybe one obvious example would be something like cryptocurrency.
[00:52:02.200 --> 00:52:07.080]   You've seen this amazing run-up in cryptocurrency, supercharged this last week with the announcement
[00:52:07.080 --> 00:52:12.600]   that more and more large US companies are devoting large holdings to Bitcoin.
[00:52:12.600 --> 00:52:17.520]   There was just the announcement a couple of days ago, the first DeFi index fund, which
[00:52:17.520 --> 00:52:20.380]   is kind of an exciting development as well.
[00:52:20.380 --> 00:52:24.800]   So if you think that there's a future of cryptocurrency, if you think that there's a future of blockchain,
[00:52:24.800 --> 00:52:31.440]   I do personally, then just simply allocating some of your money to it can put you in line
[00:52:31.440 --> 00:52:36.680]   with the beta, even if you don't necessarily have the solution for what's going to be the
[00:52:36.680 --> 00:52:37.680]   winner.
[00:52:37.680 --> 00:52:41.000]   Do I know whether Bitcoin is going to be the currency of choice 20 years from now?
[00:52:41.000 --> 00:52:42.000]   I don't know.
[00:52:42.000 --> 00:52:44.120]   I don't know.
[00:52:44.120 --> 00:52:45.120]   Do I know?
[00:52:45.120 --> 00:52:46.120]   I don't know.
[00:52:46.120 --> 00:52:53.600]   Ethereum or Bitcoin Cash or Share Ring or Dogecoin, I don't know.
[00:52:53.600 --> 00:52:54.600]   What's going to be the winner?
[00:52:54.600 --> 00:52:57.200]   I don't know.
[00:52:57.200 --> 00:53:00.080]   But you can start to expose yourself to the beta.
[00:53:00.080 --> 00:53:03.080]   I think that these places, these are going to, my personal opinion, these are going to
[00:53:03.080 --> 00:53:06.480]   be around and they're going to be a very, very large growth industry.
[00:53:06.480 --> 00:53:07.480]   Why?
[00:53:07.480 --> 00:53:13.240]   Because it solves some significant problems for people, which is exciting.
[00:53:13.240 --> 00:53:20.520]   So in conclusion, think about the beta in your life.
[00:53:20.520 --> 00:53:28.400]   Think about, am I positioned to gain a benefit from beta?
[00:53:28.400 --> 00:53:34.840]   You don't have to, if you see everyone going out to California for a gold rush, you don't
[00:53:34.840 --> 00:53:37.760]   have to strike it rich on a particular claim.
[00:53:37.760 --> 00:53:42.600]   You can just say, everyone's moving to California and you can go and start selling them their
[00:53:42.600 --> 00:53:44.880]   shovels.
[00:53:44.880 --> 00:53:50.560]   I've tried to use as many historical examples as I can think of, but historical examples
[00:53:50.560 --> 00:53:55.400]   are easy because you can see them in the hindsight, but they're harder in the present because
[00:53:55.400 --> 00:53:56.800]   you can get it wrong.
[00:53:56.800 --> 00:54:04.080]   What I'll tell you is that in my life personally, the more time that I spend just simply analyzing
[00:54:04.080 --> 00:54:09.400]   things and going with my gut and thinking, no, I'm not going to buy this line that somehow
[00:54:09.400 --> 00:54:14.920]   I'm incapable of outperforming the market in the wrong way that I did when I was younger.
[00:54:14.920 --> 00:54:16.960]   Rather, I'm a smart guy.
[00:54:16.960 --> 00:54:18.600]   I can look around, I can see the world.
[00:54:18.600 --> 00:54:21.440]   I can understand that most people are just about like me.
[00:54:21.440 --> 00:54:22.880]   We're all pretty similar, right?
[00:54:22.880 --> 00:54:24.440]   Maybe 90% similar.
[00:54:24.440 --> 00:54:29.080]   We all have similar desires, et cetera, and I can see the long ranging trends and I don't
[00:54:29.080 --> 00:54:35.800]   have to get it perfectly right to benefit from the general trend.
[00:54:35.800 --> 00:54:40.320]   I don't have to get it perfectly right to benefit from the general trend.
[00:54:40.320 --> 00:54:45.200]   And then if you'll incorporate the safety of what I talked about in the last show of
[00:54:45.200 --> 00:54:53.240]   ratios, of thinking through your positions, of spreading things around based upon a way
[00:54:53.240 --> 00:54:57.680]   that makes sense to you, and I'll make sure that I'm just cautious and I don't take a
[00:54:57.680 --> 00:55:03.240]   wipe out risk, now I think you've got a winning formula.
[00:55:03.240 --> 00:55:06.840]   I hope that you'll share this show with young people.
[00:55:06.840 --> 00:55:09.960]   I hope that you'll teach them these concepts because these are some of the concepts that
[00:55:09.960 --> 00:55:12.720]   I wish that somebody had taught me.
[00:55:12.720 --> 00:55:15.920]   And I feel sometimes I feel like I'm 20 years too late.
[00:55:15.920 --> 00:55:20.520]   Like if I had just known this at 15 years old, man, I would have finally had done that.
[00:55:20.520 --> 00:55:23.680]   At 15 years old, I would have just been so much more successful.
[00:55:23.680 --> 00:55:27.040]   Well, unfortunately that was then and this is now.
[00:55:27.040 --> 00:55:31.520]   But the point is I can still apply these things today and so can you.
[00:55:31.520 --> 00:55:32.840]   Thank you for listening to today's show.
[00:55:32.840 --> 00:55:37.000]   In closing, I guess I should just share with you that you should check out my career and
[00:55:37.000 --> 00:55:38.000]   income course.
[00:55:38.000 --> 00:55:40.440]   Go to radicalpersonalfinance.com/store.
[00:55:40.440 --> 00:55:43.720]   And if this has been useful for you, consider signing up for my guided career and income
[00:55:43.720 --> 00:55:47.960]   planning because there are more good concepts like this there in that show.
[00:55:47.960 --> 00:55:50.000]   Sorry, in that course, radicalpersonalfinance.com/store.
[00:55:50.000 --> 00:55:53.040]   And I'll be back with you very soon.
[00:55:53.040 --> 00:55:54.400]   Dealing with your electric bill?
[00:55:54.400 --> 00:55:58.280]   Get an energy assist from SDG&E and save.
[00:55:58.280 --> 00:56:01.680]   You may qualify for an 18% discount.
[00:56:01.680 --> 00:56:06.480]   Visit sdge.com/fera to find out more.

