
[00:00:00.000 --> 00:00:05.660]   Humans are by far the hardest part of computer graphics because millions of years of evolution
[02:34:32.080 --> 02:34:35.560]   So your friend on PlayStation in one game is your friends on PlayStation in another game.
[02:34:35.560 --> 02:34:36.460]   But only on PlayStation.
[02:34:37.220 --> 02:34:39.840]   If you're on Xbox, you can't see PlayStation friends.
[02:34:39.840 --> 02:34:54.300]   And so you have two basically orthogonal and cross-cutting divisions of the world into fiefdoms, you know, which were not created with bad intentions, but arose and are, you know, separated, isolated islands.
[02:34:54.300 --> 02:35:01.420]   One is the platforms and their social services, Xbox, PlayStation, Nintendo, Steam, Epic, if you add it to the list.
[02:35:01.420 --> 02:35:03.440]   And the other is these different games people play.
[02:35:03.440 --> 02:35:14.140]   And, you know, because of this weird historical artifact, we're left in a world where people can't seamlessly move from games to games bringing their friends and their stuff.
[02:35:14.780 --> 02:35:19.160]   So the solution to this is to federate and connect all of the systems together.
[02:35:19.160 --> 02:35:33.040]   All of the players on all of the different platforms can be recognized by their name and put the at sign in it so your Xbox names and your Fortnite or Epic names and your Steam names can all live together and interoperate together in a single space.
[02:35:33.040 --> 02:35:36.280]   So unifying the social ecosystems is one thing that needs to happen.
[02:35:36.280 --> 02:35:41.660]   The next and bigger challenge is to unify the economies, too.
[02:35:42.120 --> 02:35:47.320]   Now, I'm not talking about, like, a sword you have in World of Warcraft should work in Fortnite.
[02:35:47.320 --> 02:35:53.980]   Every game is going to have its own gameplay rules, and a lot of games are going to have stuff that only works in them.
[02:35:53.980 --> 02:36:02.680]   But, you know, there's a huge set of games that have in common the idea of a cosmetic system that does not affect gameplay outcomes,
[02:36:02.680 --> 02:36:05.840]   but is, you know, purely cool looks and cool appearances.
[02:36:05.840 --> 02:36:10.220]   Most of the major multiplayer games have them.
[02:36:11.520 --> 02:36:18.100]   And, you know, if you look at games, you could probably bundle together about 70% of them and say they're similar enough that they could actually interoperate.
[02:36:18.100 --> 02:36:30.140]   You could own an outfit in Fortnite, own an outfit in Roblox, and own the same outfit in maybe Call of Duty, and maybe, you know, 100 or 200 other games and actually expect they would work together.
[02:36:30.800 --> 02:36:33.500]   And you find other kinds of items are probably underoperable, too.
[02:36:33.500 --> 02:36:39.120]   Like, Fortnite has car outfits, so you can, you know, buy different appearances of a car.
[02:36:39.120 --> 02:36:47.480]   And when you find a physical car in the world of Fortnite, if you're the first person to get into it in that session, boom, it takes on your, you know, your chosen car cosmetic.
[02:36:48.380 --> 02:36:51.340]   And now you have a cool car that's identifiable as yours.
[02:36:51.340 --> 02:37:03.460]   You know, we realized early on with Fortnite that the key to making Fortnite work as a creator economy was to open up the revenue from the item shop to all the sources of engagement, right?
[02:37:03.720 --> 02:37:08.620]   There are two big things happening in Fortnite that make it work as a product and as a business.
[02:37:08.620 --> 02:37:14.540]   One is the game modes, Fortnite Battle Royale and all of the user modes and everything else are sources of engagement.
[02:37:14.540 --> 02:37:17.020]   People play there because it's super fun.
[02:37:17.020 --> 02:37:22.180]   And because they're playing there, they're willing to buy cool stuff to make their character look cooler.
[02:37:22.180 --> 02:37:27.860]   And so you have all these sources of engagement, but the sources of engagement don't make money directly.
[02:37:27.860 --> 02:37:32.440]   You can't spend money in Fortnite Battle Royale to buy a game item.
[02:37:32.600 --> 02:37:36.720]   Like everything's, you know, the gameplay is not pay to win and it's all just a game.
[02:37:36.720 --> 02:37:39.320]   So we make money from the item shop.
[02:37:39.320 --> 02:37:43.380]   And the item shop only adjusts because of the sources of engagement.
[02:37:43.380 --> 02:37:46.440]   If you weren't playing Battle Royale, trust me, nobody would want to buy a Fortnite outfit.
[02:37:46.440 --> 02:37:49.220]   If you weren't playing any Fortnite games, why would you buy Fortnite outfits?
[02:37:49.220 --> 02:37:55.480]   And so you have all the revenue in this item shop economy and all the engagement in this engagement economy.
[02:37:55.480 --> 02:37:59.180]   And the thing that magically makes the Fortnite creator economy works is revenue sharing.
[02:37:59.760 --> 02:38:03.340]   Item shop spending, according to sources of engagement, by engagement.
[02:38:03.340 --> 02:38:17.880]   If you buy an item and you've played, you know, 40% of your time in Battle Royale and 60% of your time in these user modes, the money you spent, the portion of that that's profit can be separated out and paid out to all the different creators who participate in that economy.
[02:38:18.240 --> 02:38:23.720]   And that's why Fortnite scaled up to a $400 million creator economy so far and is growing.
[02:38:23.720 --> 02:38:24.680]   It's amazing.
[02:38:24.960 --> 02:38:32.780]   One of the really critical things we aim to do in designing that is ensure it's a creator economy that could scale to other companies, other ecosystems.
[02:38:32.780 --> 02:38:37.080]   And say, you know, right now we have many industry standards bodies.
[02:38:37.080 --> 02:38:41.000]   One standardized game ratings, you know, age ratings of games.
[02:38:41.000 --> 02:38:44.400]   Another standardized file formats for the web.
[02:38:44.400 --> 02:38:50.080]   Another style, you know, standardizing file formats for 3D, like Kronos groups in the metaverse standards form.
[02:38:50.680 --> 02:38:58.600]   If we had a standards body standardize what are portable outfits in games, you know, game outfits that you could buy in one game that work in another.
[02:38:58.600 --> 02:39:04.740]   What are their, you know, dimensions and what are their capabilities and what are the, what can you do and what can't you do and so on.
[02:39:05.840 --> 02:39:12.420]   Then you could have an item economy where every game agrees to respect each other's item purchases of that sort.
[02:39:12.420 --> 02:39:15.100]   And revenue is shared between ecosystems as well.
[02:39:15.100 --> 02:39:16.560]   That would be incredible.
[02:39:16.560 --> 02:39:17.900]   That would be so amazing.
[02:39:17.900 --> 02:39:21.060]   Is there, first of all, just, it seems silly.
[02:39:21.060 --> 02:39:30.640]   Maybe for people who don't play video games, but an outfit is an important, if an outfit can be persistent across video games.
[02:39:31.520 --> 02:39:34.460]   I mean, I don't know, what, what's the purpose of life?
[02:39:34.460 --> 02:39:36.580]   Like, why do we wear clothing?
[02:39:36.580 --> 02:39:39.300]   Clothing is a part of our identity.
[02:39:39.300 --> 02:39:41.360]   It's how we present ourselves to the world.
[02:39:41.360 --> 02:39:43.780]   It's, you know, I wear this stupid suit and tie.
[02:39:43.780 --> 02:39:44.940]   It feels good.
[02:39:44.940 --> 02:39:46.320]   It feels good when I put it on.
[02:39:46.320 --> 02:39:52.420]   And, and even like the other outfit, I have two outfits, this and then a black t-shirt and jeans.
[02:39:52.420 --> 02:39:55.260]   And it feels good to wear that.
[02:39:55.260 --> 02:39:57.000]   It feels like me when I look in the mirror.
[02:39:57.000 --> 02:39:58.600]   Okay, I know that guy.
[02:39:59.100 --> 02:40:05.420]   And to be able to have that outfit go from game to game to game, maybe across the years, that would be wonderful.
[02:40:05.420 --> 02:40:13.160]   The, I wonder if you could just even comment, could there also be another standardization about the value?
[02:40:14.100 --> 02:40:29.540]   So for more complicated items, so, you know, take a sword from Diablo and transfer it to a gun in Fortnite, but based on the value, some, you know, some generic concept of money.
[02:40:29.540 --> 02:40:45.280]   So the value of a thing in one game versus the value of a thing in another game, where you're almost operating in the, in the, in the space of value versus the actual items, or is that already getting too, um, too general?
[02:40:45.280 --> 02:40:47.220]   I think this can be done.
[02:40:47.220 --> 02:40:59.500]   Um, you know, we did a lot of analysis of the Fortnite economy and found that, um, some Fortnite, uh, experiences lead to, or correlate with higher specifications.
[02:40:59.500 --> 02:41:16.800]   Um, and, you know, battle royale, uh, is relatively strong in that area, uh, because you see your character from behind and, uh, see all of your other characters from the front and you have lots of opportunities to really see who you are and to emote and to interact with other players.
[02:41:17.500 --> 02:41:24.060]   Um, and a lot of games, uh, have that characteristic, uh, one, one, one funny anomaly stood out.
[02:41:24.060 --> 02:41:33.000]   There was this game that was one of the big breakthroughs in Fortnite, only up it's a game where you just climbing up in the up by, uh, following, uh, paths of stacks of objects and things.
[02:41:33.000 --> 02:41:34.280]   It was, uh, just stupid fun.
[02:41:34.280 --> 02:41:41.540]   Um, everybody loved, um, we found people weren't spending a lot of money, uh, on outfits when they were playing only up.
[02:41:41.540 --> 02:41:51.660]   And it's kind of intuitive actually, like you're not seeing other players, like if you see anything and like you're, you're seeing their butt as you're like trying to catch up to them, jumping from object to object, um, and they're above you.
[02:41:51.660 --> 02:42:02.180]   Um, and so, you know, it wasn't a mode that showed off outfits very much, but you could, you know, you can determine the economic correlation between, uh, a game mode and spending.
[02:42:02.180 --> 02:42:03.380]   That's so fascinating.
[02:42:03.380 --> 02:42:07.200]   I mean, Fortnite is this gigantic economy where you could do those kinds of studies.
[02:42:07.200 --> 02:42:12.540]   You can understand markets, the digital markets as they emerge amongst humans and what they value.
[02:42:12.540 --> 02:42:17.220]   And from that value, you can probably have a very stable kind of money that emerges.
[02:42:17.220 --> 02:42:18.880]   Yeah, I think so.
[02:42:18.880 --> 02:42:20.960]   You don't need like an alternate currency system.
[02:42:20.960 --> 02:42:25.560]   You know, unfortunately, a bunch of ideas have been conflated because people are trying to hype up different things.
[02:42:25.560 --> 02:42:33.300]   But, you know, this idea of large scale multiplayer social gaming, um, you know, that notion of the metaverse, uh, you know, there's,
[02:42:33.300 --> 02:42:38.500]   uh, 600 to 800 million people playing that kind of game every month.
[02:42:38.500 --> 02:42:42.260]   Um, so like, you know, that's real and that's happening and it's, you know, very much underway.
[02:42:42.260 --> 02:42:45.020]   Uh, VR has a much smaller audience.
[02:42:45.020 --> 02:42:47.120]   I don't think you need VR to have anything like this.
[02:42:47.120 --> 02:42:51.420]   VR is hardware that may or may not enhance the experience for some usage cases.
[02:42:51.420 --> 02:42:53.140]   For some, it will probably be better.
[02:42:53.140 --> 02:42:54.580]   And for some, it will probably be worse.
[02:42:54.580 --> 02:43:01.260]   But certainly there's not any, uh, set of battle royale players, uh, flocking to, uh, flocking to VR.
[02:43:01.720 --> 02:43:09.760]   Um, and the other thing is NFT is, it's like, you know, trying to equate digital or cryptocurrency to, to the metaverse.
[02:43:09.760 --> 02:43:15.140]   It's like, well, you know, it's just a way of denoting money or value exchange.
[02:43:15.140 --> 02:43:23.740]   Um, you can do that with money or you can do it with NFTs or whatever, but there's nothing about this future digital economy that fundamentally requires cryptocurrency or whatever.
[02:43:23.740 --> 02:43:25.500]   What you need is interoperability.
[02:43:25.500 --> 02:43:27.880]   Interoperability can happen through a blockchain.
[02:43:28.100 --> 02:43:29.020]   It can happen through a database.
[02:43:29.020 --> 02:43:32.840]   It can happen through standards bodies, what's defining standards and protocols.
[02:43:32.840 --> 02:43:36.820]   And we've been doing it for hundreds of years since the railroads were standardized.
[02:43:36.820 --> 02:43:42.740]   And, um, you know, it's not something that totally requires a novel technological solution.
[02:43:42.740 --> 02:43:44.440]   Yeah.
[02:43:44.440 --> 02:43:49.640]   I mean, uh, uh, even on the topic of cryptocurrency, it's, it's very frustrating.
[02:43:49.640 --> 02:44:00.200]   I mean, you know, blockchain and crypto is a, is a really powerful technology that I think can enable a lot of the things that we're talking about.
[02:44:00.200 --> 02:44:09.560]   But so many people use it to try to, to try to make money, to create these bubbles and they, the hype and the meme coins and that so on and so forth.
[02:44:09.560 --> 02:44:24.100]   That becomes much less about that, that, uh, uh, drifts far away and rapidly from things that are actually a value, which is the experience of playing Fortnite and how you look when you play battle royale.
[02:44:24.100 --> 02:44:27.080]   You know, that's, I mean, it sounds ridiculous to say, but it's true.
[02:44:27.080 --> 02:44:28.300]   That's valuable.
[02:44:28.300 --> 02:44:32.440]   That's, that's like, you know, you have like gold in the physical space.
[02:44:32.440 --> 02:44:35.000]   We know that holds value.
[02:44:35.520 --> 02:44:42.580]   Uh, how, how, how your outfit looks like in Fortnite that as, as you're saying provably holds value.
[02:44:42.580 --> 02:45:05.500]   And so you want to connect like a standard, uh, definition of money value to that and not let it become this hype thing, which NFTs that you mentioned are just become that it's like, it quickly drifts away into the land of when people trying to buy and sell and try to make money versus like staying close.
[02:45:05.500 --> 02:45:08.580]   And this is the thing that people actually value, forget the money.
[02:45:08.580 --> 02:45:13.560]   It's more about exchanging valuable experiences or things of value.
[02:45:13.560 --> 02:45:25.820]   So you can, uh, play Fortnite and then go to an, uh, to another video game and continue the valuable experience and then come back to Fortnite and then do that kind of thing.
[02:45:26.280 --> 02:45:43.580]   So you're saying this, there might be a way to do that and to, to basically create standards the way the web has different standards for, for displaying websites and all this kind of stuff or the, the, the, the communication that's required on the networking side.
[02:45:43.640 --> 02:45:48.740]   So all the different standards that make the web work, there need to be those kinds of standards.
[02:45:48.740 --> 02:45:52.560]   Like what, what would those, those standards look like to enable the metaverse?
[02:45:52.560 --> 02:45:54.460]   We need a lot of different things.
[02:45:54.460 --> 02:46:04.140]   Um, the one area where the standards have been very successful in creating working standards implemented by all of the major engines today is in low level file formats for data interchange.
[02:46:04.400 --> 02:46:21.360]   You know, the web has PNG files for 2d images, um, and MP3 files for audio, uh, and 3d has, uh, the Pixar USD file format, the universal scene description, which is a description of the scene graph, the entire set of objects in the scene and all of their parameters.
[02:46:21.360 --> 02:46:31.740]   So that any engine that supports those features could import that and then render the same scene, um, as the engine they came from, you know, large parts of this work across unreal engine and unity and blender.
[02:46:31.740 --> 02:46:42.160]   And all of these, uh, 3d packages of different sorts, and there's the GLTF texture format, um, which stores textures and geometry and other low level data for 3d objects.
[02:46:42.160 --> 02:47:01.720]   You know, when you see a fortnight character, that file format together with the image file formats can store their static appearance, their, uh, you know, the shape of their body, um, even their animations, um, and their different poses, um, and the appearance of them, the different standard file formats could store their, all of the sounds they make and their emotes, but we're still missing.
[02:47:01.720 --> 02:47:09.460]   A bunch of pieces. Um, the biggest missing piece is a programming language that, uh, at the center of standardizing the matter verse.
[02:47:09.460 --> 02:47:14.320]   Now, um, if you look at the web, the web is a combination of a bunch of different technologies.
[02:47:14.320 --> 02:47:23.700]   The, the two biggest ones are HTML, which describes the 2d scene graph or the, you know, 2d layout of controls and objects on the web page.
[02:47:23.700 --> 02:47:29.440]   Um, but that's just static data. Uh, it's just a non moving, non animating web page.
[02:47:29.440 --> 02:47:37.260]   And then you have the JavaScript programming language, which is used to manipulate that, to display things to the user and to implement anything you could implement in code.
[02:47:37.260 --> 02:47:52.440]   So it's a little programming language that runs in your web browser. Um, and the metaverse needs something that performs that similar role, but the metaverse and 3d gaming in general needs something that's rather more powerful, more safe, more scalable.
[02:47:52.440 --> 02:47:59.280]   And, uh, more capable than JavaScript because the metaverse is actually more difficult technical problem than a web page.
[02:47:59.280 --> 02:48:09.800]   A web page like an app is just a single bundle of code and content that somebody, a company has prepared and they release it.
[02:48:09.800 --> 02:48:24.640]   And it stays exactly what it is until they release a new version. And it's upgraded from version to version as it goes. Um, but the metaverse needs to be a comp composite of code and content built by millions of different people, uh, that could potentially form a seamless world together.
[02:48:24.640 --> 02:48:37.100]   Yeah. Yeah. It's fully distributed collaborative. Uh, first of all, also the, the, the amount of data, I mean, it doesn't have to be that way, but websites are showing very little information.
[02:48:37.100 --> 02:48:53.840]   Uh, the metaverse, uh, the metaverse, even when it, when it looks like something like Fortnite, just the amount of information that's conveyed in the scene graph as the individual players are collaborating is a huge, huge, huge amount.
[02:48:54.100 --> 02:49:11.700]   Yeah. Yeah. The highest detail of Fortnite, uh, updates amount to about 60 gigabytes of data. Um, and you know, that's just a small part of what exists in the Fortnite creative economy. Um, and if you look at what this might be in a decade, uh, as standards emerge, you might have exabytes of data out there.
[02:49:12.100 --> 02:49:34.760]   Fortnite battle Royale is, I don't think the ultimate manifestation of gameplay that will, you know, ever be invented. What we've seen time and time again is that as we gain more technical capabilities, graphics gets more capable, uh, CPU has become more performant, you know, uh, web services become ever more scalable. Um, we see new genres of games that emerged that weren't possible before.
[02:49:35.540 --> 02:49:41.840]   And, you know, Doom ushered in the era of deathmatch and the first time 3d multiplayer game was even possible at all.
[02:49:41.840 --> 02:50:01.720]   You know, the early battle Royale games starting about 10 years or 15 years ago, um, only became possible back then. You couldn't have built one 20 years ago because you just couldn't have rendered an environment that's as large as a VR game with that many players, um, with that level of interaction and performance. It was just not possible to run it.
[02:50:01.880 --> 02:50:07.840]   So you got a certain level of technical capabilities and a genre came out that proved to be by far the best shooter genre ever invented.
[02:50:07.840 --> 02:50:15.340]   But I think there are numerous, numerous more genres, some of which are better than any of the existing ones that will be invented as we get more and more capabilities.
[02:50:15.340 --> 02:50:27.120]   You know, some of the capabilities we're lacking now are the ability to build environments, uh, and game simulations that span more than work than a single company can possibly create.
[02:50:27.320 --> 02:50:35.120]   And, you know, you see the kind of the birth of that idea in Fortnite and Roblox where there are tens of thousands of creators, each building content and users are playing meaningful amounts of it all.
[02:50:35.120 --> 02:50:42.040]   And so there's an ecosystem that's scaled larger than company, but it's still very much, you go into one island and you play that creator's work.
[02:50:42.040 --> 02:50:48.320]   The other direction of its scalability is putting more and more of people's work together in a seamless, continuous play space.
[02:50:48.320 --> 02:51:04.700]   If for games where that makes sense, you know, you can imagine a, a, a game taking place in an environment that is the size of a continent or earth, um, in which you can go from place to place and then see different areas, which are maintained by different people.
[02:51:04.700 --> 02:51:08.280]   And so you go into different spaces, the game rules are customized according to that.
[02:51:08.280 --> 02:51:21.720]   Um, and you can go from experience to experience and instead of having just one company's authorship ever present, wherever you are, you know, you'd see, you'd be driving a car built by one person, carrying weapons built by 20 other people.
[02:51:21.720 --> 02:51:36.940]   Um, and, you know, taking place in a simulation and an environment that's built by thousands of other people, uh, you know, working for separate companies or their own entrepreneurs or, uh, Indies or enthusiasts, uh, all working together simultaneously.
[02:51:36.940 --> 02:51:45.880]   Like we totally lack the programming foundations for that, uh, you know, the, the kinds of code you would need to write now are, uh, to make that happen are, are just not practical.
[02:51:45.880 --> 02:51:59.680]   And so we're investing massively in building new programming language technologies around verse and our proposed standards, uh, for, you know, future metaverse programming, uh, that we hope will solve those kinds of problems and make that kind of world possible.
[02:52:00.040 --> 02:52:16.340]   So first of all, that's a super exciting future where, you know, it's not hundreds or thousands, it's millions of creators that can just create different small or big elements of a world as big as earth.
[02:52:17.760 --> 02:52:28.740]   So, uh, just, uh, just, uh, just, if you consider close your eyes and imagine that world, that's really exciting where it's not a centralized company controlling the release of a particular island or so on.
[02:52:28.880 --> 02:52:36.900]   It's people constantly dynamically modifying all the islands of reality in this digital world.
[02:52:36.900 --> 02:52:43.960]   So, um, if you could speak to some of the technology that can enable that, you mentioned the verse programming language.
[02:52:43.960 --> 02:52:50.720]   First of all, also how legit is it for you, CEO of Epic Games to be a co-author?
[02:52:51.200 --> 02:52:54.880]   The programming language theorists are losing their mind.
[02:52:54.880 --> 02:53:01.580]   So co-author on a paper that's describing some of the sort of nuanced details of a programming language.
[02:53:01.580 --> 02:53:05.100]   So maybe you could speak to this programming language called verse.
[02:53:05.100 --> 02:53:09.200]   It's a functional logic language.
[02:53:09.200 --> 02:53:10.360]   What is it?
[02:53:10.360 --> 02:53:12.140]   What are some cool features of verse?
[02:53:12.140 --> 02:53:18.180]   Verse is a programming language that we're building for large scale simulation programming.
[02:53:18.380 --> 02:53:38.340]   It's designed to make it easy to write code that can scale up to, uh, not only you building a Fortnite island, but you building modules or components that can be used by millions of other programmers and coexist in a huge environment and also can scale up to a huge scale simulation.
[02:53:38.340 --> 02:53:39.640]   Some games will be small.
[02:53:39.640 --> 02:53:44.700]   Battle Royale might, might find it, you know, that a hundred players is actually optimal.
[02:53:44.700 --> 02:53:48.620]   Uh, it might be the thousand player version of Battle Royale would be worse, but I bet there
[02:53:48.620 --> 02:53:53.580]   are thousands, million, and tens of million player experiences.
[02:53:53.580 --> 02:53:55.840]   They're even better than that, that will yet to be discovered.
[02:53:55.840 --> 02:54:02.080]   And so wait, wait a minute, tens of millions of players together.
[02:54:02.080 --> 02:54:03.420]   Sure.
[02:54:03.420 --> 02:54:08.220]   We've had a Fortnite events that have attracted 15 million concurrent users.
[02:54:08.220 --> 02:54:15.680]   But, you know, the fact that they're all divided up into servers with a hundred players each for those events isn't really a positive.
[02:54:15.680 --> 02:54:17.840]   It's just a limitation of the technology.
[02:54:17.840 --> 02:54:21.540]   Um, tracing back to Unreal Engine 1 and its single threading decisions.
[02:54:21.540 --> 02:54:33.900]   Um, you know, if we could build a concert that where all the concert participants, potentially tens of millions of them could participate together simultaneously and see that there's that massive a crowd and they could all do interesting things and interact with each other.
[02:54:33.900 --> 02:54:35.020]   That would be way cooler.
[02:54:35.020 --> 02:54:38.480]   Just, uh, if we just, sorry, I'm just loading it in.
[02:54:38.480 --> 02:54:46.700]   Just imagining together in one scene graph, 10 million people interacting.
[02:54:46.700 --> 02:54:48.700]   What a cool world that is.
[02:54:48.700 --> 02:54:49.200]   Sure.
[02:54:49.200 --> 02:54:52.920]   Well, you know, 10 million people, you have less than 10 million pixels on your screen.
[02:54:52.920 --> 02:54:54.900]   So what does the Nyquist sampling theorem say?
[02:54:54.900 --> 02:54:57.580]   It says that you don't need full overhead for every player.
[02:54:57.580 --> 02:55:01.180]   You need to render the players here around you and some approximation of everything else.
[02:55:01.180 --> 02:55:03.120]   Tim, but there's also a networking component.
[02:55:03.120 --> 02:55:09.860]   Like, yeah, you're speaking to the rendering, but like, oh boy, there's a lot of work that has to happen there.
[02:55:09.860 --> 02:55:11.560]   But you know, this is what we do for a living.
[02:55:11.560 --> 02:55:12.340]   We solve hard problems.
[02:55:12.340 --> 02:55:12.740]   I understand.
[02:55:12.740 --> 02:55:15.800]   Cause if they're easy, then other people could have solved them already.
[02:55:15.800 --> 02:55:17.260]   That's really cool though.
[02:55:17.260 --> 02:55:20.620]   Just, just sort of the possibility, the vision of that is really cool.
[02:55:20.960 --> 02:55:38.700]   Even just, you know, even a hundred thousand people were like, bring 10,000 together just to, I mean, there's a reason in the physical world when you go to a concert and you have all those people around you, that energy, or you go to a football game, that energy is unlike anything else.
[02:55:38.700 --> 02:55:42.700]   And if you can bring that energy to the digital world, that's amazing.
[02:55:42.700 --> 02:55:43.480]   Yeah.
[02:55:43.480 --> 02:55:44.760]   But anyway, so sorry.
[02:55:44.760 --> 02:55:57.540]   So what, uh, on the technology side of bringing that to life on the programming language side, uh, can you continue as I rudely interrupt you, uh, talking about verse versus a functional logic language?
[02:55:57.540 --> 02:56:03.440]   Uh, because we think that that's the way to make the most simple and powerful language simultaneously.
[02:56:03.440 --> 02:56:16.660]   Um, back in the 1970s, the, the programming language designer who built Pascal, one of the early programming languages, uh, uh, my Klaus Wirth or Nicholas Wirth is Americans.
[02:56:16.660 --> 02:56:27.480]   We might call him, um, um, stated this principle that programming language should achieve, uh, a high degree of power, not by having a lot of features, but having, by having a small number of features.
[02:56:27.480 --> 02:56:34.380]   That work together, uh, and can be composed together arbitrarily so that you have to learn a relatively small set of things.
[02:56:34.380 --> 02:56:41.520]   And then, um, the real knowledge comes as you learn ways to combine them to achieve bigger and bigger programs.
[02:56:41.520 --> 02:56:51.820]   And so, um, you know, there's a long history to the field of programming languages, but in the 1950s, the first programming language designers got together and built the first standardized language called Algol.
[02:56:52.140 --> 02:57:03.240]   And, um, um, there was this meeting in 1956, very few people even know about, but it's where all the major foundations of modern programming languages were decided on that the C family of languages inherited.
[02:57:03.240 --> 02:57:06.120]   And so we're very much living in a world that was defined by them.
[02:57:06.120 --> 02:57:08.620]   And thankfully they got a whole lot of things, right?
[02:57:08.620 --> 02:57:13.660]   They defined how functions should work, how variables should work and how recursion should work.
[02:57:13.660 --> 02:57:20.040]   And, um, you know, thank God they got those things right, but they got a few things wrong and versus trying to fix those.
[02:57:20.040 --> 02:57:21.880]   And that's the functional logic part of it.
[02:57:22.380 --> 02:57:29.260]   The interesting thing about functional logic languages is that, um, in an old school language, an expression produces a value.
[02:57:29.260 --> 02:57:34.840]   Um, in a functional logic language, an expression can produce zero, one, or multiple values.
[02:57:34.840 --> 02:57:37.560]   And if it produces zero values, we might say it fails.
[02:57:37.560 --> 02:57:39.660]   And if it produces one value, we say it succeeds.
[02:57:39.660 --> 02:57:43.880]   And if it produces multiple values, it's kind of providing a set of values you could iterate over.
[02:57:44.660 --> 02:57:53.760]   And so there are a bunch of features in today's programming languages that are defined in an ad hoc way without really thinking this through, this zero, one, or many values way.
[02:57:53.760 --> 02:57:56.520]   And that's the problem that functional logic languages address.
[02:57:56.520 --> 02:58:00.480]   And the most basic example is an if statement in a programming language.
[02:58:00.480 --> 02:58:03.200]   If some condition holds, then do this thing.
[02:58:03.200 --> 02:58:04.900]   Otherwise, do that thing.
[02:58:04.900 --> 02:58:12.540]   And in the language today, uh, this is done with variables of type Boolean or expressions that produce Booleans.
[02:58:12.640 --> 02:58:16.000]   We have Boolean variables that are either true or false.
[02:58:16.000 --> 02:58:18.420]   We have expressions that evaluate to Booleans.
[02:58:18.420 --> 02:58:28.160]   And so you can express a condition as a bunch of these features together, but you've lost any computation you've done in doing that Boolean expression evaluation.
[02:58:28.160 --> 02:58:32.420]   So in a functional logic language, um, your condition wouldn't do that.
[02:58:32.420 --> 02:58:35.660]   It would either succeed and produce a value, or it would fail.
[02:58:35.660 --> 02:58:38.260]   If it succeeds, it goes to the then branch.
[02:58:38.260 --> 02:58:41.960]   Your operation succeeded, now you're operating, you know, running this one batch of code.
[02:58:41.960 --> 02:58:45.200]   And if your expression failed, then you go to the else branch.
[02:58:45.200 --> 02:58:55.340]   But the exciting thing about that is your expression that succeeds or fails can produce values, uh, and bind variables, um, that are then accessed by the then branch.
[02:58:55.340 --> 02:59:03.180]   So you can write a conditional where you can only get to the inside of the condition, um, the then, if a bunch of variables have successfully been bound to variables.
[02:59:03.180 --> 02:59:09.700]   So it lets you test if some conditions hold, and then use the results of those tests, um, and that gives you a much higher level of reliability.
[02:59:09.700 --> 02:59:19.300]   Um, and then a for loop, um, in a traditional language, it's just a bunch of imperative code that's woven together to produce a bunch of values iteratively.
[02:59:19.300 --> 02:59:28.380]   It's, uh, it's rather awkward to do complicated things in for loops, and so you often end up with the ever more complicated constructs built to work around that, like iterators and other things.
[02:59:28.380 --> 02:59:40.220]   Um, the idea of functional logic languages is your for loop can just produce multiple values, and if it produces zero values, you go through zero iterations, and it produces a bunch of values, you go through all of those as your iterations.
[02:59:40.900 --> 02:59:59.200]   Rather than having a bunch of nested loops, you're going to write arbitrary things that look like SQL queries in a condition or in a for loop that bind a bunch of variables, do a bunch of tests, produce a bunch of a series of results, and then some order that you're iterating over, and then you can handle all of them and produce a result.
[02:59:59.340 --> 03:00:11.540]   So you kind of gain the power of SQL queries, you know, large, complex queries over data structures, in a language that is, um, much simpler in which your code is just performing simple iterative operations.
[03:00:11.540 --> 03:00:17.600]   And so it kind of gives you the best of databases and of regular programming in a much more uniform way.
[03:00:17.600 --> 03:00:24.540]   And the power of this is now users can write functions that not only produce a value, you can write functions that might fail.
[03:00:24.740 --> 03:00:30.940]   And so you can write a function that answers a question, the answer can be either yes, and my value is this, or no.
[03:00:30.940 --> 03:00:34.940]   And you can combine these together into arbitrary queries.
[03:00:34.940 --> 03:00:39.060]   And if you like, the funny thing is that this is not how C++ works.
[03:00:39.060 --> 03:00:52.180]   And so when we have Epic programmers moving over from C++ and writing their first verse code, they try to write C++ code in verse style, and it actually ends up being kind of convoluted code that's worse than good C++ or good verse.
[03:00:52.660 --> 03:00:58.040]   When we see, you know, but after a few months, they get up to speed, and they're writing really awesome code that's tighter and more compact than before.
[03:00:58.040 --> 03:01:06.720]   And with users who've never programmed before, but are learning programming for the first time in the context of Fortnite, it's really fascinating.
[03:01:06.720 --> 03:01:11.120]   You see, these users are learning this kind of as, it becomes their intuition.
[03:01:11.120 --> 03:01:13.300]   They just assume programming works this way.
[03:01:13.380 --> 03:01:21.260]   And they write, they're writing way more advanced and interesting for loops and conditions than we're often writing internally because they've kind of rocked the core concept.
[03:01:21.260 --> 03:01:24.240]   Yeah, I mean, you said a lot of really interesting stuff.
[03:01:24.240 --> 03:01:35.540]   First of all, it's very interesting that there's a bunch of people, a lot of people learning programming for the first time with verse, which is a very different way to look at programming.
[03:01:35.660 --> 03:01:41.240]   And in some deep sense, as you're saying, a very intuitive way to learn programming.
[03:01:41.240 --> 03:01:45.700]   But there's a lot of properties about this being a logical language.
