
[00:00:00.000 --> 00:00:03.780]   Hello guys, welcome back to my channel today, we are gonna talk about Mistral
[00:54:26.240 --> 00:54:32.160]   We didn't use the content of the previous chunk. What would happen is this we would have a
[00:54:32.160 --> 00:54:39.760]   Attention mask that is only comprised of the tokens of the current chunk. So it would be only limited to this matrix here
[00:54:39.760 --> 00:54:42.480]   Let me draw it. So
[00:54:42.640 --> 00:54:44.800]   Only this matrix here
[00:54:44.800 --> 00:54:50.240]   But if we only use this matrix here the word who
[00:54:50.240 --> 00:54:54.480]   Would not be able to to would not be related to the word me
[00:54:54.480 --> 00:55:00.640]   Tell and you even if with the sliding window size, they should be able to watch each other
[00:55:00.640 --> 00:55:05.280]   So because we want to relate the current chunk to the previous chunk
[00:55:05.680 --> 00:55:12.960]   We basically take as a key and value the content of the kvcache plus the tokens of the current chunk
[00:55:12.960 --> 00:55:16.320]   So that we can build this attention between chunks
[00:55:16.320 --> 00:55:23.120]   Otherwise this attention would not be built and as query we always use the tokens of the current chunk
[00:55:23.120 --> 00:55:27.280]   Let's review how this mechanism is built in the code
[00:55:28.800 --> 00:55:32.560]   So basically the pre-filling is done by chunks
[00:55:32.560 --> 00:55:35.600]   There is the first chunk and then there are subsequent chunks
[00:55:35.600 --> 00:55:40.320]   And finally there is token generation after we have a pre-filled our kvcache with the prompt
[00:55:40.320 --> 00:55:46.080]   During the first pre-fill, which means that we are doing it for the first chunk of our
[00:55:46.080 --> 00:55:48.080]   prompt
[00:55:48.080 --> 00:55:54.400]   As attention mask, we only consider the size of the incoming tokens in the current chunk
[00:55:54.960 --> 00:56:01.440]   But for any subsequent chunks, so after the first chunk as to build the attention mask
[00:56:01.440 --> 00:56:05.920]   For the query we just use the size of the incoming chunk
[00:56:05.920 --> 00:56:10.560]   But for the k and v we use the size of the kvcache, which is this one
[00:56:10.560 --> 00:56:17.120]   So cached as you can see here plus the size of the current chunk, which is this s variable you can see here
[00:56:17.120 --> 00:56:23.360]   And for token generation, we do the same system that we did before when I was teaching with the kvcache
[00:56:23.360 --> 00:56:27.600]   So one token at a time, we take it, we append it to the key
[00:56:27.600 --> 00:56:33.760]   We append it to the value and we replace the query with the output token from the previous step
[00:56:33.760 --> 00:56:38.900]   So the last chunk in our case will be the tokens man in history
[00:56:38.900 --> 00:56:45.520]   And what we do is basically we take the current chunk, so man in history, which becomes the query
[00:56:45.520 --> 00:56:50.480]   While the key becomes basically the previous chunk plus the tokens of the current chunk
[00:56:51.280 --> 00:56:56.000]   So the who is the richest plus the tokens of the current chunk, so man in history
[00:56:56.000 --> 00:57:00.320]   And the reason we do it because otherwise the word in the current chunk will not be able to
[00:57:00.320 --> 00:57:06.240]   Be related to the word of the previous chunk, which is necessary. Okay guys, let's talk about sparse
[00:57:06.240 --> 00:57:08.960]   mixture of experts
[00:57:08.960 --> 00:57:14.320]   So mixture of experts is an assembled technique in which we have multiple expert model
[00:57:14.400 --> 00:57:21.760]   Which each of this model is trained on a subset of the data such that each model will specialize on a subset of this data
[00:57:21.760 --> 00:57:28.880]   And then when we produce the output of this mixture of experts, we take the output for each of these experts
[00:57:28.880 --> 00:57:34.960]   We combine it usually by using a weighted sum or by averaging to produce one single output
[00:57:34.960 --> 00:57:38.960]   In the case of Mistral, we do not talk about only mixture of experts
[00:57:38.960 --> 00:57:45.280]   But we talk about a sparse mixture of experts because we have many expert models, but we only use some of them
[00:57:45.280 --> 00:57:52.080]   Let me show you. In the case of Mistral, we have eight experts which are present as the feed-forward layer
[00:57:52.080 --> 00:57:58.000]   So after we calculate the self-attention, as you remember, we have this feed-forward network. In the case of Mistral
[00:57:58.000 --> 00:58:03.620]   8x7b, we have eight feed-forward layers. We have to think of them in parallel
[00:58:05.040 --> 00:58:11.920]   And the gate is a function that basically will decide for each token which expert, so which feed-forward
[00:58:11.920 --> 00:58:16.400]   network, should be working with that token and it will choose two
[00:58:16.400 --> 00:58:22.100]   feed-forward networks for each token. It will run the token through these feed-forward networks,
[00:58:22.100 --> 00:58:28.020]   will take their output and will weight it according to the logits this gate produces
[00:58:28.020 --> 00:58:34.640]   to produce a weighted sum, which will become the output of the self-attention for that particular token
[00:58:35.520 --> 00:58:37.280]   Let me show you with an example
[00:58:37.280 --> 00:58:42.160]   So this is the architecture of Mistral. As you can see, we have the input of this
[00:58:42.160 --> 00:58:48.800]   encoder layer. We first run the self-attention using the sliding window attention and the KV cache, etc, etc
[00:58:48.800 --> 00:58:56.720]   Then we run the normalization and finally we have this gate function here, which is basically just a linear layer that will produce
[00:58:56.720 --> 00:58:58.400]   logits
[00:58:58.400 --> 00:59:00.400]   eight logits, which
[00:59:01.040 --> 00:59:07.220]   will be values. Let's call them score values for our expert. The two best performing
[00:59:07.220 --> 00:59:13.040]   experts, so the two highest score, will indicate which experts that token should work with
[00:59:13.040 --> 00:59:18.560]   Then we run each token in their own two best performing experts
[00:59:18.560 --> 00:59:22.720]   Then we take the output of these two experts. We combine it with the weight
[00:59:22.720 --> 00:59:25.600]   What is the weight? Basically the
[00:59:26.400 --> 00:59:30.080]   logits produced by the gate are, suppose, eight values here
[00:59:30.080 --> 00:59:34.080]   Yeah, I draw only four because I don't have space, but you imagine you have eight values
[00:59:34.080 --> 00:59:39.600]   Then we take the top two, so 1.5 and 3.4 in this case
[00:59:39.600 --> 00:59:42.240]   These are the two experts through which we will run the token
[00:59:42.240 --> 00:59:49.920]   We take the softmax of the two best performing values. This will be the weight that we'll be using for the weighted sum
[00:59:49.920 --> 00:59:54.480]   And basically, why do we do it?
[00:59:54.880 --> 00:59:56.880]   So
[00:59:56.880 --> 00:59:59.360]   Why do we do it?
[00:59:59.360 --> 01:00:04.640]   Because by using a sparse mixture of experts, we can have many expert models
[01:00:04.640 --> 01:00:08.900]   But during inferencing only two out of eight will be activated
[01:00:08.900 --> 01:00:13.040]   So as you remember the feed-for-wall network is basically two
[01:00:13.040 --> 01:00:20.080]   linear layers. So the linear layer can be thought of as a matrix multiplication of a weight matrix with the input
[01:00:20.560 --> 01:00:25.840]   So if we didn't use a sparse mixture of experts, we would run the token through all the eight experts
[01:00:25.840 --> 01:00:29.060]   Which means that we need to compute eight matrix multiplications
[01:00:29.060 --> 01:00:35.460]   But by using sparse mixture of experts for each token, we are only doing two matrix multiplications
[01:00:35.460 --> 01:00:37.920]   Which makes the inference faster
[01:00:37.920 --> 01:00:42.240]   But at the same time allows us to increase the power of the model and the parameter of the model
[01:00:42.240 --> 01:00:45.520]   Because we are only using some parameters for
[01:00:46.960 --> 01:00:51.520]   A subset of the token. So some tokens will use the expert number one. Some tokens will be using the token
[01:00:51.520 --> 01:00:56.880]   The expert number two and three. Some tokens will be using the expert number eight and three
[01:00:56.880 --> 01:01:00.560]   Or some other for example, the six and the four etc, etc
[01:01:00.560 --> 01:01:04.880]   So we are not using all the experts for each token, but only two of them
[01:01:04.880 --> 01:01:08.720]   This allows us to have each expert
[01:01:08.720 --> 01:01:15.280]   Specialized on a subset of tokens. For example, imagine the model has been trained on multiple languages
[01:01:15.280 --> 01:01:22.320]   What could happen is that basically some experts, so some feed-forward networks are specialized on Japanese tokens
[01:01:22.320 --> 01:01:26.320]   Some feed-forward networks are specialized on English tokens or some
[01:01:26.320 --> 01:01:30.720]   It could also happen that some are specialized in verbs, some are specialized in
[01:01:30.720 --> 01:01:34.960]   Nouns, some are specialized in adjectives, etc, etc
[01:01:34.960 --> 01:01:41.760]   So this is why we use a mixture of experts because we want to increase the size of the parameters of our model
[01:01:42.000 --> 01:01:45.600]   So the model becomes more powerful at capturing information
[01:01:45.600 --> 01:01:53.360]   But at the same time we don't sacrifice on performance because we only use a subset of the experts for each token
[01:01:53.360 --> 01:01:57.120]   And this is the implementation as done in the code
[01:01:57.120 --> 01:02:03.520]   So as you can see in the case of Mistral 7b, we have as feed-forward just a feed-forward neural network
[01:02:03.520 --> 01:02:05.520]   Which is two linear layers
[01:02:05.520 --> 01:02:10.160]   In the case of Mistral 8x7b, it's not only one feed-forward network
[01:02:10.160 --> 01:02:13.520]   But it's eight feed-forward networks. So this as you can see, it's the
[01:02:13.520 --> 01:02:19.840]   It's an array of eight feed-forward networks with a gating function, which is just a linear layer
[01:02:19.840 --> 01:02:24.820]   Which converts from the embedding size to eight, which is the number of experts
[01:02:24.820 --> 01:02:31.920]   So it produces for each embedding. So for each token, it produces logits which indicates for which
[01:02:33.520 --> 01:02:39.920]   Expert this token should run through and it will run through them to the top two experts
[01:02:39.920 --> 01:02:43.520]   So the two experts with the top logits score
[01:02:43.520 --> 01:02:51.600]   Okay, why we apply the softmax after selecting the top k expert so as I show you
[01:02:51.600 --> 01:02:57.920]   Here we have the gating function that produces some logits. We select the top two
[01:02:57.920 --> 01:03:02.240]   logits to understand which expert we should run through our
[01:03:02.800 --> 01:03:07.060]   Token and then we take the score of the best two performing
[01:03:07.060 --> 01:03:09.820]   experts and we
[01:03:09.820 --> 01:03:12.960]   Take the softmax of them to create the weights
[01:03:12.960 --> 01:03:15.600]   That we will use to create the weighted sum
[01:03:15.600 --> 01:03:23.280]   But why we take the softmax of the two best performing instead of taking the softmax of everyone? Well, the first problem is that
[01:03:23.280 --> 01:03:31.200]   If we take the softmax of all of the logits, then the two best performing may not sum up to one which is
[01:03:31.440 --> 01:03:32.640]   um
[01:03:32.640 --> 01:03:38.640]   Which is a condition that we need in case we want to train multiple models and compare them because i'm pretty sure that the guys
[01:03:38.640 --> 01:03:43.760]   At Mistral did not only train one model. Maybe they trained multiple models with multiple hyper parameters
[01:03:43.760 --> 01:03:48.960]   Maybe they tried with four mixture of four experts, but also with three experts or two experts
[01:03:48.960 --> 01:03:50.640]   Then they choose the best one
[01:03:50.640 --> 01:03:55.440]   So if you want to compare models, you want the weighted sum to always perform
[01:03:56.560 --> 01:04:03.200]   The sum of the weights to be only one. Otherwise the output range may change from model to model and usually it's not a good idea
[01:04:03.200 --> 01:04:07.520]   To have the range of the output to change from one model to the next
[01:04:07.520 --> 01:04:14.000]   So to keep the range of the output stable, they apply the softmax after they have selected how many
[01:04:14.000 --> 01:04:18.640]   Experts they want to work with and choosing the logits of the best two performing
[01:04:18.640 --> 01:04:21.420]   experts
[01:04:21.420 --> 01:04:23.680]   Okay
[01:04:23.680 --> 01:04:30.640]   The next thing we are talking about is model sharding which is also implemented in the code of the Mistral model
[01:04:30.640 --> 01:04:32.720]   So let's talk about it
[01:04:32.720 --> 01:04:36.560]   When we have a model that is too big to fit in a single gpu
[01:04:36.560 --> 01:04:42.800]   We can divide the model into groups of layers and place each group of layers in a single gpu
[01:04:42.800 --> 01:04:47.280]   For example in the case of Mistral, we have 32 layers of encoders
[01:04:47.280 --> 01:04:51.280]   You can see here one after another I didn't do all 32 of them
[01:04:51.520 --> 01:04:56.800]   You just think that this is layer from 1 to 8. This is from 9 to 16 from 17 to 24
[01:04:56.800 --> 01:05:03.200]   From 25 to 32 and we put each group of layers in a different gpu. So we have four gpus
[01:05:03.200 --> 01:05:05.280]   the
[01:05:05.280 --> 01:05:08.320]   The way we inference a model like this is as follows
[01:05:08.320 --> 01:05:14.320]   So we have our input we convert it into embeddings and we run it through the first eight layers in the first gpu
[01:05:14.320 --> 01:05:19.120]   The first gpu will produce an output which will be the output of the eighth layer
[01:05:19.600 --> 01:05:24.880]   We transfer this output to the second gpu and we use it as input for the ninth layer
[01:05:24.880 --> 01:05:29.760]   Then we run all the this input through all the layers one after another until it
[01:05:29.760 --> 01:05:36.000]   It arrives to the layer number 16, which will produce an output. We take this output. We move it to the next gpu
[01:05:36.000 --> 01:05:39.540]   So it will become the input of the layer number 17
[01:05:39.540 --> 01:05:45.200]   And then we run iteratively to all the layers until the layer number 24, which will produce an output
[01:05:45.280 --> 01:05:49.840]   We move it to the next gpu. We run it through iteratively until the layer number 32
[01:05:49.840 --> 01:05:55.040]   Then we take the last linear layer and then the softmax to produce the output of the model
[01:05:55.040 --> 01:05:57.040]   however
[01:05:57.040 --> 01:06:02.880]   You can notice that this method is not very efficient because at any time only one gpu is working
[01:06:02.880 --> 01:06:08.720]   A better approach which is not implemented in the code of Mistral, but they reference it in the paper
[01:06:08.720 --> 01:06:13.760]   So I will talking about it is the pipeline parallelism. Let's see how it works
[01:06:15.040 --> 01:06:21.220]   This pipeline parallelism. I will talking about the algorithm that was introduced in this paper. So gpipe
[01:06:21.220 --> 01:06:25.600]   Basically, it works as follows first. Let me introduce you the problem
[01:06:25.600 --> 01:06:30.160]   This actually it's used usually when we are training a model not when we are inferencing
[01:06:30.160 --> 01:06:32.340]   But it can also be applied to the inference
[01:06:32.340 --> 01:06:39.040]   Imagine we want to train a model on a sharded model. So a model that is split into multiple
[01:06:39.040 --> 01:06:43.280]   Group of layers each group of layer is present on a different gpu
[01:06:44.160 --> 01:06:48.000]   Imagine we have four gpus each one with its own group of layers
[01:06:48.000 --> 01:06:52.880]   Imagine we want to train this model. So we run our input to the first gpu
[01:06:52.880 --> 01:06:57.680]   So we run the forward step to the first gpu. We take this output and we feed it to the next gpu
[01:06:57.680 --> 01:07:00.080]   So then we run forward from there
[01:07:00.080 --> 01:07:03.600]   We take the output and we run it through the next gpu the gpu number three
[01:07:03.600 --> 01:07:06.800]   We take the output we run it to the next gpu the gpu number four
[01:07:06.800 --> 01:07:13.120]   Now we have the output of the model. We compute the loss and then we can run back propagation the run propagation
[01:07:13.200 --> 01:07:19.760]   That's basically just the opposite. We go from the last gpu to the first gpu. So we run back propagation on the fourth gpu
[01:07:19.760 --> 01:07:27.200]   Then we have calculated the gradients at the fourth gpu and we use them to calculate the previous gradients at the third gpu
[01:07:27.200 --> 01:07:31.760]   And then we take these gradients and we use them to calculate the previous gradients and then we
[01:07:31.760 --> 01:07:35.520]   Take these gradients and we use to compute the previous gradients
[01:07:35.520 --> 01:07:42.560]   So the forward step goes from the input to the loss the backward step goes from the loss to the input
[01:07:43.360 --> 01:07:47.200]   And all the parameters which are also known as the leave nodes in the computational graph
[01:07:47.200 --> 01:07:52.080]   However, also as in this case, you can see that at each step
[01:07:52.080 --> 01:07:58.800]   We are only utilizing one single gpu and all the other gpus are quite
[01:07:58.800 --> 01:08:01.520]   Not working. They are idle
[01:08:01.520 --> 01:08:04.660]   A better way is to use pipeline parallelism
[01:08:04.660 --> 01:08:09.840]   So imagine that the previous step of training was done using a very big batch
[01:08:09.840 --> 01:08:12.640]   Suppose this batch is made up of eight items
[01:08:12.640 --> 01:08:18.480]   What we do with pipeline parallelism is we take this batch and we split it into micro batch
[01:08:18.480 --> 01:08:24.720]   So instead of eight items, we create micro batch. So four micro batch of two items each
[01:08:24.720 --> 01:08:27.120]   What we do is
[01:08:27.120 --> 01:08:30.880]   We run the first micro batch in the first gpu
[01:08:30.880 --> 01:08:35.760]   This will produce the output for the first micro batch and we can feed it to the next gpu
[01:08:36.160 --> 01:08:39.840]   But now at the time step one we realize that the gpu one now is free
[01:08:39.840 --> 01:08:43.120]   So she can already start working on the second micro batch
[01:08:43.120 --> 01:08:50.800]   Meanwhile, the second gpu is working on the first micro batch and when she will finish she can send it to the next gpu and
[01:08:50.800 --> 01:08:54.240]   Meanwhile, we realize that now the second gpu is free
[01:08:54.240 --> 01:09:00.560]   So we can if the gpu one has finished we can take the output of the gpu one and transfer it to the gpu two
[01:09:00.880 --> 01:09:05.920]   And the gpu one will be free so it can work on the third micro batch you can see here
[01:09:05.920 --> 01:09:11.600]   Then after the third gpu has finished it will take the output of the third gpu
[01:09:11.600 --> 01:09:15.520]   We send it to the fourth gpu, but we realize that the third gpu is now free
[01:09:15.520 --> 01:09:20.160]   So if the previous gpu have finished we can transfer the second micro batch to the third gpu
[01:09:20.160 --> 01:09:26.720]   The third micro batch to the second gpu and the first gpu which will be free can start working on a new micro batch
[01:09:26.720 --> 01:09:29.360]   Which is the fourth micro batch and basically we do this
[01:09:30.000 --> 01:09:32.900]   job of time shifting the micro batches
[01:09:32.900 --> 01:09:38.800]   And this will result in a better utilization of the gpus because now at every time step we
[01:09:38.800 --> 01:09:44.720]   At this time step for example all the four the gpus are working and also at this time step here at the backward step
[01:09:44.720 --> 01:09:51.280]   And for each micro batch we calculate the gradient, but we do not update the parameters
[01:09:51.280 --> 01:09:53.360]   We do what is called gradient accumulation
[01:09:53.360 --> 01:09:58.960]   Which basically means that we calculate the gradient for each micro batch and we keep summing it to the existing gradients
[01:09:59.280 --> 01:10:05.440]   But we do not update the parameters of the model after all the micro batch have finished processing the forward and the backward
[01:10:05.440 --> 01:10:07.520]   We update the parameters of the model
[01:10:07.520 --> 01:10:12.000]   The gradient accumulation is a technique that I have introduced in my previous video on
[01:10:12.000 --> 01:10:15.440]   Distributed training so if you want to understand how it works
[01:10:15.440 --> 01:10:22.080]   I refer you to my previous video on distributed training in which I explain also the math behind gradient accumulation and how it works
[01:10:22.080 --> 01:10:25.600]   But basically this is the solution with pipeline parallelism
[01:10:25.760 --> 01:10:32.880]   So we can actually divide our batch into micro batches and this can also work with inferencing because when we inference
[01:10:32.880 --> 01:10:35.120]   We just don't have this backward
[01:10:35.120 --> 01:10:38.880]   Step here, right? So we just delete this second half of the table
[01:10:38.880 --> 01:10:45.920]   But we can still take our big batch at the beginning. We split it into micro batches and we time shift them
[01:10:45.920 --> 01:10:48.880]   according to the availability of the gpu
[01:10:48.880 --> 01:10:54.960]   And this pipeline parallelism basically introduces still some
[01:10:55.920 --> 01:10:59.920]   Time steps in which not all gpus are working and these are called bubbles
[01:10:59.920 --> 01:11:04.400]   To avoid bubbles these big bubbles here. What we can do is we can
[01:11:04.400 --> 01:11:09.940]   Use a bigger initial batch size. So we have multiple micro batches
[01:11:09.940 --> 01:11:14.720]   Okay guys now let's go to the last part of this video
[01:11:14.720 --> 01:11:16.800]   I know that
[01:11:16.800 --> 01:11:23.280]   The mistral code is much more complicated to understand compared to the lama code and I will show you why but I will also help
[01:11:23.280 --> 01:11:27.760]   You understand the most complex topic in the code, which is the xformats library
[01:11:27.760 --> 01:11:34.000]   Which is a trick they use to improve the inference performance and it's actually a very advanced technique
[01:11:34.000 --> 01:11:37.360]   And I want to give you a glimpse into how it works
[01:11:37.360 --> 01:11:45.440]   So basically imagine you are running an ai company and you are providing llm inference service
[01:11:45.440 --> 01:11:52.640]   So you have a customer that has you for example provide an api and you have customers that send their prompts to your api
[01:11:52.960 --> 01:11:56.080]   And then want to run inference through your large language models
[01:11:56.080 --> 01:12:01.600]   Each prompt of course may have different length because each customer may be using the
[01:12:01.600 --> 01:12:04.160]   large language model for different purposes
[01:12:04.160 --> 01:12:05.600]   For suppose
[01:12:05.600 --> 01:12:08.000]   Simplicity suppose that each word is a token
[01:12:08.000 --> 01:12:11.920]   So suppose you have three customer the first customer says write a poem
[01:12:11.920 --> 01:12:17.520]   The second customer says write a historical novel and the third customer says tell me a funny joke
[01:12:18.880 --> 01:12:24.080]   of course you could process all these prompts one by one, but that would not be very efficient because
[01:12:24.080 --> 01:12:29.700]   The two other two customer would be waiting for the first customer to finish and when you have a lot of customers
[01:12:29.700 --> 01:12:34.720]   That's not good. And secondly, you may not be fully utilizing the memory of your gpu
[01:12:34.720 --> 01:12:40.800]   So the best thing that you can do is to do batching you create all these prompts you create one big batch
[01:12:40.800 --> 01:12:44.640]   But the problem is that the prompt have different lengths
[01:12:44.880 --> 01:12:51.600]   So the first prompt is made up of three tokens the second prompt of four tokens and the third prompt of five tokens
[01:12:51.600 --> 01:12:59.040]   One solution is to add padding to these tokens. So basically we create a batch in which we append
[01:12:59.040 --> 01:13:04.880]   Padding tokens to the input sequence until they all reach the same size
[01:13:04.880 --> 01:13:13.540]   Then we can run these sequences this batch through our large language model, which could be for example Lama or Mistral
[01:13:14.800 --> 01:13:19.120]   As we saw before when we have a input sequence of n tokens
[01:13:19.120 --> 01:13:22.800]   The attention mechanism produces an output sequence of n tokens
[01:13:22.800 --> 01:13:26.640]   And we usually take the embedding of the last token
[01:13:26.640 --> 01:13:32.980]   Send it to the linear layer then the softmax to understand what is the next token from our vocabulary
[01:13:32.980 --> 01:13:34.400]   but
[01:13:34.400 --> 01:13:38.000]   In the first prompt we see that we have added two padding tokens
[01:13:38.000 --> 01:13:43.600]   So we cannot use the embedding corresponding to the last tokens because they correspond to the padding token
[01:13:44.160 --> 01:13:49.200]   What we should do is we should take the embedding corresponding to the last non-padding token
[01:13:49.200 --> 01:13:54.960]   And then send it to the linear layer and then to the softmax to understand what is the next token
[01:13:54.960 --> 01:13:59.760]   And in the case of the second prompt we should be using the fourth token not the last one
[01:13:59.760 --> 01:14:05.600]   Only in the last prompt we can use the last token because it's the last it's a non not padding token
[01:14:05.600 --> 01:14:09.600]   Now we have done this
[01:14:09.600 --> 01:14:13.200]   And how do we actually create a attention mask to run it?
[01:14:13.200 --> 01:14:19.440]   We basically just create an attention mask that is causal that will make each token only
[01:14:19.440 --> 01:14:26.160]   Visualize the previous tokens. So each token will be able to relate to previous tokens, but not to future tokens
[01:14:26.160 --> 01:14:33.600]   And this mask here will work fine for all the three scenarios. You can see here and I will show you later how
[01:14:34.880 --> 01:14:40.160]   We cannot use a different mask for each prompt because all the prompts are of the same length
[01:14:40.160 --> 01:14:46.960]   So all the masks must be 5x5 because we cannot use a 3x3 mask for this prompt a 4x4
[01:14:46.960 --> 01:14:53.200]   Mask for this prompt and the 5x5 for this prompt because the input sequence is 5
[01:14:53.200 --> 01:14:59.300]   So we must use a 5x5 mask and we have to use a 5x5 mask that is causal
[01:15:00.400 --> 01:15:04.080]   And also has the we can also mask out for example
[01:15:04.080 --> 01:15:10.000]   Imagine the sliding window is size is 4 then we can mask out this value here also because we don't want the
[01:15:10.000 --> 01:15:15.760]   This token here to watch tokens that are a distance of more than 4 for example
[01:15:15.760 --> 01:15:23.360]   So the problem here is that we are calculating a lot of dot products, especially for the first and the second prompt
[01:15:23.360 --> 01:15:26.640]   That will not be used. Let me show you why
[01:15:27.760 --> 01:15:34.640]   When we apply this mask, so the 5x5 mask you can see here to this input sequence here
[01:15:34.640 --> 01:15:36.640]   Which are I want to remind you is a batch
[01:15:36.640 --> 01:15:40.720]   Which will produce the following attention mask
[01:15:40.720 --> 01:15:48.720]   In which all this value will be masked out because they are minus infinity minus infinity and it's because of the causality of the mask
[01:15:48.720 --> 01:15:52.000]   We cannot mask
[01:15:52.320 --> 01:15:56.160]   This value here because they are needed for the last prompt for example
[01:15:56.160 --> 01:16:00.560]   And we also cannot mask this value here, which is needed for the last prompt
[01:16:00.560 --> 01:16:04.240]   But for the first and the second prompt we are doing a lot of dot products
[01:16:04.240 --> 01:16:04.800]   for example
[01:16:04.800 --> 01:16:08.400]   These ones between padding tokens and other tokens that we will not be using
[01:16:08.400 --> 01:16:13.200]   Because I want to remind you that in the first prompt as the output of the model
[01:16:13.200 --> 01:16:16.640]   So we will be using the output as the third token
[01:16:16.880 --> 01:16:23.760]   For the second prompt the output at the fourth token and only in the last token. We will be checking the last output
[01:16:23.760 --> 01:16:27.520]   Of the output of the self-attention, but for the first two prompts
[01:16:27.520 --> 01:16:33.360]   We will not be even checking the last token output from the self-attention because they correspond to the padding token
[01:16:33.360 --> 01:16:37.680]   So is there a way to avoid these padding tokens?
[01:16:37.680 --> 01:16:45.760]   Being introduced in our calculation and calculating all these dot products which will result in output tokens that we will not even use
[01:16:46.320 --> 01:16:49.280]   Well, there is a better solution and the solution is this
[01:16:49.280 --> 01:16:55.920]   The solution is to combine all the tokens of all the prompts into one big sequence
[01:16:55.920 --> 01:17:02.880]   Consecutively and we also keep track of what is the actual size of each prompt
[01:17:02.880 --> 01:17:09.200]   So we know that the prompt are coming from our API because we are running an AI company and we have this API
[01:17:09.200 --> 01:17:14.960]   So we know that the first customer has a token size prompt of size three tokens. The second one has
[01:17:15.680 --> 01:17:18.240]   Four tokens and the third one has five tokens
[01:17:18.240 --> 01:17:22.240]   So we can keep track of these sizes in an array, for example
[01:17:22.240 --> 01:17:27.280]   And then we build this sequence which is a concatenation of all the prompts that we receive
[01:17:27.280 --> 01:17:35.120]   We take this mega sequence. We run it through our LLM model. So it could be Mistral or it could be Lama
[01:17:35.120 --> 01:17:38.000]   This as I told you before
[01:17:38.000 --> 01:17:43.920]   An input sequence in a transformer will result in n output tokens in the output
[01:17:45.200 --> 01:17:50.800]   So we have here we have 3 plus 4 so 7, 7 plus 5, 12
[01:17:50.800 --> 01:17:54.320]   Tokens as input it will produce 12 tokens as output
[01:17:54.320 --> 01:18:00.240]   To understand what is the next token for each prompt. We need to check the
[01:18:00.240 --> 01:18:03.200]   We need to check the embedding
[01:18:03.200 --> 01:18:05.840]   corresponding to the token number 3 for the first
[01:18:05.840 --> 01:18:12.400]   Prompt to the token number 7 for the second prompt and the last token for the third prompt
[01:18:12.560 --> 01:18:16.480]   So we take all these embeddings we run them through the linear layer
[01:18:16.480 --> 01:18:20.480]   Then we apply the softmax and then we understand what is the next
[01:18:20.480 --> 01:18:24.480]   Token from our vocabulary, but you may be wondering
[01:18:24.480 --> 01:18:31.920]   How do we even produce an attention mask that can work with multiple prompts that are combined into one sequence?
[01:18:31.920 --> 01:18:37.520]   Such that the token of one sequence should not of one prompt should not be attend
[01:18:37.840 --> 01:18:42.640]   To the tokens of the another prompt but only of the tokens of the same prompt, right?
[01:18:42.640 --> 01:18:51.120]   Well, the Xformers library allow us allow us to do that using a method called a block diagonal causal mask
[01:18:51.120 --> 01:18:55.680]   Which is also used in the source code of Mistral. So I want to show you how it works
[01:18:55.680 --> 01:18:58.400]   basically Xformers
[01:18:58.400 --> 01:19:04.320]   This method called the block diagonal causal mask will produce a mask like this. It will be
[01:19:05.200 --> 01:19:08.880]   Group, basically all the prompts into groups
[01:19:08.880 --> 01:19:15.920]   Such that each token only can attend to the tokens in the same group here. We have three prompts
[01:19:15.920 --> 01:19:20.880]   So the token poem for example can only attend the token of the same
[01:19:20.880 --> 01:19:28.480]   Prompt the token novel for example cannot be related to the token poem. So it will put minus infinity here
[01:19:28.480 --> 01:19:33.440]   but all the token of the same prompt will be able to be attended by the
[01:19:34.000 --> 01:19:36.000]   the token novel
[01:19:36.000 --> 01:19:40.560]   While the token in the last prompt will be only be able to attend
[01:19:40.560 --> 01:19:47.200]   The other tokens in the same prompt and this is a special mask built by using the Xformers library
[01:19:47.200 --> 01:19:50.720]   Let me show you how it works in the code
[01:19:50.720 --> 01:19:57.760]   Okay, I want to show you actually how it works. So in the Mistral source code, they are using this
[01:19:57.760 --> 01:20:01.680]   Library called Xformers
[01:20:02.240 --> 01:20:03.920]   Xformers library
[01:20:03.920 --> 01:20:10.560]   Allows us to compute very complex attention mask and also to calculate the attention in a very efficient way
[01:20:10.560 --> 01:20:16.480]   Using the memory efficient attention calculation, which I will not show in this video. Maybe I will make a future video about it
[01:20:16.480 --> 01:20:19.920]   But basically what they do in the Mistral source code
[01:20:19.920 --> 01:20:27.280]   If you have multiple prompts, they will create one big sequence and then keep track of the number of tokens of each prompt
[01:20:27.280 --> 01:20:29.840]   And then they use these methods
[01:20:30.400 --> 01:20:34.880]   made available by the Xformers library to build these complex attention maps that
[01:20:34.880 --> 01:20:43.200]   Keep track of the different size of the KVCache because each prompt may have a KVCache that is different from another prompt
[01:20:43.200 --> 01:20:47.680]   Because imagine you have a prompt with 5,000 tokens and one prompt with only 10 tokens
[01:20:47.680 --> 01:20:53.280]   Of course, you will have a KVCache that is 5,000 tokens in one case and 10 in another case
[01:20:53.280 --> 01:20:57.520]   So the mask, attention mask that we build should take care of this
[01:20:58.400 --> 01:21:03.040]   And the second thing is that each group of tokens should only be able to relate
[01:21:03.040 --> 01:21:09.760]   To the tokens of the same group not to other groups. So not of tokens from another prompt
[01:21:09.760 --> 01:21:14.720]   And this is done with the block diagonal causal mask
[01:21:14.720 --> 01:21:16.880]   So basically we tell him okay
[01:21:16.880 --> 01:21:19.360]   The first prompt is made up of seven tokens
