
[00:00:00.000 --> 00:00:14.720]   I think that worked.
[00:58:20.180 --> 00:58:29.220]   So for that, the main thing that changes is we'll have to define a text generation callback.
[00:58:29.220 --> 00:58:35.980]   And I believe we, I think inside of the book, we have a pseudocode that first does it in
[00:58:35.980 --> 00:58:43.060]   NumPy and then we use the power of Keras.
[00:58:43.060 --> 00:58:51.100]   So to do that, we define a text generator class.
[00:58:51.100 --> 00:58:57.140]   To do that, we define a text generator class, which will take in a prompt, a length that
[00:58:57.140 --> 00:59:04.620]   we want to generate, the input length, temperature and printing frequency.
[00:59:04.620 --> 00:59:10.180]   Printing frequency is a convenience for understanding how is the model being trained.
[00:59:10.180 --> 00:59:16.220]   And now we get introduced with this concept called temperature, which basically defines
[00:59:16.220 --> 00:59:21.580]   how interesting of outputs in your model throughout.
[00:59:21.580 --> 00:59:31.820]   So when you're working with generator models, a higher temperature gives it more creativity.
[00:59:31.820 --> 00:59:39.080]   And a lower temperature gives boring sets of outputs that are always repeated, not as
[00:59:39.080 --> 00:59:42.540]   interesting to look at.
[00:59:42.540 --> 00:59:49.900]   And most of the times they end up getting stuck in the loop.
[00:59:49.900 --> 00:59:56.920]   So now we can, inside of a text gen callback, simply pass in the text generator.
[00:59:56.920 --> 01:00:00.860]   And we can train the model by just using that one callback.
[01:00:00.860 --> 01:00:07.340]   So the key thing that changed here is we've had to define this temperature class, which
[01:00:07.340 --> 01:00:12.260]   will determine how much creative can our model be.
[01:00:12.260 --> 01:00:18.620]   And again, inside of the book, they actually investigate how do these different values
[01:00:18.620 --> 01:00:19.980]   affect the output.
[01:00:19.980 --> 01:00:24.940]   I would encourage you to just download any model, any pre-trained model and actually
[01:00:24.940 --> 01:00:33.460]   look at how does the temperature affect the different outputs that come into play here.
[01:00:33.460 --> 01:00:39.460]   So that's it, I think that's the key part that I wanted to cover in text generation.
[01:00:39.460 --> 01:00:46.340]   Please increase font size, I apologize, let me make sure it's zoomed in this time.
[01:00:46.340 --> 01:00:55.500]   Again, if you're new here, these are from the books repository, word book, it's the
[01:00:55.500 --> 01:01:00.820]   book by Francio Achiolle for the third time today.
[01:01:00.820 --> 01:01:10.180]   So our deep dream is this concept of making very trippy images that came out in 2015.
[01:01:10.180 --> 01:01:12.100]   Let's see if this model got to an output.
[01:01:12.100 --> 01:01:14.100]   No, I don't think it did.
[01:01:14.100 --> 01:01:20.980]   So I won't get to showcase the output here.
[01:01:20.980 --> 01:01:23.380]   I didn't want to do that.
[01:01:23.380 --> 01:01:31.980]   I wanted to go to a new tab and look up deep dream.
[01:01:31.980 --> 01:01:35.500]   We can take a look here.
[01:01:35.500 --> 01:01:45.080]   So deep dream creates these psychedelic images like so that have a lot of eyes and dog like
[01:01:45.080 --> 01:01:52.780]   features in them because dogs are over represented in ImageNet.
[01:01:52.780 --> 01:01:55.900]   This could be one possible output.
[01:01:55.900 --> 01:01:59.540]   And these are done by doing something known as gradient ascent.
[01:01:59.540 --> 01:02:06.020]   So now we're in the opposite territory, exact opposite territory of training models.
[01:02:06.020 --> 01:02:18.500]   With here you try to maximize the activation of entire layers rather than that of filters.
[01:02:18.500 --> 01:02:25.700]   So that allows you to mix visualizations and create these really trippy images.
[01:02:25.700 --> 01:02:29.140]   Again I'm just reading that off of the book.
[01:02:29.140 --> 01:02:34.820]   And I'm also looking at the chapter just trying to make sure if there are any things that
[01:02:34.820 --> 01:02:38.300]   I want to emphasize on.
[01:02:38.300 --> 01:02:44.380]   So here we define or first of all we import inception v3 that will form the backbone of
[01:02:44.380 --> 01:02:45.900]   our mission here.
[01:02:45.900 --> 01:02:51.980]   We'll download this image which was the ghost image that would have gone now since I managed
[01:02:51.980 --> 01:02:54.940]   to reload this image.
[01:02:54.940 --> 01:02:58.940]   Also I'm hoping to whoever commented that this font size is good enough for you.
[01:02:58.940 --> 01:03:01.860]   If it's not I'll again zoom in a bit more.
[01:03:01.860 --> 01:03:04.900]   So here we'll define the layer settings.
[01:03:04.900 --> 01:03:09.260]   These are the layers for which we are trying to maximize the activations.
[01:03:09.260 --> 01:03:13.740]   So mixed 4, mixed 5, mixed 6 and mixed 7.
[01:03:13.740 --> 01:03:21.060]   And we can tweak these values to play around with the visuals quite a bit.
[01:03:21.060 --> 01:03:29.060]   This would be the symbolic outputs and the feature extractor is the model that returns
[01:03:29.060 --> 01:03:36.180]   the activation values for all of the targets.
[01:03:36.180 --> 01:03:40.660]   Here we'll have to define the compute loss like so.
[01:03:40.660 --> 01:03:50.580]   So we'll first of all extract the activations and initialize the loss to zero.
[01:03:50.580 --> 01:03:54.980]   There's one problem if you don't set this correctly which is you'll have artifacts if
[01:03:54.980 --> 01:04:01.700]   you pick along the edges your outputs will start to look like they're from an old PC
[01:04:01.700 --> 01:04:04.580]   that would have these bars coming across.
[01:04:04.580 --> 01:04:17.260]   So to avoid that you only take the images from the middle of the inputs I want to say.
[01:04:17.260 --> 01:04:25.500]   And now we define the gradient ascent process.
[01:04:25.500 --> 01:04:32.700]   So inside of this we'll compute the gradients of deep dream loss with respect to current
[01:04:32.700 --> 01:04:46.860]   image inside of here.
[01:04:46.860 --> 01:04:55.540]   And then we normalize the gradients by calling L2 normalize.
[01:04:55.540 --> 01:05:06.680]   From there we can define a gradient ascent loop which runs this for an entire octave
[01:05:06.680 --> 01:05:12.320]   inside of an image.
[01:05:12.320 --> 01:05:21.100]   And we repeatedly update inside of this loop.
[01:05:21.100 --> 01:05:34.580]   We repeatedly try to minimize the deep dream loss which we had defined just above.
[01:05:34.580 --> 01:05:45.180]   And we break out of this loop if the loss crosses a certain threshold.
[01:05:45.180 --> 01:05:53.460]   So just using these few steps we have defined the gradient ascent loop and the oops I didn't
[01:05:53.460 --> 01:05:59.580]   want to do that gradient ascent loss.
[01:05:59.580 --> 01:06:06.700]   From there we can define some utilities to pre-process the images.
[01:06:06.700 --> 01:06:09.820]   These are quite straightforward so again I'll jump over this.
[01:06:09.820 --> 01:06:18.300]   The next thing we want to do is run this algorithm over successive octaves inside of the image
[01:06:18.300 --> 01:06:21.660]   to generate those trippy outputs.
[01:06:21.660 --> 01:06:28.180]   So we define all of these functions here which take care of these.
[01:06:28.180 --> 01:06:31.580]   Again the code here is quite annotated.
[01:06:31.580 --> 01:06:38.260]   So the key thing to take away inside of deep dream is we define gradient ascent and we
[01:06:38.260 --> 01:06:43.580]   compute the losses over these extracted features.
[01:06:43.580 --> 01:06:49.380]   So first of all we extract the features and then we define a way to compute the deep dream
[01:06:49.380 --> 01:06:56.760]   loss over the feature extractor or the extracted features.
[01:06:56.760 --> 01:07:04.100]   And then we define the gradient ascent process which then allows us to pull out features
[01:07:04.100 --> 01:07:19.700]   from the images and create these super trippy visualizations.
[01:07:19.700 --> 01:07:25.420]   I was hoping I had run this notebook but apparently it has crashed as well.
[01:07:25.420 --> 01:07:38.460]   So let me try to reconnect it and see if I can get it to train real quick.
[01:07:38.460 --> 01:07:50.580]   And of course the other notebook would have disconnected as well.
[01:07:50.580 --> 01:07:57.140]   The next thing we are trying to learn here is apply neural style transfer.
[01:07:57.140 --> 01:08:04.980]   That is a fancy way of saying can we use an existing style of an image and just apply
[01:08:04.980 --> 01:08:07.260]   it to another image.
[01:08:07.260 --> 01:08:10.580]   So can we make an image animated?
[01:08:10.580 --> 01:08:13.580]   Can we make it trippy looking?
[01:08:13.580 --> 01:08:20.540]   Can we just take style of a painter and throw it at another image to make it look like that?
[01:08:20.540 --> 01:08:26.140]   And if yes, how do we do that?
[01:08:26.140 --> 01:08:31.900]   I was hoping I had printed these somewhere but I think I lost that since I didn't save
[01:08:31.900 --> 01:08:32.900]   it.
[01:08:32.900 --> 01:08:40.060]   So the thing we are looking at is we are downloading an image of I think San Francisco and we are
[01:08:40.060 --> 01:08:47.500]   applying the Vincent van Gogh starry night over top of it.
[01:08:47.500 --> 01:08:54.340]   So how do we achieve this process of neural style transfer?
[01:08:54.340 --> 01:09:02.900]   The main thing here is you have a reference image over which you are applying a certain
[01:09:02.900 --> 01:09:04.660]   style.
[01:09:04.660 --> 01:09:17.940]   So that should tell you that if you simply define a loss function that can find a way
[01:09:17.940 --> 01:09:27.120]   to maximize, sorry, loss should be minimized but the resemblance should be maximized.
[01:09:27.120 --> 01:09:33.040]   So we will have two loss components here which will look at the transferred image and also
[01:09:33.040 --> 01:09:37.820]   the original style being applied.
[01:09:37.820 --> 01:09:43.460]   And that is done in the original implementation with the VGG19 backbone.
[01:09:43.460 --> 01:09:48.480]   You are welcome to try with other feature extractors as well.
[01:09:48.480 --> 01:09:57.120]   So use a VGG19 image net backbone and we grab the feature extractor from here.
[01:09:57.120 --> 01:10:10.700]   So now we have two losses which are the content loss and style loss.
[01:10:10.700 --> 01:10:23.100]   So the final loss that we want to minimize becomes a combination of all of these.
[01:10:23.100 --> 01:10:36.680]   So the loss would be the sum of content weight and content loss and style loss would contain
[01:10:36.680 --> 01:10:39.840]   both of these.
[01:10:39.840 --> 01:10:50.020]   And finally the loss becomes a sum of total variation weight multiplied by the total variation
[01:10:50.020 --> 01:10:59.180]   loss over the combination of images and that gets concatenated across all of the input
[01:10:59.180 --> 01:11:04.220]   tensors over which we are trying to compute the loss function.
[01:11:04.220 --> 01:11:13.540]   And then we can simply iterate over this to minimize a combination of both of style losses
[01:11:13.540 --> 01:11:15.800]   and content losses.
[01:11:15.800 --> 01:11:24.440]   So to be able to effectively apply a style to an image we define two different loss components
[01:11:24.440 --> 01:11:32.900]   and we try to define a combination of both of these that allows us to work on these style
[01:11:32.900 --> 01:11:35.640]   transfer applications.
[01:11:35.640 --> 01:11:41.660]   And by minimizing that we are telling the model to bring it closer to style to the original
[01:11:41.660 --> 01:11:49.500]   image and also making sure that it remains comprehensive or it doesn't totally change
[01:11:49.500 --> 01:11:55.680]   the image.
[01:11:55.680 --> 01:12:03.760]   That was an extremely quick rundown of neural style transfer.
[01:12:03.760 --> 01:12:08.180]   The next thing inside of the book is a VAE.
[01:12:08.180 --> 01:12:13.720]   I think this is really well annotated in the book and I really don't have anything to add
[01:12:13.720 --> 01:12:21.600]   here apart from the theoretical definition that I had done and I would say the same for
[01:12:21.600 --> 01:12:23.240]   GANs.
[01:12:23.240 --> 01:12:29.840]   So again I could run through this implementation but what really happens is I have to cover
[01:12:29.840 --> 01:12:35.720]   or recap these minute details inside of these small sessions where we meet every week and
[01:12:35.720 --> 01:12:39.260]   I'm always in this internal debate of trying to understand what should be covered and what
[01:12:39.260 --> 01:12:41.780]   should be skipped.
[01:12:41.780 --> 01:12:47.380]   So the devil is in the details for a lot of these things and GANs are really frustratingly
[01:12:47.380 --> 01:12:50.020]   hard to train.
[01:12:50.020 --> 01:12:54.400]   I would encourage you to really sit down with the implementation and play through it especially
[01:12:54.400 --> 01:12:57.800]   for chapter 12 where I've run through all of the details.
[01:12:57.800 --> 01:13:03.680]   You really understand those by playing around with different values and seeing how those
[01:13:03.680 --> 01:13:04.680]   affect that.
[01:13:04.680 --> 01:13:09.120]   Sometimes your model just wouldn't train because you would forget this one silly thing that
[01:13:09.120 --> 01:13:15.080]   really makes your life easy or super hard at times if you forget it.
[01:13:15.080 --> 01:13:20.120]   And these are the tricks that lie in the implementation details.
[01:13:20.120 --> 01:13:23.960]   So please spend some time going through these collabs.
[01:13:23.960 --> 01:13:31.560]   I don't think I can do justice to them but these are quite short and yet have a lot of
[01:13:31.560 --> 01:13:35.480]   details packed into them.
[01:13:35.480 --> 01:13:41.560]   So for now we've come to the end of the book because we're skipping over chapter 13 and
[01:13:41.560 --> 01:13:42.560]   14.
[01:13:42.560 --> 01:13:47.720]   But like I mentioned earlier, we'll be having at least three more sessions or at least two
[01:13:47.720 --> 01:13:49.400]   more sessions.
[01:13:49.400 --> 01:13:55.960]   I also want to announce a Keras competition today where I invite everyone to submit a
[01:13:55.960 --> 01:13:59.080]   Keras blog or implementation.
[01:13:59.080 --> 01:14:06.840]   The only way to submit is just share your blog on Twitter and use the hashtag #27DaysofKeras
[01:14:06.840 --> 01:14:13.160]   or simply write a blog and tag @SynbiasisOrMe.
[01:14:13.160 --> 01:14:18.760]   The blog could also be for anyone who's been participating earlier if you just explain
[01:14:18.760 --> 01:14:20.880]   any concept at all.
[01:14:20.880 --> 01:14:26.800]   And from today's session, today was very rushed or maybe an earlier session, those are welcomed
[01:14:26.800 --> 01:14:27.800]   as well.
[01:14:27.800 --> 01:14:32.600]   But the idea is your blog should add value.
[01:14:32.600 --> 01:14:38.440]   And for any blog posts that are interesting enough, next week I'll announce the winners
[01:14:38.440 --> 01:14:40.640]   and invite them to present their solution.
[01:14:40.640 --> 01:14:47.280]   The winners will be getting swag and GPU credits if the submission really stands out.
[01:14:47.280 --> 01:14:51.680]   Again we can decide on these details.
[01:14:51.680 --> 01:14:55.760]   We'll announce these details once we have the submissions coming in.
[01:14:55.760 --> 01:15:04.080]   But this is again really a way for weights and biases to encourage all of you to really
[01:15:04.080 --> 01:15:10.560]   have a go at Keras and make sure you get started in your journey of sharing your learnings.
[01:15:10.560 --> 01:15:16.140]   Once you're done with all of this, and hopefully you've read through the book, you should go
[01:15:16.140 --> 01:15:18.280]   back and watch the AMA.
[01:15:18.280 --> 01:15:25.080]   I've learned with really successful people, they give out so much information in one minute
[01:15:25.080 --> 01:15:28.960]   that just listening to it multiple times really helps you.
[01:15:28.960 --> 01:15:34.400]   Personally, I've gone back to the podcast that I have recorded the episodes many times
[01:15:34.400 --> 01:15:37.040]   and learned many new things.
[01:15:37.040 --> 01:15:38.240]   Same for fast day lectures.
[01:15:38.240 --> 01:15:43.280]   I believe there was a lot of depth to the questions answered by Francois and I would
[01:15:43.280 --> 01:15:46.160]   request you to go back to that.
[01:15:46.160 --> 01:15:49.240]   So now we've come to an end of the book.
[01:15:49.240 --> 01:15:52.560]   But I think we're just starting our Keras journey.
[01:15:52.560 --> 01:15:58.720]   If at all, anything that I have covered would just leave you in some confusion and you'll
[01:15:58.720 --> 01:16:02.160]   be spending more time just learning this stuff.
[01:16:02.160 --> 01:16:08.840]   We'll still meet, not on Saturday for the workshops I mentioned, but we'll be hosting
[01:16:08.840 --> 01:16:15.200]   a Hugging Face workshop with Moor who is absolutely incredible.
[01:16:15.200 --> 01:16:20.560]   And we'll also be hosting Akash Nain hopefully to learn about the Keras API.
[01:16:20.560 --> 01:16:30.400]   I have another person from the Keras world, whom I'll announce real soon if they confirm.
[01:16:30.400 --> 01:16:36.240]   So we have two or three sessions planned and I want to invite everyone to write blog posts
[01:16:36.240 --> 01:16:38.400]   as a part of a competition.
[01:16:38.400 --> 01:16:44.680]   And the best submissions will be invited next week just to present what they have learned.
[01:16:44.680 --> 01:16:50.720]   And of course, to give you recognition, we'll be sending swag over to you or even credits
[01:16:50.720 --> 01:16:55.240]   if the submission is really exceptional.
[01:16:55.240 --> 01:16:59.440]   I really want to thank everyone for making this journey so awesome.
[01:16:59.440 --> 01:17:06.560]   This book is one of the most fluid books in a way where you can really sit down and go
[01:17:06.560 --> 01:17:12.920]   through it in a sequential order without your brain getting fried as it does with technical
[01:17:12.920 --> 01:17:13.920]   books.
[01:17:13.920 --> 01:17:20.000]   And if that happened to you, I just get so derailed after reading two or three chapters.
[01:17:20.000 --> 01:17:24.800]   This is one of those books that I feel I can sit down and read in one go if I had 50 hours
[01:17:24.800 --> 01:17:25.800]   in my day.
[01:17:25.800 --> 01:17:27.680]   I'm a bit slow at reading.
[01:17:27.680 --> 01:17:31.280]   But thank you everyone for joining all of these sessions.
[01:17:31.280 --> 01:17:34.800]   Or if you're new here, I would request you to watch all of these recordings.
[01:17:34.800 --> 01:17:39.280]   We have as a group completed this book.
[01:17:39.280 --> 01:17:45.200]   But again, if you're new to Keras, I think really this is the start of your Keras journey
[01:17:45.200 --> 01:17:48.280]   and we all have a lot of work to do there.
[01:17:48.280 --> 01:17:54.560]   So thank you again, everyone who's been joining these sessions and I'll be seeing you next
[01:17:54.560 --> 01:17:56.680]   week if we have submissions coming in.
[01:17:56.680 --> 01:18:01.960]   If not, we'll announce whenever we are hosting any workshop, the ones that mention or any
[01:18:01.960 --> 01:18:03.840]   guest lectures.
[01:18:03.840 --> 01:18:06.200]   And I would love to see you there.
[01:18:06.200 --> 01:18:08.280]   So thank you so much for joining all of these sessions.
[01:18:08.280 --> 01:18:14.480]   And I would also request you all to really thank Franscho for writing this incredible
[01:18:14.480 --> 01:18:16.200]   book.
[01:18:16.200 --> 01:18:20.600]   My contribution or Fritz and Bias's contribution was to basically create a reading group around
[01:18:20.600 --> 01:18:21.600]   it.
[01:18:21.600 --> 01:18:25.880]   But it's all thanks to him for writing this book and also creating one of the first deep
[01:18:25.880 --> 01:18:29.160]   learning frameworks.
[01:18:29.160 --> 01:18:32.400]   That's the end of my TEDx talk.
[01:18:32.400 --> 01:18:36.000]   But thanks everyone for joining and look out for an email.
[01:18:36.000 --> 01:18:39.640]   Please consider submitting to the competition.
[01:18:39.640 --> 01:18:43.720]   If you'd like to present your work, I'd love to invite you next week.
[01:18:43.720 --> 01:18:49.600]   If not, just keep an eye out and we'll send over the details for the workshops or future
[01:18:49.600 --> 01:18:53.440]   Keras meetings.
[01:18:53.440 --> 01:18:57.040]   Thank you for going through this book together with us.

