
[00:00:00.000 --> 00:00:00.840]   I'm Josh Tobin.
[00:34:59.500 --> 00:35:02.660]   but the one that you already know works pretty well is like
[00:35:02.660 --> 00:35:05.380]   actually making the decisions, but then the new one,
[00:35:05.380 --> 00:35:06.420]   like sort of the,
[00:35:06.420 --> 00:35:08.840]   the prototype model is there alongside it.
[00:35:08.840 --> 00:35:10.580]   And you're comparing the predictions and then you can go
[00:35:10.580 --> 00:35:13.700]   back and analyze those and say, all right, for, you know,
[00:35:13.700 --> 00:35:17.420]   for these hundred or thousands of miles of driving,
[00:35:17.420 --> 00:35:20.140]   like how many mistakes did this model make?
[00:35:20.140 --> 00:35:22.020]   And then you can be more confident that in a production
[00:35:22.020 --> 00:35:22.860]   setting,
[00:35:22.860 --> 00:35:23.980]   the model is going to perform the way that you expect it to
[00:35:23.980 --> 00:35:24.820]   perform.
[00:35:24.820 --> 00:35:33.740]   All right.
[00:35:33.740 --> 00:35:35.800]   So in addition to choosing a metric,
[00:35:35.800 --> 00:35:38.080]   there's this other concept of a baseline.
[00:35:38.080 --> 00:35:39.780]   And what a baseline is,
[00:35:39.780 --> 00:35:43.360]   is it some kind of measure of what performance you can
[00:35:43.360 --> 00:35:45.720]   expect your model to be able to achieve.
[00:35:45.720 --> 00:35:46.620]   So it's a,
[00:35:46.620 --> 00:35:50.040]   it's really like a lower bound on the expected performance
[00:35:50.040 --> 00:35:51.140]   of your model.
[00:35:51.140 --> 00:35:52.940]   And we talked a little bit about why this is important.
[00:35:52.940 --> 00:35:55.600]   So, you know, two different learning curves or sorry,
[00:35:55.600 --> 00:35:57.200]   two of the same learning curves, right?
[00:35:57.200 --> 00:36:00.100]   So our validation score and our training score,
[00:36:00.100 --> 00:36:01.200]   but different baselines, right?
[00:36:01.200 --> 00:36:04.780]   So different values for what human performance is.
[00:36:04.780 --> 00:36:05.620]   So on the left,
[00:36:05.620 --> 00:36:09.240]   human performance is like 36 or 37%.
[00:36:09.240 --> 00:36:10.260]   In that chart, you know,
[00:36:10.260 --> 00:36:13.260]   our training areas is kind of exactly hitting human
[00:36:13.260 --> 00:36:14.100]   performance.
[00:36:14.100 --> 00:36:16.620]   So, but our validation score is much higher.
[00:36:16.620 --> 00:36:19.280]   And so in that type of setting, we would say, well,
[00:36:19.280 --> 00:36:22.400]   we're we're actually overfitting to our training set,
[00:36:22.400 --> 00:36:25.520]   but in the scenario on the right where human performance is
[00:36:25.520 --> 00:36:27.940]   close to 20%,
[00:36:27.940 --> 00:36:29.460]   your, our training error is actually very,
[00:36:29.460 --> 00:36:32.540]   very far off from what we might expect human performance to
[00:36:32.540 --> 00:36:33.380]   be.
[00:36:33.380 --> 00:36:35.660]   So in this situation, we're overfitting.
[00:36:35.660 --> 00:36:37.820]   And the interventions that you would have for your model in
[00:36:37.820 --> 00:36:40.360]   those two scenarios are very different.
[00:36:40.360 --> 00:36:42.040]   So the, you know, the same model,
[00:36:42.040 --> 00:36:44.940]   but a different baseline implies different next steps.
[00:36:44.940 --> 00:36:47.440]   And so that's why it's important to pick a good baseline.
[00:36:47.440 --> 00:36:50.260]   And the, the,
[00:36:50.260 --> 00:36:51.720]   the better the performance of your baseline,
[00:36:51.720 --> 00:36:54.160]   the more useful it is for doing this type of thing.
[00:36:54.160 --> 00:36:55.880]   Yeah.
[00:36:55.880 --> 00:36:58.300]   (indistinct)
[00:37:02.700 --> 00:37:03.900]   Yes.
[00:37:03.900 --> 00:37:04.740]   Yeah, exactly.
[00:37:04.740 --> 00:37:05.560]   So the question is,
[00:37:05.560 --> 00:37:07.020]   wouldn't you want your model to do better than human
[00:37:07.020 --> 00:37:07.960]   performance?
[00:37:07.960 --> 00:37:09.700]   In many cases, yes.
[00:37:09.700 --> 00:37:12.300]   Cause that's why this is a lower bound on the expected
[00:37:12.300 --> 00:37:13.140]   performance.
[00:37:13.140 --> 00:37:15.260]   This is more a tool when you're still in the regime of like
[00:37:15.260 --> 00:37:16.980]   trying to hit human performance.
[00:37:16.980 --> 00:37:18.380]   Once you get past human performance,
[00:37:18.380 --> 00:37:21.100]   then your baseline might be your previous best model or
[00:37:21.100 --> 00:37:22.100]   something like that.
[00:37:22.100 --> 00:37:26.080]   (indistinct)
[00:37:26.080 --> 00:37:30.680]   Yeah.
[00:37:30.680 --> 00:37:33.100]   (indistinct)
[00:37:33.100 --> 00:37:37.380]   So, sorry, I didn't understand the question.
[00:37:37.380 --> 00:37:38.780]   How do you get more data?
[00:37:38.780 --> 00:37:41.200]   (indistinct)
[00:37:41.200 --> 00:37:48.340]   I see.
[00:37:48.340 --> 00:37:49.380]   So how do you do better than,
[00:37:49.380 --> 00:37:50.860]   so if your labels are coming from humans,
[00:37:50.860 --> 00:37:52.820]   then how do you beat your labels?
[00:37:52.820 --> 00:37:53.660]   It's hard.
[00:37:53.660 --> 00:37:56.180]   One thing that can work is, you know,
[00:37:56.180 --> 00:37:58.500]   oftentimes when people say they're doing better than humans,
[00:37:58.500 --> 00:38:00.020]   they, what they really mean is they're doing better than a
[00:38:00.020 --> 00:38:00.860]   single human.
[00:38:00.860 --> 00:38:06.340]   So you see this a lot in like in these like medical papers
[00:38:06.340 --> 00:38:07.580]   is, you know, the,
[00:38:07.580 --> 00:38:10.140]   the ground truth score that they get is an ensemble of
[00:38:10.140 --> 00:38:10.960]   humans.
[00:38:10.960 --> 00:38:14.900]   So they have 10 experts say, you know, does this is,
[00:38:14.900 --> 00:38:16.140]   is the cancer in this,
[00:38:16.140 --> 00:38:18.820]   in this image pulling it or something like that.
[00:38:18.820 --> 00:38:21.500]   And then they take the average of those 10 experts.
[00:38:21.500 --> 00:38:23.680]   And then, but then when they say they beat humans,
[00:38:23.680 --> 00:38:26.860]   that means that they beat a single average expert.
[00:38:27.820 --> 00:38:30.240]   (indistinct)
[00:38:30.240 --> 00:38:37.580]   There are a lot of different places to get baselines.
[00:38:37.580 --> 00:38:39.260]   These can kind of come from,
[00:38:39.260 --> 00:38:41.420]   from, you know,
[00:38:41.420 --> 00:38:43.660]   from outside of the machine learning team.
[00:38:43.660 --> 00:38:44.780]   So like, you know,
[00:38:44.780 --> 00:38:45.920]   engineering team might say like,
[00:38:45.920 --> 00:38:49.160]   we need this to run in this specific,
[00:38:49.160 --> 00:38:51.380]   like kind of latency to run in real time,
[00:38:51.380 --> 00:38:53.660]   or you can look at papers to get that.
[00:38:53.660 --> 00:38:55.660]   But oftentimes like the best thing to do is actually build
[00:38:55.660 --> 00:38:56.520]   your own baseline.
[00:38:56.520 --> 00:38:59.500]   And so that can be human performance.
[00:38:59.500 --> 00:39:02.380]   It can also be just be like a simple linear regression model
[00:39:02.380 --> 00:39:04.220]   or it can also be a scripted baseline,
[00:39:04.220 --> 00:39:05.920]   something like an open CV script.
[00:39:05.920 --> 00:39:08.260]   And I'll just tell you a little story about that.
[00:39:08.260 --> 00:39:10.820]   I can't remember if I told this in the lecture or not,
[00:39:10.820 --> 00:39:12.420]   but I did.
[00:39:12.420 --> 00:39:13.820]   Okay. I'll skip it then.
[00:39:13.820 --> 00:39:16.800]   But, but the story is basically like the first month or so
[00:39:16.800 --> 00:39:19.700]   of the Dota project, the best engineer on the team,
[00:39:19.700 --> 00:39:21.060]   basically spent the entire time,
[00:39:21.060 --> 00:39:23.320]   like not doing any machine learning training at all.
[00:39:23.320 --> 00:39:24.500]   Just like trying to beat,
[00:39:24.500 --> 00:39:27.740]   like trying to build a really, really good scripted Dota bot
[00:39:27.740 --> 00:39:28.820]   that can, you know,
[00:39:28.820 --> 00:39:32.500]   because the built-in bots in the game were pretty bad.
[00:39:32.500 --> 00:39:34.940]   And so he ended up over the course of a month building,
[00:39:34.940 --> 00:39:36.700]   you know, the best Dota bot in history
[00:39:36.700 --> 00:39:38.660]   at that point actually.
[00:39:38.660 --> 00:39:39.580]   But you know,
[00:39:39.580 --> 00:39:40.700]   the machine learning bot beat it
[00:39:40.700 --> 00:39:41.860]   within another month of that.
[00:39:41.860 --> 00:39:43.260]   So, but it just,
[00:39:43.260 --> 00:39:45.100]   I think illustrates the importance of,
[00:39:45.100 --> 00:39:46.940]   of having a good baseline that,
[00:39:46.940 --> 00:39:49.420]   that he invested that time in building that bot.
[00:39:50.080 --> 00:39:52.240]   (silence)
[00:39:52.240 --> 00:39:55.540]   Okay. Yeah.
[00:39:55.540 --> 00:39:56.360]   So, so to summarize, you know,
[00:39:56.360 --> 00:39:59.180]   when you're planning and choosing a project, you know,
[00:39:59.180 --> 00:40:00.540]   there's a few different steps that you follow.
[00:40:00.540 --> 00:40:03.620]   You first figure out what the goals of that project are.
[00:40:03.620 --> 00:40:05.420]   You pick a project.
[00:40:05.420 --> 00:40:07.860]   Then you choose what metric you're going to optimize,
[00:40:07.860 --> 00:40:09.540]   at least initially on the project.
[00:40:09.540 --> 00:40:10.660]   And then you, you know,
[00:40:10.660 --> 00:40:13.300]   pick some baseline and you evaluate it to get a sense of
[00:40:13.300 --> 00:40:15.700]   what performance you can expect to try to beat.
[00:40:15.700 --> 00:40:18.460]   And then finally you have to, to set up your code base.
[00:40:18.460 --> 00:40:20.820]   And I'll talk, I'll go into a little bit more detail on
[00:40:20.820 --> 00:40:23.480]   code base setup in a few minutes.
[00:40:23.480 --> 00:40:28.900]   All right. Any other questions on this lecture?
[00:40:28.900 --> 00:40:31.260]   Yeah.
[00:40:31.260 --> 00:40:37.800]   (indistinct)
[00:40:37.800 --> 00:40:47.460]   So, so the question is how is the code base setup
[00:40:47.460 --> 00:40:49.740]   after evaluating choosing metrics?
[00:40:49.740 --> 00:40:52.180]   Usually like when I say choosing metrics,
[00:40:52.180 --> 00:40:55.220]   it's kind of like looking at your problem and saying,
[00:40:55.220 --> 00:40:56.700]   you know, okay, is this like,
[00:40:56.700 --> 00:40:58.140]   is this a place where we use, you know,
[00:40:58.140 --> 00:41:00.220]   mean average error or mean squared error?
[00:41:00.220 --> 00:41:01.700]   And so you can often just kind of do that
[00:41:01.700 --> 00:41:03.060]   by thinking about it.
[00:41:03.060 --> 00:41:06.060]   And also often like you'll have some sort of hacky scripts
[00:41:06.060 --> 00:41:08.220]   that you can use to start training things before you really
[00:41:08.220 --> 00:41:09.620]   invest in a code base that a lot of people
[00:41:09.620 --> 00:41:10.660]   can work together on.
[00:41:10.660 --> 00:41:15.260]   Yeah.
[00:41:15.260 --> 00:41:17.680]   (indistinct)
[00:41:17.680 --> 00:41:26.260]   Yeah, I think, so the question is how do you justify
[00:41:26.260 --> 00:41:28.240]   spending the time on building a bot?
[00:41:28.240 --> 00:41:30.220]   I think they just kind of felt like the bots that were
[00:41:30.220 --> 00:41:34.180]   built into Dodo were so pitiful that they, you know,
[00:41:34.180 --> 00:41:35.820]   they, they didn't feel like if they beat them,
[00:41:35.820 --> 00:41:39.360]   that would really be indicative of any sort of like,
[00:41:39.360 --> 00:41:40.700]   you know, performance.
[00:41:40.700 --> 00:41:43.200]   And so they wanted something where they know if you beat it,
[00:41:43.200 --> 00:41:45.540]   then your model is learning something intelligent.
[00:41:45.540 --> 00:41:50.020]   Yeah.
[00:41:50.020 --> 00:41:52.440]   (indistinct)
[00:41:52.440 --> 00:42:02.860]   Yeah, I would say, you know,
[00:42:02.860 --> 00:42:04.680]   like almost everything else in machine learning,
[00:42:04.680 --> 00:42:05.540]   it can be iterative.
[00:42:05.540 --> 00:42:07.320]   So maybe when you first start on your project,
[00:42:07.320 --> 00:42:09.800]   you just use a linear regression,
[00:42:09.800 --> 00:42:11.200]   but the more,
[00:42:11.200 --> 00:42:13.300]   the better their performance of your baseline,
[00:42:13.300 --> 00:42:14.760]   the more useful it is to you.
[00:42:14.760 --> 00:42:18.260]   Because if the performance, if you know,
[00:42:18.260 --> 00:42:20.460]   you get a baseline that has,
[00:42:20.460 --> 00:42:23.620]   has better performance, then that means that, you know,
[00:42:23.620 --> 00:42:25.460]   that means that there's a bigger gap between your model
[00:42:25.460 --> 00:42:26.700]   and what you can expect it to do.
[00:42:26.700 --> 00:42:27.760]   And so that tells you,
[00:42:27.760 --> 00:42:29.660]   that gives you a better sense of how well you can expect
[00:42:29.660 --> 00:42:30.560]   your models to do.
[00:42:30.560 --> 00:42:34.780]   Yeah.
[00:42:34.780 --> 00:42:37.200]   (indistinct)
[00:42:37.200 --> 00:42:39.700]   - The timeline for the class is,
[00:42:39.700 --> 00:42:40.940]   it seems like maybe there's more to do
[00:42:40.940 --> 00:42:42.600]   to build a baseline.
[00:42:42.600 --> 00:42:44.940]   And it seems like, I don't know,
[00:42:44.940 --> 00:42:46.100]   it seems like a really short time,
[00:42:46.100 --> 00:42:47.820]   and I'm wondering how that, you know,
[00:42:47.820 --> 00:42:49.940]   might contribute to the rest of the project.
[00:42:49.940 --> 00:42:50.780]   - Yeah.
[00:42:50.780 --> 00:42:51.860]   - It's been a long time, you know,
[00:42:51.860 --> 00:42:52.840]   trying to build a baseline.
[00:42:52.840 --> 00:42:53.980]   - Totally.
[00:42:53.980 --> 00:42:55.460]   Yeah, it is,
[00:42:55.460 --> 00:42:57.580]   the question is about the timeline of the projects.
[00:42:57.580 --> 00:42:59.600]   It is a very tight timeline,
[00:42:59.600 --> 00:43:01.700]   but I think it's more than enough time to kind of,
[00:43:01.700 --> 00:43:03.620]   to build a cool machine learning project.
[00:43:03.620 --> 00:43:05.640]   And yeah, I think it does,
[00:43:05.640 --> 00:43:06.900]   I think it very much should influence
[00:43:06.900 --> 00:43:08.300]   the choice of projects that you make.
[00:43:08.300 --> 00:43:11.060]   And so one thing that we'll ask you to do,
[00:43:11.060 --> 00:43:12.100]   not this week, but next week,
[00:43:12.100 --> 00:43:13.900]   is to put together a project proposal.
[00:43:13.900 --> 00:43:15.500]   And then I'll kind of give you feedback
[00:43:15.500 --> 00:43:17.260]   on whether it seems like it's, you know,
[00:43:17.260 --> 00:43:19.960]   feasible to achieve within the timeframe.
[00:43:19.960 --> 00:43:21.780]   Mm-hmm.
[00:43:21.780 --> 00:43:24.200]   (indistinct)
[00:43:24.200 --> 00:43:32.420]   Yeah.
[00:43:32.420 --> 00:43:34.840]   (indistinct)
[00:43:34.840 --> 00:43:37.260]   (indistinct)
[00:43:37.260 --> 00:43:43.980]   Yeah, so it was the question,
[00:43:43.980 --> 00:43:45.660]   sometimes people choose randomly as a baseline,
[00:43:45.660 --> 00:43:46.820]   and why would you do that
[00:43:46.820 --> 00:43:49.220]   as opposed to something like regression?
[00:43:49.220 --> 00:43:51.640]   (indistinct)
[00:43:51.640 --> 00:43:56.660]   Yeah, I think,
[00:43:56.660 --> 00:43:59.100]   so sometimes these like really naive baselines
[00:43:59.100 --> 00:44:00.400]   are the best you can get.
[00:44:00.400 --> 00:44:02.700]   And sometimes, you know,
[00:44:02.700 --> 00:44:04.100]   if you have bugs in your machine learning system,
[00:44:04.100 --> 00:44:05.460]   you won't even beat them.
[00:44:05.460 --> 00:44:07.020]   So I remember actually like one time,
[00:44:07.020 --> 00:44:08.100]   spending a really long time
[00:44:08.100 --> 00:44:09.100]   trying to figure out why my model
[00:44:09.100 --> 00:44:09.940]   wasn't performing that well.
[00:44:09.940 --> 00:44:12.140]   And then I compared it to the average
[00:44:12.140 --> 00:44:13.900]   of the outputs of the model,
[00:44:13.900 --> 00:44:15.620]   and I actually wasn't beating that.
[00:44:15.620 --> 00:44:17.420]   So I was very confident,
[00:44:17.420 --> 00:44:18.780]   but I had a bug after that.
[00:44:18.780 --> 00:44:26.540]   All right, the next thing I wanna talk about
[00:44:26.540 --> 00:44:28.620]   is how to think about what types
[00:44:28.620 --> 00:44:31.780]   of machine learning problems are easy and hard.
[00:44:32.780 --> 00:44:37.020]   And so the first thing to say here is,
[00:44:37.020 --> 00:44:40.100]   you know, there's a long and illustrious history
[00:44:40.100 --> 00:44:42.820]   of people getting this very, very wrong.
[00:44:42.820 --> 00:44:47.020]   So this is a quote from the New York Times
[00:44:47.020 --> 00:44:48.900]   about how long it was gonna take humans
[00:44:48.900 --> 00:44:50.900]   to beat the best players in Go, right?
[00:44:50.900 --> 00:44:53.160]   So this is right after Deep Blue.
[00:44:53.160 --> 00:44:55.120]   So right after AI beat humans in chess.
[00:44:55.120 --> 00:44:59.360]   And, you know, contrast that with this headline
[00:44:59.360 --> 00:45:00.860]   from less than 20 years later.
[00:45:01.860 --> 00:45:04.180]   About, you know, DeepMind actually finally beating
[00:45:04.180 --> 00:45:05.740]   the best humans in Go, right?
[00:45:05.740 --> 00:45:07.460]   And so this is like one of many, many examples
[00:45:07.460 --> 00:45:10.220]   of how difficult it is to figure out
[00:45:10.220 --> 00:45:12.020]   what machine, like what AI problems
[00:45:12.020 --> 00:45:13.260]   in general are difficult.
[00:45:13.260 --> 00:45:16.340]   And so, you know, all of this is said
[00:45:16.340 --> 00:45:19.900]   with that in mind,
[00:45:19.900 --> 00:45:21.660]   that like this is all just a guess.
[00:45:21.660 --> 00:45:25.460]   But, you know, I think that we can confidently say
[00:45:25.460 --> 00:45:27.300]   that there are some things that are still hard
[00:45:27.300 --> 00:45:30.540]   to do in production right now in machine learning.
[00:45:30.540 --> 00:45:32.740]   And so a couple of those things are anything
[00:45:32.740 --> 00:45:34.180]   that's not supervised learning.
[00:45:34.180 --> 00:45:36.980]   So unsupervised learning, reinforcement learning,
[00:45:36.980 --> 00:45:39.540]   both of these things are extremely promising
[00:45:39.540 --> 00:45:41.340]   research directions, and there are a couple
[00:45:41.340 --> 00:45:44.340]   of use cases for them in production right now,
[00:45:44.340 --> 00:45:47.180]   but generally speaking, they're showing promise
[00:45:47.180 --> 00:45:49.980]   in kind of more limited domains and places
[00:45:49.980 --> 00:45:52.780]   where you have a ton of data available.
[00:45:52.780 --> 00:45:55.500]   So I would say, you know, as a rule of thumb,
[00:45:55.500 --> 00:45:57.340]   applications of unsupervised learning
[00:45:57.340 --> 00:45:59.300]   and reinforcement learning with a couple of exceptions
[00:45:59.300 --> 00:46:01.780]   are sort of not quite ready for primetime yet.
[00:46:01.780 --> 00:46:06.700]   But what about within supervised learning?
[00:46:06.700 --> 00:46:08.500]   Actually, I kind of want to just,
[00:46:08.500 --> 00:46:09.380]   I want to crowdsource this.
[00:46:09.380 --> 00:46:12.500]   So like, can anyone think of examples of problems
[00:46:12.500 --> 00:46:14.420]   where, you know, it's a supervised learning problem,
[00:46:14.420 --> 00:46:15.980]   but we still, like machines can't,
[00:46:15.980 --> 00:46:17.500]   still can't perform very well on them.
[00:46:17.500 --> 00:46:19.540]   You know, it's like, let's say that we still can't
[00:46:19.540 --> 00:46:20.900]   do nearly as well as humans.
[00:46:20.900 --> 00:46:23.020]   Yeah.
[00:46:23.020 --> 00:46:25.660]   Document summarization.
[00:46:25.660 --> 00:46:26.860]   Yep, that's a great one.
[00:46:27.860 --> 00:46:28.700]   Yeah.
[00:46:28.700 --> 00:46:31.340]   Can you be more specific?
[00:46:31.340 --> 00:46:38.620]   Yeah, detection of diseases from lab results and x-rays.
[00:46:38.620 --> 00:46:41.140]   Yeah, I mean, there are some specific medical applications
[00:46:41.140 --> 00:46:43.660]   where people now are claiming that AI does better
[00:46:43.660 --> 00:46:44.500]   than doctors.
[00:46:44.500 --> 00:46:45.940]   Most of those are things like radiology,
[00:46:45.940 --> 00:46:47.300]   where they're just kind of inferring something
[00:46:47.300 --> 00:46:49.140]   from an image, but the more general problem
[00:46:49.140 --> 00:46:50.940]   of like looking at all of someone's clinical data
[00:46:50.940 --> 00:46:53.580]   and determining what disease they have
[00:46:53.580 --> 00:46:56.140]   or what action should be taken is very much uncertain.
[00:46:56.140 --> 00:46:58.180]   It's very much unsolved still.
[00:46:58.180 --> 00:47:01.500]   Yeah.
[00:47:01.500 --> 00:47:02.340]   - Grasping objects.
[00:47:02.340 --> 00:47:03.220]   - Grasping objects, yeah.
[00:47:03.220 --> 00:47:06.420]   This is a great one because I spent a lot of time
[00:47:06.420 --> 00:47:08.700]   working on this in my PhD.
[00:47:08.700 --> 00:47:10.860]   Yeah, I was actually, this is actually really surprising
[00:47:10.860 --> 00:47:13.260]   to me when I started working in robotics.
[00:47:13.260 --> 00:47:14.820]   One of the really surprising things about robotics
[00:47:14.820 --> 00:47:18.260]   is that like, you know, you can, like,
[00:47:18.260 --> 00:47:20.460]   all of the questions that a five-year-old can ask
[00:47:20.460 --> 00:47:23.020]   are still, and can solve, are still unsolved.
[00:47:24.260 --> 00:47:26.900]   It's one of the fun things about working in robotics.
[00:47:26.900 --> 00:47:31.220]   - It requires a lot of data.
[00:47:31.220 --> 00:47:33.100]   - Yeah, sure, if anything requires a lot of data,
[00:47:33.100 --> 00:47:34.940]   then it's still very difficult, yeah.
[00:47:34.940 --> 00:47:36.980]   Mm-hmm.
[00:47:36.980 --> 00:47:38.460]   - I think the data is a problem,
[00:47:38.460 --> 00:47:42.500]   so any kind of interpolation questions,
[00:47:42.500 --> 00:47:46.420]   so your data kind of covers the domain
[00:47:46.420 --> 00:47:48.540]   of the problem that you're trying to solve,
[00:47:48.540 --> 00:47:50.460]   then superlatively it works well,
[00:47:50.460 --> 00:47:53.660]   but if you have to start explaining,
[00:47:53.660 --> 00:47:54.500]   - Yeah.
[00:47:54.500 --> 00:47:56.060]   - Or if your data has,
[00:47:56.060 --> 00:48:00.020]   cannot cover all the domains that you have,
[00:48:00.020 --> 00:48:03.500]   then the problem becomes pretty hard.
[00:48:03.500 --> 00:48:04.780]   - Yeah, I think that's right.
[00:48:04.780 --> 00:48:08.980]   So the idea was anytime you need to extrapolate
[00:48:08.980 --> 00:48:11.660]   from your data, so you need to answer some question
[00:48:11.660 --> 00:48:14.420]   that's not kind of explicitly present in your data,
[00:48:14.420 --> 00:48:17.500]   generally supervised learning does not work for those things.
[00:48:17.500 --> 00:48:22.660]   I'll list some things that I came up with.
[00:48:22.660 --> 00:48:26.060]   Answering questions is still very hard.
[00:48:26.060 --> 00:48:28.140]   Summarizing text was mentioned.
[00:48:28.140 --> 00:48:31.540]   Predicting video, so you see some sequences of video frame
[00:48:31.540 --> 00:48:34.580]   and you need to decide what the next one's gonna look like.
[00:48:34.580 --> 00:48:36.300]   Building 3D models of the world.
[00:48:36.300 --> 00:48:37.820]   This one I think is pretty surprising actually,
[00:48:37.820 --> 00:48:40.380]   but actually traditional computer vision
[00:48:40.380 --> 00:48:41.580]   is still better than deep learning
[00:48:41.580 --> 00:48:45.040]   at kind of understanding 3D structure of the environment.
[00:48:45.040 --> 00:48:48.660]   Speech recognition in the real world.
[00:48:48.660 --> 00:48:50.820]   There's a lot of amazing kind of academic results
[00:48:50.820 --> 00:48:54.300]   in speech recognition, but understanding,
[00:48:54.300 --> 00:48:57.740]   like doing voice to text in crowded environments
[00:48:57.740 --> 00:48:58.860]   over the phone and things like that
[00:48:58.860 --> 00:49:00.580]   are still extremely difficult.
[00:49:00.580 --> 00:49:03.280]   Resisting adversarial examples.
[00:49:03.280 --> 00:49:05.680]   How many are familiar with adversarial examples?
[00:49:05.680 --> 00:49:08.860]   Okay, most are familiar.
[00:49:08.860 --> 00:49:11.620]   Adversarial examples, essentially the idea is
[00:49:11.620 --> 00:49:15.060]   you can take an image classifier
[00:49:15.060 --> 00:49:16.860]   that does really, really well,
[00:49:16.860 --> 00:49:18.820]   and then you can create an image
[00:49:19.800 --> 00:49:21.840]   that looks identical to us,
[00:49:21.840 --> 00:49:23.880]   but completely fools the classifier.
[00:49:23.880 --> 00:49:25.580]   And there's a very simple procedure to do that
[00:49:25.580 --> 00:49:28.800]   that involves just kind of like backpropagating the error
[00:49:28.800 --> 00:49:33.280]   from that image and adjusting the pixel values of the image
[00:49:33.280 --> 00:49:35.160]   by some extremely small value.
[00:49:35.160 --> 00:49:36.740]   And so when you look at it as a human,
[00:49:36.740 --> 00:49:38.940]   it looks exactly the same, but for some reason,
[00:49:38.940 --> 00:49:40.380]   the machine is confused by it.
[00:49:40.380 --> 00:49:45.380]   And so this is kind of like a challenging thing
[00:49:45.380 --> 00:49:48.360]   for like if you think that, you know,
[00:49:48.360 --> 00:49:50.520]   if you're worried about people kind of hacking
[00:49:50.520 --> 00:49:53.120]   deep learning systems in the real world.
[00:49:53.120 --> 00:49:56.640]   Doing math, which is funny, right?
[00:49:56.640 --> 00:49:57.600]   Computers are great at math,
[00:49:57.600 --> 00:50:00.200]   but like there are a lot of really interesting results
[00:50:00.200 --> 00:50:03.300]   of people training recurrent neural networks to add numbers
[00:50:03.300 --> 00:50:05.080]   and then seeing that they don't generalize
[00:50:05.080 --> 00:50:07.140]   even when you just add a couple more digits
[00:50:07.140 --> 00:50:07.980]   to the end of it.
[00:50:07.980 --> 00:50:11.840]   Solving word puzzles, like kind of, you know,
[00:50:11.840 --> 00:50:14.760]   the type that you might've seen in lower school
[00:50:14.760 --> 00:50:15.600]   or middle school.
[00:50:17.260 --> 00:50:19.600]   Bongard problems, I'll show you what those are.
[00:50:19.600 --> 00:50:21.620]   This is kind of like visual analogy problems,
[00:50:21.620 --> 00:50:23.060]   visual reasoning problems.
[00:50:23.060 --> 00:50:25.760]   So you have, you know, shapes on two different sizes
[00:50:25.760 --> 00:50:28.860]   or on two sides, and the goal is to kind of see
[00:50:28.860 --> 00:50:31.540]   what facet of the shapes is different
[00:50:31.540 --> 00:50:33.380]   between the examples on one side or the other.
[00:50:33.380 --> 00:50:35.160]   So the ones on the right are,
[00:50:35.160 --> 00:50:38.040]   the ones on the left are convex
[00:50:38.040 --> 00:50:40.300]   and the ones on the right are not.
[00:50:40.300 --> 00:50:42.880]   This is still not solvable by neural nets.
[00:50:46.060 --> 00:50:48.500]   Okay, so let's try to categorize these
[00:50:48.500 --> 00:50:50.220]   and understand a little bit about, you know,
[00:50:50.220 --> 00:50:52.540]   what makes these problems more difficult
[00:50:52.540 --> 00:50:54.580]   than things that we do know how to do well.
[00:50:54.580 --> 00:50:58.500]   So I think, the way I think about it
[00:50:58.500 --> 00:51:00.340]   is that there are a few different types of problems
[00:51:00.340 --> 00:51:02.020]   that tend to be really hard.
[00:51:02.020 --> 00:51:05.660]   The first is if the output itself is very complex.
[00:51:05.660 --> 00:51:07.460]   So it could be high dimensional,
[00:51:07.460 --> 00:51:11.820]   like in 3D reconstruction or in video prediction,
[00:51:11.820 --> 00:51:13.460]   or it could be ambiguous, right?
[00:51:13.460 --> 00:51:16.860]   Like if there's many different possible outputs,
[00:51:16.860 --> 00:51:19.780]   like in dialogue systems or also in video prediction,
[00:51:19.780 --> 00:51:21.880]   then that also makes things very difficult.
[00:51:21.880 --> 00:51:26.940]   I think also if reliability is required, the system,
[00:51:26.940 --> 00:51:29.300]   and reliability can mean different things.
[00:51:29.300 --> 00:51:30.560]   It can mean robustness,
[00:51:30.560 --> 00:51:32.840]   like robustness to adversarial examples,
[00:51:32.840 --> 00:51:34.880]   and it can also mean high precision.
[00:51:34.880 --> 00:51:37.820]   And so, you know, one thing that we have found
[00:51:37.820 --> 00:51:39.140]   very challenging at OpenAI
[00:51:39.140 --> 00:51:42.020]   that has been very surprising to us has been that,
[00:51:42.020 --> 00:51:44.140]   you know, to create a very accurate,
[00:51:44.140 --> 00:51:47.140]   to create a model that estimates the pose of an object.
[00:51:47.140 --> 00:51:49.280]   So like kind of the position and rotation of the object
[00:51:49.280 --> 00:51:51.400]   in the 3D world is very easy.
[00:51:51.400 --> 00:51:53.300]   But then once you try to start getting
[00:51:53.300 --> 00:51:56.300]   that pose estimation down below some threshold,
[00:51:56.300 --> 00:51:58.620]   it starts to become very, very hard.
[00:51:58.620 --> 00:52:00.800]   'Cause neural networks like tend not to do very well
[00:52:00.800 --> 00:52:02.820]   at things that require a lot of precision.
[00:52:02.820 --> 00:52:04.720]   They're much better at things like classification,
[00:52:04.720 --> 00:52:07.660]   where you're just getting a course answer from the network.
[00:52:07.660 --> 00:52:11.660]   And then anything I think where generalization is required.
