
[00:00:00.000 --> 00:00:00.840]   Let's go.
[00:49:18.320 --> 00:49:21.720]   They're a case study of spending money
[00:49:21.720 --> 00:49:23.120]   to train them up pretty big.
[00:49:24.120 --> 00:49:26.880]   (mouse clicking)
[00:49:26.880 --> 00:49:31.960]   There's a question from Isaac in the chat
[00:49:31.960 --> 00:49:35.400]   about my use case at work.
[00:49:35.400 --> 00:49:38.520]   So currently where we're at in the project
[00:49:38.520 --> 00:49:43.520]   is we need to accumulate some good training data.
[00:49:43.520 --> 00:49:45.360]   So we don't have enough training data
[00:49:45.360 --> 00:49:50.360]   to like actually train a BART or that type of model.
[00:49:51.520 --> 00:49:56.520]   So to start with, we're just using LLMs and prompts
[00:49:56.520 --> 00:50:01.920]   to like do some logical classification
[00:50:01.920 --> 00:50:07.600]   to like kind of bootstrap until we get enough data.
[00:50:07.600 --> 00:50:09.600]   And then also to create a feedback loop
[00:50:09.600 --> 00:50:12.920]   where we can get feedback from people
[00:50:12.920 --> 00:50:15.880]   so that we'll have enough like solid training data
[00:50:15.880 --> 00:50:18.000]   so we can actually train a model.
[00:50:18.880 --> 00:50:22.640]   The main purpose of it being faster performance
[00:50:22.640 --> 00:50:24.320]   as Vibhu mentioned,
[00:50:24.320 --> 00:50:28.400]   then you can respond in milliseconds
[00:50:28.400 --> 00:50:33.400]   versus multiple seconds or tens of seconds
[00:50:33.400 --> 00:50:35.440]   if you're using an LLM.
[00:50:35.440 --> 00:50:38.200]   (mouse clicking)
[00:50:38.200 --> 00:50:54.760]   - Well, thank you, Eric.
[00:50:54.760 --> 00:50:55.600]   - Yeah.
[00:50:55.600 --> 00:50:57.240]   - Always appreciate the OG papers.
[00:50:57.240 --> 00:51:02.720]   - Yeah, it's good to--
[00:51:02.720 --> 00:51:04.680]   - Do you wanna ask one volunteer next week?
[00:51:05.640 --> 00:51:07.240]   - Any paper, it doesn't have to be,
[00:51:07.240 --> 00:51:09.800]   I'll look back at anything that I'm interested in.
[00:51:09.800 --> 00:51:15.560]   (mouse clicking)
[00:51:15.560 --> 00:51:26.800]   - Yeah, I don't know if there's any paper
[00:51:26.800 --> 00:51:28.280]   that's caught my eye recently.
[00:51:28.280 --> 00:51:33.320]   I guess like we talked a little bit about embedding papers,
[00:51:33.320 --> 00:51:35.120]   people are interested in embedding.
[00:51:35.120 --> 00:51:39.560]   - Did we ever do the Geno2 embeddings paper?
[00:51:39.560 --> 00:51:43.680]   - No, there's also NOMIC embed.
[00:51:43.680 --> 00:51:47.000]   I thought like, I didn't see the Geno one,
[00:51:47.000 --> 00:51:48.640]   but the NOMIC one was pretty detailed
[00:51:48.640 --> 00:51:51.680]   in terms of what their process was.
[00:51:51.680 --> 00:51:53.520]   So, interesting.
[00:51:53.520 --> 00:51:56.600]   - I might be mixing up the paper thought,
[00:51:56.600 --> 00:51:59.600]   but I think I remember we went through one embedding paper.
[00:52:01.480 --> 00:52:04.080]   Maybe it's NOMIC, maybe it's NOMIC, I don't know.
[00:52:04.080 --> 00:52:06.680]   But yeah, probably it wasn't there.
[00:52:06.680 --> 00:52:13.120]   - The NOMIC compares directly to Geno.
[00:52:13.120 --> 00:52:14.880]   I have the exact same thing.
[00:52:14.880 --> 00:52:16.320]   I haven't seen the NOMIC one as much.
[00:52:16.320 --> 00:52:18.920]   I just know Geno was the one open source,
[00:52:18.920 --> 00:52:21.800]   AK context, very detailed.
[00:52:21.800 --> 00:52:23.360]   Here's how to do embeddings from scratch
[00:52:23.360 --> 00:52:24.840]   and fine tune them paper.
[00:52:24.840 --> 00:52:27.000]   But I guess if NOMIC is the same thing,
[00:52:27.000 --> 00:52:29.680]   50/50 if anyone wants to take one or both,
[00:52:29.680 --> 00:52:30.600]   I would love both.
[00:52:31.600 --> 00:52:33.440]   - Oh, there's Geno three now, crazy.
[00:52:33.440 --> 00:52:49.720]   - Okay, well, I will volunteer for NOMIC or Geno.
[00:52:49.720 --> 00:52:54.800]   If anyone else has papers they wanna cover in the meantime,
[00:52:54.800 --> 00:52:55.720]   let's cover them,
[00:52:55.720 --> 00:52:58.800]   but otherwise I don't wanna drag this too long.
[00:52:58.800 --> 00:53:00.040]   Yeah, nice chat.
[00:53:01.040 --> 00:53:04.080]   - All right, and thanks, Eric.
[00:53:04.080 --> 00:53:05.240]   - Yeah, thank you.
[00:53:05.240 --> 00:53:07.000]   - Thanks, Eric.
[00:53:07.000 --> 00:53:07.840]   Thanks, everyone.
[00:53:07.840 --> 00:53:08.680]   - Bye.
[00:53:08.680 --> 00:53:09.520]   - See ya.
[00:53:09.520 --> 00:53:12.520]   See ya.

