
[00:00:00.000 --> 00:00:06.460]   I'm Cal Newport, and this is In Depth, a semi-regular series in which I talk to
[00:54:36.900 --> 00:54:42.500]   advance, AKA like seed funding, right, to get you to the next milestone. And they're like, well, if this
[00:54:42.500 --> 00:54:47.220]   goes well, we'll have more to pay you, right, which is paying you in installments. It's the same thing.
[00:54:47.220 --> 00:54:54.500]   Same idea. Whereas fiction, man, that's a tough game. I mean, having to write it first. I mean, that's,
[00:54:54.500 --> 00:55:00.900]   I would prefer to do it, honestly, because the prospect of selling a fiction book, which I could
[00:55:00.900 --> 00:55:06.100]   probably strong arm someone into doing if I wanted to, right, I could have some publisher cover their
[00:55:06.100 --> 00:55:10.420]   eyes and say, I hope you don't get me fired. Right. And like, yeah, I have channel, I wouldn't want to do
[00:55:10.420 --> 00:55:18.100]   it because the pie on the face would be so much more dramatic. Yeah. If it came, whatever it is,
[00:55:18.100 --> 00:55:22.500]   six months before this thing supposed to be published. Yeah, I'd rather just have a couple of
[00:55:22.500 --> 00:55:28.980]   sample chapters. And they're like, Tim, I love you. And this is terrible. But good news. There are steps
[00:55:28.980 --> 00:55:34.580]   you can take to make it not terrible. And here's like, we love you your book about bare bow archery.
[00:55:34.580 --> 00:55:39.220]   We get that you're passionate about it. 800 pages. I don't know. Yeah.
[00:55:39.220 --> 00:55:45.060]   Yeah. There's a lot in here about string density or tension or whatever. Yeah. Yeah. Yeah.
[00:55:45.060 --> 00:55:52.180]   So tell me if this is right or not. Like if I'm, this is like, I'm putting an arc from afar on your
[00:55:52.180 --> 00:55:56.660]   life. So you can tell me if this is, this is right or not, because I've been writing recently about this
[00:55:56.660 --> 00:56:02.420]   idea. I've been using the term engineered wonder. I had a recent newsletter post about this talking about
[00:56:02.420 --> 00:56:08.020]   Walt Disney. And there's a certain point in his, his career is post-World War II. The studio was
[00:56:08.020 --> 00:56:13.780]   struggling. He was in a malaise and he went all in on, he was building a one eighth scale model
[00:56:13.780 --> 00:56:18.500]   working steam train. He went all in on this for like a couple of years.
[00:56:18.500 --> 00:56:23.460]   And then he shut it down and like came out of that and built Disneyland. But there was like something
[00:56:23.460 --> 00:56:28.740]   about this activity. He was all in on something. It was like, it wasn't a core. This is the next
[00:56:28.740 --> 00:56:32.740]   movie we're doing as our studio or whatever. It like re re-energized him. They sort of got
[00:56:33.460 --> 00:56:37.220]   different parts of his brain and nervous system active again that weren't before.
[00:56:37.220 --> 00:56:42.260]   And it led to, you know, all sorts of other stuff as well. And I was making this argument like this is
[00:56:42.260 --> 00:56:47.620]   important, like engineered wonder, a project you do just because my, my, my two aspects where it's
[00:56:47.620 --> 00:56:54.020]   fascinating and then you tend, like you take it far. It can't just be, I took dance lessons. It has to be
[00:56:54.020 --> 00:56:58.500]   like, you know, I, I want to compete and win. It's not just, Hey, I built a game to play with my
[00:56:58.500 --> 00:57:01.780]   friends. It's like, I want it. And let's, let's try to go all the way and do it in Walmart.
[00:57:01.780 --> 00:57:10.660]   So it seems like if we're looking at your life pre four hour work week, because in four hour work
[00:57:10.660 --> 00:57:15.540]   week, you talk about your life, like right before four hour work week, like this period where brain
[00:57:15.540 --> 00:57:19.860]   quickened, you stepped away and made it like, I'm going to have a lot more time. You had a lot of that
[00:57:19.860 --> 00:57:25.380]   going on, right? A lot of the things you document in like your first book was just things that were
[00:57:25.380 --> 00:57:29.860]   interesting and you pushed it really far because like life is, I mean, that's, that was the thesis of
[00:57:29.860 --> 00:57:35.940]   that book. You're doing this now as well. I mean, it's, you know, there's cock punch before that
[00:57:35.940 --> 00:57:39.860]   and you have the game and just like things that are just interesting to you, right? Like that, right.
[00:57:39.860 --> 00:57:46.100]   Folks. Yeah. That's what it was called. Everyone knows what I'm talking about. Uh, and there's a lot
[00:57:46.100 --> 00:57:50.100]   of this going on and it seems like from afar, this is where I want you to tell me if I'm right or wrong,
[00:57:50.100 --> 00:57:53.140]   is that there was like a period in between where things seemed maybe a little more grinding.
[00:57:53.140 --> 00:57:58.980]   Yeah. I'm thinking about like when Ryan was working for you, it was like, this book was successful
[00:57:58.980 --> 00:58:02.580]   and there's these events we're doing and the books, the new books were taking like forever
[00:58:02.580 --> 00:58:04.180]   to write or whatever. Yeah. Yeah.
[00:58:04.180 --> 00:58:09.460]   Is there an arc there where like you're returning the engineered wonder or am I simplifying things?
[00:58:09.460 --> 00:58:15.300]   I want to take a quick break from our conversation to talk about the presenting sponsor for today's episode,
[00:58:15.300 --> 00:58:17.060]   reclaim.ai.
[00:58:19.140 --> 00:58:25.220]   Now, those of you who have heard me talk about AI know that my big interest with this technology is not
[00:58:25.220 --> 00:58:33.460]   these massive vague promises about super intelligent Jetson style robots. What I care about is targeted
[00:58:33.460 --> 00:58:39.380]   applications, places where AI can solve specific pain points. Now, when it comes to knowledge work,
[00:58:39.380 --> 00:58:44.820]   there are a few pain points worse than a calendar that's so haphazardly filled with meetings and calls and
[00:58:44.820 --> 00:58:52.260]   appointments that deep work or recovery or even just sanity becomes impossible. This is where reclaim enters
[00:58:52.260 --> 00:59:01.220]   the scene. They use AI to solve this specific problem. Now, how does it do this? I want to run over to their
[00:59:01.220 --> 00:59:05.380]   website real quick to actually show you for those who are watching instead of just listening, because I think
[00:59:05.380 --> 00:59:12.340]   it's really cool. Jesse, can we load the reclaim.ai website? So here we go. Here's their website. The tagline,
[00:59:12.340 --> 00:59:17.220]   get your time back with AI. You're talking my language already, but I want to scroll down to the
[00:59:17.220 --> 00:59:21.620]   three specific use cases they discuss here. All right, here's the first one. Jesse, there's gonna be
[00:59:21.620 --> 00:59:27.940]   music to my ears. You're gonna see why I like this. Defend focus time. Protect time for uninterrupted deep
[00:59:27.940 --> 00:59:33.780]   work. They're using my language. I love it. They're literally speaking my language in the sense that
[00:59:33.780 --> 00:59:38.740]   they're using a term I invented. Protect time for uninterrupted deep work so you can achieve peak
[00:59:38.740 --> 00:59:46.420]   concentration and be up to 500% more productive. You can see on the screen here that you set a focus
[00:59:46.420 --> 00:59:50.580]   weekly time goal and it helps you change your calendar to meet it. All right, here's another
[00:59:50.580 --> 00:59:56.020]   use case on here. Optimize your meetings. Use AI to find the best time for your regular meetings and book
[00:59:56.020 --> 01:00:02.260]   new meetings faster with AI power scheduling links. Man, there's a great graphic that came up where there's
[01:00:02.260 --> 01:00:07.140]   like a grid of available time. You can see it on here now and you click little sections where you're available.
[01:00:07.140 --> 01:00:11.140]   Other people do the same thing. The AI can help find a group meeting that's going to work for you
[01:00:11.140 --> 01:00:17.220]   and the other people. The final thing to say here is improve your work-life balance. Say goodbye to burnout
[01:00:17.220 --> 01:00:23.620]   with AI calendar controls that prevent overtime, back-to-back meeting days and interruptions. Can you imagine that?
[01:00:23.620 --> 01:00:28.900]   A calendar that knows a busy meeting day probably shouldn't be followed by another busy meeting
[01:00:28.900 --> 01:00:34.260]   day? A calendar that can help you schedule so it's not just you sending all these emails back and forth,
[01:00:34.260 --> 01:00:39.140]   but instead of just scheduling you whatever random time is available, it actually knows about deep work
[01:00:39.140 --> 01:00:45.220]   and focus time and recovery. This is AI I can get behind. So here's the thing. Reclaim doesn't
[01:00:45.220 --> 01:00:52.020]   lock you into rigid schedules. It's AI dynamically adjust your time blocks. Again, they're using my language, Jesse.
[01:00:52.020 --> 01:00:58.340]   I love it. I love it around conflicts and shifting priorities. So you stay protected without sacrificing
[01:00:58.340 --> 01:01:05.380]   flexibility. The average Reclaim user, get this, gains seven extra productive hours every week.
[01:01:05.380 --> 01:01:11.140]   Cuts overtime nearly in half and sees major drops in burnout and context switching. That is the third
[01:01:11.140 --> 01:01:17.540]   term I love that they're using. Here's what I think, Jesse. I think I have one of those like split
[01:01:17.540 --> 01:01:21.620]   personality Jekyll and Hyde things. And what I didn't realize is that like at night when I thought I was
[01:01:21.620 --> 01:01:26.580]   sleeping, my other personality came out and I started Reclaim.ai because they're speaking my
[01:01:26.580 --> 01:01:32.180]   language. This is all the stuff I would care about. I don't want to hear about your super intelligent AGI
[01:01:32.180 --> 01:01:38.980]   that's going to automate half the economy. I want a calendar that's not going to overbook me, that cares
[01:01:38.980 --> 01:01:45.060]   about deep work, that knows that context switching matters. Finally, a company speaks the right language.
[01:01:45.060 --> 01:01:49.460]   Reclaim it as you use it will be the one thing on your computer that's actually trying to help you do work
[01:01:49.460 --> 01:01:54.340]   that matters as opposed to actively trying to make it impossible. Like basically every other app I feel
[01:01:54.340 --> 01:01:59.060]   like I deal with on my computer sometimes. So if you're a knowledge worker, you have to check this out.
[01:01:59.060 --> 01:02:07.380]   So how do you do it? You can sign up 100% free with Google or Outlook calendars. If you go to
[01:02:07.940 --> 01:02:18.660]   reclaim.ai/cal. Reclaim is also offering my listeners an exclusive 20% off 12 months if you use the
[01:02:18.660 --> 01:02:27.540]   discount code CAL20. So my name and the number 20. So visit reclaim.ai/cal to sign up for free and use
[01:02:27.540 --> 01:02:35.860]   that discount code CAL20. That's reclaim.ai/cal. All right, that's cool. But now let's get back to my
[01:02:35.860 --> 01:02:41.700]   conversation with Tim Ferriss. I don't think you're simplifying things. I would say you are simplifying
[01:02:41.700 --> 01:02:48.980]   things, but you're simplifying correctly. It's the right direction. Yeah. So here's what I would add to
[01:02:48.980 --> 01:03:00.180]   that because I think you're right. I've always, well, let me rewind. I think we can mine a lot of very
[01:03:00.180 --> 01:03:08.020]   valuable stuff from our childhood and younger lives. Like the obsessions that we never got tired of.
[01:03:09.060 --> 01:03:16.020]   I think there's a lot there, which doesn't mean, oh, I liked My Little Pony. So I'm going to go
[01:03:16.020 --> 01:03:20.020]   strike a licensing deal with My Little Pony. But it's like, what is that? What about it?
[01:03:20.020 --> 01:03:26.900]   Like dig in. And surprisingly often, I've tried this a number of times in the last
[01:03:26.900 --> 01:03:32.500]   handful of years, that stuff still works. There's like this little genie in a bottle
[01:03:33.140 --> 01:03:37.460]   that you can tap if you figure out why those things did what they did.
[01:03:37.460 --> 01:03:42.740]   Things when you were young. Yeah. Like really captured you. Really captured you.
[01:03:42.740 --> 01:03:46.660]   Feelings of locked in fascination. Yeah. Fascination dragons when you're
[01:03:46.660 --> 01:03:51.780]   12. Obsession, losing track of time. Yeah. Those things still work. So for instance,
[01:03:51.780 --> 01:03:56.820]   the last few years, I wanted to be a comic book penciler forever. Meaning I wanted to draw comic books,
[01:03:56.820 --> 01:04:06.340]   like Marvel stuff. And I used to get lost in art for decades. And then when I graduated from college
[01:04:06.340 --> 01:04:10.660]   and I got, you know, serious job and I was like, okay, that stuff's for kids. Let's move on. Like
[01:04:10.660 --> 01:04:14.340]   focus on the real stuff, read books by Richard Branson and this and that, the other thing. And like, yeah,
[01:04:15.540 --> 01:04:26.420]   put on some blinders and what I realized over time is that those activities, those, those like time
[01:04:26.420 --> 01:04:33.700]   passing without you realizing it kind of loss of the self, like the fixation on the self dissolving away,
[01:04:33.700 --> 01:04:43.300]   those aren't optional frivolous things. And I would maybe compare them to like the,
[01:04:43.940 --> 01:04:51.620]   I don't know the coal, like furnace room in a gigantic ship. It's like the energy that is produced
[01:04:51.620 --> 01:04:57.540]   from that preserved and produced, right? Just like the recharging and everything that that room provides
[01:04:57.540 --> 01:05:02.420]   is necessary for the entire ship. It's not compartmentalized in that one area.
[01:05:02.420 --> 01:05:08.020]   So when you find something like this, which doesn't need to take a long time, honestly,
[01:05:09.460 --> 01:05:15.140]   for me, it could just be screwing around with the tutorial on YouTube with Procreate on an iPad and
[01:05:15.140 --> 01:05:21.700]   doing, you know, 20 minutes of drawing at some point after work, just to bookend work, right? The,
[01:05:21.700 --> 01:05:29.380]   like the shutdown complete, right? Uh, now typically if I do 10 or 15 minutes, it's going to turn into an
[01:05:29.380 --> 01:05:35.460]   hour and I'm gonna be like, Oh my God, I'm hungry. I totally forgot that I was doing this. And that is
[01:05:35.460 --> 01:05:41.940]   like an extra four hours of sleep. It's incredible how much energy you can derive from that. And so I
[01:05:41.940 --> 01:05:46.340]   would say like four hour work week, another way to chart the course would be like four hour work week,
[01:05:46.340 --> 01:05:52.740]   which was about, let's just call it like per hour productivity. How do you maximize that? Right. And then
[01:05:52.740 --> 01:05:55.700]   for our body, once again about performance, but everything physical
[01:05:57.700 --> 01:06:02.100]   for our chef confusingly to a lot of people, actually a book about accelerated learning,
[01:06:02.100 --> 01:06:05.780]   right? So, but once again, it's like, how do I do more with each minute? Basically
[01:06:05.780 --> 01:06:14.900]   then started extending into tools of Titans and tribe of mentors where we get a little more philosophical.
[01:06:14.900 --> 01:06:19.860]   Maybe that's me getting older. I think it's me also realizing how much with every passing year, like
[01:06:20.420 --> 01:06:28.500]   how few things really matter. Again, any possible way you could assess it, but certainly just in terms
[01:06:28.500 --> 01:06:35.940]   of quality of life, relationship quality, the things that make humans human. And so I had the philosophical
[01:06:35.940 --> 01:06:41.700]   kind of stoicism angle, right? It was writing about stoicism and, and other schools of philosophy
[01:06:41.700 --> 01:06:52.420]   starting maybe let's call it 10 years ago. And the missing piece was just this engineered wonder that
[01:06:52.420 --> 01:07:00.500]   you're describing, right? I touched on edges of it. This, this engineered wonder awe in the last few years,
[01:07:00.500 --> 01:07:06.500]   like really paying attention to awe and what it does to people. There are some very interesting
[01:07:06.500 --> 01:07:14.020]   discussions of this in the scientific literature and achieving that in a number of different ways,
[01:07:14.020 --> 01:07:19.220]   right? Immersive nature with very close friends, which I'm doing next week, literally taking a week
[01:07:19.220 --> 01:07:25.380]   completely off the grid up in the mountains of Montana with a few friends, learning wilderness survival
[01:07:25.380 --> 01:07:37.700]   skills, carrying stuff around all day. And then also play. And I think play, play sounds frivolous to a
[01:07:37.700 --> 01:07:42.100]   lot of folks who are like, I still have places to go things to do. And I guess my point would be like,
[01:07:42.100 --> 01:07:51.700]   play feeds into productivity. If I, if I need to present it in a way that is palatable to type A people like
[01:07:51.700 --> 01:07:57.620]   myself. Right. It's it's that engine room in the ship, like a former right-hand man wrote a book
[01:07:57.620 --> 01:08:01.780]   about that. Yeah. Charlie's book. I remember exactly that to me. It's an influential book.
[01:08:01.780 --> 01:08:09.460]   Play, play it away. Yeah. Charlie on. Yeah. So, and, uh, it doesn't need to, it doesn't need to distract.
[01:08:09.460 --> 01:08:18.340]   It honestly preserves and fuels you so that you can be actually better at discerning what matters. I think,
[01:08:18.980 --> 01:08:22.340]   like if you don't have time to meditate for 10 minutes, if you don't have time to play a game
[01:08:22.340 --> 01:08:29.300]   for 10 minutes, like you need to take a full week and sit down and do some hard thinking and journaling.
[01:08:29.300 --> 01:08:38.020]   Right. Yeah. Uh, because that is basically a preview of burnout and implosion, I would say,
[01:08:38.020 --> 01:08:41.700]   based on my, my lived experience and the lived experience of a lot of people in my audience.
[01:08:42.580 --> 01:08:46.980]   Uh, and we, we could certainly talk about a lot of other elements, but I do think the,
[01:08:46.980 --> 01:08:54.180]   the, the engineered wonder, the play, the joy, the awe, which are kind of, I would say
[01:08:56.260 --> 01:09:02.340]   kind of the ends of the spokes feeding back to something central that is, is kind of the same
[01:09:02.340 --> 01:09:10.980]   thing. It's like a constellation of all of those is incredibly valuable. And if you get a little,
[01:09:10.980 --> 01:09:15.780]   this is going to be a big word folks, sorry if this sounds overstated, but like transcendence. And all I
[01:09:15.780 --> 01:09:25.220]   mean by that is you stop the me, me, me, I, I, I song for 10 or 15 minutes. Oh my God. Can that be
[01:09:25.220 --> 01:09:35.380]   like just a revelatory experience that you can build into your life. And with all of the powers that be
[01:09:36.020 --> 01:09:45.780]   and teams that exist every time you open your phone to exploit the me, me, me, I, I, I song to make you
[01:09:45.780 --> 01:09:52.740]   use these things incessantly. Yeah. I, I really think you need these moments where you are not fixated on
[01:09:52.740 --> 01:09:58.340]   the self just for, for S for self-preservation, but also just to enjoy this. As far as we know,
[01:09:58.340 --> 01:10:02.420]   one way ticket ride that we all have. I mean, is there, it seems like there's an irony
[01:10:03.380 --> 01:10:07.620]   that like you, you, you wrote a book trying to explain to people, because you're talking about
[01:10:07.620 --> 01:10:13.380]   many retirements. It was to go have these moments. Yeah. Like, hey, get the helicopter ride up to the,
[01:10:13.380 --> 01:10:20.260]   the wine country and, you know, Argentina, Argentina, right? Like go to do the, the tango dancing, you
[01:10:20.260 --> 01:10:25.060]   know, there's like, right. But write a book to tell people about this, right? Like you said, yes, it was
[01:10:25.060 --> 01:10:31.140]   about getting more out of each minute, but on behalf of reducing the footprint of work. Um, right. But then
[01:10:31.780 --> 01:10:35.940]   this seems ironic, but maybe I'm just misreading. It's a little bit ironic that writing a book,
[01:10:35.940 --> 01:10:40.100]   explaining to other people, Hey, here's what I'm doing. I'm getting all these moments. My life is
[01:10:40.100 --> 01:10:44.820]   built around these moments of like transcendence and like engineered wonder the success of that book,
[01:10:44.820 --> 01:10:48.660]   then like took a lot of that out of your life because now it's like, I have to write the next
[01:10:48.660 --> 01:10:52.660]   one and I want to try TV and let me try this, but let me try this instead. Like, it seems like,
[01:10:52.660 --> 01:10:56.660]   I don't know if that's quite right, but like the ironies of the professional world
[01:10:56.660 --> 01:11:04.580]   is you're so successful telling people about the joys of it that they took away your time to
[01:11:04.580 --> 01:11:12.740]   keep doing that. I think that's true for anyone who is successful in anything
[01:11:13.700 --> 01:11:21.860]   to the extent that they get noticed in any way. It could be, it could be as a chef,
[01:11:21.860 --> 01:11:28.500]   it could be as a writer, it could be as a coder, as a programmer, like a really good UX designer.
[01:11:28.500 --> 01:11:33.940]   The thing that you love doing, right. To come back to that endurance, right. You're not only good at it,
[01:11:35.540 --> 01:11:41.860]   but you really enjoy doing it, which gives you all the fuel, the endurance to outlast other people who
[01:11:41.860 --> 01:11:46.660]   might have hypothetically the chops, but they don't have the, like, so you've got the, you've got the
[01:11:46.660 --> 01:11:53.940]   love, you've got the ability, you're really good at doing something before you know it, you're going to
[01:11:53.940 --> 01:12:01.460]   get more attention and you will almost inevitably get pulled away from that thing. Right. So if you,
[01:12:01.460 --> 01:12:05.460]   if you're the, this is just an example, it's really common in startups, but it's like, if you're really
[01:12:05.460 --> 01:12:10.340]   good at that thing, boom, before you know it, you're a manager. Yep. And then a few years later, you're
[01:12:10.340 --> 01:12:16.420]   gonna be like, how did this happen? My whole week is meetings. Yeah. I'm not doing the thing I want to
[01:12:16.420 --> 01:12:22.340]   do, but if I wanted to be an independent contributor, like I'm going to have to take this big cut in my pay
[01:12:22.340 --> 01:12:28.740]   and dah, dah, dah, dah, dah, dah. And then you have golden handcuffs in a way with authors very frequently.
[01:12:28.740 --> 01:12:34.740]   I'm sure you've seen this before. It was like, you, you, you've create this thing while nobody's
[01:12:34.740 --> 01:12:40.900]   really paying attention to you. And then all of a sudden the floodgates open. And we chatted about
[01:12:40.900 --> 01:12:45.780]   this before recording a little bit, but this is why I have this 800 page draft, please shoot me now,
[01:12:45.780 --> 01:12:51.380]   but of a book about all the ways that you can say no. And the strategies I've used for the last,
[01:12:51.380 --> 01:12:57.380]   whatever, almost 20 years, I didn't have that toolkit because I didn't have the problem of
[01:12:57.380 --> 01:13:04.260]   this huge paradox of choice in the same way. So what did I do? Just like many authors, I was like,
[01:13:04.260 --> 01:13:10.740]   you're going to pay me to talk for 60 minutes. Hell yeah, I'll do that. And just said yes to everything.
[01:13:10.740 --> 01:13:15.380]   And then you end up this like traveling salesman, like George Clooney. And what is it
[01:13:15.380 --> 01:13:22.740]   up in the air or whatever that movie is? And you realize this sucks. The thing that I, that I,
[01:13:22.740 --> 01:13:29.300]   that I was good at, they got me here. I no longer have the space to do because as I mean, you're kind
[01:13:29.300 --> 01:13:35.780]   of the, the archdeacon of deep work, right? You can't cobble together half hour here, 45 minutes there
[01:13:36.340 --> 01:13:40.340]   to get what you would get after out of a half day or a full day of writing. You just cannot
[01:13:40.340 --> 01:13:49.300]   do it. At least I haven't met anybody who can do it. And so then becomes right. The great divestiture,
[01:13:49.300 --> 01:13:55.540]   figuring out how to get back to these things that got you there in the first place without getting
[01:13:55.540 --> 01:13:59.220]   distracted by, and you're going to get distracted. So it's, it's kind of like meditation. Like your
[01:13:59.220 --> 01:14:04.180]   monkey mind is going to be like, yeah, email porn. Here's calendar. Like the, the argument you had
[01:14:04.180 --> 01:14:07.780]   with your ex 20 years ago, whatever, like your mind is going to do that. Well,
[01:14:07.780 --> 01:14:10.900]   if you could combine email calendar and porn though, I think you have a startup.
[01:14:10.900 --> 01:14:16.260]   I think you got a unicorn email hub premium. So
[01:14:16.260 --> 01:14:21.460]   that stuff's going to come up. But the point that I think it was Sharon
[01:14:21.460 --> 01:14:25.540]   Salzberg who made this point to me, she said, maybe it was Tara Brock. I can't remember, but she said,
[01:14:25.540 --> 01:14:32.660]   it's, you're not trying to eliminate thought. Every time you take the fishing rod and reel yourself back
[01:14:32.660 --> 01:14:38.260]   from those thoughts to your breath or whatever, that's a rep. That's like doing a bicep curl.
[01:14:38.260 --> 01:14:42.660]   It's like, you're going, you're going to get distracted by shiny things, everything.
[01:14:42.660 --> 01:14:51.300]   At least once you set foot in this like attention UFC, that is digital, anything
[01:14:51.300 --> 01:14:57.380]   you're going to get distracted. So the question is, how do you reel yourself back in? How do you create
[01:14:57.380 --> 01:15:06.260]   scaffolding and systems? And, and you're right. So I have, I have at various points been pulled away.
[01:15:06.260 --> 01:15:11.940]   That's going to happen. So it's just a question of how you get things in your calendar
[01:15:12.740 --> 01:15:20.660]   that actually matter. Right. So for me, it's like one group dinner a night with, it seems to be like
[01:15:20.660 --> 01:15:28.100]   three plus friends, but not too many, like, let's call it like three to six people total, huge quality
[01:15:28.100 --> 01:15:35.860]   of life. Yeah, huge, huge. Like I can't even put any kind of number on it and get the, if they're not in
[01:15:35.860 --> 01:15:41.860]   the calendar, they are not real, like get them, get them booked, get the people committed. And so you
[01:15:41.860 --> 01:15:46.020]   can't back out with some lame ass excuse. Cause you're like watching an extra Ted talk that you
[01:15:46.020 --> 01:15:52.340]   don't need to watch or whatever. Right. Yeah. You're on your calendar, porn, email, calendar porn.
[01:15:52.340 --> 01:15:57.300]   Yeah. Well, can I, I kind of want to get your help on this. This is, this is when I would probably at
[01:15:57.300 --> 01:16:02.020]   three of the, probably at two in the morning, you know, like in the middle of the night tonight,
[01:16:02.020 --> 01:16:09.460]   I'm going to buy yet another useless domain. It's going to be huge just in case before this
[01:16:09.460 --> 01:16:14.260]   podcast comes out. One of the most popular things out there. Well, I feel like you're ahead of me on
[01:16:14.260 --> 01:16:19.060]   the divestiture, right? Like you, you got more serious about this. I don't know when you would
[01:16:19.060 --> 01:16:22.740]   say you got more serious about it. It's why I liked that you were, you were working on this concept.
[01:16:22.740 --> 01:16:27.780]   I feel like right now in my life, I call it the, I'm the great disappointer. And I feel like you,
[01:16:27.780 --> 01:16:33.940]   you went through this, there's your next book title because the way people, which is natural.
[01:16:33.940 --> 01:16:39.220]   The problem is it's, it's asymmetric for like an individual who's asking you for something.
[01:16:39.220 --> 01:16:44.100]   They're simulating just the time commitment of the thing they're asking you about. And when seen in
[01:16:44.100 --> 01:16:48.740]   isolation, it's like often reasonable, or as you was speaking, the reward is really high. And in
[01:16:48.740 --> 01:16:53.620]   isolation, they're like, I don't understand why you want it. It's 60 minutes and it's some absurd amount
[01:16:53.620 --> 01:16:59.540]   of money. Or it's like, can't you just come by our company and just like talk about deep work for a
[01:16:59.540 --> 01:17:03.620]   while? Or let's just meet up and have a coffee. Yeah. We have a coffee. Yeah. You know, in isolation,
[01:17:03.620 --> 01:17:08.740]   it's nothing, but then it's asymmetric because there's 30 of those coming in and then that's all
[01:17:08.740 --> 01:17:14.420]   you're doing. And so I feel like my speaking agent thinks I'm clinically insane because like, I just,
[01:17:14.420 --> 01:17:17.620]   I'm like, I don't want to speak. I have like the worst speaking client. I was like, I'll do three
[01:17:17.620 --> 01:17:23.220]   times a year. Right? Like I, I just, I just say no to everything. Uh, all of our like extended circle,
[01:17:23.220 --> 01:17:27.220]   it's like all friends of friends are always like, why can't you just come talk about deep work? You
[01:17:27.220 --> 01:17:31.380]   know? And I'm always like, I just, I can't, or like, I'm just saying no to everything, but it feels,
[01:17:31.380 --> 01:17:36.100]   it feels sort of, uh, haphazard. When did you're like, when did you switch to the great divestiture?
[01:17:36.100 --> 01:17:42.900]   Like at some point, I S yeah, I started, I, it, it took different forms. So I'd say the,
[01:17:42.900 --> 01:17:53.540]   the great divestiture in terms of figuring out strategies and tools and systems for saying no,
[01:17:53.540 --> 01:18:01.060]   or simply not seeing categories of things that I have decided I need to say no to even for a limited
[01:18:01.060 --> 01:18:05.060]   period of time. And you do full categories. It's just easier. It's just easier.
[01:18:05.060 --> 01:18:09.940]   I have a policy, right? No speaking for six months, zero. And if you break your own rules,
[01:18:09.940 --> 01:18:15.940]   all is lost, right? Like you can't, because here's the beers. And this is going to get into some woo,
[01:18:15.940 --> 01:18:23.140]   like a Venice slash Topanga hand wavy stuff. But my experience is as soon as you set a policy,
[01:18:23.140 --> 01:18:28.660]   like no speaking for six months, the best offer you have ever seen is going to come through the doors
[01:18:28.660 --> 01:18:33.540]   in two weeks. So you can almost like trick the universe. Like, yeah, you just have to be,
[01:18:33.540 --> 01:18:38.020]   and you just have to say, not today, say not today. And you gotta say no.
[01:18:38.020 --> 01:18:42.420]   Yeah. I mean, and this is literally true. Like I literally, it just makes me think about it,
[01:18:42.420 --> 01:18:46.900]   getting, you know, an offer from a Sultan. Yeah. And that sounds like a made up thing,
[01:18:46.900 --> 01:18:50.500]   but actually I was talking to a couple of someone else who had the same offer come across. That's
[01:18:50.500 --> 01:18:55.540]   the type of thing that comes across. We like your book. We're bringing you out. You can like dance for
[01:18:55.540 --> 01:18:59.620]   us and you know, whatever. And I just keep saying, well, keep adding zeros till you say no,
[01:18:59.620 --> 01:19:02.580]   like that type of stuff. So I said no to that. I say, but this is why my speaking agent thinks
[01:19:02.580 --> 01:19:07.140]   I'm crazy, by the way. Yeah. Yeah. I'm not moved by money. Okay. Yeah. So whole categories.
[01:19:07.140 --> 01:19:09.940]   You should write a book called tactically insane. Maybe that's the next one.
[01:19:11.700 --> 01:19:17.220]   And, uh, I mean, it just brings up the G to Krishnamurti quote, like it is, it is,
[01:19:17.220 --> 01:19:21.700]   is not the indicator of health to be profoundly adjusted to a sick society, something like that.
[01:19:21.700 --> 01:19:28.820]   Right. Uh, and so in the beginning it was figuring out systems for saying no, because it was, it was,
[01:19:28.820 --> 01:19:36.020]   it was literally just like, how do I stop drinking from this fire hydrant or like, how, how do I just
[01:19:36.020 --> 01:19:42.980]   get out of this flow? Because currently the inbound is so overwhelming. That was, that had to start
[01:19:42.980 --> 01:19:52.820]   around 2008. Now, given the, the book came out April 20 2007, it took a while to get to, I mean,
[01:19:52.820 --> 01:19:59.140]   it hit the New York times right away, but tickets number one took until August. And then as soon as,
[01:19:59.140 --> 01:20:04.260]   is that happened, then all the offers start coming in and then you pay the piper like six months later,
[01:20:04.260 --> 01:20:10.260]   six to nine months later. And then I was like, oh my God, is this my life now? Wait a second. It's
[01:20:10.260 --> 01:20:15.940]   like, it's a quality problem, but this is also in some ways like a very, it's a creative, it's a
[01:20:15.940 --> 01:20:22.580]   creatively terminal problem, right? Like if I keep doing this, my creativity, my flexibility,
[01:20:22.580 --> 01:20:31.140]   my identity becomes fixed if I keep doing this. And that's, so it wasn't until later,
[01:20:31.140 --> 01:20:36.420]   I tried to find ways around it, tried to find ways to massage what I would say yes or no to.
[01:20:36.420 --> 01:20:42.660]   Okay. I'm going to add, I'll keep adding zeros until people start saying no, all those things can help,
[01:20:42.660 --> 01:20:50.740]   but they don't, they don't provide the psychological reprieve and the energy benefits of just categorically
[01:20:50.740 --> 01:20:55.060]   saying this is a no, which I also did for other things that have been like the most lucrative
[01:20:55.060 --> 01:21:00.260]   thing in my life, angel investing. In 2005, I was like, why I'm taking a long startup vacation or in
[01:21:00.260 --> 01:21:04.980]   parentheses, why does it know, how does it know when it matters most? And I stepped out kind of at the
