
[00:00:00.000 --> 00:00:05.000]   [PAUSE]
[00:45:42.000 --> 00:45:46.000]   called trainer.train, and it'll just kind of go.
[00:45:46.000 --> 00:45:49.000]   So now it's training, which is great.
[00:45:49.000 --> 00:45:53.000]   It gives us a nice kind of estimate of how long things are taking,
[00:45:53.000 --> 00:45:58.000]   what's going on, what arguments that we actually pass in.
[00:45:58.000 --> 00:46:01.000]   So that's just going to run.
[00:46:01.000 --> 00:46:06.000]   And then likewise, hopefully it'll train relatively quickly.
[00:46:06.000 --> 00:46:08.000]   Okay, it'll take two minutes.
[00:46:08.000 --> 00:46:12.000]   We can also evaluate the model pretty easily as well.
[00:46:12.000 --> 00:46:17.000]   So we just call trainer.predict on whatever data set that we're interested in.
[00:46:17.000 --> 00:46:19.000]   So here it's the tokenized data set course,
[00:46:19.000 --> 00:46:23.000]   we're going to do the validation data set.
[00:46:23.000 --> 00:46:27.000]   Okay, hopefully we can pop that out soon.
[00:46:27.000 --> 00:46:32.000]   And lastly, so if we saved anything to our model checkpoints,
[00:46:32.000 --> 00:46:40.000]   so hopefully this is saving stuff right now.
[00:46:40.000 --> 00:46:41.000]   Yeah, so this is going to be,
[00:46:41.000 --> 00:46:46.000]   is continue to save stuff to the folder that we specified.
[00:46:46.000 --> 00:46:50.000]   And so here, in case we ever want to kind of like load our model again,
[00:46:50.000 --> 00:46:53.000]   from the weights that we've actually saved,
[00:46:53.000 --> 00:46:55.000]   we just pass in the name of the checkpoint,
[00:46:55.000 --> 00:46:58.000]   like the relative path here to our checkpoint.
[00:46:58.000 --> 00:47:02.000]   So notice how we have some checkpoint eight here.
[00:47:02.000 --> 00:47:06.000]   We just pass in the path to that folder, we load it back in,
[00:47:06.000 --> 00:47:12.000]   we tokenize, and it's the same thing as we did before.
[00:47:12.000 --> 00:47:19.000]   There are a few kind of additional appendices for how to do like different tasks as well.
[00:47:19.000 --> 00:47:25.000]   So appendix on generation, how to define a custom data set as well,
[00:47:25.000 --> 00:47:32.000]   how to kind of like pipeline different kind of like tasks together.
[00:47:32.000 --> 00:47:43.000]   So this is kind of like using a pre-trained model that you can just use through kind of like the pipeline interface really easily.
[00:47:43.000 --> 00:47:48.000]   There's like different types of tasks like mass language modeling.
[00:47:48.000 --> 00:47:50.000]   Feel free to look through those at your own time.
[00:47:50.000 --> 00:47:52.000]   And yeah, thanks a bunch.
[00:47:52.000 --> 00:48:02.000]   [BLANK_AUDIO]

