
[00:00:00.000 --> 00:00:05.240]   I write the script in December, January, Josh Arnett, Marlee Shelton, come down, fly Frank in,
[01:43:38.180 --> 01:43:43.160]   nah, it's still, it still feels like a movie Quentin would make. It doesn't feel like a real movie.
[01:43:43.160 --> 01:43:48.300]   And I was like, that's fine. What do you mean? What does it mean? It feels like one of those
[01:43:48.300 --> 01:43:52.580]   movies I would make, like Reservoir Dogs. It doesn't feel like a real movie. And I was trying to be the
[01:43:52.580 --> 01:43:56.640]   supportive friend going, oh man, he was so excited about this movie. Now he's bummed about it.
[01:43:56.640 --> 01:44:02.240]   And I was like, well, it should be different. It should be like, he's like, wouldn't have it.
[01:44:02.240 --> 01:44:05.700]   Drove off. So I thought, I don't know, I guess that wasn't the one. So I went home and I called
[01:44:05.700 --> 01:44:09.920]   some of the directors that were at the screening and they go, yeah, this isn't the one for him.
[01:44:09.920 --> 01:44:15.320]   It's not, they had, none of them saw it. None of them saw it, but that, you know, you're like surprised.
[01:44:15.320 --> 01:44:20.340]   But that happened with George Lucas too, with Star Wars. Everybody saw that movie and was like,
[01:44:20.440 --> 01:44:24.040]   poor George. They showed it to all his director friends. Poor George, what do you just waste all
[01:44:24.040 --> 01:44:28.480]   this time with this for? Only Spielberg was the one who said, it's naive and it's going to do really
[01:44:28.480 --> 01:44:33.440]   good because it's naive and kids will like it. But everyone else was like, what's he doing? We're
[01:44:33.440 --> 01:44:37.880]   artists. We're making art films. What's he doing this garbage for? Because nobody knows. It shows no
[01:44:37.880 --> 01:44:41.640]   one knows anything. Not even the filmmaker. When you're being groundbreaking, you don't know what
[01:44:41.640 --> 01:44:45.960]   groundbreaking is. Not you or anyone around you, except maybe one or two people. So he said,
[01:44:45.960 --> 01:44:49.340]   there's one person like, oh yeah, who is your Spielberg? Goes Catherine Bigelow,
[01:44:49.340 --> 01:44:53.220]   without a doubt. She's the only one who said, there's something here. No one else was seeing,
[01:44:53.220 --> 01:44:58.160]   was saying that. He said, in fact, because he remembered suddenly he'd forgotten the story,
[01:44:58.160 --> 01:45:02.540]   but if it wasn't in my journal, I would have forgot it too. He goes, in fact, one of my friends,
[01:45:02.540 --> 01:45:06.180]   Simon said, I want to sit you down and tell you all the things that are wrong with your movie,
[01:45:06.180 --> 01:45:10.920]   but I'll wait till you get back from the Cannes Film Festival. And he goes and he wins the Palme d'Or.
[01:45:10.920 --> 01:45:14.160]   Then his friend's like, oh, what the hell do I know? I've only made one movie myself. So
[01:45:14.160 --> 01:45:19.800]   nevermind. I guess, I guess we're all wrong. So even he didn't expect that at all. So that was a
[01:45:19.800 --> 01:45:26.820]   shock, you know, even to him. So think about that. Yeah. That means, what do you do? Commit to a body
[01:45:26.820 --> 01:45:30.140]   of work. Just do that. You don't know. You don't know what's going to be a Pulp Fiction and what's
[01:45:30.140 --> 01:45:34.600]   going to be a Jackie Brown. What's going to be, you know, you don't know. And you'd like to think
[01:45:34.600 --> 01:45:39.620]   they know, but they don't know either. They feel it. Like I asked Jim Cameron, I said, do you see your
[01:45:39.620 --> 01:45:44.000]   movie really clearly? Like, can you see it like with, with hyper-focus? Cause it seems like that.
[01:45:44.000 --> 01:45:49.040]   And he goes, it's like really far. It's out of focus. And you work on it and you work on it,
[01:45:49.040 --> 01:45:54.640]   it starts coming. I said, okay, good. So that's, that's normal. I thought maybe he had laser vision
[01:45:54.640 --> 01:45:58.920]   or something, but no, even him, he doesn't really know, but he feels that he can make decisions and
[01:45:58.920 --> 01:46:04.500]   he understands what a creative drive is and how to just keep being relentless about it.
[01:46:04.960 --> 01:46:14.140]   But it's not like they have all the, proximity is huge. Proximity will change your life. Did for me,
[01:46:14.140 --> 01:46:18.780]   just being around those guys. They didn't teach me, Hey, I'm going to teach you how to make a movie.
[01:46:18.780 --> 01:46:25.820]   Just being next to them, being in their world, just ups your game. And you just, you're able to do
[01:46:25.820 --> 01:46:29.760]   things you weren't able to do before. You get ideas you didn't get to do before. I did. I'll show you
[01:46:29.760 --> 01:46:35.720]   one of my painting things. You're not going to believe this freaking thing. I had a painter friend
[01:46:35.720 --> 01:46:41.160]   in Germany, Sebastian Kruger. He gives a workshop once a year that I'm going to go there. And I bet
[01:46:41.160 --> 01:46:45.900]   I'll learn more about directing by watching this guy paint than I will by watching another director.
[01:46:45.900 --> 01:46:51.360]   Cause that's just now I know how creativity works. You're going to learn lessons outside of the box
[01:46:51.360 --> 01:46:56.240]   by doing that. And I try to practice before going out there. I was doing a Danny Trejo. I'll show you
[01:46:56.240 --> 01:47:01.960]   the before and after you're not going to freaking believe what you see, but this is, it really tells
[01:47:01.960 --> 01:47:07.680]   a story of how important proximity is. So I'm, I do this painting. It's like, ah, it looks garbage.
[01:47:07.680 --> 01:47:13.380]   I'll show you. It looks like garbage. I'm not used. I can't do paintings that are just like,
[01:47:13.380 --> 01:47:17.740]   see, I, you never should say I can't cause you just cut your leg off, but I couldn't at the time
[01:47:17.740 --> 01:47:22.600]   paint, just paintbrush into paint and then write on the canvas like that without using some kind of
[01:47:22.600 --> 01:47:28.300]   medium, which this guy, Sebastian Kruger would do. So first I did a digital painting of Danny Trejo,
[01:47:28.300 --> 01:47:32.720]   like just to get the framing and all that. And then I created, that's just like, that's like
[01:47:32.720 --> 01:47:37.380]   on a Wacom tablet, but then I did it with paint and it's like, ah, it's all cruddy. And it's too
[01:47:37.380 --> 01:47:42.320]   thick, the pain. And it just looks, it looks, and I just gave up right away. I went, I was trying to
[01:47:42.320 --> 01:47:46.540]   pre-practice. I wouldn't be a total buffoon there because it was going the next week. And I thought
[01:47:46.540 --> 01:47:52.300]   he's using a different brush. Obviously he's using a better paint. The stuff just is clogging up and it's crap.
[01:47:52.740 --> 01:47:59.540]   I'm sure when I get there. So I get there and he's doing a Mick Jagger and he starts with a mid-tone.
[01:47:59.540 --> 01:48:03.500]   He starts blocking in the face with a little tiny drawing of where the face goes.
[01:48:03.500 --> 01:48:09.100]   He starts doing that. He starts adding some highlights. There's the photo, his reference.
[01:48:10.220 --> 01:48:15.680]   And I'm like, why, why are you, why are you concentrating so much on the cheek first? And he's
[01:48:15.680 --> 01:48:22.480]   like, it's different every time. And I go, why do you, what, what paints are you using? And he's like,
[01:48:22.480 --> 01:48:28.080]   it was regular acrylic paint. What brushes do you have? Regular brushes. I'm like, how come mine doesn't
[01:48:28.080 --> 01:48:31.600]   look like yours? Well, let me try what he's doing. I mean, you start with a mid-tone. I'm going to do
[01:48:31.600 --> 01:48:38.020]   that Danny again. Start with a mid-tone. I'll start adding some highlights. And I did that.
[01:48:38.020 --> 01:48:41.480]   And everybody kept coming over going like, did you just do that? And I was like, yeah,
[01:48:41.480 --> 01:48:46.900]   I don't know how, but it's very cartoony still. He's doing a very realistic Mick Jagger.
[01:48:46.900 --> 01:48:55.600]   Look how real that is. And you're just watching and he doesn't teach you anything. So he just starts
[01:48:55.600 --> 01:48:58.680]   painting. So this is the photo he had as a reference, but then this is his painting.
[01:48:58.680 --> 01:49:03.860]   Right. And because I'm there, he's not teaching you how to paint.
[01:49:03.860 --> 01:49:05.980]   Through osmosis, you're like learning some of-
[01:49:05.980 --> 01:49:07.640]   You're seeing that there isn't a trick.
[01:49:07.640 --> 01:49:08.280]   Yeah.
[01:49:08.280 --> 01:49:13.200]   I thought he had a trick and that's why I couldn't get any further. He's using the same brush and the
[01:49:13.200 --> 01:49:17.500]   same paint. Well, how come I can't do that? And you go, you do it. I go, I'm going to try and do
[01:49:17.500 --> 01:49:21.720]   something realistic. I've never done realistic before because I'm a cartoonist and everything, I was
[01:49:21.720 --> 01:49:27.360]   cartoony. And that was just easier for me because I thought I would need too much training. I did
[01:49:27.360 --> 01:49:31.680]   another Trejo. I started doing a realistic. I finished out just one section of his face
[01:49:31.680 --> 01:49:36.040]   and put the pen down because I did that the same day.
[01:49:36.040 --> 01:49:37.080]   Nice.
[01:49:37.080 --> 01:49:43.760]   I got out of my way because seeing him get out of his own way, I think that's why sometimes people
[01:49:43.760 --> 01:49:48.380]   need to go to school for stuff like that. Because then now, well, I just did four years of school.
[01:49:48.640 --> 01:49:52.300]   So now I must know. Now you've given yourself permission, but you could give yourself permission
[01:49:52.300 --> 01:49:53.800]   right away and it's going to come through.
[01:49:53.800 --> 01:49:58.000]   And drawing Danny Trejo of all people, it's like, there's so much going on there. It's like,
[01:49:58.000 --> 01:49:58.880]   he's so expressive.
[01:49:58.880 --> 01:49:59.540]   He's so expressive.
[01:49:59.540 --> 01:50:05.900]   I mean, you've worked with him a lot and you've, I mean, he's one of those bad-ass humans on the
[01:50:05.900 --> 01:50:12.020]   screen. You've created that. Can you just talk about what it's like creating those characters?
[01:50:12.020 --> 01:50:16.340]   What was exciting about Desperados, I went to go make it and there were no Latin actors working in
[01:50:16.340 --> 01:50:21.360]   Hollywood because no one was creating roles for them. So I thought, wow, I got to go create my
[01:50:21.360 --> 01:50:25.460]   own stars. We'll bring Antonio from Europe because they kind of know his name from the Almodovar
[01:50:25.460 --> 01:50:30.740]   movies. And I saw him in Tie Me Up, Tie Me Down when I was in the hospital writing mariachi
[01:50:30.740 --> 01:50:37.220]   or watching TV while I was a patient. And there's a scene where he like headbutts Victoria Abril,
[01:50:37.220 --> 01:50:42.640]   you know, he just gave his headbutt, he goes, like that. And I was like, whoa, I bet that guy would
[01:50:42.640 --> 01:50:46.180]   want to be in an action movie. He's got something inside. So I called him when we were doing
[01:50:46.180 --> 01:50:50.300]   Desperado and I said, would you ever consider doing an action? Oh man, I'd love to do action.
[01:50:50.300 --> 01:50:56.040]   So I said, I got a movie for you. I got a movie for you. It was the sequel to mariachi. And so
[01:50:56.040 --> 01:51:03.040]   Salma, I found in Mexico television, you know, doing, she couldn't get work in the U.S. because
[01:51:03.040 --> 01:51:06.580]   the roles in her. Yeah, how did you find her? I mean, this is one of the greatest actors
[01:51:06.580 --> 01:51:11.060]   in the world. It was one of the best stories. I was really determined to hire a real Latin,
[01:51:11.060 --> 01:51:17.280]   especially Hispanic, and then she's Mexican actress to be the Mexican character. That's like as authentic
[01:51:17.280 --> 01:51:21.700]   as you can get. And there was no one who was getting any jobs because no one was creating any. So there
[01:51:21.700 --> 01:51:25.660]   was no one that had any movies under their name because there was no one. It was a whole systemic
[01:51:25.660 --> 01:51:34.400]   problem, right? This was 94, 93. So I was watching a Paul Rodriguez show on Univision
[01:51:34.400 --> 01:51:38.920]   because he, I was trying to practice my Spanish because I was having to do all these Spanish
[01:51:38.920 --> 01:51:41.840]   interviews because mariachi was in Spanish. That was the other part I didn't tell you.
[01:51:41.840 --> 01:51:46.460]   I didn't speak Spanish when I made that movie. We didn't grow up with it. So I never, I left that
[01:51:46.460 --> 01:51:50.580]   part out of the mariachi story because I thought people already didn't believe I made the movie by
[01:51:50.580 --> 01:51:54.720]   myself. They knew I made it in a language I didn't speak. I should have said it because it'd be even
[01:51:54.720 --> 01:52:01.080]   more inspiring. Like now you have no excuse. I would wrote the English subtitles. Basically I
[01:52:01.080 --> 01:52:06.560]   wrote the titles, what became the subtitles. And then we take it to the actors and the actor would
[01:52:06.560 --> 01:52:13.020]   translate it for me. And I was like, I'd be like, holy, I would try to speak Spanish and say,
[01:52:13.020 --> 01:52:19.320]   like, let's record. And they'd be looking at me like, that means let's remember the record doesn't
[01:52:19.320 --> 01:52:24.500]   mean record. Now I know back then I didn't know. So I'm watching Univision.
[01:52:24.500 --> 01:52:31.460]   And then there's Sama as a guest and she's a big soap star down there in Mexico. And she comes out,
[01:52:31.460 --> 01:52:37.000]   she's beautiful, she's funny, everyone's laughing. She's Sama, everyone that we know now. And she
[01:52:37.000 --> 01:52:41.340]   starts talking about, you know, what I gather from what she's saying that she's having trouble finding
[01:52:41.340 --> 01:52:46.080]   any work in the U.S. because of her accent. And then, uh, Parajiga said, well, say something in
[01:52:46.080 --> 01:52:50.100]   English. And then she says, she sounds just like she does now. And he goes, that's great. She goes,
[01:52:50.100 --> 01:52:56.040]   I know, I know. And I went, I think this is the girl. So I called her in my office and I videotaped
[01:52:56.040 --> 01:52:58.880]   our first meeting together. So I have that somewhere.
[01:52:58.880 --> 01:52:59.780]   Oh, that's awesome.
[01:52:59.780 --> 01:53:06.520]   And it's Sama. It's Sama. It's her with her energy, with her passion. It's funny. She became instant
[01:53:06.520 --> 01:53:10.580]   friends with my wife, you know, before they walked over, your wife and I are best friends. She already
[01:53:10.580 --> 01:53:17.060]   was like part of the family. She's a godmother to my kids. Um, and I thought, I'm going to help you.
[01:53:17.060 --> 01:53:21.160]   You're going to help me. I need to have a Mexican actress in this and you're going to be phenomenal.
[01:53:21.160 --> 01:53:25.680]   The studio didn't see it. They were like, what? She hasn't done anything. Why don't you just hire
[01:53:25.680 --> 01:53:32.120]   somebody else who, you know, already has a name? So if we just give her one movie, then she'll be
[01:53:32.120 --> 01:53:35.900]   someone who's in a movie and then you can keep casting. So I made a whole mother movie with her
[01:53:35.900 --> 01:53:40.520]   in English called Road Racers. It was my second film for Showtime. Really cool little rebel without a
[01:53:40.520 --> 01:53:45.500]   cause type movie. Um, and she's, and I gave her a role in that. So we'd have an example of her doing
[01:53:45.500 --> 01:53:51.380]   English and they still were like, we need a screen test. We need to have a screen test with
[01:53:51.380 --> 01:53:56.900]   a bunch of other actresses, you know? So I said, sure, let's do that. So I went over to her house
[01:53:56.900 --> 01:54:03.600]   the night before, before the screen test. And we worked on the scene, which is the best scene
[01:54:03.600 --> 01:54:07.760]   where she's operating on his arm and they've got all this chemistry. And I was just directing her
[01:54:07.760 --> 01:54:12.040]   through it, like completely down to when you pick up the water and you hand him the water,
[01:54:12.300 --> 01:54:16.480]   don't scream. Oh, hot water. Just be like hot water. And while he's spitting it out and it's
[01:54:16.480 --> 01:54:21.860]   going to be a big dramatic action with like a very light delivery. And so we got it down to a science.
[01:54:21.860 --> 01:54:25.820]   The next day we show up, Antonio does a scene with all the girls come in.
[01:54:25.820 --> 01:54:35.520]   He does it with her. Clearly they've got amazing chemistry. She just nails it. He's great. He loves
[01:54:35.520 --> 01:54:43.280]   the studio. And he's like, okay, you can hire. Reluctantly like that, right? But once they saw the footage
[01:54:43.280 --> 01:54:47.880]   come as we're shooting and they saw it on the big screen when they're watching the dailies, then they
[01:54:47.880 --> 01:54:53.360]   were like, oh my God. And then they saw it. Then they saw what I saw when I met her. But sometimes,
[01:54:53.360 --> 01:54:58.540]   like you say, what do you do when people are like, hey, why come you're using these? Just know that not
[01:54:58.540 --> 01:55:03.880]   everyone's going to see it. You may have the only vision. Just keep going. There's an instinct that
[01:55:03.880 --> 01:55:08.340]   tells you to keep going that way. You'll get proved right or wrong, or maybe you're slipping on the
[01:55:08.340 --> 01:55:12.980]   first two rocks or whatever, but follow your instinct because you can, everyone's going to have an
[01:55:12.980 --> 01:55:18.120]   opinion and it's not necessarily the right one. And when you're an independent filmmaker, you can make
[01:55:18.120 --> 01:55:23.800]   those decisions to change people's careers, that changes the world. And that's why you want to remain
[01:55:23.800 --> 01:55:27.820]   independent. That's why what's happening now in the industry is great because I have to make movies
[01:55:27.820 --> 01:55:33.260]   like the way I started, which is what I've always liked to do, which is just doing it where we create
[01:55:33.260 --> 01:55:36.540]   our own destiny. We go, hey, we're going to make a movie. We're going to make it for this budget so we
[01:55:36.540 --> 01:55:40.220]   can make it. And the story is going to be so character driven and cool. We're going to be able to get big
[01:55:40.220 --> 01:55:43.800]   actors to be in it because they're going to want to be in it. So Danny Trejo, you asked me about Danny
[01:55:43.800 --> 01:55:49.020]   Trejo. Yes, yes, yes, yes, yes. Okay. Danny Trejo. We're doing Desperado now. I'm casting all kinds of
[01:55:49.020 --> 01:55:53.280]   people. Now I have this character that I want to have a bunch of knives. He opens up his vest and there's a bunch
[01:55:53.280 --> 01:56:00.160]   of knives. So bring me all the coolest looking, you know, Latin actors we can find. And before he even
[01:56:00.160 --> 01:56:05.340]   walked in, there's a picture of him. He already looked like the guy, but he was younger. He always just
[01:56:05.340 --> 01:56:10.720]   played prison inmates. It was a picture of him as an inmate in a prison. I want to give him a cool role, you
[01:56:10.720 --> 01:56:16.480]   know, just wherever this actor is. He walks in and I see him. It's Danny Trejo. He sits down and I had the prop
[01:56:16.480 --> 01:56:22.120]   knife already made. And I say, you need to have this in your hand and look like you sleep with it.
[01:56:22.120 --> 01:56:27.040]   Like just practice flipping it around your hand. And I gave it to him. You got the role. Just start
[01:56:27.040 --> 01:56:29.900]   practicing with that. And he gets up and walks out. He didn't have to say anything because there's no
[01:56:29.900 --> 01:56:35.960]   dialogue. He walks up. We get to the set and he kept saying, put me in coach. Give me a line. Give
[01:56:35.960 --> 01:56:39.280]   me a line. It's like, no, no, you're such a nice guy. You're going to blow the whole mystique. I want this
[01:56:39.280 --> 01:56:44.500]   guy to feel like the most evil, scary guy of all. And you're such a nice guy. I didn't let him talk
[01:56:44.500 --> 01:56:49.980]   till dusk till dawn. But one thing I noticed was that the town we were shot in, the Mexican town,
[01:56:49.980 --> 01:56:54.280]   which is the same town I shot Mariachi. We went back there because I wanted to pay back the city.
[01:56:54.280 --> 01:57:00.280]   And so we had this big movie there and they didn't really know Antonio because he was in European
[01:57:00.280 --> 01:57:06.360]   movies. Salmo hadn't come to the set yet, but they saw Danny Trejo there in his vest looking like a
[01:57:06.360 --> 01:57:13.940]   Mexican icon. They would go like this. Everyone thought he was the star. And I just know magnetism
[01:57:13.940 --> 01:57:20.160]   when I see it. And I went, this guy's got something. So I went to him and I said, I got a movie we're
[01:57:20.160 --> 01:57:26.280]   going to do someday. This was 94. We didn't make this movie for 15 years. Machete. You're going to be
[01:57:26.280 --> 01:57:32.100]   Machete. I had, I had an idea for Machete then. It wasn't the same story. I had seen a story.
[01:57:33.440 --> 01:57:37.220]   Actually, Mariachi, the guy from March sent me this funny story. He said, Hey, look at this story
[01:57:37.220 --> 01:57:45.440]   that the USDA and FBI sometimes would hire a Mexican federal to come do a job for 25 grand that they
[01:57:45.440 --> 01:57:49.740]   didn't want to get their own guys killed on. I said, that's Machete, the guy that they pay.
[01:57:49.740 --> 01:57:56.020]   But he's not doing it for the money. It turns out he has to get this guy that escaped Mexico. And
[01:57:56.020 --> 01:57:58.900]   that's the twist. So that was the original story I had. I said, we're going to do this someday.
[01:57:59.240 --> 01:58:04.180]   And we talked about it for years and never did it. Never had got around to doing it. So when I did
[01:58:04.180 --> 01:58:09.280]   Spy Kids, I put him in Spy Kids and I said, Hey, let's pay tribute to that character we never got to
[01:58:09.280 --> 01:58:15.020]   make. And you'll be uncle Machete. He's a gadget guy, but he's got a mysterious past. But then a few
[01:58:15.020 --> 01:58:19.720]   years later, Quentin and I were doing Grindhouse and he'd already done Dustal Dahl with me. You know,
[01:58:19.720 --> 01:58:24.200]   I was building my own Latin star system. Salmo showed up in a bunch of my movies. Cheech shows up in
[01:58:24.200 --> 01:58:28.940]   every movie. Danny shows up. I brought Cheech out of retirement and put him in my movie. I needed to
[01:58:28.940 --> 01:58:32.400]   create my own Latin star system because all my scripts, because when you write in your own voice,
[01:58:32.400 --> 01:58:36.800]   you're going to write probably somebody that's Latin, you know, so you need to have a star system
[01:58:36.800 --> 01:58:40.280]   that matches that so that you don't have trouble casting and people are like, well, you can't hire
[01:58:40.280 --> 01:58:45.760]   this person. So I built up my own star system. So Danny was one of my stars. So after we're doing
[01:58:45.760 --> 01:58:53.300]   Grindhouse, we had to do fake trailers for Grindhouse. And I told Quentin, I know what trailer I'm going to do
[01:58:53.300 --> 01:58:57.500]   for the movie I never got to make with Danny called Machete. That'll be so fun. Finally get
[01:58:57.500 --> 01:59:02.680]   that out of our system. And doing a trailer is so fun. It's two days of shooting. Just still being
[01:59:02.680 --> 01:59:07.720]   that resourceful guy. We asked this company that had a digital camera we wanted to use. Can you let us
[01:59:07.720 --> 01:59:11.980]   send it to us for a couple of days screen test? I mean, camera test. Instead of shooting a camera
[01:59:11.980 --> 01:59:16.460]   test, we shot the trailer. So we got a free camera, shot the trailer with him. And it's just the money
[01:59:16.460 --> 01:59:21.500]   shots, him opening his vest full of machetes, you know, him aiming that gun, him in a waterfall with
[01:59:21.500 --> 01:59:28.540]   two gals. And I just came up with this really funny trailer and we shot it. People were screaming at
[01:59:28.540 --> 01:59:33.920]   the premiere. You couldn't even hear it. They just wanted that movie so badly because there was
[01:59:33.920 --> 01:59:37.640]   blaxploitation in the seventies. There was never mexploitation. It felt like this should have
[01:59:37.640 --> 01:59:42.000]   existed, but it didn't. It's Mexican superhero. They just never seen anything like that. You know,
[01:59:42.000 --> 01:59:47.460]   now, you know, but like even his mom calls him a shame. Like he just became this guy. And I've
[01:59:47.460 --> 01:59:53.460]   saw 250 movies that he's been in. Machete is his most famous one. So for five years,
[01:59:53.460 --> 02:00:01.140]   five years, people would come up to us and say, where's Machete? Why aren't you? Where's the,
[02:00:01.140 --> 02:00:05.180]   when's that movie coming out? We're like, it's not a real movie, but when it looks real, we want to see
[02:00:05.180 --> 02:00:10.900]   that movie. So we finally made the movie because people just asked for it. And I used, I wanted to,
[02:00:10.980 --> 02:00:15.320]   I was adamant about being resourceful again. All those shots that are in the trailer are really
[02:00:15.320 --> 02:00:20.820]   great. I got to reverse engineer the trailer into a movie so that I can use that shot that's in the
[02:00:20.820 --> 02:00:24.720]   trailer. Like this girl in the waterfall. Why would this girl be in the waterfall? I don't have a really
[02:00:24.720 --> 02:00:28.560]   clever way that he gets the bad guy. Her hair's kind of, her face is kind of covered by this hair.
[02:00:28.560 --> 02:00:34.060]   We'll cast Lindsay Lohan there or the Senator will switch it out for Robert De Niro. Well, I just
[02:00:34.060 --> 02:00:39.360]   reverse engineered it. So every time there's a shot in the trailer, it's in the movie, but I shot all the
[02:00:39.360 --> 02:00:43.320]   footage around to lead up to it. That's another fun, creative exercise is to reverse engineer
[02:00:43.320 --> 02:00:47.880]   something. You just did like this on the day. You just threw a bunch of cards out basically with
[02:00:47.880 --> 02:00:52.520]   that trailer. And now you got to go make a movie using all those cards. That's like a creative
[02:00:52.520 --> 02:00:57.800]   exercise that I thought so satisfying. So fun. Yeah, that was beautiful. You're, you're actually
[02:00:57.800 --> 02:01:03.180]   known in part, maybe you can correct me, but to do pretty unexpected, surprising, kind of interesting
[02:01:03.180 --> 02:01:08.980]   casting. So Robert De Niro is an example of that. And that's just a great role. The second aspect of
[02:01:08.980 --> 02:01:13.800]   that I heard the story that you can just get an actor in and out in just a few days,
[02:01:13.800 --> 02:01:18.060]   really fast. The, the, the Robert Rodriguez experiences they call it. How do you make that
[02:01:18.060 --> 02:01:22.220]   happen? Like, can you just tell the story? Well, I'm the editor, I'm the cameraman, I'm the DP.
[02:01:22.220 --> 02:01:30.500]   And so when I call him and say, I've got you as the villain in this whole movie, but I'm going to,
[02:01:30.500 --> 02:01:34.780]   I swear, I'm going to shoot you on four days. You come down four days. Like there's a scene where
[02:01:34.780 --> 02:01:38.640]   he's in the hospital. He's just smiling. He's having such a good time. Cause he couldn't believe it. I said,
[02:01:38.640 --> 02:01:42.960]   guess what? When you wake up from your hotel room at the Stephen F. Austin, you just crossed the
[02:01:42.960 --> 02:01:47.860]   hallway. That's the set. The room, the room next to yours, we turned into the hospital set. So you're
[02:01:47.860 --> 02:01:51.200]   just going to come laying there in your pajamas. Really? That's what you did? Well, yeah, we had
[02:01:51.200 --> 02:01:55.800]   to save time. We only have four days. So everything had to be very thought out to be like, boom,
[02:01:55.800 --> 02:01:58.560]   boom, boom, let's shoot the money, get him out of this. We don't have to spend a lot of money on him.
[02:01:58.560 --> 02:02:01.620]   Book a room in a hotel set up to look like a hospital room.
[02:02:01.620 --> 02:02:04.780]   Yeah. That's our set. And it's real. You don't have to dress it. And it's just right there.
[02:02:05.120 --> 02:02:09.660]   All you do is put like a little tube there, you know, like a, for his IV. And then you have a
[02:02:09.660 --> 02:02:14.640]   couple of nurses and it looks like. Just genius. It was Robert De Niro. Resourceful, resourceful.
[02:02:14.640 --> 02:02:17.880]   Next door. But, uh, I said, you're going to think about me when you're on your next
[02:02:17.880 --> 02:02:22.080]   meet the Fockers movie and you're on there for six months where they have you sitting in a trailer.
[02:02:22.080 --> 02:02:26.200]   I don't like to do that. So, you know, I gave Lady Gaga her first two movies
[02:02:26.200 --> 02:02:33.880]   because, um, after Machete, she said publicly, she said, I saw Machete and my song Americano should
[02:02:33.880 --> 02:02:38.600]   have been in Machete. I thought she saw Machete. So I called her up and I said, Hey, I'm making a
[02:02:38.600 --> 02:02:42.120]   sequel and I would certainly use your music. But have you ever thought about acting? Cause you're
[02:02:42.120 --> 02:02:45.660]   an amazing performer. I think you'd be, I've worked with a lot of actors who are also musicians and
[02:02:45.660 --> 02:02:49.080]   they're always great. Cause I already know how to be a persona, be on stage, be in front of a bunch
[02:02:49.080 --> 02:02:53.400]   of people, which most actors can't do. And she said, actually, I studied acting before I became a
[02:02:53.400 --> 02:02:57.020]   singer. So, well, you'll never be able to be in a movie because you know what? They don't
[02:02:57.020 --> 02:03:02.180]   know how to shoot people out. They want six months of your time and you've got, and you're always on
[02:03:02.180 --> 02:03:08.240]   tour, but if you come be here, I have a part for you. I can shoot you out in half a day, this whole
[02:03:08.240 --> 02:03:12.820]   section of a movie and I'll shoot your movie poster. She's like, okay. So she shows up. I had all the
[02:03:12.820 --> 02:03:17.000]   sets, like a conveyor belt right next to each other. Shoot, shoot, shoot, shoot. She's in the car.
[02:03:17.000 --> 02:03:21.280]   That's why she had me do her music video for rain on me later. She said, we should just go to
[02:03:21.280 --> 02:03:25.560]   Austin. Robert put me on a grease. I was throughout that whole movie. I don't know how we did that.
[02:03:25.560 --> 02:03:30.840]   It was half a day. She was there half a day. I did the same for Sin City too. I was like, I have a set
[02:03:30.840 --> 02:03:35.280]   here waiting for you. If you're on tour in Houston, just drive into Austin. I'll shoot you out in half
[02:03:35.280 --> 02:03:38.040]   a day. You could be in a scene with Joseph Gordon-Levitt. Sure. She came down.
[02:03:38.040 --> 02:03:43.420]   So wait, how do you take Robert De Niro? How do you take Lady Gaga and like solve the puzzle of all
[02:03:43.420 --> 02:03:48.400]   the scenes that have to be in? How do we shoot them quickly, efficiently, conveniently?
[02:03:48.900 --> 02:03:54.460]   You have to edit your own movie. I have this analogy, a food analogy that works really well.
[02:03:54.460 --> 02:04:01.040]   Script is like your grocery list. Filming is like grocery shopping, getting the best performances,
[02:04:01.040 --> 02:04:08.600]   getting the best beat, getting the best ingredients, right? Editing is like the cooking. Too much of
[02:04:08.600 --> 02:04:12.560]   this and not enough of that. You fuck the whole thing up. So there's so many filmmakers do not edit.
[02:04:12.900 --> 02:04:17.740]   And they give it to some other guy who might look at all your ingredients and go, well, this is all
[02:04:17.740 --> 02:04:24.240]   great, but I'm going to go make a fucking souffle. And he makes something else. So by doing that job,
[02:04:24.240 --> 02:04:28.080]   I mean, like I've worked on some big stuff and I realized finally after many years, because I've
[02:04:28.080 --> 02:04:34.660]   always edited, I realized this is why movies cost so much. There could be 150, 200 people on the crew.
[02:04:34.780 --> 02:04:39.880]   And I swear not one of them knows how to edit, not one. So they're getting the wrong stuff. They're
[02:04:39.880 --> 02:04:45.560]   having to reshoot shit. The editor is in a room somewhere useless calling after the fact. We still
[02:04:45.560 --> 02:04:49.540]   need to get this closeup, but you got to reshoot that because it doesn't match because no one knows
[02:04:49.540 --> 02:04:58.140]   editing. So if you just know that you're already miles ahead of 99% of Hollywood, but that's just how
[02:04:58.140 --> 02:05:03.440]   I learned by accident. So I kind of stumbled upon it. But, um, and I realized that's what the problem
[02:05:03.440 --> 02:05:07.940]   is because across the board, I'm watching them going, that's not going to match. You guys are
[02:05:07.940 --> 02:05:12.800]   just spending money, sending crews out, shooting stuff for this. It's just, it's a clusterfuck.
[02:05:12.800 --> 02:05:17.940]   Let me show you. And that's how it's in city. Bruce Willis, nine days. Well,
