
[00:00:00.000 --> 00:00:02.000]   Let us pray.
[00:41:10.000 --> 00:41:12.000]   now, not the commentary, but the preface
[00:41:12.000 --> 00:41:15.000]   and here was this man standing there
[00:41:15.000 --> 00:41:17.000]   and the people sitting, listening to him
[00:41:17.000 --> 00:41:21.000]   reading out of Luther's preface to his commentary on Romans
[00:41:21.000 --> 00:41:25.000]   and as he was reading, Wesley says that his heart was strangely warmed
[00:41:25.000 --> 00:41:30.000]   and he suddenly felt that God had forgiven his sins, even his
[00:41:30.000 --> 00:41:32.000]   and he felt this warmth
[00:41:33.000 --> 00:41:34.000]   something began to melt within him
[00:41:34.000 --> 00:41:36.000]   and it was from that moment
[00:41:36.000 --> 00:41:39.000]   that this man began to preach with power
[00:41:39.000 --> 00:41:41.000]   and was greatly used with God
[00:41:41.000 --> 00:41:45.000]   you see, all this is confirmatory of what I've told you in the scriptures
[00:41:45.000 --> 00:41:47.000]   you can have the full preparation
[00:41:47.000 --> 00:41:49.000]   without this, you'll have no power
[00:41:49.000 --> 00:41:51.000]   it'll be non-effective
[00:41:51.000 --> 00:41:54.000]   but from there on, with great power and might
[00:41:54.000 --> 00:41:58.000]   Whitefield tells us that he was aware actually
[00:41:58.000 --> 00:42:00.000]   in his ordination service
[00:42:01.000 --> 00:42:03.000]   of the power coming down upon him
[00:42:03.000 --> 00:42:06.000]   he knew it, he was thrilled with the power
[00:42:06.000 --> 00:42:09.000]   he went back to preach in his hometown of Gloucester
[00:42:09.000 --> 00:42:11.000]   and it was an amazing meeting
[00:42:11.000 --> 00:42:13.000]   indeed, it was so amazing
[00:42:13.000 --> 00:42:16.000]   that some people wrote to the bishop, Bishop Benson
[00:42:16.000 --> 00:42:18.000]   complaining about Whitefield
[00:42:18.000 --> 00:42:21.000]   they said that as the result of his one sermon
[00:42:21.000 --> 00:42:23.000]   15 people had become insane
[00:42:23.000 --> 00:42:28.000]   the bishop, the bishop was not only a wise man, but a good man
[00:42:29.000 --> 00:42:33.000]   he wished that all his clergy produced some effect on people
[00:42:33.000 --> 00:42:35.000]   that most of them had no effect at all
[00:42:35.000 --> 00:42:38.000]   so he was glad to hear of a man who had some effect
[00:42:38.000 --> 00:42:40.000]   well of course, they were not insane
[00:42:40.000 --> 00:42:43.000]   what had happened was, they'd come under terrible conviction of sin
[00:42:43.000 --> 00:42:45.000]   and then, you see, even as now
[00:42:45.000 --> 00:42:47.000]   when a man comes under conviction of sin
[00:42:47.000 --> 00:42:49.000]   if he goes to a doctor
[00:42:49.000 --> 00:42:53.000]   who is not like Dr. Dendalkia, a true and a fine Christian
[00:42:53.000 --> 00:42:56.000]   he will be diagnosed as a religious mania
[00:42:56.000 --> 00:42:58.000]   so they think he's mad
[00:42:58.000 --> 00:42:59.000]   but actually what happens is
[00:42:59.000 --> 00:43:02.000]   that the man has come under tremendous conviction
[00:43:02.000 --> 00:43:04.000]   of the Holy Spirit of God
[00:43:04.000 --> 00:43:08.000]   well, I could go on and tell you
[00:43:08.000 --> 00:43:11.000]   about men in every denomination
[00:43:11.000 --> 00:43:14.000]   in the little country I come from
[00:43:14.000 --> 00:43:17.000]   two men, Howell Harris and Daniel Rowland
[00:43:17.000 --> 00:43:20.000]   they tell you this so clearly
[00:43:20.000 --> 00:43:23.000]   Howell Harris, listen to this, he was a schoolmaster
[00:43:23.000 --> 00:43:25.000]   convicted of sin
[00:43:26.000 --> 00:43:28.000]   at Easter time in 1735
[00:43:28.000 --> 00:43:30.000]   then in great trouble of soul
[00:43:30.000 --> 00:43:33.000]   Whitson, 1735
[00:43:33.000 --> 00:43:36.000]   he gets assurance that his sins are forgiven
[00:43:36.000 --> 00:43:39.000]   and he begins to enjoy this experience
[00:43:39.000 --> 00:43:41.000]   three weeks later
[00:43:41.000 --> 00:43:43.000]   he was sitting in the tower of a church
[00:43:43.000 --> 00:43:46.000]   reading his scriptures and praying and meditating
[00:43:46.000 --> 00:43:51.000]   when he says, God began to pour out his spirit upon him
[00:43:51.000 --> 00:43:54.000]   and he says, oh it came wave after wave
[00:43:55.000 --> 00:43:57.000]   until he could scarcely contain it
[00:43:57.000 --> 00:43:59.000]   and it was from that moment
[00:43:59.000 --> 00:44:04.000]   that that man felt his impulse to evangelize
[00:44:04.000 --> 00:44:06.000]   his heathen neighbors
[00:44:06.000 --> 00:44:08.000]   and at first what he used to do was
[00:44:08.000 --> 00:44:10.000]   he'd visit the sick and he'd read good books to them
[00:44:10.000 --> 00:44:13.000]   didn't say a word of his own, just read books
[00:44:13.000 --> 00:44:16.000]   but there was such unction on his even reading of these books
[00:44:16.000 --> 00:44:18.000]   that people were convicted and converted
[00:44:18.000 --> 00:44:20.000]   and this went on for some time
[00:44:20.000 --> 00:44:22.000]   then he began, he was so nervous
[00:44:22.000 --> 00:44:24.000]   and felt he was so unworthy as a preacher
[00:44:24.000 --> 00:44:26.000]   though he felt he was a little bit dishonest
[00:44:26.000 --> 00:44:28.000]   he went on reading and he didn't disperse
[00:44:28.000 --> 00:44:31.000]   some of his own remarks as thoughts came to him
[00:44:31.000 --> 00:44:33.000]   and on he went like that for a while
[00:44:33.000 --> 00:44:36.000]   but this man was the pioneer in a sense
[00:44:36.000 --> 00:44:39.000]   in a movement that shook the whole country
[00:44:39.000 --> 00:44:41.000]   and brought the denomination known as
[00:44:41.000 --> 00:44:43.000]   the Calvinistic Methodists
[00:44:43.000 --> 00:44:45.000]   and now Presbyterian Church of Wales
[00:44:45.000 --> 00:44:47.000]   into being and into existence
[00:44:47.000 --> 00:44:49.000]   that's how it happened
[00:44:49.000 --> 00:44:51.000]   this special anointing and unction
[00:44:51.000 --> 00:44:53.000]   then he would lose it for a while
[00:44:53.000 --> 00:44:54.000]   and he would be grieving
[00:44:54.000 --> 00:44:56.000]   then it would come back to him
[00:44:56.000 --> 00:44:59.000]   and on he went like that until he died in 1773
[00:44:59.000 --> 00:45:02.000]   and the same thing is true of others
[00:45:02.000 --> 00:45:04.000]   well you've had other men
[00:45:04.000 --> 00:45:07.000]   you've had a man called Asahel Nettleton in this country
[00:45:07.000 --> 00:45:10.000]   read the biography of that man by Andrew Bonar
[00:45:10.000 --> 00:45:12.000]   Nettleton
[00:45:12.000 --> 00:45:17.000]   and then you see in this extraordinary way
[00:45:17.000 --> 00:45:20.000]   you've had it in very different types of men
[00:45:20.000 --> 00:45:22.000]   most of the men I've been mentioning so far
[00:45:22.000 --> 00:45:23.000]   are very good men
[00:45:23.000 --> 00:45:25.000]   but there's a man like D.L. Moody
[00:45:25.000 --> 00:45:27.000]   who in no sense was an able man at all
[00:45:27.000 --> 00:45:29.000]   but he was a man greatly used of God
[00:45:29.000 --> 00:45:31.000]   and if you read his life you'll find
[00:45:31.000 --> 00:45:33.000]   it was as the result of an experience he had
[00:45:33.000 --> 00:45:36.000]   walking down Wall Street in New York City
[00:45:36.000 --> 00:45:38.000]   one afternoon
[00:45:38.000 --> 00:45:41.000]   Moody remember had been a pastor of a church in Chicago before that
[00:45:41.000 --> 00:45:43.000]   and he was a successful pastor
[00:45:43.000 --> 00:45:46.000]   he was certainly doing a good work
[00:45:46.000 --> 00:45:49.000]   but it pales into insignificance
[00:45:50.000 --> 00:45:52.000]   when you put it in the light of the work that he was afterwards
[00:45:52.000 --> 00:45:54.000]   unable to do
[00:45:54.000 --> 00:45:56.000]   but let me give you as my last illustration
[00:45:56.000 --> 00:45:58.000]   a most extraordinary thing
[00:45:58.000 --> 00:46:01.000]   and I use this in order to show you
[00:46:01.000 --> 00:46:05.000]   the character of this thing about which I'm speaking
[00:46:05.000 --> 00:46:11.000]   you had a great revival in this country in 1857
[00:46:11.000 --> 00:46:16.000]   it spread over to Northern Ireland in 1858
[00:46:17.000 --> 00:46:20.000]   it spread to Wales in 1859
[00:46:20.000 --> 00:46:24.000]   these revivals have generally happened simultaneously
[00:46:24.000 --> 00:46:26.000]   in a number of countries at the same time
[00:46:26.000 --> 00:46:28.000]   interesting in itself
[00:46:28.000 --> 00:46:34.000]   but now I want to tell you about the man who was used of God in Wales
[00:46:34.000 --> 00:46:36.000]   in that revival
[00:46:36.000 --> 00:46:38.000]   his name was David Morgan
[00:46:38.000 --> 00:46:41.000]   there is an English account of this man but
[00:46:41.000 --> 00:46:46.000]   I'll tell you what is to me the most amazing thing in this story
[00:46:47.000 --> 00:46:50.000]   there was a Welshman in this country of the name of Humphrey Jones
[00:46:50.000 --> 00:46:53.000]   and he came under the power of the revival here
[00:46:53.000 --> 00:46:56.000]   and having enjoyed this new life
[00:46:56.000 --> 00:47:00.000]   and being filled with a spirit of joy and rejoicing
[00:47:00.000 --> 00:47:03.000]   he said I wish my people at home could get this
[00:47:03.000 --> 00:47:06.000]   and he began to feel this so much that he went home
[00:47:06.000 --> 00:47:09.000]   and you realise what that meant in those days
[00:47:09.000 --> 00:47:13.000]   and he went back and he just began to tell people
[00:47:14.000 --> 00:47:16.000]   about what he'd seen and experienced here
[00:47:16.000 --> 00:47:19.000]   and he would go around and speak in chapels
[00:47:19.000 --> 00:47:21.000]   and the ministers and others would listen to him
[00:47:21.000 --> 00:47:25.000]   well this man David Morgan had listened a number of times to Humphrey Jones
[00:47:25.000 --> 00:47:29.000]   was interested, began to feel a longing for this
[00:47:29.000 --> 00:47:31.000]   then he heard him one night
[00:47:31.000 --> 00:47:35.000]   and Humphrey Jones was speaking with exceptional power
[00:47:35.000 --> 00:47:38.000]   and this was David Morgan's testimony
[00:47:38.000 --> 00:47:42.000]   he said I went to bed that night
[00:47:43.000 --> 00:47:45.000]   David Morgan as usual
[00:47:45.000 --> 00:47:49.000]   I woke up the next morning
[00:47:49.000 --> 00:47:52.000]   feeling like a lion
[00:47:52.000 --> 00:47:57.000]   feeling that I was filled with the power of the Holy Ghost
[00:47:57.000 --> 00:48:01.000]   now before this he'd been a minister for a number of years
[00:48:01.000 --> 00:48:06.000]   a good man, nothing exceptional, in fact an ordinary preacher
[00:48:06.000 --> 00:48:08.000]   but a good man
[00:48:08.000 --> 00:48:10.000]   nothing happened as a result of his preaching ever
[00:48:11.000 --> 00:48:14.000]   but he woke up this morning feeling like a lion
[00:48:14.000 --> 00:48:18.000]   and he began to preach with such power
[00:48:18.000 --> 00:48:22.000]   that people were convicted all around and converted
[00:48:22.000 --> 00:48:24.000]   and great rejoicing came in
[00:48:24.000 --> 00:48:26.000]   and this went on
[00:48:26.000 --> 00:48:29.000]   for over two years, wherever this man went
[00:48:29.000 --> 00:48:32.000]   these tremendous results took place
[00:48:32.000 --> 00:48:35.000]   I could tell you the story of the conversion of a man
[00:48:35.000 --> 00:48:38.000]   go and look in the library
[00:48:39.000 --> 00:48:42.000]   and if there is a commentary there on the first epistle to the Corinthians
[00:48:42.000 --> 00:48:45.000]   by T.C. Edwards
[00:48:45.000 --> 00:48:48.000]   Thomas Charles Edwards, it's probably there
[00:48:48.000 --> 00:48:51.000]   because it was in that series of commentaries
[00:48:51.000 --> 00:48:53.000]   that was edited by
[00:48:53.000 --> 00:48:56.000]   the editor of the British Weekly at the end of the last century
[00:48:56.000 --> 00:48:58.000]   I'm not sure whether it was the International Critical
[00:48:58.000 --> 00:49:00.000]   one of those series
[00:49:00.000 --> 00:49:03.000]   now Thomas Charles Edwards was a great genius
[00:49:03.000 --> 00:49:06.000]   his father was the president of a theological seminary
[00:49:07.000 --> 00:49:09.000]   and this son T.C. Edwards was home on vacation
[00:49:09.000 --> 00:49:12.000]   and heard that this David Morgan and another preacher
[00:49:12.000 --> 00:49:14.000]   were going to preach in his town
[00:49:14.000 --> 00:49:16.000]   and he describes how he went to the meeting
[00:49:16.000 --> 00:49:19.000]   full of difficulties
[00:49:19.000 --> 00:49:22.000]   his faith had been somewhat shaken by his reading of philosophy
[00:49:22.000 --> 00:49:24.000]   and he was in trouble
[00:49:24.000 --> 00:49:26.000]   didn't quite know where he was
[00:49:26.000 --> 00:49:28.000]   and he said he went in that mood
[00:49:28.000 --> 00:49:30.000]   just out of curiosity to see what these two simple preachers
[00:49:30.000 --> 00:49:32.000]   could possibly be saying
[00:49:32.000 --> 00:49:34.000]   and he'd heard a lot about this enthusiasm
[00:49:35.000 --> 00:49:37.000]   and excitement of which he heartily disapproved
[00:49:37.000 --> 00:49:39.000]   what happened to him?
[00:49:39.000 --> 00:49:41.000]   well this is what happened to him
[00:49:41.000 --> 00:49:47.000]   he'd got a red silk handkerchief in his pocket
[00:49:47.000 --> 00:49:50.000]   they used to be common and popular at those times
[00:49:50.000 --> 00:49:52.000]   and all he knew was this
[00:49:52.000 --> 00:49:54.000]   that at the end of the meeting
[00:49:54.000 --> 00:49:57.000]   the red silk handkerchief was torn to shreds
[00:49:57.000 --> 00:50:00.000]   at the bottom of the pew in which he was sitting
[00:50:00.000 --> 00:50:02.000]   he didn't know that he'd done it but he had done it
[00:50:03.000 --> 00:50:05.000]   and his entire life was changed
[00:50:05.000 --> 00:50:07.000]   his philosophical doubts were dispersed
[00:50:07.000 --> 00:50:11.000]   all his uncertainties vanished like the morning mist
[00:50:11.000 --> 00:50:16.000]   and this great scholar was filled with power
[00:50:16.000 --> 00:50:19.000]   became the first principal of a university college
[00:50:19.000 --> 00:50:21.000]   and eventually followed his father
[00:50:21.000 --> 00:50:23.000]   as president of the theological seminary
[00:50:23.000 --> 00:50:25.000]   well now this is it
[00:50:25.000 --> 00:50:27.000]   this went on with David Morgan for two years
[00:50:27.000 --> 00:50:30.000]   then this is the rest of his story
[00:50:30.000 --> 00:50:32.000]   he said I went to bed one night
[00:50:32.000 --> 00:50:35.000]   like this lion
[00:50:35.000 --> 00:50:38.000]   filled with the power that I'd enjoyed
[00:50:38.000 --> 00:50:40.000]   for the two years
[00:50:40.000 --> 00:50:42.000]   I woke up the next morning
[00:50:42.000 --> 00:50:47.000]   and found that I'd become David Morgan once more
[00:50:47.000 --> 00:50:50.000]   he lived about 15 years afterwards
[00:50:50.000 --> 00:50:56.000]   exercising the most ordinary ministry conceivable
[00:50:56.000 --> 00:50:59.000]   the power came
[00:51:00.000 --> 00:51:02.000]   the power was withdrawn
[00:51:02.000 --> 00:51:04.000]   the lordship of the spirit
[00:51:04.000 --> 00:51:06.000]   you can't commend this
[00:51:06.000 --> 00:51:08.000]   you can't order it
[00:51:08.000 --> 00:51:10.000]   it is entirely the gift of God
[00:51:10.000 --> 00:51:12.000]   the examples I gave you from the scripture
[00:51:12.000 --> 00:51:14.000]   indicate this
[00:51:14.000 --> 00:51:17.000]   Peter filled with the spirit
[00:51:17.000 --> 00:51:20.000]   the spirit filled him
[00:51:20.000 --> 00:51:22.000]   so he did with David Morgan
[00:51:22.000 --> 00:51:24.000]   then in his own wisdom and sovereignty
[00:51:24.000 --> 00:51:26.000]   he took it from him
[00:51:26.000 --> 00:51:28.000]   revivals are not meant to be permanent
[00:51:29.000 --> 00:51:30.000]   revivals
[00:51:30.000 --> 00:51:32.000]   but at the same time
[00:51:32.000 --> 00:51:34.000]   I do suggest to you
[00:51:34.000 --> 00:51:36.000]   that you and I every time we preach
[00:51:36.000 --> 00:51:38.000]   should be seeking this
[00:51:38.000 --> 00:51:40.000]   how do we know when this happens
[00:51:40.000 --> 00:51:42.000]   well let me try and tell you
[00:51:42.000 --> 00:51:46.000]   the first thing is in the preacher's own consciousness
[00:51:46.000 --> 00:51:49.000]   our gospel came not unto you in word only says Paul
[00:51:49.000 --> 00:51:51.000]   but also in power and the holy ghost
[00:51:51.000 --> 00:51:53.000]   and much assurance
[00:51:53.000 --> 00:51:55.000]   who knew the assurance? Paul
[00:51:55.000 --> 00:51:57.000]   he knew something was happening
[00:51:58.000 --> 00:51:59.000]   he was aware of it
[00:51:59.000 --> 00:52:01.000]   you can't be filled with the spirit without knowing it
[00:52:01.000 --> 00:52:03.000]   he had much assurance
[00:52:03.000 --> 00:52:07.000]   he knew he was clothed with power and authority
[00:52:07.000 --> 00:52:10.000]   and how does one know it?
[00:52:10.000 --> 00:52:12.000]   well it gives you clarity of thought
[00:52:12.000 --> 00:52:14.000]   clarity of speech
[00:52:14.000 --> 00:52:16.000]   ease of utterance
[00:52:16.000 --> 00:52:20.000]   great assurance and confidence as you are preaching
[00:52:20.000 --> 00:52:22.000]   an awareness of a power not your own
[00:52:22.000 --> 00:52:24.000]   thrilling through the whole of your being
[00:52:24.000 --> 00:52:26.000]   a joy
[00:52:27.000 --> 00:52:28.000]   a blast
[00:52:28.000 --> 00:52:30.000]   you are taken hold of
[00:52:30.000 --> 00:52:33.000]   indeed I like to put it like this
[00:52:33.000 --> 00:52:36.000]   and I know of nothing on earth that is comparable to this
[00:52:36.000 --> 00:52:38.000]   when this happens
[00:52:38.000 --> 00:52:40.000]   you really feel
[00:52:40.000 --> 00:52:42.000]   that you are not doing the preaching
[00:52:42.000 --> 00:52:44.000]   you are looking on
[00:52:44.000 --> 00:52:46.000]   you are literally looking on at yourself
[00:52:46.000 --> 00:52:48.000]   as this is happening
[00:52:48.000 --> 00:52:50.000]   it isn't your effort
[00:52:50.000 --> 00:52:52.000]   you are just the instrument
[00:52:52.000 --> 00:52:54.000]   the channel, the vehicle
[00:52:54.000 --> 00:52:56.000]   and the spirit is using you
[00:52:56.000 --> 00:52:58.000]   and you are looking on with great enjoyment
[00:52:58.000 --> 00:53:00.000]   and amazement
[00:53:00.000 --> 00:53:02.000]   and astonishment
[00:53:02.000 --> 00:53:05.000]   there is nothing I say that is in any way comparable to this
[00:53:05.000 --> 00:53:07.000]   that is what the preacher is aware of
[00:53:07.000 --> 00:53:09.000]   what about the people?
[00:53:09.000 --> 00:53:11.000]   they know it at once
[00:53:11.000 --> 00:53:13.000]   they can tell the difference immediately
[00:53:13.000 --> 00:53:15.000]   they are gripped
[00:53:15.000 --> 00:53:17.000]   they become serious
[00:53:17.000 --> 00:53:19.000]   they are convicted
[00:53:19.000 --> 00:53:21.000]   they are moved
[00:53:21.000 --> 00:53:23.000]   they are humbled
[00:53:23.000 --> 00:53:25.000]   they are convicted of sin
[00:53:25.000 --> 00:53:26.000]   and they know at once
[00:53:26.000 --> 00:53:28.000]   that this is quite unusual and exceptional
[00:53:28.000 --> 00:53:32.000]   and then they begin to delight in the things of God
[00:53:32.000 --> 00:53:34.000]   and they want more and more teaching
[00:53:34.000 --> 00:53:36.000]   they are like the people in the book of Acts
[00:53:36.000 --> 00:53:38.000]   they want to continue steadfastly
[00:53:38.000 --> 00:53:41.000]   in the apostles doctrine and fellowship
[00:53:41.000 --> 00:53:43.000]   and breaking of bread and of prayer
[00:53:43.000 --> 00:53:46.000]   this has happened so often
[00:53:46.000 --> 00:53:48.000]   very well, what do we do about it?
[00:53:48.000 --> 00:53:51.000]   there is only one obvious conclusion isn't there?
[00:53:51.000 --> 00:53:53.000]   seek him
[00:53:54.000 --> 00:53:55.000]   seek him
[00:53:55.000 --> 00:53:57.000]   what can we do without him?
[00:53:57.000 --> 00:54:00.000]   seek him, seek him always
[00:54:00.000 --> 00:54:02.000]   but go beyond seeking him
[00:54:02.000 --> 00:54:04.000]   expect him
[00:54:04.000 --> 00:54:08.000]   do you expect anything to happen when you get up to preach in a pulpit?
[00:54:08.000 --> 00:54:11.000]   or do you just say well I have prepared my address
[00:54:11.000 --> 00:54:13.000]   I am going to give them the address
[00:54:13.000 --> 00:54:15.000]   some of them will appreciate it and some won't
[00:54:15.000 --> 00:54:17.000]   are you expecting anything to happen?
[00:54:17.000 --> 00:54:20.000]   you are expecting it to be the turning point in anybody's life?
[00:54:21.000 --> 00:54:24.000]   you are expecting anybody to have a climactic experience?
[00:54:24.000 --> 00:54:27.000]   this is what preaching is meant to do
[00:54:27.000 --> 00:54:31.000]   Bible, subsequent history of the church
[00:54:31.000 --> 00:54:34.000]   seek this power, expect this power
[00:54:34.000 --> 00:54:37.000]   yearn for this power
[00:54:37.000 --> 00:54:42.000]   and when the power comes, yield to him
[00:54:42.000 --> 00:54:44.000]   don't resist
[00:54:44.000 --> 00:54:47.000]   forget all about your sermon if necessary
[00:54:47.000 --> 00:54:49.000]   let him use you
[00:54:50.000 --> 00:54:54.000]   let him manifest his power in you and through you
[00:54:54.000 --> 00:54:56.000]   and I am quite certain
[00:54:56.000 --> 00:54:59.000]   as I have suggested several times before
[00:54:59.000 --> 00:55:01.000]   that nothing
[00:55:01.000 --> 00:55:04.000]   but a return of this
[00:55:04.000 --> 00:55:07.000]   is going to avail us anything
[00:55:07.000 --> 00:55:09.000]   this is true preaching
[00:55:09.000 --> 00:55:13.000]   and it's the greatest need of all today
[00:55:13.000 --> 00:55:15.000]   never more so
[00:55:15.000 --> 00:55:17.000]   nothing can substitute for this
[00:55:17.000 --> 00:55:19.000]   but given this
[00:55:19.000 --> 00:55:21.000]   then you will have a people
[00:55:21.000 --> 00:55:23.000]   who will be waiting and anxious
[00:55:23.000 --> 00:55:25.000]   and ready to be taught and instructed
[00:55:25.000 --> 00:55:28.000]   and led ever further onwards and forwards
[00:55:28.000 --> 00:55:30.000]   into the truth
[00:55:30.000 --> 00:55:33.000]   this unction, this anointing
[00:55:33.000 --> 00:55:36.000]   is the supreme thing
[00:55:36.000 --> 00:55:38.000]   let us pray
[00:55:38.000 --> 00:55:41.000]   O Lord our God we do turn to thee
[00:55:41.000 --> 00:55:43.000]   and pray that thou wouldst forgive us
[00:55:43.000 --> 00:55:45.000]   for our self confidence
[00:55:46.000 --> 00:55:48.000]   for our reliance upon ourselves
[00:55:48.000 --> 00:55:50.000]   and the abilities that thou hast given us
[00:55:50.000 --> 00:55:53.000]   and what we may know and have learned
[00:55:53.000 --> 00:55:56.000]   Lord help us to see
[00:55:56.000 --> 00:55:59.000]   that apart from thee we can do nothing
[00:55:59.000 --> 00:56:01.000]   grant us to know something
[00:56:01.000 --> 00:56:04.000]   and increasingly of that weakness, fear
[00:56:04.000 --> 00:56:07.000]   and much trembling that thy servant the apostle knew
[00:56:07.000 --> 00:56:12.000]   that we may long to be clothed with this power
[00:56:12.000 --> 00:56:14.000]   and have this great assurance
[00:56:15.000 --> 00:56:17.000]   which he had when he preached in Thessalonica
[00:56:17.000 --> 00:56:19.000]   hear us O Lord
[00:56:19.000 --> 00:56:23.000]   make us able ministers of the New Testament
[00:56:23.000 --> 00:56:27.000]   shed upon us the power of thy Holy Spirit
[00:56:27.000 --> 00:56:30.000]   we ask it in Christ Jesus name
[00:56:30.000 --> 00:56:32.000]   Amen
[00:56:33.000 --> 00:56:37.000]   We do hope that you've been helped by the preaching of Dr. Martin Lloyd-Jones
[00:56:37.000 --> 00:56:41.000]   All of the sermons contained within the MLJ Trust Audio Library
[00:56:41.000 --> 00:56:43.000]   are now available for free download
[00:56:43.000 --> 00:56:46.000]   You may share the sermons or broadcast them
[00:56:46.000 --> 00:56:48.000]   However, because of international copyright
[00:56:48.000 --> 00:56:51.000]   please be advised that we are asking first
[00:56:51.000 --> 00:56:54.000]   that these sermons never be offered for sale by a third party
[00:56:54.000 --> 00:56:58.000]   and second, that these sermons will not be edited in any way
[00:56:58.000 --> 00:57:01.000]   for length or to use as audio clips
[00:57:01.000 --> 00:57:04.000]   You can find our contact information on our website
[00:57:04.000 --> 00:57:06.000]   at mljtrust.org
[00:57:06.000 --> 00:57:08.000]   That's MLJ
[00:57:08.000 --> 00:57:10.000]   T-R-U-S-T
[00:57:10.000 --> 00:57:11.000]   dot O-R-G
[00:57:11.000 --> 00:57:21.000]   [BLANK_AUDIO]

