
[00:00:00.000 --> 00:00:02.000]   It's a real picture
[01:07:08.080 --> 01:07:16.520]   they would say maybe it's like, look at the mega yacht that the billionaire is on, you know, or like, look at the Yeah, look at the celebrity at the beach, you know, like, look at how they're dressed.
[01:07:16.520 --> 01:07:23.800]   The journalists who reported this would say it's no different than us talking about the ZURP era or overspending. And it's just part of the reporting.
[01:07:23.800 --> 01:07:35.920]   That's a general framing of, like, I don't know, I just think like going in and getting confidential financial info, it hurts the employees, it hurts the shareholders, it hurts the board, it hurts the company, and the customers of the company that ended up
[01:07:35.920 --> 01:07:47.240]   questioning the business from a journalistic perspective. There's nothing about this that to me seems to benefit the public at large by revealing all of this salacious information. It's a private business that's not required to disclose their
[01:07:47.240 --> 01:07:52.800]   financials, and all of their shareholders privately own the stock. And someone took some private company data and leaked it.
[01:07:52.800 --> 01:08:02.200]   I can tell you, in you know, when we ran and gadget 90% of the leaks 95% of the leaks were calls from within the building. So this is disgruntled employees.
[01:08:02.440 --> 01:08:16.640]   I think in this case, it's actually an investor who doesn't want to see them burning 17 million a month and wants the runway to go further. And they leak this because that's who would have access to it. The accountants and lawyers would have access to it, but that would be the end of their careers in their firms if they did leak it.
[01:08:16.640 --> 01:08:30.920]   So somebody who has a financial interest in this typically an earlier stage investor, or an investor who's frustrated with the management that they won't cut the burn, leak this in order to create pressure. So in other words, the press is just a tool being used by the insiders.
[01:08:31.320 --> 01:08:34.240]   And that's how this went down 95% of the time,
[01:08:34.240 --> 01:08:57.040]   I think is more likely to be a low level employee. I think that's typically where this comes from. A board member has a fiduciary duty to basically keep proprietary data secret. I really don't see most investors wanting to take the chance of it coming back on them by again, violating their Delaware obligations, their fiduciary
[01:08:57.040 --> 01:09:26.960]   duties. Furthermore, I think even passive investors who aren't on the board generally don't want to hurt their investments. I think it's generally disgruntled employees who do this, I'd say lower level disgruntled employees. And the reason they do it is that either they feel like the management, the company is asking them to do something unethical or is non responsive to their concerns. So I think it is the motivations you're talking about, Jake out. But my view on it is that
[01:09:26.960 --> 01:09:28.280]   lower level employees have less
[01:09:28.280 --> 01:09:38.720]   like, what do you think the journalists like objectives are besides sensationalist headlines on like, what's the newsworthiness to the public on reporting these stories?
[01:09:38.720 --> 01:09:55.280]   Well, I mean, you talk about how damaging these stories are, and they hurt the company. So why would the reporters do it? And the reporters are like, right, they're not there to help companies, they are there to hurt companies and sell clicks by doing it. So now, is it newsworthy? What I would say is it's
[01:09:55.280 --> 01:10:11.720]   annoying, when the media gets a hold of proprietary information, and puts it out. But it's hard to argue that it's not newsworthy. I wish the media would do it in a non clickbait way, like, they're going to put out some numbers. Don't cherry pick one or two.
[01:10:11.720 --> 01:10:18.920]   So by that vein, shouldn't a journalist go out and try and get the private financials of every private company in Silicon Valley?
[01:10:18.920 --> 01:10:20.560]   They would if they could,
[01:10:20.560 --> 01:10:22.000]   and just publish it on our website.
[01:10:22.040 --> 01:10:29.600]   Okay, but if they did ask for that explicitly, that would be illegal. So they can take inbound, but they can't go out and try to steal it themselves, obviously.
[01:10:29.600 --> 01:10:33.680]   So right. So why wouldn't someone just set up a wikileaks for private financial information?
[01:10:33.680 --> 01:10:47.960]   If you look at every journalist now, they have a PGP key or whatever, they have a phone number, they say anonymous, hit me on these anonymous services. And that's how this is done. Having been on the other side of it. It's back in the gadget days, people used Yahoo, I think they use proto.
[01:10:47.960 --> 01:10:57.040]   I don't know, I just reacted kind of negatively when I see these stories. And I'm always like, what's the point here? Why are we reporting and hurting companies based on like reporting financials?
[01:10:57.040 --> 01:11:02.160]   That is the point to hurt them? Well, but the media has a different incentive than you to get a subscriber.
[01:11:02.160 --> 01:11:15.720]   If you put this behind a paywall, and you have all the salacious details, and you have one story like this every week, then you know, the fifth time somebody comes to the paywall, they're like, you know what? Yeah, this is great insider information. I'm getting smarter because of it. I'll pay the 25 bucks a month.
[01:11:15.760 --> 01:11:22.200]   Right? If people in our industry didn't want to see this happen, they shouldn't subscribe to the publications that do this. freebird. Did you read the article?
[01:11:22.200 --> 01:11:25.120]   Yeah, it's just got some numbers. I mean, I got it.
[01:11:25.120 --> 01:11:29.280]   So you did read it? Yeah. Yeah. So they accomplished their goal.
[01:11:29.280 --> 01:11:38.080]   Oh, I read it because you guys sent it to me. But I hate all these articles that I see on the internet that do you subscribe to the publications that no, no, no, I don't subscribe to any of that.
[01:11:38.120 --> 01:12:07.640]   No, I don't. I don't want to read about every startup is a challenge. Every startup is a disaster until it's suddenly not like that's reality. And it's really awful for years to have seen like tech reporter after tech reporter who's supposed to be kind of covering the news, the innovation, the progress in the industry, target and focus on the inevitable failure that every business is dealing with on a frequent basis, and make that the headline story, which just ultimately hurts the business hurts the employees hurts the ecosystem hurts progress
[01:12:07.640 --> 01:12:09.840]   doesn't really benefit anyone except their viewership.
[01:12:09.840 --> 01:12:13.920]   I thought you wanted to talk about the quality of these businesses. Let's talk about the quality of businesses.
[01:12:13.920 --> 01:12:26.160]   I think it's hard to have a conversation about the quality of businesses based on a couple of these data points, because I think they could be cherry picked. I think one of the problems these articles is you don't get the PNL you just get like one or two numbers. I can't tell you based on
[01:12:26.240 --> 01:12:39.920]   yeah, I mean, look, 17 million a burn is not good. That's almost always a red flag. But I don't know if that was one month or like the steady state. I need to see the PNL five minutes if it's a good business or not by looking at the PNL.
[01:12:39.920 --> 01:12:49.080]   Yeah. In the Brex case, if we for those of us that know the the founders, they're really sharp guys. Enrique is a really, really sharp guy. So
[01:12:49.080 --> 01:12:51.760]   are you guys in that company? Anyone?
[01:12:51.760 --> 01:12:52.320]   I'm not.
[01:12:52.320 --> 01:12:54.680]   No, but I'm friends with Enrique. And I think he's wonderful.
[01:12:54.800 --> 01:13:04.680]   If they're cutting the burn by 20%. Who knows? We don't like sex is saying we don't know the denominator here. We don't know the total spend. We don't know how net revenue is defined. It's just
[01:13:04.680 --> 01:13:06.320]   what are your views on fintech? Go ahead.
[01:13:06.320 --> 01:13:12.440]   Is fintech a great business or not? I mean, is it a tech based business? Do you believe in the category?
[01:13:12.440 --> 01:13:27.080]   So I started metromile, which was an online auto insurance business with a telematics device that plugged in the cars back in 2010. And the term fintech wasn't used at that time. And in the years that followed fintech became a term where it was like
[01:13:27.080 --> 01:13:39.320]   technology companies or software companies reinventing financial services in different ways. And, you know, so we're now 14 years past that. And a lot of quote fintech businesses are looking like fin businesses without the
[01:13:39.320 --> 01:13:54.920]   tech, meaning their margins, and their LTV to CAC or their return on invested capital. It looks the same or in some cases worse than the traditional financial services businesses that they're meant to disrupt. And so this spans insurance, to
[01:13:54.920 --> 01:14:11.800]   lending, to banking, because the technology advantage was meant to accrue either a better margin or, you know, better return profile, or a better call it LTV to CAC, meaning you can acquire customers for less, or you can get more money from those customers by
[01:14:11.800 --> 01:14:24.080]   retaining them longer and get more money over time. I always used to sit at the board meetings at metromile. And I would scream, guys, if we don't demonstrate margin advantage, the business will eventually trade like the market trades, which is one times
[01:14:24.080 --> 01:14:37.840]   revenue. And if we trade at one times revenue, we're already overvalued. And we've burned so much money, it was always a challenging conversation about pulling up the margin pulling out the LTV to CAC numbers. The truth is, over the years, a lot of fintech
[01:14:37.840 --> 01:15:07.320]   companies fell into the same trap that DTC businesses did, which is to grow, they started acquiring customers through Facebook and Google. And Facebook and Google became all the page views on the internet. And they ultimately got competed away, and the price went up, and the conversion rates went down. And so the CAC went through the roof. There was a lending company I was involved in early on, as a main shareholder. And we were spending $4 to acquire a customer making 12 bucks a month in gross profit. Fast forward 24
[01:15:07.320 --> 01:15:37.200]   months, and it was costing north of 30 to $60 to acquire a customer, and gross profit per month declined to two to $4. So you know, this this margin advantage went away as the business scaled, and the CAC went up. And so the LTV to CAC ratio started to look worse than traditional lenders. So what are the fintech companies do in response when this happens, which many of them faced is they had some inherent margin advantage or some inherent growth advantage that over time got competed away? Well, they start giving product away for free. In fintech,
[01:15:37.200 --> 01:16:07.080]   it's really easy to grow by giving away $1 for 90 cents. So you could drop the price of auto insurance, and suddenly everyone buys your auto insurance, and your revenue growth goes through the roof. But your margin profile is terrible, you'll lose money over time, because you'll have higher loss ratios. And same in lending. In lending, you can offer people a lower rate, revenue goes through the roof, everyone signs up for loans from you. And over time, you end up having defaults that eat away your gross profit, and you end up losing money on that product. So many of these fintech companies, it takes a couple of years for those economics to play out, are now
[01:16:07.080 --> 01:16:37.000]   starting to run into that headwind, which is they couldn't just grow through some unique margin, or CAC advantage, they acquire traffic. And when they couldn't acquire traffic with a good LTV to CAC ratio, they have to start doing this give stuff away. And then the margins get eaten up over time, or the business gets unprofitable, and they can't get out of that cycle. So I think we're in this kind of like realizing the truth, which is that a lot of fintech businesses are just thin businesses. There are a few that are doing great. But many of them, for many years, I think masqueraded as having some unique tech advantage until those numbers
[01:16:37.000 --> 01:16:39.920]   started to play out, which demonstrated that in fact, they did not.
[01:16:39.920 --> 01:17:06.600]   Yeah, and you can understand the customer acquisition costs. That's what CAC stands for, for those of you who don't know, very easily, because I was an investor in Robin Hood. And one of the genius things they did was a give to get program, it's called in the referral space, if you if I get you to sign up with my referral code, they would give me a share of a company, and they would give you a share of a company. So you get a free share, but you have to then sign up, you know, and put your bank account in and all that kind of stuff. They'll pay a
[01:17:06.600 --> 01:17:36.560]   referral program, a couple 100 bucks, he trades, etc, of the world's to get a funded customer. Robin Hood was able to do it for giving away two fractions of a share, and you weren't getting like a $300, you know, Tesla share, you were getting a whatever 1% of that you get $3 worth of Tesla shares or whatever. And they did it with a little device like a mystery box. So it was quite addictive. And in the mystery box, they would have dollar shares, $2 shares, whatever, and they would and they would net that out to be well below 10s of dollars instead of hundreds of dollars. And I
[01:17:36.560 --> 01:17:54.560]   maxed out the program, because I tweeted it and got 250 people. Now they're doing one where if you move your money into the account, they give you 1%. So if you remove a million dollars of shares, and they'll give you like $10,000 to build up their assets under management. So you need to have something that is cheaper than what's in the market. Like TV is very expensive to
[01:17:54.560 --> 01:18:05.280]   I'll say two things which are build on what I've said before. And maybe I'll try to make the point clearer. Do you guys know what the average gross margin is of the S&P 500? And how it's changed over time?
[01:18:05.880 --> 01:18:12.960]   My guess is gross margin. Yeah, my guess is 28%.
[01:18:14.520 --> 01:18:40.600]   Wrong, but it's a good guess. It's about 43% over the last kind of 25 years, except in two years. And those two years were on the tail end of the web 1.0 bubble bursting. So the average is about 43%. In 20 2002, it went to 30% 2003, it went down to 23%. So a half, right of the steady state average.
[01:18:41.720 --> 01:19:07.480]   That's one comment. But the second comment is when you actually look at the S&P 500, right, so it has all of these different sectors. But this is the 500 best companies in the world, right? Everything else is much worse than this. And you look at who has the highest probability, and the highest correlation over long periods of time of generating high gross margins. It's actually the companies in the markets with the lowest gross margins.
[01:19:08.120 --> 01:19:37.160]   So if you put these two things together, what is it saying? It's saying that high gross margin companies are rewarded for growth. But they generally speaking have a very poor rack track record of two things. One is generating profitability. And two is actually doing it in a consistent manner. And so I think this is just a way of saying what I said last week. But I'm just going to keep harping on this because I think this is a huge trend over the next decade is technology,
[01:19:37.160 --> 01:20:06.600]   Friedberg to your point, is no longer a definable sector. I know that we want to point to a company and say it's the tech company. But I think it's much, you'll be much safer if you say this is a tech enabled version of x. And x is all of these other historical sectors of the economy that have existed energy, consumer staples, consumer discretionary materials, it industrials, real estate, utilities, whatever it is, it's actually that company.
[01:20:07.080 --> 01:20:36.120]   And those companies have a prevailing gross margin, a prevailing gross profitability, a prevailing ability to convert gross margin to gross profit. And that has not changed that much. And so all of these companies that are massive outliers to these trends are going to go through a process of getting refactored. And maybe your example of fintech being more fin than tech is a very early sign of what may be happening to the rest of all of these
[01:20:36.120 --> 01:20:43.240]   companies that we point to and say, that is a tech company. Actually, that may just be a real estate company that's tech enabled.
[01:20:43.240 --> 01:21:02.840]   Yeah, it used to be the case that tech companies sold technology to traditional companies. And now, traditional companies are getting rebuilt, quote, as technology companies, but maybe don't have as big of an advantage as the incumbents who can easily adopt technology themselves. So it becomes ubiquitous that technology is, you know, the way the market evolves.
[01:21:03.080 --> 01:21:32.120]   But could you imagine if we have a mean reversion to the average gross margin profile? Oh, by the way, the other thing was, a gentleman made a very, I think, misguided comment when we posted the pod last week about how gross margins can never change. And this is crazy. And I just wanted to explain that for a second. Let's just say you have a software company that has 80% gross margins. But you have an accounting rule. Now, all of a sudden, that changes the capitalization of R&D.
[01:21:32.280 --> 01:21:52.360]   I think, Saxe, you said it last week, but I'll reiterate it. If all of a sudden, these companies go totally pear weight pear shape, because of these kinds of accounting rules, where you can't capitalize these investments over five years, but now you can only you pay for them upfront, but you can deduct them over 15 or 20 years, which is what is happening right now.
[01:21:53.640 --> 01:22:22.360]   Companies will lobby the standards bodies to change the definition of gross margins, so that those gross margins look very different, because they'll want to deduct them immediately. And now you'll see gross margins decay by 1000 and 2000 basis points. All of this is to say that this may not be new and different, it just may be a rhyming version of the past. And we know what that past look like. And the new the numbers are kind of unavoidable.
[01:22:22.600 --> 01:22:29.880]   Saxe, any thoughts on this fintech, reckoning, bubble, or some other perspective, you might have,
[01:22:29.880 --> 01:22:52.120]   I think you're right, it is a reckoning. And the reason for that is because fintech was one of the hottest spaces during the bubble. I have the saying that the hotter they are, the harder they fall. And so when a space gets really frothy and speculative, obviously, the reckoning is going to be that much bigger. In terms of your question about revenue multiples, and how to think about that, I agree that it's a big
[01:22:52.120 --> 01:23:21.560]   mistake to think of fintech revenue as having the same quality as say, SAS revenue. I mean, the gross margin profiles of fintech businesses typically are very different. A good software business 70 80% gross margin, fintech businesses typically have transaction costs on every transaction that are pretty high. So like Friedberg mentioned, if you're making loans, you're going to have a loss rate on that portfolio. If you're doing
[01:23:21.560 --> 01:23:47.240]   insurance, you're going to have claims payouts, if you're doing payments, you're going to have transaction fees that you pay to save Visa, MasterCard. And certainly we saw this at PayPal, where the margin on any particular payment was pretty low. And I do think that investors who are putting 100 times plus multiples on fintech revenue, definitely we're not taking the margin profile into account.
[01:23:48.360 --> 01:24:18.200]   You know, another mistake that I think investors make is, they'll think in term, this is certainly true with payments companies. I mean, I could, I saw this all the time, after PayPal is that people will confuse gross payment volume and revenue with a payments company. What you have to understand is, you know, take a payments business that's doing maybe a billion dollars in payment revenue. That sounds like a lot, right? But if they charge two and a half percent transaction fees on that,
[01:24:18.240 --> 01:24:47.760]   that's only 25 million in revenue. Okay, now, let's say that of that two and a half percent, one and a half percent on average goes to Visa, MasterCard and another 50 basis points is fraud losses. And another quarter point is customer support costs on transactions where there's a problem. Okay, now, your real margin, your real gross profit on that transaction is 25 basis points 10%. So really, of your 25 million of revenue, you only have two and a half million of true net
[01:24:47.760 --> 01:25:17.720]   revenue. And then you have to use all of that revenue to pay off all the overhead of the company, all the r&d, all the sales and marketing, all the the g&a, the overhead, cars. Yeah, exactly. So you very quickly shrink from a company that's doing a billion dollars in payment volume, to one that really is only doing two and a half million of net revenue. So I mean, unless you're a company, like, I don't know, like only fans is able to charge 10% transaction fees, but they're rare, you know, and they tend to be kind of in these,
[01:25:18.720 --> 01:25:47.280]   you know, subprime or kind of sketchy spaces. So people just don't really understand that the scale that you need to make a payments company work. I mean, it needs to be not just like a billion is not enough, you need to be doing trillions or hundreds of billions of volume to make these businesses like exciting at all. And I think there's something probably pretty analogous with some of these other areas, like loans of various kinds, or
[01:25:47.880 --> 01:25:59.440]   insurance, because of the losses. The margins are just way smaller than people think. And therefore, you just need huge volumes to make them interesting. Yeah. So I think that's part of what's going on here.
[01:25:59.440 --> 01:26:12.720]   Yeah, and people conflate the numbers, especially in the early stage of startups, people were referring to Airbnb and Uber and DoorDash is revenue as the gross market. You know, transactions and like, well,
[01:26:12.960 --> 01:26:27.160]   yeah, Airbnb is taking what, like a 15% rake? Yeah, all margin. Yeah. But you know, people would take the whole, you know, five day stay and attribute that to like, oh, this is the revenue of Airbnb. It's just intellectually dishonest. All right,
[01:26:27.160 --> 01:26:39.720]   Friedberg. I have been seeing a bunch of tweets about this arc storm hitting California. Is this going to be amazing snow? Is this going to be floods and disasters? Is this the day after? What's reality here?
[01:26:40.120 --> 01:27:00.640]   Yeah, there's this like rumor that is, you know, not corroborated by science that this arc storm event is going to hit us in the next week or two in California, which is this massive storm. Nick, if you pull up that tweet that I sent you last night. So this is the 200 mile cross Pacific jet
[01:27:00.640 --> 01:27:18.640]   scream. Oh, yeah, I saw that with a, you know, very hot and moist Pacific. So a lot of energy, but the ocean temperatures are hotter than they've ever been on record. So this causes the air to move more quickly, it causes more moisture to go into the air. And then it gets moved and pushed all the way to the western
[01:27:18.640 --> 01:27:48.160]   United States. And so some people have said, Wait, this is going to lead to an arc storm event. So what's an arc storm event? In 1861 to 1862, in California, there was a atmospheric river event for 43 days. So water poured down for 43 days straight, completely flooded the Central Valley, Sacramento, Los Angeles, all of these regions were underwater for six months, at the time causing $100 million in damage. And the USGS, the United
[01:27:48.160 --> 01:28:17.720]   States Geological Survey did a analysis and what they projected would happen if such an event were to happen again, this day and age, these sorts of events are predicted historically to happen every 150 to 200 years. But based on the warm temperature in the oceans, we see it's now predicted that these will happen every call it 25 to 50 years or much sooner. And these high temperatures are driving a higher increased frequency and severity of these sorts of events. So the most recent model called arc storm 2.0, which was an analysis done by the USGS
[01:28:17.740 --> 01:28:47.620]   showed that if this sort of an event were to occur again, would drive over a trillion dollars in damages in California. So based on the image that you just saw, which showed this massive 200 mile an hour, hot, wet jet stream plowing towards the western US, a lot of people on Twitter started speculating, it's arc storm 2.0, it's coming our way. And a lot of meteorologists have looked at the ensemble, which is the simulation model forecasts and said, You know what, it's not going to be arc storm 2.0, it's going to be wet. Over the next couple of weeks, it
[01:28:47.620 --> 01:29:08.780]   could be very wet. But this isn't the big mega flood event that everyone's been worried about. So rest assured, it's not imminent. I know a lot of people are talking about it saying it is imminent, but I do think it's worth being aware of and cognizant of this arc storm 2.0 type scenario. And you know, it's the kind of thing that folks are waiting for. And now, you know, predicting every other week is about to happen when these sorts of things happen.
[01:29:08.920 --> 01:29:22.880]   Last year, they refer to the storms we had in California as atmospheric river and the arc the AR in in arc storm is for atmospheric river, I see. So last year, we had flooding, we had damage to our house, I think like $50,000 in damage.
[01:29:22.880 --> 01:29:28.680]   Yeah, the snow in Tahoe, the floods in the Bay Area. It was crazy.
[01:29:28.680 --> 01:29:31.760]   It was it was bonkers. And how many days was that? It was only like 10 days.
[01:29:31.800 --> 01:29:50.160]   So basically, it's going to be like wet, warm, moist. But it's really not going to be like dripping. And like, I got it. It's not gonna be drenched. It's not gonna be drenched, it's gonna be wet, but not drenched.
[01:29:50.160 --> 01:29:52.480]   It's gonna be wet for 25 days.
[01:29:53.760 --> 01:30:15.480]   25 days. There you go. Anyway, it's worth being cognizant. We talked about the hurricane event in the Pacific a couple weeks ago, these sorts of events more frequent, more scary, more significant, hotter oceans are driving these events. But this doesn't seem to be the mega flood event. But it could happen. Some point got to be cognizant. That's the reality.
[01:30:15.520 --> 01:30:23.920]   There are people are buying like sandbags and stuff like that and putting things around their homes these days to to prevent this kind of stuff. So yeah. And then hopefully it hits.
[01:30:23.920 --> 01:30:26.720]   I got a leak in my office here right now. I got a tarp on my roof.
[01:30:26.720 --> 01:30:30.320]   You got a tarp on your roof? This is at your house? Or this is at your office?
[01:30:30.320 --> 01:30:36.200]   My house, my office at my house. Your home started leaking. It's like water was pouring in through the roof. The other day.
[01:30:36.200 --> 01:30:38.920]   Do you have wood shingles? Or do you have other
[01:30:38.920 --> 01:30:44.960]   I've got composite shingles. But apparently underneath it, there's some holes, they got to redo the roof. Anyway,
[01:30:44.960 --> 01:30:50.200]   I have to take I have to take the wood shingles off because we can't get the insurance people to
[01:30:50.200 --> 01:31:04.600]   Yeah, sure. It's no longer because of fires in California. And you can replace up to 30% of them is what I was told. And so you can do like patchwork Chamath. But if you want to, at a certain point, they won't let you do it. And you just have to replace the whole damn thing. This
[01:31:04.600 --> 01:31:13.480]   happened to me in Brentwood. And those wood shakes that you have, the sun dries them, and they become like tinder, basically. So you actually don't want to have those those shake grooves anymore. Super.
[01:31:13.480 --> 01:31:31.480]   No, no, I think that I think they're treated to be fire retardant. But they look so beautiful. And now we have to replace them with composite shingles or like, you know, yeah, anyways, we're about to start but we don't we can't even get five days straight of good weather for the folks to come in. So that's what's so crazy about this thing is we be sitting six months from now.
[01:31:31.800 --> 01:31:33.920]   And have 25 days of moisture. Yeah.
[01:31:33.920 --> 01:31:45.640]   I mean, 40 days, I'm going to tell them that 40 days straight of wet moisture, wet and moist. Yeah. But not dripping, not drenched. No 40 days.
[01:31:45.640 --> 01:31:47.640]   Consistently 40 days in which
[01:31:47.640 --> 01:32:10.500]   consistent 40 days of just, yes, wet and warm moisture. And listen, if you were up in Tahoe would be flurries and yeah, soft powder, which is what I'm hoping for. All right, everybody. Why is he laughing? Keep it together, please. For the dictator
[01:32:10.520 --> 01:32:20.360]   Chumonth Palihapitiya. And is there when we look at these atmospheric things that occurred anyway, does this have any kind of gravitational pull?
[01:32:20.360 --> 01:32:21.560]   Multiplanetary effects.
[01:32:21.560 --> 01:32:27.480]   Freeberg, any planetary effects that might pull the oceans out like the gravity of the moon or
[01:32:27.480 --> 01:32:29.040]   I'm turning off my microphone.
[01:32:29.040 --> 01:32:30.360]   Mars Uranus.
[01:32:30.360 --> 01:32:34.880]   Uranus. Nothing. None of those would cause this. All right, everybody.
[01:32:34.880 --> 01:32:35.240]   Goodbye.
[01:32:35.280 --> 01:32:43.640]   For consultant of science David Freeberg, the dictator, chairman dictator Chumonth Palihapitiya. And David Sacks.
[01:32:43.640 --> 01:32:44.400]   I love you, man.
[01:32:44.400 --> 01:32:44.960]   Yeah.
[01:32:44.960 --> 01:32:46.160]   Love you, besties. We'll see you next time. Bye-bye.
[01:32:46.160 --> 01:32:47.360]   See you tonight. Bye-bye.
[01:32:47.360 --> 01:32:48.080]   Bye-bye.
[01:32:48.080 --> 01:32:52.480]   I'm going all in. We'll let your winners ride.
[01:32:52.480 --> 01:32:54.680]   Rain man David Sacks.
[01:32:54.680 --> 01:32:56.800]   I'm going all in.
[01:32:56.800 --> 01:33:00.840]   And instead, we open source it to the fans and they've just gone crazy with it.
[01:33:00.840 --> 01:33:01.800]   Love you, besties.
[01:33:01.800 --> 01:33:03.000]   I'm queen of quinoa.
[01:33:03.000 --> 01:33:04.200]   I'm going all in.
[01:33:04.200 --> 01:33:05.800]   Let your winners ride.
[01:33:05.800 --> 01:33:08.120]   Let your winners ride.
[01:33:08.120 --> 01:33:09.720]   I'm going all in.
[01:33:09.720 --> 01:33:12.400]   Besties are gone.
[01:33:12.400 --> 01:33:17.400]   That's my dog taking a notice in your driveway, Sacks.
[01:33:17.600 --> 01:33:18.320]   Oh, man.
[01:33:18.320 --> 01:33:20.120]   My avatar will meet me at.
[01:33:20.120 --> 01:33:24.040]   We should all just get a room and just have one big huge orgy because they're all just useless.
[01:33:24.040 --> 01:33:28.160]   It's like this, like sexual tension that they just need to release somehow.
[01:33:28.160 --> 01:33:29.920]   What? You're a bee.
[01:33:29.920 --> 01:33:31.720]   What? You're a bee.
[01:33:31.720 --> 01:33:33.400]   Bee.
[01:33:33.400 --> 01:33:34.600]   We need to get merch.
[01:33:34.600 --> 01:33:35.800]   Besties are gone.
[01:33:35.800 --> 01:33:37.680]   I'm going all in.
[01:33:37.680 --> 01:33:44.760]   I'm going all in.
[01:33:44.760 --> 01:33:47.340]   (upbeat music)

