
[00:00:00.000 --> 00:00:03.000]   ♪ Bless him in the mornings ♪
[01:32:11.000 --> 01:32:16.000]   ♪
[01:32:16.000 --> 01:32:21.000]   ♪
[01:32:21.000 --> 01:32:26.000]   ♪
[01:32:26.000 --> 01:32:31.000]   ♪
[01:32:31.000 --> 01:32:36.000]   ♪
[01:32:36.000 --> 01:32:41.000]   ♪
[01:32:41.000 --> 01:32:46.000]   ♪
[01:32:46.000 --> 01:32:51.000]   ♪
[01:32:51.000 --> 01:32:56.000]   ♪
[01:32:56.000 --> 01:33:01.000]   ♪
[01:33:01.000 --> 01:33:06.000]   ♪
[01:33:06.000 --> 01:33:11.000]   ♪
[01:33:11.000 --> 01:33:16.000]   ♪
[01:33:16.000 --> 01:33:21.000]   ♪
[01:33:21.000 --> 01:33:26.000]   ♪
[01:33:26.000 --> 01:33:31.000]   ♪
[01:33:31.000 --> 01:33:36.000]   ♪
[01:33:36.000 --> 01:33:41.000]   ♪
[01:33:41.000 --> 01:33:46.000]   ♪
[01:33:46.000 --> 01:33:51.000]   ♪
[01:33:51.000 --> 01:33:56.000]   ♪
[01:33:56.000 --> 01:34:01.000]   ♪
[01:34:01.000 --> 01:34:06.000]   ♪
[01:34:06.000 --> 01:34:11.000]   ♪
[01:34:11.000 --> 01:34:16.000]   ♪
[01:34:16.000 --> 01:34:21.000]   ♪
[01:34:21.000 --> 01:34:26.000]   ♪
[01:34:26.000 --> 01:34:31.000]   ♪
[01:34:31.000 --> 01:34:36.000]   ♪
[01:34:36.000 --> 01:34:41.000]   ♪
[01:34:41.000 --> 01:34:46.000]   ♪
[01:34:46.000 --> 01:34:51.000]   ♪
[01:34:51.000 --> 01:34:56.000]   ♪
[01:34:56.000 --> 01:35:01.000]   ♪
[01:35:01.000 --> 01:35:06.000]   ♪
[01:35:06.000 --> 01:35:11.000]   ♪
[01:35:11.000 --> 01:35:16.000]   ♪
[01:35:16.000 --> 01:35:21.000]   ♪
[01:35:21.000 --> 01:35:26.000]   ♪
[01:35:26.000 --> 01:35:31.000]   ♪
[01:35:31.000 --> 01:35:36.000]   ♪
[01:35:36.000 --> 01:35:41.000]   ♪
[01:35:41.000 --> 01:35:46.000]   ♪
[01:35:46.000 --> 01:35:51.000]   ♪
[01:35:51.000 --> 01:35:56.000]   ♪
[01:35:56.000 --> 01:36:01.000]   ♪
[01:36:01.000 --> 01:36:06.000]   ♪
[01:36:06.000 --> 01:36:11.000]   ♪
[01:36:11.000 --> 01:36:16.000]   ♪
[01:36:16.000 --> 01:36:21.000]   ♪
[01:36:21.000 --> 01:36:26.000]   ♪
[01:36:26.000 --> 01:36:31.000]   ♪
[01:36:31.000 --> 01:36:36.000]   ♪
[01:36:36.000 --> 01:36:41.000]   ♪
[01:36:41.000 --> 01:36:46.000]   ♪
[01:36:46.000 --> 01:36:51.000]   ♪
[01:36:51.000 --> 01:36:56.000]   ♪
[01:36:56.000 --> 01:37:01.000]   ♪
[01:37:01.000 --> 01:37:06.000]   ♪
[01:37:06.000 --> 01:37:11.000]   ♪
[01:37:11.000 --> 01:37:16.000]   ♪
[01:37:16.000 --> 01:37:21.000]   ♪
[01:37:21.000 --> 01:37:26.000]   ♪
[01:37:26.000 --> 01:37:31.000]   ♪
[01:37:31.000 --> 01:37:36.000]   ♪
[01:37:36.000 --> 01:37:41.000]   ♪
[01:37:41.000 --> 01:37:46.000]   ♪
[01:37:46.000 --> 01:37:51.000]   ♪
[01:37:51.000 --> 01:37:56.000]   ♪
[01:37:56.000 --> 01:38:01.000]   ♪
[01:38:01.000 --> 01:38:06.000]   ♪
[01:38:06.000 --> 01:38:11.000]   ♪
[01:38:11.000 --> 01:38:16.000]   ♪
[01:38:16.000 --> 01:38:21.000]   ♪
[01:38:21.000 --> 01:38:26.000]   ♪
[01:38:26.000 --> 01:38:31.000]   ♪
[01:38:31.000 --> 01:38:36.000]   ♪
[01:38:36.000 --> 01:38:41.000]   ♪
[01:38:41.000 --> 01:38:46.000]   ♪
[01:38:46.000 --> 01:38:51.000]   ♪
[01:38:51.000 --> 01:38:56.000]   ♪
[01:38:56.000 --> 01:39:01.000]   ♪
[01:39:01.000 --> 01:39:06.000]   ♪
[01:39:06.000 --> 01:39:11.000]   ♪
[01:39:11.000 --> 01:39:16.000]   ♪
[01:39:16.000 --> 01:39:21.000]   ♪
[01:39:21.000 --> 01:39:26.000]   ♪
[01:39:26.000 --> 01:39:31.000]   ♪
[01:39:31.000 --> 01:39:36.000]   ♪
[01:39:36.000 --> 01:39:41.000]   ♪
[01:39:41.000 --> 01:39:46.000]   ♪
[01:39:46.000 --> 01:39:51.000]   ♪
[01:39:51.000 --> 01:39:56.000]   ♪
[01:39:56.000 --> 01:40:01.000]   ♪
[01:40:01.000 --> 01:40:06.000]   ♪
[01:40:06.000 --> 01:40:11.000]   ♪
[01:40:11.000 --> 01:40:16.000]   ♪
[01:40:16.000 --> 01:40:21.000]   ♪
[01:40:21.000 --> 01:40:26.000]   ♪
[01:40:26.000 --> 01:40:31.000]   ♪
[01:40:31.000 --> 01:40:36.000]   ♪
[01:40:36.000 --> 01:40:41.000]   ♪
[01:40:41.000 --> 01:40:46.000]   ♪
[01:40:46.000 --> 01:40:51.000]   ♪
[01:40:51.000 --> 01:40:56.000]   ♪
[01:40:56.000 --> 01:41:01.000]   ♪
[01:41:01.000 --> 01:41:06.000]   ♪
[01:41:06.000 --> 01:41:11.000]   ♪
[01:41:11.000 --> 01:41:16.000]   ♪
[01:41:16.000 --> 01:41:21.000]   ♪
[01:41:21.000 --> 01:41:26.000]   ♪
[01:41:26.000 --> 01:41:31.000]   ♪
[01:41:31.000 --> 01:41:36.000]   ♪
[01:41:36.000 --> 01:41:41.000]   ♪
[01:41:41.000 --> 01:41:46.000]   ♪
[01:41:46.000 --> 01:41:51.000]   ♪
[01:41:51.000 --> 01:41:56.000]   ♪
[01:41:56.000 --> 01:42:01.000]   ♪
[01:42:01.000 --> 01:42:06.000]   ♪
[01:42:06.000 --> 01:42:11.000]   ♪
[01:42:11.000 --> 01:42:16.000]   ♪
[01:42:16.000 --> 01:42:21.000]   ♪
[01:42:21.000 --> 01:42:26.000]   ♪
[01:42:26.000 --> 01:42:31.000]   ♪
[01:42:31.000 --> 01:42:36.000]   ♪
[01:42:36.000 --> 01:42:41.000]   ♪
[01:42:41.000 --> 01:42:46.000]   ♪
[01:42:46.000 --> 01:42:51.000]   ♪
[01:42:51.000 --> 01:42:56.000]   ♪
[01:42:56.000 --> 01:43:01.000]   ♪
[01:43:01.000 --> 01:43:06.000]   ♪
[01:43:06.000 --> 01:43:11.000]   ♪
[01:43:11.000 --> 01:43:16.000]   ♪
[01:43:16.000 --> 01:43:21.000]   ♪
[01:43:21.000 --> 01:43:26.000]   ♪
[01:43:26.000 --> 01:43:31.000]   ♪
[01:43:31.000 --> 01:43:36.000]   ♪
[01:43:36.000 --> 01:43:41.000]   ♪
[01:43:41.000 --> 01:43:46.000]   ♪
[01:43:46.000 --> 01:43:51.000]   ♪
[01:43:51.000 --> 01:43:56.000]   ♪
[01:43:56.000 --> 01:44:01.000]   ♪
[01:44:01.000 --> 01:44:06.000]   ♪
[01:44:06.000 --> 01:44:11.000]   ♪
[01:44:11.000 --> 01:44:16.000]   ♪
[01:44:16.000 --> 01:44:21.000]   ♪
[01:44:21.000 --> 01:44:26.000]   ♪
[01:44:26.000 --> 01:44:31.000]   ♪
[01:44:31.000 --> 01:44:36.000]   ♪
[01:44:36.000 --> 01:44:41.000]   ♪
[01:44:41.000 --> 01:44:46.000]   ♪
[01:44:46.000 --> 01:44:51.000]   ♪
[01:44:51.000 --> 01:44:56.000]   ♪
[01:44:56.000 --> 01:45:01.000]   ♪
[01:45:01.000 --> 01:45:06.000]   ♪
[01:45:06.000 --> 01:45:11.000]   ♪
[01:45:11.000 --> 01:45:16.000]   ♪
[01:45:16.000 --> 01:45:21.000]   ♪
[01:45:21.000 --> 01:45:26.000]   ♪
[01:45:26.000 --> 01:45:31.000]   ♪
[01:45:31.000 --> 01:45:36.000]   ♪
[01:45:36.000 --> 01:45:41.000]   ♪
[01:45:41.000 --> 01:45:46.000]   ♪
[01:45:46.000 --> 01:45:51.000]   ♪
[01:45:51.000 --> 01:45:56.000]   ♪
[01:45:56.000 --> 01:46:01.000]   ♪
[01:46:01.000 --> 01:46:06.000]   ♪
[01:46:06.000 --> 01:46:11.000]   ♪
[01:46:11.000 --> 01:46:16.000]   ♪
[01:46:16.000 --> 01:46:21.000]   ♪
[01:46:21.000 --> 01:46:26.000]   ♪
[01:46:26.000 --> 01:46:31.000]   ♪
[01:46:31.000 --> 01:46:36.000]   ♪
[01:46:36.000 --> 01:46:41.000]   ♪
[01:46:41.000 --> 01:46:46.000]   ♪
[01:46:46.000 --> 01:46:51.000]   ♪
[01:46:51.000 --> 01:46:56.000]   ♪
[01:46:56.000 --> 01:47:01.000]   ♪
[01:47:01.000 --> 01:47:06.000]   ♪
[01:47:06.000 --> 01:47:11.000]   ♪
[01:47:11.000 --> 01:47:16.000]   ♪
[01:47:16.000 --> 01:47:21.000]   ♪
[01:47:21.000 --> 01:47:26.000]   ♪
[01:47:26.000 --> 01:47:31.000]   ♪
[01:47:31.000 --> 01:47:36.000]   ♪
[01:47:36.000 --> 01:47:41.000]   ♪
[01:47:41.000 --> 01:47:46.000]   ♪
[01:47:46.000 --> 01:47:51.000]   ♪
[01:47:51.000 --> 01:47:56.000]   ♪
[01:47:56.000 --> 01:48:01.000]   ♪
[01:48:01.000 --> 01:48:06.000]   ♪
[01:48:06.000 --> 01:48:11.000]   ♪
[01:48:11.000 --> 01:48:16.000]   ♪
[01:48:16.000 --> 01:48:21.000]   ♪
[01:48:21.000 --> 01:48:26.000]   ♪
[01:48:26.000 --> 01:48:31.000]   ♪
[01:48:31.000 --> 01:48:36.000]   ♪
[01:48:36.000 --> 01:48:41.000]   ♪
[01:48:41.000 --> 01:48:46.000]   ♪
[01:48:46.000 --> 01:48:51.000]   ♪
[01:48:51.000 --> 01:48:56.000]   ♪
[01:48:56.000 --> 01:49:01.000]   ♪
[01:49:01.000 --> 01:49:06.000]   ♪
[01:49:06.000 --> 01:49:11.000]   ♪
[01:49:11.000 --> 01:49:16.000]   ♪
[01:49:16.000 --> 01:49:21.000]   ♪
[01:49:21.000 --> 01:49:26.000]   ♪
[01:49:26.000 --> 01:49:31.000]   ♪
[01:49:31.000 --> 01:49:36.000]   ♪
[01:49:36.000 --> 01:49:41.000]   ♪
[01:49:41.000 --> 01:49:46.000]   ♪
[01:49:46.000 --> 01:49:51.000]   ♪
[01:49:51.000 --> 01:49:56.000]   ♪
[01:49:56.000 --> 01:50:01.000]   ♪
[01:50:01.000 --> 01:50:06.000]   ♪
[01:50:06.000 --> 01:50:11.000]   ♪
[01:50:11.000 --> 01:50:16.000]   ♪
[01:50:16.000 --> 01:50:21.000]   ♪
[01:50:21.000 --> 01:50:26.000]   ♪
[01:50:26.000 --> 01:50:31.000]   ♪
[01:50:31.000 --> 01:50:36.000]   ♪
[01:50:36.000 --> 01:50:41.000]   ♪
[01:50:41.000 --> 01:50:46.000]   ♪
[01:50:46.000 --> 01:50:51.000]   ♪
[01:50:51.000 --> 01:50:56.000]   ♪
[01:50:56.000 --> 01:51:01.000]   ♪
[01:51:01.000 --> 01:51:06.000]   ♪
[01:51:06.000 --> 01:51:11.000]   ♪
[01:51:11.000 --> 01:51:16.000]   ♪
[01:51:16.000 --> 01:51:21.000]   ♪
[01:51:21.000 --> 01:51:26.000]   ♪
[01:51:26.000 --> 01:51:31.000]   ♪
[01:51:31.000 --> 01:51:36.000]   ♪
[01:51:36.000 --> 01:51:41.000]   ♪
[01:51:41.000 --> 01:51:46.000]   ♪
[01:51:46.000 --> 01:51:51.000]   ♪
[01:51:51.000 --> 01:51:56.000]   ♪
[01:51:56.000 --> 01:52:01.000]   ♪
[01:52:01.000 --> 01:52:06.000]   ♪
[01:52:06.000 --> 01:52:11.000]   ♪
[01:52:11.000 --> 01:52:16.000]   ♪
[01:52:16.000 --> 01:52:21.000]   ♪
[01:52:21.000 --> 01:52:26.000]   ♪
[01:52:26.000 --> 01:52:31.000]   ♪
[01:52:31.000 --> 01:52:36.000]   ♪
[01:52:36.000 --> 01:52:41.000]   ♪
[01:52:41.000 --> 01:52:46.000]   ♪
[01:52:46.000 --> 01:52:51.000]   ♪
[01:52:51.000 --> 01:52:56.000]   ♪
[01:52:56.000 --> 01:53:01.000]   ♪
[01:53:01.000 --> 01:53:04.000]   Sweet Hop is an online marketplace curating the best in premium seating
[01:53:04.000 --> 01:53:07.000]   at stadiums, arenas, and amphitheaters nationwide.
[01:53:07.000 --> 01:53:11.000]   With Sweet Hop's 100% ticket guarantee, no hidden fees,
[01:53:11.000 --> 01:53:14.000]   and the personal high-level service you expect with a premium purchase,
[01:53:14.000 --> 01:53:18.000]   you can relax, knowing you'll receive the luxury experience you deserve.
[01:53:18.000 --> 01:53:22.000]   Visit SweetHop.com today to book your premium tickets to your favorite teams,
[01:53:22.000 --> 01:53:26.000]   artists, and all the must-see live events to Sweet Hop Around LA.
[01:53:26.000 --> 01:53:31.000]   S-U-I-T-E-H-O-P.com. It's more than just a ticket.

