
[00:00:00.040 --> 00:00:10.520]   case
[00:54:07.020 --> 00:54:07.020]   I've always had a dream of starting a media business or
[00:54:07.020 --> 00:54:07.020]   I've always had a dream of starting a media business or
[00:54:07.020 --> 00:54:07.020]   I've always had a dream of starting a media business or
[00:54:07.040 --> 00:54:37.040]   I've always had a dream of starting a media business or
[00:54:37.040 --> 00:54:37.040]   I've always had a dream of starting a media business or
[00:54:37.040 --> 00:54:37.040]   I've always had a dream of starting a media business or
[00:54:37.040 --> 00:54:37.040]   I've always had a dream of starting a media business or
[00:54:37.040 --> 00:54:37.040]   I've always had a dream of starting a media business or
[00:54:37.040 --> 00:54:37.040]   I've always had a dream of starting a media business or
[00:54:37.040 --> 00:54:37.040]   I've always had a dream of starting a media business or
[00:54:37.040 --> 00:54:37.040]   I've always had a dream of starting a media business or
[00:54:37.040 --> 00:54:37.040]   I've always had a dream of starting a media business or
[00:54:37.040 --> 00:54:37.040]   I've always had a dream of starting a media business or
[00:54:37.040 --> 00:54:37.040]   I've always had a dream of starting a media business or
[00:54:37.040 --> 00:54:37.040]   I've always had a dream of starting a media business or
[00:54:37.040 --> 00:54:37.040]   I've always had a dream of starting a media business or
[00:54:37.060 --> 00:54:49.120]   I've always had a dream of starting a media business or
[00:54:49.120 --> 00:54:49.140]   I've always had a dream of starting a media business or
[00:54:49.140 --> 00:54:49.140]   I've always had a dream of starting a media business or
[00:54:49.140 --> 00:54:52.140]   Selling the cars clears out a massive monthly outflow.
[00:54:52.140 --> 00:54:52.160]   Selling the cars clears out a massive monthly outflow.
[00:54:52.160 --> 00:54:52.180]   Selling the cars clears out a massive monthly outflow.
[00:54:52.180 --> 00:54:54.140]   Maybe I had two car payments of $400 apiece.
[00:54:54.140 --> 00:54:54.160]   Maybe I had two car payments of $400 apiece.
[00:54:54.160 --> 00:54:54.200]   Maybe I had two car payments of $400 apiece.
[00:54:54.200 --> 00:54:55.560]   Oh, I sell both of them.
[00:54:55.560 --> 00:54:55.580]   Oh, I sell both of them.
[00:54:55.580 --> 00:54:57.140]   Now I've dropped my expenses by $800.
[00:54:57.140 --> 00:54:57.160]   Now I've dropped my expenses by $800.
[00:54:57.160 --> 00:54:57.180]   Now I've dropped my expenses by $800.
[00:54:57.180 --> 00:55:03.480]   I've also possibly freed up some equity that was locked in that car that can be put to better use.
[00:55:03.480 --> 00:55:33.500]  , I've also possibly freed up some equity that can be put to better use.
[00:55:33.500 --> 00:55:33.500]   I've also possibly freed up some equity that can be put to better use.
[00:55:33.500 --> 00:55:33.500]   I've also possibly freed up some equity that can be put to better use.
[00:55:33.500 --> 00:55:33.500]   I've also possibly freed up some equity that can be put to better use.
[00:55:33.500 --> 00:55:33.500]   I've also possibly freed up some equity that can be put to better use.
[00:55:33.500 --> 00:55:33.500]   I've also possibly freed up some equity that can be put to better use.
[00:55:33.500 --> 00:55:33.500]   I've also possibly freed up some equity that can be put to better use.
[00:55:33.500 --> 00:55:33.500]   I've also possibly freed up some equity that can be put to better use.
[00:55:33.520 --> 00:55:41.300]   And now with my big move to Thailand, I've lowered my cost of living from $5,000 a month to $1,000 a month.
[00:55:41.300 --> 00:55:45.100]   Because of moving from a high cost of living place to a low cost of living place.
[00:55:45.100 --> 00:55:52.120]   My rent, instead of paying $1,200 a month on a mortgage payment, my rent is $400 a month.
[00:55:52.120 --> 00:55:54.760]   For a two bedroom, three bedroom on the beach.
[00:55:54.760 --> 00:55:57.500]   My food expenses dropped massively.
[00:55:57.500 --> 00:56:00.400]   I can eat out my whole family for $300 a month.
[00:56:00.400 --> 00:56:03.380]   We've probably potentially dropped other expenses.
[00:56:03.380 --> 00:56:03.520]   We've probably potentially dropped other expenses.
[00:56:03.520 --> 00:56:03.520]   We've probably potentially dropped other expenses.
[00:56:03.520 --> 00:56:03.520]   We've probably potentially dropped other expenses.
[00:56:03.520 --> 00:56:03.520]   We've probably potentially dropped other expenses.
[00:56:03.520 --> 00:56:03.520]   We've probably potentially dropped other expenses.
[00:56:03.520 --> 00:56:03.520]   We've probably potentially dropped other expenses.
[00:56:03.520 --> 00:56:03.520]   My food expenses dropped massively.
[00:56:03.520 --> 00:56:03.520]   I can eat out my whole family for $300 a month.
[00:56:03.520 --> 00:56:33.540]   I can eat out my whole family for $300 a month.
[00:56:33.540 --> 00:56:33.540]   I can eat out my whole family for $300 a month.
[00:56:33.540 --> 00:56:33.540]   I can eat out my whole family for $300 a month.
[00:56:33.540 --> 00:56:33.540]   I can eat out my whole family for $300 a month.
[00:56:33.540 --> 00:56:33.540]   I can eat out my whole family for $300 a month.
[00:56:33.540 --> 00:56:33.540]   I can eat out my whole family for $300 a month.
[00:56:33.540 --> 00:56:33.540]   I can eat out my whole family for $300 a month.
[00:56:33.560 --> 00:57:03.560]   I can eat out my whole family for $300 a month.
[00:57:03.560 --> 00:57:03.560]   I can eat out my whole family for $300 a month.
[00:57:03.560 --> 00:57:03.560]   I can eat out my whole family for $300 a month.
[00:57:03.560 --> 00:57:03.560]   I can eat out my whole family for $300 a month.
[00:57:03.560 --> 00:57:03.560]   I can eat out my whole family for $300 a month.
[00:57:03.560 --> 00:57:03.560]   I can eat out my whole family for $300 a month.
[00:57:03.560 --> 00:57:03.560]   I can eat out my whole family for $300 a month.
[00:57:03.560 --> 00:57:03.560]   I can eat out my whole family for $300 a month.
[00:57:03.560 --> 00:57:03.560]   I can eat out my whole family for $300 a month.
[00:57:03.560 --> 00:57:03.560]   I can eat out my whole family for $300 a month.
[00:57:03.560 --> 00:57:03.560]   I can eat out my whole family for $300 a month.
[00:57:03.560 --> 00:57:03.560]   I can eat out my whole family for $300 a month.
[00:57:03.560 --> 00:57:03.560]   I can eat out my whole family for $300 a month.
[00:57:03.560 --> 00:57:03.560]   I can eat out my whole family for $300 a month.
[00:57:03.560 --> 00:57:33.580]   I can eat out my whole family for $300 a month.
[00:57:33.580 --> 00:57:33.580]   I can eat out my whole family for $300 a month.
[00:57:33.580 --> 00:57:33.580]   I can eat out my whole family for $300 a month.
[00:57:33.580 --> 00:57:33.580]   I can eat out my whole family for $300 a month.
[00:57:33.580 --> 00:57:33.580]   I can eat out my whole family for $300 a month.
[00:57:33.580 --> 00:57:33.580]   I can eat out my whole family for $300 a month.
[00:57:33.580 --> 00:57:33.580]   I can eat out my whole family for $300 a month.
[00:57:33.580 --> 00:57:33.580]   I can eat out my whole family for $300 a month.
[00:57:33.580 --> 00:57:33.580]   I can eat out my whole family for $300 a month.
[00:57:33.580 --> 00:57:33.580]   I can eat out my whole family for $300 a month.
[00:57:33.600 --> 00:58:03.600]   I can eat out my whole family for $300 a month.
[00:58:03.600 --> 00:58:03.600]   I can eat out my whole family for $300 a month.
[00:58:03.600 --> 00:58:03.600]   I can eat out my whole family for $300 a month.
[00:58:03.600 --> 00:58:03.600]   I can eat out my whole family for $300 a month.
[00:58:03.600 --> 00:58:03.600]   I can eat out my whole family for $300 a month.
[00:58:03.600 --> 00:58:03.600]   I can eat out my whole family for $300 a month.
[00:58:03.600 --> 00:58:03.600]   I can eat out my whole family for $300 a month.
[00:58:03.600 --> 00:58:03.600]   I can eat out my whole family for $300 a month.
[00:58:03.600 --> 00:58:03.600]   I can eat out my whole family for $300 a month.
[00:58:03.600 --> 00:58:03.600]   I can eat out my whole family for $300 a month.
[00:58:03.600 --> 00:58:03.600]   I can eat out my whole family for $300 a month.
[00:58:03.600 --> 00:58:03.600]   I can eat out my whole family for $300 a month.
[00:58:03.600 --> 00:58:03.600]   I can eat out my whole family for $300 a month.
[00:58:03.600 --> 00:58:03.600]   I can eat out my whole family for $300 a month.
[00:58:03.600 --> 00:58:33.620]   I can eat out my whole family for $300 a month.
[00:58:33.620 --> 00:58:33.620]   I can eat out my whole family for $300 a month.
[00:58:33.620 --> 00:58:33.620]   I can eat out my whole family for $300 a month.
[00:58:33.620 --> 00:58:33.620]   I can eat out my whole family for $300 a month.
[00:58:33.620 --> 00:58:33.620]   I can eat out my whole family for $300 a month.
[00:58:33.620 --> 00:58:33.620]   I can eat out my whole family for $300 a month.
[00:58:33.620 --> 00:58:33.620]   I can eat out my whole family for $300 a month.
[00:58:33.640 --> 00:59:03.640]   I can eat out my whole family for $300 a month.
[00:59:03.640 --> 00:59:03.640]   I can eat out my whole family for $300 a month.
[00:59:03.640 --> 00:59:03.640]   I can eat out my whole family for $300 a month.
[00:59:03.640 --> 00:59:03.640]   I can eat out my whole family for $300 a month.
[00:59:03.640 --> 00:59:03.640]   I can eat out my whole family for $300 a month.
[00:59:03.640 --> 00:59:03.640]   I can eat out my whole family for $300 a month.
[00:59:03.640 --> 00:59:03.640]   I can eat out my whole family for $300 a month.
[00:59:03.640 --> 00:59:03.640]   I can eat out my whole family for $300 a month.
[00:59:03.640 --> 00:59:03.640]   I can eat out my whole family for $300 a month.
[00:59:03.640 --> 00:59:03.640]   I can eat out my whole family for $300 a month.
[00:59:03.640 --> 00:59:03.640]   I can eat out my whole family for $300 a month.
[00:59:03.640 --> 00:59:03.640]   I can eat out my whole family for $300 a month.
[00:59:03.640 --> 00:59:03.640]   I can eat out my whole family for $300 a month.
[00:59:03.640 --> 00:59:03.640]   I can eat out my whole family for $300 a month.
[00:59:03.640 --> 00:59:33.660]   I can eat out my whole family for $300 a month.
[00:59:33.660 --> 00:59:33.660]   I can eat out my whole family for $300 a month.
[00:59:33.660 --> 00:59:33.660]   I can eat out my whole family for $300 a month.
[00:59:33.660 --> 00:59:33.660]   I can eat out my whole family for $300 a month.
[00:59:33.660 --> 00:59:33.660]   I can eat out my whole family for $300 a month.
[00:59:33.660 --> 00:59:33.660]   I can eat out my whole family for $300 a month.
[00:59:33.660 --> 00:59:33.660]   I can eat out my whole family for $300 a month.
[00:59:33.660 --> 00:59:33.660]   I can eat out my whole family for $300 a month.
[00:59:33.680 --> 01:00:03.680]   I can eat out my whole family for $300 a month.
[01:00:03.680 --> 01:00:03.680]   I can eat out my whole family for $300 a month.
[01:00:03.680 --> 01:00:03.680]   I can eat out my whole family for $300 a month.
[01:00:03.680 --> 01:00:03.680]   I can eat out my whole family for $300 a month.
[01:00:03.680 --> 01:00:03.680]   I can eat out my whole family for $300 a month.
[01:00:03.680 --> 01:00:03.680]   I can eat out my whole family for $300 a month.
[01:00:03.680 --> 01:00:03.680]   I can eat out my whole family for $300 a month.
[01:00:03.680 --> 01:00:03.680]   I can eat out my whole family for $300 a month.
[01:00:03.680 --> 01:00:03.680]   I can eat out my whole family for $300 a month.
[01:00:03.680 --> 01:00:03.680]   I can eat out my whole family for $300 a month.
[01:00:03.680 --> 01:00:03.680]   I can eat out my whole family for $300 a month.
[01:00:03.680 --> 01:00:03.680]   I can eat out my whole family for $300 a month.
[01:00:03.680 --> 01:00:03.680]   I can eat out my whole family for $300 a month.
[01:00:03.680 --> 01:00:03.680]   I can eat out my whole family for $300 a month.
[01:00:03.680 --> 01:00:33.700]   I can eat out my whole family for $300 a month.
[01:00:33.700 --> 01:00:33.700]   I can eat out my whole family for $300 a month.
[01:00:33.700 --> 01:00:33.700]   I can eat out my whole family for $300 a month.
[01:00:33.700 --> 01:00:33.700]   I can eat out my whole family for $300 a month.
[01:00:33.700 --> 01:00:33.700]   I can eat out my whole family for $300 a month.
[01:00:33.700 --> 01:00:33.700]   I can eat out my whole family for $300 a month.
[01:00:33.700 --> 01:00:33.700]   I can eat out my whole family for $300 a month.
[01:00:33.700 --> 01:00:33.700]   I can eat out my whole family for $300 a month.
[01:00:33.720 --> 01:01:03.720]   I can eat out my whole family for $300 a month.
[01:01:03.720 --> 01:01:03.720]   I can eat out my whole family for $300 a month.
[01:01:03.720 --> 01:01:03.720]   I can eat out my whole family for $300 a month.
[01:01:03.720 --> 01:01:03.720]   I can eat out my whole family for $300 a month.
[01:01:03.720 --> 01:01:03.720]   I can eat out my whole family for $300 a month.
[01:01:03.720 --> 01:01:03.720]   I can eat out my whole family for $300 a month.
[01:01:03.720 --> 01:01:03.720]   I can eat out my whole family for $300 a month.
[01:01:03.720 --> 01:01:03.720]   I can eat out my whole family for $300 a month.
[01:01:03.720 --> 01:01:03.720]   I can eat out my whole family for $300 a month.
[01:01:03.720 --> 01:01:03.720]   I can eat out my whole family for $300 a month.
[01:01:03.720 --> 01:01:03.720]   I can eat out my whole family for $300 a month.
[01:01:03.720 --> 01:01:03.720]   I can eat out my whole family for $300 a month.
[01:01:03.720 --> 01:01:03.720]   I can eat out my whole family for $300 a month.
[01:01:03.720 --> 01:01:03.720]   I can eat out my whole family for $300 a month.
[01:01:03.760 --> 01:01:33.740]   I can eat out my whole family for $300 a month.
[01:01:33.740 --> 01:01:33.740]   I can eat out my whole family for $300 a month.
[01:01:33.740 --> 01:01:33.740]   I can eat out my whole family for $300 a month.
[01:01:33.740 --> 01:01:33.740]   I can eat out my whole family for $300 a month.
[01:01:33.740 --> 01:01:33.740]   I can eat out my whole family for $300 a month.
[01:01:33.740 --> 01:01:33.740]   I can eat out my whole family for $300 a month.
[01:01:33.740 --> 01:01:33.740]   I can eat out my whole family for $300 a month.
[01:01:33.740 --> 01:01:33.740]   I can eat out my whole family for $300 a month.
[01:01:33.760 --> 01:02:03.760]   I can eat out my whole family for $300 a month.
[01:02:03.760 --> 01:02:03.760]   I can eat out my whole family for $300 a month.
[01:02:03.760 --> 01:02:03.760]   I can eat out my whole family for $300 a month.
[01:02:03.760 --> 01:02:03.760]   I can eat out my whole family for $300 a month.
[01:02:03.760 --> 01:02:03.760]   I can eat out my whole family for $300 a month.
[01:02:03.760 --> 01:02:03.760]   I can eat out my whole family for $300 a month.
[01:02:03.760 --> 01:02:03.760]   I can eat out my whole family for $300 a month.
[01:02:03.760 --> 01:02:03.760]   I can eat out my whole family for $300 a month.
[01:02:03.760 --> 01:02:03.760]   I can eat out my whole family for $300 a month.
[01:02:03.760 --> 01:02:03.760]   I can eat out my whole family for $300 a month.
[01:02:03.760 --> 01:02:03.760]   I can eat out my whole family for $300 a month.
[01:02:03.760 --> 01:02:03.760]   I can eat out my whole family for $300 a month.
[01:02:03.760 --> 01:02:03.760]   I can eat out my whole family for $300 a month.
[01:02:03.760 --> 01:02:03.760]   I can eat out my whole family for $300 a month.
[01:02:03.760 --> 01:02:33.780]   I can eat out my whole family for $300 a month.
[01:02:33.780 --> 01:02:33.780]   I can eat out my whole family for $300 a month.
[01:02:33.780 --> 01:02:33.780]   I can eat out my whole family for $300 a month.
[01:02:33.780 --> 01:02:33.780]   I can eat out my whole family for $300 a month.
[01:02:33.780 --> 01:02:33.780]   I can eat out my whole family for $300 a month.
[01:02:33.780 --> 01:02:33.780]   I can eat out my whole family for $300 a month.
[01:02:33.780 --> 01:02:33.780]   I can eat out my whole family for $300 a month.
[01:02:33.780 --> 01:02:33.780]   I can eat out my whole family for $300 a month.
[01:02:33.780 --> 01:02:33.780]   I can eat out my whole family for $300 a month.
[01:02:33.800 --> 01:03:03.800]   I can eat out my whole family for $300 a month.
[01:03:03.800 --> 01:03:03.800]   I can eat out my whole family for $300 a month.
[01:03:03.800 --> 01:03:03.800]   I can eat out my whole family for $300 a month.
[01:03:03.800 --> 01:03:03.800]   I can eat out my whole family for $300 a month.
[01:03:03.800 --> 01:03:03.800]   I can eat out my whole family for $300 a month.
[01:03:03.800 --> 01:03:03.800]   I can eat out my whole family for $300 a month.
[01:03:03.800 --> 01:03:03.800]   I can eat out my whole family for $300 a month.
[01:03:03.800 --> 01:03:03.800]   I can eat out my whole family for $300 a month.
[01:03:03.800 --> 01:03:03.800]   I can eat out my whole family for $300 a month.
[01:03:03.800 --> 01:03:03.800]   I can eat out my whole family for $300 a month.
[01:03:03.800 --> 01:03:03.800]   I can eat out my whole family for $300 a month.
[01:03:03.800 --> 01:03:03.800]   I can eat out my whole family for $300 a month.
[01:03:03.800 --> 01:03:03.800]   I can eat out my whole family for $300 a month.
[01:03:03.800 --> 01:03:03.800]   I can eat out my whole family for $300 a month.
[01:03:03.840 --> 01:03:33.820]   I can eat out my whole family for $300 a month.
[01:03:33.820 --> 01:03:33.820]   I can eat out my whole family for $300 a month.
[01:03:33.820 --> 01:03:33.820]   I can eat out my whole family for $300 a month.
[01:03:33.820 --> 01:03:33.820]   I can eat out my whole family for $300 a month.
[01:03:33.820 --> 01:03:33.820]   I can eat out my whole family for $300 a month.
[01:03:33.820 --> 01:03:33.820]   I can eat out my whole family for $300 a month.
[01:03:33.820 --> 01:03:33.820]   I can eat out my whole family for $300 a month.
[01:03:33.840 --> 01:04:03.840]   I can eat out my whole family for $300 a month.
[01:04:03.840 --> 01:04:03.840]   I can eat out my whole family for $300 a month.
[01:04:03.840 --> 01:04:03.840]   I can eat out my whole family for $300 a month.
[01:04:03.840 --> 01:04:03.840]   I can eat out my whole family for $300 a month.
[01:04:03.840 --> 01:04:03.840]   I can eat out my whole family for $300 a month.
[01:04:03.840 --> 01:04:03.840]   I can eat out my whole family for $300 a month.
[01:04:03.840 --> 01:04:03.840]   I can eat out my whole family for $300 a month.
[01:04:03.840 --> 01:04:03.840]   I can eat out my whole family for $300 a month.
[01:04:03.840 --> 01:04:03.840]   I can eat out my whole family for $300 a month.
[01:04:03.840 --> 01:04:03.840]   I can eat out my whole family for $300 a month.
[01:04:03.840 --> 01:04:03.840]   I can eat out my whole family for $300 a month.
[01:04:03.840 --> 01:04:03.840]   I can eat out my whole family for $300 a month.
[01:04:03.840 --> 01:04:03.840]   I can eat out my whole family for $300 a month.
[01:04:03.840 --> 01:04:03.840]   I can eat out my whole family for $300 a month.
[01:04:03.840 --> 01:04:33.860]   I can eat out my whole family for $300 a month.
[01:04:33.860 --> 01:04:33.860]   I can eat out my whole family for $300 a month.
[01:04:33.860 --> 01:04:33.860]   I can eat out my whole family for $300 a month.
[01:04:33.860 --> 01:04:33.860]   I can eat out my whole family for $300 a month.
[01:04:33.860 --> 01:04:33.860]   I can eat out my whole family for $300 a month.
[01:04:33.860 --> 01:04:33.860]   I can eat out my whole family for $300 a month.
[01:04:33.860 --> 01:04:33.860]   I can eat out my whole family for $300 a month.
[01:04:33.860 --> 01:04:33.860]   I can eat out my whole family for $300 a month.
[01:04:33.880 --> 01:05:03.880]   I can eat out my whole family for $300 a month.
[01:05:03.880 --> 01:05:03.880]   I can eat out my whole family for $300 a month.
[01:05:03.880 --> 01:05:03.880]   I can eat out my whole family for $300 a month.
[01:05:03.880 --> 01:05:03.880]   I can eat out my whole family for $300 a month.
[01:05:03.880 --> 01:05:03.880]   I can eat out my whole family for $300 a month.
[01:05:03.880 --> 01:05:03.880]   I can eat out my whole family for $300 a month.
[01:05:03.880 --> 01:05:03.880]   I can eat out my whole family for $300 a month.
[01:05:03.880 --> 01:05:03.880]   I can eat out my whole family for $300 a month.
[01:05:03.880 --> 01:05:03.880]   I can eat out my whole family for $300 a month.
[01:05:03.880 --> 01:05:03.880]   I can eat out my whole family for $300 a month.
[01:05:03.880 --> 01:05:03.880]   I can eat out my whole family for $300 a month.
[01:05:03.880 --> 01:05:03.880]   I can eat out my whole family for $300 a month.
[01:05:03.880 --> 01:05:03.880]   I can eat out my whole family for $300 a month.
[01:05:03.880 --> 01:05:03.880]   I can eat out my whole family for $300 a month.
[01:05:03.880 --> 01:05:33.900]   I can eat out my whole family for $300 a month.
[01:05:33.900 --> 01:05:33.900]   I can eat out my whole family for $300 a month.
[01:05:33.900 --> 01:05:33.900]   I can eat out my whole family for $300 a month.
[01:05:33.900 --> 01:05:33.900]   I can eat out my whole family for $300 a month.
[01:05:33.900 --> 01:05:33.900]   I can eat out my whole family for $300 a month.
[01:05:33.900 --> 01:05:33.900]   I can eat out my whole family for $300 a month.
[01:05:33.900 --> 01:05:33.900]   I can eat out my whole family for $300 a month.
[01:05:33.900 --> 01:05:33.900]   I can eat out my whole family for $300 a month.
[01:05:33.920 --> 01:06:03.920]   I can eat out my whole family for $300 a month.
[01:06:03.920 --> 01:06:03.920]   I can eat out my whole family for $300 a month.
[01:06:03.920 --> 01:06:03.920]   I can eat out my whole family for $300 a month.
[01:06:03.920 --> 01:06:03.920]   I can eat out my whole family for $300 a month.
[01:06:03.920 --> 01:06:03.920]   I can eat out my whole family for $300 a month.
[01:06:03.920 --> 01:06:03.920]   I can eat out my whole family for $300 a month.
[01:06:03.920 --> 01:06:03.920]   I can eat out my whole family for $300 a month.
[01:06:03.920 --> 01:06:03.920]   I can eat out my whole family for $300 a month.
[01:06:03.920 --> 01:06:03.920]   I can eat out my whole family for $300 a month.
[01:06:03.920 --> 01:06:03.920]   I can eat out my whole family for $300 a month.
[01:06:03.920 --> 01:06:03.920]   I can eat out my whole family for $300 a month.
[01:06:03.920 --> 01:06:03.920]   I can eat out my whole family for $300 a month.
[01:06:03.920 --> 01:06:03.920]   I can eat out my whole family for $300 a month.
[01:06:03.920 --> 01:06:03.920]   I can eat out my whole family for $300 a month.
[01:06:03.920 --> 01:06:33.940]   I can eat out my whole family for $300 a month.
[01:06:33.940 --> 01:06:33.940]   I can eat out my whole family for $300 a month.
[01:06:33.940 --> 01:06:33.940]   I can eat out my whole family for $300 a month.
[01:06:33.940 --> 01:06:33.940]   I can eat out my whole family for $300 a month.
[01:06:33.940 --> 01:06:33.940]   I can eat out my whole family for $300 a month.
[01:06:33.940 --> 01:06:33.940]   I can eat out my whole family for $300 a month.
[01:06:33.940 --> 01:06:33.940]   I can eat out my whole family for $300 a month.
[01:06:33.940 --> 01:06:33.940]   I can eat out my whole family for $300 a month.
[01:06:33.960 --> 01:07:03.960]   I can eat out my whole family for $300 a month.
[01:07:03.960 --> 01:07:03.960]   I can eat out my whole family for $300 a month.
[01:07:03.960 --> 01:07:03.960]   I can eat out my whole family for $300 a month.
[01:07:03.960 --> 01:07:03.960]   I can eat out my whole family for $300 a month.
[01:07:03.960 --> 01:07:03.960]   I can eat out my whole family for $300 a month.
[01:07:03.960 --> 01:07:03.960]   I can eat out my whole family for $300 a month.
[01:07:03.960 --> 01:07:03.960]   I can eat out my whole family for $300 a month.
[01:07:03.960 --> 01:07:03.960]   I can eat out my whole family for $300 a month.
[01:07:03.960 --> 01:07:03.960]   I can eat out my whole family for $300 a month.
[01:07:03.960 --> 01:07:03.960]   I can eat out my whole family for $300 a month.
[01:07:03.960 --> 01:07:03.960]   I can eat out my whole family for $300 a month.
[01:07:03.960 --> 01:07:03.960]   I can eat out my whole family for $300 a month.
[01:07:03.960 --> 01:07:03.960]   I can eat out my whole family for $300 a month.
[01:07:03.960 --> 01:07:03.960]   I can eat out my whole family for $300 a month.
[01:07:03.960 --> 01:07:33.980]   I can eat out my whole family for $300 a month.
[01:07:33.980 --> 01:07:33.980]   I can eat out my whole family for $300 a month.
[01:07:33.980 --> 01:07:33.980]   I can eat out my whole family for $300 a month.
[01:07:33.980 --> 01:07:33.980]   I can eat out my whole family for $300 a month.
[01:07:33.980 --> 01:07:33.980]   I can eat out my whole family for $300 a month.
[01:07:33.980 --> 01:07:33.980]   I can eat out my whole family for $300 a month.
[01:07:33.980 --> 01:07:33.980]   I can eat out my whole family for $300 a month.
[01:07:33.980 --> 01:07:33.980]   I can eat out my whole family for $300 a month.
[01:07:33.980 --> 01:07:33.980]   I can eat out my whole family for $300 a month.
[01:07:34.000 --> 01:08:04.000]   I can eat out my whole family for $300 a month.
[01:08:04.000 --> 01:08:04.000]   I can eat out my whole family for $300 a month.
[01:08:04.000 --> 01:08:04.000]   I can eat out my whole family for $300 a month.
[01:08:04.000 --> 01:08:04.000]   I can eat out my whole family for $300 a month.
[01:08:04.000 --> 01:08:04.000]   I can eat out my whole family for $300 a month.
[01:08:04.000 --> 01:08:04.000]   I can eat out my whole family for $300 a month.
[01:08:04.000 --> 01:08:04.000]   I can eat out my whole family for $300 a month.
[01:08:04.000 --> 01:08:04.000]   I can eat out my whole family for $300 a month.
[01:08:04.000 --> 01:08:04.000]   I can eat out my whole family for $300 a month.
[01:08:04.000 --> 01:08:04.000]   I can eat out my whole family for $300 a month.
[01:08:04.000 --> 01:08:04.000]   I can eat out my whole family for $300 a month.
[01:08:04.000 --> 01:08:04.000]   I can eat out my whole family for $300 a month.
[01:08:04.000 --> 01:08:04.000]   I can eat out my whole family for $300 a month.
[01:08:04.000 --> 01:08:04.000]   I can eat out my whole family for $300 a month.
[01:08:04.000 --> 01:08:34.020]   I can eat out my whole family for $300 a month.
[01:08:34.020 --> 01:08:34.020]   I can eat out my whole family for $300 a month.
[01:08:34.020 --> 01:08:34.020]   I can eat out my whole family for $300 a month.
[01:08:34.020 --> 01:08:34.020]   I can eat out my whole family for $300 a month.
[01:08:34.020 --> 01:08:34.020]   I can eat out my whole family for $300 a month.
[01:08:34.020 --> 01:08:34.020]   I can eat out my whole family for $300 a month.
[01:08:34.020 --> 01:08:34.020]   I can eat out my whole family for $300 a month.
[01:08:34.040 --> 01:09:04.040]   I can eat out my whole family for $300 a month.
[01:09:04.040 --> 01:09:04.040]   I can eat out my whole family for $300 a month.
[01:09:04.040 --> 01:09:04.040]   I can eat out my whole family for $300 a month.
[01:09:04.040 --> 01:09:04.040]   I can eat out my whole family for $300 a month.
[01:09:04.040 --> 01:09:04.040]   I can eat out my whole family for $300 a month.
[01:09:04.040 --> 01:09:04.040]   I can eat out my whole family for $300 a month.
[01:09:04.040 --> 01:09:04.040]   I can eat out my whole family for $300 a month.
[01:09:04.040 --> 01:09:04.040]   I can eat out my whole family for $300 a month.
[01:09:04.040 --> 01:09:04.040]   I can eat out my whole family for $300 a month.
[01:09:04.040 --> 01:09:04.040]   I can eat out my whole family for $300 a month.
[01:09:04.040 --> 01:09:04.040]   I can eat out my whole family for $300 a month.
[01:09:04.040 --> 01:09:04.040]   I can eat out my whole family for $300 a month.
[01:09:04.040 --> 01:09:04.040]   I can eat out my whole family for $300 a month.
[01:09:04.040 --> 01:09:04.040]   I can eat out my whole family for $300 a month.
[01:09:04.040 --> 01:09:34.060]   I can eat out my whole family for $300 a month.
[01:09:34.060 --> 01:09:34.060]   I can eat out my whole family for $300 a month.
[01:09:34.060 --> 01:09:34.060]   I can eat out my whole family for $300 a month.
[01:09:34.060 --> 01:09:34.060]   I can eat out my whole family for $300 a month.
[01:09:34.060 --> 01:09:34.060]   I can eat out my whole family for $300 a month.
[01:09:34.060 --> 01:09:34.060]   I can eat out my whole family for $300 a month.
[01:09:34.060 --> 01:09:34.060]   I can eat out my whole family for $300 a month.
[01:09:34.060 --> 01:09:34.060]   I can eat out my whole family for $300 a month.
[01:09:34.080 --> 01:10:04.080]   I can eat out my whole family for $300 a month.
[01:10:04.080 --> 01:10:04.080]   I can eat out my whole family for $300 a month.
[01:10:04.080 --> 01:10:04.080]   I can eat out my whole family for $300 a month.
[01:10:04.080 --> 01:10:04.080]   I can eat out my whole family for $300 a month.
[01:10:04.080 --> 01:10:04.080]   I can eat out my whole family for $300 a month.
[01:10:04.080 --> 01:10:04.080]   I can eat out my whole family for $300 a month.
[01:10:04.080 --> 01:10:04.080]   I can eat out my whole family for $300 a month.
[01:10:04.080 --> 01:10:04.080]   I can eat out my whole family for $300 a month.
[01:10:04.080 --> 01:10:04.080]   I can eat out my whole family for $300 a month.
[01:10:04.080 --> 01:10:04.080]   I can eat out my whole family for $300 a month.
[01:10:04.080 --> 01:10:04.080]   I can eat out my whole family for $300 a month.
[01:10:04.080 --> 01:10:04.080]   I can eat out my whole family for $300 a month.
[01:10:04.080 --> 01:10:04.080]   I can eat out my whole family for $300 a month.
[01:10:04.080 --> 01:10:04.080]   I can eat out my whole family for $300 a month.
[01:10:04.080 --> 01:10:34.100]   I can eat out my whole family for $300 a month.
[01:10:34.100 --> 01:10:34.100]   I can eat out my whole family for $300 a month.
[01:10:34.100 --> 01:10:34.100]   I can eat out my whole family for $300 a month.
[01:10:34.100 --> 01:10:34.100]   I can eat out my whole family for $300 a month.
