
[00:00:00.000 --> 00:00:05.000]   Now, I'm delighted today to have Karina who is a director of CS25.
[01:00:23.860 --> 01:00:38.860]   you can also ask another model if that model is like very well covered. So it's like much, it becomes a more like meta thing. Maybe you can see a lot of it. Um, you can actually have like very much manual inspection of what's going on. Um, obviously you can think of other methods, like, um, ask a human laborers to check the work. Um, you can also ask another model if that model is like very well covered. So it's like much, it becomes a more like meta thing.
[01:00:38.860 --> 01:01:07.860]   Maybe you can have a meta eval for that model to verify what you want to like verify. Um, and I think we are kind of entering those types of tasks too. Um, but the thing with synthetic data, um, and the data itself is like maybe you don't need as much. Um, and I think we are kind of entering those types of tasks too. Um, but the thing with synthetic data, um, and the data itself is like maybe you don't need as much.
[01:01:07.860 --> 01:01:14.860]   Um, what's important really is diversity and, um, yeah, diversity. Cool.
[01:01:14.860 --> 01:01:35.860]   Just a follow-up question to that. What do you think about like the diversity and quality tool? So there's like been like recent code generation covers where it's like, um, well, they put instruction diversity as like, um, they prioritize it more than code.
[01:01:35.860 --> 01:02:03.860]   So, um, yeah, I think it's, um, it actually depends so much on like, like task and what you're trying to do. Sometimes synthetic data, uh, like a lot, if you like, if synthetic data happens to collapse certain mode and then it will like actually be hurting, uh, your training. But if synthetic data happens to collapse certain mode and then it will like actually be hurting, uh, your training. But if synthetic data happens to collapse certain mode and then it will like actually be hurting, uh, your training. But if synthetic data happens to collapse certain mode and then it will like actually be hurting, uh, your training. But if synthetic data happens to collapse certain mode and then it will actually be hurting, uh, your training.
[01:02:03.860 --> 01:02:25.860]   Uh, your training. But if synthetic data is actually, um, diverse, it might actually at scale, if you do a lot of URL on this, it might just like recover from this. Um, yeah. Yeah. It's hard to give you the right answer. Cause it depends. Nice.
[01:02:25.860 --> 01:02:26.860]   Another question.
[01:02:26.860 --> 01:02:53.860]   Thanks for, um, so I have a question that's about making money, I guess. So, um, okay. It's a real question though. Uh, like we all know that, um, serving large language models is expensive, especially at the scale that, uh, you know, OpenAI and Thropic are doing. Uh, and my impression has been that, uh, at the current stage, um,
[01:02:53.860 --> 01:03:11.860]   um, it's actually losing money to, uh, you know, serve all these models, uh, to produce the products. Uh, is that true? Or, uh, what, what's being done to, to, I guess, bring down the cost?
[01:03:11.860 --> 01:03:39.860]   Oh yeah. I mean, I think, uh, for a developer, um, I think, I don't think like, I, I, I don't know. I think it's the question for Sam, whether we are losing money or not. But, um, I do think that the, like the generality of the technology is like so wide that, um, you know, I don't think, I think about like how to make money in, on a regular basis. I don't know.
[01:03:39.860 --> 01:04:01.860]   But, um, yeah, as a developer, let's say, uh, and if you're using all the tools, you actually don't need to like create a, like foundation model now. Like you can just use, uh, like very inexpensive, like, very like open, like deep seek is like very interesting results, right? So you can have, you can like bootstrap from existing research.
[01:04:01.860 --> 01:04:14.860]   I think it's harder to be at the frontier because you kind of need to like invent and that might be expensive. Like when you invent something new, it's always inefficient. It's always expensive. But, um, actually it was every technological innovation.
[01:04:14.860 --> 01:04:27.860]   And like, then what comes next, the second innovation is, uh, how do we bring down the cost of the thing that, that happened, right? And this is what's happening in AI too. Um,
[01:04:27.860 --> 01:04:49.860]   And then you can create an amazing product and this is how you make money. Yeah, that's, that's a good answer. Uh, just quickly following up. So, um, is most of the cost reduction coming from like infrastructure improvements or can better models or better algorithms also, uh, contribute to lower costs?
[01:04:49.860 --> 01:05:15.860]   Um, lower costs. Yeah. I mean like, uh, lowering costs, but, um, I think it's, um, the costs of production, maybe just, you know, the cost of production of the model training itself might go down. Um, like it's, um, the training process in itself, um, might be not as costly anymore, but obviously, uh, we scale a lot.
[01:05:15.860 --> 01:05:26.860]   It's like scale. Yeah. It's very much like in linear relationship, like scaling and compute. I think it's just like, yeah, it's hard to know. I'm sorry. I didn't have an answer to this.
[01:05:26.860 --> 01:05:29.860]   Yeah. Okay. Thank you.
[01:05:29.860 --> 01:05:35.860]   So how do you envision LMS could be used in other fields, such as robotics or a body AI?
[01:05:35.860 --> 01:05:41.860]   Oh yeah. I do think like, um, future AIs will be building data centers, um,
[01:05:41.860 --> 01:05:49.860]   um, to all like, um, or how are the current alums in robotics. I think I've, I've read like, um,
[01:05:49.860 --> 01:06:00.860]   um, PI, um, the company by Sergey Lemon, like the paper, they using a lot of like RLHF or like RL, uh, for robotics tasks.
[01:06:00.860 --> 01:06:10.860]   Um, obviously I feel like data is a huge limitation and bottleneck. Um, but I think as long as you solve that, um, I think it would be really amazing. Yeah.
[01:06:10.860 --> 01:06:17.860]   Um, I'm very hopeful and very, yeah, excited about this.
[01:06:17.860 --> 01:06:39.860]   Oh, hi. So you mentioned you work, uh, in both product and research. So I'm interested in, um, from the developer or the researcher point of view, uh, Anthropic and OpenAI. Um, what's the visibility for you into other components of the model and how easy is it for you to learn?
[01:06:39.860 --> 01:06:46.860]   For you to learn, say the pre-training of GPT, why you are like responsible for part of the post-training?
[01:06:46.860 --> 01:06:57.860]   Oh yeah. Um, well, I mostly worked on post-training side of things. Um, obviously pre-training, um, obviously you just cannot run like pre-training on your own.
[01:06:57.860 --> 01:07:09.860]   You want to like be a part of like the next big, uh, like training or something. So that's like part of the teams that you can join. And I think there's, um, good visibility in like those steps.
[01:07:09.860 --> 01:07:22.860]   And then sometimes you want to, you know, uh, contribute the datasets to them or, um, help with certain tasks that you're interested in.
[01:07:22.860 --> 01:07:29.860]   So I was curious, do you have any co-workers who are AIs right now? And do you use like agents in a kind of co-worker relationship right now?
[01:07:29.860 --> 01:07:39.860]   Um, I don't think I have like an amazing product to be like this, right? I think I use Chai GPT on a regular basis. Is it my co-worker? Not really.
[01:07:39.860 --> 01:07:50.860]   Like sometimes they ask like, what do you think? Yeah, it was like in Chai GPT. Like what I really want, uh, I don't know if people have used this product called Tuple.
[01:07:50.860 --> 01:08:06.860]   It's a pair programming, um, software, but then it's like, you can just call a model, um, and then share screen. And then the model can, um, just literally start like editing my code if I'm coding.
[01:08:06.860 --> 01:08:18.860]   Or I can like highlight things and then the model can see it and change this as much more of a natural co-working, um, form factor.
[01:08:18.860 --> 01:08:23.860]   But no, like, I don't think we are, technology wise, like we are not there yet.
[01:08:23.860 --> 01:08:28.860]   Do you have any ideas for like what's missing and having an autonomous, like co-worker partner?
[01:08:28.860 --> 01:08:42.860]   Because I mean, I've seen the cool, you know, demonstrations here. I think one of the paper like a year or two ago on just like simulating like a city of people and all that. Like what's the gap between that? And so like a peer that you could have on Slack.
[01:08:42.860 --> 01:08:57.860]   Like I think the gap is actually social intelligence and like some of the human things, like being able to like in real time, um, like generate things that I'm asking and then also being smart about things.
[01:08:57.860 --> 01:09:09.860]   Like maybe I want to coach too, but like will the model be able to like tell me instead of like, uh, taking agency from me, the model can just like guide, guide me through this.
[01:09:09.860 --> 01:09:13.860]   Like it depends on like how you want to form this relationship. It's like a really hard.
[01:09:13.860 --> 01:09:24.860]   So the model is, I feel like it's kind of limited by the social abilities. Does it make sense? Like I think that's missing, um, kind of like, um, speech to speech conversation.
[01:09:24.860 --> 01:09:33.860]   Um, like can the model converse back with me in real time and then point to things that it talked about exactly at the same time.
[01:09:33.860 --> 01:09:45.860]   So it's like those type of, um, things that might need, might have possibly need like some other changes in like architecture and like multimodality things. Yeah.
[01:09:45.860 --> 01:09:51.860]   In your experience, which is, which are the biggest differences between traditional product development?
[01:09:51.860 --> 01:10:02.860]   Yeah, that's a good question. Cause, um, I interned briefly at like companies like Dropbox or, um, Square and they may mainly very much like,
[01:10:02.860 --> 01:10:11.860]   traditional software product development and they go through like this interesting life cycle of, okay, I have like PRD.
[01:10:11.860 --> 01:10:19.860]   I do this. I incentivize designer designers comes up with like UI's and then I asked software engineers to do this.
[01:10:19.860 --> 01:10:29.860]   Um, we have two minutes, I believe. Um, yeah, but, uh, I think with research during products is actually comes from research.
[01:10:29.860 --> 01:10:42.860]   Uh, like if the research has like an impressive demo, uh, of the model capability, um, maybe then, um, there is, um, then you shape the product around it.
[01:10:42.860 --> 01:10:50.860]   Um, and sometimes it's like both product and research come together from the very beginning and do something.
[01:10:50.860 --> 01:10:57.860]   Um, it just happened with the canvas for example. Yeah. When both product and research were together and there was like less, less of a process.
[01:10:57.860 --> 01:10:59.860]   It's like more of a ad hoc. Yeah.
[01:10:59.860 --> 01:11:09.860]   Um, for fundamental unverifiable domains like creative writing or visual art.
[01:11:09.860 --> 01:11:27.860]   Um, so, yeah, it's interesting. Um, I think, you know, nobody has tried it. I'm like, this, uh, this looks reasonable. Um, yeah, especially if creative writing, you have all the like competitions or prizes that people, uh, got from, um, their writing. So there's something in there. Um, someone who's still concerned with AI.
[01:11:27.860 --> 01:11:49.860]   We're stepping into the creative space. Do you have any personal moral affliction on how your work is so powerful? And that was, um, I actually wrote a blog post about this. Um, I have a blog post.
[01:11:49.860 --> 01:11:59.860]   It's called in sub stack and the post is called moral progress. And I think you will find it interesting.
[01:11:59.860 --> 01:12:02.860]   All right. So give, uh, give a hand again for, uh, Karina.
[01:12:02.860 --> 01:12:04.860]   Thank you.
[01:12:04.860 --> 01:12:05.860]   Thank you.
[01:12:05.860 --> 01:12:35.840]   Thank you.

