
[00:00:00.080 --> 00:00:04.720]   this year google talked about ai very differently this time they want you to sit up they want you
[00:51:41.040 --> 00:51:45.120]   you know this technology is going to bring uh that none of those timelines are very long
[00:51:45.120 --> 00:52:00.720]   when we come back more from demis isabes about the strange futures that lie ahead
[00:52:00.720 --> 00:52:08.320]   we're going to switch to some more general questions about the ai future sure a lot of people now are
[00:52:08.320 --> 00:52:13.600]   starting to at least in conversations that i'm involved in think about what the world might look like
[00:52:13.600 --> 00:52:20.320]   after agi um the context in which i actually hear the most about this is from parents who want to know
[00:52:20.320 --> 00:52:26.480]   um what their kids should be doing studying will they go to college yeah um you have kids they're older
[00:52:26.480 --> 00:52:33.360]   than than my kid um how are you thinking about that so i think that the when it comes to the kids and i get
[00:52:33.360 --> 00:52:41.760]   asked this quite a lot is is uh university students um i think first of all i wouldn't dramatically uh change
[00:52:41.760 --> 00:52:47.360]   some of the basic advice on stem uh getting good at even the things like coding i would still recommend
[00:52:47.360 --> 00:52:53.200]   because i think whatever happens with these ai tools you'll be better off understanding how they work
[00:52:53.200 --> 00:52:59.600]   and how they function and you know what you can do with them um i would also say immerse yourself now
[00:52:59.600 --> 00:53:05.440]   that's what i would be doing as a teenager today and in trying to become a sort of ninja at using the the
[00:53:05.440 --> 00:53:10.880]   the latest tools i think you can almost be sort of superhuman in some ways if you got really good at
[00:53:10.880 --> 00:53:17.760]   using uh all the latest uh coolest ai tools um but don't neglect the basics too because you need the
[00:53:17.760 --> 00:53:24.320]   fundamentals and then i think uh teach sort of meta skills really of um like learning to learn and the
[00:53:24.320 --> 00:53:28.880]   only thing we know for sure is there's going to be a lot of change over the next 10 years right so how
[00:53:28.880 --> 00:53:34.720]   does one get ready for that what kind of skills are useful for that creativity skills um adaptability
[00:53:34.720 --> 00:53:41.120]   resilience i think all of these sort of you know meta skills is what will be important uh for the
[00:53:41.120 --> 00:53:45.520]   next generation um and i think it'll be very interesting to see what they do because they're
[00:53:45.520 --> 00:53:52.000]   going to grow up ai native just like the last generation grew up mobile and and ipad and you know sort
[00:53:52.000 --> 00:53:57.120]   of that that kind of you know tablet native and then previously internet and computers which was my
[00:53:57.120 --> 00:54:04.880]   era and um you know they always i think the kids of that era always seem to adapt to uh make use of the
[00:54:04.880 --> 00:54:11.200]   latest coolest tools and i think there's more we can do on the ai side to make the tools actually um if
[00:54:11.200 --> 00:54:16.400]   people are going to use them for school and education let's make them really good for that and sort of
[00:54:16.400 --> 00:54:22.240]   provably good and i'm very excited about bringing it to education in a big way and also to you know
[00:54:22.240 --> 00:54:27.600]   if you had an ai tutor uh uh to bring it to poorer parts of the world that don't have good educational
[00:54:27.600 --> 00:54:33.040]   systems um so i think there's a lot of upside there too another thing that kids are doing with ai is
[00:54:33.040 --> 00:54:39.280]   chatting a lot with digital companions um google deep mind doesn't make any of these companions yet
[00:54:39.280 --> 00:54:44.240]   um some of what i've seen so far seems pretty worrying it seems pretty easy to create a chat bot that
[00:54:44.240 --> 00:54:48.480]   just does nothing but tell you how wonderful you are and that can sort of like lead into some dark
[00:54:48.480 --> 00:54:53.760]   and weird places so i'm curious what observations you've had as you like look at this uh market for
[00:54:53.760 --> 00:55:00.080]   ai companions and whether you think i i might want to build this someday or i'm gonna leave that to
[00:55:00.080 --> 00:55:04.880]   other people yeah i think we've got to be very careful as we as we start entering that domain and and
[00:55:04.880 --> 00:55:10.640]   that's why we we haven't yet and we've been very thoughtful about that my view on this is um more through
[00:55:10.640 --> 00:55:16.080]   the lens of uh the universal assistant that we talked about yesterday which is something that's
[00:55:16.080 --> 00:55:22.080]   incredibly useful for your everyday productivity you know gets rid of the boring mundane tasks that we
[00:55:22.080 --> 00:55:27.760]   all hate doing to give you more time to do the things that you love doing i also really um hope that
[00:55:27.760 --> 00:55:33.280]   they're going to enrich your lives by giving you incredible recommendations for example on all sorts of
[00:55:33.280 --> 00:55:39.040]   amazing things that um you didn't realize you would enjoy you know sort of the delight you with surprising
[00:55:39.040 --> 00:55:44.800]   things um so i think these are the the ways i'm hoping that uh these systems will go and actually
[00:55:44.800 --> 00:55:52.720]   on the positive side i feel like um we if this assistant becomes really useful and knows you well you
[00:55:52.720 --> 00:55:58.720]   could sort of program it with you obviously with natural language to protect your attention so you could
[00:55:58.720 --> 00:56:05.360]   almost think of it as a system that works for you you know as an individual it's yours and um it
[00:56:05.360 --> 00:56:10.640]   protects your attention from being assaulted by other algorithms that want your attention which
[00:56:10.640 --> 00:56:16.080]   is actually nothing to do with ai most most social media sites that's what they're doing effectively
[00:56:16.080 --> 00:56:20.400]   their algorithms are trying to gain your attention and i think that's actually the worst thing
[00:56:20.400 --> 00:56:26.080]   and it'd be great to to protect that so we can be more in you know creative flow whatever it is that you
[00:56:26.080 --> 00:56:31.040]   once you want to do that's how i would want these systems to be useful to people if you could build
[00:56:31.040 --> 00:56:35.440]   a system like that i think people would be so incredibly happy i think right now people feel
[00:56:35.440 --> 00:56:39.280]   assailed by the algorithms in their life and they don't know what to do about it well the reason is
[00:56:39.280 --> 00:56:44.320]   is because you have to use your you've got one brain and you have to let's say whatever it is a social
[00:56:44.320 --> 00:56:49.680]   media stream you have to dip into that torrent to then get the piece of information you want but then
[00:56:49.680 --> 00:56:54.240]   you've already but you're doing it with the same brain so you've already affected your mind and your mood
[00:56:54.240 --> 00:56:58.720]   and other things by dipping into that torrent and you know to find the valuable you know the
[00:56:58.720 --> 00:57:03.600]   piece of information that you wanted but if if an assistant digital assistant did that for you you
[00:57:03.600 --> 00:57:09.120]   would you know you'd only get the useful nugget and you wouldn't need to um break your you know your
[00:57:09.120 --> 00:57:13.440]   your mood or what is it you're doing the day or your concentration with your family whatever it is
[00:57:13.440 --> 00:57:18.480]   um i think that would be wonderful yeah casey loves that idea you love that idea i love this idea of an
[00:57:18.480 --> 00:57:24.800]   ai agent that protects your attention from all the forces trying to assault it i'm not sure how the the
[00:57:24.800 --> 00:57:31.920]   ads team at google is gonna feel about this um but we can ask them when the time comes um some people are
[00:57:31.920 --> 00:57:37.360]   starting to look at the job market especially for recent college graduates and uh worry that there were
[00:57:37.360 --> 00:57:45.040]   already starting to see signs of ai power job loss um anecdotally i talked to young people who uh you
[00:57:45.040 --> 00:57:49.760]   know a couple years ago might have been interested in going into fields like tech or consulting or
[00:57:49.760 --> 00:57:54.720]   finance or law who are just saying like i don't know that these jobs are going to be around much
[00:57:54.720 --> 00:58:00.160]   longer um a recent article in the atlantic wondered if we're starting to see ai competing with college
[00:58:00.160 --> 00:58:05.280]   graduates for these entry-level positions do you have a view on that i haven't looked at that you know i
[00:58:05.280 --> 00:58:11.120]   i don't know i haven't seen the studies on that but um you know maybe it's starting to appear now i i
[00:58:11.120 --> 00:58:16.240]   don't think there's any hard numbers on that yet at least i haven't seen it um i think for now i mostly
[00:58:16.240 --> 00:58:22.400]   see these as tools that augmenting what you can do and what you can achieve um i think like with most i
[00:58:22.400 --> 00:58:28.160]   think the next era i mean maybe after agi things will be different again but over the next five to ten years
[00:58:28.160 --> 00:58:33.360]   i think we're going to find uh what normally happens with with big sort of new technology shifts which is
[00:58:33.360 --> 00:58:39.440]   that some jobs get disrupted but then new um you know more valuable usually more interesting jobs
[00:58:39.440 --> 00:58:44.560]   get created so i do think that's what's going to happen in the in the nearer term um so you know
[00:58:44.560 --> 00:58:48.880]   today's graduates and the next you know next five years let's say i think it's very difficult to
[00:58:48.880 --> 00:58:53.920]   predict after that um that's part of this sort of more societal change that we need to get ready for
[00:58:53.920 --> 00:58:59.520]   i mean i think the the tension there is that you're right these tools do give people so much more
[00:58:59.520 --> 00:59:04.640]   leverage um but they also like reduce the need for big teams of people doing certain things i was
[00:59:04.640 --> 00:59:09.760]   talking to someone recently who said you know they had been at a data science uh company in their
[00:59:09.760 --> 00:59:16.000]   previous job that had 75 people working on some kind of data science tasks and now they're at a startup
[00:59:16.000 --> 00:59:20.960]   that has one person doing the work that used to require 75 people and so i guess the question
[00:59:20.960 --> 00:59:27.440]   i'd be curious to get your view on is what are the other 74 people supposed to do well look i think um
[00:59:27.440 --> 00:59:35.520]   uh these tools are going to unlock uh the ability to create things much more quickly so you know that
[00:59:35.520 --> 00:59:40.800]   i think there'll be more people that will do startup things i mean there's a lot more surface area one could
[00:59:40.800 --> 00:59:47.440]   attack and try with these tools um that was possible before so let's take programming for example um you
[00:59:47.440 --> 00:59:52.640]   know so obviously these these systems are getting better at coding but the best coders i think are
[00:59:52.640 --> 00:59:57.040]   getting differential value out of it because they still understand how to pose the question and
[00:59:57.040 --> 01:00:03.280]   architect the whole code base and and check what the coding does but simultaneously at the hobbyist end
[01:00:03.280 --> 01:00:08.880]   it's allowing designers and maybe non-technical people to vibe code some things you know whether
[01:00:08.880 --> 01:00:15.760]   that's prototyping games or or websites or uh movie ideas so in theory it should be those
[01:00:15.760 --> 01:00:21.360]   other 70 people whatever should could be creating new startup ideas maybe it's going to be less of these
[01:00:21.360 --> 01:00:27.280]   bigger teams and more smaller teams are very empowered by ai tools um but it but that goes back
[01:00:27.280 --> 01:00:32.480]   to the education thing then which skills are now important it might be different skills like
[01:00:32.480 --> 01:00:39.520]   creativity sort of vision and uh design sensibility um you know could become increasingly important
[01:00:39.520 --> 01:00:44.800]   do you think you'll hire as many engineers next year as you hire this year i think so yeah that's that's
[01:00:44.800 --> 01:00:50.080]   the i mean there's no plan to to hire less but you know we again you have we have to see how
[01:00:50.080 --> 01:00:57.040]   fast the the coding uh agents improve um today they they they're they're not you know they can't do
[01:00:57.040 --> 01:01:01.680]   things on their own they need to they need uh they're just helpful for for the best you know for the
[01:01:01.680 --> 01:01:06.960]   best human coders last time we talked to you we asked you about some of the more pessimistic views
[01:01:06.960 --> 01:01:12.080]   about ai in the public and one of the things you said to us was that the field needed to demonstrate
[01:01:12.080 --> 01:01:16.640]   concrete use cases that were just clearly beneficial to people to kind of shift yes my
[01:01:16.640 --> 01:01:21.920]   observation is that i think there are even more people now who are like actively antagonistic toward
[01:01:21.920 --> 01:01:29.040]   ai and i think maybe one reason is they hear folks at the big labs saying pretty loudly eventually this
[01:01:29.040 --> 01:01:33.520]   is going to replace your job and most people just think well i don't want that you know so i'm
[01:01:33.520 --> 01:01:40.160]   curious like looking on from that past conversation if you feel like we have seen some use cases enough
[01:01:40.160 --> 01:01:46.880]   use cases to start to shift public opinion or if not what some of those things might be that actually
[01:01:46.880 --> 01:01:53.440]   changed views here well i think we're we're we're working on those things they take time to develop um i think
[01:01:53.440 --> 01:01:58.960]   the a kind of universal assistant would be one of those things if it was uh kind of really yours and
[01:01:58.960 --> 01:02:05.440]   working for you effectively so technology that works for you um i think that this is what economists and
[01:02:05.440 --> 01:02:13.120]   other experts should be working on is do you have uh does everyone have manager uh a a suite of of you
[01:02:13.120 --> 01:02:17.760]   know fleet of agents that are doing things for you and you know including potentially earning you money or
[01:02:17.760 --> 01:02:22.240]   building you things um you know does that become part of the normal job process i could
[01:02:22.240 --> 01:02:27.760]   imagine that in the next four or five years i also think that as we get closer to agi and we make
[01:02:27.760 --> 01:02:33.200]   breakthroughs and we probably talked about last time material sciences energy fusion these sorts of things
[01:02:33.200 --> 01:02:39.360]   help by ai um uh we should have we should start getting to a position in society where we're getting
[01:02:39.360 --> 01:02:44.480]   towards what i would call radical abundance where there's a lot of resources uh to go around and then
[01:02:44.480 --> 01:02:49.840]   again it's more of a political question of how would you distribute that in a fair way right so
[01:02:49.840 --> 01:02:55.040]   i've heard this term like universal high income well something like that uh i think it's gonna probably
[01:02:55.040 --> 01:02:59.600]   be you know good and necessary but obviously there's a lot of uh complications that they need to be
[01:02:59.600 --> 01:03:04.720]   thought through um so and and then in between there's this transition period you know between now and
[01:03:04.720 --> 01:03:10.800]   whenever we we have a that sort of situation where what what do we do about the change in in the in
[01:03:10.800 --> 01:03:16.160]   the interim and depends on how long that is too what part of the economy do you think agi will
[01:03:16.160 --> 01:03:22.160]   transform last well i mean i think that parts of the economy where you know involves human to human
[01:03:22.160 --> 01:03:30.160]   interaction and emotion um and those things i think uh you know will probably be the hardest things for
[01:03:30.160 --> 01:03:37.680]   for ai to do so um you know are people already you do an ai therapy and talking with chat bots for
[01:03:37.680 --> 01:03:42.080]   things that they might have paid someone you know a hundred dollars an hour for well therapies are very
[01:03:42.080 --> 01:03:46.880]   narrow domain and i'm not sure exactly there's a lot of you know hype about those things i'm not actually
[01:03:46.880 --> 01:03:52.240]   sure how many uh of those things are really going on in terms of actually affecting the real economy and
[01:03:52.240 --> 01:03:57.520]   rather than just sort of more toy things um and i don't think the ai systems are like capable of doing that
[01:03:57.520 --> 01:04:04.320]   properly yet um but just the kind of emotional connection uh and uh that we get from talking
[01:04:04.320 --> 01:04:11.200]   to each other and um doing things in nature in the real world uh i don't think that ai can really
[01:04:11.200 --> 01:04:17.200]   replicate all of those things so if you lead hikes would be a good job yeah yeah i'm gonna climb everest
[01:04:17.200 --> 01:04:20.960]   yeah my intuition on this is that it's going to be some heavily regulated industry where there will just
[01:04:20.960 --> 01:04:27.040]   be like a massive pushback on the use of ai to displace labor or or take people's jobs like health
[01:04:27.040 --> 01:04:33.440]   care or or education or something like that um but you think it's going to be an easier lift in those
[01:04:33.440 --> 01:04:38.160]   heavily regulated industries well i don't know i mean it might be but then we have to weigh that up as
[01:04:38.160 --> 01:04:42.880]   society whether we want all the all the all the positives of that for example you know curing all
[01:04:42.880 --> 01:04:49.360]   diseases or or um you know i think there's a lot of uh finding new energy sources so i think these
[01:04:49.360 --> 01:04:55.200]   things would be clearly very beneficial for society and i think we need um to for our other big challenges
[01:04:55.200 --> 01:05:00.640]   it's not like there's no challenges in society other than uh ai but i think ai can be a solution to a lot of
[01:05:00.640 --> 01:05:08.000]   those uh other challenges be that energy resource constraints uh aging disease um you know you name
[01:05:08.000 --> 01:05:15.280]   it and water access etc a ton of problems facing us today climate um i think ai can potentially help
[01:05:15.280 --> 01:05:21.600]   with all of those and i agree with you society will need to decide what um it wants to use this these
[01:05:21.600 --> 01:05:27.520]   technologies for and um but then you know what's also changing is what we discussed earlier with products
[01:05:27.520 --> 01:05:33.680]   is the technology is going to continue advancing um and that will open up new possibilities like uh
[01:05:33.680 --> 01:05:39.040]   the kind of radical abundance space travel these things um which are a little bit out of scope today
[01:05:39.040 --> 01:05:45.120]   unless you read a lot of sci-fi but i think rapidly becoming uh real during the industrial revolution
[01:05:45.120 --> 01:05:50.160]   there were lots of people who embraced new technologies moved from farms to cities to work in the new
[01:05:50.160 --> 01:05:56.240]   factories uh were sort of early adopters on that curve um but that was also when the transcendentalists
[01:05:56.240 --> 01:06:01.200]   started retreating into nature and rejecting technology that's when thoreau went to walden
[01:06:01.200 --> 01:06:06.080]   pond and there was a big movement of americans who just saw the new technology and said i don't think
[01:06:06.080 --> 01:06:11.360]   so not for me do you think there will be a similar movement around rejection of ai and if so how how
[01:06:11.360 --> 01:06:17.760]   big do you think it'll be um i don't know if it'll be i mean there could be a get back to nature and
[01:06:17.760 --> 01:06:21.760]   i mean i think a lot of people will want to do that and and i think this potentially will give
[01:06:21.760 --> 01:06:26.240]   them the room and space to do it right if you're in a world of radical abundance i fully expect that's
[01:06:26.240 --> 01:06:31.680]   what what a lot of us will want to do is use it to you know i think again i'm thinking about it sort
[01:06:31.680 --> 01:06:38.560]   of space faring and and and and more you know kind of um maximum human flourishing but uh i think that
[01:06:38.560 --> 01:06:42.800]   will be that will be exactly some of the things that a lot of us will choose to do and but i have time
[01:06:42.800 --> 01:06:48.240]   and the space and the the resources to do it are there parts of your life where you say i'm not
[01:06:48.240 --> 01:06:53.920]   going to use ai for that even though it might be pretty good at it for some sort of reason wanting
[01:06:53.920 --> 01:07:00.320]   to protect your creativity or your thought process or something else um i don't think ai is good enough
[01:07:00.320 --> 01:07:05.680]   yet to impinged on any of those sorts of errors where i would you know it's mostly i'm using it for
[01:07:05.680 --> 01:07:10.080]   you know things like you did with notebook lm which i feel find great like breaking uh the ice on a new
[01:07:10.080 --> 01:07:14.320]   topic scientific topic and then deciding if i want to get more deep into it that's one of my
[01:07:14.320 --> 01:07:19.680]   main use cases summarization those things i think those are all just helpful um but you know we'll
[01:07:19.680 --> 01:07:24.560]   see i haven't got any examples of what of what you suggested yet but maybe as ai gets more powerful
[01:07:24.560 --> 01:07:30.960]   there will be when we talked to dario amade of anthropic recently he talked about this feeling of
[01:07:30.960 --> 01:07:37.920]   excitement mixed with a kind of melancholy about the progress that ai was making in domains where he had
[01:07:37.920 --> 01:07:43.520]   spent a lot of time trying to be very good yes coding yes where it was like you see a new coding
[01:07:43.520 --> 01:07:46.960]   system that comes out it's better than you you think that's amazing and then your second thought
[01:07:46.960 --> 01:07:52.320]   is like oh that stings a little bit yeah have you had any experiences of course so i maybe maybe one
[01:07:52.320 --> 01:07:57.200]   reason doesn't sting me so much is i've had that experience when i was very young with chess so you
[01:07:57.200 --> 01:08:01.520]   know um chess was going to be my first career and you know i was playing pretty professionally when i was a
[01:08:01.520 --> 01:08:07.120]   kid for the england junior teams and then deep blue came along right and clearly uh the computers were
[01:08:07.120 --> 01:08:12.400]   going to be much more powerful than the world champion forever after that and so but yeah i
[01:08:12.400 --> 01:08:17.840]   still enjoy playing chess um people still do it's different you know but it's a bit like i can you
[01:08:17.840 --> 01:08:23.040]   know usain bolt we celebrate him for for running the hundred meters incredibly fast but we've got cars
[01:08:23.040 --> 01:08:28.480]   but we don't care about that right like it's we're interested in other humans doing it and um i think
[01:08:28.480 --> 01:08:34.320]   that'll be the same with robotic football and all of these other things so um and that maybe goes back
[01:08:34.320 --> 01:08:39.040]   to what we discussed earlier about what i think in the end we're interested in in other human beings
[01:08:39.040 --> 01:08:44.720]   that's why even like a novel maybe it maybe ai could write one day a novel that's sort of technically
[01:08:44.720 --> 01:08:50.640]   good but i don't think it would have the same soul or connection to the reader that um uh if you knew it was
[01:08:50.640 --> 01:08:55.520]   was written by an ai at least as far as i can see for now you mentioned robotic football is that a
[01:08:55.520 --> 01:08:59.200]   real thing we're not sports fans so i just want to make sure i haven't missed something i was meaning
[01:08:59.200 --> 01:09:05.120]   soccer yeah no yeah no no uh i don't know i i think there are there are um robo cup uh sort of uh
[01:09:05.120 --> 01:09:10.080]   soccer type little robots trying to kick balls and things uh i'm not sure how serious it is but there
[01:09:10.080 --> 01:09:16.720]   is a there is a field of robotic football you mentioned the you know sometimes a novel written by a robot
[01:09:16.720 --> 01:09:21.360]   might not feel like it have a soul i have to say for as incredible as the technology is in
[01:09:21.360 --> 01:09:26.880]   vo or imagine i sort of feel that way with it where it's like it's beautiful to look at but i don't
[01:09:26.880 --> 01:09:31.120]   know what to do with it right you know what i mean exactly and that's that's what i was you know that's
[01:09:31.120 --> 01:09:37.680]   why we work with great artists like darren aronofsky and shanker on the music um is i i totally agree
[01:09:37.680 --> 01:09:43.680]   i think these are tools and they can come up with technically good things and i mean vo3 is unbelievable
[01:09:43.680 --> 01:09:46.960]   like when i look at the you know i don't know if you've seen some of the things that are going viral
[01:09:46.960 --> 01:09:50.880]   being posted the moment with the voices actually i didn't realize how big a difference audio is going
[01:09:50.880 --> 01:09:56.400]   to make to the video i think it just really brings it to life but it's still not as darren would say
[01:09:56.400 --> 01:10:02.640]   yesterday when we were discussing on an interview it it doesn't he brings the storytelling it's not got
[01:10:02.640 --> 01:10:09.360]   deep storytelling like a master filmmaker will do or master novelist you know the top of their game
[01:10:09.360 --> 01:10:16.480]   and um it might never do right it's just always going to feel something's missing it's a sort of a
[01:10:16.480 --> 01:10:23.360]   soul for a better word of the piece you know the real humanity the magic if you like the the great pieces
[01:10:23.360 --> 01:10:29.840]   of art you know art too when you when i see a van gogh or a rothko or you know why does that touch your
[01:10:29.840 --> 01:10:36.000]   you know i spill you know um sort of you know hair's gone back my my spine because of i remember
[01:10:36.000 --> 01:10:40.800]   you know and you know about what what they went through and um the struggle to produce that right
[01:10:40.800 --> 01:10:46.880]   in every brushstroke of van gogh's brushstrokes his his sort of uh torture and i'm not sure what that
[01:10:46.880 --> 01:10:51.840]   would mean even if the ai mimicked that and you were told that it was like so what right and and and
[01:10:51.840 --> 01:10:59.840]   so i think that is the piece that at least as far as i can see out to five ten years um the the the
[01:10:59.840 --> 01:11:06.320]   top human creators will always be bringing and that's why we've done all of our tools vo lyria in income
[01:11:06.320 --> 01:11:14.880]   in collaboration um with top creative artists the new pope pope leo yes is reportedly interested in agi
[01:11:14.880 --> 01:11:19.920]   i don't know if he's agi pilled or not but uh that's something that he's spoken about before um
[01:11:19.920 --> 01:11:25.600]   do you think we will have a religious revival or a renaissance of interest in faith and spirituality
[01:11:25.600 --> 01:11:31.520]   in a world where agi is forcing us to think about what gives our lives meaning i think that potentially
[01:11:31.520 --> 01:11:36.160]   could be the case and um i actually did speak to the last pope about that and and the vatican's been
[01:11:36.160 --> 01:11:42.000]   interested but even prior to this pope haven't spoken to him yet but on these these matters how does ai
[01:11:42.000 --> 01:11:48.480]   and religion uh and uh technology in general and religion uh interact and and what's interesting
[01:11:48.480 --> 01:11:53.120]   about the catholic churches and i'm a member of the pontifical academy of sciences is they've always
[01:11:53.120 --> 01:11:58.000]   had uh which is strange for a religious body a scientific arm you know which they like to always
[01:11:58.000 --> 01:12:05.760]   say galileo was the founder of and uh although it's interesting so so but then and and it's actually
[01:12:05.760 --> 01:12:09.440]   really separate and i always thought that was quite interesting and people like stephen hawking and
[01:12:09.440 --> 01:12:13.840]   and you know avowed atheists were part of the academy and and that's partly why i agreed to
[01:12:13.840 --> 01:12:19.040]   join it is because it's a fully scientific body and uh it's very interesting and i was fascinated
[01:12:19.040 --> 01:12:24.000]   they've been interested in this for 10 plus years so they they were on on this early in terms of like
[01:12:24.000 --> 01:12:30.960]   how interesting or how from a physical philosophical point i think um uh this this this technology will be
[01:12:30.960 --> 01:12:36.320]   and i and i i actually think we need more of that type of thinking and work from from philosophers
[01:12:36.320 --> 01:12:42.000]   and theologians uh actually would be really really good so i hope the new pope is genuinely interested
[01:12:42.000 --> 01:12:47.920]   um we'll close on a question that uh i recently heard tyler cowen ask jack clark from anthropic that
[01:12:47.920 --> 01:12:54.960]   i thought was so good and decided to just steal it whole cloth in the ongoing ai revolution what is the worst age to be
[01:12:54.960 --> 01:13:01.520]   oh wow uh well i i don't i mean you know um
[01:13:01.520 --> 01:13:11.520]   gosh i haven't thought about that but i mean i think any age uh uh where you can live to see it
[01:13:11.520 --> 01:13:17.680]   is a good age because i think we are going to make some great strides uh with things like you know
[01:13:17.680 --> 01:13:22.800]   medicine and so um i think it's going to be incredible journal none of us know you know
[01:13:22.800 --> 01:13:26.960]   exactly how it's going to transpire it's very difficult to say but it's going to be very
[01:13:26.960 --> 01:13:32.880]   interesting to find out try to be young if you can yes young is always better yeah i mean in general
[01:13:32.880 --> 01:13:45.600]   young is always better all right demis asabes thanks so much thank you very much
[01:13:45.600 --> 01:13:47.660]   you

