
[00:00:00.000 --> 00:00:01.080]   Hey, everybody. Hey, everybody.
[00:34:59.800 --> 00:35:01.680]   from losing their money in private investment funds,
[00:35:01.680 --> 00:35:04.240]   but it also certainly will prevent the non-rich
[00:35:04.240 --> 00:35:08.360]   from participating in any upside profits and gains on these funds.
[00:35:08.360 --> 00:35:11.160]   Does this mean the rich get richer while the non-rich should be content
[00:35:11.160 --> 00:35:13.600]   to just hold their place on the economic ladder?
[00:35:13.600 --> 00:35:17.360]   This, to me, when I saw this, I was like,
[00:35:17.360 --> 00:35:21.400]   "You know what? I am feeling absolutely fantastic about Trump.
[00:35:21.400 --> 00:35:24.560]   If he stops these wars, or stops one out of two,
[00:35:24.560 --> 00:35:26.520]   and keeps us out of, you know, participating,
[00:35:26.520 --> 00:35:29.800]   even though we're not on the ground with any new ones,
[00:35:29.800 --> 00:35:31.800]   and he removes regulations,
[00:35:31.800 --> 00:35:34.760]   and we have people in power who understand
[00:35:34.760 --> 00:35:36.960]   that moving up the socioeconomic ladder
[00:35:36.960 --> 00:35:39.920]   is as important as protecting the downside risk,
[00:35:39.920 --> 00:35:43.720]   especially when we see wealth polarization,
[00:35:43.720 --> 00:35:45.520]   this is a great pick."
[00:35:45.520 --> 00:35:48.080]   Now, the other picks, there are some whack-pack picks in there.
[00:35:48.080 --> 00:35:49.200]   I'll be totally honest.
[00:35:49.200 --> 00:35:50.680]   I don't know what the strategy is, Joe.
[00:35:50.680 --> 00:35:52.440]   I'll ask you that in a minute.
[00:35:52.440 --> 00:35:56.640]   But what do we think, Gavin, of this sort of approach here,
[00:35:56.640 --> 00:35:59.680]   which is really thinking thoughtfully about
[00:35:59.680 --> 00:36:02.800]   what is sophisticated, and what are we doing here?
[00:36:02.800 --> 00:36:05.560]   What is the outcome we're looking for?
[00:36:05.560 --> 00:36:07.880]   - Yeah, no, I think it's great, and you could just...
[00:36:07.880 --> 00:36:09.000]   I mean, the reality is a hedge fund
[00:36:09.000 --> 00:36:12.440]   that runs with a lot of leverage probably is more risky.
[00:36:12.440 --> 00:36:15.360]   I don't know that it's more risky than a single security,
[00:36:15.360 --> 00:36:19.280]   but, like, at the end of the day,
[00:36:19.280 --> 00:36:20.760]   since he wrote that letter,
[00:36:20.760 --> 00:36:24.240]   it was an incredible 15-year run for private equity.
[00:36:24.240 --> 00:36:27.520]   And, you know, now all the big private equity firms
[00:36:27.520 --> 00:36:31.800]   are making a huge effort now,
[00:36:31.800 --> 00:36:33.320]   when probably the business is more mature
[00:36:33.320 --> 00:36:35.960]   and maybe the return opportunities aren't what they were,
[00:36:35.960 --> 00:36:38.360]   to appeal to Main Street America.
[00:36:38.360 --> 00:36:40.280]   Like, it would have been cool if, you know,
[00:36:40.280 --> 00:36:46.720]   Blackstone or KKR or whoever in '07, '08, '09, 2010,
[00:36:46.720 --> 00:36:48.240]   you know, could have had their fund up
[00:36:48.240 --> 00:36:51.160]   on, like, the Fidelity marketplace for subscription.
[00:36:51.160 --> 00:36:53.520]   That probably would have been good for America.
[00:36:53.520 --> 00:36:55.560]   So I think his comments are well taken.
[00:36:55.560 --> 00:36:57.600]   Imagine if Elon could raise for SpaceX,
[00:36:57.600 --> 00:36:59.280]   like, you know, from regular Americans.
[00:36:59.280 --> 00:37:00.440]   I'm sure he would have loved to do that
[00:37:00.440 --> 00:37:02.440]   if it wasn't crazy risky with the SEC, right?
[00:37:02.440 --> 00:37:04.320]   So there's all these people who are blocking us
[00:37:04.320 --> 00:37:05.840]   from letting the average person be part of it.
[00:37:05.840 --> 00:37:07.440]   It does keep them from climbing the wealth ladder.
[00:37:07.440 --> 00:37:09.040]   I think it's crazy.
[00:37:09.040 --> 00:37:09.880]   - Yeah.
[00:37:09.880 --> 00:37:10.720]   Freeberg, any thoughts here?
[00:37:10.720 --> 00:37:13.000]   I mean, this has been my pet peeve for a long time,
[00:37:13.000 --> 00:37:15.600]   is letting people do what they want with their money.
[00:37:15.600 --> 00:37:18.760]   If you don't allow people to take risk with their money
[00:37:18.760 --> 00:37:20.680]   and move up from poor to middle class,
[00:37:20.680 --> 00:37:22.080]   from middle class to upper middle class,
[00:37:22.080 --> 00:37:23.720]   and maybe eventually becoming affluent.
[00:37:23.720 --> 00:37:25.040]   - Jason, there's a lot of places
[00:37:25.040 --> 00:37:26.080]   people can invest their money.
[00:37:26.080 --> 00:37:27.400]   They can buy public stocks.
[00:37:27.400 --> 00:37:29.960]   There's $20 trillion of public stocks they can buy.
[00:37:29.960 --> 00:37:31.320]   I don't think that you're prohibiting people
[00:37:31.320 --> 00:37:33.960]   from transitioning their wealth like bands
[00:37:33.960 --> 00:37:35.480]   by not being able to buy private stocks.
[00:37:35.480 --> 00:37:37.560]   In fact, I think it's more likely than not
[00:37:37.560 --> 00:37:40.360]   that people are gonna go market bullshit securities
[00:37:40.360 --> 00:37:43.440]   in private markets and rip poor people off even worse.
[00:37:43.440 --> 00:37:46.360]   And that's why there are these regulatory kind of barriers.
[00:37:46.360 --> 00:37:47.880]   And I don't think that it's necessary.
[00:37:47.880 --> 00:37:50.120]   Look, everyone says let's make it everything free
[00:37:50.120 --> 00:37:52.520]   and everything libertarian seems like a good idea.
[00:37:52.520 --> 00:37:54.280]   And so someone gets punched in the face,
[00:37:54.280 --> 00:37:55.120]   gets ripped off.
[00:37:55.120 --> 00:37:58.600]   Someone dies from a drug that's not properly tested.
[00:37:58.600 --> 00:38:00.440]   And then we're all like, where are the regulators?
[00:38:00.440 --> 00:38:03.000]   Where are the agencies to protect the individuals?
[00:38:03.000 --> 00:38:04.880]   And I think that's the role that these agencies
[00:38:04.880 --> 00:38:06.200]   are kind of providing.
[00:38:06.200 --> 00:38:08.160]   And that's the reason these rules are in place.
[00:38:08.160 --> 00:38:09.600]   I don't think that this is like one of these things
[00:38:09.600 --> 00:38:11.280]   where, oh, liberty is being denied.
[00:38:11.280 --> 00:38:14.920]   I think there's a careful line to walk.
[00:38:14.920 --> 00:38:16.240]   - Yeah, I believe you.
[00:38:16.240 --> 00:38:19.360]   - I'm generally pretty centrist in most things.
[00:38:19.360 --> 00:38:21.800]   So I agree with what a lot of David said.
[00:38:21.800 --> 00:38:24.160]   And I do think if you were to allow
[00:38:24.160 --> 00:38:27.280]   ordinary Americans to buy private companies
[00:38:27.280 --> 00:38:29.720]   that are held to a lower standard of disclosure
[00:38:29.720 --> 00:38:31.480]   and reporting than public companies,
[00:38:31.480 --> 00:38:33.560]   like something would have to change.
[00:38:33.560 --> 00:38:36.720]   Like just, hey, if a private company wants to,
[00:38:36.720 --> 00:38:41.920]   public companies are held to certain standards for a reason.
[00:38:41.920 --> 00:38:45.800]   - Tweak the numbers and have non-gap financials and yeah.
[00:38:45.800 --> 00:38:48.720]   - And there is a lot of fraud in venture.
[00:38:48.720 --> 00:38:52.080]   There are unethical people, there are-
[00:38:52.080 --> 00:38:54.920]   - And smart, diligent people can't even find it all.
[00:38:54.920 --> 00:38:56.560]   You know, that's, it's like the smartest,
[00:38:56.560 --> 00:38:58.920]   most diligent people are still getting ripped off.
[00:38:58.920 --> 00:39:00.360]   - Yeah, I mean, look at FTX.
[00:39:00.360 --> 00:39:01.200]   I mean-
[00:39:01.200 --> 00:39:03.560]   - I mean, FTX ripped off some very,
[00:39:03.560 --> 00:39:05.000]   very intelligent friends of ours.
[00:39:05.000 --> 00:39:07.600]   - Not that anyone did any diligence at FTX.
[00:39:07.600 --> 00:39:08.440]   - Yeah.
[00:39:08.440 --> 00:39:09.280]   - But yeah.
[00:39:09.280 --> 00:39:10.280]   - Which is an important part of this.
[00:39:10.280 --> 00:39:11.960]   But I mean, if you had a sophistication,
[00:39:11.960 --> 00:39:13.640]   I mean, there's such an easy solution to this.
[00:39:13.640 --> 00:39:15.280]   You just do a sophistication test.
[00:39:15.280 --> 00:39:17.280]   People take a five hour course
[00:39:17.280 --> 00:39:19.000]   and they answer 50 questions at the end,
[00:39:19.000 --> 00:39:20.040]   like a driver's license.
[00:39:20.040 --> 00:39:22.360]   - Well, I do think it is a little,
[00:39:22.360 --> 00:39:24.440]   that's why I talked about private equity.
[00:39:24.440 --> 00:39:26.720]   These are extremely sophisticated institutions
[00:39:26.720 --> 00:39:29.120]   who are always investing alongside their clients.
[00:39:29.120 --> 00:39:29.960]   - Yeah.
[00:39:29.960 --> 00:39:31.840]   - And they're buying established businesses.
[00:39:31.840 --> 00:39:33.480]   They're putting leverage on them.
[00:39:33.480 --> 00:39:37.240]   But like, I think private equity is kind of a middle ground
[00:39:37.240 --> 00:39:40.960]   and on a pooled basis, I think you could argue.
[00:39:40.960 --> 00:39:42.600]   And, you know, maybe those funds would need
[00:39:42.600 --> 00:39:45.680]   to change their reporting and their disclosures
[00:39:45.680 --> 00:39:47.800]   to deal with kind of the average American.
[00:39:47.800 --> 00:39:50.480]   But by that, I mean, strengthen it.
[00:39:50.480 --> 00:39:55.000]   But I think private equity,
[00:39:55.000 --> 00:39:56.560]   his comments were well taken.
[00:39:56.560 --> 00:39:57.400]   That's what I would say.
[00:39:57.400 --> 00:39:58.240]   - Joe, what are your thoughts?
[00:39:58.240 --> 00:39:59.080]   - Yeah.
[00:39:59.080 --> 00:39:59.920]   I mean, I think the elephant in the room--
[00:39:59.920 --> 00:40:00.760]   - Going around the horn here.
[00:40:00.760 --> 00:40:02.080]   - The elephant in the room that's really funny here
[00:40:02.080 --> 00:40:04.120]   is that you have the people on the left
[00:40:04.120 --> 00:40:05.920]   saying that only people with lots of money
[00:40:05.920 --> 00:40:07.480]   are smart enough to be allowed to do this,
[00:40:07.480 --> 00:40:09.600]   which I think is just a very funny position to take.
[00:40:09.600 --> 00:40:11.920]   It's like, you have to have a few million dollars
[00:40:11.920 --> 00:40:14.440]   to be sophisticated enough to be allowed to do this.
[00:40:14.440 --> 00:40:16.040]   I like your idea, Jake, of a test.
[00:40:16.040 --> 00:40:18.800]   Like there should be some other way of accessing this
[00:40:18.800 --> 00:40:19.920]   if you really want to.
[00:40:19.920 --> 00:40:20.760]   I mean, I agree.
[00:40:20.760 --> 00:40:22.320]   Listen, I don't wanna live in a world
[00:40:22.320 --> 00:40:24.120]   where we're all constantly being spammed
[00:40:24.120 --> 00:40:26.960]   to the average person by like stupid financial stuff.
[00:40:26.960 --> 00:40:28.520]   That's just like, we would be scammed all the time.
[00:40:28.520 --> 00:40:30.360]   There probably should be some rules.
[00:40:30.360 --> 00:40:31.200]   Like, I agree.
[00:40:31.200 --> 00:40:32.720]   I'm not like a total libertarian on this.
[00:40:32.720 --> 00:40:33.840]   I think it'd be really annoying.
[00:40:33.840 --> 00:40:35.560]   But yeah, but just to totally block people
[00:40:35.560 --> 00:40:38.320]   from participating, to me, that sounds crazy.
[00:40:38.320 --> 00:40:39.160]   - All right.
[00:40:39.160 --> 00:40:41.240]   - I mean, that's finance college professor.
[00:40:41.240 --> 00:40:45.520]   You know, might, unless they had another job,
[00:40:45.520 --> 00:40:47.640]   might not, you know, be able to do this.
[00:40:47.640 --> 00:40:50.960]   - They would have to make $250,000.
[00:40:50.960 --> 00:40:55.440]   - Let's talk about a very important public market
[00:40:55.440 --> 00:40:57.080]   set of transactions.
[00:40:57.080 --> 00:40:58.480]   Gavin, I'd like your point of view
[00:40:58.480 --> 00:41:01.600]   on Michael Saylor's convertible note issuances
[00:41:01.600 --> 00:41:03.440]   being used by Bitcoin.
[00:41:03.440 --> 00:41:04.800]   - Going over the top.
[00:41:04.800 --> 00:41:08.160]   - Which this morning Bloomberg reported
[00:41:08.160 --> 00:41:10.920]   is the hottest trade in hedge funds right now.
[00:41:10.920 --> 00:41:12.680]   Nick, if you could pull up the article.
[00:41:12.680 --> 00:41:15.720]   And then Jekyll, I know you've been an outspoken
[00:41:15.720 --> 00:41:18.680]   opinion setter on Michael Saylor's promotion
[00:41:18.680 --> 00:41:20.560]   of his securities actions.
[00:41:20.560 --> 00:41:21.960]   We'd love your point of view.
[00:41:21.960 --> 00:41:23.320]   Gavin.
[00:41:23.320 --> 00:41:25.800]   - Just at some point, this does get too big.
[00:41:25.800 --> 00:41:27.880]   For a while, when it was smaller,
[00:41:27.880 --> 00:41:29.480]   you know, you could support the debt.
[00:41:29.480 --> 00:41:30.520]   - I'm sorry, could you explain it?
[00:41:30.520 --> 00:41:31.800]   Could you explain it to everyone, Gavin?
[00:41:31.800 --> 00:41:32.640]   - Yeah.
[00:41:32.640 --> 00:41:35.800]   So what he is doing is issuing debt and buying Bitcoin
[00:41:35.800 --> 00:41:38.280]   with the premise that Bitcoin is always going to go up.
[00:41:38.280 --> 00:41:40.880]   And he, you know, has made eloquent arguments
[00:41:40.880 --> 00:41:42.480]   why that is the case.
[00:41:42.480 --> 00:41:48.320]   No trees grow to the sky.
[00:41:48.320 --> 00:41:53.320]   And I think the interest expense on his convertible notes
[00:41:53.320 --> 00:41:56.640]   is 75 million off the top of my head.
[00:41:56.640 --> 00:41:59.880]   And by the way, I could care less about micro strategy.
[00:41:59.880 --> 00:42:01.520]   Like I'm not close to it.
[00:42:01.520 --> 00:42:03.160]   I'm not involved.
[00:42:03.160 --> 00:42:04.000]   - Yeah.
[00:42:04.000 --> 00:42:05.880]   - I don't know any hedge funds who own it.
[00:42:05.880 --> 00:42:07.160]   - No horse in the race.
[00:42:07.160 --> 00:42:08.320]   - Yeah, yeah.
[00:42:08.800 --> 00:42:11.360]   I think a lot of hedge funds are short micro strategy,
[00:42:11.360 --> 00:42:13.240]   but I have no horse in the race.
[00:42:13.240 --> 00:42:18.240]   But his, the underlying business that, you know,
[00:42:18.240 --> 00:42:21.240]   pays the interest expense on the debt
[00:42:21.240 --> 00:42:24.920]   only does $400 million a year in revenue.
[00:42:24.920 --> 00:42:27.200]   And it's, you know, high gross margin revenue.
[00:42:27.200 --> 00:42:33.800]   But I just, unless debt investors have absolute confidence
[00:42:35.560 --> 00:42:37.760]   in Bitcoin has collateral.
[00:42:37.760 --> 00:42:39.160]   And I don't think that's where
[00:42:39.160 --> 00:42:40.800]   fixed income markets are yet.
[00:42:40.800 --> 00:42:47.360]   He, it will get to a point where it is too big
[00:42:47.360 --> 00:42:49.080]   for the size of his company.
[00:42:49.080 --> 00:42:51.360]   And then yeah, maybe he can over collateralize it
[00:42:51.360 --> 00:42:54.880]   and, you know, have $10 in Bitcoin for every dollar of debt.
[00:42:54.880 --> 00:43:00.080]   But then like the magic money creation machine that,
[00:43:00.080 --> 00:43:03.800]   you know, I see discussed on X breaks down
[00:43:03.800 --> 00:43:06.000]   because that's like, you know, that's,
[00:43:06.000 --> 00:43:10.080]   that's very, very different
[00:43:10.080 --> 00:43:12.440]   than what is being discussed today.
[00:43:12.440 --> 00:43:13.520]   - Joe, do you have a point of view?
[00:43:13.520 --> 00:43:14.840]   'Cause Joe's got to run by the way.
[00:43:14.840 --> 00:43:16.320]   So Joe, do you want to close this out?
[00:43:16.320 --> 00:43:18.280]   - Most of the defense people down here in LA.
[00:43:18.280 --> 00:43:20.480]   Listen, I am very bullish Bitcoin.
[00:43:20.480 --> 00:43:23.000]   I love all the energy of our society around it.
[00:43:23.000 --> 00:43:25.480]   I agree with what you said, Dave,
[00:43:25.480 --> 00:43:27.480]   that there's like, there needs to be some barriers
[00:43:27.480 --> 00:43:28.920]   for the public taking crazy risks.
[00:43:28.920 --> 00:43:31.320]   And I think the risks around how he's accessing this
[00:43:31.320 --> 00:43:34.160]   is actually very unusual and does scare me a bit.
[00:43:34.160 --> 00:43:35.400]   And people need to do their research
[00:43:35.400 --> 00:43:37.440]   and they shouldn't just like throw money without studying it.
[00:43:37.440 --> 00:43:38.600]   It does scare me a little bit
[00:43:38.600 --> 00:43:40.400]   how likely people are throwing money at this
[00:43:40.400 --> 00:43:43.720]   without knowing the kind of leverage he's taking, you know?
[00:43:43.720 --> 00:43:45.640]   - Yeah. Joe, anything else you want to share
[00:43:45.640 --> 00:43:47.000]   that you're up to, that you're excited about
[00:43:47.000 --> 00:43:48.600]   before you head out?
[00:43:48.600 --> 00:43:52.280]   - Well, you know, this weekend is the annual defense forum
[00:43:52.280 --> 00:43:53.720]   at the Reagan library room on the board.
[00:43:53.720 --> 00:43:55.720]   It's the biggest defense event of the year.
[00:43:55.720 --> 00:43:57.080]   Everyone's coming in.
[00:43:57.080 --> 00:44:00.600]   I guess I'm really excited that America has like woken up
[00:44:00.600 --> 00:44:01.800]   and assuming we can bring back
[00:44:01.800 --> 00:44:03.440]   more advanced manufacturing here,
[00:44:03.440 --> 00:44:06.040]   I think there's enough top companies now with Anduril,
[00:44:06.040 --> 00:44:07.600]   with Cerronic, we're going to be building thousands
[00:44:07.600 --> 00:44:09.920]   of these vessels for the Navy, with AI.
[00:44:09.920 --> 00:44:12.040]   With EPRIS, we're like turning things off, you know,
[00:44:12.040 --> 00:44:13.120]   10 miles away, whatever,
[00:44:13.120 --> 00:44:14.360]   fairly far away with microwave radiation.
[00:44:14.360 --> 00:44:16.000]   There's some really cool technology coming
[00:44:16.000 --> 00:44:18.240]   that actually is going to make us be able to deter enemies.
[00:44:18.240 --> 00:44:20.280]   So if you asked me six, seven years ago, I was panicked.
[00:44:20.280 --> 00:44:22.400]   We're going to like get way behind China.
[00:44:22.400 --> 00:44:23.360]   I'm feeling really good about it now.
[00:44:23.360 --> 00:44:25.320]   I think, and I think, you know,
[00:44:25.320 --> 00:44:28.000]   just the Pete Hegseth pick, you know,
[00:44:28.000 --> 00:44:29.520]   is actually someone I'm quite bullish on
[00:44:29.520 --> 00:44:30.360]   for everything I'm hearing.
[00:44:30.360 --> 00:44:31.920]   So I think things are going the right direction.
[00:44:31.920 --> 00:44:34.160]   - Is there a wholesale upgrade happening
[00:44:34.160 --> 00:44:35.720]   in defense in the United States?
[00:44:35.720 --> 00:44:38.840]   Are all systems and all strategies
[00:44:38.840 --> 00:44:42.880]   being rethought right now using technology and innovation
[00:44:42.880 --> 00:44:47.000]   and kind of a performance-based product mindset
[00:44:47.000 --> 00:44:49.400]   leading kind of a reinvention of everything?
[00:44:49.400 --> 00:44:51.240]   Is that what's going to happen in the next four years?
[00:44:51.240 --> 00:44:53.400]   - Warfare is fundamentally totally shifted.
[00:44:53.400 --> 00:44:54.800]   We're seeing some of this in Ukraine.
[00:44:54.800 --> 00:44:56.760]   There's all sorts of new ways you want to swarm things
[00:44:56.760 --> 00:44:58.320]   on the land, swarm things in the water,
[00:44:58.320 --> 00:44:59.640]   swarm things in the air.
[00:44:59.640 --> 00:45:01.600]   How do they coordinate and how do they work together?
[00:45:01.600 --> 00:45:03.680]   How do you manufacture enough of these things
[00:45:03.680 --> 00:45:06.040]   and how do you use electronic warfare in new ways to,
[00:45:06.040 --> 00:45:07.680]   you know, it's basically created by this.
[00:45:07.680 --> 00:45:10.280]   And so it's just a whole new way of doing things.
[00:45:10.280 --> 00:45:11.960]   And we are going that direction.
[00:45:11.960 --> 00:45:13.240]   Too much of the money, David,
[00:45:13.240 --> 00:45:16.040]   like 95% of the money is still going towards like,
[00:45:16.040 --> 00:45:17.720]   frankly, like wasteful legacy,
[00:45:17.720 --> 00:45:18.800]   like mostly things we don't need.
[00:45:18.800 --> 00:45:21.720]   - Cost plus maintenance and gold systems, yeah.
[00:45:21.720 --> 00:45:22.800]   - But enough is shifting
[00:45:22.800 --> 00:45:24.360]   and there's enough good people fighting.
[00:45:24.360 --> 00:45:26.800]   And as long as we keep just allowing open competition,
[00:45:26.800 --> 00:45:28.520]   allow it to say, okay, which is better
[00:45:28.520 --> 00:45:29.800]   and just let the best things win.
[00:45:29.800 --> 00:45:30.760]   As long as we keep doing that,
[00:45:30.760 --> 00:45:31.800]   I think it's going the right way.
[00:45:31.800 --> 00:45:33.400]   I'm feeling very good about it.
[00:45:33.400 --> 00:45:36.520]   - Is the Chinese position shift
[00:45:36.520 --> 00:45:39.200]   in their technology strategy and their system strategy
[00:45:39.200 --> 00:45:41.160]   going to motivate a shift here, do you think?
[00:45:41.160 --> 00:45:42.440]   - It already has. - Is there a shift underway?
[00:45:42.440 --> 00:45:43.280]   - It already has.
[00:45:43.280 --> 00:45:44.280]   I mean, it definitely already has.
[00:45:44.280 --> 00:45:46.120]   - So we don't need big aircraft carriers.
[00:45:46.120 --> 00:45:48.280]   We don't need F-35s, we need drones,
[00:45:48.280 --> 00:45:50.360]   we need lasers, we need weapons and stuff.
[00:45:50.360 --> 00:45:52.680]   - I think there's a role for carriers and force projection.
[00:45:52.680 --> 00:45:55.240]   I don't think we need like incrementally a ton more of them.
[00:45:55.240 --> 00:45:57.520]   I'm not like this crazy radical
[00:45:57.520 --> 00:45:58.400]   where you get rid of all this,
[00:45:58.400 --> 00:45:59.640]   but yeah, on the margin,
[00:45:59.640 --> 00:46:02.760]   I'd much rather have 10,000 more smart drones
[00:46:02.760 --> 00:46:03.920]   above and below the water
[00:46:03.920 --> 00:46:05.840]   than like an incremental carrier, right?
[00:46:05.840 --> 00:46:07.120]   So there's, on a margin,
[00:46:07.120 --> 00:46:08.760]   there's all these things that are better uses of money
[00:46:08.760 --> 00:46:10.400]   and I think we're pushing that way.
[00:46:10.400 --> 00:46:12.920]   - And is there a huge tidal wave of venture money?
[00:46:12.920 --> 00:46:14.240]   I was at a dinner last night
[00:46:14.240 --> 00:46:15.560]   where there was this conversation
[00:46:15.560 --> 00:46:17.280]   about defense tech used to be off limits
[00:46:17.280 --> 00:46:18.120]   and a lot of LPAs,
[00:46:18.120 --> 00:46:20.200]   so you can't invest in defense companies.
[00:46:20.200 --> 00:46:21.840]   That's now changed or is changing
[00:46:21.840 --> 00:46:23.120]   and everyone's kind of coming up
[00:46:23.120 --> 00:46:25.920]   with their own defense tech strategy, do you think?
[00:46:25.920 --> 00:46:27.560]   I mean, you were obviously early in this, Gavin.
[00:46:27.560 --> 00:46:29.400]   I don't know if you're an investor in this space,
[00:46:29.400 --> 00:46:30.720]   but are you guys seeing a big shift?
[00:46:30.720 --> 00:46:31.560]   Yeah.
[00:46:31.560 --> 00:46:32.920]   - I obviously, you know, listen,
[00:46:32.920 --> 00:46:34.320]   there's only been nine unicorns, I think,
[00:46:34.320 --> 00:46:35.160]   still at this point,
[00:46:35.160 --> 00:46:36.000]   and I started three of them
[00:46:36.000 --> 00:46:37.360]   and invested three of them in the first round,
[00:46:37.360 --> 00:46:39.960]   so I'm obviously pretty involved in the space.
[00:46:39.960 --> 00:46:41.760]   And I think, listen, it helps me
[00:46:41.760 --> 00:46:43.600]   if there's more money for my companies,
[00:46:43.600 --> 00:46:45.360]   which is really great.
[00:46:45.360 --> 00:46:46.200]   - Right.
[00:46:46.200 --> 00:46:47.800]   - I think there's probably the right answer for the US.
[00:46:47.800 --> 00:46:49.240]   It's not going to be like 1,000 businesses
[00:46:49.240 --> 00:46:50.080]   or a hundred businesses.
[00:46:50.080 --> 00:46:52.920]   It's going to be like seven to 10 new primes.
[00:46:52.920 --> 00:46:54.200]   One of them's obviously under roll.
[00:46:54.200 --> 00:46:56.320]   I think one is probably Ceronic and Epirus, we'll see.
[00:46:56.320 --> 00:46:58.200]   But like, there's going to be seven to 10 new primes,
[00:46:58.200 --> 00:46:59.240]   and that's what it's going to be.
[00:46:59.240 --> 00:47:00.560]   So there's going to be a lot of zeros
[00:47:00.560 --> 00:47:01.840]   and a lot of bad investments,
[00:47:01.840 --> 00:47:03.880]   but yes, these seven to 10 new primes are going to be huge.
[00:47:03.880 --> 00:47:05.320]   And if you can get access to them,
[00:47:05.320 --> 00:47:06.720]   you're going to do really well.
[00:47:06.720 --> 00:47:08.400]   - Gavin, how do you look at that market?
[00:47:08.400 --> 00:47:09.240]   You agree?
[00:47:09.240 --> 00:47:11.240]   - I agree with everything Joe said.
[00:47:11.240 --> 00:47:13.520]   The only thing I would just add on China,
[00:47:13.520 --> 00:47:17.280]   what we are doing by restricting their access
[00:47:17.280 --> 00:47:21.120]   to advanced compute and advanced networking,
[00:47:21.120 --> 00:47:24.000]   if you have read or watched "The Three-Body Problem,"
[00:47:24.000 --> 00:47:27.240]   America is unfolding a SOFON over China.
[00:47:27.240 --> 00:47:29.960]   - Yeah, that's a great way to say it.
[00:47:29.960 --> 00:47:31.040]   - I have been really impressed
[00:47:31.040 --> 00:47:34.840]   with some of the Chinese models that have come out.
[00:47:34.840 --> 00:47:36.440]   And I think the risk to this strategy
[00:47:36.440 --> 00:47:38.840]   is necessity is the mother of invention.
[00:47:38.840 --> 00:47:40.920]   And despite this handicap,
[00:47:40.920 --> 00:47:43.480]   they're managing to stay just behind
[00:47:43.480 --> 00:47:46.440]   the leading edge of America, which is amazing.
[00:47:46.440 --> 00:47:49.640]   But, you know, NVIDIA's Blackwell chip comes out next year.
[00:47:49.640 --> 00:47:51.040]   You're going to have new chips from AMD,
[00:47:51.040 --> 00:47:52.560]   new ASICs from Broadcom.
[00:47:53.560 --> 00:47:56.280]   And I think at that point,
[00:47:56.280 --> 00:47:59.440]   it is not going to be possible for them to keep up anymore.
[00:47:59.440 --> 00:48:03.360]   - So that's actually positive regulation
[00:48:03.360 --> 00:48:07.520]   and great, in your mind, foreign policy.
[00:48:07.520 --> 00:48:13.600]   - It is very aggressive foreign policy.
[00:48:13.600 --> 00:48:15.440]   - Yeah, clearly.
[00:48:15.440 --> 00:48:18.400]   - You know, that could have lots of unforeseen consequences.
[00:48:18.400 --> 00:48:19.240]   - Yeah, what do you think about
[00:48:19.880 --> 00:48:23.520]   the rare earth trade restrictions coming to us?
[00:48:23.520 --> 00:48:25.720]   And is that going to actually affect the supply?
[00:48:25.720 --> 00:48:28.160]   - We have lots of rare earth here in America.
[00:48:28.160 --> 00:48:30.680]   Like in America, we have everything in America.
[00:48:30.680 --> 00:48:33.000]   Like we, you know, and I think there's a project underway
[00:48:33.000 --> 00:48:34.960]   to restart rare earth production.
[00:48:34.960 --> 00:48:37.120]   If there were ever to be a conflict,
[00:48:37.120 --> 00:48:38.720]   all this stuff would go away.
[00:48:38.720 --> 00:48:41.360]   - It's a cost and it's allowing us to do the refining here.
[00:48:41.360 --> 00:48:42.560]   So refining some of this stuff,
[00:48:42.560 --> 00:48:44.600]   like we desperately need gallium, gallium nitride
[00:48:44.600 --> 00:48:45.840]   for things that I'm doing, right?
[00:48:45.840 --> 00:48:48.120]   With like shooting the microwave radiation.
[00:48:48.120 --> 00:48:50.840]   The problem is refining is really messy.
[00:48:50.840 --> 00:48:52.800]   If you let it happen in the US, it will still be messy,
[00:48:52.800 --> 00:48:53.880]   but it will be cleaner.
[00:48:53.880 --> 00:48:55.160]   But we're not letting it happen.
[00:48:55.160 --> 00:48:56.000]   So there's things like this.
[00:48:56.000 --> 00:48:57.440]   - So we're back to regulation.
[00:48:57.440 --> 00:48:59.160]   And obviously the cost here is different.
[00:48:59.160 --> 00:49:00.160]   We have a different cost structure.
[00:49:00.160 --> 00:49:01.920]   - Joe, you got to go meet 20 senators.
[00:49:01.920 --> 00:49:02.760]   So thank you.
[00:49:02.760 --> 00:49:03.600]   We appreciate it. - Thank you, guys.
[00:49:03.600 --> 00:49:04.440]   This was fun.
[00:49:04.440 --> 00:49:06.400]   - Stay tuned. - Good times.
[00:49:06.400 --> 00:49:09.240]   - J-Cal, do you want to talk about AI with Gavin?
[00:49:09.240 --> 00:49:13.000]   - Yeah, I think that would be like a great next place to go
[00:49:13.000 --> 00:49:16.240]   would be to talk about the supercomputer being built
[00:49:16.240 --> 00:49:19.120]   by a friend of the pod, Elon.
[00:49:19.120 --> 00:49:21.680]   He's now got the world's largest supercomputer
[00:49:21.680 --> 00:49:25.760]   and he's got a 10 exit, according to reports.
[00:49:25.760 --> 00:49:26.600]   - Yeah.
[00:49:26.600 --> 00:49:27.640]   And I would just say this is, I think,
[00:49:27.640 --> 00:49:31.920]   a very important moment for AI,
[00:49:31.920 --> 00:49:35.000]   you know, for this entire AI trade
