
[00:00:00.000 --> 00:00:01.600]   two days ago,
[00:52:03.700 --> 00:52:09.100]   move by G basically doomed their economy to a recession it seems like they're not learning from
[00:52:09.100 --> 00:52:13.600]   our experience these lockdowns didn't work I mean you can't stop the virus it's eventually going to
[00:52:13.600 --> 00:52:19.900]   get out even I saw Biden got the virus this week I mean it's out right it's endemic now everybody's
[00:52:19.900 --> 00:52:23.380]   going to get it is basically what's happening making a bunch of heavy-handed decisions like
[00:52:23.380 --> 00:52:28.660]   this so you have besides lockdowns it was it's also the crackdowns it's the crackdown on the
[00:52:28.660 --> 00:52:33.680]   tech industry yeah the venture funding has plummeted uh and so
[00:52:33.680 --> 00:52:39.500]   people has so LPs are no longer investing in funds there with the exception of Sequoias which seems to
[00:52:39.500 --> 00:52:45.020]   be struggling but is still able to raise some money and then additionally uh founders can't
[00:52:45.020 --> 00:52:48.860]   raise money and founders are questioning when they meet with VCs if they can actually if the
[00:52:48.860 --> 00:52:53.720]   VCs are just meeting with them theatrically uh the story that came out this week in the FT if
[00:52:53.720 --> 00:52:58.220]   they're just meeting with them theatrically because they want to still hold out hope that
[00:52:58.220 --> 00:53:02.600]   they'll be a venture capital industry but there may not be a VC industry in China anymore let me
[00:53:02.600 --> 00:53:03.380]   just give you the
[00:53:03.380 --> 00:53:08.060]   housing stuff and then Freeburg I know you want to chime in on this so there's also mortgage boy
[00:53:08.060 --> 00:53:13.940]   boycotts happening at the same time as this fugazi bank stuff happened the bank stuff seems to be not
[00:53:13.940 --> 00:53:17.840]   the national banks these are local banks that apparently could have been running some kind of
[00:53:17.840 --> 00:53:21.860]   uh grift where people deposited the money it looks a lot like the savings and loan
[00:53:21.860 --> 00:53:27.380]   kind of uh behavior in the 90s in in the US and these are regional banks to be clear this isn't
[00:53:27.380 --> 00:53:32.240]   the national banks and so at the same time the mortgage boycotts are happening in three at 301
[00:53:32.240 --> 00:53:33.200]   unfinished developments
[00:53:33.200 --> 00:53:37.040]   in 91 cities homeowners are accusing developers are failing to deliver the apartments they've
[00:53:37.040 --> 00:53:41.180]   already paid for according to Bloomberg 70 of household wealth in China's tied up in property
[00:53:41.180 --> 00:53:45.440]   much higher than the US this is downstream of the whole Evergrande thing right you got Evergrande
[00:53:45.440 --> 00:53:50.180]   Evergrande basically defaulted and there were a whole bunch of people who prepaid for their homes
[00:53:50.180 --> 00:53:54.080]   and so they're already paying mortgage but Evergrande never finished the homes and now
[00:53:54.080 --> 00:53:57.200]   they're rising up because they're saying why should we pay for a home that was never delivered
[00:53:57.200 --> 00:54:02.720]   right I just want to like take a zoom out because I think it's worth you know we can focus on any one
[00:54:02.720 --> 00:54:08.240]   of these particular things that are happening and try and diagnose them and dissect them but if you
[00:54:08.240 --> 00:54:13.040]   zoom out a little bit I think it paints a more interesting picture over the last 30 years right
[00:54:13.040 --> 00:54:21.020]   the Chinese economy grew from 318 billion to in 1990 to 10 and a half trillion in uh 2020 right
[00:54:21.020 --> 00:54:30.980]   incredible growth GDP per capita you know grew uh kind of in a similar ratio right now from 318
[00:54:30.980 --> 00:54:32.600]   bucks per person to 12
[00:54:32.600 --> 00:54:37.700]   500 in 30 years I mean really unprecedented in the history of humanity China now accounts for 20
[00:54:37.700 --> 00:54:42.980]   percent of global GDP from less than two percent 1990. now if you look at historically what drove
[00:54:42.980 --> 00:54:46.760]   that growth we all talk about manufacturing right manufacturing counts for about a third of the
[00:54:46.760 --> 00:54:55.220]   economy and manufacturing as a sector was growing in China 25 year over year in 2008 and then only
[00:54:55.220 --> 00:55:00.800]   grew six percent in 2022. it's like basically you know kind of reaching an all-time low in recent
[00:55:00.800 --> 00:55:02.540]   years so that's historically been the
[00:55:02.540 --> 00:55:08.480]   driver for growth of this economy and so much of the um you know the the the bargain between the
[00:55:08.480 --> 00:55:13.220]   people and the Chinese Communist Party has been keep giving us a better life keep growing our
[00:55:13.220 --> 00:55:17.720]   economy keep giving us more housing more stuff more food more safety more security we'll support
[00:55:17.720 --> 00:55:23.420]   the CCP and the challenge that the CCP is having is that a lot of that growth the core growth engine
[00:55:23.420 --> 00:55:28.580]   is starting to slow so manufacturing is slowing then real estate was growing and so real estate
[00:55:28.580 --> 00:55:32.360]   accounts for seven percent of the Chinese economy and I've got a good
[00:55:32.360 --> 00:55:41.000]   handout for you guys here in 2005 uh 250 million square meters of real estate was sold in China in
[00:55:41.000 --> 00:55:46.460]   2021 1.5 billion was sold every year it's been incrementing so the amount of real estate that's
[00:55:46.460 --> 00:55:51.320]   being produced and sold was increasing like crazy this year it's collapsed so it's all it's down
[00:55:51.320 --> 00:55:56.960]   like you know forecast to be about 1.25 billion now so the first decline in real estate building
[00:55:56.960 --> 00:56:01.640]   and sales so that part of the driver of the of the economy in China is now collapsing and then the
[00:56:01.640 --> 00:56:05.720]   financial services sector accounts for eight percent of the economy and that's been growing
[00:56:05.720 --> 00:56:10.220]   because it's leveraged off manufacturing and real estate and all the capital that's flown in all of
[00:56:10.220 --> 00:56:15.320]   which is slowing down and stopping you know this 58 trillion dollars of assets in China generating
[00:56:15.320 --> 00:56:20.180]   about 700 billion dollars of annual profits for the financial services industry insurance banking
[00:56:20.180 --> 00:56:25.460]   lending and so on so a lot of the conflict and the things that are starting to fall apart which
[00:56:25.460 --> 00:56:31.040]   may just be the tip of the iceberg is a function of a fundamentally slowing economy and the forecast
[00:56:31.040 --> 00:56:36.020]   and the outlook for an economy that doesn't have the drivers it's had historically and things are
[00:56:36.020 --> 00:56:40.220]   starting to come off the wheels are starting to come off a bit and so you know look the advantage
[00:56:40.220 --> 00:56:45.200]   they have is central planning long-term investments being able to kind of be thoughtful about this but
[00:56:45.200 --> 00:56:51.080]   in order to do that there's certainly going to be a need for the CCP to keep people in line as some
[00:56:51.080 --> 00:56:55.400]   of the long-term bets hopefully play out for them as they would say in order to do that they're going
[00:56:55.400 --> 00:57:00.980]   to have lockdowns and other sorts of mechanisms of regulatory control over the people but really this
[00:57:00.980 --> 00:57:06.500]   could be the beginning of some of the unwinding and real concern about um you know is there a core
[00:57:06.500 --> 00:57:11.840]   economic growth engine in China that can save them and what will it be I think all of this if we look
[00:57:11.840 --> 00:57:17.780]   at what's happening in the economy writ large uh chamath you know the global slowdown plus inflation
[00:57:17.780 --> 00:57:24.020]   is now causing a stress test on every country Sri Lanka's stress test you know uh showed us what's
[00:57:24.020 --> 00:57:28.400]   happening with their farming issues and with corruption and here in China the stress test
[00:57:28.400 --> 00:57:30.920]   I think you would agree is showing what's going on
[00:57:30.920 --> 00:57:38.300]   in terms of you know banking mortgages real estate and obviously this surging middle class
[00:57:38.300 --> 00:57:44.660]   and what their expectations of life are so what's your take on what's happening in China and are they
[00:57:44.660 --> 00:57:51.020]   you know how does this um add up in terms of our rivalry with them as our contemporary
[00:57:51.020 --> 00:58:00.020]   at a very macro level China has one massive massive massive problem which is one of population
[00:58:00.020 --> 00:58:08.360]   it's hard to get an accurate count but it is an aggressively aging population which was the result
[00:58:08.360 --> 00:58:15.440]   of the one giant the one child policy for a very long time China has sort of been on their heels
[00:58:15.440 --> 00:58:21.920]   trying to adapt that policy but really the the last data I saw I tweeted this out it was a little
[00:58:21.920 --> 00:58:26.000]   while ago Nick so maybe hard for you to find in my Twitter feed but it was a projection of China's
[00:58:26.000 --> 00:58:29.420]   population which essentially showed it contracting by almost 50 percent by
[00:58:29.420 --> 00:58:36.680]   like 21 100. so in the in the so it that's a really really bad situation now when you have a
[00:58:36.680 --> 00:58:44.120]   slowing population then the economy has to morph why is that when you have a young population so
[00:58:44.120 --> 00:58:51.020]   for example take what China was 20 years ago when it entered the WTO or what uh India is today when
[00:58:51.020 --> 00:58:56.480]   you have lots of thoughts of young people you can on-ramp them into economically productive
[00:58:56.480 --> 00:58:59.360]   activities like manufacturing the problem
[00:58:59.360 --> 00:59:04.880]   those folks accumulate middle class income and wealth is that they age out of those kinds of
[00:59:04.880 --> 00:59:10.340]   jobs like they did in America and what we seek are services and service level jobs
[00:59:10.340 --> 00:59:16.700]   and you spend more money you spend it in a different way so as populations age your
[00:59:16.700 --> 00:59:23.900]   economy has to turn over unless you have a large Bulwark of young people that is constantly growing
[00:59:23.900 --> 00:59:29.300]   to take up more of the slack the economic slack to pay for these folks
[00:59:29.300 --> 00:59:34.220]   who have different lifestyles more savings and different needs specifically health care
[00:59:34.220 --> 00:59:40.760]   that's China's enormously big problem so when you see them talking about six percent GDP targets and
[00:59:40.760 --> 00:59:47.240]   you think how does a country that big even grow at six percent it's because they're reverse engineering
[00:59:47.240 --> 00:59:53.420]   for what they need to create economic vibrancy in that country and so when you start to look at two
[00:59:53.420 --> 00:59:58.580]   percent which in America you'd say two percent's great we would like high-fiving each other for two
[00:59:58.580 --> 01:00:03.200]   percent uh that's not a sustainable level of growth for what's happening inside that country
[01:00:03.200 --> 01:00:09.740]   it does not create enough of expansion economically to cover all these folks that is a really really
[01:00:09.740 --> 01:00:16.940]   big issue so as that happens I think what we need to do is figure out how to be competitive now this
[01:00:16.940 --> 01:00:22.160]   goes all the way back to our first conversation subsidies don't make us more competitive
[01:00:22.160 --> 01:00:28.520]   things that governments can do to make us more competitive are long-term drawn
[01:00:28.520 --> 01:00:36.500]   out tax incentives that change the earnings capacity of companies why because in the capital
[01:00:36.500 --> 01:00:42.440]   markets reward those businesses Jason you just mentioned it why is the Chinese capital markets
[01:00:42.440 --> 01:00:48.620]   in difficulty nobody knows what the long-term earnings are how do you forecast it it's not
[01:00:48.620 --> 01:00:52.940]   simple anymore it's not a model it's not an interest rate it's not a discounted set of cash
[01:00:52.940 --> 01:00:58.460]   right and so that's how they need to refactor themselves
[01:00:58.460 --> 01:01:03.320]   they need to have a much larger population if you don't have that you have to figure out how to do it
[01:01:03.320 --> 01:01:09.020]   with immigration if you don't have that what China has done is they've tried to go to Southeast Asia
[01:01:09.020 --> 01:01:15.920]   into Africa and they've tried to create that synthetic form of a growing pyramid right
[01:01:15.920 --> 01:01:22.280]   now that can work as long as the balance sheet of the country supports that because ultimately
[01:01:22.280 --> 01:01:27.440]   you're still talking about moving money offshore okay so I think they're in a little bit of a
[01:01:27.440 --> 01:01:28.400]   they're they're in a pretty
[01:01:28.400 --> 01:01:33.200]   difficult spot the most difficult spot is the one they put that she put them in if you get rid of
[01:01:33.200 --> 01:01:38.120]   entrepreneurship if you get rid of high growth companies that create the opportunity on a global
[01:01:38.120 --> 01:01:44.540]   scale and then you you know take DD off the public markets you don't let education companies become
[01:01:44.540 --> 01:01:50.600]   public or you basically get rid of their little co-opting of capitalism and Venture Capital their
[01:01:50.600 --> 01:01:56.300]   whole their whole society is going to become slow growth and slow growth in a country that doesn't
[01:01:56.300 --> 01:01:58.200]   have safety nuts is really dangerous sacks your thoughts
[01:01:58.200 --> 01:02:03.720]   in terms of competition versus America okay let me get to the the competition in a second just a
[01:02:03.720 --> 01:02:10.920]   billion which Ma said the uh the birth rate or the fertility rate in China slipped to just 1.15 in
[01:02:10.920 --> 01:02:18.060]   2021 so last year it takes 2.1 just to maintain your population or replacement level so and this
[01:02:18.060 --> 01:02:23.340]   is lower than even Japan which is also shrinking as a Japan said about 1.3 the US and Australia
[01:02:23.340 --> 01:02:28.140]   are at 1.6 but we get above 2.1 because of immigration and China doesn't have that
[01:02:28.140 --> 01:02:32.700]   so they've got a huge demographic problem to Jamal's point it's going to be something like
[01:02:32.700 --> 01:02:38.580]   well the population is shrinking by 40 with every generation that's what these numbers imply insane
[01:02:38.580 --> 01:02:43.080]   the numbers are it's going to be under 600 million by the year 2100 but I would I don't understand
[01:02:43.080 --> 01:02:49.320]   how it wouldn't even be less than that if it keeps going at this rate so there and the the commentator
[01:02:49.320 --> 01:02:54.540]   Peter uh zihon has or I don't know if that's the right way to pronounce saying Peter zyhan or
[01:02:54.540 --> 01:02:57.960]   something anyway he's pointed out that China is facing a lot of economic growth and I think that's
[01:02:57.960 --> 01:03:03.900]   facing demographic collapse in the next decade or so on top of that like you're saying Jason that
[01:03:03.900 --> 01:03:09.420]   you've got um Xi emphasizing Maoist economics he basically says he thinks that the Chinese economy
[01:03:09.420 --> 01:03:15.780]   again he stresses the need for socialist characteristics and he seems to be bringing
[01:03:15.780 --> 01:03:22.020]   back that sort of communist ideology to their economy and they've basically really cracked down
[01:03:22.020 --> 01:03:26.940]   on entrepreneurship and Venture Capital it's really a cell phone I mean they've moved away from the
[01:03:26.940 --> 01:03:30.540]   policies that have made them so successful economically over the last 40 years and then
[01:03:30.540 --> 01:03:35.340]   on top of that you got this debt crisis and this housing crisis so it really looks like the deck
[01:03:35.340 --> 01:03:40.200]   is stacked against all of them and you're asking what does this mean for us well I think it depends
[01:03:40.200 --> 01:03:43.380]   on whether you look at it economically or geopolitically I think if you look at it
[01:03:43.380 --> 01:03:49.500]   economically you'd say that it's bad for us because our two economies are economically linked
[01:03:49.500 --> 01:03:54.900]   there's a lot of dependency they've evolved together for a long period of time and if China
[01:03:54.900 --> 01:03:56.640]   has a collapse
[01:03:56.640 --> 01:04:02.340]   then that they're so big now that that's going to have I think global repercussions there's going to
[01:04:02.340 --> 01:04:08.280]   be contagion but the truth is if you look at it geopolitically and geopolitics is more of a zero
[01:04:08.280 --> 01:04:13.020]   the balance of power is a zero-sum game economics can be a positive some game but but the balance of
[01:04:13.020 --> 01:04:17.280]   power is it's definitely not a positive some game uh you'd have to say it's good for us because the
[01:04:17.280 --> 01:04:22.920]   reason why China has become such a threat is because of its growing economy over the last
[01:04:22.920 --> 01:04:23.040]   40 years yep and look I mean what they've done and what they've been doing over the last 40 years is
[01:04:23.040 --> 01:04:23.040]   growing economy over the last 40 years yep and look I mean what they've done and what they've been doing over the last 40 years is
[01:04:23.040 --> 01:04:23.040]   growing economy over the last 40 years yep and look I mean what they've done and what they've been doing over the last 40 years is
[01:04:23.040 --> 01:04:27.120]   years yep and look i mean what they've done and what they've been doing over the last decade or
[01:04:27.120 --> 01:04:32.800]   so is translating their economic might into military might and that has given them the
[01:04:32.800 --> 01:04:39.280]   capability to now threaten their neighbors to become more belligerent to basically rattle
[01:04:39.280 --> 01:04:45.520]   the saber against taiwan and if their growth if their impressive economic growth continues
[01:04:45.520 --> 01:04:50.240]   for the next couple of decades as it has until now there's no question that they will
[01:04:50.800 --> 01:04:57.440]   they will basically try to assert their hegemony over east asia and uh taiwan will be a huge flash
[01:04:57.440 --> 01:05:02.480]   point but there's also flash points in the east china sea with japan over there but they're going
[01:05:02.480 --> 01:05:06.080]   to need a bankroll to do that so if they don't if their economy is not growing they don't have
[01:05:06.080 --> 01:05:09.760]   the bankroll to do it they're going to have to look inward and say hey we got to fix these
[01:05:09.760 --> 01:05:13.600]   domestic problems we got to get people stop protesting these streets we need to this middle
[01:05:13.600 --> 01:05:19.040]   class is demanding of jobs the great news for what's happened in china and i think this is why
[01:05:19.040 --> 01:05:20.560]   the people there are very happy about this is that they're going to have to look inward and say hey we
[01:05:20.560 --> 01:05:21.120]   got to get people stop protesting these streets we need to this middle class is demanding of jobs
[01:05:21.120 --> 01:05:24.800]   the number of people living in poverty has plummeted you know when they started tracking
[01:05:24.800 --> 01:05:30.800]   this data in the 80s you know high 90 of people were living in extreme poverty or poverty 99
[01:05:30.800 --> 01:05:35.920]   of people were in poverty on the on the global definition of it and now you know it's just
[01:05:35.920 --> 01:05:41.200]   plummeted to you know a couple of hundred million people so um a couple of charts for you here but
[01:05:41.200 --> 01:05:45.280]   just and the data is obviously it's very hard to understand what's going in china because
[01:05:45.280 --> 01:05:50.320]   a lot of it is opaque but just the number of people on a percentage basis living in poverty has gone
[01:05:50.320 --> 01:05:54.480]   and now the number of people who are in the middle class has surged that creates another dynamic
[01:05:54.480 --> 01:05:58.480]   those people want to have a great life they want better jobs they don't want to work in factories
[01:05:58.480 --> 01:06:03.680]   they want to have a a more information-based economy and a better job than 60 hours a week
[01:06:03.680 --> 01:06:08.000]   in a factory that's why they're moving their factories to africa and other places i mean i
[01:06:08.000 --> 01:06:14.320]   i don't know if that's absolutely true i i think that china's manufacturing sector is um is aiming
[01:06:14.320 --> 01:06:20.080]   to evolve so you know china has about three million factories or manufacturing facilities
[01:06:20.080 --> 01:06:27.360]   throughout the country uh employing about 112 million people the u.s has about 300 000 factories
[01:06:27.360 --> 01:06:36.080]   employing about 12 and a half million people the output of our factories is um about 70 percent of
[01:06:36.080 --> 01:06:42.960]   the output of um of china's factories uh in in aggregate sorry the total production output of all
[01:06:42.960 --> 01:06:49.200]   the factories so we have very um high value outputs coming out of our factories and high leverage
[01:06:49.840 --> 01:06:55.920]   and so china is observing and obviously recognizes that there's an opportunity probably to evolve
[01:06:55.920 --> 01:07:02.400]   their manufacturing capacity to be higher leverage higher value output and so there is going to be
[01:07:02.400 --> 01:07:07.680]   you know from the long range perspective planning and investment in technology that allows those
[01:07:07.680 --> 01:07:13.200]   factories to become much more sophisticated and create much more higher value products moving up
[01:07:13.200 --> 01:07:18.240]   from what is effectively just cheap labor putting things together in an assembly plant to being
[01:07:18.240 --> 01:07:19.600]   things like additive manufacturing
[01:07:19.600 --> 01:07:25.680]   manufacturing 3d printing automated manufacturing biomanufacturing etc and i think this is
[01:07:25.680 --> 01:07:32.640]   particularly going to be realized because china announced that they're building 400 nuclear power
[01:07:32.640 --> 01:07:39.280]   plants that drops the cost of electricity to under five cents a kilowatt hour in the u.s
[01:07:39.280 --> 01:07:44.560]   manufacturing um electricity typically cost around 11 cents per kilowatt hour 12 cents per
[01:07:44.560 --> 01:07:49.360]   kilowatt hour in that range so if factories become much more automated they start to
[01:07:49.360 --> 01:07:53.440]   become a function of the price of electricity in terms of what they can output china is going to
[01:07:53.440 --> 01:07:58.320]   have a huge advantage as these nuclear power plants come online over the next couple of decades and
[01:07:58.320 --> 01:08:03.120]   these facilities get upgraded so there is a plan right remember this is you have a plan and the
[01:08:03.120 --> 01:08:09.360]   reason they have that plan there is there is a question of do they get there fast enough to drive
[01:08:09.360 --> 01:08:13.760]   economic growth that actually supports all these other industries like real estate and finance that
[01:08:13.760 --> 01:08:18.400]   they become critically dependent on because those industries only work if there's a core economic
[01:08:18.400 --> 01:08:19.120]   driver core economic driver or a core economic driver or a core economic driver or a core economic
[01:08:19.120 --> 01:08:23.520]   economic engine that's working here so this energy infrastructure this new manufacturing
[01:08:23.520 --> 01:08:29.040]   infrastructure these are things that by the way they can do um really effectively because they're
[01:08:29.040 --> 01:08:34.160]   not working on four-year and six-year political cycles they can take a five ten and thirty-year
[01:08:34.160 --> 01:08:39.120]   outlook and make a make a plan and invest against it what they did from night so i wouldn't count
[01:08:39.120 --> 01:08:42.880]   them out but there's certainly a lot of challenges they're facing right now it's a big question mark
[01:08:42.880 --> 01:08:48.880]   right now what's going to happen well and it to your point factories in china are you know
[01:08:48.880 --> 01:08:53.840]   factory workers getting paid over six bucks an hour now in vietnam three in india even less and
[01:08:53.840 --> 01:08:57.360]   that's why you're seeing a lot of folks uh i don't know if you're seeing it in your portfolios but
[01:08:57.360 --> 01:09:03.200]   we've seen a lot of folks looking at india vietnam and moving factories there and obviously japan
[01:09:03.200 --> 01:09:07.520]   has been uh incentivizing china's not going to just lose their manufacturing
[01:09:07.520 --> 01:09:10.480]   edge they're not just going to say hey we give up let everyone go to vietnam they're
[01:09:10.480 --> 01:09:13.920]   going to try and upgrade the capability of those factories and say hey instead of just
[01:09:13.920 --> 01:09:18.640]   putting together you know parts for with six dollar an hour of human labor let's start to do
[01:09:18.640 --> 01:09:23.360]   the more sophisticated so then free the next card that turns is well what happens to those factory
[01:09:23.360 --> 01:09:26.640]   workers if they've been automated out what do you do with hundreds of millions of people working in
[01:09:26.640 --> 01:09:31.200]   factories who now have been turned into robots and then if they're going to be in the answer
[01:09:31.200 --> 01:09:35.040]   is information economy if it's going to be an information economy you need venture capital and
[01:09:35.040 --> 01:09:40.480]   you need new companies to create those jobs and they just killed that so i don't know what strategy
[01:09:40.480 --> 01:09:45.120]   she is uh pursuing here but it seems like a bad one we could talk about this one at length but um
[01:09:45.120 --> 01:09:48.400]   we were going to bring this up but you know generally speaking
[01:09:48.400 --> 01:09:52.480]   technology drives productivity gains but it's it's deflationary
[01:09:52.480 --> 01:09:59.520]   explain what that means on in like a practical sense maybe uh you know that the technology so
[01:09:59.520 --> 01:10:04.080]   let's say let's say that you have to pay a bunch of people to make a t-shirt and then a machine is
[01:10:04.080 --> 01:10:08.720]   built that makes the t-shirt the cost of the t-shirt goes down because one machine can just
[01:10:08.720 --> 01:10:13.200]   print out 100 t-shirts an hour whereas it would take five people you know 10 hours to make those
[01:10:13.200 --> 01:10:17.600]   hundred t-shirts or whatever it is right so a technology of uh kind of emerges
[01:10:18.160 --> 01:10:22.960]   and those people are now theoretically out of jobs but what ends up happening is those people
[01:10:22.960 --> 01:10:28.720]   transition into new jobs that didn't exist before and we end up seeing higher order work take place
[01:10:28.720 --> 01:10:34.640]   think about the the world 200 years ago do you think we would have had any concept of people
[01:10:34.640 --> 01:10:40.960]   being uber drivers or people um uh you know creating crafts and selling them on etsy um
[01:10:40.960 --> 01:10:47.520]   people being yoga teachers or yoga or yeah yoga teachers or psychotherapists
[01:10:47.520 --> 01:10:54.240]   only okay well there you go only fans or dog walkers or all of these um these service businesses
[01:10:54.240 --> 01:11:01.280]   or you know industries that simply did not exist before and so the labor that those that that
[01:11:01.280 --> 01:11:05.680]   percentage of the population was involved in historically has gone away because it's been
[01:11:05.680 --> 01:11:11.040]   automated as that automation has happened it's allowed higher order services jobs to emerge and
[01:11:11.040 --> 01:11:16.240]   that will be the progression of humanity forever i will tell you guys um i was going to mention this
[01:11:16.240 --> 01:11:21.760]   have you guys played with dolly too yeah the other day um yeah sure i got the the login i was uh my
[01:11:21.760 --> 01:11:25.680]   brother-in-law was visiting we were playing with dolly too and making funny kind of explain what it
[01:11:25.680 --> 01:11:31.840]   is yeah so so dolly 2 is developed by open ai um we all know sam altman he's been leading that
[01:11:31.840 --> 01:11:36.720]   organization to great effect over the last couple of years and um and what they're doing is they've
[01:11:36.720 --> 01:11:44.240]   basically scanned the web for images tag them and then applied you know uh machine learning uh to um
[01:11:44.240 --> 01:11:46.000]   you know to basically allow um you know to basically allow um you know to basically allow um
[01:11:46.000 --> 01:11:48.240]   you know to basically allow um you know to basically allow um natural language creation
[01:11:48.240 --> 01:11:53.680]   of images from scratch so the ai can generate an image and you can go to you know uh the internet
[01:11:53.680 --> 01:11:58.960]   and look at a bunch of these but the imagery is incredible i mean the the creative output what
[01:11:58.960 --> 01:12:04.640]   feels like creative output from the system where you just say hey you know make me an image of four
[01:12:04.640 --> 01:12:10.880]   guys doing a podcast on zoom in the style of van gogh and it creates this image that is unique has
[01:12:10.880 --> 01:12:15.520]   never been created or seen on earth before and is a function of the um the learning that's been done
[01:12:15.760 --> 01:12:20.000]   in the world of video game development so i think the the idea of creating these neural networks to
[01:12:20.000 --> 01:12:25.280]   develop this ai that can that can create novel stuff is really amazing and i started to think
[01:12:25.280 --> 01:12:30.240]   about like what are the implications for this over time think about you know the original movie ben
[01:12:30.240 --> 01:12:34.800]   her in today's dollars would have cost a billion dollars to make they had thousands of people i
[01:12:34.800 --> 01:12:39.120]   think tens of thousands of people on that set it took years to make they built giant sets they could
[01:12:39.120 --> 01:12:45.520]   only you know make one film it was an incredible feat and an effort that's what movie making is you
[01:12:45.520 --> 01:12:49.520]   know it's a great way to do it but it's also a great way to do it in a way that's really
[01:12:49.520 --> 01:12:52.960]   creative and it's a great way to do it in a way that's really creative and it's a great way to
[01:12:52.960 --> 01:12:55.920]   do it in a way that's really creative and it's a great way to do it in a way that's really creative
[01:12:55.920 --> 01:12:57.680]   and it's a great way to do it in a way that's really creative and it's a great way to do it in a
[01:12:57.680 --> 01:13:00.160]   way that's really creative and it's a great way to do it in a way that's really creative and it's
[01:13:00.160 --> 01:13:02.560]   a great way to do it in a way that's really creative and it's a great way to do it in a way
[01:13:02.560 --> 01:13:05.040]   that's really creative and it's a great way to do it in a way that's really creative and it's a great
[01:13:05.040 --> 01:13:07.440]   way to do it in a way that's really creative and it's a great way to do it in a way that's really
[01:13:07.440 --> 01:13:11.280]   the director the director is no longer doing this thing where they have to get it just right
[01:13:11.280 --> 01:13:15.360]   make the perfect 90 minutes and then line up all the money and all the people to do that work on
[01:13:15.360 --> 01:13:19.200]   that plan on that program they can be much more iterative and they can be much more creative on
[01:13:19.200 --> 01:13:23.440]   the fly they can create a two-hour movie by speaking to the a.i and then edit the movie
[01:13:23.440 --> 01:13:28.480]   by speaking to the ai change the actors change the color change the voices change the music
[01:13:28.480 --> 01:13:34.000]   just speaking to ai to generate creative output and people will consume that output and i think
[01:13:34.000 --> 01:13:38.400]   it's amazing to think about what creators will end up doing 10 years from now as ai and these
[01:13:38.400 --> 01:13:43.520]   tools proliferate and you see version 12 of this which is version 2 and what version 12 might
[01:13:43.520 --> 01:13:49.360]   enable and so the role um the number of people that can do that job goes from steven spielberg
[01:13:49.360 --> 01:13:53.680]   and bob zemeckis and a few other people to suddenly thousands or tens of thousands of
[01:13:53.680 --> 01:13:59.200]   people around the world making incredible movies here's dolly's image uh let's pull it up of four
[01:13:59.200 --> 01:14:03.840]   guys doing a podcast so we have a ways to go but uh yeah that is four guys doing a podcast
[01:14:03.840 --> 01:14:08.720]   that's awesome yeah that's awesome i mean and to your point like you know this is gonna we're on
[01:14:08.720 --> 01:14:11.840]   version two of this this is gonna so a lot of people are like oh is this gonna wipe out graphic
[01:14:11.840 --> 01:14:16.160]   designers is it gonna wipe out the creative industry but the reality is the roles that
[01:14:16.160 --> 01:14:20.400]   those people are in today will absolutely be gone but they will emerge and evolve into new
[01:14:20.400 --> 01:14:25.040]   roles that we never even thought imaginable that will really transform that industry and society
[01:14:25.040 --> 01:14:28.640]   and this is going to be true across everywhere that ai touches yeah and i think you'll see this
[01:14:28.640 --> 01:14:33.680]   in china as china steps up their technology in manufacturing you'll see those you know new
[01:14:33.680 --> 01:14:38.080]   new markets evolve sorry jamar go ahead designers will have less leverage to ask for all these
[01:14:38.080 --> 01:14:44.480]   stupid snacks and offices of startups well i mean you need only look at the designers are the worst
[01:14:44.480 --> 01:14:50.240]   my god oh they're the best i love them but anyway um in the 1940s i mean there were literally
[01:14:50.240 --> 01:14:56.080]   hundreds of thousands of telephone operators it was totally and totally they're all gone now and
[01:14:56.080 --> 01:15:00.560]   not only that have you ever met a designer that didn't take themselves incredibly seriously that
[01:15:00.560 --> 01:15:03.440]   didn't have like you know tea that they would steal
[01:15:03.440 --> 01:15:08.560]   only the bad ones you know the good ones they would seriously they'd have like steel straws
[01:15:08.560 --> 01:15:11.920]   video game designers are a little different i'm sorry what did you say about the steel straws
[01:15:11.920 --> 01:15:19.280]   that was it yeah oh there it is i have by the way on video eliminating waste in my life i mentioned
[01:15:19.280 --> 01:15:25.520]   to you guys last year this video game i played over christmas by anna perna pictures and the guy
[01:15:25.520 --> 01:15:31.760]   that um runs the studio sent me a dm he loves the pod oh that's nice and they just launched a new
[01:15:31.760 --> 01:15:31.840]   video game which i uh started playing and i'm like oh that's a good idea i'm gonna play that video game
[01:15:31.840 --> 01:15:31.840]   video game which i uh started playing and i'm like oh that's a good idea i'm gonna play that video game
[01:15:31.840 --> 01:15:32.320]   video game which i uh started playing and i'm like oh that's a good idea i'm gonna play that video game
[01:15:32.320 --> 01:15:32.320]   video game which i uh started playing and i'm like oh that's a good idea i'm gonna play that video game
[01:15:32.320 --> 01:15:37.440]   which i uh started playing a couple nights ago called stray and you literally at you you play
[01:15:37.440 --> 01:15:44.000]   the game as a cat lost in some crazy world you're literally a cat that's awesome the imagery on this
[01:15:44.000 --> 01:15:51.040]   thing is unbelievable actually my favorite game right now sax is i play a cat and i'm a stray cat
[01:15:51.040 --> 01:15:56.800]   and it's really amazing the the ai i you know it's really hard you should go play the game yeah i'm
