
[00:00:00.000 --> 00:00:18.720]   Antonio,
[00:47:07.560 --> 00:47:13.740]   uh my name is Chris my friend and I started all in talk nine months ago uh the fan page for the
[00:47:13.740 --> 00:47:19.380]   thank you cheers to you yeah it's uh it's really uh obviously I was I was at the outdoor mall near
[00:47:19.380 --> 00:47:23.280]   my house and my dog attacked another dog and the guy was like it's okay I saw you on TikTok
[00:47:23.280 --> 00:47:30.840]   so that was because of you but that wasn't your channel that was for his kin watch channel it
[00:47:30.840 --> 00:47:37.440]   wasn't your channel that was so my question is in the 22 2022 predictions uh episode Chamath you talk
[00:47:37.440 --> 00:47:44.520]   about uh all-in media idea and starting an all-in media channel maybe and I wonder if you guys have
[00:47:44.520 --> 00:47:49.380]   talked about that anymore your your goals for the future on that because I'm pretty sure everyone
[00:47:49.380 --> 00:47:55.740]   would agree here that if you did start one it would do a whole of a lot better than CNN plus so
[00:47:55.740 --> 00:48:02.940]   well that that may not be a very high bar yeah it's a very low bar uh I think we actually we
[00:48:02.940 --> 00:48:07.320]   actually did get together the four of us we sat in freeberg's office what a show
[00:48:07.320 --> 00:48:13.680]   people started yelling two people walked out the sacks sacks just started to do this at the table
[00:48:13.680 --> 00:48:19.260]   yeah I'm definitely a good driver my dad that's driving the driveway it wasn't a productive
[00:48:19.260 --> 00:48:24.900]   conversation it was completely unproductive it was completely that was our first and only meeting
[00:48:24.900 --> 00:48:31.860]   but no but we did take one key step which is that freeberg said I'm gonna get my team to draft the
[00:48:31.860 --> 00:48:37.200]   LLC agreement for the four of us which we refused to sign and but now no one signed it but it's in
[00:48:37.200 --> 00:48:42.420]   our trust free but it's in our inbox so we're one step closer to starting it but joking aside I
[00:48:42.420 --> 00:48:49.620]   still think that uh it'll become inevitable and I think the reason is the two people the robots
[00:48:49.620 --> 00:48:57.540]   non-humans that were uh uncomfortable with human interaction David's David's work uh
[00:48:57.540 --> 00:49:05.340]   once once we do the the recap of this I think it'll be they'll I think these two are probably
[00:49:05.340 --> 00:49:06.060]   the most shocked
[00:49:06.060 --> 00:49:11.880]   at that no I'll tell you by the way my observation I used to go to Ted I went to Ted from 2008 till
[00:49:11.880 --> 00:49:16.260]   2019. I stopped going to Ted because I thought the content went to and it basically got
[00:49:16.260 --> 00:49:21.060]   overtaken with like social justice talks and like you started like tech and interesting ideas about
[00:49:21.060 --> 00:49:24.840]   where the world's headed and like I listened to our speakers this week the last few days and I'm
[00:49:24.840 --> 00:49:28.620]   like man like really fantastic content I'm like this could be the new Ted so I got really
[00:49:28.620 --> 00:49:31.740]   invigorated by that like I really thought I felt like that was really messy
[00:49:35.940 --> 00:49:39.780]   and I think and by the way I think I think it's conversations people don't really seem to want
[00:49:39.780 --> 00:49:44.640]   to have right like and that and those are well make them really and let's just say you are not
[00:49:44.640 --> 00:49:50.880]   the earliest believer in this was going to get pulled off to I cannot tell you how many times
[00:49:50.880 --> 00:49:55.500]   I've considered quitting the pod and not even showing up for this event and I give Jason props
[00:49:55.500 --> 00:50:05.340]   publicly for doing a great job pulling this thing off so go go hey guys my name is Sarah and I really
[00:50:05.340 --> 00:50:10.020]   love all of you you got me through a very tough challenging time when I started listening to you
[00:50:10.020 --> 00:50:18.060]   I came here over a 16 hour flight from Abu Dhabi so thank you wow that's a long flight we love you
[00:50:18.060 --> 00:50:26.460]   we love you I have a comment and a question the comment um and maybe David um I have a lot of
[00:50:26.460 --> 00:50:34.500]   relatives in Sweden and um when the Ukraine war started this is uh very amiable innovative beautiful people
[00:50:35.220 --> 00:50:43.500]   um haven't had a war over 150 years and they were putting gas in their car and supplying cans of
[00:50:43.500 --> 00:50:49.440]   goods and got really really nervous about what's happening and we're watching closely to see what
[00:50:49.440 --> 00:50:56.100]   would be the next step I think if the U.S did not step in um so there's a lot of reality out there
[00:50:56.100 --> 00:51:02.640]   um for the U.S to stay I don't know like the Savior of the world in a certain way or another
[00:51:02.640 --> 00:51:05.100]   um Finnish people felt the same way
[00:51:05.100 --> 00:51:13.680]   um so this is a real big reality out in the Western European world not just Eastern Europe
[00:51:13.680 --> 00:51:21.480]   so um that's on my comment so thank you uh for the question and this comes from my husband
[00:51:21.480 --> 00:51:27.180]   uh if you're sitting on excess liquidity right now and want to invest for a long time
[00:51:34.980 --> 00:51:44.280]   was that a transition from World War III to investment advice stock tips stock tips in the
[00:51:44.280 --> 00:51:50.100]   market we want to say that is dynamic range right there yeah well done well done you want you've gone
[00:51:50.100 --> 00:51:57.360]   from two poles you know the ups and downs of my life so yes it is like that why don't we just take
[00:51:57.360 --> 00:52:03.060]   the first part because I think it'd be good so so on Ukraine you know I thought it was important to
[00:52:03.060 --> 00:52:07.800]   have this debate today where we got both sides of the issue and we got two people who are very
[00:52:07.800 --> 00:52:15.660]   passionate on both sides and um I tend to agree more with Glenn on it but um but that doesn't
[00:52:15.660 --> 00:52:21.060]   mean I I don't want to help Ukraine at all I just think we have to keep a close eye on preventing
[00:52:21.060 --> 00:52:26.580]   this thing from escalating into World War III because the Russians have six thousand nuclear
[00:52:26.580 --> 00:52:32.940]   weapons and their military doctrine says they can use them if they feel that they're existentially
[00:52:32.940 --> 00:52:41.040]   threatened and so you know if our objective here is to help the Ukrainians expel the Russians from
[00:52:41.040 --> 00:52:48.780]   an invasion that's one thing but if our objective if we have mission creep into destabilizing the
[00:52:48.780 --> 00:52:53.040]   Russian regime into basically trying to take back Crimea which they see as theirs
[00:52:53.040 --> 00:52:58.140]   um if our we're trying to weaken them to the point where they're no longer a great power
[00:52:58.140 --> 00:53:02.820]   we're really playing with fire there so we have to be really careful yeah about our
[00:53:02.820 --> 00:53:07.560]   objectives there and make sure that we don't let this thing spiral out of control Antonio what are
[00:53:07.560 --> 00:53:13.080]   you what do you have thoughts on Ukraine and are we being too dovish or hawkish or doing it just right
[00:53:13.080 --> 00:53:19.920]   so I think we are there's a lot more going on here than maybe to the eye and this question was about
[00:53:19.920 --> 00:53:26.040]   Sweden Finland and here's what I would say because I want to focus on that that if uh our our friends
[00:53:26.040 --> 00:53:31.920]   in particularly Northwestern Europe um should actually be arming themselves and if they arm
[00:53:31.920 --> 00:53:32.700]   themselves we won't have a problem with that because we're not going to be able to do anything
[00:53:32.700 --> 00:53:37.440]   we're going to have this problem that's the reality of it the reason Ukraine yes that's the reality
[00:53:37.440 --> 00:53:44.160]   obviously the time the time for sitting on the sidelines in Central Europe is over if you care
[00:53:44.160 --> 00:53:48.300]   about your country care about your children care about your families then you should arm yourselves
[00:53:48.300 --> 00:53:52.620]   period full stop an American we are happy to sell you weapons no problem with it without NATO I
[00:53:52.620 --> 00:53:57.720]   think that's true the reason Ukrainians are able to uh defend themselves is because they are they
[00:53:57.720 --> 00:54:01.620]   have actually been buying weapons and they bought they built their own weapons with the Turks that
[00:54:01.620 --> 00:54:05.400]   the the drones that are being used to destroy the Russian supply lines are not coming from America
[00:54:05.400 --> 00:54:09.900]   coming from a joint venture with the Turks this is the reality so should we be drawn into a war
[00:54:09.900 --> 00:54:13.320]   into Europe no I think it could start World War III should we help these folks defend themselves
[00:54:13.320 --> 00:54:18.060]   yes I should and in your particular part of the world yeah for sure start buying some weapons one
[00:54:18.060 --> 00:54:24.660]   question over here yeah tough to follow but my name is Ioana favorite bestie I think Friedberg I
[00:54:24.660 --> 00:54:28.800]   think you do a good job of being heard and hearing others equally so I think that's an important skill
[00:54:28.800 --> 00:54:31.020]   I'm trying to work on it myself Friedberg
[00:54:31.020 --> 00:54:39.720]   in terms of my question it's a little more qualitative but some of us were having an
[00:54:39.720 --> 00:54:44.400]   interesting discussion about first impressions last night and I'm curious to think one in terms
[00:54:44.400 --> 00:54:50.520]   of your own first impressions how has your the way that you introduce yourself to others changed
[00:54:50.520 --> 00:54:55.020]   as you've grown and what have you learned about that and on the other end what are some of the
[00:54:55.020 --> 00:54:58.860]   most notable first impressions others have made on you and why have those stood out to you
[00:55:00.120 --> 00:55:01.380]   it's an interesting question
[00:55:01.380 --> 00:55:11.100]   well seeing as only two of us have emotions maybe we can yeah we're gonna chop it out sure
[00:55:11.100 --> 00:55:18.300]   I'm gonna go to the bathroom you won't find any emotions there
[00:55:18.300 --> 00:55:26.820]   turn the mic off please the quinoa oh my God oh my Lord well that Baba ganush goes right through you
[00:55:26.820 --> 00:55:28.140]   continue
[00:55:28.140 --> 00:55:30.060]   Baba gonna
[00:55:30.060 --> 00:55:38.940]   I think that when I was younger um I was more insecure so I had to wear what few labels I had
[00:55:38.940 --> 00:55:45.120]   on my sleeve and use them as a weapon before others could use their labels on me I honestly
[00:55:45.120 --> 00:55:50.820]   felt that way you know and in Silicon Valley at the time you know it really there is a very
[00:55:50.820 --> 00:55:56.760]   monocultural aspect of you know folks from a few schools you know folks having worked at a few
[00:55:56.760 --> 00:56:02.640]   companies um and I had neither you know I worked I went to Waterloo which is in Canada and I worked
[00:56:02.640 --> 00:56:08.520]   at AOL so I didn't go to Stanford and I didn't work at Google um or Yahoo and there was a there's
[00:56:08.520 --> 00:56:15.300]   a great lineage and of of where you know the really credentialed credible folks came from
[00:56:15.300 --> 00:56:20.520]   and so you do what any insecure person does you kind of throw what few things you have out there
[00:56:20.520 --> 00:56:26.700]   very quickly yeah you know trying to one up the person in front of you yeah and that's calmed down
[00:56:26.700 --> 00:56:31.320]   a lot so that's probably the biggest thing that's changed it has and I think it's a I have a similar
[00:56:31.320 --> 00:56:36.540]   observation I when I was taking that R train into Manhattan I used to say to myself Jason
[00:56:36.540 --> 00:56:43.080]   calacanis editor-in-chief Jason calacanis millionaire and I was like literally had a
[00:56:43.080 --> 00:56:47.160]   16-page photocopy magazine called Silicon High reporter and I was trying to convince myself
[00:56:47.160 --> 00:56:53.160]   that someday I would be somebody and I think that narrative was important for me and people when I
[00:56:53.160 --> 00:56:56.640]   would give them the 16-page photocopy I'd say here's my magazine they'd say there's a photocopy
[00:56:56.640 --> 00:57:01.620]   I'd say no it's a magazine it's got a picture on the cover because for me that was that why it was
[00:57:01.620 --> 00:57:08.340]   a magazine and it eventually became a very large magazine in fact of 300 pages and today thank you
[00:57:08.340 --> 00:57:13.380]   um so I think there is something about manifesting stuff and just you know believing that you're
[00:57:13.380 --> 00:57:19.980]   going to get there but today I I define myself by um the things I love to do so when people do ask
[00:57:19.980 --> 00:57:25.620]   me now hey what do you do I say I'm a writer and I have a podcast and I angel invest and I don't say
[00:57:25.620 --> 00:57:30.360]   it's the number one podcast or I'm one of the top Angel investor all the time I just I just think
[00:57:30.360 --> 00:57:36.720]   about what I don't say that and I don't say you know like it's the you know the book is in 11
[00:57:36.720 --> 00:57:44.640]   languages or whatever I got a million dollar Advance I just there's no ego about it I just say
[00:57:44.640 --> 00:57:54.120]   writer podcaster Angel okay how did it go in there okay David you okay what sort of advance are you
[00:57:54.120 --> 00:57:55.560]   getting a million dollars
[00:57:55.560 --> 00:58:01.260]   dollars he said a million dollar Advance I mean the book's in 12 languages now thank you I'll sign
[00:58:01.260 --> 00:58:06.480]   it if you have one I'll sign it next question sometimes I think Jason's just pimping out all
[00:58:06.480 --> 00:58:14.880]   of us to fuel his media career yeah you think sometimes hey David all honesty how is the deal
[00:58:14.880 --> 00:58:22.140]   flow gone since you got this podcast I think it's down 50 percent that was the intent that was the
[00:58:22.140 --> 00:58:25.500]   intent of more deal flow coming this way definitely definitely definitely definitely
[00:58:25.500 --> 00:58:32.400]   100 that's since you went on Tucker go hi today the crypto world is focused on decentralization
[00:58:32.400 --> 00:58:37.560]   speculation and stores of value who here is excited about micro payments and whoever is
[00:58:37.560 --> 00:58:42.960]   most excited which Industries do you think will be most impacted by the newfound ability to send
[00:58:42.960 --> 00:58:49.080]   payments in as little as 100th of a penny go ahead oh favorite bestie they want to take it
[00:58:49.080 --> 00:58:54.960]   yeah good sex um so you know this question of micro payments has come up all the way since you
[00:58:54.960 --> 00:58:59.760]   were back to when I was working on PayPal and one of the problems with micro payments is as the name
[00:58:59.760 --> 00:59:05.640]   suggests the amounts are very very small so you have to do a lot of them to create enough volume
[00:59:05.640 --> 00:59:11.460]   for them to be meaningful and so there's always sort of this market size problem now for crypto
[00:59:11.460 --> 00:59:17.760]   there may be more of an opportunity there because um the way that the old credit card Rails Network
[00:59:17.760 --> 00:59:23.040]   works is there's like a 25 cent charge per transaction and so like a PayPal it just didn't
[00:59:23.040 --> 00:59:24.900]   make sense to facilitate micro payments and so I think that's a really good question and I think
[00:59:24.900 --> 00:59:28.020]   that's a really good question and I think that's a really good question and I think that's a really good question because the cost of that transaction always
[00:59:28.020 --> 00:59:34.560]   exceeded the fee that we could get so you're right that or I think what you're suggesting
[00:59:34.560 --> 00:59:40.080]   with your question is that there is sort of a crypto opportunity to do this in a different way
[00:59:40.080 --> 00:59:45.540]   because you can basically do a costless instantaneous transfer using a blockchain
[00:59:45.540 --> 00:59:49.560]   based currency so I'm sure someone's going to do something interesting with that and then the
[00:59:49.560 --> 00:59:54.600]   question is just how like what does that aggregate into is it is it going to be big enough to be by
[00:59:54.600 --> 00:59:59.100]   the way there's a there's an interim step which is also pretty obvious at least to me which is this
[00:59:59.100 --> 01:00:05.520]   idea that you know for example like if stripe actually took the time to embrace one of these
[01:00:05.520 --> 01:00:09.780]   stable coins there's no reason why stripe needs to actually run on interchange as well because
[01:00:09.780 --> 01:00:15.180]   like you can just basically swap that dollar in a ledger into USDC let's just pick that as an
[01:00:15.180 --> 01:00:19.500]   example not tether not to tilt you um running on those rails for free and then you can just swap that dollar in a ledger into USDC let's just pick that as an example not tether not to tilt you running on those rails for free and that's the way it works
[01:00:19.500 --> 01:00:23.820]   and then basically transfer it back and it's it's not it's not obvious why people you need the gas
[01:00:23.820 --> 01:00:29.460]   cost to come down so you know like you're running a transaction on ethereum or certainly Bitcoin
[01:00:29.460 --> 01:00:35.340]   other chains yeah yeah you need you need like a chain like a salon or something like something
[01:00:35.340 --> 01:00:43.080]   that's like super cheap and the the cognitive load of the transaction just the person deciding do they
[01:00:43.080 --> 01:00:48.060]   want to pay a tenth of a penny a penny is sometimes greater than the actual value of the money which
[01:00:48.060 --> 01:00:49.440]   then creates
[01:00:49.440 --> 01:00:54.480]   um almost like friction to them wanting to read the article let's take another question
[01:00:54.480 --> 01:01:01.260]   hi my name is Kate and my favorite bestie right now is Friedberg who often plays devil's advocate
[01:01:01.260 --> 01:01:03.780]   and so forces a stepwise conversation
[01:01:03.780 --> 01:01:11.580]   how many people did you pay off go ahead
[01:01:11.580 --> 01:01:18.420]   so that we all admire your successes but we've also been hearing from Mar for instance that we
[01:01:18.420 --> 01:01:19.380]   need to be comfortable with
[01:01:19.380 --> 01:01:24.960]   failure and we need to become resilient so when you look back on your careers thus far what have
[01:01:24.960 --> 01:01:29.100]   been the toughest moments the moments when you've made a mistake that have taught you a lot
[01:01:29.100 --> 01:01:37.380]   I mean I had two huge and Antonio must have some too yeah you want mistakes my mistakes that you'll
[01:01:37.380 --> 01:01:46.860]   learn the most from man um my biggest mistakes in life have been about people and I have uh over the
[01:01:46.860 --> 01:01:53.760]   years um made errors in in judging people and how honest they were and how good they were and as I
[01:01:53.760 --> 01:01:59.280]   look back on that it's because I have a weakness for ideas that are great and sometimes those come
[01:01:59.280 --> 01:02:03.240]   with great people and sometimes they don't the reality is there are some bad people out there
[01:02:03.240 --> 01:02:08.100]   who are acting really great and doing interesting things and we have um we've suffered from that I
[01:02:08.100 --> 01:02:13.920]   mean I know David and I were to deal together that suffered from that and it happens so I I would be
[01:02:13.920 --> 01:02:16.620]   I've learned a lot about that I've gone deep into neuroscience
[01:02:16.620 --> 01:02:21.960]   actually have a stat we have a woman who's got a PhD in the neuroscience of emotion Caltech now
[01:02:21.960 --> 01:02:28.380]   on staff that helps us uh learn as you said always learning about how to assess people and how to
[01:02:28.380 --> 01:02:32.940]   assess their emotional states that's the most important thing I think we've updated in our
[01:02:32.940 --> 01:02:39.960]   process and in my own thinking so you love the idea so much that you ignore other you ignored
[01:02:39.960 --> 01:02:46.380]   the other data that this person was not honorable truthful no I mean so there are
[01:02:46.380 --> 01:02:51.480]   times when uh there are two kinds of of this errors here one type of error is we just didn't
[01:02:51.480 --> 01:02:55.140]   see it because the person was so good at being bad they are you know one of the things a
[01:02:55.140 --> 01:02:58.380]   neuroscientist taught us is that about five percent of the human population has a brain
[01:02:58.380 --> 01:03:02.820]   anomaly that make them actual psychopaths defined as the the big doesn't fire properly when they do
[01:03:02.820 --> 01:03:07.980]   something bad guilt fear Etc and in our particular industry it's probably like 10 so we raised our
[01:03:07.980 --> 01:03:11.640]   base rate forecast at 10 and it's gotten better but there's something that's so good at it you
[01:03:11.640 --> 01:03:16.140]   just can't see it I mean Theranos Elizabeth Holmes okay like lots of smart people pointing that company
[01:03:16.140 --> 01:03:20.520]   didn't but it was it wasn't obvious to them obviously then there are then there are moments
[01:03:20.520 --> 01:03:24.720]   earlier on when we had yellow flags we overrode because we were so emotionally committed to the
[01:03:24.720 --> 01:03:28.680]   idea that we want we had a business we did was in the dental space was it was Medicaid dental
[01:03:28.680 --> 01:03:32.580]   cleanse for kids that were black and Hispanic and I'm you know I'm from that demographic and
[01:03:32.580 --> 01:03:37.320]   I wanted to make that great and the reality is we overrode yellow lights because we wanted to
[01:03:37.320 --> 01:03:43.260]   make it great and we failed you were going to add some of your I had two huge filters but they were
[01:03:43.260 --> 01:03:45.900]   they were more personal moments of learning for me one was
[01:03:45.900 --> 01:03:50.280]   you know we were in the midst of building a phone and it didn't come to pass and if I really think
[01:03:50.280 --> 01:03:56.280]   about what I thought the problem was this was when I was at Facebook what the problem then versus now
[01:03:56.280 --> 01:04:01.860]   then you know I would have said oh zuck and I had a huge kind of you know thing and blah blah now
[01:04:01.860 --> 01:04:06.120]   what I would have said is you know I didn't really understand my own limitations and what I was really
[01:04:06.120 --> 01:04:12.360]   asking of him in the board in that moment and then the second is there were all these moments
[01:04:12.360 --> 01:04:14.400]   that were people decisions
[01:04:15.660 --> 01:04:23.220]   um at social capital that ultimately manifested in sub quality financial and investment decisions
[01:04:23.220 --> 01:04:30.180]   and had I had it to do over again I would not have ignored some of the red flags because I was so
[01:04:30.180 --> 01:04:38.100]   desirous to be in the game to you know be in it that uh I probably you know look the other way a
[01:04:38.100 --> 01:04:44.160]   little bit on folks that you know just give you the practical example I remember in a 300 million
[01:04:44.160 --> 01:04:45.420]   dollar fund I put
[01:04:45.420 --> 01:04:49.740]   25 or 30 million dollars into Bitcoin at 50 bucks a coin
[01:04:49.740 --> 01:04:57.900]   and when the thing went to like 150 or something just the pressure to distribute was so high
[01:04:57.900 --> 01:05:05.100]   and I had conviction I had all of these things I had all the voting control I had everything to
[01:05:05.100 --> 01:05:12.240]   just say no and I didn't have the courage to understand my role as a leader versus something
[01:05:12.240 --> 01:05:15.180]   you know my job as a investment partner
[01:05:15.180 --> 01:05:24.240]   um and so you learn you know you learn what you're good at you learn where your strengths are and uh
[01:05:24.240 --> 01:05:27.540]   you try to just get better try to fix those weaknesses I mean at the end of the day what
[01:05:27.540 --> 01:05:30.420]   we're both saying is the same thing which is ultimately it has nothing to do with anybody
[01:05:30.420 --> 01:05:34.560]   else it still comes back to you and what your skill set is in your toolbox and whether you're
[01:05:34.560 --> 01:05:40.260]   upgrading your toolbox everything free bird sacks any mistakes that you're able to access through
[01:05:40.260 --> 01:05:44.460]   your CPUs in your long-term storage
[01:05:44.460 --> 01:05:50.160]   well I think as you get older you learn how to pick your battles better and you just have to
[01:05:50.160 --> 01:05:54.420]   decide like what are the occasions that are really worth fighting for which aren't you know and
[01:05:54.420 --> 01:06:00.000]   sometimes you just let it go and others you have to fight so and just knowing when you should choose
[01:06:00.000 --> 01:06:03.360]   which path I think is really important when you were by the way the guy you really want behind
[01:06:03.360 --> 01:06:09.720]   you in a battle is this guy so phenomenal uh investor back when I was on the founder side
[01:06:09.720 --> 01:06:14.220]   of the table so good brawler yeah for sure that's why I got him a samurai sword for me
[01:06:14.220 --> 01:06:20.760]   a sword for his birthday he did yes a samurai the collection of Samurai Surgeon saw my apartment
[01:06:20.760 --> 01:06:27.060]   started with David Sachs and Samurai Sword ah yeah thank you David too what's your kids trying
[01:06:27.060 --> 01:06:31.680]   to play with it or something it was not a toy yes not a toy Friedberg uh anything in that long-term
[01:06:31.680 --> 01:06:40.140]   storage tape drives of uh I've made a lot of mistakes um it's really hard I I'm very hard on myself
[01:06:40.140 --> 01:06:42.180]   um
[01:06:42.180 --> 01:06:52.860]   when I was young I always said there's no limit and I always believe that and when I hit walls in
[01:06:52.860 --> 01:07:01.440]   my life it was very um very difficult because it totally countered what I what I felt was possible
[01:07:01.440 --> 01:07:05.040]   I always thought everything was going to be a success there's no way I'm gonna let anything
[01:07:05.040 --> 01:07:09.960]   fail there's no way I'm gonna let anything not work my voice is cracking not because I'm
[01:07:09.960 --> 01:07:11.760]   crying because I'm losing my voice so
[01:07:11.760 --> 01:07:16.920]   um we know it's all you need if you cry now there that everybody's gonna be please now
[01:07:16.920 --> 01:07:22.440]   it's all for the vote it's all for the vote he actually does have emotions see
[01:07:22.440 --> 01:07:31.140]   but I would say um he's smart and kind yeah and a vegan yeah he's perfect the biggest mistake I made
[01:07:31.140 --> 01:07:34.440]   he's my dream boyfriend
[01:07:34.440 --> 01:07:41.520]   maybe coming on the stage was the biggest mistake I've made joining the pop
[01:07:41.520 --> 01:07:47.280]   oh man but I think Antonio's point is right uh you know um you just have to be willing to to learn
[01:07:47.280 --> 01:07:53.160]   and um and evolve it's uh you know I I now know that my life isn't about everything I do has to
[01:07:53.160 --> 01:07:58.740]   work 100 of the time um and being so hard on myself caused a lot of like emotional challenges
[01:07:58.740 --> 01:08:03.660]   for me over time but getting um getting to this point where I can now be much more calculated
[01:08:03.660 --> 01:08:07.980]   um and just move forward quickly and learn from it um has been a big evolution for me
[01:08:07.980 --> 01:08:13.800]   um that's just a general statement yeah and I would oh sorry well no it's okay I just uh I
[01:08:13.800 --> 01:08:17.700]   would I was thinking about it while these guys were being so candid and I was immediately going
[01:08:17.700 --> 01:08:22.140]   to punt and go to the next question but I thought that would be unfair um you know I think two things
[01:08:22.140 --> 01:08:28.200]   one I think a lot of my decision making early on was out of fear uh fear of losing whatever I had
[01:08:28.200 --> 01:08:34.020]   gained up until that point so although I was a risk taker and I was being bold in one way I was
[01:08:34.020 --> 01:08:37.920]   also throttling myself because I was just so scared that I would lose whatever gains that I had gained
[01:08:37.920 --> 01:08:44.820]   as I had and it it made me an imperfect manager of people an imperfect person maybe on edge a
[01:08:44.820 --> 01:08:49.380]   little too much and maybe not picking my battles to David's point ever I saw everything as a battle
[01:08:49.380 --> 01:08:55.080]   because those wins were so important to me because they were so hard fought and then I think later in
[01:08:55.080 --> 01:09:00.840]   my life I realized I never actually thought about what I enjoyed I just thought about winning to an
[01:09:00.840 --> 01:09:07.620]   extent that was not healthy and then after Dave Goldberg died and Tony Shea died I really took a
[01:09:07.620 --> 01:09:12.360]   self-assessment of what I enjoyed doing and I mentioned this yesterday you know hanging out
[01:09:12.360 --> 01:09:16.440]   with these gentlemen and and to Antonio's way of phrasing it which is just beautiful the fellowship
[01:09:16.440 --> 01:09:22.800]   I thought that's the joy you know my family my kids my wife and this Fellowship with my friends
[01:09:22.800 --> 01:09:27.720]   that I wanted to invest in and I made a deliberate effort to be a better friend a better parent a
[01:09:27.720 --> 01:09:32.940]   better husband uh and because of all the gains I got from that and the joy that I got from it
[01:09:32.940 --> 01:09:37.320]   and and I just thought a little bit God I do like those conversations I do like writing the
[01:09:37.320 --> 01:09:42.540]   book do like throwing the events I'm just going to do things I enjoy which took me 30 years in my
[01:09:42.540 --> 01:09:46.920]   career to actually assess what is it that I like and maybe I should enjoy the journey a little bit
[01:09:46.920 --> 01:09:53.100]   more so I think it's a great question I appreciate it let's take one more thank you enjoy the journey
[01:09:53.100 --> 01:10:01.380]   hi besties my name is Aria I was the third or fourth employee at DoorDash and my question is
[01:10:01.380 --> 01:10:07.020]   regarding oh sorry my favorite bestie yeah that was a joke by the way my favorite besties Chamath and Saks
[01:10:07.020 --> 01:10:12.960]   although it's honestly Sophie's choice um my questions regarding the positive impact that
[01:10:12.960 --> 01:10:18.840]   Silicon Valley could have on the political discourse and politics which I know you know
[01:10:18.840 --> 01:10:24.480]   there's typically an aversion to in tech um you know you all have done a fantastic job outlining
[01:10:24.480 --> 01:10:28.980]   what those problems are as well as your guests what I'm wondering is what a viable path forward
[01:10:28.980 --> 01:10:33.120]   looks like you know Chamath you mentioned that people in DC pay close attention to the podcast
[01:10:33.120 --> 01:10:36.720]   Saks has recently endorsed Michael Schellenberger which I really hope can
[01:10:36.720 --> 01:10:43.200]   save our home state and I'm wondering is is the solution something akin to a third party like what
[01:10:43.200 --> 01:10:48.660]   Andrew Yang is trying to do or some new I don't know Silicon Valley techno party or you know is
[01:10:48.660 --> 01:10:53.160]   there is you know what does that look like I'm curious well I don't think it's set up to actually
[01:10:53.160 --> 01:10:58.740]   have a third party structurally in America so what you have to do practically speaking is field more
[01:10:58.740 --> 01:11:03.540]   centrist normal people on both sides whether they're Republicans or Democrats that's a
[01:11:03.540 --> 01:11:06.420]   practical thing that we can all do and then we can all show up and vote for those
[01:11:06.420 --> 01:11:11.880]   people so that the the majority voice is much clearer than it is today because right now the
[01:11:11.880 --> 01:11:17.220]   fringes a little bit get to hijack the process and so we take things that are that should be
[01:11:17.220 --> 01:11:21.600]   common sense and we pervert them in a way that just makes no progress possible
[01:11:21.600 --> 01:11:29.940]   um I really do think that we have that impact uh I'm not sure how much can be of that can be
[01:11:29.940 --> 01:11:36.120]   quantified but when I spend time in DC I think it's true what I was told and what I've heard from
[01:11:36.120 --> 01:11:41.100]   people it's basically required listening or viewing it helps shapes people's opinions it
[01:11:41.100 --> 01:11:45.060]   doesn't mean they follow it but I think it helps people think about things in a more normal way
[01:11:45.060 --> 01:11:49.740]   I think what happened today is like a perfect example like the way that Glenn Greenwald and
[01:11:49.740 --> 01:11:55.380]   Antonio Garcia Martinez debate like that's probably for some of you was really unsettling
[01:11:55.380 --> 01:12:00.300]   maybe raise your hand if you were just like you felt awkward honestly just be honest with you okay
[01:12:00.300 --> 01:12:05.340]   well you shouldn't because that's normal my point is it helps you make it seem more normal because
[01:12:05.340 --> 01:12:08.820]   those guys were not saying to each other that you're worthless and you're not they were just
[01:12:08.820 --> 01:12:13.440]   debating by the way we went out for a beer after that yeah this is my point so the three of us I
[01:12:13.440 --> 01:12:18.660]   was like okay we need to like go out and get a drink and cool down so I'm not chastising you for
[01:12:18.660 --> 01:12:22.860]   feeling that way I'm just saying this is what the culture does to folks it makes you even afraid to
[01:12:22.860 --> 01:12:28.740]   hear people debate things and still have respect for each other the way that he and Palmer kind of
[01:12:28.740 --> 01:12:33.660]   dealt with that wasn't that's incredible the courage that Palmer had to say what he did and
[01:12:33.660 --> 01:12:35.040]   then for him to be the first guy to walk out
[01:12:35.040 --> 01:12:40.200]   and then to own that that's a I think those are really important moments and you have
[01:12:40.200 --> 01:12:52.200]   you you have 700 more people capable of being that way because of what just happened so yeah I think
[01:12:52.200 --> 01:12:56.880]   it's a slow March but I think we're we're doing we're right we're riding a small dent in a small
[01:12:56.880 --> 01:13:03.480]   way 20 years ago every political show on TV was a debate format like going all the way back to
[01:13:03.480 --> 01:13:09.480]   Willie Buckley versus Gore Vidal or Pat Buchanan versus Michael Kinsey on Crossfire I mean they
[01:13:09.480 --> 01:13:14.640]   were all debates now like none of them are debates it's all just their own little echo chambers I
[01:13:14.640 --> 01:13:19.680]   think it's one of the reasons why this pod is successful is we actually can have debates and
[01:13:19.680 --> 01:13:25.560]   there is a divergence of views what do you think Antonio is there is there some you ever listen to
[01:13:25.560 --> 01:13:30.780]   this pod um I I was on one once dancing in the background oh that's right yes thank you dancing
