
[00:00:00.000 --> 00:00:01.680]   All right, let's go.
[00:40:34.260 --> 00:40:37.180]   and then you've got your multi-task evaluation,
[00:40:37.180 --> 00:40:39.780]   things like GLUE, things like MMLU,
[00:40:39.780 --> 00:40:41.500]   things like SuperGLUE,
[00:40:41.500 --> 00:40:42.860]   and of course, there are a couple more
[00:40:42.860 --> 00:40:44.900]   that's inside the list.
[00:40:44.900 --> 00:40:46.900]   So what happens over here is that
[00:40:46.900 --> 00:40:49.380]   if we just take a look at GLUE,
[00:40:49.380 --> 00:40:56.980]   this is divided into multiple individual evaluations,
[00:40:56.980 --> 00:41:00.660]   so you've got things like natural language inference,
[00:41:00.660 --> 00:41:03.860]   you've got things like whether a sentence
[00:41:03.860 --> 00:41:06.020]   makes sense or not, so that's your COLA,
[00:41:06.020 --> 00:41:08.420]   you've got things like semantic similarity.
[00:41:08.420 --> 00:41:11.660]   So essentially, that's what's going on over here.
[00:41:11.660 --> 00:41:14.980]   MMLU, which is one of the more popular ways
[00:41:14.980 --> 00:41:17.820]   of doing benchmarks right now,
[00:41:17.820 --> 00:41:21.140]   so there's a big number of knowledge intensities
[00:41:21.140 --> 00:41:22.500]   that you can see over here.
[00:41:22.500 --> 00:41:25.620]   And of course, SuperGLUE,
[00:41:25.620 --> 00:41:27.820]   which is the second generation from GLUE,
[00:41:27.820 --> 00:41:31.060]   which has more, I would say,
[00:41:31.060 --> 00:41:35.380]   I would say questions that mimic human behavior more,
[00:41:35.380 --> 00:41:36.740]   or things that are a bit trickier
[00:41:36.740 --> 00:41:37.980]   for models to understand.
[00:41:39.300 --> 00:41:42.500]   So that is the part on evaluations.
[00:41:42.500 --> 00:41:47.220]   So different kinds of applications,
[00:41:47.220 --> 00:41:48.500]   I think we've seen many kinds.
[00:41:48.500 --> 00:41:51.860]   So beyond just things like what's in the list,
[00:41:51.860 --> 00:41:53.780]   we also see things like music generation,
[00:41:53.780 --> 00:41:56.300]   we see things like video generation,
[00:41:56.300 --> 00:41:59.620]   and naturally, what happens is that for each of them,
[00:41:59.620 --> 00:42:02.540]   there are also certain guardrails that need to be placed.
[00:42:02.540 --> 00:42:03.740]   So what are some examples?
[00:42:03.740 --> 00:42:08.180]   If let's say for a music generation model,
[00:42:08.180 --> 00:42:10.580]   it is important to ensure that when we submit lyrics
[00:42:10.580 --> 00:42:13.380]   for the model to output,
[00:42:13.380 --> 00:42:16.740]   these lyrics shouldn't be under any kind of copyright.
[00:42:16.740 --> 00:42:19.140]   If not, then there might be legal consequences.
[00:42:19.140 --> 00:42:23.260]   So this is something that I would say,
[00:42:23.260 --> 00:42:25.580]   depending on the domain that you're in,
[00:42:25.580 --> 00:42:26.860]   you will be looking at models
[00:42:26.860 --> 00:42:28.900]   that are very specific to your domain.
[00:42:28.900 --> 00:42:33.900]   So finally, last part, before we go into Q&A,
[00:42:33.900 --> 00:42:38.060]   what are some of the things that we see models exhibit?
[00:42:38.060 --> 00:42:41.340]   So things like biases are very common,
[00:42:41.340 --> 00:42:43.020]   stereotypes are very common.
[00:42:43.020 --> 00:42:46.860]   And I guess the reason why is based
[00:42:46.860 --> 00:42:48.340]   on some of the training data that we see.
[00:42:48.340 --> 00:42:50.780]   If the training data exhibits a certain behavior,
[00:42:50.780 --> 00:42:54.700]   naturally, we see the model exhibiting this behavior.
[00:42:54.700 --> 00:42:56.260]   So that's, I think, one of the things
[00:42:56.260 --> 00:42:57.860]   that we want to be aware of.
[00:42:57.860 --> 00:43:04.300]   And also things like models memorizing private content.
[00:43:07.700 --> 00:43:10.060]   So if let's say I've got a GPT model
[00:43:10.060 --> 00:43:12.900]   and I type in a particular prompt,
[00:43:12.900 --> 00:43:15.420]   and this GPT model sees some email,
[00:43:15.420 --> 00:43:17.980]   and then it outputs some sort of phone number
[00:43:17.980 --> 00:43:19.700]   that is supposed to be private.
[00:43:19.700 --> 00:43:23.060]   And let's say a user takes this and does a search.
[00:43:23.060 --> 00:43:24.500]   So essentially, the idea is that
[00:43:24.500 --> 00:43:26.300]   this is the output from the model.
[00:43:26.300 --> 00:43:28.540]   And you can see there's actually some information over here
[00:43:28.540 --> 00:43:30.940]   that might be private.
[00:43:30.940 --> 00:43:31.860]   You might have a phone number
[00:43:31.860 --> 00:43:35.580]   that's not supposed to be exposed to the public.
[00:43:35.580 --> 00:43:37.740]   And then maybe someone searches for the phone number
[00:43:37.740 --> 00:43:40.900]   and there you might have an additional contact
[00:43:40.900 --> 00:43:43.020]   that maybe you can use, right?
[00:43:43.020 --> 00:43:46.940]   So these are some of the things that we want to,
[00:43:46.940 --> 00:43:49.220]   I would say, be aware of
[00:43:49.220 --> 00:43:54.140]   when it comes to the component about human alignment.
[00:43:54.140 --> 00:43:56.220]   So on top of the three H's,
[00:43:56.220 --> 00:43:59.580]   making helpful, being harmless, and being honest,
[00:43:59.580 --> 00:44:01.980]   you also want to ensure that your models
[00:44:01.980 --> 00:44:05.020]   do not leak out or do not learn
[00:44:05.020 --> 00:44:07.260]   certain private information.
[00:44:07.260 --> 00:44:10.820]   And generally, what happens is that there is teams,
[00:44:10.820 --> 00:44:13.540]   like there are teams that are behind
[00:44:13.540 --> 00:44:15.820]   all these ways of conducting adversarial attacks.
[00:44:15.820 --> 00:44:17.380]   You can call them white hat attacks,
[00:44:17.380 --> 00:44:20.420]   or what people like to call red teaming these models.
[00:44:20.420 --> 00:44:25.140]   So essentially trying to generate adversarial prompts
[00:44:25.140 --> 00:44:28.820]   or find ways such that the model will leak out something,
[00:44:28.820 --> 00:44:31.500]   and then if they're able to do so, they will fix it.
[00:44:31.500 --> 00:44:34.300]   I think there's a few interesting articles
[00:44:34.300 --> 00:44:35.340]   about that recently.
[00:44:35.340 --> 00:44:40.580]   So essentially, that is the paper.
[00:44:40.580 --> 00:44:44.380]   It sounds like a firehose of information.
[00:44:44.380 --> 00:44:48.180]   So if there's anything,
[00:44:48.180 --> 00:44:49.900]   any topic you want to deep dive into,
[00:44:49.900 --> 00:44:52.060]   feel free to take a look at the paper
[00:44:52.060 --> 00:44:53.980]   or take a look at this
[00:44:53.980 --> 00:44:56.020]   and go into the topics that you're looking at.
[00:44:56.020 --> 00:44:57.420]   So if let's say I want to just do something
[00:44:57.420 --> 00:44:58.660]   on parameter efficient tuning,
[00:44:58.660 --> 00:45:00.540]   feel free to just go into that segment.
[00:45:00.540 --> 00:45:04.620]   So I've linked all the papers over here.
[00:45:04.620 --> 00:45:07.100]   I've also linked some of the external sources
[00:45:07.100 --> 00:45:09.660]   that have been useful for me over here.
[00:45:09.660 --> 00:45:12.740]   So yeah, feel free to take this
[00:45:12.740 --> 00:45:15.260]   as a reference guide for yourself.
[00:45:15.260 --> 00:45:18.380]   And I think with that, I've come to the end,
[00:45:18.380 --> 00:45:21.380]   and I'm leaving about 10 more minutes if there's any Q&As.
[00:45:21.380 --> 00:45:23.100]   So Ivan?
[00:45:23.100 --> 00:45:23.940]   - Yeah, dude.
[00:45:23.940 --> 00:45:28.340]   Thanks so much for giving such a detailed walkthrough.
[00:45:28.340 --> 00:45:31.740]   I think there was a question by Bonan in the chat
[00:45:31.740 --> 00:45:33.420]   about a paralyzation,
[00:45:33.420 --> 00:45:36.340]   like what exactly is the benefit of using a transformer
[00:45:36.340 --> 00:45:41.340]   versus a, I guess in this case, a RNN, RSTM.
[00:45:41.340 --> 00:45:42.900]   Do you want to maybe start with that?
[00:45:42.900 --> 00:45:44.660]   Like how the paralyzation works?
[00:45:44.660 --> 00:45:47.940]   - Let me just take a look.
[00:45:47.940 --> 00:45:50.220]   Okay, so if you think about it,
[00:45:50.220 --> 00:45:55.380]   let's look at this example over here.
[00:45:56.380 --> 00:45:58.260]   One second, let me just, okay.
[00:45:58.260 --> 00:46:03.260]   So the idea over here is if you think about
[00:46:03.260 --> 00:46:07.540]   the traditional RNNs, what happens is that,
[00:46:07.540 --> 00:46:09.980]   let's say I've got a sequence of 10 tokens,
[00:46:09.980 --> 00:46:12.100]   and I want to calculate the hidden state
[00:46:12.100 --> 00:46:14.420]   of the entire sequence, in this case,
[00:46:14.420 --> 00:46:17.020]   the sequence, the hidden state of the 10th token.
[00:46:17.020 --> 00:46:20.460]   There is a dependency of the 9th token,
[00:46:20.460 --> 00:46:23.340]   and the dependency of the 9th token is the,
[00:46:23.340 --> 00:46:24.660]   sorry, the 9th hidden state.
[00:46:24.660 --> 00:46:25.780]   Sorry, the 9th hidden state,
[00:46:25.780 --> 00:46:27.460]   and the dependency of the 9th hidden state,
[00:46:27.460 --> 00:46:29.740]   the hidden state, so on and so forth.
[00:46:29.740 --> 00:46:31.420]   And essentially, that's what's going on over here,
[00:46:31.420 --> 00:46:35.620]   where if, let's say, I want to calculate the second state,
[00:46:35.620 --> 00:46:38.780]   the second hidden state of the second token in the sequence,
[00:46:38.780 --> 00:46:40.140]   I need to calculate the first,
[00:46:40.140 --> 00:46:42.700]   I need to calculate the first hidden state as an input.
[00:46:42.700 --> 00:46:47.220]   So that goes back to either your RNNs or LSTMs,
[00:46:47.220 --> 00:46:52.220]   where the hidden state is calculated,
[00:46:52.300 --> 00:46:54.980]   the inputs to the hidden state is the hidden state
[00:46:54.980 --> 00:46:59.580]   of the previous token, and also the input token.
[00:46:59.580 --> 00:47:03.540]   So the thing is that because there is this dependency,
[00:47:03.540 --> 00:47:05.340]   there is this reliance on,
[00:47:05.340 --> 00:47:09.500]   the future hidden states rely on the previous hidden states,
[00:47:09.500 --> 00:47:13.060]   and because of that, there is no ability to parallelize
[00:47:13.060 --> 00:47:15.780]   from a sequence perspective, on the wall clock perspective.
[00:47:15.780 --> 00:47:17.620]   And therefore, you see the first line back forward,
[00:47:17.620 --> 00:47:19.220]   and back of pass first at O of sequence length.
[00:47:19.220 --> 00:47:22.580]   That means for how long the sequence length you have,
[00:47:22.580 --> 00:47:25.100]   you have to do that number of calculations.
[00:47:25.100 --> 00:47:26.060]   Does it make sense?
[00:47:26.060 --> 00:47:28.140]   - I think it makes sense too.
[00:47:28.140 --> 00:47:29.860]   At least the way I like to think about it is that,
[00:47:29.860 --> 00:47:31.740]   let's say I had five sentences,
[00:47:31.740 --> 00:47:33.260]   and they're not the same length.
[00:47:33.260 --> 00:47:35.100]   In order for me to get the final hidden state,
[00:47:35.100 --> 00:47:37.100]   before I can start evaluating its predictions,
[00:47:37.100 --> 00:47:40.220]   I need to run five passes,
[00:47:40.220 --> 00:47:42.180]   and for each character in each sequence,
[00:47:42.180 --> 00:47:43.660]   or each token in this case,
[00:47:43.660 --> 00:47:44.660]   for a transformer itself,
[00:47:44.660 --> 00:47:46.780]   I can just pad everything to the same length,
[00:47:46.780 --> 00:47:48.580]   and pass it through in one time step.
[00:47:48.580 --> 00:47:52.140]   So I can get everything out in one output step,
[00:47:52.140 --> 00:47:53.900]   one forward pass.
[00:47:53.900 --> 00:47:56.860]   At least that's my understanding of the parallelizability.
[00:47:56.860 --> 00:47:59.660]   - Yeah, that makes sense.
[00:47:59.660 --> 00:48:01.180]   I agree.
[00:48:01.180 --> 00:48:03.980]   I would say for this diagram,
[00:48:03.980 --> 00:48:05.620]   we think of it during the training state.
[00:48:05.620 --> 00:48:08.220]   Naturally, during the inference stage,
[00:48:08.220 --> 00:48:09.260]   we still have to,
[00:48:09.260 --> 00:48:13.100]   there is still this need of passing the hidden state
[00:48:13.100 --> 00:48:16.300]   of the current token back into the transformer,
[00:48:16.300 --> 00:48:18.460]   the model to get the next token.
[00:48:18.460 --> 00:48:20.420]   - For sure, for sure.
[00:48:20.420 --> 00:48:21.980]   I was talking more about the training stage,
[00:48:21.980 --> 00:48:23.820]   but I think in terms of inference,
[00:48:23.820 --> 00:48:26.180]   you incur the additional costs
[00:48:26.180 --> 00:48:29.580]   at the transformer of each additional token
[00:48:29.580 --> 00:48:32.100]   that RNN does, I think, ultimately.
[00:48:32.100 --> 00:48:34.060]   Actually, for me, one of the questions
[00:48:34.060 --> 00:48:37.300]   I had about the classification in this paper was
[00:48:37.300 --> 00:48:40.060]   that of prefix versus full language modeling.
[00:48:40.060 --> 00:48:42.900]   Because if you look at the example that you give in the text,
[00:48:42.900 --> 00:48:45.260]   I think they give the example of,
[00:48:45.260 --> 00:48:47.700]   you have just a cute little example,
[00:48:47.700 --> 00:48:50.100]   which is, if it's full language modeling,
[00:48:50.100 --> 00:48:51.180]   they give the word "may"
[00:48:51.180 --> 00:48:53.500]   and then you output the word, "the force be with you."
[00:48:53.500 --> 00:48:54.980]   If it's prefix language modeling,
[00:48:54.980 --> 00:48:55.860]   it's "may the force"
[00:48:55.860 --> 00:48:59.500]   and then the model is asked to predict "be with you."
[00:48:59.500 --> 00:49:03.020]   But that just both seems like the same thing.
[00:49:03.020 --> 00:49:05.020]   Because my understanding of prefix language modeling
[00:49:05.020 --> 00:49:07.740]   was that, oh, we're gonna specify a specific token,
[00:49:07.740 --> 00:49:10.100]   for example, like a bracket classify,
[00:49:10.100 --> 00:49:11.620]   bracket sentiment,
[00:49:11.620 --> 00:49:12.820]   sort of like in P5.
[00:49:12.820 --> 00:49:14.380]   And the model learns that if it sees
[00:49:14.380 --> 00:49:16.220]   this specific prefix,
[00:49:16.220 --> 00:49:19.460]   then it should perform differently.
[00:49:19.460 --> 00:49:21.340]   And so that was what I was a bit confused by
[00:49:21.340 --> 00:49:22.780]   in this specific paper.
[00:49:22.780 --> 00:49:26.940]   - That makes sense.
[00:49:26.940 --> 00:49:32.300]   I didn't look at the paper in particular,
[00:49:32.300 --> 00:49:35.620]   so it's a little bit hard to comment on that.
[00:49:35.620 --> 00:49:37.340]   I understand when you are saying
[00:49:37.340 --> 00:49:41.340]   that this and this really doesn't show a lot of difference.
[00:49:42.940 --> 00:49:46.060]   - I think what I can comment is that
[00:49:46.060 --> 00:49:47.820]   generally in full language modeling,
[00:49:47.820 --> 00:49:49.700]   what happens is that you...
[00:49:49.700 --> 00:49:53.340]   Okay, this is, of course,
[00:49:53.340 --> 00:49:56.060]   the encoder-decoder phase of things
[00:49:56.060 --> 00:49:57.060]   beyond the GPT stuff.
[00:49:57.060 --> 00:50:00.620]   So generally what happens is that for full language,
[00:50:00.620 --> 00:50:02.660]   you generate everything.
[00:50:02.660 --> 00:50:05.260]   So in fact, maybe in this case,
[00:50:05.260 --> 00:50:08.060]   you might just start with a beginning of sentence token
[00:50:08.060 --> 00:50:09.540]   and then you take maybe some hidden state
[00:50:09.540 --> 00:50:10.780]   and then you generate from there.
[00:50:10.780 --> 00:50:12.900]   And then you autoregressively sample from there,
[00:50:12.900 --> 00:50:15.300]   which is different from the prefix language modeling
[00:50:15.300 --> 00:50:18.940]   where you are given the beginning of sentence token,
[00:50:18.940 --> 00:50:20.420]   actually, and then a series of tokens
[00:50:20.420 --> 00:50:22.140]   before you do your generation.
[00:50:22.140 --> 00:50:23.740]   And then, of course, when you do your learning,
[00:50:23.740 --> 00:50:26.620]   you are learning based on that particular sequence of text
[00:50:26.620 --> 00:50:29.260]   more than just the beginning of sentence.
[00:50:29.260 --> 00:50:30.100]   I'm not very sure.
[00:50:30.100 --> 00:50:32.820]   I think this one, we've got to take a look at the paper
[00:50:32.820 --> 00:50:34.220]   to fully understand.
[00:50:34.220 --> 00:50:37.460]   It was also the guy who was the author of the T5 paper,
[00:50:37.460 --> 00:50:38.380]   I believe.
[00:50:38.380 --> 00:50:39.220]   - Oh, really?
[00:50:39.220 --> 00:50:41.100]   The guy who did this paper?
[00:50:41.100 --> 00:50:44.060]   - Yes, I think his name is Colin.
[00:50:44.060 --> 00:50:46.500]   Yeah, but let's go and check, yeah.
[00:50:46.500 --> 00:50:48.980]   - Yeah, and I think we can talk about this some other time.
[00:50:48.980 --> 00:50:53.100]   It was just something that confused me quite a good amount.
[00:50:53.100 --> 00:50:54.460]   I guess the other thing that surprised me
[00:50:54.460 --> 00:50:57.740]   was just like learn positional encodings.
[00:50:57.740 --> 00:51:00.740]   'Cause when we covered the original transformer paper,
[00:51:00.740 --> 00:51:02.820]   I think there was a section where they said,
[00:51:02.820 --> 00:51:04.900]   oh, we experimented with learn
[00:51:04.900 --> 00:51:07.500]   and frozen positional encodings.
[00:51:07.500 --> 00:51:10.980]   But it seems like you mentioned that newer papers
[00:51:10.980 --> 00:51:13.260]   are starting to use learn positional encodings instead
[00:51:13.260 --> 00:51:15.980]   and they show an increase in performance.
[00:51:15.980 --> 00:51:18.100]   And I was wondering if maybe,
[00:51:18.100 --> 00:51:20.700]   what sort of change, in your opinion,
[00:51:20.700 --> 00:51:22.780]   to make this happen, if that makes sense?
[00:51:22.780 --> 00:51:27.860]   - To be very honest,
[00:51:27.860 --> 00:51:35.940]   I'm not very sure what were the changes that inspired it.
[00:51:36.620 --> 00:51:40.980]   Maybe the way I would comment is that,
[00:51:40.980 --> 00:51:42.780]   once they are able to do so,
[00:51:42.780 --> 00:51:47.500]   they are able to represent,
[00:51:47.500 --> 00:51:49.740]   they are able to efficiently represent
[00:51:49.740 --> 00:51:55.020]   an input with a much longer context window.
[00:51:55.020 --> 00:51:57.020]   So I think that probably what happened
[00:51:57.020 --> 00:51:59.340]   was that there was innovation in that space.
[00:51:59.340 --> 00:52:00.500]   Because the thing is that if, let's say,
[00:52:00.500 --> 00:52:03.180]   I've got maybe say 500 tokens or 1,000 tokens,
[00:52:04.100 --> 00:52:06.500]   there might be a limitation on how you
[00:52:06.500 --> 00:52:12.820]   model the positions,
[00:52:12.820 --> 00:52:14.220]   because maybe the positions might all be
[00:52:14.220 --> 00:52:15.660]   just clustered in one area.
[00:52:15.660 --> 00:52:17.980]   But I think once they have figured out how to do so,
[00:52:17.980 --> 00:52:19.460]   that's when they open up the window
[00:52:19.460 --> 00:52:20.740]   to longer context window.
[00:52:20.740 --> 00:52:25.740]   So maybe how they learn positional encodings
[00:52:25.740 --> 00:52:28.820]   might be one of the tricks that they use
[00:52:28.820 --> 00:52:30.860]   to have longer context windows.
[00:52:30.860 --> 00:52:32.420]   But again, I might be wrong.
[00:52:32.420 --> 00:52:36.260]   I didn't really go into the details of this part of research.
[00:52:36.260 --> 00:52:37.940]   - Yeah, for sure, for sure.
[00:52:37.940 --> 00:52:39.500]   Yeah, I was just wondering about that.
[00:52:39.500 --> 00:52:42.820]   'Cause that was just something that I was intrigued by.
[00:52:42.820 --> 00:52:44.740]   I think we're almost at time.
[00:52:44.740 --> 00:52:46.380]   If anyone has any other questions,
[00:52:46.380 --> 00:52:48.340]   you can drop them in the chat.
[00:52:48.340 --> 00:52:51.620]   Maybe we can just end it here.
[00:52:51.620 --> 00:52:56.780]   Okay, it seems like there's no more questions.
[00:52:56.780 --> 00:53:00.380]   So anyway, I think moving on to next week's paper,
[00:53:00.380 --> 00:53:03.660]   I was thinking of doing a deep-seek MOE paper.
[00:53:03.660 --> 00:53:07.140]   That was one thing I'd like to present, to propose, sorry.
[00:53:07.140 --> 00:53:09.940]   'Cause I thought it's super interesting,
[00:53:09.940 --> 00:53:12.020]   and there are a whole bunch of these ideas
[00:53:12.020 --> 00:53:13.740]   that they're experimenting with,
[00:53:13.740 --> 00:53:17.660]   like always on experts, randomly routed experts.
[00:53:17.660 --> 00:53:19.220]   So I thought it's a good paper.
[00:53:19.220 --> 00:53:26.460]   So as usual, if anyone wants to present on the paper itself
[00:53:26.460 --> 00:53:27.980]   for the upcoming week,
[00:53:27.980 --> 00:53:30.540]   then happy to help you with it.
[00:53:30.540 --> 00:53:32.540]   I think you generally learn a lot more
[00:53:32.540 --> 00:53:34.500]   when you actually do the paper.
[00:53:34.500 --> 00:53:36.620]   I learned at least 10 times more
[00:53:36.620 --> 00:53:39.980]   if I actually had to sit down and present the paper.
[00:53:39.980 --> 00:53:44.780]   So I think, as usual, I'll probably just drop a thread
[00:53:44.780 --> 00:53:46.660]   inside the paper club.
[00:53:46.660 --> 00:53:48.100]   And then if you guys have any other papers
[00:53:48.100 --> 00:53:49.460]   that you'd like to suggest,
[00:53:49.460 --> 00:53:50.660]   you can add it onto the thread,
[00:53:50.660 --> 00:53:52.340]   and then we can all vote for that.
[00:53:52.340 --> 00:53:54.020]   Yeah, do you have any papers in mind, Brian?
[00:53:54.020 --> 00:53:56.660]   Anyone have any other papers that you guys wanna read?
[00:53:57.660 --> 00:54:01.660]   - Hmm, I'll take a look, I'll take a look at them.
[00:54:01.660 --> 00:54:04.340]   There are some, I would say,
[00:54:04.340 --> 00:54:06.740]   are very open source models.
[00:54:06.740 --> 00:54:12.260]   So we'll see how, maybe one day next month,
[00:54:12.260 --> 00:54:14.060]   I can take a look at them, yeah.
[00:54:14.060 --> 00:54:16.340]   - Okay, cool, sounds good to me, yeah.
[00:54:16.340 --> 00:54:18.180]   Then otherwise, thank you so much, guys,
[00:54:18.180 --> 00:54:19.540]   for tuning in today's session.
[00:54:19.540 --> 00:54:20.940]   Really appreciate it.
[00:54:20.940 --> 00:54:23.220]   And yeah, looking forward to next week, guys.
[00:54:23.220 --> 00:54:24.540]   Ciao.
[00:54:24.540 --> 00:54:26.460]   - Thanks, everybody, see you guys, bye-bye.
[00:54:26.460 --> 00:54:27.460]   Have a good evening.
[00:54:27.460 --> 00:54:29.460]   See you guys. Bye bye. Have a good evening.

