
[00:00:00.000 --> 00:00:03.000]   Welcome back to 6S094
[00:36:41.400 --> 00:36:44.600]   is what creates successful integration of AI in the car
[00:36:44.600 --> 00:36:47.000]   before we're able to solve the full autonomy puzzle
[00:36:47.000 --> 00:36:50.700]   learn the limitations by exploring
[00:36:50.700 --> 00:36:53.000]   it starts with this guy
[00:36:53.000 --> 00:36:54.900]   and hundreds of others
[00:36:54.900 --> 00:36:56.700]   if you search on YouTube
[00:36:56.700 --> 00:36:58.000]   first time with autopilot
[00:36:58.000 --> 00:37:01.300]   the amazing experience
[00:37:01.300 --> 00:37:04.600]   of direct transfer of control of your life
[00:37:04.600 --> 00:37:06.600]   to an artificial intelligence system
[00:37:06.600 --> 00:37:07.900]   in this case
[00:37:08.000 --> 00:37:10.300]   giving control to Tesla autopilot system
[00:37:10.300 --> 00:37:11.900]   this is why
[00:37:11.900 --> 00:37:14.600]   in the human center camp of autonomy
[00:37:14.600 --> 00:37:16.300]   I believe that
[00:37:16.300 --> 00:37:18.500]   autonomous vehicles
[00:37:18.500 --> 00:37:20.700]   can be viewed as personal robots
[00:37:20.700 --> 00:37:23.400]   with which you build a relationship
[00:37:23.400 --> 00:37:26.500]   where the human robot interaction is the key problem
[00:37:26.500 --> 00:37:28.300]   not the perception control
[00:37:28.300 --> 00:37:36.400]   and there
[00:37:36.400 --> 00:37:37.700]   the flaws
[00:37:38.200 --> 00:37:39.800]   of both humans and machines
[00:37:39.800 --> 00:37:42.600]   must be clearly communicated and perceived
[00:37:42.600 --> 00:37:47.000]   perceived because we use the computer vision algorithms
[00:37:47.000 --> 00:37:48.700]   to detect everything about the human
[00:37:48.700 --> 00:37:50.100]   and communicated
[00:37:50.100 --> 00:37:52.200]   because on the displays of the car
[00:37:52.200 --> 00:37:54.000]   or even through voice
[00:37:54.000 --> 00:37:56.000]   it has to be able to reveal
[00:37:56.000 --> 00:37:57.200]   when it doesn't see
[00:37:57.200 --> 00:37:59.400]   different aspects of the scene
[00:37:59.400 --> 00:38:05.700]   from the human centered approach then
[00:38:06.900 --> 00:38:08.500]   we can focus on the left
[00:38:08.500 --> 00:38:10.400]   the perception and control side
[00:38:10.400 --> 00:38:13.000]   perceiving everything about the external environment
[00:38:13.000 --> 00:38:14.500]   and controlling the vehicle
[00:38:14.500 --> 00:38:19.600]   without having to worry about being 99.99999% correct
[00:38:19.600 --> 00:38:22.600]   approaching a hundred percent correct
[00:38:22.600 --> 00:38:25.800]   because in the cases where it's extremely difficult
[00:38:25.800 --> 00:38:28.700]   we can let the human catch the system
[00:38:28.700 --> 00:38:31.800]   we can reveal the flaws
[00:38:31.800 --> 00:38:33.200]   and let the human take over
[00:38:33.200 --> 00:38:35.100]   when the system can't
[00:38:36.400 --> 00:38:38.700]   so let's get to the sensors
[00:38:38.700 --> 00:38:44.500]   the sources of raw data that we get to work with
[00:38:44.500 --> 00:38:49.800]   there's three
[00:38:49.800 --> 00:38:52.000]   there's cameras
[00:38:52.000 --> 00:38:53.500]   so image sensors
[00:38:53.500 --> 00:38:55.700]   RGB infrared
[00:38:55.700 --> 00:38:59.000]   visual data
[00:38:59.000 --> 00:39:00.500]   there's radar
[00:39:00.500 --> 00:39:03.100]   and ultrasonic
[00:39:03.100 --> 00:39:05.500]   and there's LiDAR
[00:39:05.600 --> 00:39:09.000]   let's discuss the strengths
[00:39:09.000 --> 00:39:12.200]   first discuss really what these sensors are
[00:39:12.200 --> 00:39:13.600]   the strength and weaknesses
[00:39:13.600 --> 00:39:14.800]   and how they can be
[00:39:14.800 --> 00:39:16.900]   integrated together
[00:39:16.900 --> 00:39:18.300]   through sensor fusion
[00:39:18.300 --> 00:39:20.400]   so radar
[00:39:20.400 --> 00:39:21.900]   is the trusted
[00:39:21.900 --> 00:39:23.500]   the old trusted friend
[00:39:23.500 --> 00:39:26.700]   the sensor that's commonly available in most vehicles
[00:39:26.700 --> 00:39:29.100]   that have any degree of autonomy
[00:39:29.100 --> 00:39:32.800]   on the left is a visualization of the kind of data
[00:39:32.800 --> 00:39:34.600]   on high-resolution radar
[00:39:34.600 --> 00:39:36.700]   that's able to be extracted
[00:39:36.700 --> 00:39:39.700]   it's cheap
[00:39:39.700 --> 00:39:41.900]   both radar
[00:39:41.900 --> 00:39:44.800]   which works with electromagnetic waves
[00:39:44.800 --> 00:39:49.300]   and ultrasonic which works with sound waves
[00:39:49.300 --> 00:39:50.800]   sending a wave
[00:39:50.800 --> 00:39:52.800]   letting it bounce off the obstacles
[00:39:52.800 --> 00:39:55.000]   knowing the speed of that wave
[00:39:55.000 --> 00:39:58.300]   being able to calculate the distance to the obstacle
[00:39:58.300 --> 00:39:59.100]   based on that
[00:39:59.100 --> 00:40:02.800]   it does extremely well
[00:40:03.800 --> 00:40:05.800]   in challenging weather
[00:40:05.800 --> 00:40:07.300]   rain, snow
[00:40:07.300 --> 00:40:13.300]   the downside is a slow resolution
[00:40:13.300 --> 00:40:15.700]   compared to the other sensors we'll discuss
[00:40:15.700 --> 00:40:18.300]   but it is the one that's most reliable
[00:40:18.300 --> 00:40:20.200]   and used in automotive industry today
[00:40:20.200 --> 00:40:21.500]   and it's the one that's
[00:40:21.500 --> 00:40:23.500]   in sensor fusion is always there
[00:40:23.500 --> 00:40:26.200]   LiDAR
[00:40:26.200 --> 00:40:28.200]   visualized on the right
[00:40:28.200 --> 00:40:32.000]   the downsides it's expensive
[00:40:33.000 --> 00:40:35.200]   but it produces an extremely accurate
[00:40:35.200 --> 00:40:39.000]   depth information and a high-resolution map of the environment
[00:40:39.000 --> 00:40:43.200]   that has 360 degrees of visibility
[00:40:43.200 --> 00:40:48.500]   it has some of the
[00:40:48.500 --> 00:40:52.200]   big strengths of radar in terms of reliability
[00:40:52.200 --> 00:40:55.300]   but with much higher resolution and accuracy
[00:40:55.300 --> 00:40:58.000]   the downside is cost
[00:40:58.000 --> 00:41:02.500]   here's a quick visualization comparing the two
[00:41:02.600 --> 00:41:04.700]   of the kind of information you get to work with
[00:41:04.700 --> 00:41:08.100]   the density
[00:41:08.100 --> 00:41:11.500]   and the quality of information with LiDAR is much higher
[00:41:11.500 --> 00:41:15.700]   and LiDAR has been the successful
[00:41:15.700 --> 00:41:17.400]   source of ground truth
[00:41:17.400 --> 00:41:19.700]   the reliable sensor
[00:41:19.700 --> 00:41:22.900]   relied upon on vehicles that don't care about cost
[00:41:22.900 --> 00:41:27.300]   and camera
[00:41:27.300 --> 00:41:30.300]   the thing that most people here should be passionate about
[00:41:30.300 --> 00:41:32.000]   because machine learning
[00:41:32.300 --> 00:41:34.900]   deep learning has the most ability
[00:41:34.900 --> 00:41:36.700]   to have a significant impact there
[00:41:36.700 --> 00:41:37.600]   why?
[00:41:37.600 --> 00:41:39.000]   first is cheap
[00:41:39.000 --> 00:41:40.200]   so it's everywhere
[00:41:40.200 --> 00:41:42.200]   second is the highest resolution
[00:41:42.200 --> 00:41:43.300]   so there's the most
[00:41:43.300 --> 00:41:46.200]   the most highly dense amount of information
[00:41:46.200 --> 00:41:48.300]   which means
[00:41:48.300 --> 00:41:51.800]   information is something that could be learned
[00:41:51.800 --> 00:41:53.100]   and inferred
[00:41:53.100 --> 00:41:54.500]   to interpret
[00:41:54.500 --> 00:41:55.900]   the external scene
[00:41:55.900 --> 00:41:59.200]   that's why it's the best source of data
[00:41:59.200 --> 00:42:01.200]   for understanding the scene
[00:42:02.100 --> 00:42:03.200]   and the other reason
[00:42:03.200 --> 00:42:04.900]   it's awesome for deep learning
[00:42:04.900 --> 00:42:05.900]   is because of the
[00:42:05.900 --> 00:42:09.100]   hugeness of data involved
[00:42:09.100 --> 00:42:13.700]   the, it's many orders of magnitude more data available
[00:42:13.700 --> 00:42:14.500]   for driving
[00:42:14.500 --> 00:42:17.500]   in camera, visible light or infrared
[00:42:17.500 --> 00:42:19.200]   than it is in LiDAR
[00:42:19.200 --> 00:42:22.700]   the
[00:42:22.700 --> 00:42:26.700]   and our world is designed
[00:42:26.700 --> 00:42:28.800]   for visible light
[00:42:28.800 --> 00:42:31.700]   our eyes work in similar ways the cameras
[00:42:32.700 --> 00:42:34.200]   at least crudely so
[00:42:34.200 --> 00:42:36.000]   the source data is similar
[00:42:36.000 --> 00:42:38.200]   the lane markings
[00:42:38.200 --> 00:42:40.400]   the traffic signs, the traffic lights
[00:42:40.400 --> 00:42:41.600]   the other vehicles
[00:42:41.600 --> 00:42:44.100]   the other pedestrians all operate
[00:42:44.100 --> 00:42:46.700]   with each other in this RGB space
[00:42:46.700 --> 00:42:49.700]   in terms of visual characteristics
[00:42:49.700 --> 00:42:52.300]   the downside is cameras are
[00:42:52.300 --> 00:42:54.800]   bad at depth estimation
[00:42:54.800 --> 00:42:58.300]   it's noisy and difficult even with stereo vision cameras
[00:42:58.300 --> 00:43:00.800]   to estimate depth relative to LiDAR
[00:43:01.800 --> 00:43:04.000]   and they're not good in extreme weather
[00:43:04.000 --> 00:43:05.500]   and they're not good
[00:43:05.500 --> 00:43:07.400]   at least visible light cameras at night
[00:43:07.400 --> 00:43:11.900]   so let's compare the ranges
[00:43:11.900 --> 00:43:14.400]   here's a plot in meters
[00:43:14.400 --> 00:43:16.700]   on the x-axis of the range
[00:43:16.700 --> 00:43:20.200]   and acuity
[00:43:20.200 --> 00:43:22.500]   on the y-axis
[00:43:22.500 --> 00:43:26.800]   with ultrasonic, LiDAR, radar
[00:43:26.800 --> 00:43:27.800]   and
[00:43:28.700 --> 00:43:30.900]   camera passive visual sensor
[00:43:30.900 --> 00:43:31.900]   plotted
[00:43:31.900 --> 00:43:35.200]   the range of cameras
[00:43:35.200 --> 00:43:36.800]   is the greatest
[00:43:36.800 --> 00:43:38.600]   this is looking at
[00:43:38.600 --> 00:43:41.700]   we're going to look at several different conditions
[00:43:41.700 --> 00:43:44.200]   this is for clear well-lit conditions
[00:43:44.200 --> 00:43:45.700]   so during the day
[00:43:45.700 --> 00:43:47.300]   no rain
[00:43:47.300 --> 00:43:49.500]   no fog
[00:43:49.500 --> 00:43:52.400]   LiDAR and radar have a smaller range
[00:43:52.400 --> 00:43:53.600]   under 200 meters
[00:43:53.600 --> 00:43:57.400]   and ultrasonic sensors used mostly for park assistance
[00:43:57.400 --> 00:43:58.600]   and these kinds of things
[00:43:58.600 --> 00:44:00.200]   and blind spot warning
[00:44:00.200 --> 00:44:02.000]   has terrible range
[00:44:02.000 --> 00:44:04.400]   is designed for extremely close
[00:44:04.400 --> 00:44:05.900]   as high resolution
[00:44:05.900 --> 00:44:08.600]   distance estimation for extremely close distances
[00:44:08.600 --> 00:44:12.600]   here a little bit small
[00:44:12.600 --> 00:44:13.700]   but looking at
[00:44:13.700 --> 00:44:15.900]   up top is clear well-lit conditions
[00:44:15.900 --> 00:44:17.000]   the plot we just looked at
[00:44:17.000 --> 00:44:19.300]   and on bottom is clear dark conditions
[00:44:19.300 --> 00:44:21.600]   so just a clear night day
[00:44:21.600 --> 00:44:22.800]   no rain
[00:44:22.800 --> 00:44:25.100]   but it's night
[00:44:25.600 --> 00:44:28.900]   and on the bottom right is heavy rain, snow or fog
[00:44:28.900 --> 00:44:31.600]   vision falls apart
[00:44:31.600 --> 00:44:34.000]   in terms of range and accuracy
[00:44:34.000 --> 00:44:36.700]   under dark conditions
[00:44:36.700 --> 00:44:38.900]   and in rain, snow or fog
[00:44:38.900 --> 00:44:42.700]   radar, our old trusted friend
[00:44:42.700 --> 00:44:44.100]   stays strong
[00:44:44.100 --> 00:44:46.100]   the same range
[00:44:46.100 --> 00:44:47.700]   just under 200 meters
[00:44:47.700 --> 00:44:49.300]   and at the same acuity
[00:44:49.300 --> 00:44:52.200]   same with sonar
[00:44:53.600 --> 00:44:55.900]   LiDAR works well at night
[00:44:55.900 --> 00:44:59.400]   but it does not do well with rain or fog or snow
[00:44:59.400 --> 00:45:03.700]   one of the biggest downsides of LiDAR
[00:45:03.700 --> 00:45:06.000]   other than cost
[00:45:06.000 --> 00:45:08.600]   so here's another interesting way to visualize this
[00:45:08.600 --> 00:45:10.000]   that I think is productive
[00:45:10.000 --> 00:45:11.400]   for our discussion
[00:45:11.400 --> 00:45:13.300]   of which sensor will win out
[00:45:13.300 --> 00:45:16.800]   is it the Elon Musk prediction of camera
[00:45:16.800 --> 00:45:20.200]   or is it the Waymo prediction of LiDAR
[00:45:23.000 --> 00:45:23.800]   for LiDAR
[00:45:23.800 --> 00:45:26.900]   in this kind of plot that will look for every single sensor
[00:45:26.900 --> 00:45:31.600]   the greater the radius of the blue
[00:45:31.600 --> 00:45:35.100]   the more successful that sensor is
[00:45:35.100 --> 00:45:36.400]   at accomplishing that feature
[00:45:36.400 --> 00:45:37.600]   with a bunch of features
[00:45:37.600 --> 00:45:40.600]   lined up around the circle
[00:45:40.600 --> 00:45:43.200]   so range for LiDAR is pretty good
[00:45:43.200 --> 00:45:44.800]   not great but pretty good
[00:45:44.800 --> 00:45:47.100]   resolution is also pretty good
[00:45:47.100 --> 00:45:48.900]   it works in the dark
[00:45:48.900 --> 00:45:50.500]   it works in bright light
[00:45:51.100 --> 00:45:53.100]   but it falls apart in the snow
[00:45:53.100 --> 00:45:55.900]   it does not provide
[00:45:55.900 --> 00:45:58.900]   color information, texture information, contrast
[00:45:58.900 --> 00:46:01.100]   it's able to detect speed
[00:46:01.100 --> 00:46:03.800]   but the sensor size at least to date
[00:46:03.800 --> 00:46:04.900]   is huge
[00:46:04.900 --> 00:46:07.400]   the sensor cost at least to date
[00:46:07.400 --> 00:46:08.900]   is extremely expensive
[00:46:08.900 --> 00:46:11.700]   and it doesn't do well
[00:46:11.700 --> 00:46:13.000]   in proximity
[00:46:13.000 --> 00:46:15.100]   where ultrasonic shines
[00:46:15.100 --> 00:46:17.400]   speaking of which
[00:46:17.400 --> 00:46:19.900]   ultrasonic is a very important feature
[00:46:19.900 --> 00:46:21.900]   ultrasonic same kind of plot
[00:46:21.900 --> 00:46:24.000]   does well in proximity detection
[00:46:24.000 --> 00:46:26.400]   it's cheap, the cheapest sensor of the four
[00:46:26.400 --> 00:46:29.800]   and sensor size you can get it to be tiny
[00:46:29.800 --> 00:46:33.400]   it works in snow, fog and rain
[00:46:33.400 --> 00:46:36.300]   but its resolution is terrible
[00:46:36.300 --> 00:46:38.100]   its range is non-existent
[00:46:38.100 --> 00:46:41.100]   and it's not able to detect speed
[00:46:41.100 --> 00:46:44.300]   that's where radar steps up
[00:46:44.300 --> 00:46:45.700]   it's able to detect speed
[00:46:45.700 --> 00:46:47.000]   it's also cheap
[00:46:47.000 --> 00:46:49.300]   it's also small
[00:46:49.800 --> 00:46:53.900]   but the resolution is very low
[00:46:53.900 --> 00:46:55.800]   and it's just like LIDAR
[00:46:55.800 --> 00:46:57.900]   is not able to provide texture information
[00:46:57.900 --> 00:46:58.800]   color information
[00:46:58.800 --> 00:47:00.900]   camera
[00:47:00.900 --> 00:47:04.800]   the sensor cost is cheap
[00:47:04.800 --> 00:47:06.700]   the sensor size is small
[00:47:06.700 --> 00:47:09.500]   not good up close proximity
[00:47:09.500 --> 00:47:12.100]   the range is the longest of all of them
[00:47:12.100 --> 00:47:14.800]   resolution is the best of all of them
[00:47:14.800 --> 00:47:16.600]   it doesn't work in the dark
[00:47:17.300 --> 00:47:19.500]   it works in bright light
[00:47:19.500 --> 00:47:20.600]   but not always
[00:47:20.600 --> 00:47:23.000]   one of the biggest downfalls of camera sensors
[00:47:23.000 --> 00:47:25.400]   is the sensitivity to lighting variation
[00:47:25.400 --> 00:47:27.000]   it works
[00:47:27.000 --> 00:47:29.700]   it doesn't work in the snow, fog, rain
[00:47:29.700 --> 00:47:32.900]   so suffers much like LIDAR from that
[00:47:32.900 --> 00:47:35.200]   but it provides rich
[00:47:35.200 --> 00:47:38.400]   interesting textural information
[00:47:38.400 --> 00:47:40.800]   the very kind that deep learning needs
[00:47:40.800 --> 00:47:42.000]   to make sense of this world
[00:47:42.000 --> 00:47:44.400]   so let's
[00:47:45.300 --> 00:47:47.500]   look at the cheap sensors
[00:47:47.500 --> 00:47:50.700]   ultrasonic radar
[00:47:50.700 --> 00:47:52.700]   and cameras
[00:47:52.700 --> 00:47:54.100]   which is one approach
[00:47:54.100 --> 00:47:56.900]   putting a bunch of those in a car
[00:47:56.900 --> 00:47:58.000]   and fusing them together
[00:47:58.000 --> 00:48:01.200]   the cost there is low
[00:48:01.200 --> 00:48:05.000]   one of the nice ways to visualize
[00:48:05.000 --> 00:48:06.700]   using this visualization technique
[00:48:06.700 --> 00:48:09.700]   when they're fused together on the bottom
[00:48:09.700 --> 00:48:11.400]   it gives you a sense
[00:48:11.400 --> 00:48:14.400]   of them working together
[00:48:14.600 --> 00:48:16.500]   to complement each other's strengths
[00:48:16.500 --> 00:48:21.600]   and the question is
[00:48:21.600 --> 00:48:23.900]   whether camera or LIDAR will win out
[00:48:23.900 --> 00:48:27.100]   for partial autonomy or full autonomy
[00:48:27.100 --> 00:48:29.900]   on the bottom showing
[00:48:29.900 --> 00:48:32.400]   this kind of visualization for a
[00:48:32.400 --> 00:48:33.800]   LIDAR sensor
[00:48:33.800 --> 00:48:36.500]   and on top showing this kind of visualization
[00:48:36.500 --> 00:48:37.700]   for fused
[00:48:37.700 --> 00:48:40.600]   radar, ultrasonic and camera
[00:48:42.900 --> 00:48:45.200]   at least under these considerations
[00:48:45.200 --> 00:48:48.500]   the fusion of the cheap sensors
[00:48:48.500 --> 00:48:50.400]   can do as well as LIDAR
[00:48:50.400 --> 00:48:53.600]   now the open question is whether LIDAR
[00:48:53.600 --> 00:48:55.200]   in the future of this technology
[00:48:55.200 --> 00:48:56.500]   can become cheap
[00:48:56.500 --> 00:48:57.800]   and its range can increase
[00:48:57.800 --> 00:48:59.700]   because then LIDAR can win out
[00:48:59.700 --> 00:49:02.100]   solid-state LIDAR
[00:49:02.100 --> 00:49:03.400]   and a lot of developments
[00:49:03.400 --> 00:49:06.200]   with a lot of startup LIDAR companies
[00:49:06.200 --> 00:49:08.300]   are promising to decrease the cost
[00:49:08.300 --> 00:49:10.500]   and increase the range of these sensors
[00:49:10.500 --> 00:49:12.600]   but for now
[00:49:13.100 --> 00:49:14.300]   we plow along
[00:49:14.300 --> 00:49:18.000]   dedication on the camera front
[00:49:18.000 --> 00:49:21.400]   the annotated driving data grows
[00:49:21.400 --> 00:49:23.000]   exponentially
[00:49:23.000 --> 00:49:25.500]   more and more people
[00:49:25.500 --> 00:49:27.100]   are beginning to annotate
[00:49:27.100 --> 00:49:29.000]   and study
[00:49:29.000 --> 00:49:31.000]   the particular driving
[00:49:31.000 --> 00:49:33.500]   perception and control problems
[00:49:33.500 --> 00:49:36.900]   and the very algorithms
[00:49:36.900 --> 00:49:39.900]   for the supervised and semi-supervised
[00:49:39.900 --> 00:49:41.900]   and generative networks that we use
[00:49:41.900 --> 00:49:43.000]   to work with this data
[00:49:43.000 --> 00:49:44.200]   are improving
[00:49:44.200 --> 00:49:45.800]   so it's a race
[00:49:45.800 --> 00:49:48.700]   and of course radar and ultrasonic
[00:49:48.700 --> 00:49:50.000]   are always there to help
[00:49:50.000 --> 00:49:51.900]   so
[00:49:51.900 --> 00:49:55.000]   companies that are playing in the space
[00:49:55.000 --> 00:49:57.900]   some of them are speaking here
[00:49:57.900 --> 00:50:02.000]   Waymo
[00:50:02.000 --> 00:50:05.500]   in April 2017
[00:50:05.500 --> 00:50:08.500]   they exited their testing
[00:50:08.500 --> 00:50:09.700]   their extensive
[00:50:09.700 --> 00:50:11.000]   impressive
[00:50:11.400 --> 00:50:12.500]   testing process
[00:50:12.500 --> 00:50:15.800]   and allowed a first rider in Phoenix
[00:50:15.800 --> 00:50:16.700]   public rider
[00:50:16.700 --> 00:50:20.000]   in November 2017
[00:50:20.000 --> 00:50:22.900]   it's an incredible accomplishment
[00:50:22.900 --> 00:50:23.900]   for a company
[00:50:23.900 --> 00:50:26.400]   and for an artificial intelligence system
[00:50:26.400 --> 00:50:28.100]   in November 2017
[00:50:28.100 --> 00:50:29.800]   no safety driver
[00:50:29.800 --> 00:50:33.100]   so the car truly achieved full autonomy
[00:50:33.100 --> 00:50:35.600]   under a lot of constraints
[00:50:35.600 --> 00:50:37.700]   but it's full autonomy
[00:50:37.700 --> 00:50:38.700]   it's a step
[00:50:38.700 --> 00:50:40.800]   it's a amazing step
[00:50:40.800 --> 00:50:43.100]   in the direction towards full autonomy
[00:50:43.100 --> 00:50:45.700]   much sooner than people would otherwise predict
[00:50:45.700 --> 00:50:47.700]   and the miles
[00:50:47.700 --> 00:50:50.300]   4 million miles driven autonomously
[00:50:50.300 --> 00:50:51.900]   by November 2017
[00:50:51.900 --> 00:50:52.900]   and growing
[00:50:52.900 --> 00:50:54.100]   quickly growing
[00:50:54.100 --> 00:50:56.300]   in terms of full autonomous driving
[00:50:56.300 --> 00:50:59.300]   if I can say so cautiously
[00:50:59.300 --> 00:51:01.700]   because most of those miles have
[00:51:01.700 --> 00:51:03.500]   a safety driver
[00:51:03.500 --> 00:51:05.400]   so I would argue it's not full autonomy
[00:51:05.400 --> 00:51:08.300]   but however they define full autonomy
[00:51:08.300 --> 00:51:10.100]   it's 4 million miles driven
[00:51:11.000 --> 00:51:11.700]   incredible
[00:51:11.700 --> 00:51:13.700]   Uber
[00:51:13.700 --> 00:51:16.700]   in terms of miles second on that list
[00:51:16.700 --> 00:51:19.700]   they have driven 2 million miles autonomously
[00:51:19.700 --> 00:51:22.100]   by December of this
[00:51:22.100 --> 00:51:23.200]   of last year
[00:51:23.200 --> 00:51:24.400]   2017
[00:51:24.400 --> 00:51:29.000]   the quiet player here
[00:51:29.000 --> 00:51:33.100]   in terms of not making any declarations
[00:51:33.100 --> 00:51:34.500]   of being fully autonomous
[00:51:34.500 --> 00:51:38.100]   just quietly driving in a human-centered way
[00:51:38.100 --> 00:51:38.900]   L2
[00:51:39.900 --> 00:51:42.700]   over 1 billion miles in autopilot
[00:51:42.700 --> 00:51:46.400]   over 300,000 vehicles
[00:51:46.400 --> 00:51:48.000]   today are equipped
[00:51:48.000 --> 00:51:50.200]   with autopilot technology
[00:51:50.200 --> 00:51:51.700]   with ability to drive
[00:51:51.700 --> 00:51:53.200]   control the car
[00:51:53.200 --> 00:51:55.100]   laterally and longitudinally
[00:51:55.100 --> 00:51:57.400]   and if
[00:51:57.400 --> 00:51:59.400]   anyone believes
[00:51:59.400 --> 00:52:02.800]   the CEO of Tesla
[00:52:02.800 --> 00:52:06.100]   there will be over 1 million such vehicles
[00:52:06.100 --> 00:52:08.100]   by the end of 2018
[00:52:08.200 --> 00:52:12.700]   but no matter what
[00:52:12.700 --> 00:52:16.000]   the 300,000 is an incredible number
[00:52:16.000 --> 00:52:17.700]   and the 1 billion miles
[00:52:17.700 --> 00:52:19.100]   is an incredible number
[00:52:19.100 --> 00:52:23.900]   autopilot was first released in September 2014
[00:52:23.900 --> 00:52:25.800]   one of the first systems
[00:52:25.800 --> 00:52:27.400]   on the road to do so
[00:52:27.400 --> 00:52:29.300]   autopilot
[00:52:29.300 --> 00:52:32.700]   and I call myself as one of the skeptics
[00:52:32.700 --> 00:52:36.300]   in October 2016
[00:52:36.300 --> 00:52:38.900]   autopilot decided to let go
[00:52:38.900 --> 00:52:40.500]   of an incredible
[00:52:40.500 --> 00:52:44.100]   work done by Mobileye now Intel
[00:52:44.100 --> 00:52:48.700]   with designing their perception control system
[00:52:48.700 --> 00:52:50.500]   they decided to let go of it completely
[00:52:50.500 --> 00:52:51.700]   and start from scratch
[00:52:51.700 --> 00:52:54.600]   using mostly deep learning methods
[00:52:54.600 --> 00:52:56.600]   the dry PX2 system from
[00:52:56.600 --> 00:52:57.800]   NVIDIA
[00:52:57.800 --> 00:52:59.900]   and eight cameras
[00:52:59.900 --> 00:53:02.200]   they decided to start from scratch
[00:53:02.200 --> 00:53:05.300]   that's the kind of boldness
[00:53:06.300 --> 00:53:07.900]   the kind of risk-taking
[00:53:07.900 --> 00:53:10.100]   that can come with naivety
[00:53:10.100 --> 00:53:12.600]   but in this case it worked
[00:53:12.600 --> 00:53:14.700]   incredible
[00:53:14.700 --> 00:53:17.700]   Audi A8 system
[00:53:17.700 --> 00:53:20.800]   is going to be released at the end of 2018
[00:53:20.800 --> 00:53:22.400]   and it's promising
[00:53:22.400 --> 00:53:23.400]   one of the first vehicles
[00:53:23.400 --> 00:53:25.400]   that's promising what they're calling L3
[00:53:25.400 --> 00:53:29.500]   and the definition of L3
[00:53:29.500 --> 00:53:34.600]   according to Thorsten Lionheart
[00:53:34.600 --> 00:53:36.100]   the head of the automated driving
[00:53:36.100 --> 00:53:37.200]   in Audi
[00:53:37.200 --> 00:53:38.700]   in Audi
[00:53:38.700 --> 00:53:42.400]   is when the function is operate as intended
[00:53:42.400 --> 00:53:45.800]   if the customer turns the traffic jam pilot on
[00:53:45.800 --> 00:53:46.800]   now
[00:53:46.800 --> 00:53:49.500]   this L3 system is designed
[00:53:49.500 --> 00:53:50.700]   only for traffic jams
[00:53:50.700 --> 00:53:52.000]   bump into bumper traffic
[00:53:52.000 --> 00:53:53.900]   under
[00:53:53.900 --> 00:53:56.300]   60 kilometers an hour
[00:53:56.300 --> 00:54:00.400]   if the customer turns the traffic jam pilot on
[00:54:00.400 --> 00:54:01.800]   and uses it as intended
[00:54:01.800 --> 00:54:02.700]   and the car was
[00:54:03.200 --> 00:54:05.500]   in control at the time of the accident
[00:54:05.500 --> 00:54:07.500]   the driver goes to the insurance company
[00:54:07.500 --> 00:54:09.000]   and the insurance company will
[00:54:09.000 --> 00:54:11.200]   compensate the victims of the accident
[00:54:11.200 --> 00:54:12.200]   and an aftermath
[00:54:12.200 --> 00:54:13.600]   they come to us
[00:54:13.600 --> 00:54:15.100]   we will pay them
[00:54:15.100 --> 00:54:18.200]   so that means the car is liable
[00:54:18.200 --> 00:54:20.700]   the problem is
[00:54:20.700 --> 00:54:25.000]   under the definition of L2 L3
[00:54:25.000 --> 00:54:27.000]   perhaps there is some truth to this
[00:54:27.000 --> 00:54:28.300]   being an L3 system
[00:54:28.300 --> 00:54:31.200]   the important thing here is
[00:54:31.200 --> 00:54:34.600]   it's nevertheless deeply and fundamentally human-centered
[00:54:34.600 --> 00:54:37.700]   because even as you see here in this demonstration video
[00:54:37.700 --> 00:54:39.100]   with a reporter
[00:54:39.100 --> 00:54:40.400]   the car
[00:54:40.400 --> 00:54:43.500]   for a poorly understood reason
[00:54:43.500 --> 00:54:45.100]   transfer control to the driver
[00:54:45.100 --> 00:54:46.100]   says that's it
[00:54:46.100 --> 00:54:48.700]   I can't take care of the situation
[00:54:48.700 --> 00:54:49.900]   you take control
[00:54:49.900 --> 00:54:51.300]   how
[00:54:51.300 --> 00:54:54.800]   how much time do you have
[00:54:54.800 --> 00:54:58.200]   in terms of seconds before you really need to know to take over
[00:54:58.200 --> 00:55:00.900]   well this is the new thing about L3
[00:55:01.200 --> 00:55:02.500]   with L3
[00:55:02.500 --> 00:55:04.700]   the system allows the driver
[00:55:04.700 --> 00:55:06.700]   to give the prompt
[00:55:06.700 --> 00:55:08.300]   to take over vehicle control
[00:55:08.300 --> 00:55:09.600]   again ahead of time
[00:55:09.600 --> 00:55:10.100]   which is
[00:55:10.100 --> 00:55:13.600]   in this case up to 10 seconds
[00:55:13.600 --> 00:55:14.200]   okay
[00:55:14.200 --> 00:55:15.100]   so
[00:55:15.100 --> 00:55:18.600]   if the traffic jam situation clears up or
[00:55:18.600 --> 00:55:21.500]   any failure in the system occurs
[00:55:21.500 --> 00:55:22.800]   everything you might think of
[00:55:22.800 --> 00:55:25.400]   the system still needs to be able to drive
[00:55:25.400 --> 00:55:26.300]   automatically
[00:55:26.300 --> 00:55:28.700]   because the driver has this time
[00:55:28.700 --> 00:55:30.000]   to take over
[00:55:31.000 --> 00:55:32.000]   you might ask
