
[00:00:00.000 --> 00:00:05.300]   Do you want to fly first class for less than the cost of economy or even just cut your economy
[00:49:09.920 --> 00:49:12.860]   But aside from that, I don't know of any good, really good uses.
[00:49:12.860 --> 00:49:15.000]   Yeah, they rarely have a transfer bonus.
[00:49:15.000 --> 00:49:16.800]   The miles do expire, right?
[00:49:16.800 --> 00:49:17.860]   Yeah.
[00:49:17.860 --> 00:49:18.340]   Yeah.
[00:49:18.340 --> 00:49:23.040]   So, you know, don't transfer until you're ready to use it.
[00:49:23.040 --> 00:49:34.160]   And you can even if in that airport example, as long as transfers are back and working, which I believe they are, you don't have to transfer the miles in the hope that you'll get upgraded at the airport.
[00:49:34.160 --> 00:49:37.420]   What you do is you ask at the airport, can I upgrade with miles?
[00:49:37.420 --> 00:49:43.540]   If they say yes, then transfer the amount of miles you need right then and there, then you should be good.
[00:49:43.540 --> 00:49:44.160]   Yeah.
[00:49:44.160 --> 00:49:50.100]   Most of the transfer programs now, and we might call out a couple exceptions, are pretty instant.
[00:49:50.100 --> 00:49:55.840]   I think ANA is the most notorious one of taking a while, but most of them are instant.
[00:49:55.840 --> 00:50:01.840]   And you could probably search online pretty easily, Emirates transfer time, and you'll probably get an answer.
[00:50:01.840 --> 00:50:02.740]   But I know that one's instant.
[00:50:02.860 --> 00:50:05.240]   So, yes, don't transfer speculatively for an upgrade.
[00:50:05.240 --> 00:50:06.260]   Transfer at the counter.
[00:50:06.260 --> 00:50:09.680]   This episode is brought to you by OpenPhone.
[00:50:09.680 --> 00:50:14.840]   If you're running a business, you know that every time you miss a call, you're leaving money on the table.
[00:50:14.840 --> 00:50:21.600]   When every customer conversation matters, you need a phone system that keeps up and helps you stay connected 24-7.
[00:50:21.600 --> 00:50:25.540]   With OpenPhone, you'll never miss an opportunity to connect with your customers.
[00:50:25.540 --> 00:50:31.040]   OpenPhone is the number one business phone system that streamlines and scales your customer communications.
[00:50:31.560 --> 00:50:35.340]   It works right on your phone or computer, so you don't need to carry a second phone.
[00:50:35.340 --> 00:50:43.000]   And if you work with a team, you can all collaborate on texts and calls like a shared inbox, keeping response times faster than ever.
[00:50:43.000 --> 00:50:44.200]   The best part?
[00:50:44.200 --> 00:50:46.040]   You can say goodbye to voicemails.
[00:50:46.040 --> 00:50:52.860]   OpenPhone's AI agent can answer questions, handle calls after hours, and even capture new leads automatically.
[00:50:53.120 --> 00:51:02.500]   So, if you're a solo operator or managing a growing team, you've got to check out OpenPhone and see why over 60,000 businesses trust them for customer communications.
[00:51:02.500 --> 00:51:09.900]   And right now, OpenPhone is offering listeners 20% off your first six months at allthehacks.com slash openphone.
[00:51:09.900 --> 00:51:13.480]   That's allthehacks.com slash openphone.
[00:51:13.480 --> 00:51:16.320]   O-P-E-N-P-H-O-N-E.
[00:51:16.320 --> 00:51:21.780]   And if you have existing numbers with another service, OpenPhone will port them over at no extra charge.
[00:51:21.780 --> 00:51:22.960]   OpenPhone.
[00:51:22.960 --> 00:51:24.180]   No missed calls.
[00:51:24.180 --> 00:51:25.400]   No missed customers.
[00:51:25.400 --> 00:51:28.060]   Thank you for being here today.
[00:51:28.180 --> 00:51:34.540]   You can find all the links, promo codes, and discounts from all our partners at allthehacks.com slash deals.
[00:51:34.540 --> 00:51:39.540]   They're all brands I love and use, so please consider supporting those who support us.
[00:51:39.540 --> 00:51:41.000]   Okay, what about Singapore?
[00:51:41.000 --> 00:51:46.200]   That's one that I've never actually used the points for, but I know you can transfer from almost every program.
[00:51:46.200 --> 00:51:49.660]   Yeah, they used to have a lot of sweet spots, but not anymore.
[00:51:49.660 --> 00:51:52.760]   Their award chart is just really pretty bad.
[00:51:52.760 --> 00:51:59.660]   Best use is the fact that you can't use partner miles to book Singapore first class or Singapore suites.
[00:51:59.660 --> 00:52:08.660]   And so if your heart is set on trying Singapore's first class or first class suites, then you need Singapore miles to book that.
[00:52:08.660 --> 00:52:14.800]   But even then, it's hard to find the saver level award availability for that.
[00:52:14.800 --> 00:52:17.880]   So it's not a program I appreciate.
[00:52:17.880 --> 00:52:20.660]   Plus, miles expire in three years.
[00:52:20.660 --> 00:52:22.480]   You know, there's not much you can do about it.
[00:52:22.480 --> 00:52:26.340]   And so I'm very, not a fan of that program.
[00:52:26.340 --> 00:52:27.000]   Yeah.
[00:52:27.000 --> 00:52:30.720]   Yeah, many programs have some expiration.
[00:52:30.720 --> 00:52:35.800]   When we're calling them out, Emirates and Singapore, there's not really a way to extend them, right?
[00:52:35.800 --> 00:52:44.600]   So for some programs, they might expire, but if you transferred 1,000 miles or you made a donation or you bought a magazine, you can kind of sometimes extend those things.
[00:52:44.600 --> 00:52:47.500]   But with Singapore, with Emirates, it's like, they're gone.
[00:52:47.500 --> 00:52:48.360]   They're gone.
[00:52:48.360 --> 00:52:49.300]   Yeah, exactly.
[00:52:49.300 --> 00:52:50.440]   I hate that.
[00:52:50.940 --> 00:52:56.660]   That seems to be really common with Asian airlines and, in some cases, as you pointed out, Middle Eastern.
[00:52:56.660 --> 00:52:58.820]   What about Cathay Pacific?
[00:52:58.820 --> 00:53:08.120]   It's a one-world program, which means you can use their miles to fly American Airlines, Alaska, British Airways, all those kind of different things.
[00:53:08.660 --> 00:53:19.900]   One really good sweet spot that not many people know about is when you book British Airways flights from the U.S. East.
[00:53:19.900 --> 00:53:32.060]   I'm not sure exactly where the cutoff is, but if you're flying from an eastern city to London on British Airways with Cathay Pacific miles, surcharges are very, very low.
[00:53:32.060 --> 00:53:40.560]   So I think they're less than $200, and that was exactly, actually, when I mentioned before that my wife and I booked a flight and then I had to find a way to get my son on.
[00:53:40.560 --> 00:53:49.720]   I had booked us using Cathay Pacific miles, but there were only two seats available to partners from that British Airways flight.
[00:53:49.780 --> 00:53:55.940]   So then I had to get on British Airways and find one that was available to British Airways themselves for the third seat for my son.
[00:53:55.940 --> 00:53:58.280]   Anyway, so that can be a great deal.
[00:53:58.280 --> 00:54:04.200]   Another good use is flying Cathay Pacific itself because you'll find better award availability.
[00:54:04.460 --> 00:54:19.900]   So award prices aren't amazing, but again, if they are compared to the cash rates, if you can find business or first class to fly to Hong Kong or beyond, Hong Kong is where they're based, then that can be a great deal.
[00:54:19.900 --> 00:54:27.520]   They have an interesting award chart where it's distance based, but it has a limit to how far that distance goes.
[00:54:27.520 --> 00:54:34.140]   So what happens is when you go further than the top band of the distance chart, they don't charge more.
[00:54:34.140 --> 00:54:44.440]   And the reason that's interesting is that they average the award based on what cabin you flew, how far you flew each cabin of service.
[00:54:44.620 --> 00:54:56.940]   So if you fly 50% in economy and 50% in business class, the award price will be half of what economy price would be and half of what the business class price would be.
[00:54:56.940 --> 00:55:03.860]   I know this is very complicated, but what this means is like sometimes if you fly further, the award price goes down.
[00:55:03.860 --> 00:55:06.920]   So let's say you want to fly first class from Chicago to Hong Kong.
[00:55:07.300 --> 00:55:09.940]   You're already at the top of the word chart distance band now.
[00:55:09.940 --> 00:55:21.820]   If you fly further, let's say you fly all the way to South Africa in a lower cabin, you fly in business class instead of first class or economy instead of first class, that'll bring the award price down.
[00:55:21.820 --> 00:55:29.840]   So you're still flowing that just as far in first class as the original price, but now because you're going further, the award price goes down.
[00:55:29.840 --> 00:55:30.600]   It's crazy.
[00:55:30.840 --> 00:55:37.660]   Yeah, some of these charts have these nuances where it's like when you figure them out, you did a whole episode I'll link to that's like flying further to save.
[00:55:37.660 --> 00:55:40.820]   So yeah, yeah, I'll link to that if people want to go deeper.
[00:55:40.820 --> 00:55:45.360]   The Cathay does have transfer bonuses, but they're usually 10 to 20%.
[00:55:45.360 --> 00:55:47.300]   There's not transfer bonuses there.
[00:55:47.300 --> 00:55:51.700]   So not going to outsized value waiting for them.
[00:55:51.700 --> 00:55:54.220]   But if one's happening, definitely take advantage.
[00:55:54.220 --> 00:55:59.580]   This is just not one to keep your miles in to, you know, to hoard miles into this program.
[00:55:59.580 --> 00:56:02.080]   The uses for it are too specific.
[00:56:02.080 --> 00:56:09.020]   So now the next one, pretty common, you know, Amex Capital One City is Avianca Life Miles.
[00:56:09.020 --> 00:56:14.400]   So I'll keep this in the, it has a ton of partners before we kind of go into the niche ones.
[00:56:14.400 --> 00:56:17.440]   But I think it definitely has the most transfer bonuses.
[00:56:17.440 --> 00:56:21.140]   You know, there've been years as many as 12 transfer bonuses in one year.
[00:56:21.140 --> 00:56:23.080]   How do you think about Life Mile?
[00:56:23.080 --> 00:56:24.540]   Is it a program you use a lot?
[00:56:24.540 --> 00:56:28.940]   I don't because it's kind of a pain to work with in a number of ways.
[00:56:28.940 --> 00:56:34.100]   And I don't think we should dive into all the ways it's a pain to work with.
[00:56:34.100 --> 00:56:36.440]   But let's talk about some of its advantages first.
[00:56:36.440 --> 00:56:39.840]   They don't charge fuel surcharges on any award flight.
[00:56:39.840 --> 00:56:42.320]   That's also true, by the way, with Air Canada Aeroplane.
[00:56:42.380 --> 00:56:43.440]   I forgot to mention earlier.
[00:56:43.440 --> 00:56:45.480]   And so that's great.
[00:56:45.480 --> 00:56:56.200]   They have some great pricing, but it's kind of all over the place in that sometimes there's like incredible deals to a particular city.
[00:56:56.200 --> 00:56:59.420]   Like they don't have a consistent award price.
[00:56:59.640 --> 00:57:07.920]   They seem to like, it seems like, you know, most awards to Europe cost this much, but then you might find a particular city where, oh, it's even less if you go there.
[00:57:07.920 --> 00:57:13.580]   So that's great if you can find it, if it works for you, but it's, it's inconsistent.
[00:57:13.580 --> 00:57:14.920]   High change fees.
[00:57:14.920 --> 00:57:19.040]   I hate that, that unless you subscribe.
[00:57:19.480 --> 00:57:27.420]   So unless you pay monthly into their program for like extra benefits, you have to pay very high change fees and cancellation fees.
[00:57:27.420 --> 00:57:36.180]   That's probably my number one thing that kind of keeps me away from investing too much in this program is that like, well, all right, they're difficult to work with.
[00:57:36.180 --> 00:57:43.280]   And unless I really buy into them, which I don't want to do on a program that's difficult to work with, you have these high change fees.
[00:57:43.280 --> 00:57:51.400]   So for me, it's just too common for me to want to change, you know, a flight to want to deal with that.
[00:57:51.400 --> 00:57:51.800]   Yep.
[00:57:51.800 --> 00:57:58.700]   I made a, well, TBD, if it's a mistake yet, but there was a hundred percent transfer bonus with built.
[00:57:58.700 --> 00:58:02.380]   I moved over a hundred thousand or 150,000 points.
[00:58:02.380 --> 00:58:07.560]   So I have about 300,000 life miles right now and I haven't been able to use them.
[00:58:07.560 --> 00:58:12.800]   And not because I haven't tried, but there's been a trip and it was like, oh, well, it's not a bad deal with life miles,
[00:58:12.800 --> 00:58:15.040]   but we're not a hundred percent sure we're going to take it.
[00:58:15.040 --> 00:58:23.620]   If we cancel, it's going to cost us hundreds and hundreds of dollars or we subscribe to this thing for six months and we just spend hundreds of dollars.
[00:58:23.620 --> 00:58:29.060]   And you want to make that decision in advance because it also gets you a discount on the flight.
[00:58:29.060 --> 00:58:33.620]   And it just felt like there were enough gotchas that we didn't end up using it.
[00:58:33.620 --> 00:58:38.220]   Now, I will find a way to use it because, you know, 300,000 life miles is not worth nothing.
[00:58:38.220 --> 00:58:40.480]   Oh, no, no, definitely not.
[00:58:41.100 --> 00:58:46.200]   And I know your co-host, Nick, has used life miles a ton and you can get value out of them.
[00:58:46.200 --> 00:58:53.480]   But I would say there are reasons to find it a pain that have prevented me from getting value.
[00:58:53.480 --> 00:58:54.480]   Yeah.
[00:58:54.480 --> 00:58:54.920]   Yeah.
[00:58:54.920 --> 00:58:59.580]   And, you know, with a hundred percent transfer bonus, I mean, that's a great deal.
[00:58:59.580 --> 00:59:08.020]   And you can keep miles alive by, you know, if they're about to expire after, I forget what their policy is, 12 months or 18 months or something.
[00:59:08.020 --> 00:59:10.280]   They're pretty low timeframe.
[00:59:10.280 --> 00:59:17.260]   But if you just transfer another thousand miles in from any of the programs that support it, you can reset the clock on that.
[00:59:17.260 --> 00:59:19.300]   So you don't have to use them right away.
[00:59:19.300 --> 00:59:21.660]   You could wait for the ideal situation.
[00:59:21.660 --> 00:59:25.660]   And there are really great prices under certain circumstances.
[00:59:25.660 --> 00:59:28.080]   And most of the time I have booked with them.
[00:59:28.080 --> 00:59:31.200]   But most of the time when I look, I'm like, you know what?
[00:59:31.200 --> 00:59:33.260]   Air Canada is easy to deal with.
[00:59:33.260 --> 00:59:39.220]   And the price isn't that much better than booking with Air Canada or even United in some cases.
[00:59:39.620 --> 00:59:46.400]   So, yes, I regret doing that because months later, the opportunity was to do a hundred percent transfer bonus to Air Canada.
[00:59:46.400 --> 00:59:48.760]   But yeah, that is a story for another day.
[00:59:48.760 --> 00:59:58.100]   The only other airline that has kind of a ton of partners at often different rates, but I think it'll be a very quick answer from you, is JetBlue.
[00:59:58.100 --> 01:00:00.940]   Is that ever a program that you've transferred to?
[01:00:00.940 --> 01:00:09.260]   I haven't transferred to because I have a lot of JetBlue points from credit card bonuses and other deals that have happened along the years.
[01:00:09.260 --> 01:00:12.260]   So, yeah, JetBlue has a bunch of random partners now.
[01:00:12.260 --> 01:00:16.800]   You can book a lot of international airlines with JetBlue points.
[01:00:16.800 --> 01:00:20.520]   The pricing isn't fantastic, but it's actually not bad at all.
[01:00:20.520 --> 01:00:25.820]   And the great thing is completely free to change and cancel.
[01:00:25.820 --> 01:00:36.780]   So I would much rather transfer to JetBlue to book a flight that's also bookable with Avios because none of the Avios programs have free cancellations.
[01:00:36.780 --> 01:00:37.260]   Yeah.
[01:00:37.580 --> 01:00:44.520]   But if you're looking, as I have many times, I've been like, oh, I would love to fly JetBlue Mint to New York from San Francisco.
[01:00:44.520 --> 01:00:46.120]   Should I use my JetBlue points?
[01:00:46.120 --> 01:00:48.160]   Is there any outsized value to have?
[01:00:48.160 --> 01:00:58.440]   My experience has been if you're booking JetBlue flights with JetBlue points, it's at a fixed value that isn't that much more compelling than, you know, a travel portal booking.
[01:00:58.740 --> 01:00:58.960]   Yeah.
[01:00:58.960 --> 01:01:01.520]   And ironically, that's where their partners come in.
[01:01:01.520 --> 01:01:08.040]   Like, so it used to be a really good deal to use Qatar Avios to book JetBlue, including JetBlue Mint.
[01:01:08.040 --> 01:01:13.660]   But recently, JetBlue has stopped releasing award space to those partners.
[01:01:14.020 --> 01:01:17.300]   So unless that changes back, it's not great.
[01:01:17.300 --> 01:01:25.260]   But what to keep an eye on is whether the United and JetBlue partnership will result in good uses of United miles to fly JetBlue Mint.
[01:01:25.260 --> 01:01:26.200]   So we'll see.
[01:01:26.700 --> 01:01:27.220]   I'm optimistic.
[01:01:27.220 --> 01:01:31.500]   Or maybe JetBlue miles will result in good uses for flying United flights.
[01:01:31.500 --> 01:01:32.540]   That's possible too.
[01:01:32.540 --> 01:01:32.880]   Yeah.
[01:01:32.880 --> 01:01:33.160]   Yeah.
[01:01:33.160 --> 01:01:39.320]   So those are the airlines that if you have, you know, one major currency, you can probably hit most of them.
[01:01:39.320 --> 01:01:41.020]   There's a couple small exceptions there.
[01:01:41.020 --> 01:01:42.440]   I didn't call them all out.
[01:01:42.440 --> 01:01:44.360]   Singapore can't go from built.
[01:01:44.360 --> 01:01:46.180]   Cathay can't go from Chase.
[01:01:46.180 --> 01:01:48.280]   Avianca can't go from Chase and built.
[01:01:48.280 --> 01:01:49.460]   JetBlue not from built.
[01:01:49.460 --> 01:01:56.300]   Now we're going to move quickly into some of these more obscure programs that have a couple transfer partners, but not all of them.
[01:01:56.300 --> 01:01:58.760]   And some of them will be really fast.
[01:01:58.760 --> 01:02:00.540]   So we can do some of them really quick.
[01:02:00.540 --> 01:02:04.900]   So I'll even take a stab unless things change with some of these future partnerships.
[01:02:04.900 --> 01:02:08.280]   Southwest points, you could transfer from Chase and built.
[01:02:08.280 --> 01:02:09.920]   You're going to get a fixed value.
[01:02:09.920 --> 01:02:15.540]   It's kind of like what you'd get booking in a portal, maybe slightly better than, you know, an Amex or a city portal.
[01:02:16.360 --> 01:02:24.800]   But unless these Icelandair partnership or future kind of agreements take any footing, I don't see any reason personally to be transferring points to Southwest.
[01:02:24.800 --> 01:02:25.740]   Yeah.
[01:02:25.740 --> 01:02:33.700]   Although things change a little bit recently because they've changed their model for how they price the points on awards just recently.
[01:02:33.700 --> 01:02:34.200]   Right.
[01:02:34.200 --> 01:02:42.460]   And now the idea is that on the, you know, less full flights, you might get better award value.
[01:02:42.800 --> 01:02:50.160]   Like when Nick looked at it, he was saying, gosh, I want to say up to 1.8 cents per point value, maybe.
[01:02:50.160 --> 01:02:59.360]   Like that was really rare, but it can happen that you get more in the higher range where it could make sense to transfer when you see that opportunity.
[01:02:59.360 --> 01:03:11.100]   But my God, do not transfer just hoping that that'll happen because, you know, the whole reason they have this variable pricing structure is because most people are going to get actually worse pricing than before.
[01:03:11.180 --> 01:03:12.560]   They're not better.
[01:03:12.560 --> 01:03:12.720]   Yeah.
[01:03:12.720 --> 01:03:18.140]   Every time I've used my Southwest points, I've just been like, well, it's going to be 1.3, 1.4 cents per point.
[01:03:18.140 --> 01:03:20.540]   I already have them from earning points.
[01:03:20.540 --> 01:03:22.420]   Keep in mind one other important thing.
[01:03:22.420 --> 01:03:29.700]   If you're comparing things to booking in a travel portal, you will actually usually earn points on the flights you book in the travel portal.
[01:03:29.700 --> 01:03:39.880]   So if you look at something and you're like, well, it's about break even, you know, yes, there is some hassle of booking in a travel portal that might result in, you know, tricky things to change flights.
[01:03:39.880 --> 01:03:41.640]   But you will usually earn points.
[01:03:41.640 --> 01:03:52.180]   You will usually earn kind of status qualifying, you know, credits, whatever the airline has booking in a portal versus if you're booking with points on Southwest, you're not earning points at all.
[01:03:52.180 --> 01:03:52.700]   Right.
[01:03:52.780 --> 01:03:56.640]   So obviously, if you just have them in your Southwest program, you've got to use them.
[01:03:56.640 --> 01:04:01.960]   But transferring, I feel like there's so many other places that you might get better value.
[01:04:01.960 --> 01:04:02.360]   Okay.
[01:04:02.360 --> 01:04:03.460]   A few others.
[01:04:03.460 --> 01:04:05.700]   I'll hit on some that I think are going to be quick ones.
[01:04:05.700 --> 01:04:06.400]   Etihad.
[01:04:07.160 --> 01:04:14.480]   So Etihad often looks like it has good award pricing on short partner flights, like short American Airlines flights, for example.
[01:04:14.480 --> 01:04:15.680]   Don't.
[01:04:15.680 --> 01:04:16.220]   Don't do it.
[01:04:16.220 --> 01:04:19.440]   There's too many downsides to using Etihad miles.
[01:04:19.440 --> 01:04:22.420]   No reason for us to get into all the details right now.
[01:04:22.420 --> 01:04:24.800]   Just save yourself the headache and don't do that.
[01:04:24.800 --> 01:04:34.420]   The one use, the one place where I'd be tempted to move miles to Etihad is Etihad first class apartments is one of the most amazing ways to fly.
[01:04:34.880 --> 01:04:40.480]   You can get much better award availability to fly Etihad first apartments with Etihad's own miles.
[01:04:40.480 --> 01:04:50.900]   So if you have a special trip in mind and you don't mind spending like 200,000 points one way per person, you can probably find the exact flight you want.
[01:04:50.900 --> 01:04:54.600]   So I would do it for that as long as you're confident you're going to actually fly.
[01:04:54.600 --> 01:04:57.400]   Yeah, they have terrible cancellation policies.
[01:04:57.400 --> 01:04:57.960]   Exactly.
[01:04:57.960 --> 01:04:58.540]   Exactly.
[01:04:58.540 --> 01:04:59.880]   What about Aeromexico?
[01:04:59.880 --> 01:05:04.200]   I know you could transfer from Amex, Gap1, and Citi, but I've never heard of anyone doing it.
[01:05:04.380 --> 01:05:10.440]   We've randomly seen some good deals, but 99.9% of the time, it's a waste of time to even look.
[01:05:10.440 --> 01:05:11.380]   Qantas.
[01:05:11.380 --> 01:05:13.880]   You mentioned Qantas for Emirates earlier.
[01:05:13.880 --> 01:05:15.560]   Any other uses for Qantas?
[01:05:15.560 --> 01:05:17.720]   I know they're Amex, Gap1, and Citi partners.
[01:05:17.720 --> 01:05:18.420]   Yeah.
[01:05:18.660 --> 01:05:23.460]   So they have a distance-based award chart for their partners and all their one-world partners as well.
[01:05:23.460 --> 01:05:28.160]   Under the right circumstances, the pricing can be better than other airlines.
[01:05:28.160 --> 01:05:31.880]   So it's just one to, I guess, keep an eye on.
[01:05:31.880 --> 01:05:39.940]   They're not like amazing prices, but there's certain situations where the distance thing works out in your favor compared to alternatives.
[01:05:40.380 --> 01:05:40.820]   Okay.
[01:05:40.820 --> 01:05:41.740]   Turkish.
[01:05:41.740 --> 01:05:45.160]   Turkish used to be great, but not so much anymore.
[01:05:45.160 --> 01:05:46.900]   They're a pain to work with.
[01:05:47.140 --> 01:05:59.000]   But if you want to fly across a big country, like the United States is a big country, you can do so in economy for only 10,000 points one way.
[01:05:59.140 --> 01:06:04.640]   That means you could fly all the way from Hawaii to Maine for 10,000 points one way.
[01:06:04.640 --> 01:06:09.920]   Now that's flying, in that example, that's flying United, but still, that's an amazing deal.
[01:06:09.920 --> 01:06:19.440]   The other place you can get decent award prices is, at times, flying Turkish itself with Turkish miles can be a fine deal.
[01:06:19.440 --> 01:06:22.840]   But all the other good stuff they used to have is gone.
[01:06:23.520 --> 01:06:32.260]   Is Turkish the one where it's, like, kind of tricky that if you haven't booked before, it's hard to book for other people, and, like, sometimes the app lets you do things the website doesn't?
[01:06:32.260 --> 01:06:32.900]   Yes.
[01:06:32.900 --> 01:06:33.620]   Yes.
[01:06:33.620 --> 01:06:34.060]   Okay.
[01:06:34.060 --> 01:06:35.460]   Yeah.
[01:06:35.460 --> 01:06:44.780]   There's a lot of nuance there that I'd say before you're getting ready to go deep on Turkish, you might need to do some searching and kind of read up on all the gotchas.
[01:06:44.780 --> 01:06:51.320]   But, yeah, and unless you're lucky, like, the one time I used Turkish miles, I was able to book a United flight, no problem.
[01:06:51.320 --> 01:07:00.500]   But many people have to email a booking office and wait for responses and things like that to get these kind of partner awards to go through.
[01:07:00.500 --> 01:07:01.900]   So it can be a big headache.
[01:07:01.900 --> 01:07:02.600]   Yep.
[01:07:02.600 --> 01:07:05.160]   Okay, so now we're on to a couple of the more rare ones.
[01:07:05.160 --> 01:07:07.060]   But United is a partner of Chase & Built.
[01:07:07.060 --> 01:07:09.400]   We talked about how they have free cancellations.
[01:07:09.960 --> 01:07:14.400]   I found that they're decent with fuel surcharges for some partners.
[01:07:14.400 --> 01:07:18.120]   They have never had a transfer bonus from a credit card program.
[01:07:18.120 --> 01:07:20.500]   Do you use United as a transfer partner ever?
[01:07:20.500 --> 01:07:22.200]   I have, yeah, absolutely.
[01:07:22.200 --> 01:07:24.700]   Their prices have crept up over time.
[01:07:24.700 --> 01:07:33.480]   So pre-pandemic, they were, I think, business class of Europe was around 70,000 miles, if I remember correctly.
[01:07:33.480 --> 01:07:37.180]   And I remember specifically, we had a big trip with a lot of people.
[01:07:37.780 --> 01:07:45.460]   I wanted to book with, I think it was 63,000 Avianca life miles, but I couldn't get the award to show up on Avianca's website.
[01:07:45.460 --> 01:07:49.440]   So I transferred to United instead and booked that way.
[01:07:49.440 --> 01:07:50.740]   It wasn't that much more expensive.
[01:07:50.740 --> 01:07:58.740]   As things stand right now, as you mentioned, Chris, a lot of times United's miles are the only way to book United itself.
[01:07:59.100 --> 01:08:04.460]   So it's good for that longer distance flights.
[01:08:04.460 --> 01:08:11.600]   So when you compare Air Canada prices to book Star Alliance flights to United, Air Canada is usually better.
[01:08:11.600 --> 01:08:17.420]   But as you get longer distance, United has spots where it's better.
[01:08:17.780 --> 01:08:26.140]   So, for example, when I've looked Detroit to the Middle East, Air Canada jumps into the 90,000 point one way zone for business class.
[01:08:26.140 --> 01:08:27.540]   United's at 80,000.
[01:08:27.780 --> 01:08:38.240]   So there are definitely situations like that where United is maybe not the best as far as pricing, because maybe life miles would have been cheaper in that case.
[01:08:38.240 --> 01:08:38.640]   I don't know.
[01:08:39.000 --> 01:08:42.600]   But United is very easy to use their miles.
[01:08:42.600 --> 01:08:45.500]   You can cancel last minute and get all your miles back.
[01:08:45.500 --> 01:08:51.500]   I think United might be the one airline where you can even cancel after you miss the flight.
[01:08:51.500 --> 01:08:52.680]   Maybe.
[01:08:52.680 --> 01:08:55.820]   Pay $150 and get your miles back.
[01:08:55.820 --> 01:08:58.560]   So I thought that was like one of the most generous tricks.
[01:08:58.560 --> 01:09:02.880]   But that free cancellation is really a valuable thing.
[01:09:02.880 --> 01:09:04.120]   It really is.
[01:09:04.120 --> 01:09:05.420]   And I've used that a lot.
[01:09:05.560 --> 01:09:08.860]   And I mentioned booking before the pandemic, a whole bunch of people.
[01:09:08.860 --> 01:09:12.800]   So I have this huge stash of United miles because that trip never happened.
[01:09:12.800 --> 01:09:16.620]   You know, I got all those miles back and I use them.
[01:09:16.620 --> 01:09:21.220]   They're so valuable as a placeholder for what we talked about before.
[01:09:21.220 --> 01:09:31.980]   I always have enough United miles to book that good enough flight to wherever I'm going so that I can wait until a better deal shows up.
[01:09:32.180 --> 01:09:36.260]   And I find that really valuable to have that placeholder until I find a better deal.
[01:09:36.260 --> 01:09:40.420]   And someday, maybe I won't find a better deal and I'll actually use those miles.
[01:09:40.420 --> 01:09:44.240]   But in the meantime, I like having that slush fund of United miles.
[01:09:44.240 --> 01:09:48.180]   The last one I'll mention is EVA or EVA Air.
[01:09:48.180 --> 01:09:56.220]   I have flown them in the past, but never using their own miles, which I understand, you know, you get a lot more inventory with their miles.
[01:09:56.320 --> 01:09:58.360]   They only transfer from Citi and Capital One.
[01:09:58.360 --> 01:10:00.340]   They've never had a transfer bonus.
[01:10:00.340 --> 01:10:04.920]   Have you ever taken advantage of, you know, booking their flights with their own inventory?
[01:10:04.920 --> 01:10:05.900]   Never.
[01:10:05.900 --> 01:10:08.620]   So I've actually never flown them at all either.
[01:10:08.620 --> 01:10:18.960]   But yeah, I mean, that's a great opportunity, especially because flights to Asia, award flights to Asia have become so difficult lately to find.
[01:10:18.960 --> 01:10:29.560]   And so having a program that has pretty wide open availability just about any time to its own members at good award prices is really nice.
[01:10:30.320 --> 01:10:34.740]   Unfortunately, when you transfer from Citi, it can take a couple of days for the transfer to happen.
[01:10:34.740 --> 01:10:38.280]   Also, their website is horrible.
[01:10:38.280 --> 01:10:47.960]   And so understanding whether an award is available or not, figuring out how to book family members is just absurdly complicated.
[01:10:47.960 --> 01:10:51.380]   So Tim wrote a nice post about how all that works.
[01:10:51.380 --> 01:10:57.500]   So if you're interested in doing that, check out Tim's post on Frequent Miler about this topic.
[01:10:58.120 --> 01:11:02.180]   But that is one where I think an award tool might not show that availability.
[01:11:02.180 --> 01:11:03.180]   Right.
[01:11:03.180 --> 01:11:13.160]   And so if you're heart set on going to Asia and you're trying to find a deal and you have Capital One or Citi points, go find Tim's post and you might find some inventory you couldn't have found otherwise.
[01:11:13.160 --> 01:11:14.340]   Yeah.
[01:11:14.340 --> 01:11:15.080]   Yeah, totally.
[01:11:15.080 --> 01:11:26.460]   Now, Capital One doesn't transfer one-to-one, but it's probably still, if you're just out of luck finding, you know, those flights, then that still could be worth it because they can't do it.
[01:11:26.980 --> 01:11:29.160]   The few other airlines, I don't want to spend a lot of time.
[01:11:29.160 --> 01:11:30.280]   We'll skip Delta.
[01:11:30.280 --> 01:11:32.480]   We kind of talked about the Delta experience.
[01:11:32.480 --> 01:11:35.500]   You can get to Delta from Amex, but hard to get outsized value.
[01:11:35.500 --> 01:11:36.840]   Never had a transfer bonus.
[01:11:36.840 --> 01:11:38.380]   I mentioned ANA.
[01:11:38.560 --> 01:11:41.020]   I know it takes a while to transfer there.
[01:11:41.020 --> 01:11:53.180]   So my experience has always been I'm scared because award availability changes so frequently that if I initiate a transfer and have to wait a few days to book something, you know, I won't have it.
[01:11:53.720 --> 01:11:58.640]   They lost their round the world awards, which was something that people loved them for.
[01:11:58.640 --> 01:12:02.020]   Do you see a lot of use for ANA going forward?
[01:12:02.020 --> 01:12:05.640]   They still have very good award pricing.
[01:12:05.640 --> 01:12:09.540]   They now allow one-way awards now or soon.
[01:12:09.680 --> 01:12:12.040]   I can't remember if it's taken effect yet.
[01:12:12.040 --> 01:12:17.420]   So if you want to book Star Alliance for a good price, you can.
