
[00:00:00.000 --> 00:00:01.000]   Sound is good?
[00:45:33.480 --> 00:45:38.840]   If I show you quickly enough, you won't see the difference.
[00:45:38.840 --> 00:45:45.880]   And if you're using these models for classifying, you can do proper analysis, which is to say,
[00:45:45.880 --> 00:45:49.960]   given a new character, you find further states of the latent variables, hidden variables.
[00:45:49.960 --> 00:45:52.560]   If I classify based on that, how good are they?
[00:45:52.560 --> 00:45:57.220]   And they are much better than some of the existing techniques.
[00:45:57.220 --> 00:45:58.480]   This is another example.
[00:45:58.480 --> 00:46:00.520]   Trying to generate 3D objects.
[00:46:00.520 --> 00:46:02.120]   This is sort of a toy datasets.
[00:46:02.120 --> 00:46:06.720]   And later on, I'll show you some bigger advances that's been happening in the last few years.
[00:46:06.720 --> 00:46:08.600]   This was done a few years ago.
[00:46:08.600 --> 00:46:18.040]   If you look at the space of generated samples, they sort of, obviously you can see the difference.
[00:46:18.040 --> 00:46:20.400]   Look at this particular image.
[00:46:20.400 --> 00:46:24.280]   This image looks like a car with wings, don't you think?
[00:46:24.280 --> 00:46:29.820]   So sometimes it can sort of simulate things that are not necessarily realistic.
[00:46:29.820 --> 00:46:34.120]   And for some reason, it just doesn't generate donkeys and elephants too often, but it generates
[00:46:34.120 --> 00:46:35.600]   people with guns more often.
[00:46:35.600 --> 00:46:38.400]   Like if you look at here and here and here.
[00:46:38.400 --> 00:46:43.480]   And that, again, has to do with the fact that you're exploring this exponential space of
[00:46:43.480 --> 00:46:48.880]   possible images, and sometimes it's very hard to assign the right probabilities to different
[00:46:48.880 --> 00:46:52.200]   parts of the space.
[00:46:52.200 --> 00:46:54.360]   And then obviously you can do things like pattern completion.
[00:46:54.360 --> 00:46:57.360]   So given half of the image, can you complete the remaining half?
[00:46:57.360 --> 00:47:00.760]   So the second one shows what the completions look like, and the last one is what the truth
[00:47:00.760 --> 00:47:01.760]   is.
[00:47:01.760 --> 00:47:04.060]   So you can do these things.
[00:47:04.060 --> 00:47:05.640]   So where else can we use these models?
[00:47:05.640 --> 00:47:08.080]   These are sort of toyish examples, but where else?
[00:47:08.080 --> 00:47:13.680]   Let me show you one example where these models can potentially succeed, which is trying to
[00:47:13.680 --> 00:47:20.240]   model the space of the multimodal space, which is the space of images and text.
[00:47:20.240 --> 00:47:23.600]   Or generally, if you look at the data, it's not just single sources.
[00:47:23.600 --> 00:47:26.560]   It's a collection of different modalities.
[00:47:26.560 --> 00:47:30.100]   So how can we take all of these modalities into account?
[00:47:30.100 --> 00:47:33.360]   And this is really just the idea of given images and text.
[00:47:33.360 --> 00:47:40.120]   And you actually find a concept that relates these two different sources of data.
[00:47:40.120 --> 00:47:44.840]   And there are a few challenges, and that's why models like generative models, sometimes
[00:47:44.840 --> 00:47:46.720]   probabilistic models, could be useful.
[00:47:46.720 --> 00:47:50.700]   In general, one of the biggest challenges we've seen is that typically when you're working
[00:47:50.700 --> 00:47:54.160]   with images and text, these are very different modalities.
[00:47:54.160 --> 00:47:58.260]   If you think about images and pixel representation, they're very dense.
[00:47:58.260 --> 00:48:01.960]   If you're looking at text, it's typically very sparse.
[00:48:01.960 --> 00:48:06.920]   It's very difficult to learn these cross-modal features from low-level representation.
[00:48:06.920 --> 00:48:12.700]   Perhaps a bigger challenge is that a lot of times we see data that's very noisy.
[00:48:12.700 --> 00:48:13.700]   Sometimes it's just non-existent.
[00:48:13.700 --> 00:48:15.880]   Given an image, there is no text.
[00:48:15.880 --> 00:48:20.120]   Or if you look at the first image, a lot of the tags about is what kind of camera was
[00:48:20.120 --> 00:48:25.240]   used to describe that particular image, which doesn't really tell us anything about the
[00:48:25.240 --> 00:48:26.740]   image itself.
[00:48:26.740 --> 00:48:32.120]   And these would be the text generated by a version of a Boltzmann machine model.
[00:48:32.120 --> 00:48:37.000]   It sort of does samples of what the text should look like.
[00:48:37.000 --> 00:48:40.040]   And the idea, again, is very simple.
[00:48:40.040 --> 00:48:43.760]   If you just build a simple representation, given images and given text, you just try
[00:48:43.760 --> 00:48:48.440]   to find what the common representation is, it's very difficult to learn these cross-modal
[00:48:48.440 --> 00:48:49.560]   features.
[00:48:49.560 --> 00:48:54.520]   But if you actually build a hierarchical model, so you start with representation, you can
[00:48:54.520 --> 00:48:58.880]   build a Gaussian model, replicate a softmax model, you can build up that representation,
[00:48:58.880 --> 00:49:04.080]   then it turns out it's much more, it gives you much richer representation.
[00:49:04.080 --> 00:49:12.480]   There's also a notion of bottom-up and top-down, which means that low-level images or tags
[00:49:12.480 --> 00:49:16.480]   can effectively affect low-level representation of images and the other way around.
[00:49:16.480 --> 00:49:22.680]   So information flows between images and text and gets into some stable state.
[00:49:22.680 --> 00:49:28.160]   And this is what the text generated from images looks like, some of the examples.
[00:49:28.160 --> 00:49:33.840]   A lot of them look reasonable, but more recently, with the advances of CovNets, this is probably
[00:49:33.840 --> 00:49:37.480]   not that surprising.
[00:49:37.480 --> 00:49:42.360]   Here's some examples of the model that's not quite doing the right thing.
[00:49:42.360 --> 00:49:44.560]   I particularly like the second one.
[00:49:44.560 --> 00:49:48.760]   For some reason, it sort of correlates with Barack Obama and such.
[00:49:48.760 --> 00:49:54.320]   And the features, when we were using this model, we didn't have, at that time, image
[00:49:54.320 --> 00:49:55.320]   net features.
[00:49:55.320 --> 00:49:57.320]   Right now, I don't think we'd be making these mistakes.
[00:49:57.320 --> 00:50:00.800]   But generally speaking, what we found in a lot of the data is that there are a lot of
[00:50:00.800 --> 00:50:05.200]   images of animals, which brings us to the next problem, is that if you don't see images
[00:50:05.200 --> 00:50:08.800]   of animals, then the model is confused because it sees a lot of Obama signs, and these are
[00:50:08.800 --> 00:50:14.180]   black and white and blue signs that are appearing a lot.
[00:50:14.180 --> 00:50:21.240]   You can also do images from text, given text, or tags can retrieve relevant images.
[00:50:21.240 --> 00:50:23.240]   This is the dataset itself, about a million images.
[00:50:23.240 --> 00:50:27.960]   It's a nice dataset, and you have very noisy tags.
[00:50:27.960 --> 00:50:32.120]   The question is, can you actually learn some representation from those images?
[00:50:32.120 --> 00:50:38.040]   One thing that I want to highlight here is, we've tried, there's 25,000 labeled images.
[00:50:38.040 --> 00:50:41.440]   Somebody went and labeled what's going on in those images, what classes we see in those
[00:50:41.440 --> 00:50:45.360]   images, and you get some numbers, which is mean average precision.
[00:50:45.360 --> 00:50:49.560]   What's important here is that we found that if we actually use unlabeled data, and we
[00:50:49.560 --> 00:50:56.220]   pre-train these channels separately, using a million unlabeled data points, then we can
[00:50:56.220 --> 00:50:58.320]   actually get some performance improvements.
[00:50:58.320 --> 00:51:03.280]   At least that was a little bit of a happy sign for us to say that unlabeled data can
[00:51:03.280 --> 00:51:07.920]   help in the situations where you don't have a lot of labeled examples.
[00:51:07.920 --> 00:51:11.680]   Here it was helping us, it was helping us a lot.
[00:51:11.680 --> 00:51:16.760]   And then once you get into these representations, dealing with text and images, this is one
[00:51:16.760 --> 00:51:18.120]   particular thing you can do.
[00:51:18.120 --> 00:51:25.800]   I think Richard pointed out what happens in the space of linguistic regularities.
[00:51:25.800 --> 00:51:29.320]   You can do the same thing with images, which is kind of fun to do.
[00:51:29.320 --> 00:51:31.520]   They sometimes work, they don't work all the time.
[00:51:31.520 --> 00:51:32.520]   But here's one example.
[00:51:32.520 --> 00:51:37.680]   I take that particular image at the top, and I say get the representation of this image,
[00:51:37.680 --> 00:51:41.680]   subtract the representation of day, add the night, and then find closest images, you get
[00:51:41.680 --> 00:51:43.800]   these images.
[00:51:43.800 --> 00:51:47.520]   And then you can do some interesting things, like take these kittens and say minus ball
[00:51:47.520 --> 00:51:50.640]   plus box, you get kittens in the box.
[00:51:50.640 --> 00:51:53.760]   If you take this particular image and say minus box plus ball, you get kittens in the
[00:51:53.760 --> 00:51:55.840]   ball.
[00:51:55.840 --> 00:51:58.840]   Except for this thing, that's a duck.
[00:51:58.840 --> 00:52:03.840]   So you can get these interesting representations.
[00:52:03.840 --> 00:52:07.800]   Of course, these are all fun things to look at, but they don't really mean much, because
[00:52:07.800 --> 00:52:11.840]   we're not specifically optimizing for those things.
[00:52:11.840 --> 00:52:18.280]   Now let me spend some time also talking about another class of models.
[00:52:18.280 --> 00:52:21.560]   These are known as Helmholtz machines and variational autoencoders.
[00:52:21.560 --> 00:52:27.240]   These are the models that have been popping up in our community in the last two years.
[00:52:27.240 --> 00:52:29.320]   So what is a Helmholtz machine?
[00:52:29.320 --> 00:52:35.280]   A Helmholtz machine was developed back in '95, and it was developed by Hinton and Peter Dayan
[00:52:35.280 --> 00:52:39.200]   and Brendan Frey and Radford Neal.
[00:52:39.200 --> 00:52:42.200]   And it has this particular architecture.
[00:52:42.200 --> 00:52:48.120]   You have a generative process, so given some latent state, you just-- it's a neural network,
[00:52:48.120 --> 00:52:52.520]   it's a stochastic neural network that generates the input data.
[00:52:52.520 --> 00:52:57.800]   And then you have so-called approximate inference step, which is to say, given the data, infer
[00:52:57.800 --> 00:53:03.120]   approximately what the latent states should look like.
[00:53:03.120 --> 00:53:05.200]   And again, it was developed in '95.
[00:53:05.200 --> 00:53:09.200]   There's something that's called wake-sleep algorithm, and it never worked.
[00:53:09.200 --> 00:53:12.800]   Basically, people just said, it just doesn't work.
[00:53:12.800 --> 00:53:16.840]   And then we started looking at restricted-bolt machines and Boltz machines, because they're
[00:53:16.840 --> 00:53:18.440]   working a little bit better.
[00:53:18.440 --> 00:53:22.080]   And then two years ago, people figured out how to make them work.
[00:53:22.080 --> 00:53:24.560]   And so now, 10 years later, I'm going to show you the trick.
[00:53:24.560 --> 00:53:27.520]   Now, these models are actually working pretty well.
[00:53:27.520 --> 00:53:31.400]   The difference between Helmholtz machines and deep-bolt machines is very subtle.
[00:53:31.400 --> 00:53:33.280]   They almost look identical.
[00:53:33.280 --> 00:53:38.040]   The big difference between the two is that in Helmholtz machines, you have a generative
[00:53:38.040 --> 00:53:42.400]   process that generates the data, and you have a separate recognition model that tries to
[00:53:42.400 --> 00:53:44.240]   recognize what you're seeing in the data.
[00:53:44.240 --> 00:53:49.200]   So you can think of this Q function as a convolutional neural network, given the data, tries to figure
[00:53:49.200 --> 00:53:51.400]   out what the features should look like.
[00:53:51.400 --> 00:53:54.840]   And then there's a generative model, given the features, it generates the data.
[00:53:54.840 --> 00:53:59.120]   Boltzmann machine is sort of similar class of models, but it has undirected connections.
[00:53:59.120 --> 00:54:03.160]   So you can think of it as generative and recognition connections are the same.
[00:54:03.160 --> 00:54:09.040]   So it's sort of a system that tries to reach some equilibrium state when you're running
[00:54:09.040 --> 00:54:10.040]   it.
[00:54:10.040 --> 00:54:14.120]   So the semantics is a little bit different between these two models.
[00:54:14.120 --> 00:54:15.480]   So what is a variational autoencoder?
[00:54:15.480 --> 00:54:17.960]   A variational encoder is a Helmholtz machine.
[00:54:17.960 --> 00:54:24.080]   It defines a generative process in terms of sampling through cascades of stochastic layers.
[00:54:24.080 --> 00:54:28.040]   And if you look at it, there's just a bunch of conditional probability distributions that
[00:54:28.040 --> 00:54:30.400]   you're defining, so you can generate the data.
[00:54:30.400 --> 00:54:33.920]   So theta here will denote the parameters of the variational autoencoders.
[00:54:33.920 --> 00:54:36.960]   You have a number of stochastic layers.
[00:54:36.960 --> 00:54:41.800]   And sampling from these conditional probability distributions, we're assuming that we can
[00:54:41.800 --> 00:54:42.800]   do it.
[00:54:42.800 --> 00:54:43.800]   It's attractable.
[00:54:43.800 --> 00:54:45.680]   It has to be attractable.
[00:54:45.680 --> 00:54:53.680]   But the innovation here is that every single conditional probability can actually be a
[00:54:53.680 --> 00:54:54.680]   very complicated function.
[00:54:54.680 --> 00:54:58.000]   It can denote a nonlinear-- you can model nonlinear relationships.
[00:54:58.000 --> 00:55:02.240]   It can be a multilayer nonlinear neural network, deterministic neural network.
[00:55:02.240 --> 00:55:05.400]   So it becomes fairly powerful.
[00:55:05.400 --> 00:55:07.640]   Here's an example of I have a stochastic layer.
[00:55:07.640 --> 00:55:08.640]   You have a deterministic layer.
[00:55:08.640 --> 00:55:12.040]   You have a stochastic layer, and then you generate the data.
[00:55:12.040 --> 00:55:16.880]   So you can introduce these nonlinearities into these models.
[00:55:16.880 --> 00:55:21.960]   And this conditional probability would denote a one-layer neural network.
[00:55:21.960 --> 00:55:27.600]   Now I'll show you some examples, but maybe I can just give you a little intuition behind
[00:55:27.600 --> 00:55:31.480]   what these equations do.
[00:55:31.480 --> 00:55:36.800]   In a lot of these kinds of models, learning is very hard to do.
[00:55:36.800 --> 00:55:39.000]   And there's a class of models called variational learning.
[00:55:39.000 --> 00:55:42.440]   And what the variational learning is trying to do is basically trying to do the following.
[00:55:42.440 --> 00:55:47.080]   Well, I want to maximize the probability of the data that I observe, but I cannot do it
[00:55:47.080 --> 00:55:48.080]   directly.
[00:55:48.080 --> 00:55:50.920]   So instead, what I'm going to do is I'm going to maximize the so-called variational low
[00:55:50.920 --> 00:55:54.080]   bound, which is this term here.
[00:55:54.080 --> 00:55:58.960]   And it's effectively saying, well, if I take the log of expectation, I can take the log
[00:55:58.960 --> 00:56:02.240]   and push it inside.
[00:56:02.240 --> 00:56:06.760]   And it turns out just logistically, working in this representation is much easier than
[00:56:06.760 --> 00:56:08.680]   working in this representation.
[00:56:08.680 --> 00:56:13.520]   If you go a little bit through the math, it turns out that you can actually optimize this
[00:56:13.520 --> 00:56:19.200]   variational bound, but you can't really optimize this particular likelihood objective.
[00:56:19.200 --> 00:56:23.280]   It's a little bit surprising for those of you who haven't seen variational learning
[00:56:23.280 --> 00:56:24.840]   how it's done.
[00:56:24.840 --> 00:56:29.100]   But this one little trick, this one little so-called Jensen's inequality actually allows
[00:56:29.100 --> 00:56:33.080]   you to solve a lot of problems.
[00:56:33.080 --> 00:56:37.360]   And the other way to write the lower bound is to say, well, there is a log likelihood
[00:56:37.360 --> 00:56:42.080]   function and something that's called KL divergence, which is the distance between your approximating
[00:56:42.080 --> 00:56:45.880]   distribution Q, which is your recognition model, and the truth.
[00:56:45.880 --> 00:56:51.000]   The truth in these models would be the true posterior according to your model.
[00:56:51.000 --> 00:56:54.560]   And it's hard to optimize these kinds of models in general.
[00:56:54.560 --> 00:56:57.800]   You're trying to optimize your generative model, you're trying to optimize your recognition
[00:56:57.800 --> 00:56:58.800]   model.
[00:56:58.800 --> 00:57:05.200]   And back in '95, Hinton and his students basically, they developed this wake-sleep algorithm that
[00:57:05.200 --> 00:57:09.280]   was a bunch of different things put together, but it was never quite the right algorithm
[00:57:09.280 --> 00:57:10.840]   because it wasn't really optimizing anything.
[00:57:10.840 --> 00:57:14.560]   It was just a bunch of things alternating.
[00:57:14.560 --> 00:57:19.880]   But in 2014, there was a beautiful trick introduced by Kingman and Welling, and there was a few
[00:57:19.880 --> 00:57:24.060]   other groups that came up with the same trick called reparameterization trick.
[00:57:24.060 --> 00:57:27.960]   So let me show you what reparameterization trick does intuitively.
[00:57:27.960 --> 00:57:32.160]   So let's say your recognition distribution is a Gaussian.
[00:57:32.160 --> 00:57:35.700]   So a Gaussian, I can write it as a mean and a variance.
[00:57:35.700 --> 00:57:37.160]   So this is the mean, this is the variance.
[00:57:37.160 --> 00:57:41.200]   Notice that my mean depends on the layer below.
[00:57:41.200 --> 00:57:43.720]   It could be a very nonlinear function.
[00:57:43.720 --> 00:57:49.840]   The variance also depends on the layer below, so it could also be a nonlinear function.
[00:57:49.840 --> 00:57:52.080]   But what I can do is I can actually do the following.
[00:57:52.080 --> 00:57:56.880]   I can express this particular Gaussian in terms of auxiliary variables.
[00:57:56.880 --> 00:58:02.240]   I can say, well, if I sample this epsilon from normal 0, 1, a Gaussian distribution,
[00:58:02.240 --> 00:58:09.680]   then I can write this particular h, my state, in a deterministic way.
[00:58:09.680 --> 00:58:16.440]   It's just mean plus essentially standard deviation or variance, square root of the variance,
[00:58:16.440 --> 00:58:17.440]   times this epsilon.
[00:58:17.440 --> 00:58:21.920]   So this is just a simple parameterization of the Gaussians.
[00:58:21.920 --> 00:58:23.960]   I'm just pulling out the mean and the variance.
[00:58:23.960 --> 00:58:27.040]   There's no surprises here.
[00:58:27.040 --> 00:58:32.720]   So I can write my recognition model as this Gaussian, or I can write it in terms of noise
[00:58:32.720 --> 00:58:34.860]   plus the deterministic part.
[00:58:34.860 --> 00:58:38.400]   So the recognition distribution can be represented as a deterministic mapping.
[00:58:38.400 --> 00:58:43.960]   And that's the beauty, because it turns out that you can collapse these complicated models
[00:58:43.960 --> 00:58:46.160]   effectively into autoencoders.
[00:58:46.160 --> 00:58:47.520]   And we know how to deal with autoencoders.
[00:58:47.520 --> 00:58:51.380]   We can back propagate through the entire model.
[00:58:51.380 --> 00:58:53.320]   So we have a deterministic encoder.
[00:58:53.320 --> 00:58:58.960]   And then the distribution of these auxiliary variables really don't depend on parameters.
[00:58:58.960 --> 00:59:04.560]   So it's almost like taking a stochastic system and separating the stochastic part and deterministic
[00:59:04.560 --> 00:59:05.560]   part.
[00:59:05.560 --> 00:59:08.420]   In deterministic part, you can do back propagation, so you can do learning.
[00:59:08.420 --> 00:59:10.720]   And the stochastic part, you can do sampling.
[00:59:10.720 --> 00:59:16.280]   So just think of it as a separation between the two pieces.
[00:59:16.280 --> 00:59:21.820]   So now, if I take the gradient of the variational bound or the variational objective with respect
[00:59:21.820 --> 00:59:25.780]   to parameters, this is something that we couldn't do back in '95, and we couldn't do it in the
[00:59:25.780 --> 00:59:27.800]   last 10 years.
[00:59:27.800 --> 00:59:30.860]   People have tried using reinforce algorithm or some approximations to it.
[00:59:30.860 --> 00:59:32.500]   It never worked.
[00:59:32.500 --> 00:59:34.060]   But here what we can do is we can do the following.
[00:59:34.060 --> 00:59:39.660]   We can say, well, I can write this expression, because it's a Gaussian, as sampling a bunch
[00:59:39.660 --> 00:59:41.780]   of these auxiliary variables.
[00:59:41.780 --> 00:59:44.520]   And then this log, I can just inject the noise in here.
[00:59:44.520 --> 00:59:47.340]   The whole thing here becomes deterministic.
[00:59:47.340 --> 00:59:48.780]   And that's where the beauty comes in.
[00:59:48.780 --> 00:59:55.020]   You take this gradient here, and you push it inside the expectation.
[00:59:55.020 --> 01:00:00.940]   So before, if you take the gradient of expectations, like taking the gradient of averages, like
[01:00:00.940 --> 01:00:03.460]   you compute a bunch of averages, and you're taking the gradient.
[01:00:03.460 --> 01:00:07.780]   What you're doing now with reparameterization trick is you're taking the gradients and then
[01:00:07.780 --> 01:00:09.620]   taking the average.
[01:00:09.620 --> 01:00:14.020]   It turns out that hugely reduces the variance in your training.
[01:00:14.020 --> 01:00:18.140]   It actually allows you to learn these models quite efficiently.
[01:00:18.140 --> 01:00:21.020]   So the mapping edge here is completely deterministic.
[01:00:21.020 --> 01:00:23.580]   And gradients here can be computed by back propagation.
[01:00:23.580 --> 01:00:25.420]   It's a deterministic system.
[01:00:25.420 --> 01:00:33.080]   And you can think of this thing inside as just an autoencoder that you are optimizing.
[01:00:33.080 --> 01:00:36.900]   And obviously, there are other extensions of these models that we've looked at and a
[01:00:36.900 --> 01:00:40.220]   bunch of other teams looked at where you can say, well, maybe we can improve these models
[01:00:40.220 --> 01:00:42.180]   by drawing multiple samples.
[01:00:42.180 --> 01:00:44.980]   These are so-called case samples, importance weighting bounds.
[01:00:44.980 --> 01:00:48.860]   And so you can make them a little bit better, a little bit more precise.
[01:00:48.860 --> 01:00:54.780]   You can model a little bit more complicated distributions over the posteriors.
[01:00:54.780 --> 01:00:58.900]   But now, let me step back a little bit and say, why am I telling you about this?
[01:00:58.900 --> 01:00:59.900]   What's the point?
[01:00:59.900 --> 01:01:00.900]   There's a bunch of equations.
[01:01:00.900 --> 01:01:01.900]   You're injecting noise.
[01:01:01.900 --> 01:01:02.900]   Why do we need noise?
[01:01:02.900 --> 01:01:06.380]   Why do we need stochastic systems in general?
[01:01:06.380 --> 01:01:09.120]   Here's a motivating example.
[01:01:09.120 --> 01:01:15.140]   We wanted to build a model that, given captions, we want to generate the image.
[01:01:15.140 --> 01:01:19.820]   And my student was very ambitious and basically said, I want to be able to just give you any
[01:01:19.820 --> 01:01:24.540]   sentence and I want to be able to generate image, kind of like an artificial paint.
[01:01:24.540 --> 01:01:31.120]   I want to paint what's in my caption in the most general way.
[01:01:31.120 --> 01:01:34.500]   So this is one example of a Helmholtz machine where you have a generative model, which is
[01:01:34.500 --> 01:01:35.500]   a stochastic recurrent network.
[01:01:35.500 --> 01:01:38.500]   It's just a chain sequence of variational autoencoders.
[01:01:38.500 --> 01:01:42.260]   And there's a recognition model, which you can think of as a deterministic system, like
[01:01:42.260 --> 01:01:47.060]   a convolutional system that tries to approximate what the latent states are.
[01:01:47.060 --> 01:01:49.620]   But why do I need stochasticity here?
[01:01:49.620 --> 01:01:51.500]   Why do I need variational autoencoders here?
[01:01:51.500 --> 01:01:53.620]   And the reason is very simple.
[01:01:53.620 --> 01:01:57.580]   Suppose I give you the following task.
[01:01:57.580 --> 01:02:01.780]   I say a stop sign is flying in blue skies.
[01:02:01.780 --> 01:02:06.580]   Now if you were using a deterministic system, like an autoencoder, you would generate one
[01:02:06.580 --> 01:02:08.940]   image because it's a deterministic system.
[01:02:08.940 --> 01:02:11.940]   Given input, I give you output.
[01:02:11.940 --> 01:02:16.880]   Once you have stochastic system, you inject this noise, this latent noise, that allows
[01:02:16.880 --> 01:02:19.860]   you to actually generate the whole space of possible images.
[01:02:19.860 --> 01:02:22.900]   So for example, it tends to generate this stop sign and this stop sign.
[01:02:22.900 --> 01:02:23.900]   They look very different.
[01:02:23.900 --> 01:02:26.140]   And there's a car here.
[01:02:26.140 --> 01:02:27.140]   So maybe it's not really flying.
[01:02:27.140 --> 01:02:30.380]   It just can't draw the pole here.
[01:02:30.380 --> 01:02:33.060]   This one looks like there are clouds.
[01:02:33.060 --> 01:02:35.660]   Here is this yellow school bus is flying in blue skies.
[01:02:35.660 --> 01:02:41.380]   So here we wanted to test the system to see does it understand something about what's
[01:02:41.380 --> 01:02:42.380]   in the sentence.
[01:02:42.380 --> 01:02:45.500]   Here is a herd of elephants is flying in blue skies.
[01:02:45.500 --> 01:02:48.820]   Now we cannot generate elephants, although there are now techniques that are getting
[01:02:48.820 --> 01:02:49.820]   better.
[01:02:49.820 --> 01:02:52.140]   But sometimes it generates two of them.
[01:02:52.140 --> 01:02:54.940]   And it's a commercial plane flying in blue skies.
[01:02:54.940 --> 01:02:58.780]   But this is where we need stochasticity because we want to be able to generate the whole distribution
[01:02:58.780 --> 01:03:04.940]   of possible outcomes, not necessarily just one particular point.
[01:03:04.940 --> 01:03:09.380]   We can basically do things like a yellow school bus parked in the parking lot versus a red
[01:03:09.380 --> 01:03:13.940]   school bus parked in the parking lot versus a green school bus parked in the parking lot.
[01:03:13.940 --> 01:03:17.020]   It's sort of a blue school bus.
[01:03:17.020 --> 01:03:21.100]   We can't quite generate blue school buses, but we've seen blue cars and we've seen blue
[01:03:21.100 --> 01:03:22.100]   buses.
[01:03:22.100 --> 01:03:25.700]   So it can make an association to draw these different things.
[01:03:25.700 --> 01:03:28.180]   They look a little bit fuzzy.
[01:03:28.180 --> 01:03:33.860]   But in terms of comparing to different models, if I give you a group of people on the beach
[01:03:33.860 --> 01:03:37.260]   with surfboards, this is what we can generate.
[01:03:37.260 --> 01:03:41.340]   There is another model called LabGap model, which is a model based on adversarial neural
[01:03:41.340 --> 01:03:45.580]   networks, something I'll talk as the last part of this talk.
[01:03:45.580 --> 01:03:50.140]   And there is these models, convolutional and deconvolutional variation autoencoders, which
[01:03:50.140 --> 01:03:54.460]   is again convolutional deconvolutional autoencoders just with some noise.
[01:03:54.460 --> 01:03:59.700]   And you can certainly see that it's generally we found it's very hard to be able to generate
[01:03:59.700 --> 01:04:04.660]   scenes with arbitrary inputs as a text.
[01:04:04.660 --> 01:04:06.020]   Here's my favorite one.
[01:04:06.020 --> 01:04:08.980]   A toilet seat sits open in the bathroom.
[01:04:08.980 --> 01:04:13.100]   I don't know if you can see toilet seats here, maybe, but you can see a toilet seat sits
[01:04:13.100 --> 01:04:14.140]   open in the grass field.
[01:04:14.140 --> 01:04:15.860]   That was a little bit better.
[01:04:15.860 --> 01:04:18.100]   At least the colors were quite right.
[01:04:18.100 --> 01:04:26.260]   And when we put this paper on archive, one of the students basically came to me and said,
[01:04:26.260 --> 01:04:30.700]   "This is really bad because you can always ask Google."
[01:04:30.700 --> 01:04:37.420]   If you type that particular query into Google search, it gives you that.
[01:04:37.420 --> 01:04:40.460]   Which was a little bit disappointing.
[01:04:40.460 --> 01:04:46.300]   But now if you actually Google or if you actually put this query into Google, this image comes
[01:04:46.300 --> 01:04:49.500]   before this image.
[01:04:49.500 --> 01:04:52.840]   And generally because what's happening is that people are just clicking on that image
[01:04:52.840 --> 01:04:55.760]   all the time to figure out what's going on in that image.
[01:04:55.760 --> 01:04:59.560]   So we got bumped up before that other image.
[01:04:59.560 --> 01:05:04.180]   So now I can say that according to Google, this is a much better representation for that
[01:05:04.180 --> 01:05:07.780]   sentence than this one.
[01:05:07.780 --> 01:05:14.380]   Here's another sort of interesting model, which is a model where you're trying to build
[01:05:14.380 --> 01:05:15.380]   a recurrent neural network.
[01:05:15.380 --> 01:05:19.400]   Again, it's a generative model, but it's a generative model of text.
[01:05:19.400 --> 01:05:25.180]   This model was trained on about 7,000 romance novels.
[01:05:25.180 --> 01:05:30.620]   And you take a caption model and you hook it up to the caption generation system.
[01:05:30.620 --> 01:05:36.940]   So you're basically saying the model, here's an image, generate me in the style of romantic
[01:05:36.940 --> 01:05:39.900]   books what you'd see here.
[01:05:39.900 --> 01:05:42.220]   And it generates something interesting.
[01:05:42.220 --> 01:05:45.980]   We're barely able to catch the breeze on the beach and so forth.
[01:05:45.980 --> 01:05:49.040]   She's beautiful, but the truth is I don't know what to do.
[01:05:49.040 --> 01:05:56.580]   The sun was just starting to fade away, leaving people scattered around the Atlantic Ocean.
[01:05:56.580 --> 01:05:58.660]   And there are a bunch of different things that you can do.
[01:05:58.660 --> 01:06:02.960]   Obviously, we're not there yet in terms of generating romantic stories.
[01:06:02.960 --> 01:06:05.900]   But here's one example where it's a generative model.
[01:06:05.900 --> 01:06:11.660]   It seems like syntactically we can actually generate reasonable things.
[01:06:11.660 --> 01:06:14.860]   Semantically, we're not there yet.
[01:06:14.860 --> 01:06:20.820]   And actually, that particular work was inspired a little bit by Baidu's system that would
[01:06:20.820 --> 01:06:21.820]   give an image.
[01:06:21.820 --> 01:06:25.320]   I think it would generate poems.
[01:06:25.320 --> 01:06:27.020]   But the poems were predefined.
[01:06:27.020 --> 01:06:30.700]   It was mostly selecting the right poem for the image.
[01:06:30.700 --> 01:06:35.900]   Here we actually were trying to generate something.
[01:06:35.900 --> 01:06:37.880]   So there's still a lot of work to do in that space.
[01:06:37.880 --> 01:06:39.900]   Because syntactically we can get there.
[01:06:39.900 --> 01:06:44.580]   Semantically, we are nowhere near getting the right structure.
[01:06:44.580 --> 01:06:48.300]   Here's another last example that I want to show you.
[01:06:48.300 --> 01:06:52.260]   This was done in the case of one-shot learning, which is can you build generative model of
[01:06:52.260 --> 01:06:53.260]   characters?
[01:06:53.260 --> 01:06:57.300]   That's a very defined domain, very well-defined domain.
[01:06:57.300 --> 01:07:01.140]   It's a very simple domain, but it's also very hard.
[01:07:01.140 --> 01:07:02.140]   Here's one example.
[01:07:02.140 --> 01:07:06.300]   We've shown this example to people and to the algorithm.
[01:07:06.300 --> 01:07:09.060]   And we can say, well, can you draw me this example?
[01:07:09.060 --> 01:07:14.700]   And on one panel, humans would draw how they believe this example should look like.
[01:07:14.700 --> 01:07:17.420]   And then on the other panel, we have machines drawing it.
[01:07:17.420 --> 01:07:22.060]   So this is really just a generative model based on a single example.
[01:07:22.060 --> 01:07:25.260]   We're showing you an example, and you're trying to generate what it is.
[01:07:25.260 --> 01:07:26.840]   And so quick question for you.
