
[00:00:00.000 --> 00:00:06.980]   I have slides. So crazy concept, these slides are not my slides. These slides are actually
[00:52:29.320 --> 00:52:36.040]   I thought this is interesting for Claude and open AI. They use a temperature of one, which is rep. And
[00:52:36.040 --> 00:52:43.080]   for open source models, they use our open weight models. They use a temperature of 0.6, uh, in stuff
[00:52:43.080 --> 00:52:49.480]   like Quinn and Kimmy and deep seek, we learned that they recommend using a temperature of 0.6 for reasoning,
[00:52:49.480 --> 00:52:55.560]   because this allows you to be a little bit more creative in your reasoning trace. And then you can
[00:52:55.560 --> 00:53:00.040]   go down different traces and unlock, you know, a little bit better performance by being a little
[00:53:00.040 --> 00:53:06.440]   bit more creative. And it's interesting that open AI and Claude don't, don't see the same. Um, yeah.
[00:53:06.440 --> 00:53:11.000]   Okay. Inverse scaling and test time compute. This is the, the cool chart. So as they add
[00:53:11.000 --> 00:53:16.040]   these type of stuff, so like misleading math, you know, simple question, you have apple and orange,
[00:53:16.040 --> 00:53:21.640]   how many fruits you have two, but you can add random shit and make it think longer. So 61%
[00:53:21.640 --> 00:53:25.800]   probability that's red delicious. No one cares. Misleading math. You have apple and orange. How
[00:53:25.800 --> 00:53:31.480]   many fruits do you have? Here's the formula that someone tried useless stuff, um, grade regression.
[00:53:31.480 --> 00:53:34.920]   So, you know, you're adding stuff that's not relevant based on the following information.
[00:53:34.920 --> 00:53:41.560]   Please predict the grade between this and this. Um, adding stuff that's irrelevant. Zebra puzzles.
[00:53:41.560 --> 00:53:47.400]   Puzzles was an interesting one because apparently Claude is good at puzzles. Uh, add clues that are not
[00:53:47.400 --> 00:53:55.800]   necessary. It will reason more, but it's not that, it's not that good. Um, what else? So here's kind of
[00:53:55.800 --> 00:53:59.640]   the overall performance. This is a good way to end the paper, even though I didn't get a chance to go that
[00:53:59.640 --> 00:54:04.600]   deep. Uh, for different stuff, inverse relationship is red. So as it reasons more,
[00:54:04.600 --> 00:54:10.920]   um, performance goes down, this is not good. What we want is reason more and positive relationship. So
[00:54:10.920 --> 00:54:15.240]   as your reasoning length increases, your performance should increase, right? Um,
[00:54:15.240 --> 00:54:24.120]   OpenAI models do pretty good with code, with, um, math, um, zero shot, few shot, like they don't struggle
[00:54:24.120 --> 00:54:29.800]   as much. Same with open models, but quite, uh, Claude kind of struggled quite a bit here. Zebra puzzles,
[00:54:29.800 --> 00:54:35.560]   bro. They cooked. I feel like they only added the puzzles because they did good on them. But, um,
[00:54:35.560 --> 00:54:41.800]   in natural overthinking, like without specifying how much overthinking they want, um, you know,
[00:54:41.800 --> 00:54:50.200]   they're all pretty bad here. Um, once again, for those that missed it, here's a high level overview
[00:54:50.200 --> 00:54:57.000]   of what they find. Claude models become increasingly distracted by in irrelevant information. So like
[00:54:57.000 --> 00:55:06.280]   think long context versus, um, long context versus like more thinking, uh, irrelevant information,
[00:55:06.280 --> 00:55:12.360]   not good for Claude. OpenAI reasoning models, they resist distractions, but they overfit the problem
[00:55:12.360 --> 00:55:18.280]   framings. Um, so, you know, you, you tell it like, here's a formula someone tried. It might try going
[00:55:18.280 --> 00:55:25.320]   down stupid formulas. Um, model shift from reasoning prior to specific to spurious correlations. All models
[00:55:25.320 --> 00:55:33.160]   show difficulty in maintaining focus on complex deductive tasks. Uh, temperature is just, uh, randomness. So
[00:55:34.040 --> 00:55:41.160]   like temperature one, always same output temperature 0.6, you have a little bit more randomness. Um,
[00:55:41.160 --> 00:55:49.400]   what else? Simple counting with task distractors. Um, very interesting, right? So more reasoning
[00:55:49.400 --> 00:55:56.200]   performance kind of drops. These are very sad charts, right? Um, we never want, we never want
[00:55:56.200 --> 00:56:00.360]   performance to go down, but then this is all misleading stuff, right? So like they're injecting
[00:56:00.360 --> 00:56:05.800]   issues here, uh, misleading Python. Yeah. Yeah. Okay. I think that's the high level. Like I don't
[00:56:05.800 --> 00:56:09.960]   want to, I don't want to keep people too long. It's, it's been an hour. That's the high level of this
[00:56:09.960 --> 00:56:15.800]   paper. Unfortunately we didn't get that much time to go over it, but we went over the subliminal learning
[00:56:15.800 --> 00:56:23.320]   quite a bit. Um, I will leave us once again with this crazy example of, you know, China model from
[00:56:23.320 --> 00:56:31.880]   quen. How come it only learns to favor these animals like panda? Holy shit, panda, phoenix,
[00:56:31.880 --> 00:56:40.520]   tiger, lion, crazy. Um, but yeah, um, interesting, interesting stuff. I'll show, I'll show the
[00:56:40.520 --> 00:56:45.720]   anthropic fellows program again. This is not paid endorsement. I'm not an anthropic fellow, but it
[00:56:45.720 --> 00:56:52.040]   seems like a cool program. Um, yeah, that's, that's paper. That's the other paper too. Um, what have we
[00:56:52.040 --> 00:56:58.360]   learned today? We've learned of any agent produces slop. Even when asked it, basically I asked it,
[00:56:58.360 --> 00:57:03.560]   I was like, uh, edit the slides, add in examples from the experiments, more visuals, show these charts,
[00:57:03.560 --> 00:57:08.520]   break them down. Uh, we can go longer. Like basically, you know, when I, when I said this,
[00:57:08.520 --> 00:57:16.760]   I was like, okay, I expected it to basically take any of these charts, explain what's happening,
[00:57:16.760 --> 00:57:22.920]   add in examples of these prompts. Like I just wanted it to paste this in and reason towards it,
[00:57:22.920 --> 00:57:31.160]   but it, it struggled. Um, but anyway, it gave a good summary. Check, check the fellows program. Um,
[00:57:31.160 --> 00:57:39.960]   anthropic fellows program, have good velocity and output. And, um,
[00:57:41.960 --> 00:57:47.720]   what, what is this case? We talked to someone from anthropic. He's one of the mentors for this execution,
[00:57:47.720 --> 00:57:55.000]   velocity and interest in something. Um, you get to, you get to get nice subsidy, you get benefits, you get,
[00:57:56.120 --> 00:58:04.040]   you get research budget. Um, these are some of the mentors. Here's what you can work on model,
[00:58:04.040 --> 00:58:13.080]   mechanterp, model organisms, scalable oversight, robustness, AI welfare. Pretty cool. Pretty cool.
[00:58:13.080 --> 00:58:20.680]   I recommend. Um, yeah, cool guys. Someone, someone volunteer for paper next week or questions, questions,
[00:58:20.680 --> 00:58:26.280]   thoughts, comments, concerns, did anyone interpret this differently?
[00:58:26.280 --> 00:58:36.840]   I think it's great work. Um, yeah, I think it shows how, um, even like, you know, relatively
[00:58:36.840 --> 00:58:42.200]   like non full-time researchers, just, just fellows. I mean, what's the requirement for this kind of stuff?
[00:58:42.200 --> 00:58:49.720]   40 hours a week, bro. This is, uh, not a full-time role with anthropic. It's hired by a third party
[00:58:49.720 --> 00:58:55.240]   talenter. You get 2k a week and an expectation of 40 hours a week. Yeah. But like, you know, like not,
[00:58:55.240 --> 00:58:59.800]   not like a PhD researcher, you know what I mean? Like, like someone who's like relatively new to research
[00:58:59.800 --> 00:59:04.920]   can get into research and do interesting stuff still. Yeah. Yeah. Yeah. Very interesting. Uh,
[00:59:04.920 --> 00:59:09.800]   they, they changed up the program from the last time they ran it. Uh, but they give you a lot of compute.
[00:59:09.800 --> 00:59:17.640]   Um, but anyway, I don't, I like, don't, don't actually take my self at face value. I haven't
[00:59:17.640 --> 00:59:22.280]   gone through this program. I don't really know anyone that has. Everyone tell, tell people to join the
[00:59:22.280 --> 00:59:34.040]   topic. Okay. Bye. Cool. Bye. Thank you. Volunteers, please. Okay. Bye guys.

