
[00:00:00.000 --> 00:00:01.800]   Narcissism is not arrogance.
[01:32:59.860 --> 01:33:02.740]   And what can come into people
[01:33:02.740 --> 01:33:04.460]   is in sort of a sense of equanimity.
[01:33:04.460 --> 01:33:06.660]   Like, I sort of understand,
[01:33:06.660 --> 01:33:08.740]   I'm being the best person I can be.
[01:33:08.740 --> 01:33:10.460]   And that's not always even great,
[01:33:10.460 --> 01:33:12.180]   and there are things that I don't feel great about,
[01:33:12.180 --> 01:33:13.540]   even while I'm trying to do that.
[01:33:13.540 --> 01:33:17.780]   But look, I'm being who I'm choosing to be, right?
[01:33:17.780 --> 01:33:19.620]   And that doesn't have to be in some big way.
[01:33:19.620 --> 01:33:22.380]   I'm not saying that means any one specific thing.
[01:33:22.380 --> 01:33:24.620]   That can mean the person who's taking care of their cat
[01:33:24.620 --> 01:33:25.900]   and tending their garden.
[01:33:25.900 --> 01:33:26.780]   That's enough.
[01:33:26.780 --> 01:33:28.900]   We have to have love,
[01:33:28.900 --> 01:33:31.380]   the ability to put good things out in the world,
[01:33:31.380 --> 01:33:33.820]   and to put our ability to work
[01:33:33.820 --> 01:33:36.260]   and to make things different out into the world
[01:33:36.260 --> 01:33:37.500]   and make things better.
[01:33:37.500 --> 01:33:39.220]   And if we're doing that,
[01:33:39.220 --> 01:33:41.460]   we get happier across time
[01:33:41.460 --> 01:33:44.420]   because we come to a sense of peace with ourselves.
[01:33:44.420 --> 01:33:45.660]   I'm not supposed to be everything.
[01:33:45.660 --> 01:33:46.820]   I'm not supposed to do everything.
[01:33:46.820 --> 01:33:48.860]   I'm not supposed to fix everything.
[01:33:48.860 --> 01:33:50.540]   I'm also not supposed to suffer all the time
[01:33:50.540 --> 01:33:52.420]   for the things I haven't gotten right.
[01:33:52.420 --> 01:33:53.460]   You know what?
[01:33:53.460 --> 01:33:56.300]   I guess I'm kind of, and it leads back to Winnicott,
[01:33:56.300 --> 01:33:58.380]   the British physician,
[01:33:58.380 --> 01:34:00.900]   of I'm good enough.
[01:34:00.900 --> 01:34:05.300]   And that seems to help people feel happy,
[01:34:05.300 --> 01:34:07.460]   contentment and be generative and productive
[01:34:07.460 --> 01:34:08.380]   into later life.
[01:34:08.380 --> 01:34:10.940]   It's like that's what we all should be wanting.
[01:34:10.940 --> 01:34:12.660]   But it's even, it's kind of an afterthought, though.
[01:34:12.660 --> 01:34:14.460]   Some people are like that as opposed to,
[01:34:14.460 --> 01:34:16.020]   wait a second, right?
[01:34:16.020 --> 01:34:17.780]   What's going on with them?
[01:34:17.780 --> 01:34:20.060]   And let's do all of that.
[01:34:21.100 --> 01:34:23.620]   Albert Camus writes in "Myth of Sisyphus,"
[01:34:23.620 --> 01:34:27.100]   quote, "There's only one real serious philosophical problem
[01:34:27.100 --> 01:34:29.180]   and that is suicide.
[01:34:29.180 --> 01:34:31.860]   Deciding whether or not life is worth living
[01:34:31.860 --> 01:34:34.580]   is to answer the fundamental question in philosophy.
[01:34:34.580 --> 01:34:38.340]   All other questions follow from that."
[01:34:38.340 --> 01:34:40.240]   So basically, to be or not to be.
[01:34:40.240 --> 01:34:46.060]   Do you think there's a truth to that statement?
[01:34:46.060 --> 01:34:48.840]   This question of why live at all?
[01:34:49.040 --> 01:34:49.880]   - Mm-hmm.
[01:34:49.880 --> 01:34:52.840]   Do you think there's truth to that statement
[01:34:52.840 --> 01:34:55.400]   being a really, really important question for us to answer?
[01:34:55.400 --> 01:34:57.080]   - Yes, yes.
[01:34:57.080 --> 01:34:58.720]   - And what's the answer?
[01:34:58.720 --> 01:35:00.680]   - I think the answer is yes.
[01:35:00.680 --> 01:35:03.680]   And I think Camus answered it yes, too.
[01:35:03.680 --> 01:35:06.120]   You know, I love his writing,
[01:35:06.120 --> 01:35:11.120]   and I think there was a streak of nihilism
[01:35:11.120 --> 01:35:15.360]   that I think grew in his writing over the years,
[01:35:15.360 --> 01:35:18.280]   and the thought is, I think, that Camus died by suicide.
[01:35:18.280 --> 01:35:19.360]   I think we're not sure of that
[01:35:19.360 --> 01:35:21.520]   because it was a car accident.
[01:35:21.520 --> 01:35:25.400]   But I've always read that as the primary scholarly opinion.
[01:35:25.400 --> 01:35:28.000]   And I think it's interesting that after his death,
[01:35:28.000 --> 01:35:30.760]   a book called "The First Man" was published,
[01:35:30.760 --> 01:35:32.760]   which I don't know if he had intended to publish.
[01:35:32.760 --> 01:35:34.280]   I don't remember the specifics about it,
[01:35:34.280 --> 01:35:36.560]   but it's about him as a child, right?
[01:35:36.560 --> 01:35:38.280]   And it's interesting, the first man.
[01:35:38.280 --> 01:35:41.440]   He was the first man in his existence, right?
[01:35:41.440 --> 01:35:43.480]   The most, you know, the one that felt
[01:35:43.480 --> 01:35:44.960]   and experienced everything.
[01:35:44.960 --> 01:35:48.680]   And there's sadness and distress and all in that book,
[01:35:48.680 --> 01:35:52.240]   but there's a beauty of life and living and experience.
[01:35:52.240 --> 01:35:55.040]   And I think to compare that beauty,
[01:35:55.040 --> 01:35:56.720]   like that's life,
[01:35:56.720 --> 01:35:58.800]   even if something's difficult and scary and sad.
[01:35:58.800 --> 01:36:00.400]   Like there's something beautiful around the corner,
[01:36:00.400 --> 01:36:02.760]   and here's a kind person and a new discovery.
[01:36:02.760 --> 01:36:05.160]   You know, more what was in him as a child.
[01:36:05.160 --> 01:36:07.480]   And I think that we can get jaded,
[01:36:07.480 --> 01:36:09.440]   as you and I were just talking about a few minutes ago.
[01:36:09.440 --> 01:36:12.080]   We can accentuate the negative and foster the negative
[01:36:12.080 --> 01:36:15.880]   and come to a place where we're looking for
[01:36:15.880 --> 01:36:18.440]   some in-depth philosophical answer, you know,
[01:36:18.440 --> 01:36:20.120]   some thick book, you know,
[01:36:20.120 --> 01:36:22.040]   that's gonna explain all that to us
[01:36:22.040 --> 01:36:25.560]   instead of the simplicity that we've been talking about.
[01:36:25.560 --> 01:36:27.800]   I think humility, gratitude,
[01:36:27.800 --> 01:36:32.360]   helps us have just simple positive experiences,
[01:36:32.360 --> 01:36:33.400]   feelings of contentment,
[01:36:33.400 --> 01:36:35.240]   feelings of connection with another person,
[01:36:35.240 --> 01:36:36.640]   learning, discovery.
[01:36:36.640 --> 01:36:39.200]   And I think the answer to Caymu's question is yes,
[01:36:39.200 --> 01:36:41.380]   and I think it lies in his writing
[01:36:41.380 --> 01:36:43.280]   about when he was a child,
[01:36:43.280 --> 01:36:45.880]   which I think he saw as less important
[01:36:45.880 --> 01:36:48.760]   than his later writings and the intellectual heaviness
[01:36:48.760 --> 01:36:52.280]   when I think maybe he had lost his way a little bit
[01:36:52.280 --> 01:36:54.800]   from the things he understood when he was younger.
[01:36:54.800 --> 01:36:56.840]   - So another way to talk about it,
[01:36:56.840 --> 01:36:58.860]   and I'd love to hear what you think,
[01:36:58.860 --> 01:37:02.360]   is about these broad categories,
[01:37:02.360 --> 01:37:05.280]   let me be started with Kierkegaard,
[01:37:05.280 --> 01:37:08.920]   of existentialism, absurdism, and nihilism.
[01:37:08.920 --> 01:37:12.140]   And I think Caymu considered himself an absurdist,
[01:37:12.140 --> 01:37:13.740]   not actually an existentialist.
[01:37:13.740 --> 01:37:16.780]   It's kind of a middle ground where I think existentialists,
[01:37:16.780 --> 01:37:21.020]   I don't want to characterize it in the wrong way,
[01:37:21.020 --> 01:37:22.460]   and there's a lot of different definitions,
[01:37:22.460 --> 01:37:24.740]   but I think existentialists ultimately
[01:37:24.740 --> 01:37:29.180]   do think that there is meaning
[01:37:29.180 --> 01:37:32.260]   in sort of pursuing the passion of life,
[01:37:32.260 --> 01:37:35.900]   like pursuing the, like in living life.
[01:37:35.900 --> 01:37:37.180]   That's where you discover the meaning
[01:37:37.180 --> 01:37:41.640]   at that individual level of fully embracing life.
[01:37:41.640 --> 01:37:46.780]   And I think sort of nihilism is,
[01:37:46.780 --> 01:37:48.060]   again, it's kind of like a spectrum,
[01:37:48.060 --> 01:37:52.060]   but nihilism basically says there's no meaning,
[01:37:52.060 --> 01:37:56.520]   and it doesn't matter, nothing matters.
[01:37:56.520 --> 01:37:59.500]   I don't even know, but somehow that lands you
[01:37:59.500 --> 01:38:02.860]   in a place that's totally uninspired.
[01:38:02.860 --> 01:38:05.500]   Maybe nihilists would disagree with that.
[01:38:05.500 --> 01:38:08.260]   Maybe there's a way to live a creative life
[01:38:08.260 --> 01:38:10.220]   in a nihilistic mindset.
[01:38:10.220 --> 01:38:14.540]   And I think absurdism is somewhere in the middle
[01:38:14.540 --> 01:38:19.540]   where pursuing meaning at all is not a good idea.
[01:38:19.540 --> 01:38:23.860]   So kind of I think existentialists say
[01:38:23.860 --> 01:38:25.540]   you should be looking for meaning,
[01:38:25.540 --> 01:38:28.060]   and it's to be discovered in your own actions,
[01:38:28.060 --> 01:38:30.140]   in your own life, in the moment.
[01:38:30.140 --> 01:38:34.440]   And absurdism says life is absurd, nothing makes sense,
[01:38:34.440 --> 01:38:37.620]   don't look for the meaning, just live, just be.
[01:38:37.620 --> 01:38:42.620]   I think that's kind of the later Camus kind of philosophy.
[01:38:42.620 --> 01:38:44.320]   I don't know if you can sort of comment
[01:38:44.320 --> 01:38:47.340]   on these kind of nuanced ideas here.
[01:38:47.340 --> 01:38:52.340]   If there is no religious guide to your life,
[01:38:52.340 --> 01:38:56.820]   what do you think about this kind of search for meaning?
[01:38:56.820 --> 01:38:58.460]   Do you see that there's some wisdom
[01:38:58.460 --> 01:39:01.620]   in the existentialist perspective of discovering it
[01:39:01.620 --> 01:39:03.680]   in your own life, in this passion,
[01:39:03.680 --> 01:39:06.220]   in this kind of day-to-day existence,
[01:39:06.220 --> 01:39:08.120]   in the moments of your life that bring you joy,
[01:39:08.120 --> 01:39:08.960]   that kind of thing?
[01:39:08.960 --> 01:39:10.720]   - You're bringing different sort of perspectives
[01:39:10.720 --> 01:39:12.200]   and trying to tease apart, like, well, wait,
[01:39:12.200 --> 01:39:14.480]   what are the differences in those perspectives?
[01:39:14.480 --> 01:39:17.040]   And I think what it points out is that,
[01:39:17.040 --> 01:39:19.720]   okay, we tend to conflate things as human beings,
[01:39:19.720 --> 01:39:21.120]   and to take two different things
[01:39:21.120 --> 01:39:22.680]   and try and make them into one.
[01:39:22.680 --> 01:39:24.800]   But we also, I think, on the other end of the spectrum,
[01:39:24.800 --> 01:39:26.960]   get very overly reductionist.
[01:39:26.960 --> 01:39:30.340]   And I think that when we get too overly reductionist,
[01:39:30.340 --> 01:39:32.360]   we lose the ability to learn from anything
[01:39:32.360 --> 01:39:33.200]   or to generate meaning.
[01:39:33.200 --> 01:39:35.000]   I mean, think about Sartre,
[01:39:35.000 --> 01:39:37.120]   who the thought of existentialism
[01:39:37.120 --> 01:39:38.640]   is so consistent with him,
[01:39:38.640 --> 01:39:43.120]   who, on the one hand, wrote about very clear terms,
[01:39:43.120 --> 01:39:44.600]   like this is what it is and this is what it isn't,
[01:39:44.600 --> 01:39:45.960]   and here's how you're gonna make your meaning
[01:39:45.960 --> 01:39:48.800]   in a very academically proscribed way.
[01:39:48.800 --> 01:39:52.320]   But he also wrote short stories like "The Wall,"
[01:39:52.320 --> 01:39:54.920]   where something totally absurd happens
[01:39:54.920 --> 01:39:56.360]   as part of the story.
[01:39:56.360 --> 01:39:58.720]   So I think what ends up happening
[01:39:58.720 --> 01:40:00.240]   is people either reduce themselves
[01:40:00.240 --> 01:40:02.160]   or get associated with something,
[01:40:02.160 --> 01:40:04.140]   that by being overly reductionist
[01:40:04.140 --> 01:40:05.900]   takes us away from meaning.
[01:40:05.900 --> 01:40:08.640]   The idea that, look, we don't know
[01:40:08.640 --> 01:40:12.200]   if there is an overarching religious meaning
[01:40:12.200 --> 01:40:14.800]   or what we call a religious meaning or purpose.
[01:40:14.800 --> 01:40:15.960]   We don't know that.
[01:40:15.960 --> 01:40:18.720]   So, okay, if we take that as a given,
[01:40:18.720 --> 01:40:21.440]   that people who say that they know are having faith,
[01:40:21.440 --> 01:40:23.080]   like how Spinoza described faith.
[01:40:23.080 --> 01:40:27.120]   Faith is that you don't know, but you believe anyway.
[01:40:27.120 --> 01:40:29.100]   It's not because you have faith
[01:40:29.100 --> 01:40:30.760]   now you know something, right?
[01:40:30.760 --> 01:40:32.840]   Because I think that's a slippery slope
[01:40:32.840 --> 01:40:35.200]   to the persecution of others, right?
[01:40:35.200 --> 01:40:38.520]   So if we say, okay, we don't know,
[01:40:38.520 --> 01:40:41.360]   then we're left either deciding,
[01:40:41.360 --> 01:40:44.160]   okay, well, then to hell with everything.
[01:40:44.160 --> 01:40:46.280]   There's that movie "A Strange Brew," right?
[01:40:46.280 --> 01:40:48.880]   Bob and Doug McKenzie, where the brakes don't work
[01:40:48.880 --> 01:40:50.280]   on the car and one of them says,
[01:40:50.280 --> 01:40:52.080]   "Oh, why bother steering?"
[01:40:52.080 --> 01:40:53.600]   So if we don't know that there's meaning,
[01:40:53.600 --> 01:40:54.440]   like why bother steering?
[01:40:54.440 --> 01:40:55.920]   Let's just give up the ghost, right?
[01:40:55.920 --> 01:40:58.160]   And I don't think that's even what the nihilists said.
[01:40:58.160 --> 01:40:59.760]   I mean, I think Bakunin said,
[01:40:59.760 --> 01:41:02.740]   we should get rid of everything that we've ever created
[01:41:02.740 --> 01:41:04.520]   except Beethoven's Ninth Symphony
[01:41:04.520 --> 01:41:06.140]   and start over from there.
[01:41:06.140 --> 01:41:08.300]   But so even people who are very nihilistic
[01:41:08.300 --> 01:41:10.040]   or associated with that,
[01:41:10.040 --> 01:41:12.500]   a lot of them were just not liking what we had built, right?
[01:41:12.500 --> 01:41:15.700]   So if we accept that a lot of what we have built
[01:41:15.700 --> 01:41:17.720]   as humans inside of us and outside of us
[01:41:17.720 --> 01:41:19.980]   is really counterproductive and doesn't help us,
[01:41:19.980 --> 01:41:23.080]   and that absurd things happen in the world, right?
[01:41:23.080 --> 01:41:24.780]   And that often the way social structures
[01:41:24.780 --> 01:41:27.980]   and systems build up, build themselves up is absurd.
[01:41:27.980 --> 01:41:29.560]   I think our healthcare system
[01:41:29.560 --> 01:41:32.060]   operates in a way that's absurd, right?
[01:41:32.060 --> 01:41:34.500]   So if we accept that there are absurdities
[01:41:34.500 --> 01:41:36.580]   that we don't know if there's truth,
[01:41:36.580 --> 01:41:37.760]   then what are we left with?
[01:41:37.760 --> 01:41:40.740]   But like, well, let's try and make meaning, right?
[01:41:40.740 --> 01:41:42.660]   Ortega y Gasset said,
[01:41:42.660 --> 01:41:44.740]   "Yo soy yo en mi circunstancia," right?
[01:41:44.740 --> 01:41:46.820]   I am myself in my circumstances, right?
[01:41:46.820 --> 01:41:49.160]   Which is like, look, we can't control everything.
[01:41:49.160 --> 01:41:51.940]   We live in circumstances around us,
[01:41:51.940 --> 01:41:54.020]   but within those circumstances,
[01:41:54.020 --> 01:41:57.980]   we can make decisions and define ourselves.
[01:41:57.980 --> 01:41:59.660]   And I think the brilliance of that,
[01:41:59.660 --> 01:42:01.800]   and I think tying it all together, right,
[01:42:01.800 --> 01:42:04.020]   in a way that's not trying to be,
[01:42:04.020 --> 01:42:05.240]   in a sense it ties it all together
[01:42:05.240 --> 01:42:08.160]   by not trying to answer everything concisely,
[01:42:08.160 --> 01:42:09.860]   that yes, we can make meaning.
[01:42:09.860 --> 01:42:10.700]   Like, we see that.
[01:42:10.700 --> 01:42:12.500]   If someone trips in front of me,
[01:42:12.500 --> 01:42:14.320]   I could walk around them or I could help them up.
[01:42:14.320 --> 01:42:17.700]   I mean, no one can tell me that it doesn't matter what I do.
[01:42:17.700 --> 01:42:19.860]   I absolutely reject the idea that,
[01:42:19.860 --> 01:42:22.180]   oh, I could step over them or on them,
[01:42:22.180 --> 01:42:24.060]   or I could help them up and it doesn't matter.
[01:42:24.060 --> 01:42:27.300]   Oh yeah, try being the person on the ground, right?
[01:42:27.300 --> 01:42:31.540]   So we create meaning, but we live in our circumstances,
[01:42:31.540 --> 01:42:34.140]   and there are absurdities both within us
[01:42:34.140 --> 01:42:36.420]   and outside of us in our social structures.
[01:42:36.420 --> 01:42:37.660]   And there are a lot of things
[01:42:37.660 --> 01:42:40.020]   that pretend to have meaning that don't,
[01:42:40.020 --> 01:42:42.060]   and there's the shades of nihilism,
[01:42:42.060 --> 01:42:44.300]   but ultimately there's something going on here
[01:42:44.300 --> 01:42:45.580]   that's doing the best we can
[01:42:45.580 --> 01:42:47.340]   in the context of just not knowing.
[01:42:47.340 --> 01:42:50.500]   - Yeah, I tend to see, I don't know if it's genetic,
[01:42:50.500 --> 01:42:53.820]   I think, I tend to think just observing the internet,
[01:42:53.820 --> 01:42:55.320]   the number of memes there are,
[01:42:55.320 --> 01:42:58.860]   I think many other people are like me.
[01:42:58.860 --> 01:43:01.900]   I tend to see the humor in the absurdity.
[01:43:01.900 --> 01:43:03.900]   I tend to enjoy it from that kind of angle.
[01:43:03.900 --> 01:43:06.300]   I see the Kafkaesque nature of society,
[01:43:06.300 --> 01:43:07.860]   different aspects of society,
[01:43:07.860 --> 01:43:11.300]   and just kind of notice the magic with a smile.
[01:43:11.300 --> 01:43:15.780]   And just laugh at the circus of it all.
[01:43:15.780 --> 01:43:18.860]   'Cause it is magical that the circus all comes together.
[01:43:18.860 --> 01:43:20.100]   It's like a little bit out of sync,
[01:43:20.100 --> 01:43:22.380]   and then there's a guy playing trombone,
[01:43:22.380 --> 01:43:24.260]   but overall it's pretty good.
[01:43:24.260 --> 01:43:25.100]   It's pretty good.
[01:43:25.100 --> 01:43:27.060]   - Right, and we can look at that and just kind of marvel,
[01:43:27.060 --> 01:43:30.500]   go, huh, which I think is a relation
[01:43:30.500 --> 01:43:33.420]   to at least a lot of what we, in the Western world,
[01:43:33.420 --> 01:43:36.340]   think of as Eastern, as non-attachment.
[01:43:36.340 --> 01:43:38.580]   Because then if there's something absurd,
[01:43:38.580 --> 01:43:42.580]   and it's not good for me, then I accept that too,
[01:43:42.580 --> 01:43:44.780]   instead of getting angry about it, and railing about it,
[01:43:44.780 --> 01:43:47.080]   or seeing some cosmic meaning in it.
[01:43:47.080 --> 01:43:49.060]   I think there's also a healthy non-attachment
[01:43:49.060 --> 01:43:50.580]   in what you're saying too.
[01:43:50.580 --> 01:43:53.340]   - So there's, you mentioned Eastern thought,
[01:43:53.340 --> 01:43:57.180]   there's Dostoevsky, Nietzsche, but also Buddha,
[01:43:57.180 --> 01:44:00.420]   have kind of spoke of life as suffering.
[01:44:00.420 --> 01:44:01.960]   Do you think there's truth to that,
[01:44:01.960 --> 01:44:06.060]   that suffering is a fundamental part of life?
[01:44:06.060 --> 01:44:08.620]   - I think it is a fundamental part of life.
[01:44:08.620 --> 01:44:11.820]   I don't think that means that life is suffering.
[01:44:11.820 --> 01:44:14.780]   If we say, well, life is suffering, then what am I doing?
[01:44:14.780 --> 01:44:16.900]   That I'm trying to erase from my mind
[01:44:16.900 --> 01:44:18.420]   the birth of my children, right?
[01:44:18.420 --> 01:44:20.940]   Things that were filled with joy, right?
[01:44:20.940 --> 01:44:23.500]   Life is not entirely suffering,
[01:44:23.500 --> 01:44:26.060]   but life brings a lot of suffering.
[01:44:26.060 --> 01:44:29.140]   And for some people, it brings such disproportionate
[01:44:29.140 --> 01:44:31.500]   suffering, and the people don't survive the suffering.
[01:44:31.500 --> 01:44:34.260]   And I think when people are conscientious and empathic,
[01:44:34.260 --> 01:44:36.740]   that really bothers us, right?
[01:44:36.740 --> 01:44:38.060]   The suffering in our own lives,
[01:44:38.060 --> 01:44:40.920]   and the fact that others at times could seem to be
[01:44:40.920 --> 01:44:42.420]   so overwhelmed by suffering,
[01:44:42.420 --> 01:44:45.060]   that they don't even get a chance to see good.
[01:44:45.060 --> 01:44:48.020]   And I think that there's, I do think there's truth to that,
[01:44:48.020 --> 01:44:50.260]   and there's sadness and distress to that.
[01:44:50.260 --> 01:44:52.860]   But to say, therefore, life is suffering,
[01:44:52.860 --> 01:44:54.780]   I think is completely untrue.
[01:44:54.780 --> 01:44:58.340]   And it ignores the fact that someone even made a trombone,
[01:44:58.340 --> 01:45:00.180]   right, let alone that there's a little bit out of sync,
[01:45:00.180 --> 01:45:01.740]   and someone's playing the trombone.
[01:45:01.740 --> 01:45:05.340]   That's cool, there's elements of the absurd
[01:45:05.340 --> 01:45:06.980]   that are neat and interesting.
[01:45:06.980 --> 01:45:10.620]   And if we start accepting that we can't understand
[01:45:10.620 --> 01:45:13.300]   or control everything, then we can accept,
[01:45:13.300 --> 01:45:17.900]   and I think really love and foster the beauty in our lives.
[01:45:18.460 --> 01:45:21.500]   - Yeah, I think the word suffering
[01:45:21.500 --> 01:45:24.060]   is doing a little bit too much work,
[01:45:24.060 --> 01:45:25.260]   'cause I think it's probably referring
[01:45:25.260 --> 01:45:27.920]   to the philosophical concept of that,
[01:45:27.920 --> 01:45:31.820]   yeah, that it's absurd, the absurdity.
[01:45:31.820 --> 01:45:32.660]   - Right. - That stuff
[01:45:32.660 --> 01:45:33.840]   just happens randomly.
[01:45:33.840 --> 01:45:37.580]   Evil people succeed, good people fail.
[01:45:37.580 --> 01:45:38.940]   - Right. - There's a seeming
[01:45:38.940 --> 01:45:41.540]   random injustice on occasion.
[01:45:41.540 --> 01:45:43.060]   - Right. - And on occasion,
[01:45:43.060 --> 01:45:46.660]   there's justice in, yeah, all of it
[01:45:46.660 --> 01:45:51.140]   that feels like, and maybe because it,
[01:45:51.140 --> 01:45:52.980]   often there's a lot of loss,
[01:45:52.980 --> 01:45:57.980]   and then there's a kind of matching complementary aspect
[01:45:57.980 --> 01:46:02.600]   to any good feeling that all comes crashing down,
[01:46:02.600 --> 01:46:06.780]   like every hello from a physics perspective
[01:46:06.780 --> 01:46:08.000]   ends in a goodbye.
[01:46:08.000 --> 01:46:14.180]   Like, that's a really sad thing,
[01:46:14.700 --> 01:46:19.700]   like I've, all the amazing people I get to meet in my life,
[01:46:19.700 --> 01:46:23.500]   all the amazing experiences, eventually they have to end,
[01:46:23.500 --> 01:46:26.180]   and that's part of what makes them amazing.
[01:46:26.180 --> 01:46:27.780]   - Why is that sad?
[01:46:27.780 --> 01:46:30.380]   Is it because we're taught to think that it's,
[01:46:30.380 --> 01:46:32.340]   look, at some point, you and I are gonna say goodbye today,
[01:46:32.340 --> 01:46:33.820]   like I hope we're richer for it,
[01:46:33.820 --> 01:46:35.700]   and then we take that goodness off with us.
[01:46:35.700 --> 01:46:38.140]   Like, I wanna celebrate that
[01:46:38.140 --> 01:46:39.860]   because it's all part of the goodness.
[01:46:39.860 --> 01:46:41.660]   I think we're taught to think, oh, that's so bad,
[01:46:41.660 --> 01:46:43.660]   and it equates to death and misery,
[01:46:43.660 --> 01:46:47.420]   and I think it's often not that way.
[01:46:47.420 --> 01:46:48.660]   - I think there is a sadness to it,
[01:46:48.660 --> 01:46:53.380]   but I also don't think that sadness is a negative thing.
[01:46:53.380 --> 01:46:56.280]   It's a different way to celebrate a beautiful thing,
[01:46:56.280 --> 01:46:58.260]   so there's a melancholic nature to it,
[01:46:58.260 --> 01:47:01.140]   something passing of it leaving.
[01:47:01.140 --> 01:47:03.580]   I mean, it's that old Louis C.K. thing
[01:47:03.580 --> 01:47:07.020]   that I go back to over and over from his show "Louis,"
[01:47:07.020 --> 01:47:12.020]   where he was all heartbroken that he just broke up
[01:47:13.260 --> 01:47:16.420]   with somebody he loved,
[01:47:16.420 --> 01:47:18.940]   and he told about that to an old man,
[01:47:18.940 --> 01:47:21.620]   and the old man said, "You're a fool.
[01:47:21.620 --> 01:47:22.820]   "That's the best part.
[01:47:22.820 --> 01:47:24.220]   "I missed that part,"
[01:47:24.220 --> 01:47:27.180]   where you sort of are lingering in that loss.
[01:47:27.180 --> 01:47:28.940]   You're feeling the pain of that loss
[01:47:28.940 --> 01:47:30.920]   because that lasts the longest.
[01:47:30.920 --> 01:47:32.220]   It's the most intense.
[01:47:32.220 --> 01:47:33.740]   It's the most reliable,
[01:47:33.740 --> 01:47:37.020]   and it's a kind of celebration of the love you had.
[01:47:37.020 --> 01:47:41.720]   Like, losing the love is still a celebration of the love.
[01:47:43.220 --> 01:47:45.900]   I think you don't wanna over-romanticize that,
[01:47:45.900 --> 01:47:48.220]   but there's some aspect of truth to that.
[01:47:48.220 --> 01:47:51.860]   Like, that melancholic feeling of remembering
[01:47:51.860 --> 01:47:53.980]   a beautiful time that's no longer there
[01:47:53.980 --> 01:47:57.340]   is a kind of celebration of it
[01:47:57.340 --> 01:47:59.340]   and is a kind of joyful experience,
[01:47:59.340 --> 01:48:04.340]   even though it's very easy to experience it
[01:48:04.340 --> 01:48:06.260]   as a negative emotion.
[01:48:06.260 --> 01:48:07.540]   I think it's just like you said.
[01:48:07.540 --> 01:48:09.420]   I mean, it's up to our mind to determine
[01:48:09.420 --> 01:48:11.300]   how that emotion is really felt,
[01:48:11.300 --> 01:48:13.420]   but it's a tricky one 'cause it's like heartbreak
[01:48:13.420 --> 01:48:15.380]   to experience that as a positive thing.
[01:48:15.380 --> 01:48:17.900]   - People can reminisce at funerals, right, and laugh
[01:48:17.900 --> 01:48:19.780]   because people can be very, very, very sad
[01:48:19.780 --> 01:48:23.220]   and perceive that this person has died
[01:48:23.220 --> 01:48:25.000]   and perceive the sadness of it,
[01:48:25.000 --> 01:48:27.980]   but in perceiving that and really living in it,
[01:48:27.980 --> 01:48:30.820]   then you can have people who wanna remember that person
[01:48:30.820 --> 01:48:32.620]   by telling a funny story.
[01:48:32.620 --> 01:48:33.460]   Why?
[01:48:33.460 --> 01:48:35.300]   Because each of those people carries that with them.
[01:48:35.300 --> 01:48:38.020]   So I think what you're saying is consistent
[01:48:38.020 --> 01:48:40.260]   with healthy function as human beings
[01:48:40.260 --> 01:48:42.540]   because we're gonna encounter sadness and loss.
[01:48:42.540 --> 01:48:44.360]   What do we do with that, right,
[01:48:44.360 --> 01:48:47.220]   and do we do things that ultimately create some redemption
[01:48:47.220 --> 01:48:49.520]   or even reparation inside of us?
[01:48:49.520 --> 01:48:52.380]   And reparation's a big word in psychology, right?
[01:48:52.380 --> 01:48:54.140]   It's how we repair damage and loss.
[01:48:54.140 --> 01:48:56.260]   So if we lose someone and we're sad,
[01:48:56.260 --> 01:48:59.580]   can we, by telling funny stories about that person,
[01:48:59.580 --> 01:49:01.720]   remind ourselves that, hey, they're still inside of us.
[01:49:01.720 --> 01:49:03.320]   Whether they're out there looking at me, I don't know,
[01:49:03.320 --> 01:49:05.700]   but I can call that person of mine inside of us
[01:49:05.700 --> 01:49:08.240]   and then we have something that's good and beautiful
[01:49:08.240 --> 01:49:09.420]   that comes of that too.
[01:49:10.340 --> 01:49:15.220]   - In the introduction to your book on trauma,
[01:49:15.220 --> 01:49:16.660]   Lady Gaga wrote it.
[01:49:16.660 --> 01:49:18.360]   She wrote the foreword, the intro.
[01:49:18.360 --> 01:49:21.420]   She said this about you, quote,
[01:49:21.420 --> 01:49:26.180]   "I can now say with certainty that this man saved my life.
[01:49:26.180 --> 01:49:29.140]   "He made life worth living."
[01:49:29.140 --> 01:49:31.100]   This goes to our discussion about
[01:49:31.100 --> 01:49:36.380]   the myth of Sisyphus, Camus question about why live.
[01:49:37.560 --> 01:49:39.600]   So I think, at least to me,
[01:49:39.600 --> 01:49:43.160]   she's one of the most brilliant and unique artists ever.
[01:49:43.160 --> 01:49:47.400]   So it's a difficult question, but a question of creativity.
[01:49:47.400 --> 01:49:52.400]   What role does trauma play in somebody like that,
[01:49:52.400 --> 01:49:57.860]   in this artist that has created some incredible things?
[01:49:57.860 --> 01:50:02.860]   What positive, constructive role does trauma serve
[01:50:04.960 --> 01:50:08.160]   and what limiting role does it serve
[01:50:08.160 --> 01:50:10.980]   in preventing that person from flourishing more?
[01:50:10.980 --> 01:50:15.260]   - Trauma can certainly drive us to creativity,
[01:50:15.260 --> 01:50:19.000]   even to push against or to protest against
