
[00:00:00.400 --> 00:00:06.400]   every time you hear about another airline award chart disappearing or hotel program devaluation
[00:52:12.960 --> 00:52:19.120]   here is that if you're looking at your data and you're ending up with point values that are higher
[00:52:19.120 --> 00:52:23.760]   than some of these sale values then i would encourage you to bring that number down because
[00:52:23.760 --> 00:52:28.400]   it's not necessarily a fair comparison it's absolutely fair to say you got that much value from those
[00:52:28.400 --> 00:52:33.520]   points but if you're trying to compare whether you should be earning cash back or not i would cap your
[00:52:33.520 --> 00:52:43.040]   airline points at two cents and i would cap your hotel points at 0.5 to 0.62 for most programs 0.9 ish for
[00:52:43.040 --> 00:52:49.600]   marriott and probably around 2.08 for hyatt so my summary is that i'm not buying points unless i need
[00:52:49.600 --> 00:52:54.320]   them and i know the program really well and i know how i'm going to use them but i would apply these caps
[00:52:54.320 --> 00:53:01.680]   if i'm doing any calculations as it applies to comparing airline and hotel credit cards to cash
[00:53:01.680 --> 00:53:05.920]   back cards right obviously it's totally true that you could get two cents of value from your hilton
[00:53:05.920 --> 00:53:10.720]   points but if you want to compare your hilton card to an equivalent cash back card i would cap the value
[00:53:10.720 --> 00:53:19.120]   of those hilton points at half a cent same for ihg choice again 0.62 marriott 0.89 hyatt 2.08 on the airline
[00:53:19.120 --> 00:53:25.360]   side if it's avianca cap it at 1.3 cents for all other airlines i would probably cap it at 2 cents
[00:53:25.360 --> 00:53:30.720]   just because there are a lot of options but they're not consistent so you probably couldn't come down
[00:53:30.720 --> 00:53:34.960]   much lower than that now you'll notice all those values we talked about were for airline and hotel
[00:53:34.960 --> 00:53:39.920]   programs yet i'm constantly talking about how much i love earning transferable points and most of the
[00:53:39.920 --> 00:53:44.400]   cards i'm spending most of my dollars on are for transferable points because you don't need to commit
[00:53:44.400 --> 00:53:50.640]   to one program so like i said before if you find a flight on lufthansa you could just transfer points
[00:53:50.640 --> 00:53:54.560]   to a star alliance airline and assuming that availability is there you could book it whereas
[00:53:54.560 --> 00:53:58.560]   if you're accruing delta or american miles you'd be out of luck so how do we think about valuing those
[00:53:58.560 --> 00:54:02.960]   transferable points i think at a minimum they have to be worth the average of all the programs you could
[00:54:02.960 --> 00:54:07.920]   transfer them to but i'm not transferring them to places with terrible value so you could probably make
[00:54:07.920 --> 00:54:12.640]   the case that they should be valued at the maximum value of all the airlines and hotels you could transfer
[00:54:12.640 --> 00:54:16.880]   them to that wouldn't necessarily account for the fact that there are transfer bonuses and you get
[00:54:16.880 --> 00:54:22.320]   value from flexibility so this is a tough one the points guy errs on the higher side valuing chase amex
[00:54:22.320 --> 00:54:27.680]   built at two cents per point or more one mile at a time just gives them all 1.7 cents per point
[00:54:27.680 --> 00:54:32.720]   and frequent miler has them all around 1.5 cents per point keep in mind they're doing these reasonable
[00:54:32.720 --> 00:54:38.240]   redemption values so they're not trying to target the max value you can get for me i'm almost always
[00:54:38.240 --> 00:54:43.280]   getting at least one and a half cent per point often it's two cents per point or more i recognize
[00:54:43.280 --> 00:54:48.640]   i could buy those points so i can't go above that level so i probably lean towards something around
[00:54:48.640 --> 00:54:54.240]   the one mile at a time perspective of saying i'm going to value all my transferable points at 1.7 cents
[00:54:54.240 --> 00:54:59.440]   per point now again if you're new to this game if you're flying mostly economy if you're flying mostly
[00:54:59.440 --> 00:55:05.280]   domestically maybe you're not getting 1.7 cents per point and that's totally fine right the game is not to
[00:55:05.280 --> 00:55:09.680]   try to get the most value because if you have to take trips you don't otherwise want to take to get
[00:55:09.680 --> 00:55:14.720]   the most value that doesn't make sense the point of all this is to make sure you're maximizing what
[00:55:14.720 --> 00:55:20.320]   you earn when you're spending money on a regular basis but one other important consideration here
[00:55:20.320 --> 00:55:25.520]   is really about your own psychology you might realize that points allow you to take a trip that
[00:55:25.520 --> 00:55:29.280]   you wouldn't have otherwise taken in the same way that paying down the principle of your mortgage
[00:55:29.280 --> 00:55:34.640]   forces you to save earning points instead of cash back might force you to travel if you had that
[00:55:34.640 --> 00:55:39.760]   cash back you might not have made the decision to spend your money on travel but with points you
[00:55:39.760 --> 00:55:44.560]   really have to travel to get your value out of them which might be a good thing on the flip side the
[00:55:44.560 --> 00:55:49.120]   overhead of booking a trip with points can be a lot especially if you're new to this it might limit
[00:55:49.120 --> 00:55:54.480]   where you can go or the dates you travel and the best deals might put you in a situation where they're
[00:55:54.480 --> 00:55:59.360]   driving the trip instead of where you want to go now i think as you learn this game more you can get
[00:55:59.360 --> 00:56:04.800]   past that but it's definitely a consideration and i would bump up or down my point value depending on
[00:56:04.800 --> 00:56:10.080]   how strongly i felt about either of these for me i love the former i love that it forces us to take trips
[00:56:10.080 --> 00:56:16.880]   i do hate that the process is harder right if i were just sitting here with no points at all and
[00:56:16.880 --> 00:56:21.280]   we wanted to take a trip i would just find the best deal but i would probably game that out as well
[00:56:21.280 --> 00:56:25.280]   trying to figure out well what if i fly here and then change planes and go here or book two separate
[00:56:25.280 --> 00:56:30.160]   flights so that overhead would probably exist for my personality anywhere but it's just something to
[00:56:30.160 --> 00:56:35.840]   consider and i think for a lot of people might give a slight edge to points so with all that taken into
[00:56:35.840 --> 00:56:40.480]   account i think the real benefit of having a good framework for valuing points is not just to know how
[00:56:40.480 --> 00:56:46.800]   much value we're getting it's to give us a good comparison of whether earning points make sense over
[00:56:46.800 --> 00:56:52.160]   earning cash back unfortunately i will save you a lot of work here because i took a lot of time
[00:56:52.160 --> 00:56:57.840]   digging through my credit card optimizer tool which i built to really help you compare what value you get
[00:56:57.840 --> 00:57:02.880]   out of all of the different cards you could spend on but one of the inputs for that tool is what is the
[00:57:02.880 --> 00:57:08.000]   value of your points so hopefully this episode will help you drive that number if you want to play with
[00:57:08.000 --> 00:57:13.600]   that tool go to all the hacks.com card tool and you can buy it there or it's free for all the hacks
[00:57:13.600 --> 00:57:18.960]   members which you can learn more about at all the hacks.com join so my goal was actually to run through
[00:57:18.960 --> 00:57:22.640]   all the different spending categories and all the different credit cards out there to compare the
[00:57:22.640 --> 00:57:27.120]   best cashback rates to the best points earning rates because at the end of the day if the place
[00:57:27.120 --> 00:57:32.640]   you spend the most money on gives you an option of a forex points card or a two percent cash back card
[00:57:32.640 --> 00:57:37.280]   well then as long as your points are worth half a cent or more then it's a clear decision to go for
[00:57:37.280 --> 00:57:43.760]   points and so for this episode i ran through all the cards i had but i did not include the earnings on
[00:57:43.760 --> 00:57:49.440]   cards where they were capped at less than ten thousand dollars of spend a year so there are lots of cards
[00:57:49.440 --> 00:57:53.600]   that might give you five or six percent on the first hundred or five hundred dollars a month or a
[00:57:53.600 --> 00:57:59.200]   quarter i excluded all of those cards because i just don't think it's a fair comparison and it just makes
[00:57:59.200 --> 00:58:04.800]   the math really messy so as i ran through this data i looked at kind of two versions one is assume you have
[00:58:04.800 --> 00:58:10.000]   all the best cards in all the categories so on the cashback side that means you have the verizon card
[00:58:10.000 --> 00:58:16.240]   the gemini card the altitude connect on points it means you have cards like the amex business gold card
[00:58:16.240 --> 00:58:22.000]   or the chase inc cash card that's version one version two was i assumed you had a more limited
[00:58:22.000 --> 00:58:28.560]   set of cards and it might be one or two cash back cards for catch-alls it might be on points common
[00:58:28.560 --> 00:58:35.040]   cards like amex gold chase reserve city premier autograph journey and when i ran through it the results
[00:58:35.040 --> 00:58:42.880]   were surprisingly the same for both of those sets for many categories gas grocery flights hotels dining
[00:58:42.880 --> 00:58:49.920]   entertainment the points card matched or beat the cash back rate meaning that if you would get three
[00:58:49.920 --> 00:58:55.280]   percent cash back you would also get three or more x points on those purchases and so for most of these
[00:58:55.280 --> 00:59:00.880]   categories it makes more sense to go for points if you want to get the maximum value now obviously
[00:59:00.880 --> 00:59:05.040]   if you're working on a welcome bonus whether it's a cash back or point welcome bonus then none of this
[00:59:05.040 --> 00:59:09.600]   matters because the earnings of most welcome bonuses take for example a hundred thousand points for six
[00:59:09.600 --> 00:59:14.640]   thousand dollars of spend you're going to get a better return on that welcome bonus spending than
[00:59:14.640 --> 00:59:20.080]   you will with any cash back or any points card in almost any category so if you're working on welcome
[00:59:20.080 --> 00:59:26.240]   bonuses keep going but let's ignore that for a moment and look at the four categories where things were a
[00:59:26.240 --> 00:59:32.640]   little interesting so the first one is non-flight and hotel travel now the big change here is that the chase
[00:59:32.640 --> 00:59:38.960]   sapphire reserve used to give 3x travel now it gives 4x on flights and hotels but 1x on all other travel
[00:59:38.960 --> 00:59:46.160]   there is actually no points card that earns more than 3x points on travel but the altitude connect
[00:59:46.160 --> 00:59:53.360]   card from us bank actually does earn four percent on all travel and if you have a bank of america premium
[00:59:53.360 --> 00:59:59.280]   rewards or premium rewards elite card and you have a hundred thousand dollars in a bank of america or merrill lynch
[00:59:59.280 --> 01:00:07.840]   account you actually earn 3.5 on all travel as well so if the best you can do on non-hotel and flight
[01:00:07.840 --> 01:00:13.760]   travel is 3x points and the best you could do on cashback is four percent then you really need those
[01:00:13.760 --> 01:00:20.160]   points to be worth more than about 1.33 cents for that trade-off to make sense and on that point side to
[01:00:20.160 --> 01:00:26.000]   get that 3x points the only cards still doing that are the autograph card from wells fargo and the amex green
[01:00:26.000 --> 01:00:32.160]   card which i know are not the most popular cards so i would say if you spend a lot of money on non-flight
[01:00:32.160 --> 01:00:38.000]   non-hotel travel it might be worth digging into this a little bit more and you might find that a cashback
[01:00:38.000 --> 01:00:43.440]   card like the altitude connect is the better card for you next category is amazon this one's really easy
[01:00:43.440 --> 01:00:47.280]   there's nothing in the points world that i think comes close to earning five percent back on the prime
[01:00:47.280 --> 01:00:52.960]   visa if you spend a lot on amazon you probably want that card i do not earn points on amazon purchases
[01:00:52.960 --> 01:00:58.000]   next category is a small one for i think most of us which is streaming but that altitude connect
[01:00:58.000 --> 01:01:03.120]   card i mentioned before you get four percent back on streaming the best points cards that i found earn
[01:01:03.120 --> 01:01:08.160]   3x points so i don't think most people are spending enough on streaming for this to matter but if for
[01:01:08.160 --> 01:01:12.640]   some reason you're spending a ridiculous amount of money on streaming you know depending on how you
[01:01:12.640 --> 01:01:18.240]   value your points it might not make sense to be earning points on streaming but the big one here
[01:01:18.240 --> 01:01:23.680]   is the everything else category it includes all the spending at places that you aren't getting bonuses
[01:01:23.680 --> 01:01:31.840]   on dining on gas on groceries on travel and this one is really dependent on which cashback card you
[01:01:31.840 --> 01:01:38.160]   have on the point side there's a bunch of options to get 2x points venture venture x from capital one
[01:01:38.160 --> 01:01:43.520]   if you have the city strata premier or elite you can get the city double cash there are a bunch of options
[01:01:43.520 --> 01:01:47.520]   for getting 2x points on everything and on the cashback side there are a lot of options for
[01:01:47.520 --> 01:01:53.360]   getting 2 cash back and if that's your only option on cash back then again it's a relative do you value
[01:01:53.360 --> 01:01:59.040]   points more than one cent if so points wins if not then it doesn't make sense however there are cashback
[01:01:59.040 --> 01:02:04.160]   cards that earn more than two percent cash back and that's where this gets interesting so the first one
[01:02:04.160 --> 01:02:09.520]   which was a lot more compelling earlier this year was the us bank smartly card now if you have the us bank
[01:02:09.520 --> 01:02:15.600]   smartly card after it got nerfed this year and you factor in all these new limits what you need the fact
[01:02:15.600 --> 01:02:20.320]   that in order to get beyond two percent you have to hold cash in an account that earns almost nothing
[01:02:20.320 --> 01:02:24.960]   i don't think you can make a strong case for this card being any more than a two and a half percent
[01:02:24.960 --> 01:02:29.360]   cashback card and even that feels like a little bit of a stretch because you still have to keep ten
[01:02:29.360 --> 01:02:33.520]   thousand dollars in an account earning nothing but let's say that's your primary checking account
[01:02:33.520 --> 01:02:38.560]   and you already leave that there we'll call this a two and a half percent cash back card well to use
[01:02:38.560 --> 01:02:43.920]   a 2x points card like the venture venture x cards over a two and a half percent cash back card you
[01:02:43.920 --> 01:02:49.360]   really need to make sure your point value is above 1.25 cents that's above the floor value so that means
[01:02:49.360 --> 01:02:54.800]   you need to be comfortable transferring to airlines and hotel groups and booking flights and so at that
[01:02:54.800 --> 01:03:00.320]   point i could say it really depends on you but it's starting to make a case for cash back if you're
[01:03:00.320 --> 01:03:05.520]   not that experienced or you're not interested in some of the premium travel options that get higher
[01:03:05.520 --> 01:03:09.920]   value from your points next up is the bank of america setup where you can put a hundred thousand
[01:03:09.920 --> 01:03:15.120]   dollars in bank of america or merrill lynch and when you do it at merrill lynch it can be stocks so it
[01:03:15.120 --> 01:03:20.160]   doesn't need to be something that's making you lose interest putting it in an account that earns nothing
[01:03:20.160 --> 01:03:26.400]   with that card you'd be getting 2.625 on everything you spend on and so comparing that to a 2x points card
[01:03:26.400 --> 01:03:31.600]   means you need your points to be worth 1.33 cents or more so as that number creeps up you have to ask
[01:03:31.600 --> 01:03:38.720]   yourself am i really getting enough value for my points to justify getting 2x points versus 2.625
[01:03:38.720 --> 01:03:43.440]   cash back if you're not in a situation that you could put a hundred thousand dollars of cash or stocks at
[01:03:43.440 --> 01:03:48.000]   a merrill or bank of america account then it's not an option then finally if you have the robin hood card
[01:03:48.000 --> 01:03:52.880]   you could be getting three percent cash back on everything so in that case you'd need your points to be worth
[01:03:52.880 --> 01:03:58.400]   more than one and a half cents and i would argue that if you're not experienced in this game or using
[01:03:58.400 --> 01:04:03.520]   premium travel now that you factor in some of the things i've realized like earning points on cash
[01:04:03.520 --> 01:04:09.040]   bookings i think it's a hard case to make that you're going to consistently earn more than one and
[01:04:09.040 --> 01:04:14.240]   a half cents on your points obviously if you're working on a welcome bonus it's a no-brainer to spend
[01:04:14.240 --> 01:04:18.160]   the money on a points card but if you have no welcome bonus and you're debating between a three
[01:04:18.160 --> 01:04:22.880]   percent cash back card and a 2x points card i don't know it's a tricky comparison especially
[01:04:22.880 --> 01:04:28.240]   factoring in that that cash back can go straight into a bank account that you can hopefully earn
[01:04:28.240 --> 01:04:33.360]   four percent back right now in today's environment versus those points are going to sit maybe in a
[01:04:33.360 --> 01:04:37.520]   transferable points balance but they're not growing over time i thought long and hard about this one for
[01:04:37.520 --> 01:04:43.840]   myself because i actually think that i could make the case to switch to a card earning three percent cash
[01:04:43.840 --> 01:04:50.000]   cash back however the robin hood card doesn't consider taxes or business type transactions
[01:04:50.000 --> 01:04:56.560]   eligible for cash back and if you look at all the spending that we do that is not in all the categories
[01:04:56.560 --> 01:05:02.160]   that bonus like dining and groceries and travel and then you remove taxes and business transactions
[01:05:02.160 --> 01:05:08.480]   there's not a lot left so yes i could open that card and i could be getting slightly more value for all
[01:05:08.480 --> 01:05:13.760]   those everything else purchases however we don't have a lot of purchases in that category so if you're
[01:05:13.760 --> 01:05:19.200]   doing a ton of spend in the everything else category maybe you're spending a lot on home
[01:05:19.200 --> 01:05:24.880]   renovations buying furniture in that case i'd actually consider you to go look at the mesa rewards
[01:05:24.880 --> 01:05:32.560]   card because that card gets 3x on home improvement stores and furniture and home decoration so that one
[01:05:32.560 --> 01:05:39.280]   actually in that example i'm wrong go look at allthehacks.com/mesa in the other categories i'm not
[01:05:39.280 --> 01:05:44.640]   sure what it might be maybe you're buying a lot of stationery maybe you're spending a lot on ebay
[01:05:44.640 --> 01:05:50.480]   just things that don't bonus that maybe aren't considered business type transactions it might make
[01:05:50.480 --> 01:05:56.240]   sense to look at a cashback card if you value your points anywhere close to or below one and a half cents a
[01:05:56.240 --> 01:06:03.920]   point so to recap for almost all purchases with most cards if you value your points over one cent then cashback won't be worth it
[01:06:04.560 --> 01:06:09.360]   however if you spend a lot on amazon i'd get the prime visa if you spend a lot on non-flight hotel
[01:06:09.360 --> 01:06:14.960]   and travel or streaming and you value your points right around 1.2 1.3 cents i would take a look at
[01:06:14.960 --> 01:06:20.960]   that altitude connect card and then for all the other spending that's not bonused on any cards it really
[01:06:20.960 --> 01:06:26.800]   comes down to which cashback card you have and whether you value your points at more than the
[01:06:26.800 --> 01:06:32.480]   cashback rate of that card divided by two since there are a lot of 2x points cards so if it's two
[01:06:32.480 --> 01:06:36.960]   and a half percent cash back then you need to be valuing your points at more than 1.25 cents
[01:06:36.960 --> 01:06:43.360]   now for me i said i value my points at 1.7 cents at least the transferable ones so the only place the
[01:06:43.360 --> 01:06:48.960]   math gets close is on that everything else category and if there was a card that was an uncapped three percent
[01:06:48.960 --> 01:06:54.800]   on all my spending i would consider switching my cash back to those purchases if a card comes back
[01:06:54.800 --> 01:06:59.200]   that's four percent on everything with no caps and no restrictions i would move all my everything else
[01:06:59.200 --> 01:07:05.200]   spending there unfortunately almost all my everything else spending is in categories that that robin hood
[01:07:05.200 --> 01:07:11.600]   card excludes and there's not really another option that's uncapped right now but i'll keep my eyes out
[01:07:11.600 --> 01:07:17.360]   it feels unlikely anyone that does it ends up changing it the coinbase card came out and it seemed like it was
[01:07:17.360 --> 01:07:22.480]   going to be uncapped four percent now it's capped so i am pessimistic that one of these cards will come
[01:07:22.480 --> 01:07:27.760]   out but if they do i will gladly switch my everything spending to team cashback and of course if you're
[01:07:27.760 --> 01:07:32.640]   working on in welcome bonus that's always going to be the better return on your spend so to do the final
[01:07:32.640 --> 01:07:39.200]   recap transferable points probably have a floor value that's at least one cent and airline points might be
[01:07:39.200 --> 01:07:45.280]   similar hotel points all have different values but for the most part excluding hyatt i'd say they at least
[01:07:45.280 --> 01:07:49.680]   have a floor of half a cent when you look at the data you'll see that if you're booking more premium
[01:07:49.680 --> 01:07:54.240]   flights or hotels your points are going to have more value but you need to adjust all that data for
[01:07:54.240 --> 01:07:58.800]   your own trips that you actually take to look at what kind of value you're able to get and unfortunately
[01:07:58.800 --> 01:08:03.520]   there's no one right answer it's all very personal but you also need to factor in some of the things
[01:08:03.520 --> 01:08:10.640]   that i think this industry as a whole leaves out which is that booking flights and hotels with cash often
[01:08:10.640 --> 01:08:17.360]   earns a lot more points and status and points on the credit card spend to book them then i think is
[01:08:17.360 --> 01:08:22.400]   getting factored in here at a range of about 10 to 20 percent so make sure you include that if that's
[01:08:22.400 --> 01:08:28.000]   important to you and if you value the fact that points force you to travel give the value of your
[01:08:28.000 --> 01:08:33.920]   points a bump if you value that points bookings are easily refundable then give that value a bump if
[01:08:33.920 --> 01:08:39.280]   you hate the overhead of booking travel with points and you are very unflexible and you just want to be able
[01:08:39.280 --> 01:08:44.480]   to book whatever flight you want maybe bring the value of points down a bit but not lower than that
[01:08:44.480 --> 01:08:49.520]   one cent value because you could still go book that flight in a travel portal on whatever flight you want
[01:08:49.520 --> 01:08:54.480]   with almost every transferable currency after looking at all the cards you could likely use for spending
[01:08:54.480 --> 01:08:59.760]   i think it's really easy to make a case for points for everything as long as you value your points at more
[01:08:59.760 --> 01:09:04.880]   than one cent and if you've made it this far you probably do with the exception of the categories i
[01:09:04.880 --> 01:09:11.760]   mentioned which is amazon non-flight and hotel travel streaming and that everything else category
[01:09:11.760 --> 01:09:16.800]   which really just needs to be compared to whatever the best cashback card you have would be earning
[01:09:16.800 --> 01:09:22.240]   finally i'm going to push you all to test your convictions in whatever value you think you've come
[01:09:22.240 --> 01:09:28.160]   to for your points using something i learned from greg at the frequent miler he encourages you to think
[01:09:28.160 --> 01:09:33.120]   about what you would really pay for these points so if you came to the end of this episode and said i
[01:09:33.120 --> 01:09:38.560]   think my points are worth one and a half cents and someone actually offered to sell you points in
[01:09:38.560 --> 01:09:43.840]   whatever transferable currency or airline you want would you really pay one and a half cents for them
[01:09:43.840 --> 01:09:50.480]   would you really buy another hundred thousand million chase points alaska points for one and a half cents
[01:09:50.480 --> 01:09:55.600]   if that's the value prescribed and if not if you really wouldn't buy them at that price i'd encourage
[01:09:55.600 --> 01:10:01.120]   you to think about maybe lowering that valuation okay i know we packed a lot into this episode so if you have any
[01:10:01.120 --> 01:10:07.520]   thoughts questions reactions that came from it please send them to podcast at all the hacks dot com
[01:10:07.520 --> 01:10:13.520]   or go to all the hacks dot com slash ama and submit them as a question i can tackle in an upcoming
[01:10:13.520 --> 01:10:17.920]   ask me anything episode thank you so much for listening i will see you next week

