
[00:00:00.000 --> 00:00:04.640]   >> Well, good afternoon.
[00:44:32.720 --> 00:44:34.200]   He is not spatially bound.
[00:44:34.200 --> 00:44:37.880]   And if you say, "Okay, I understand that, but I just can't see him,
[00:44:37.880 --> 00:44:39.560]   and I struggle with that."
[00:44:39.560 --> 00:44:43.520]   Remember this, you may not be able to see him, but that doesn't mean he's
[00:44:43.520 --> 00:44:48.520]   not there because that he was never contingent on that visibility
[00:44:48.520 --> 00:44:50.800]   to begin with.
[00:44:50.800 --> 00:44:52.480]   He will never desert you.
[00:44:52.480 --> 00:44:53.840]   He's right there.
[00:44:53.840 --> 00:44:55.160]   He's always found.
[00:44:55.160 --> 00:44:58.520]   It's not that he's with you, you're with him.
[00:44:58.520 --> 00:45:00.320]   That's what's going on.
[00:45:00.320 --> 00:45:08.720]   Second, God is not just not disconnected, he is not distant from us.
[00:45:08.720 --> 00:45:14.480]   Notice the last phrase, equally emphatic, "I will never,
[00:45:14.480 --> 00:45:16.680]   it will never happen.
[00:45:16.680 --> 00:45:20.560]   I will never forsake you."
[00:45:20.560 --> 00:45:25.960]   Sometimes loneliness is not just a physical reality, just being physically
[00:45:25.960 --> 00:45:33.080]   by yourself or physically isolated or quarantined, it's relational.
[00:45:33.080 --> 00:45:37.160]   You know, you can be in a room filled with people but be alone.
[00:45:37.160 --> 00:45:42.120]   You can be in a room with all your colleagues but be completely rejected.
[00:45:42.120 --> 00:45:46.080]   And probably some of you here have experienced that.
[00:45:46.080 --> 00:45:49.840]   People can shun you, people can mock you, people can feel uncomfortable
[00:45:49.840 --> 00:45:53.600]   around you, people want to distance themselves from you.
[00:45:53.600 --> 00:45:57.800]   And even though they're right next to you, you can be all alone.
[00:45:57.800 --> 00:46:01.760]   And that perhaps is even more hurtful than sometimes being physically
[00:46:01.760 --> 00:46:05.960]   by yourself and wondering if there's anyone out there.
[00:46:05.960 --> 00:46:08.840]   Because when you're physically by yourself, nothing is happening.
[00:46:08.840 --> 00:46:13.360]   There's no one around to do anything to you.
[00:46:13.360 --> 00:46:18.320]   But when people are there and they're proactively rejecting you,
[00:46:18.320 --> 00:46:22.080]   that's when it hurts the most.
[00:46:22.080 --> 00:46:26.840]   And here is exactly what was happening to the people in the author
[00:46:26.840 --> 00:46:29.000]   of Hebrews Day.
[00:46:29.000 --> 00:46:30.720]   They had people around them all the time.
[00:46:30.720 --> 00:46:35.360]   They were presumably in the city of Rome, but they were all by themselves.
[00:46:35.360 --> 00:46:37.360]   They were all by themselves.
[00:46:37.360 --> 00:46:39.520]   And so what does the author of Hebrews do?
[00:46:39.520 --> 00:46:42.480]   In the final chapter, he reminds them of this promise,
[00:46:42.480 --> 00:46:49.160]   "God never has ever forsaken you."
[00:46:49.160 --> 00:46:51.320]   Here's the idea.
[00:46:51.320 --> 00:46:57.360]   There's never been a point for the believer, for the one who knows Christ,
[00:46:57.360 --> 00:47:02.960]   where God has not only just disconnected from them physically but shunned them.
[00:47:02.960 --> 00:47:05.080]   He has never closed the door on them.
[00:47:05.080 --> 00:47:07.480]   He has never turned a cold shoulder on them.
[00:47:07.480 --> 00:47:09.640]   He has never rejected them.
[00:47:09.640 --> 00:47:13.280]   He has never just had enough and doesn't want to listen anymore,
[00:47:13.280 --> 00:47:16.880]   and just completely distanced himself from them.
[00:47:16.880 --> 00:47:18.600]   No, rather, what is it?
[00:47:18.600 --> 00:47:20.040]   It's the opposite of that.
[00:47:20.040 --> 00:47:23.880]   God has always embraced his children.
[00:47:23.880 --> 00:47:26.440]   He has always been near to them.
[00:47:26.440 --> 00:47:29.800]   He has always warmly hugged them.
[00:47:29.800 --> 00:47:33.560]   He has always warmly loved them.
[00:47:33.560 --> 00:47:39.400]   He has always been intimately related and connected with them.
[00:47:39.400 --> 00:47:47.200]   And even in discipline, even in discipline, he still shows that care.
[00:47:47.200 --> 00:47:51.200]   You know, as an educator, sometimes you just feel like you can never win.
[00:47:51.200 --> 00:47:58.200]   If you grade your students harshly, then they say, "The teacher's too harsh.
[00:47:58.200 --> 00:47:59.800]   Writes too much.
[00:47:59.800 --> 00:48:02.560]   Tell him to slacken off a little bit."
[00:48:02.560 --> 00:48:06.760]   So then you abide by their instructions, and then you don't say a thing.
[00:48:06.760 --> 00:48:08.760]   And what do they say in their reviews?
[00:48:08.760 --> 00:48:13.160]   "The teacher seems very disinvolved with the students, doesn't pay attention,
[00:48:13.160 --> 00:48:15.360]   doesn't participate enough in their lives.
[00:48:15.360 --> 00:48:17.040]   We need some more critique.
[00:48:17.040 --> 00:48:18.800]   We need some more rebuke."
[00:48:18.800 --> 00:48:21.400]   Which one is it?
[00:48:21.400 --> 00:48:22.800]   But that's the point.
[00:48:22.800 --> 00:48:30.240]   Even when we're rebuked, even when we're disciplined, it's because a God is there,
[00:48:30.240 --> 00:48:32.360]   not because he's not.
[00:48:32.360 --> 00:48:35.440]   It's because God has not shunned his children.
[00:48:35.440 --> 00:48:36.920]   He's there.
[00:48:36.920 --> 00:48:39.520]   He's there, still holding on.
[00:48:39.520 --> 00:48:41.800]   He's there, still embracing.
[00:48:41.800 --> 00:48:48.400]   He's there, loving, and understanding, and caring about you as his child,
[00:48:48.400 --> 00:48:51.200]   as his adopted son, as his heir.
[00:48:51.200 --> 00:48:53.800]   You can always have comfort.
[00:48:53.800 --> 00:48:58.840]   Even when everyone is ridiculing you, and you feel completely misunderstood,
[00:48:58.840 --> 00:49:02.280]   and they don't understand where I'm coming from, and they don't get me,
[00:49:02.280 --> 00:49:07.400]   there is one who always does, and that's your God.
[00:49:07.400 --> 00:49:09.480]   He perfectly does.
[00:49:09.480 --> 00:49:13.240]   And he is right there, and he is right there, and therefore,
[00:49:13.240 --> 00:49:16.480]   understands everything completely in that second.
[00:49:16.480 --> 00:49:21.440]   And as we go to him in prayer and seek solace in him, you will always have it.
[00:49:21.440 --> 00:49:23.360]   Why?
[00:49:23.360 --> 00:49:27.040]   Because he will never forsake us.
[00:49:27.040 --> 00:49:31.080]   There is no distance between us and God ever, relationally.
[00:49:31.080 --> 00:49:37.040]   But if that's not enough, if you just can't seem to grasp and have our hearts
[00:49:37.040 --> 00:49:42.720]   compelled by this truth that God always embraces us, and always keeps us close,
[00:49:42.720 --> 00:49:48.760]   and always relationally understands, and he is our sympathetic high priest who is
[00:49:48.760 --> 00:49:53.160]   not just understanding, but interceding so that we persevere to the end.
[00:49:53.160 --> 00:49:58.920]   And if that just doesn't grip our heart, remember why God will never forsake us.
[00:49:58.920 --> 00:50:01.680]   Remember why God will never forsake us.
[00:50:01.680 --> 00:50:06.240]   You see, Hebrews 13, 5, like I've been saying, is a quote from the Old Testament.
[00:50:06.240 --> 00:50:10.440]   And it is a quote from the Old Testament, and the Hebrew word "forsake" is found
[00:50:10.440 --> 00:50:13.120]   in other very, very key passages.
[00:50:13.120 --> 00:50:16.200]   You know of one of them, Psalm 22, verse 1.
[00:50:16.200 --> 00:50:22.960]   "My God, my God, why have you forsaken me?"
[00:50:22.960 --> 00:50:29.200]   There's a reason why God will never forsake you.
[00:50:29.200 --> 00:50:35.440]   The reason is this, because he forsook his son.
[00:50:35.440 --> 00:50:43.560]   The reason God will never forsake you is because there was one who took your place.
[00:50:43.560 --> 00:50:46.080]   Do we deserve to be forsaken?
[00:50:46.080 --> 00:50:47.000]   Absolutely.
[00:50:47.000 --> 00:50:53.760]   Do we deserve rejection and the worst kind of repudiation, and humiliation,
[00:50:53.760 --> 00:50:54.680]   and wrath?
[00:50:54.680 --> 00:50:56.080]   Of course we do.
[00:50:56.080 --> 00:51:02.160]   Do we deserve the worst kind of punishment, and the worst kind of alienation,
[00:51:02.160 --> 00:51:05.560]   and the worst kind of despising that we could ever receive?
[00:51:05.560 --> 00:51:07.000]   Of course we do.
[00:51:07.000 --> 00:51:08.400]   But why don't we have it?
[00:51:08.400 --> 00:51:10.640]   Why do we have the complete opposite?
[00:51:10.640 --> 00:51:16.000]   It's because there was one, in space and time, that was forsaken.
[00:51:16.000 --> 00:51:20.920]   And it was not us, but our substitute, the Son of God.
[00:51:20.920 --> 00:51:24.040]   And he was forsaken on our behalf.
[00:51:24.040 --> 00:51:30.840]   He, in his humanity, was rejected by the triune God, and by God the Father,
[00:51:30.840 --> 00:51:34.640]   and poured out his wrath on him, absorbed the penalty for us,
[00:51:34.640 --> 00:51:36.280]   so to speak, took our place.
[00:51:36.280 --> 00:51:42.280]   And all of that happened so that we would never, never, ever in our life,
[00:51:42.280 --> 00:51:46.520]   in our entire existence, face what it really means to be forsaken.
[00:51:46.520 --> 00:51:50.240]   It will never happen because someone took our place.
[00:51:50.240 --> 00:51:54.920]   And in the times when you wonder, because you're hurting so badly,
[00:51:54.920 --> 00:51:59.080]   or you feel so poorly, "Does God still really love me?
[00:51:59.080 --> 00:52:02.640]   Does God even care about what is going on?"
[00:52:02.640 --> 00:52:04.040]   Remember this.
[00:52:04.040 --> 00:52:05.280]   Yes, he does.
[00:52:05.280 --> 00:52:05.960]   Why?
[00:52:05.960 --> 00:52:10.560]   Because someone already took our place to secure that for forever.
[00:52:10.560 --> 00:52:12.240]   That we would never face that.
[00:52:12.240 --> 00:52:16.760]   And in the moments when we're skeptical about how deep that love could be,
[00:52:16.760 --> 00:52:21.680]   and how intimate that care, and compassion, and sympathy is,
[00:52:21.680 --> 00:52:26.600]   just remember what God has communicated here through the wordplay of the text.
[00:52:26.600 --> 00:52:30.040]   He says this, "I gave up my son for you.
[00:52:30.040 --> 00:52:32.080]   I forsook my son for you.
[00:52:32.080 --> 00:52:37.160]   Do you really think that I would forsake you when I could give up and I did not
[00:52:37.160 --> 00:52:39.040]   spare my only son?
[00:52:39.040 --> 00:52:40.720]   Of course, I care about you.
[00:52:40.720 --> 00:52:42.400]   Of course, I love you."
[00:52:42.400 --> 00:52:44.200]   Remember that.
[00:52:44.200 --> 00:52:45.480]   Remember that.
[00:52:45.480 --> 00:52:56.200]   We will never, ever be forsaken because someone took our place and was that for us.
[00:52:56.200 --> 00:53:00.480]   So, God says, "I will never desert you.
[00:53:00.480 --> 00:53:02.960]   I will never leave you nor forsake you."
[00:53:02.960 --> 00:53:05.360]   He's not disconnected.
[00:53:05.360 --> 00:53:10.640]   He's not distant from us because he's always right there.
[00:53:10.640 --> 00:53:12.400]   He's ever found.
[00:53:12.400 --> 00:53:20.320]   And he cannot disconnect from us because his son took that on our behalf.
[00:53:20.320 --> 00:53:27.800]   And when you feel alone, and when you feel rejected, tell yourself that phrase,
[00:53:27.800 --> 00:53:29.920]   and that'll carry you home.
[00:53:29.920 --> 00:53:33.640]   You see, you might say, "How do I know that that's true?"
[00:53:33.640 --> 00:53:36.520]   Remember, this is an Old Testament quote.
[00:53:36.520 --> 00:53:41.240]   It's first found in Deuteronomy 31, where Moses told that to Israel,
[00:53:41.240 --> 00:53:43.920]   and Moses told it to Joshua.
[00:53:43.920 --> 00:53:49.520]   And then, it's found again in Joshua, where God told that to Joshua to tell
[00:53:49.520 --> 00:53:51.320]   to the people of Israel.
[00:53:51.320 --> 00:53:56.400]   And then, it's found again in 1 Chronicles 28, verse 20,
[00:53:56.400 --> 00:53:59.240]   where David is telling that to Solomon.
[00:53:59.240 --> 00:54:03.680]   What you start to see is that every generation tells that truth to the next
[00:54:03.680 --> 00:54:08.160]   generation, which tells that truth to the next generation, which has told that truth
[00:54:08.160 --> 00:54:12.880]   to the next generation, which has told that truth to the following generation.
[00:54:12.880 --> 00:54:16.640]   And so, the author of Hebrews here, he said, "Don't forget what your parents
[00:54:16.640 --> 00:54:17.840]   told you.
[00:54:17.840 --> 00:54:22.600]   Don't forget what was true throughout all history, not just in your lifetime,
[00:54:22.600 --> 00:54:26.120]   not just in your parents' lifetime, not just in your grandparents' lifetime.
[00:54:26.120 --> 00:54:28.240]   It's the only reason why you exist.
[00:54:28.240 --> 00:54:31.080]   It's the only reason why history has flowed the way it's flowed.
[00:54:31.080 --> 00:54:36.040]   It's because of this truth, because God has never left you,
[00:54:36.040 --> 00:54:38.400]   nor will he ever forsake you.
[00:54:38.400 --> 00:54:41.440]   That's why you exist now.
[00:54:41.440 --> 00:54:44.180]   That's why history is the way it is.
[00:54:44.180 --> 00:54:50.880]   There is a history, a history of proof that this is the truth.
[00:54:50.880 --> 00:54:54.200]   The author of Hebrews reminds us, "Don't go by just what you feel.
[00:54:54.200 --> 00:54:56.360]   Never go by what you feel.
[00:54:56.360 --> 00:55:01.120]   Go by what is true, what has always been true."
[00:55:01.120 --> 00:55:05.320]   And with that, God is always with us.
[00:55:05.320 --> 00:55:06.760]   He's always found.
[00:55:06.760 --> 00:55:08.400]   He's never disconnected.
[00:55:08.400 --> 00:55:10.600]   He's never distant.
[00:55:10.600 --> 00:55:14.500]   And you may feel the acute pain of loneliness and rejection.
[00:55:14.500 --> 00:55:18.700]   It comes with being in this world where we are sojourners and exiles.
[00:55:18.700 --> 00:55:22.380]   But just remember, our God never deserted us.
[00:55:22.380 --> 00:55:24.720]   Our God never forsook us.
[00:55:24.720 --> 00:55:31.140]   In fact, what he did instead is he forsook his own son so that we would never,
[00:55:31.140 --> 00:55:34.180]   ever be forsaken.
[00:55:34.180 --> 00:55:39.500]   And that's how much, that's how great God loves his children,
[00:55:39.500 --> 00:55:44.060]   how much he loves us, how much he is with us.
[00:55:44.060 --> 00:55:53.140]   In fact, truly, in the end, he is so with us that we are, in fact, not we are,
[00:55:53.140 --> 00:55:56.260]   God is with us, but we are with him.
[00:55:56.260 --> 00:55:58.320]   you

