
[00:00:00.040 --> 00:00:10.660]   cur
[00:50:09.820 --> 00:50:09.820]   I think that saving $100,000 cash is a better thing to do before
[00:50:09.820 --> 00:50:09.820]   I think that saving $100,000 cash is a better thing to do before
[00:50:09.820 --> 00:50:09.820]   I think that saving $100,000 cash is a better thing to do before
[00:50:09.820 --> 00:50:09.820]   I think that saving $100,000 cash is a better thing to do before
[00:50:09.820 --> 00:50:09.820]   I think that saving $100,000 cash is a better thing to do before
[00:50:09.820 --> 00:50:09.820]   I think that saving $100,000 cash is a better thing to do before
[00:50:09.820 --> 00:50:09.820]   I think that saving $100,000 cash is a better thing to do before
[00:50:09.860 --> 00:50:39.840]   I think that saving $100,000 cash is a better thing to do before
[00:50:39.840 --> 00:50:39.840]   I think that saving $100,000 cash is a better thing to do before
[00:50:39.840 --> 00:50:39.840]   I think that saving $100,000 cash is a better thing to do before
[00:50:39.840 --> 00:50:39.840]   I think that saving $100,000 cash is a better thing to do before
[00:50:39.840 --> 00:50:39.840]   I think that saving $100,000 cash is a better thing to do before
[00:50:39.840 --> 00:50:39.840]   I think that saving $100,000 cash is a better thing to do before
[00:50:39.860 --> 00:51:09.860]   I think that saving $100,000 cash is a better thing to do before
[00:51:09.860 --> 00:51:09.860]   I think that saving $100,000 cash is a better thing to do before
[00:51:09.860 --> 00:51:09.860]   I think that saving $100,000 cash is a better thing to do before
[00:51:09.860 --> 00:51:09.860]   I think that saving $100,000 cash is a better thing to do before
[00:51:09.860 --> 00:51:09.860]   I think that saving $100,000 cash is a better thing to do before
[00:51:09.860 --> 00:51:09.860]   I think that saving $100,000 cash is a better thing to do before
[00:51:09.860 --> 00:51:09.860]   I think that saving $100,000 cash is a better thing to do before
[00:51:09.860 --> 00:51:09.860]   I think that saving $100,000 cash is a better thing to do before
[00:51:09.860 --> 00:51:09.860]   I think that saving $100,000 cash is a better thing to do before
[00:51:09.860 --> 00:51:09.860]   I think that saving $100,000 cash is a better thing to do before
[00:51:09.860 --> 00:51:09.860]   I think that saving $100,000 cash is a better thing to do before
[00:51:09.860 --> 00:51:09.860]   I think that saving $100,000 cash is a better thing to do before
[00:51:10.000 --> 00:51:39.880]   I think that saving $100,000 cash is a better thing to do before
[00:51:39.880 --> 00:51:39.880]   I think that saving $100,000 cash is a better thing to do before
[00:51:39.880 --> 00:51:39.880]   I think that saving $100,000 cash is a better thing to do before
[00:51:39.880 --> 00:51:39.880]   I think that saving $100,000 cash is a better thing to do before
[00:51:39.880 --> 00:51:39.880]   I think that saving $100,000 cash is a better thing to do before
[00:51:39.900 --> 00:52:09.900]   I think that saving $100,000 cash is a better thing to do before
[00:52:09.900 --> 00:52:09.900]   I think that saving $100,000 cash is a better thing to do before
[00:52:09.900 --> 00:52:09.900]   I think that saving $100,000 cash is a better thing to do before
[00:52:09.900 --> 00:52:09.900]   I think that saving $100,000 cash is a better thing to do before
[00:52:09.900 --> 00:52:09.900]   I think that saving $100,000 cash is a better thing to do before
[00:52:09.900 --> 00:52:09.900]   I think that saving $100,000 cash is a better thing to do before
[00:52:09.900 --> 00:52:09.900]   I think that saving $100,000 cash is a better thing to do before
[00:52:09.900 --> 00:52:09.900]   I think that saving $100,000 cash is a better thing to do before
[00:52:09.900 --> 00:52:09.900]   I think that saving $100,000 cash is a better thing to do before
[00:52:09.900 --> 00:52:09.900]   I think that saving $100,000 cash is a better thing to do before
[00:52:09.900 --> 00:52:09.900]   I think that saving $100,000 cash is a better thing to do before
[00:52:09.920 --> 00:52:39.920]   I think that saving $100,000 cash is a better thing to do before
[00:52:39.920 --> 00:52:39.920]   I think that saving $100,000 cash is a better thing to do before
[00:52:39.920 --> 00:52:39.920]   I think that saving $100,000 cash is a better thing to do before
[00:52:39.920 --> 00:52:39.920]   I think that saving $100,000 cash is a better thing to do before
[00:52:39.920 --> 00:52:39.920]   I think that saving $100,000 cash is a better thing to do before
[00:52:39.920 --> 00:52:39.920]   I think that saving $100,000 cash is a better thing to do before
[00:52:39.920 --> 00:52:39.920]   I think that saving $100,000 cash is a better thing to do before
[00:52:39.920 --> 00:52:39.920]   I think that saving $100,000 cash is a better thing to do before
[00:52:39.920 --> 00:52:39.920]   I think that saving $100,000 cash is a better thing to do before
[00:52:39.940 --> 00:53:09.940]   I think that saving $100,000 cash is a better thing to do before
[00:53:09.940 --> 00:53:09.940]   I think that saving $100,000 cash is a better thing to do before
[00:53:09.940 --> 00:53:09.940]   I think that saving $100,000 cash is a better thing to do before
[00:53:09.940 --> 00:53:09.940]   I think that saving $100,000 cash is a better thing to do before
[00:53:09.940 --> 00:53:09.940]   I think that saving $100,000 cash is a better thing to do before
[00:53:09.940 --> 00:53:09.940]   I think that saving $100,000 cash is a better thing to do before
[00:53:09.940 --> 00:53:09.940]   I think that saving $100,000 cash is a better thing to do before
[00:53:09.940 --> 00:53:09.940]   I think that saving $100,000 cash is a better thing to do before
[00:53:09.980 --> 00:53:39.960]  , I think that saving $100,000 cash is a better thing to do before
[00:53:39.960 --> 00:53:39.960]   I think that saving $100,000 cash is a better thing to do before
[00:53:39.960 --> 00:53:39.960]   I think that saving $100,000 cash is a better thing to do before
[00:53:39.960 --> 00:53:39.960]   I think that saving $100,000 cash is a better thing to do before
[00:53:39.960 --> 00:53:39.960]   I think that saving $100,000 cash is a better thing to do before
[00:53:39.960 --> 00:53:39.960]   I think that saving $100,000 cash is a better thing to do before
[00:53:39.960 --> 00:53:39.960]   I think that saving $100,000 cash is a better thing to do before
[00:53:39.960 --> 00:53:39.960]   I think that saving $100,000 cash is a better thing to do before
[00:53:39.960 --> 00:53:39.960]   I think that saving $100,000 cash is a better thing to do before
[00:53:39.980 --> 00:54:09.980]   I think that saving $100,000 cash is a better thing to do before
[00:54:09.980 --> 00:54:09.980]   I think that saving $100,000 cash is a better thing to do before
[00:54:09.980 --> 00:54:09.980]   I think that saving $100,000 cash is a better thing to do before
[00:54:09.980 --> 00:54:09.980]   I think that saving $100,000 cash is a better thing to do before
[00:54:09.980 --> 00:54:09.980]   I think that saving $100,000 cash is a better thing to do before
[00:54:09.980 --> 00:54:09.980]   I think that saving $100,000 cash is a better thing to do before
[00:54:09.980 --> 00:54:09.980]   I think that saving $100,000 cash is a better thing to do before
[00:54:09.980 --> 00:54:09.980]   I think that saving $100,000 cash is a better thing to do before
[00:54:09.980 --> 00:54:09.980]   I think that saving $100,000 cash is a better thing to do before
[00:54:09.980 --> 00:54:09.980]   I think that saving $100,000 cash is a better thing to do before
[00:54:09.980 --> 00:54:09.980]   I think that saving $100,000 cash is a better thing to do before
[00:54:09.980 --> 00:54:09.980]   I think that saving $100,000 cash is a better thing to do before
[00:54:10.020 --> 00:54:19.860]   in
[00:54:19.860 --> 00:54:22.440]  . but,
[00:54:22.440 --> 00:54:40.000]  , assignments, ve,,,,, and the that que 3 independence
[00:54:40.040 --> 00:54:49.480]   Several,
[00:54:49.480 --> 00:54:50.460]   is,
[00:54:50.460 --> 00:55:04.400]   investigated Fre was. I can say, I, I, I, I,quet, Entwick, districts. Nate says, in the word. So,ン.怎麼辦. dann, guts. make,rain.�
[00:55:04.400 --> 00:55:09.120]  rou.
[00:56:09.260 --> 00:56:19.240]   E
[00:56:19.240 --> 00:56:19.340]   cannot end
[00:56:19.340 --> 00:56:29.200]  ást sheet, ,,,,,,, attach to the death, I'm a more of a, ., .,.,., Div
[00:56:29.200 --> 00:56:38.160]   Harlem i I next it and the rest the heart the only weigh the Sommer gi stuck the ask the client the boss. A. I. And to the. And the. And the. And the. And the. The. And the. Be.G.A.And.子.And.So."G.T.Well.And, ży"C.IE. liberation 부.E.C.A.G.B.G.G. promoting the. Kick.G.G. quicker新. cleansing big. является семanh. insert the--I. terrw. frog'D, in the value of the people. whatsoever about the fact that I'm the time. with the-- Fund é start the Bel único her's the T. prescribe the life. made the voice onto the new 도 Otheriency
[00:56:38.180 --> 00:57:06.460]   and and and personal riches over those are the things that are important and then I imagine myself standing before the Lord and saying given account of yourself it's very hard for me to in that.
[00:57:06.500 --> 00:57:15.640]   world
[00:57:15.640 --> 00:57:34.580]   увид in. I do,,,, быстр
[00:57:34.760 --> 00:57:48.900]  � I don't know what I'm talking about, but it's a proverb that I've always liked.
[00:57:48.900 --> 00:58:02.980]   I'm not going to quote it perfectly, but I've always liked it. Basically, "May I neither be poor, lest I steal, nor rich, lest I forget."
[00:58:03.000 --> 00:58:31.240]   and so I think most of us are blessed to be in that middle range where we can we don't want for anything we're not worried about anything we have no
[00:58:31.240 --> 00:58:31.240]   personal concern if the tire blows up it's not a big deal and that allows us to have that more long-range perspective it's a lot harder for those who are living on the poverty line to have that that long-range perspective
[00:58:31.240 --> 00:58:31.240]   and so I think most of us are blessed to be in that middle range where we can we don't want for anything we're not worried about anything we have no personal concern if the tire blows up it's not a big deal and that allows us to have that more long-range perspective it's a lot harder for those who are living on the poverty line to have that that long-range perspective
[00:58:31.260 --> 00:58:35.380]   Yeah, I like that proverb as well. I also can't quote it, but I've always appreciated that one.
[00:58:35.380 --> 00:58:38.380]   Yeah, I like that proverb as well. I also can't quote it, but I've always appreciated that one.
[00:58:38.380 --> 00:58:39.380]   Yeah, I like that proverb as well. I also can't quote it, but I've always appreciated that one.
[00:58:39.380 --> 00:58:40.380]   Alright, I got time for one more if you got any more, Andy. Otherwise, I'll wrap it up here. Any other questions or comments to round this out?
[00:58:40.380 --> 00:58:42.380]   Alright, I got time for one more if you got any more, Andy. Otherwise, I'll wrap it up here. Any other questions or comments to round this out?
[00:58:42.380 --> 00:58:45.180]   Alright, yep, I'll give you one last one.
[00:58:45.180 --> 00:58:47.380]   Alright, yep, I'll give you one last one.
[00:58:47.380 --> 00:58:49.380]   So I have taken a career and income course, which I would definitely recommend to other listeners.
[00:58:50.220 --> 00:59:09.520]   So I have taken a career and income course, which I would definitely recommend to other listeners.
[00:59:09.520 --> 00:59:10.520]   I will admit I have not followed the advice super well yet, but I feel like I've been focusing on other things.
[00:59:10.520 --> 00:59:11.520]   I will admit I have not followed the advice super well yet, but I feel like I've been focusing on other things.
[00:59:11.520 --> 00:59:12.520]   I will admit I have not followed the advice super well yet, but I feel like I've been focusing on other things.
[00:59:12.520 --> 00:59:13.520]   I will admit I have not followed the advice super well yet, but I feel like I've been focusing on other things.
[00:59:13.520 --> 00:59:14.520]   I will admit I have not followed the advice super well yet, but I feel like I've been focusing on other things.
[00:59:14.520 --> 00:59:15.520]   I will admit I feel like I've been focusing on other things.
[00:59:15.520 --> 00:59:16.520]   I feel like I feel like I've been focusing on other things.
[00:59:16.560 --> 00:59:18.200]   reflect
[00:59:18.200 --> 00:59:27.380]   in, I,
[00:59:27.380 --> 00:59:45.460]  ory penny
[00:59:46.020 --> 00:59:56.300]  ger
[00:59:56.300 --> 00:59:58.860]   em. I my.
[00:59:58.860 --> 01:00:14.160]   way getting
[01:00:14.780 --> 01:00:26.100]   work
[01:00:26.100 --> 01:00:42.440]   them. I, in, Catherine just at
[01:00:44.640 --> 01:00:48.040]   I
[01:00:48.040 --> 01:00:54.880]  ,
[01:00:54.880 --> 01:01:14.620]  's, 3 5,ποιKKだ learn was in the number 2 is the lo is the more of the, and, and, and, and, And, And, And, And, And, And, I'm Ass' prefers take a advocacy low or not tweak theut. I can be number two out. I can be a slot. I can be a stern.� gray. answered a separate a. I can be, in the, Потом, Province, providers,
[01:01:14.660 --> 01:01:22.580]   "
[01:01:22.580 --> 01:01:39.240]  ,ar,ший be beMan two達,,,,,,,,, I'm a sl di the monitor and I'm the dis the versus not. I'll just a wedding. I'm a сам at the case of a원. I'm the었습니다
[01:01:39.240 --> 01:01:41.480]  umsy
[01:01:41.480 --> 01:01:44.400]  어�
[01:03:43.920 --> 01:03:43.920]   that was going to provide me that that that was you know if in order to gain something that was more free I wasn't going to be content with a halfway level of freedom and the biggest thing for me was having to censor.
[01:04:13.780 --> 01:04:13.780]   It's very hard for me to see how it's right for you to be disloyal to your boss to your company and.
[01:04:13.780 --> 01:04:13.780]   It's very hard for me to see how it's right for you to be disloyal to your boss to your company and.
[01:04:13.780 --> 01:04:13.780]   It's very hard for me to see how it's right for you to be disloyal to your boss to your company and.
[01:04:13.780 --> 01:04:13.780]   It's very hard for me to see how it's right for you to be disloyal to your boss to your company and.
[01:04:13.780 --> 01:04:13.780]   It's very hard for me to see how it's right for you to be disloyal to your boss to your company and.
[01:04:13.780 --> 01:04:13.780]   It's very hard for me to see how it's right for you to be disloyal to your boss to your company and.
[01:04:13.780 --> 01:04:13.780]   It's very hard for me to see how it's right for you to be disloyal to your boss to your company and.
[01:04:14.720 --> 01:04:43.640]  ,
[01:04:43.640 --> 01:04:43.660]   It's very hard for me to see how it's right for you to be disloyal to your boss to your company and.
[01:04:43.660 --> 01:04:43.680]   It's very hard for me to see how it's right for you to be disloyal to your company and.
[01:04:43.680 --> 01:04:43.700]   It's very hard for me to see how it's right for you to be disloyal to your boss to your company and.
[01:04:43.700 --> 01:04:43.800]   It's very hard for me to see how it's right for you to be disloyal to your boss to your company and.
[01:04:43.800 --> 01:04:43.800]   It's very hard for me to see how it's right for you to be disloyal to your boss to your company and.
[01:04:43.800 --> 01:04:43.800]   It's very hard for me to see how it's right for you to be disloyal to your boss to your company and.
[01:04:43.800 --> 01:04:43.800]   It's very hard for me to see how it's right for you to be disloyal to your boss to your company and.
[01:04:43.820 --> 01:05:13.820]   I'm not sure that was the best decision and even today I think that there are people in in I think that I would be well served me personally by not being disloyal to my boss to my company and.
[01:05:13.820 --> 01:05:13.820]   I'm not sure that was the best decision and even today I think that there are people in in I think that I would be well served me personally by not being disloyal to my company and.
[01:05:13.820 --> 01:05:13.820]   I'm not sure that was the best decision and even today I think that there are people in in I think that I would be well served me personally by not being disloyal to my company and.
[01:05:13.820 --> 01:05:13.820]   I'm not sure that was the best decision and even today I think that there are people in in I think that I would be well served me personally by not being disloyal to my company and.
[01:05:13.820 --> 01:05:13.820]   I'm not sure that was the best decision and.
[01:05:13.820 --> 01:05:13.820]   I'm not sure that was the best decision and.
[01:05:13.820 --> 01:05:13.820]   I'm not sure that was the best decision and.
[01:05:13.860 --> 01:05:43.840]  ,
[01:05:43.840 --> 01:05:43.840]   I'm not sure that was the best decision and.
[01:05:43.840 --> 01:05:43.840]   I'm not sure that was the best decision and.
[01:05:43.840 --> 01:05:43.840]   I'm not sure that was the best decision and.
[01:05:43.840 --> 01:05:43.840]   I'm not sure that was the best decision and.
[01:05:43.840 --> 01:05:43.840]   I'm not sure that was the best decision and.
[01:05:43.840 --> 01:05:43.840]   I'm not sure that was the best decision and.
[01:05:43.840 --> 01:05:43.840]   I'm not sure that was the best decision and.
[01:05:43.840 --> 01:05:43.840]   I'm not sure that was the best decision and.
[01:05:43.860 --> 01:06:13.860]   I'm not sure that was the best decision and.
[01:06:13.860 --> 01:06:13.860]   I'm not sure that was the best decision and.
[01:06:13.860 --> 01:06:13.860]   I'm not sure that was the best decision and.
[01:06:13.860 --> 01:06:13.860]   I'm not sure that was the best decision and.
[01:06:13.860 --> 01:06:13.860]   I'm not sure that was the best decision and.
[01:06:13.860 --> 01:06:13.860]   I'm not sure that was the best decision and.
[01:06:13.860 --> 01:06:13.860]   I'm not sure that was the best decision and.
[01:06:13.860 --> 01:06:13.860]   I'm not sure that was the best decision and.
[01:06:13.860 --> 01:06:13.860]   I'm not sure that was the best decision and.
[01:06:13.860 --> 01:06:13.860]   I'm not sure that was the best decision and.
[01:06:13.860 --> 01:06:13.860]   I'm not sure that was the best decision and.
[01:06:13.860 --> 01:06:13.860]   I'm not sure that was the best decision and.
[01:06:13.860 --> 01:06:13.860]   I'm not sure that was the best decision and.
[01:06:13.860 --> 01:06:13.860]   I'm not sure that was the best decision and.
[01:06:13.860 --> 01:06:13.860]   I'm not sure that was the best decision and.
[01:06:13.860 --> 01:06:13.860]   I'm not sure that was the best decision and.
[01:06:13.860 --> 01:06:43.880]   I'm not sure that was the best decision and.
[01:06:43.880 --> 01:06:43.880]   I'm not sure that was the best decision and.
[01:06:43.880 --> 01:06:43.880]   I'm not sure that was the best decision and.
[01:06:43.880 --> 01:06:43.880]   I'm not sure that was the best decision and.
[01:06:43.880 --> 01:06:43.880]   I'm not sure that was the best decision and.
[01:06:43.880 --> 01:06:43.880]   I'm not sure that was the best decision and.
[01:06:43.880 --> 01:06:43.880]   I'm not sure that was the best decision and.
[01:06:43.880 --> 01:06:43.880]   I'm not sure that was the best decision and.
[01:06:43.880 --> 01:06:43.880]   I'm not sure that was the best decision and.
[01:06:43.880 --> 01:06:43.880]   I'm not sure that was the best decision and.
[01:06:43.880 --> 01:06:43.880]   I'm not sure that was the best decision and.
[01:06:43.880 --> 01:06:43.880]   I'm not sure that was the best decision and.
[01:06:43.900 --> 01:07:13.900]   I'm not sure that was the best decision and.
[01:07:13.900 --> 01:07:13.900]   I'm not sure that was the best decision and.
[01:07:13.900 --> 01:07:13.900]   I'm not sure that was the best decision and.
[01:07:13.900 --> 01:07:13.900]   I'm not sure that was the best decision and.
[01:07:13.900 --> 01:07:13.900]   I'm not sure that was the best decision and.
[01:07:13.900 --> 01:07:13.900]   I'm not sure that was the best decision and.
[01:07:13.900 --> 01:07:13.900]   I'm not sure that was the best decision and.
[01:07:13.900 --> 01:07:13.900]   I'm not sure that was the best decision and.
[01:07:13.900 --> 01:07:13.900]   I'm not sure that was the best decision and.
[01:07:13.900 --> 01:07:13.900]   I'm not sure that was the best decision and.
[01:07:13.900 --> 01:07:13.900]   I'm not sure that was the best decision and.
[01:07:13.900 --> 01:07:13.900]   I'm not sure that was the best decision and.
[01:07:13.900 --> 01:07:13.900]   I'm not sure that was the best decision and.
[01:07:13.900 --> 01:07:13.900]   I'm not sure that was the best decision and.
[01:07:13.900 --> 01:07:13.900]   I'm not sure that was the best decision and.
[01:07:13.900 --> 01:07:13.900]   I'm not sure that was the best decision and.
[01:07:13.900 --> 01:07:43.920]   I'm not sure that was the best decision and.
[01:07:43.920 --> 01:07:43.920]   I'm not sure that was the best decision and.
[01:07:43.920 --> 01:07:43.920]   I'm not sure that was the best decision and.
[01:07:43.920 --> 01:07:43.920]   I'm not sure that was the best decision and.
[01:07:43.920 --> 01:07:43.920]   I'm not sure that was the best decision and.
[01:07:43.920 --> 01:07:43.920]   I'm not sure that was the best decision and.
[01:07:43.920 --> 01:07:43.920]   I'm not sure that was the best decision and.
[01:07:43.920 --> 01:07:43.920]   I'm not sure that was the best decision and.
[01:07:43.920 --> 01:07:43.920]   I'm not sure that was the best decision and.
[01:07:43.920 --> 01:07:43.920]   I'm not sure that was the best decision and.
[01:07:43.920 --> 01:07:43.920]   I'm not sure that was the best decision and.
[01:07:43.920 --> 01:07:43.920]   I'm not sure that was the best decision and.
[01:07:43.940 --> 01:08:13.940]   I'm not sure that was the best decision and.
[01:08:13.940 --> 01:08:13.940]   I'm not sure that was the best decision and.
[01:08:13.940 --> 01:08:13.940]   I'm not sure that was the best decision and.
[01:08:13.940 --> 01:08:13.940]   I'm not sure that was the best decision and.
[01:08:13.940 --> 01:08:13.940]   I'm not sure that was the best decision and.
[01:08:13.940 --> 01:08:13.940]   I'm not sure that was the best decision and.
[01:08:13.940 --> 01:08:13.940]   I'm not sure that was the best decision and.
[01:08:13.940 --> 01:08:13.940]   I'm not sure that was the best decision and.
[01:08:13.940 --> 01:08:13.940]   I'm not sure that was the best decision and.
[01:08:13.940 --> 01:08:13.940]   I'm not sure that was the best decision and.
[01:08:13.940 --> 01:08:13.940]   I'm not sure that was the best decision and.
[01:08:13.940 --> 01:08:13.940]   I'm not sure that was the best decision and.
[01:08:13.940 --> 01:08:13.940]   I'm not sure that was the best decision and.
[01:08:13.940 --> 01:08:13.940]   I'm not sure that was the best decision and.
[01:08:13.940 --> 01:08:13.940]   I'm not sure that was the best decision and.
[01:08:13.940 --> 01:08:13.940]   I'm not sure that was the best decision and.
[01:08:13.980 --> 01:08:43.960]   I'm not sure that was the best decision and.
[01:08:43.960 --> 01:08:43.960]   I'm not sure that was the best decision and.
[01:08:43.960 --> 01:08:43.960]   I'm not sure that was the best decision and.
[01:08:43.960 --> 01:08:43.960]   I'm not sure that was the best decision and.
[01:08:43.960 --> 01:08:43.960]   I'm not sure that was the best decision and.
[01:08:43.960 --> 01:08:43.960]   I'm not sure that was the best decision and.
[01:08:43.960 --> 01:08:43.960]   I'm not sure that was the best decision and.
[01:08:43.960 --> 01:08:43.960]   I'm not sure that was the best decision and.
[01:08:43.960 --> 01:08:43.960]   I'm not sure that was the best decision and.
[01:08:43.960 --> 01:08:43.960]   I'm not sure that was the best decision and.
[01:08:43.960 --> 01:08:43.960]   I'm not sure that was the best decision and.

