
[00:00:00.000 --> 00:00:04.640]   I've spent hundreds of hours figuring out the right credit cards to maximize the value I get
[00:47:39.980 --> 00:47:46.380]   Altitude Reserve. I might think about picking up a Citi Double Cash card to start earning 2x Citi points,
[00:47:46.380 --> 00:47:50.620]   or just keep using the Bank of America card, which, because we redeem those points for flights,
[00:47:50.620 --> 00:47:55.100]   it's kind of like a 3.28% cashback card. There aren't a lot of other categories
[00:47:55.100 --> 00:48:01.180]   we spend money on right now. The ones that I know do have cards with elevated earnings potential
[00:48:01.180 --> 00:48:05.740]   are streaming and entertainment. Obviously, if you have rent, I would strongly encourage you to look
[00:48:05.740 --> 00:48:11.980]   at the Built card. Allthehacks.com/built is my link. But beyond that, there aren't any categories
[00:48:11.980 --> 00:48:16.700]   that I'm necessarily shopping for an elevated earnings card. That said, I will talk about some
[00:48:16.700 --> 00:48:22.140]   of the new cards I'm looking at this year. And one of them does hit on a category I didn't
[00:48:22.140 --> 00:48:27.420]   mention. When it comes to credit cards, I haven't really been distinguishing too clearly between
[00:48:27.420 --> 00:48:33.340]   business and personal cards. A year ago, when I recorded the episode for What's In My Wallet 2024,
[00:48:33.340 --> 00:48:38.700]   I talked a lot about the distinction because we were using QuickBooks. And QuickBooks sucks for
[00:48:38.700 --> 00:48:43.900]   this. And so we really tried when we were using QuickBooks to completely separate all of our spending
[00:48:43.900 --> 00:48:49.260]   so that we only linked certain cards. And it was kind of a mess. And then I started using a product
[00:48:49.260 --> 00:48:55.420]   called Kick for our bookkeeping. And it was so amazing that after using it for maybe two weeks,
[00:48:55.420 --> 00:48:59.420]   I asked if I could invest in the company, which I did. Then I asked if they wanted to sponsor the podcast.
[00:48:59.420 --> 00:49:07.100]   And so they did. So totally biased user here as an investor and a partner. But it is amazing at doing
[00:49:07.100 --> 00:49:12.780]   bookkeeping for your business and being able to use business and personal cards, and then just move
[00:49:12.780 --> 00:49:18.220]   transactions between them as they don't fall into one or the other, and makes the bookkeeping behind
[00:49:18.220 --> 00:49:23.020]   it really simple. You can go to allthehacks.com/kick to get a deal there. I think it's 50% off your first
[00:49:23.020 --> 00:49:28.460]   year of bookkeeping. But that has really made it so that I don't need as much delineation.
[00:49:28.460 --> 00:49:32.380]   So when we have two cards that earn the same amount, like 3x travel on Chase Reserve and the
[00:49:32.380 --> 00:49:36.700]   Chase thing preferred, then fine, we'll separate them out and make it easy. We do the same thing for
[00:49:36.700 --> 00:49:40.780]   cashback on Bank of America cards. But when we don't, I'll make a purchase on my personal card.
[00:49:40.780 --> 00:49:45.660]   And I think from a bookkeeping standpoint, I'm kind of expensing that to the business and then
[00:49:45.660 --> 00:49:50.940]   making that expense a contribution. And if for some reason I put a personal expense on the business card,
[00:49:50.940 --> 00:49:55.420]   then it's effectively a distribution from the business. Now, obviously, all this happens in the background
[00:49:55.420 --> 00:50:00.540]   with kick, it's not like I have to do all this filing with each transaction. But that's kind of how it happens.
[00:50:00.540 --> 00:50:05.980]   If you don't like that approach, one option is to get two versions of a personal card. So for example,
[00:50:05.980 --> 00:50:11.500]   if you wanted to get 5x points on all flights, whether they're business or personal, and you have a partner,
[00:50:11.500 --> 00:50:16.300]   then your partner could open up an Amex Platinum. You could open up an Amex Platinum and you use one of the cards
[00:50:16.300 --> 00:50:19.980]   all for personal flights and one of the cards all for business flights. Okay, so that's business cards.
[00:50:19.980 --> 00:50:24.380]   What do I want to do next year? What are the cards I'm excited about? Well, if you look at last year,
[00:50:24.380 --> 00:50:29.020]   in this episode, about 18 months ago, I was excited about the Built Card, the Delta Platinum,
[00:50:29.020 --> 00:50:35.260]   the Bonvoy Brilliant, Citi cards, the Capital One Saver, the US Bank Altitude Reserve,
[00:50:35.260 --> 00:50:39.580]   and the Wells Fargo Autograph or Autograph Journey. I ended up getting almost all of those cards. I
[00:50:39.580 --> 00:50:44.140]   never got the Capital One Saver and I never got the Wells Fargo cards. I didn't really see any elevated
[00:50:44.140 --> 00:50:49.100]   earnings potential, new kinds of points I'd be able to earn more of. So I passed on them. But I would say
[00:50:49.100 --> 00:50:53.660]   the cards I was excited about last year, I kind of ended up following through on. So I'm excited to see
[00:50:53.660 --> 00:50:58.060]   if that happens again this year. So this year, the cards I'm excited about that I don't already have,
[00:50:58.060 --> 00:51:03.420]   and that is obviously aside from any card with an exciting welcome bonus, which is probably
[00:51:03.420 --> 00:51:08.940]   something I'm going to focus a lot on this year. But the specific cards I'm interested in are the
[00:51:08.940 --> 00:51:14.380]   Venmo card I mentioned, because I'm spending a lot lately at Costco on gold. And that card is a great
[00:51:14.380 --> 00:51:19.420]   opportunity to get 3%, which gold is expensive, and I might max out on some of the other cards.
[00:51:19.420 --> 00:51:26.220]   I have a companion pass right now. But Amy, my wife does not. And we do have two children. And so
[00:51:26.220 --> 00:51:29.980]   if I have companion pass, and we're going to do a little bit more Southwest traveling, maybe it makes
[00:51:29.980 --> 00:51:34.380]   sense for her to get a Southwest card, that signup bonus will get her quite a bit of the ways towards
[00:51:34.380 --> 00:51:39.660]   companion pass. She could get two cards, or she could get one and do a little spending or flying.
[00:51:39.660 --> 00:51:44.700]   But it might be nice if we ended up having two companion passes, then it really is 50% off for
[00:51:44.700 --> 00:51:49.900]   the family, minus the taxes and fees on the kids, because we'd be able to both have companion pass.
[00:51:49.900 --> 00:51:54.220]   Now, the only downside there is, if we wanted to travel together as a couple, we wouldn't actually
[00:51:54.220 --> 00:51:57.900]   be able to benefit from the companion pass, because we would have named our children as our companions.
[00:51:57.900 --> 00:52:02.140]   But I think that is a champagne problem. I mentioned earlier, I'm excited about getting city points.
[00:52:02.140 --> 00:52:07.660]   So as a way to boost them, you might see me add the city double cash, which is a 2% card on
[00:52:07.660 --> 00:52:13.020]   everything. But those 2% can convert to 2x points. So that might be a way before they go away. I've
[00:52:13.020 --> 00:52:18.620]   been eyeing the Hawaiian cards, which have a 75,000 point welcome bonus, or at least have in the recent
[00:52:18.620 --> 00:52:26.220]   past, but also allow you to transfer points between people. And so if we wanted to aggregate all of our
[00:52:26.220 --> 00:52:31.340]   Alaska points into one account, that would allow us to do that. And who knows what will happen to that
[00:52:31.340 --> 00:52:37.740]   card after the merger is totally final, which is actually in 26 days right now at the end of June,
[00:52:37.740 --> 00:52:42.620]   the venture X business, this is a card I'm not eligible for because I have the spark cash plus
[00:52:42.620 --> 00:52:49.660]   card. But my wife is and for the next five days, they still have a huge 350,000 point signup bonus.
[00:52:49.660 --> 00:52:55.180]   And so that's one that's on a very tight fuse of do we go for this, it has a massive amount of minimum
[00:52:55.180 --> 00:53:00.940]   spend to hit that welcome bonus. But when you factor that welcome bonus in, it's a pretty elevated offer
[00:53:00.940 --> 00:53:05.740]   for a card that I think is interesting. And so we're thinking about it, it hasn't been enough to pull the
[00:53:05.740 --> 00:53:11.500]   trigger yet. But now we're kind of forced to make that decision. Also, now that Amy's working full time
[00:53:11.500 --> 00:53:15.900]   on the business, she doesn't actually have a lot of business cards. And so opening up the world of
[00:53:15.900 --> 00:53:20.060]   business cards to her portfolio is something we haven't done a ton of to date. And so that's
[00:53:20.060 --> 00:53:24.620]   something we're eyeing for this year. Business cards often have really great welcome bonuses. So excited
[00:53:24.620 --> 00:53:30.940]   for that. And then the last one is a new card. And I missed out on the opportunity to get a signup
[00:53:30.940 --> 00:53:36.780]   bonus for this card because it only lasted for a couple days. But that is the Mesa card. It is a
[00:53:36.780 --> 00:53:41.900]   card for homeowners. So if built is for renters, Mesa is for homeowners. It's a no annual fee card,
[00:53:41.900 --> 00:53:47.500]   no foreign transaction fee. And the primary benefit is that it earns 1x points on mortgage payments up to
[00:53:47.500 --> 00:53:53.180]   100,000 points a year. I'm going to do a full breakdown of this card in next week's episode.
[00:53:53.180 --> 00:54:00.300]   So those are the cards that I'm interested in right now. You might be asking, okay, you just ran through
[00:54:00.300 --> 00:54:04.780]   and I don't even know the number now easily over 20 cards that we have. And now here's five or six more.
[00:54:04.780 --> 00:54:09.340]   I'm thinking of how do I keep track of this? And so the way I'll close out this episode is just share
[00:54:09.340 --> 00:54:14.700]   a little bit about how I keep track of all my cards. And so there are a handful of apps that
[00:54:14.700 --> 00:54:19.980]   make this a lot easier. There's card pointers, card right, travel freely. I think you might be able
[00:54:19.980 --> 00:54:24.380]   to do this with a ward wallet or the points guy app. And of course you can create your own spreadsheet
[00:54:24.380 --> 00:54:29.900]   to do this as well. Personally, I really liked the card pointers app and I've used it for a long time.
[00:54:29.900 --> 00:54:35.340]   I think it's easy to use. I think it does a lot more than what you need it to do when you think,
[00:54:35.340 --> 00:54:39.900]   how do I manage this? And I'm not saying you can't use the other ones, but I'll tell you why I like the
[00:54:39.900 --> 00:54:44.860]   app and why I decided to partner with card pointers to get a discount for all of you because I think it
[00:54:44.860 --> 00:54:49.740]   has a ton of value. So first you could just put all your cards in and you could do it without having
[00:54:49.740 --> 00:54:55.020]   to link your bank. So you could just say, I have an Amex Platinum and then it's added to your app and
[00:54:55.020 --> 00:55:00.380]   they keep track of all the perks and the benefits of that card because the app knows what the perks
[00:55:00.380 --> 00:55:04.940]   and benefits are of an Amex Platinum. Now, if you go in and tell it, here's the date I signed up for
[00:55:04.940 --> 00:55:09.020]   that card and then they'll know here's when your annual fees due and all that kind of stuff. So there's
[00:55:09.020 --> 00:55:13.500]   a view in the app where I could say, show me the calendar of all my upcoming annual fees so I can keep
[00:55:13.500 --> 00:55:17.740]   track on maybe I want to cancel a card before that happens. Maybe I want to call up and see if there's a
[00:55:17.740 --> 00:55:22.300]   retention offer, anything like that. It's also great because if you set it up with a partner,
[00:55:22.300 --> 00:55:28.300]   you can manage your and your partner's cards and you can actually give them a view, which is just
[00:55:28.300 --> 00:55:32.620]   here's the best card to use for different kinds of spending. So instead of maybe printing something
[00:55:32.620 --> 00:55:36.460]   out or putting labels on cards, you could say, Hey, look at the card pointers app and it'll tell you
[00:55:36.460 --> 00:55:42.940]   groceries, this card, gas, this card. So I like that. But the two things that I love the most is one,
[00:55:42.940 --> 00:55:46.940]   it is the place that I can manage all of the offers. And actually,
[00:55:46.940 --> 00:55:51.740]   this is two things, but it's one thing. It's all the standard offers and all the personal offers.
[00:55:51.740 --> 00:55:55.500]   And the difference being the standard offers are all the things that come with your cards,
[00:55:55.500 --> 00:55:59.980]   your $10 a month dining credit, $50 resi credit, Hilton resort credits, all that kind of stuff.
[00:55:59.980 --> 00:56:06.780]   It's a lot to keep track of. And so they have them all there. I can go in and I favorite all the offers
[00:56:06.780 --> 00:56:11.580]   that I like. And then I can say, filter this view for standard offers that I favorited, sort them by
[00:56:11.580 --> 00:56:16.140]   soon as to expire. And I can just scroll through a list of here's all the things I want to make sure I
[00:56:16.140 --> 00:56:20.620]   take advantage of before the end of the month, quarter or year. And it's how I make sure I don't
[00:56:20.620 --> 00:56:25.740]   lose track of the value I'm getting from all the cards I have. There's also personal offers. And
[00:56:25.740 --> 00:56:30.700]   those are the card linked offers you get. So with the browser extension from card pointers,
[00:56:30.700 --> 00:56:37.500]   anytime you log into your bank, it's going to one, check all of those offers and add them to the list.
[00:56:37.500 --> 00:56:41.580]   So you make sure you know about them, but it's also going to add them to your card. But the really
[00:56:41.580 --> 00:56:47.340]   cool thing it's going to do is if you were to go add an Amex offer to one card, they'd usually take
[00:56:47.340 --> 00:56:51.740]   it away from another card. So you couldn't add it to both. But if you hit their server at the exact same
[00:56:51.740 --> 00:56:57.420]   time for all your cards, you can add that card to multiple cards all at once. And so that's something
[00:56:57.420 --> 00:57:02.860]   the card pointers extension also does. And so it does all this without downloading your balance data
[00:57:02.860 --> 00:57:08.860]   and storing your login as well, which is really cool. And so that extension not only knows about
[00:57:08.860 --> 00:57:14.380]   all those offers, but then it alerts you. So the other day we were on the site Chewy to order some
[00:57:14.380 --> 00:57:18.460]   things for our dog. And it popped up and said, Hey, just so you know, you should use one of these
[00:57:18.460 --> 00:57:25.740]   two chase cards, which has a 15 off $49 purchase, which can be up to 30% cash back. I promise you
[00:57:25.740 --> 00:57:29.740]   that if I had not seen that notification from the card pointers extension, I would have used a different
[00:57:29.740 --> 00:57:35.660]   card and I definitely would have gotten 30% off my purchase. And so that extension has probably saved me
[00:57:35.660 --> 00:57:41.900]   at least a thousand dollars. And now I'm also using the app to basically favorite offers that I
[00:57:41.900 --> 00:57:47.020]   notice like Chewy as an example. Oh, we're going to use that. Oh, here's a store that we regularly shop
[00:57:47.020 --> 00:57:52.780]   from. Let's not forget that there's an offer that expires in two months for $30 off $100 or something
[00:57:52.780 --> 00:57:56.860]   like that. So I'm able to make sure that I'm not only getting all the benefits from the perks that are
[00:57:56.860 --> 00:58:01.900]   kind of recurring regular perks of the card, but all the card linked offers. And I went and looked at the
[00:58:01.900 --> 00:58:06.700]   different cards I have and there are cards where I've gotten five, six, $700 of card linked offer
[00:58:06.700 --> 00:58:11.500]   value from that card. And I'm certain I would have gotten that before. So I worked with Emmanuel,
[00:58:11.500 --> 00:58:16.220]   the founder, who's a member of all the hacks. He's a listener of the pod. You can all have 30%
[00:58:16.220 --> 00:58:20.300]   off. If you go to all the hacks.com slash card pointers, or if you're already a member of all
[00:58:20.300 --> 00:58:25.260]   the hacks, which you can do at all the hacks.com slash join, you get 50% off. So definitely check
[00:58:25.260 --> 00:58:29.740]   out card pointers. It's an app. I open up multiple times a week. I've got the extension running all the
[00:58:29.740 --> 00:58:35.100]   time and I love it. And if anyone listening is wondering why I don't include max rewards on this
[00:58:35.100 --> 00:58:40.540]   list of potential tools for this purpose, the last time I checked, they had an account linking
[00:58:40.540 --> 00:58:45.260]   implementation that required you link the app to your bank. And the way they implemented it was a
[00:58:45.260 --> 00:58:49.900]   way that at least from a security standpoint, I just wasn't comfortable with. I've shared this with
[00:58:49.900 --> 00:58:54.860]   them. I checked again, six or seven months later, they hadn't changed anything. If they ever do,
[00:58:54.860 --> 00:59:00.380]   I'm happy to try the app again. But until then, like, I just can't review that product because I do not
[00:59:00.380 --> 00:59:05.980]   trust the way that they've implemented the linking with my bank. I've emailed with the team. I don't believe
[00:59:05.980 --> 00:59:10.460]   they're doing anything nefarious. I think they are probably just implementing it in a way that was
[00:59:10.460 --> 00:59:15.260]   easiest for their engineering team to do, but I'm just not comfortable with it. And so I can't review
[00:59:15.260 --> 00:59:19.620]   it. I have heard other people use it and really enjoy it, but myself, I can't.

