
[00:00:00.000 --> 00:00:04.380]   What if the way you've been thinking about points and miles is the very thing holding you back?
[00:49:05.920 --> 00:49:11.280]   Europe, okay, great, maybe you fly if you're East Coast based, maybe you fly to Milan or Athens, and then
[00:49:11.280 --> 00:49:16.080]   separately, you take a train somewhere or a more, you know, local or regional flight, you don't have to get to
[00:49:16.080 --> 00:49:21.280]   your end destination all in one go. But another airline that I love in terms of award availability,
[00:49:21.280 --> 00:49:25.920]   this is another one for folks who are interested in going to Europe is Condor Airlines. And that's
[00:49:25.920 --> 00:49:31.760]   an airline that not a lot of people talk about a lot. It's based in Frankfurt, it used to be more of a
[00:49:31.760 --> 00:49:38.160]   leisure kind of airline versus, you know, a heavy business type of airline, but they have incredible
[00:49:38.160 --> 00:49:42.320]   routes. If you look at the number of airports that are serviced in the United States by Condor,
[00:49:42.320 --> 00:49:47.520]   I think you would be shocked because it's not just the huge big international airports you would expect like
[00:49:47.520 --> 00:49:53.600]   JFK and you know, Chicago, things like that. They also service a couple of smaller regional airports. They
[00:49:53.600 --> 00:49:59.120]   have amazing award availability through Alaska Airlines, not only good award availability, but good award
[00:49:59.120 --> 00:50:05.920]   availability for multiple people. And this can often be the crux for families or for groups. You know, it's great if an airline
[00:50:05.920 --> 00:50:10.880]   releases one business class award seat. But if you're a family of four, especially if you've little kids who need
[00:50:10.880 --> 00:50:16.160]   supervision, it doesn't matter if there's one award seat, you can't book it for anyone in your party.
[00:50:16.160 --> 00:50:21.200]   So knowing where some of these high yield places to find multiple business class awards can be great.
[00:50:21.200 --> 00:50:26.080]   And so Condor, I recommend to so many people trying to get to Europe, and they've got a great route
[00:50:26.080 --> 00:50:31.760]   network even beyond just their base in Frankfurt. It was one of the airlines my family took when we,
[00:50:31.760 --> 00:50:36.400]   the family of four, took a trip to the Maldives just a couple months ago. We flew on Condor from
[00:50:36.400 --> 00:50:39.680]   Frankfurt to Malay. Fantastic use of points.
[00:50:39.680 --> 00:50:44.640]   The one thing I'll add on Condor, a lot of people hear Alaska and think, okay, well, I don't have
[00:50:44.640 --> 00:50:49.680]   Alaska miles. Yes, you can get there from built, but I don't have a lot of built points. At least right
[00:50:49.680 --> 00:50:56.240]   now, you can transfer from Amex to Hawaiian. And no one knows how long Amex will allow transfers to
[00:50:56.240 --> 00:51:04.960]   Hawaiian after the Hawaiian-Alaska merger completes. But for now, you can transfer up to 999,000 Amex
[00:51:04.960 --> 00:51:11.200]   points at a time to Hawaiian and move them over to Alaska. We just did one transfer and cashed out that
[00:51:11.200 --> 00:51:17.920]   full amount, 999,000, because I've just been seeing more and more incredible uses of Alaska points.
[00:51:17.920 --> 00:51:24.240]   It's how we got to Iceland last year. It's how we are getting to Hawaii on Hawaiian. And we've seen
[00:51:24.240 --> 00:51:30.080]   these Condor flights for flights this summer. And so, if you're sitting on a stash of Amex points,
[00:51:31.120 --> 00:51:37.200]   I normally don't like to speculate. And when I do, I normally like to speculate with huge transfer
[00:51:37.200 --> 00:51:44.720]   bonuses. But transferring from Amex to Hawaiian and thus to Alaska has been a speculation that,
[00:51:44.720 --> 00:51:50.640]   I have a lot of Amex points, just to be clear, so it's not like I'm burning all of them. But I think we
[00:51:50.640 --> 00:51:57.520]   put about a big chunk, a double-digit percentage of Amex points into Alaska this year because of that
[00:51:57.520 --> 00:52:01.520]   opportunity. I'm so glad you brought that up because I wholeheartedly agree with you. Going
[00:52:01.520 --> 00:52:05.200]   back to the very first question that you asked me about, what are some of the things that I think
[00:52:05.200 --> 00:52:09.840]   are due with points that maybe aren't traditional? I'm all for speculative points transfers, again,
[00:52:09.840 --> 00:52:14.400]   with very, very certain parameters. I also speculatively transferred about a million of our
[00:52:14.400 --> 00:52:20.640]   Amex points way back in September when that pathway first opened up from Amex to Hawaiian and then
[00:52:20.640 --> 00:52:26.800]   Hawaiian to Alaska because I have not had access to Alaska miles easily from any other pathway.
[00:52:26.800 --> 00:52:32.560]   And they do have some really, really wonderful award redemption opportunities. And so I think
[00:52:32.560 --> 00:52:37.360]   that that can be, again, for certain people under the right circumstances, a great use of points.
[00:52:37.360 --> 00:52:42.720]   But the last kind of idea I'll mention for people who are really looking for multiple premium business
[00:52:42.720 --> 00:52:47.760]   class award flights is if you are based on the West Coast or you don't have a problem getting to the
[00:52:47.760 --> 00:52:52.720]   West Coast, I love Singapore Airlines for their award availability. You know, they operate out of the
[00:52:52.720 --> 00:52:58.240]   major international hubs on the West Coast. They tend to have really, really fantastic award
[00:52:58.240 --> 00:53:02.880]   availability for multiple people. You may not be getting the absolute kind of quote,
[00:53:02.880 --> 00:53:08.160]   lowest price you could theoretically get for a given route by going through Singapore. But one of the
[00:53:08.160 --> 00:53:12.480]   things that I think we always have to take into consideration is, okay, if your priority is the
[00:53:12.480 --> 00:53:17.840]   is the lowest price possible, may not be your best option. But if your priority is I want multiple
[00:53:17.840 --> 00:53:23.680]   business class flights tickets together on the same flight, and that I can reliably find and not have
[00:53:23.680 --> 00:53:29.520]   to spend days or months, you know, tracking down manually a bunch of potential awards, Singapore is
[00:53:29.520 --> 00:53:34.640]   just a really great reliable place to go first. And so clearly, if you have an interest in Singapore,
[00:53:34.640 --> 00:53:39.040]   wonderful, that's their main main hub. They also operate a flight that you know about Chris that
[00:53:39.040 --> 00:53:45.440]   goes from LAX straight directly to Narita to Tokyo. So that can be a great option. I also recommend
[00:53:45.440 --> 00:53:51.120]   Singapore for a lot of people who are really interested in going to Australia or New Zealand
[00:53:51.120 --> 00:53:57.600]   to find a direct flight using points on business class for a competitive i.e. not extortionist points
[00:53:57.600 --> 00:54:03.760]   price directly from the US to New Zealand or directly to Australia from the US can be really,
[00:54:03.760 --> 00:54:08.720]   really, really challenging. And so if you are willing to be flexible and take a longer itinerary,
[00:54:08.720 --> 00:54:15.760]   getting to Australia, New Zealand from Singapore on Singapore Airlines can also be an incredible way to
[00:54:15.760 --> 00:54:20.800]   be able to make your points stretch pretty far and to have a wonderful flying experience when you're
[00:54:20.800 --> 00:54:25.600]   trying to go somewhere that's quite quite far away. So those are just some of the, you know,
[00:54:25.600 --> 00:54:31.200]   really specific places that I look that I recommend people look, because I think it can be very confusing,
[00:54:31.200 --> 00:54:36.240]   especially if you have multiple points currencies, maybe theoretically, you've got 25 airline transfer
[00:54:36.240 --> 00:54:41.120]   partners that you have access to that doesn't mean that all 25 of those potential airline partners
[00:54:41.120 --> 00:54:44.720]   are going to be high yield based on what specifically you're looking for.
[00:54:44.720 --> 00:54:49.680]   The one that we're kind of exploring, which I know you have a worksheet on that we can link in the show
[00:54:49.680 --> 00:54:54.880]   notes is when do airlines open up their schedules. And this is one where I had to start learning,
[00:54:54.880 --> 00:55:02.000]   because I didn't do this. But certain airlines might release award inventory reliably at the
[00:55:02.000 --> 00:55:07.600]   schedule open, but you might need to book it right when it opens. And so I can't off the top of my head
[00:55:07.600 --> 00:55:14.000]   talk about all of the airlines and their rules. But some airlines release things reliably. And so I know
[00:55:14.000 --> 00:55:19.760]   that Japan Airlines is pretty reliable at releasing two business class seats. So one of our plans is to
[00:55:19.760 --> 00:55:25.600]   book two business class seats on Japan Airlines for me and one child, my wife and another child,
[00:55:25.600 --> 00:55:31.680]   and they fly two flights a day to Tokyo. And so one of the things we're going to be willing to do to make
[00:55:31.680 --> 00:55:38.480]   this work, because instead of being flexible on route, we'd rather not be that we'd rather fly direct,
[00:55:38.480 --> 00:55:43.520]   but we're flexible that maybe we'll split up and take two flights. Then what we will do is we'll try
[00:55:43.520 --> 00:55:49.840]   to find an award search tool with alerts, set those alerts so that we have almost an entire year for
[00:55:49.840 --> 00:55:57.920]   two more seats to open up. So the other parenting kind of large family travel strategy is book something
[00:55:57.920 --> 00:56:06.400]   that's doable, and then set lots of alerts throughout the year to make it better. And so for us, we're going to book
[00:56:06.400 --> 00:56:13.040]   something we're okay with. For other people, it might be booking two seats in business class and two in premium
[00:56:13.040 --> 00:56:20.000]   economy. And you know, waiting to see if two more open up. So it's like no matter what we can get there. But this doesn't
[00:56:20.000 --> 00:56:26.640]   work. Booking a route that's less ideal, set the alerts and all that. And obviously setting alerts and using all these tools we've
[00:56:26.640 --> 00:56:31.920]   talked about in the past, it's it's another skill to learn. But I would encourage people that want to learn
[00:56:31.920 --> 00:56:36.720]   it. Even if you don't have a trip in mind, pick a route, set an alert and see what happens before you
[00:56:36.720 --> 00:56:42.240]   need it. And you can start to learn that that tactic. Absolutely. It's such a low pressure way to start
[00:56:42.240 --> 00:56:46.400]   really getting more comfortable with some of these approaches. I can tell you it can be quite stressful
[00:56:46.400 --> 00:56:50.800]   when you're actually in the heat of the moment when you know you're ready to book a trip, you have the points
[00:56:50.800 --> 00:56:55.360]   there. If you've never run one of these searches before. So do yourself a favor, right?
[00:56:55.360 --> 00:57:00.800]   Like how can you maximize your ability to be successful in this? I don't enjoy working under
[00:57:00.800 --> 00:57:06.320]   pressure. And so to take some time before a trip even exists in reality to say, hey, how could I
[00:57:06.320 --> 00:57:10.560]   potentially get you to this destination? What are some of the routes that I could be searching?
[00:57:10.560 --> 00:57:14.720]   It's so much more enjoyable to do that when you're not actually panicking that all those seats are
[00:57:14.720 --> 00:57:19.840]   actively getting booked up at that very moment when you need them. So I'm a huge fan of running practice
[00:57:19.840 --> 00:57:23.440]   searches. And you don't have to do this for hours on end. You know, you can do this for five minutes,
[00:57:23.440 --> 00:57:25.680]   for 10 minutes when you have little breaks in your day.
[00:57:25.680 --> 00:57:32.000]   Yeah. I also love volunteering my time sometimes to help friends because I don't mind telling my
[00:57:32.000 --> 00:57:36.880]   friends, hey, you wanted to go to Italy in the fall. Let me see if there's any award flights.
[00:57:36.880 --> 00:57:42.080]   And I'll look and I'll be like, couldn't find any. Sorry. Like this is, you know, for myself,
[00:57:42.080 --> 00:57:47.360]   if I can't find it, I'm stressed out. I want to try other ways, but at least for them, I can at least try.
[00:57:47.360 --> 00:57:52.320]   And if I find them something awesome, great. And if not, you know, then I can say, sorry,
[00:57:52.320 --> 00:57:56.960]   I didn't find anything. You know, here's the tool I used. You could try again later.
[00:57:56.960 --> 00:58:01.280]   And it's a little bit low pressure. I did an episode on all the award search tools
[00:58:01.280 --> 00:58:05.280]   with Greg from frequent miler. So I'll link to that in the show notes.
[00:58:05.280 --> 00:58:10.720]   One other one that I think we've talked about stacking and using shopping portals,
[00:58:10.720 --> 00:58:16.960]   but I loved how you talked about using Rakuten bulk ordering as a way to really maximize those returns.
[00:58:16.960 --> 00:58:23.440]   How do you how do you think about using Rakuten as a way to earn flexible points in really large quantities?
[00:58:23.440 --> 00:58:27.360]   I think this is going to depend on what is your actual reality? What is your scenario?
[00:58:27.360 --> 00:58:31.040]   Admittedly, my family is personal spend. We have high personal spend. My husband and I,
[00:58:31.040 --> 00:58:35.120]   we both own businesses. We have high business spend. So I feel like that is a luxury when you
[00:58:35.120 --> 00:58:40.000]   just have higher spend. It's easier to earn points, but you can still inject specific strategy into this.
[00:58:40.000 --> 00:58:44.480]   And one of the things I do, I love Rakuten. They pretty reliably have certain time
[00:58:44.480 --> 00:58:49.280]   points throughout the year when they will have really elevated bonuses on that shopping portal.
[00:58:49.280 --> 00:58:53.920]   They tend to be around traditional holidays. One of the most popular and reliable ones is,
[00:58:53.920 --> 00:58:58.560]   you know, that sort of end of the year holiday shopping period around Thanksgiving.
[00:58:58.560 --> 00:59:02.320]   That seems to be extending, you know, Black Friday, Cyber Monday, but
[00:59:02.320 --> 00:59:06.560]   you can usually expect to get 10, 15, 20 times points earning opportunities, you know,
[00:59:06.560 --> 00:59:12.160]   around that time of year from Rakuten. And so I'm also a planner. If there are things that I
[00:59:12.160 --> 00:59:16.880]   know I kind of need on a regular basis, but I don't need them immediately and they are not perishable,
[00:59:16.880 --> 00:59:21.760]   I will specifically just have, you know, like a note in my phone, a running note of things that I
[00:59:21.760 --> 00:59:27.600]   know I will want to buy by the end of the year. And as much as I can concentrate my buying of those things,
[00:59:27.600 --> 00:59:32.320]   when Rakuten is having a huge bonus, I will absolutely do that. You know, my kids grow.
[00:59:32.320 --> 00:59:36.000]   I know they're probably going to need snow boots every single year because we live in a place where
[00:59:36.000 --> 00:59:39.920]   it snows. I know they're probably going to need the next size up in clothing for a certain amount
[00:59:39.920 --> 00:59:44.560]   of clothes or for two bathing suits, you know, for the year. And so I'll just keep this running list.
[00:59:44.560 --> 00:59:48.800]   What are the things we need around the house? If there are things that I know we will get through
[00:59:48.800 --> 00:59:54.080]   in terms of inventory and they're not going to perish, so I can just keep them somewhere in my house,
[00:59:54.080 --> 00:59:59.360]   then we will go ahead and we will will strategically wait to buy things or buy multiples of things that
[00:59:59.360 --> 01:00:04.960]   we know we will get through at a certain point when we can really capitalize on those shopping portal
[01:00:04.960 --> 01:00:10.640]   payouts. And that can also be really helpful for trip planning for anybody who likes earning extra
[01:00:10.640 --> 01:00:14.880]   points through Rakuten. I've also seen this through Capital One Offers. If you have a Capital One
[01:00:14.880 --> 01:00:19.760]   points or miles earning credit card, you log into your account, scroll down to the bottom of that first
[01:00:19.760 --> 01:00:24.720]   page. And hopefully you'll see an area. This is Capital One Offers where you can actually shop at
[01:00:24.720 --> 01:00:29.280]   stores online and get rewarded in points. So this is totally different than the Capital One shopping
[01:00:29.280 --> 01:00:34.800]   portal that's actually rewarding you in cashback. Capital One, when they first started offering their
[01:00:34.800 --> 01:00:41.200]   offers, which was very recently, they had incredible points earning opportunities that were very competitive
[01:00:41.200 --> 01:00:46.240]   with Rakuten and actually out earned Rakuten for a lot of things like sixth car rental. You can get
[01:00:46.240 --> 01:00:53.760]   sometimes 30 times Capital One miles for a sixth car rental via tour, which is very popular also on Rakuten for
[01:00:53.760 --> 01:00:59.120]   booking tours or booking activities when you travel. My favorite thing is that you may have a trip planned out
[01:00:59.120 --> 01:01:04.960]   nine months from now. But if you're looking around on one of these shopping portals, and you see that via tour or
[01:01:04.960 --> 01:01:12.240]   sixth has a really, really high bonus offer at any given time, you can book a tour nine months out, right? You can book a car
[01:01:12.240 --> 01:01:17.440]   rental eight months out. And then when you're finished with your trip, you're still going to earn all of the
[01:01:17.440 --> 01:01:23.680]   points as of the day that you reserved that car or that activity. And so I think to the extent that someone
[01:01:23.680 --> 01:01:29.120]   enjoys or wants to be intentional about planning, there are ways that you can really turn some of
[01:01:29.120 --> 01:01:36.240]   these shopping portal offers into just thousands and thousands of points without it being super labor intensive.
[01:01:36.240 --> 01:01:43.360]   Yep. I've recently been playing around with save wise, which is another similar to cashback monitor,
[01:01:43.360 --> 01:01:49.600]   where you can kind of look at all of them, except they have alerts. And so we were in the market for
[01:01:49.600 --> 01:01:56.720]   a Peloton tread. And I just went in and said an alert when when some cashback or points earning opportunity
[01:01:56.720 --> 01:02:02.720]   crosses this threshold, let me know, because I'll go purchase it then. I think by the time this comes out,
[01:02:02.720 --> 01:02:06.560]   maybe I will have done an episode on that exact Peloton purchase and how we thought about it.
[01:02:06.560 --> 01:02:11.680]   But I did get an email from the founder of save wise. And I believe I have to check my email,
[01:02:11.680 --> 01:02:15.600]   but I think there is a promo code he gave for people who want to sign up. I will put it in the show notes
[01:02:15.600 --> 01:02:22.240]   if I find it. And, but it's, it's really cool that you can set alerts to be able to say, I know that I
[01:02:22.240 --> 01:02:27.040]   need to purchase from whatever the retailer, let me know when it crosses that threshold. I don't know
[01:02:27.040 --> 01:02:32.160]   if they have Capital One Miles, but I will find out. And if there is, then I'll definitely be setting
[01:02:32.160 --> 01:02:37.600]   alerts. And for people who missed it in the past times we've covered it, the reason Rakuten is so
[01:02:37.600 --> 01:02:41.680]   interesting is that you can link your Rakuten and your Amex membership rewards account.
[01:02:41.680 --> 01:02:48.480]   And instead of earning cashback, you can earn points. And so it might say 5% cashback,
[01:02:48.480 --> 01:02:56.400]   but that would be 5X Amex points. And, and like you, we have earned a ton of Rakuten powered Amex
[01:02:56.400 --> 01:03:00.880]   points by doing similar things, but I've never really kept the running list. And I'm like,
[01:03:00.880 --> 01:03:06.400]   we have two kids. They're going to need another, you know, a jacket, a snow boots, shoes, all this stuff.
[01:03:06.400 --> 01:03:10.240]   So I want to come up with a list. And I'm sure when my wife hears this episode, she's like,
[01:03:10.240 --> 01:03:14.960]   I'm going to make that list and we're just going to bulk order it. And, and we're probably going to
[01:03:14.960 --> 01:03:19.360]   buy, get the gift cards and stack the gift cards and all of those things. So I love that.
[01:03:19.360 --> 01:03:23.520]   Such a great point too, is that there are stacking opportunities. So it's not just,
[01:03:23.520 --> 01:03:27.760]   Oh, Rakuten might be 20 X for a store. It's like 20 X for the store, but then you can also,
[01:03:27.760 --> 01:03:32.240]   like you said, go out, get a gift card on discount or purchase a gift card for extra points from a
[01:03:32.240 --> 01:03:38.560]   different location and add those things together. And I think that's why it is so really interesting
[01:03:38.560 --> 01:03:42.480]   that there's so many different ways to earn points. It doesn't just have to be one way.
[01:03:42.480 --> 01:03:45.840]   And depending on what your spend patterns are, and also depending on your personality,
[01:03:45.840 --> 01:03:48.960]   where do you want to put time? Where do you want to put effort into certain things?
[01:03:48.960 --> 01:03:53.600]   You identify the ones that are the highest yield for you. And for sure, Rakuten Capital One offers,
[01:03:53.600 --> 01:03:56.000]   those have been enormously high yield for our points earning.
[01:03:56.000 --> 01:04:01.520]   This episode is brought to you by Green Chef. I'm excited to kick this year off right. And if you
[01:04:01.520 --> 01:04:06.000]   want to start creating better eating habits that last, you should be looking at Green Chef because
[01:04:06.000 --> 01:04:11.440]   they make it easy. With so many dietician developed recipes that feature fresh organic produce and
[01:04:11.440 --> 01:04:16.800]   quality whole foods delivered to your door each week. We've been cooking with Green Chef for almost
[01:04:16.800 --> 01:04:21.520]   two years. We absolutely love it. It's like a cheat code for eating healthy and clean because
[01:04:21.520 --> 01:04:27.040]   ingredients are pre-portioned, sauces are pre-made, which means there's less prep and less mess and
[01:04:27.040 --> 01:04:32.000]   more time to eat a delicious meal. Even better, they make it easy to eat right for your lifestyle or
[01:04:32.000 --> 01:04:37.440]   dietary needs, whether that's Mediterranean, keto, plant-based, gluten-free, and more. And if you want
[01:04:37.440 --> 01:04:42.160]   to stay on track during your busiest days, they have salads that are ready in five minutes or less,
[01:04:42.160 --> 01:04:48.640]   ready to blend smoothies and grab and go protein packed breakfast. So go to allthehacks.com/greenchef
[01:04:48.640 --> 01:04:54.960]   and use the code allthehacksfree to get started with free salads for two months plus 50% off your
[01:04:54.960 --> 01:05:02.080]   first box. That's code allthehacksfree at allthehacks.com/greenchef to get 50% off your
[01:05:02.080 --> 01:05:08.800]   first box plus two months of salads for free. Any other final tips for people who fall into that
[01:05:08.800 --> 01:05:14.720]   camp of high earning, high spending that really want to optimize their earning and travel?
[01:05:14.720 --> 01:05:19.920]   Yes. I think one of the things, you know, in terms of the earning side of it is, I think there are so
[01:05:19.920 --> 01:05:24.320]   many things that people just automatically assume they can't earn points for. If they've had the
[01:05:24.320 --> 01:05:28.800]   experience where they go to pay for something and that service or vendor says, we don't accept credit
[01:05:28.800 --> 01:05:32.960]   card. A lot of folks in my community pay for things like malpractice insurance. They might be self-employed
[01:05:32.960 --> 01:05:39.200]   physicians or just other forms of insurance. What I want to say in terms of points earning is really be willing
[01:05:39.200 --> 01:05:44.240]   to challenge and be curious about any time you're spending money, especially for represents, you know,
[01:05:44.240 --> 01:05:50.080]   a decent amount of your monthly or your annual spend. If the vendor or the service says they don't accept
[01:05:50.080 --> 01:05:55.680]   a credit card, that may absolutely be true. But get really curious about what are alternate pathways where I
[01:05:55.680 --> 01:06:02.160]   could still use a credit card in order to pay this expense in order to earn points. And does that actually make
[01:06:02.160 --> 01:06:06.560]   sense for me? Is that actually justified? A lot of our points earning that comes over the course of a year,
[01:06:06.560 --> 01:06:11.200]   it's not from our online shopping. It's not from our groceries, even though, of course, we spend money
[01:06:11.200 --> 01:06:16.880]   on that, right? It's on these more single, but very, very high expense items that we have figured out these
[01:06:16.880 --> 01:06:21.200]   alternate pathways for earning points. So that is what I would say on points earning. And then on points
[01:06:21.200 --> 01:06:26.240]   redeeming, this is not a specific strategy. But this kind of ties into what we've been talking about
[01:06:26.240 --> 01:06:31.120]   this whole episode, which is that I think that there is conventional wisdom in terms of points
[01:06:31.120 --> 01:06:36.800]   earning, and points redeeming, that makes a lot of sense. And I know that sometimes people can take
[01:06:36.800 --> 01:06:40.320]   what is intended to be a really good piece of advice and use it against themselves. And I will
[01:06:40.320 --> 01:06:45.440]   say this on the points redeeming side is that so many of us who love points who love teaching about it,
[01:06:45.440 --> 01:06:49.680]   we, of course, want to teach you methods where you can get more than one or one and a half cents per
[01:06:49.680 --> 01:06:54.080]   point of value from your points, we want to share with you, what are the ways that you can get just
[01:06:54.080 --> 01:06:59.920]   extraordinary value. But I think one of the things that sometimes can get lost in that conversation is that
[01:06:59.920 --> 01:07:04.400]   what people hear is because it's possible to potentially get some crazy amount of value from
[01:07:04.400 --> 01:07:09.120]   your points. Anytime they decide to not do that, again, they're doing it wrong, or they're making a
[01:07:09.120 --> 01:07:14.720]   bad decision around points. And one of the things I really like to tell people is, no, no, no, learn all
[01:07:14.720 --> 01:07:20.880]   the potential options out there for you. Is it really, really fun to book a first class flight on JAL
[01:07:20.880 --> 01:07:26.240]   through American Airlines for 80,000 points and fly first class from the States to Tokyo and quote,
[01:07:26.240 --> 01:07:31.600]   unquote, save, you know, $20,000? Yes, that's amazing. If you want to do that, I will applaud you the whole
[01:07:31.600 --> 01:07:37.200]   way. I've done that. And it was incredible. And also, I've made quote, unquote, bad redemption where I'm
[01:07:37.200 --> 01:07:44.080]   trying to fly somewhere specifically with my family, or I'm not that flexible. And I've booked a redemption
[01:07:44.080 --> 01:07:51.000]   that got quote, just, you know, whatever 1.7 2.1 cents per point. I don't beat myself up about that
[01:07:51.000 --> 01:07:56.160]   whatsoever. So in terms of points redeeming, I really want to encourage you all continue to learn
[01:07:56.160 --> 01:08:00.800]   continue to understand what is possible strive for that if that's what you want. And also,
[01:08:00.800 --> 01:08:06.800]   if you love the way that you are using your points, I really don't think that there is a horrible or a
[01:08:06.800 --> 01:08:13.140]   bad use of points. So please don't think that it has to look one way in order for you to be doing this
[01:08:13.140 --> 01:08:17.980]   hobby the right way. Because I just don't believe in that. Yeah, on the high, high earning high spending
[01:08:17.980 --> 01:08:23.200]   side, something I've noticed recently is there have been some really competitive business class
[01:08:23.200 --> 01:08:28.340]   fares. And historically, I would always tell people, hey, you know, you can get better than
[01:08:28.340 --> 01:08:33.780]   the portal if you transfer your points to airlines. And depending on the portal, right on Chase, if you
[01:08:33.780 --> 01:08:38.440]   have a Chase reserve, you can get one and a half cents. If you have an Amex business platinum, you can
[01:08:38.440 --> 01:08:44.420]   actually get a 35% rebate. And I mean, if you had a Amex Centurion, you'd get even higher rebate. But I
[01:08:44.420 --> 01:08:49.780]   don't think we have a ton of black cards in the audience. And that ends up being 1.54 cents.
[01:08:50.260 --> 01:08:56.600]   There are some business class flights where I've seen round trip from the West Coast to Europe for
[01:08:56.600 --> 01:09:04.520]   $3,000. And if you're getting one and a half cents per point on a $3,000 fare, that's 200,000 points.
[01:09:04.520 --> 01:09:12.400]   And that's the equivalent of 100,000 points each way, which sure, have I gotten 50,000 points on Air France?
[01:09:12.400 --> 01:09:18.760]   Absolutely. But when you're looking for a family of four, 100,000 points for a flight to Europe is not that
[01:09:18.760 --> 01:09:25.180]   unreasonable. Add on the fact that there's no extra taxes and fees, which oftentimes you're looking at, well,
[01:09:25.180 --> 01:09:31.800]   it's 70,000 points, but plus $250. Add on the fact that those flights you're booking in the portal are earning
[01:09:31.800 --> 01:09:38.220]   points. And depending on the airline and the way they calculate earning, a $3,000 flight could earn
[01:09:38.220 --> 01:09:43.400]   you 20,000 points. There are a lot of cases where that's true based on the earning rate or the distance
[01:09:43.400 --> 01:09:50.680]   flown. And so if you say, wow, I'm going to spend 100,000 points each way to get a flight that's going
[01:09:50.680 --> 01:09:56.620]   to earn me 20,000 points and have no taxes and fees, it might not actually be a bad redemption.
[01:09:56.620 --> 01:10:03.900]   And somehow in my mind, spending 100,000 points on a flight seems more reasonable, but I've trained my
[01:10:03.900 --> 01:10:09.960]   brain to say, but using the portal, I can do better. But at this point, it's about taking the trip we want
[01:10:09.960 --> 01:10:15.360]   to take. It's about having the experience we want. And I'm increasingly being more comfortable
[01:10:15.360 --> 01:10:21.340]   burning points at really like portal level redemption. If it lets us take the trip we want
[01:10:21.340 --> 01:10:26.240]   in the class we want, you know, to the place we want, I really like it. And so I'm just going to
[01:10:26.240 --> 01:10:31.680]   challenge everyone to also think that way themselves and be more flexible with what they're doing.
[01:10:31.680 --> 01:10:36.920]   And the only little tip I'll give that adds on to what you said about asking people who maybe say
[01:10:36.920 --> 01:10:42.480]   they don't take cards to do it. One of the most lucrative things I've found here is setting up a
[01:10:42.480 --> 01:10:49.240]   business profile on Venmo is very easy. And obviously things change. But at present, when you
[01:10:49.240 --> 01:10:54.960]   pay someone on Venmo from a consumer account to a business account, and you use a credit card,
[01:10:54.960 --> 01:11:02.520]   the current fee as someone who's received is 1.9%, which is a really reasonable fee. So if you need
[01:11:02.520 --> 01:11:08.700]   to make a payment to a tutor, a nanny, like if they can set up a business Venmo account, and you can make
[01:11:08.700 --> 01:11:14.720]   that payment and offer to cover the cost of the fee, there can be a really great opportunity at much
[01:11:14.720 --> 01:11:20.460]   lower than the typical 3% fee. So that's the one I'll add there. But I really wanted to close on the
[01:11:20.460 --> 01:11:26.760]   note of, you know, don't beat yourself up, try to find the thing that works for you be happy with that. And if
[01:11:26.760 --> 01:11:32.260]   you're getting any value out of this, it's awesome. We could keep going. You know, we recorded back to back.
[01:11:32.260 --> 01:11:37.360]   So we've been going for almost three hours at this point. For anyone who wants more, where can they find
[01:11:37.360 --> 01:11:38.500]   all the stuff you're working on?
[01:11:38.500 --> 01:11:42.920]   My name of my business is point me to first class. It's a little bit of a misnomer. I will happily,
[01:11:42.920 --> 01:11:47.380]   happily teach you all how to fly in first class. But my belief is that points and miles can make
[01:11:47.380 --> 01:11:51.960]   any travel experience come true. And what's first class for me doesn't have to be literal doesn't
[01:11:51.960 --> 01:11:55.680]   have to be literal for you either. But at any rate, you can find me on my website is just point
[01:11:55.680 --> 01:12:00.100]   me to first class.com. And I also have a podcast by the same name point me to first class. And this
[01:12:00.100 --> 01:12:05.140]   is where I talk about all things points, miles, credit cards, especially for folks who do tend to
[01:12:05.140 --> 01:12:10.480]   have high business, high personal spend, what the game looks like sort of a different level and how you
[01:12:10.480 --> 01:12:15.880]   can continue to really leverage your expenses, turn them into unforgettable travel experiences. So those
[01:12:15.880 --> 01:12:19.480]   are the easiest places to find me. Awesome. Thank you so much for joining me today.
[01:12:19.480 --> 01:12:23.040]   Thank you for having me. It's been an absolute pleasure. I appreciate it so much.

