
[00:00:00.000 --> 00:00:04.400]   Everyone says to max out your retirement accounts, but is that always the best move?
[00:50:12.260 --> 00:50:16.500]   distributions become ordinary income because now you have to do all your spending from your retirement
[00:50:16.500 --> 00:50:22.260]   account, or you hit required minimum distribution age in your seventies. And now it starts forcing out money
[00:50:22.260 --> 00:50:28.820]   that if you grew a large IRA becomes a very large number and you get vaulted into higher tax brackets.
[00:50:28.820 --> 00:50:35.140]   So you can partially ameliorate that by say, well, what if we do a blend strategy? Like I'm going to take
[00:50:35.140 --> 00:50:39.780]   half my retirement distributions from my brokerage account, and I'm going to take the other half from
[00:50:39.780 --> 00:50:45.860]   my pre-tax IRA. So I'm going to spend my IRA down enough that it doesn't grow huge and knock my tax
[00:50:45.860 --> 00:50:50.100]   rates up higher in the future, but I'm only going to take a partial amount today because I don't want to
[00:50:50.100 --> 00:50:55.300]   knock my tax rates higher today by taking up more from my IRA than I need to. And as it turns out, blended
[00:50:55.300 --> 00:51:00.980]   strategies do better than either of the first two, taking some from each works better than all IRA and
[00:51:00.980 --> 00:51:06.260]   brokerage later. And it works better than all brokerage IRA later because now I'm not hitting high
[00:51:06.260 --> 00:51:12.100]   tax rates now or high tax rates in the future. I'm essentially levelizing my taxes in retirement,
[00:51:12.100 --> 00:51:13.860]   which lets me average out at a lower rate.
[00:51:13.860 --> 00:51:21.620]   The core principle to this is the way we optimize drawdown in retirement is by trying to bring down
[00:51:21.620 --> 00:51:26.260]   the average tax rate that we play throughout retirement. And the way we do that is by
[00:51:26.260 --> 00:51:30.580]   making sure we don't bunch the income up too much at the beginning or bunch the income too much up at
[00:51:30.580 --> 00:51:37.540]   the end. We try to smooth out when the income is occurring so that we can keep it in lower tax
[00:51:37.540 --> 00:51:43.460]   brackets each year and always fill whatever that low tax bracket bucket is each year. If we dribble
[00:51:43.460 --> 00:51:48.500]   dollars out at lower tax rates over time, we can constrain the growth enough that we don't climb
[00:51:48.500 --> 00:51:53.300]   into higher tax rates in the future either. And we just get lower average tax rates for life. And that
[00:51:53.300 --> 00:51:58.260]   turns out to save dollars and increase wealth. Does this change at all? If you realize I'm going to have
[00:51:58.260 --> 00:52:03.300]   too much money, I'm not going to spend it all. I'm going to leave some to my children or other heirs
[00:52:03.300 --> 00:52:08.580]   or charity. Should you do something differently? Yes, potentially. You have a couple of different
[00:52:08.580 --> 00:52:12.820]   scenarios there that actually pop up different outcomes. So it depends a little bit on which ones you're
[00:52:12.820 --> 00:52:18.900]   going after. In the context of charity, the most notable thing for those who are thinking about
[00:52:18.900 --> 00:52:25.060]   charity is that, so we get a tax deduction when we donate to charity. If we die with the money and
[00:52:25.060 --> 00:52:31.060]   leave it to the charity, there's an estate deduction if you are subject to federal estate taxes. When the
[00:52:31.060 --> 00:52:36.820]   charity gets the money, it doesn't owe any income taxes. It's a tax free entity, which means practically
[00:52:36.820 --> 00:52:42.420]   speaking, IRAs are awesome things to leave to a charity. You don't pay the taxes while you're alive because it's
[00:52:42.420 --> 00:52:47.860]   tax deferred and they don't pay the taxes when you die because they're tax free. Which also means I
[00:52:47.860 --> 00:52:55.220]   don't really need to wind down or Roth convert or do other things to make my IRA dollars pay taxes now
[00:52:55.220 --> 00:53:00.100]   on distributions or conversions to make them tax free later. If I'm going to earmark it to the charity,
[00:53:00.100 --> 00:53:06.420]   it's going to be tax free for the charity no matter what. So I don't really need to push on reduce my IRA
[00:53:06.420 --> 00:53:12.340]   strategies beyond maybe making sure I'm not getting crushed by required minimum distributions in my 70s and 80s.
[00:53:12.820 --> 00:53:18.740]   If the account's really compounding a lot, we tend to earmark IRAs to charity first. It's super tax
[00:53:18.740 --> 00:53:24.660]   efficient. Even if I'm just putting some money to charity and the rest of the money to my family,
[00:53:24.660 --> 00:53:30.020]   earmark the IRA to the charity, earmark the other stuff to the family and you end up with much more
[00:53:30.020 --> 00:53:34.820]   net tax wealth to everyone. The charity finishes more, your family finishes with more and Uncle Sam finishes
[00:53:34.820 --> 00:53:40.740]   with less when you put the three pie slices together. If you're leaving the dollars to family,
[00:53:40.740 --> 00:53:48.820]   the situation looks a little bit different because now the whole discussion of, well, what's a better
[00:53:48.820 --> 00:53:53.620]   deal? Like my tax rates now when I might Roth convert or my tax rates in the future when I might take the
[00:53:53.620 --> 00:53:59.300]   money out of the pre-tax account. It's not my rates now versus my rates in the future. It's my rates now
[00:53:59.300 --> 00:54:04.900]   versus my kids' rates or whoever my heirs, whoever my inheritors are, which means now it really depends
[00:54:04.900 --> 00:54:11.300]   on what's going on in the family situation. Sometimes we get scenarios, mom and dad invested heavily into
[00:54:11.300 --> 00:54:17.780]   their children's future. Johnny and Sally are a lawyer and a doctor doing incredibly well for themselves.
[00:54:17.780 --> 00:54:22.660]   Mom and dad only ever accumulated a fairly modest lifestyle for themselves because they put so much in
[00:54:22.660 --> 00:54:26.740]   their kids. And so mom and dad are going to leave a couple hundred thousand dollars to the kids and the
[00:54:26.740 --> 00:54:31.940]   kids make a couple hundred thousand dollars a year. In which case I really like mom and dad to do Roth
[00:54:31.940 --> 00:54:38.100]   conversions at their tax rates and leave the kids some tax-free Roths instead of pushing the money into
[00:54:38.100 --> 00:54:44.100]   their rates. Sometimes it's the other way around though. So mom and dad were the accumulators and wealth
[00:54:44.100 --> 00:54:48.820]   builders and gave their children a lot of financial room and flexibility. And one of them has built a very
[00:54:48.820 --> 00:54:54.660]   high income year and the other two are artists who are dedicated to their craft but do not make a lot
[00:54:54.660 --> 00:55:01.780]   of taxable income. In which case, the best thing I can do is take my high dollar value parents' assets
[00:55:01.780 --> 00:55:08.500]   and leave good old fashioned boring traditional IRAs to these children because their average tax rate is
[00:55:08.500 --> 00:55:12.580]   going to be a whole lot lower than what mom and dads are going to be. Maybe the one high income child is
[00:55:12.580 --> 00:55:18.340]   going to be equal to mom and dad, but the other two are going to be much better off to not Roth convert
[00:55:18.340 --> 00:55:23.540]   this. So either I can leave all of them traditional. If you really want to get into the sophisticated
[00:55:23.540 --> 00:55:29.460]   stuff, I can start doing partial Roth conversions so that I leave a Roth to the high income child and I
[00:55:29.460 --> 00:55:35.460]   leave pre-tax assets to the lower income children. It's very tax efficient. It's really messy in practice
[00:55:35.460 --> 00:55:40.100]   because the accounts grow and move every year. And so suddenly your inheritances are not equal the way
[00:55:40.100 --> 00:55:44.100]   that you might have meant them to be equal amongst the children. So there's some nuances about doing
[00:55:44.100 --> 00:55:48.660]   that and monitoring that so you don't create family strife down the road. But the kind of Roth versus
[00:55:48.660 --> 00:55:53.940]   traditional conversation now effectively becomes what's mom and dad's tax rates and what are the kids
[00:55:53.940 --> 00:55:58.260]   tax rates. And I still get to the same principle, which is I want to pay the bill with whoever's got
[00:55:58.260 --> 00:56:02.020]   the more favorable tax bracket. So if the kids are more favorable, let's give them a good old fashioned
[00:56:02.020 --> 00:56:08.740]   pre-tax IRA and 401k. And if the kids are financially higher income than their parents, then I want to do as much
[00:56:08.740 --> 00:56:13.380]   Roth as I can. Now, not necessarily everything at once because then parents go into the top tax bracket
[00:56:13.380 --> 00:56:19.220]   and we have not helped the situation, but I might at least winnow down partial Roth conversions to set
[00:56:19.220 --> 00:56:24.820]   this up for higher income children. And just in general, that also comes up even as part of the
[00:56:24.820 --> 00:56:28.900]   strategy when we're spending down our own dollars in retirement. I mean, as I highlighted earlier,
[00:56:28.900 --> 00:56:34.420]   the kind of the blended strategies work better than spend all the brokerage first and let the IRA run or
[00:56:34.420 --> 00:56:40.020]   spend all the IRA first and let the brokerage run. The slightly more efficient version though is I don't
[00:56:40.020 --> 00:56:43.940]   take part of the money out of my brokerage account and part of the money out of my IRA because I'm still
[00:56:43.940 --> 00:56:51.060]   depleting a tax-preferenced account earlier than I needed to. The most optimal one is I take all the
[00:56:51.060 --> 00:56:57.060]   money out of my brokerage account, but I don't leave my income really low. I do partial Roth conversions to
[00:56:57.060 --> 00:57:02.820]   fill my income during the low income years while I'm spending my brokerage account that usually has
[00:57:02.820 --> 00:57:09.220]   limited tax impact. There's a lot of basis there. The rest is mostly capital gains so I can fill up a lot
[00:57:09.220 --> 00:57:15.060]   of ordinary income very favorably. And so I might spend, depending on how many mixture of dollars,
[00:57:15.060 --> 00:57:20.580]   I might spend the first one, three, five, seven, 10 years spending down a brokerage account very tax
[00:57:20.580 --> 00:57:25.860]   efficiently and doing systematic partial Roth conversions from IRA to Roth so that by the time
[00:57:25.860 --> 00:57:30.900]   I get five to 10 years into retirement and I'm running low on brokerage account dollars, now I've
[00:57:30.900 --> 00:57:35.940]   got a big IRA and a big Roth that I made a very favorable tax rates because I converted them not
[00:57:35.940 --> 00:57:40.580]   while I was working but during the low income years at the beginning of retirement. And now in the second
[00:57:40.580 --> 00:57:46.580]   half of retirement, I can take a blended withdrawal from my IRA and my Roth and continue to stay in low tax
[00:57:46.580 --> 00:57:51.460]   brackets all the way through. Wouldn't that taxable brokerage account have gotten stepped up to the
[00:57:51.460 --> 00:57:56.820]   children if you left that to them? Yes, the brokerage account gets stepped up if I leave it to them. But
[00:57:56.820 --> 00:58:01.860]   if I'm winding down the brokerage account so I can systematically create tax-free Roth assets,
[00:58:01.860 --> 00:58:08.180]   I'm generally doing better for them. It's tax-free anyways. And practically speaking, like, yes,
[00:58:08.180 --> 00:58:13.940]   my capital gains get a step up in basis, but there's two caveats to it. The first is most of us don't
[00:58:13.940 --> 00:58:19.140]   generate 100% of our return from capital gains. We get those pesky things called dividends, which from
[00:58:19.140 --> 00:58:24.340]   an investment perspective can be very appealing. From a tax perspective means a portion of your growth
[00:58:24.340 --> 00:58:28.580]   is dividends that would have been totally tax-free in your Roth and you have to pay taxes to Uncle Sam
[00:58:28.580 --> 00:58:35.220]   every year when you own a brokerage account. And although investment styles and circumstances vary,
[00:58:35.220 --> 00:58:41.460]   a lot of us don't actually literally hold the same thing for like 20, 30 years in retirement. At some
[00:58:41.460 --> 00:58:45.940]   point, investment circumstances change, investment vehicles change, right? 30 years ago, we barely
[00:58:45.940 --> 00:58:50.900]   had ETFs. Now we kind of use them a lot. I don't know what the hot investment vehicle of 2055 is going
[00:58:50.900 --> 00:58:56.020]   to be. So I struggle a little bit with sort of banking on the, well, I'm just going to hold this
[00:58:56.020 --> 00:59:00.820]   for 30 years and wait for step up in basis. Because I'm like, are you really sure you're not going to
[00:59:00.820 --> 00:59:05.380]   want to like change that once in 30 years? I mean, heck, if it grows well, you're going to have a
[00:59:05.380 --> 00:59:08.660]   rebalancing problem and you're going to have to rebalance out of it, which is going to start
[00:59:08.660 --> 00:59:11.940]   triggering some capital gains. If it does badly, you're going to want to sell it,
[00:59:11.940 --> 00:59:15.540]   which is going to trigger capital gains on whatever you've got left after the losses.
[00:59:15.540 --> 00:59:22.100]   So it's one thing if the retirees or the parents are older, are sadly just our time horizon is not as
[00:59:22.100 --> 00:59:28.500]   long. We're now like, okay, then I'm really focused on capital gains, step up in basis planning. But for
[00:59:28.500 --> 00:59:35.140]   sort of like the generic retiree situation, right? 50 or 60 something year old couple in pretty good health,
[00:59:35.140 --> 00:59:39.620]   that's enjoying life and wants to live a long and vivacious retirement, even if I've got more
[00:59:39.620 --> 00:59:45.140]   wealth than I need, unless there's a really specialized scenario, like I've had this stock
[00:59:45.140 --> 00:59:48.820]   I inherited from grandpa, I'm going to hold it for another 50 years for my children. And we're just,
[00:59:48.820 --> 00:59:53.940]   this is like sacred family assets and we never sell them. I just, I get a little bit wary about
[00:59:54.420 --> 00:59:59.940]   banking on step up in basis for ultra long-term time periods. A because I still get tax drag from
[00:59:59.940 --> 01:00:05.460]   dividends, no matter what. And it's non-trivial over time. And a lot of us don't really hold one
[01:00:05.460 --> 01:00:10.020]   thing for 20 or 30 years. A few of us do. If that's really you, you know, you and you be you.
[01:00:10.020 --> 01:00:14.900]   That makes sense. And for anyone who doesn't know, like the concept is that death, if you pass on
[01:00:14.900 --> 01:00:20.740]   something, the basis steps up. So the child, if they sold it right after would not have to pay capital
[01:00:20.740 --> 01:00:26.660]   gains tax. But it only works on brokerage or regular taxable account assets. You don't get a step up on
[01:00:26.660 --> 01:00:30.260]   Roth. You don't get a step up on, well, Roth tax for anyways, but you don't get a step up on traditional
[01:00:30.260 --> 01:00:36.660]   IRAs, only brokerage account assets. Okay. This has been great. I know we've gone right up to your limit.
[01:00:36.660 --> 01:00:42.580]   So if people want to go deeper on either these topics or maybe go deeper and actually get someone
[01:00:42.580 --> 01:00:46.820]   to help walk them through this process, because they were like, that's awesome. Whether it's me,
[01:00:46.820 --> 01:00:50.900]   the retiree or my parents, where do you want to send people in both those scenarios?
[01:00:50.900 --> 01:00:55.540]   Oh, well, so look, I just, if you want to nerd on more of this, like kitsis.com is our site.
[01:00:55.540 --> 01:00:59.620]   Our primary audience is financial advisors. You'll get the over the shoulder look at what the financial
[01:00:59.620 --> 01:01:04.740]   advisors read. That's our primary business is doing training and education for financial advisors,
[01:01:04.740 --> 01:01:09.140]   but the content's online. If you're looking on the advisor end, I wear a couple of different
[01:01:09.140 --> 01:01:14.180]   hats in the advisory world. Like I'm also head of planning strategy for a national wealth management
[01:01:14.180 --> 01:01:20.100]   firm called Focus Partners Wealth. So we do a lot of work with retirees who have reached the point where
[01:01:20.100 --> 01:01:23.540]   they're trying to figure out what to do with all the dollars and how to make the transition. And just,
[01:01:23.540 --> 01:01:28.100]   we implement all the tax sensitive stuff we've been talking about here in practice with clients.
[01:01:28.100 --> 01:01:32.900]   This all comes from practice. I'm also a co-founder with, for an organization called XY Planning
[01:01:32.900 --> 01:01:39.380]   Network or XYPN for short, xyplanningnetwork.com. XYPN is a network of advisors that specifically are
[01:01:39.380 --> 01:01:44.020]   focused on working with folks in their thirties, forties and fifties, and primarily build around
[01:01:44.020 --> 01:01:50.020]   subscription fee models. So like no asset requirements. Some of them do subscriptions in
[01:01:50.020 --> 01:01:55.780]   asset center management. Most of them do subscriptions only. So if you just want like pure advice from an
[01:01:55.780 --> 01:02:00.820]   advisor, advice only is kind of the hot term in the industry right now, xyplanningnetwork.com.
[01:02:00.820 --> 01:02:06.340]   And there's a find an advisor page there for just a whole network of advisors that do this,
[01:02:06.340 --> 01:02:10.500]   really focus on folks who are navigating all these financial and career decisions in their thirties,
[01:02:10.500 --> 01:02:15.380]   forties and fifties. Focus Partners Wealth, mostly for folks who are already at the retirement stage.
[01:02:15.380 --> 01:02:19.860]   So many great resources. I've read so many blog posts that you've written. And so whenever I'm like,
[01:02:19.860 --> 01:02:24.820]   Ooh, 72T, how does this work? I'm going to your site. So we're going to link a lot of those in the show notes.
[01:02:25.460 --> 01:02:28.900]   Thank you so much for breaking a lot of this down for everyone. I really appreciate it.
[01:02:28.900 --> 01:02:30.580]   Yeah, my pleasure. Thank you, Chris.

