
[00:00:00.000 --> 00:00:05.800]   almost everyone in the AI space that I see with a microphone in front of them says,
[00:54:00.420 --> 00:54:04.500]   I said at the end of January, early February, when you and I did the pot, I said, we've taken
[00:54:04.500 --> 00:54:08.980]   down our units of risk because there's just more uncertainty in the world. Discount rates need to
[00:54:08.980 --> 00:54:13.620]   come up. Multiples are coming down. And we did. And I would say over the course of the past several
[00:54:13.620 --> 00:54:19.140]   weeks, we've had very little risk on directional risk along the market. You can like Nvidia,
[00:54:19.140 --> 00:54:23.620]   but if you wake up one morning and 12 billion of their sales are gone because they can no longer
[00:54:23.620 --> 00:54:29.060]   sell, you know, chips in China, that's something again, that, that is the macro that is hard for
[00:54:29.060 --> 00:54:29.700]   you to forecast.
[00:54:29.700 --> 00:54:33.940]   You know, going to Nvidia, I've heard rumors that they, that they want that the government,
[00:54:33.940 --> 00:54:39.540]   US government, US government, and I, but not to sound like a victory lap, but I said a few episodes
[00:54:39.540 --> 00:54:45.860]   ago, the biggest risk on Nvidia was the government and that turned out to be true here. And they may
[00:54:45.860 --> 00:54:48.980]   not be done. I've heard arguments that they want to do
[00:54:48.980 --> 00:54:52.260]   a customer audit. I don't know what that is or involves.
[00:54:52.260 --> 00:54:57.380]   Well, they were suggesting it last week. I think even on, uh, even, even on our, our, our friends
[00:54:57.380 --> 00:55:02.900]   pod where, you know, maybe you should look into all these shipments or all these sales that are,
[00:55:02.900 --> 00:55:08.100]   that are, that are going to Singapore or whatever. And again, I, I welcome all, all of that. Like,
[00:55:08.100 --> 00:55:13.540]   I think all companies should have to comply with us rules and regulations. I suspect that they do.
[00:55:13.540 --> 00:55:19.780]   But again, if I just step back here, gold's outperforming, uh, the S and P so far this year
[00:55:19.780 --> 00:55:25.140]   by about 40%, right? What does that tell you? People are moving into safe havens. They don't
[00:55:25.140 --> 00:55:29.460]   know where this is all going to land. Here's one of the things that really concerns me, Bill.
[00:55:30.100 --> 00:55:36.420]   If we look at consensus earnings expectations for the S and P so far this year, we started the year,
[00:55:36.420 --> 00:55:44.660]   we expected 15% growth. We expected the S and P to do $273 a share. Now the consensus is 12%
[00:55:44.660 --> 00:55:51.780]   growth. So $265 a share. So consensus earnings expectations for the S and P have barely moved
[00:55:51.780 --> 00:55:58.420]   down. And when I think about the chaos of the last eight weeks, every CEO that I talked to says,
[00:55:58.420 --> 00:56:02.900]   we're on hold, we're tightening our belts, we're taking a more cautious approach to the year. We
[00:56:02.900 --> 00:56:06.900]   can't make decisions. We don't know where tariffs are going to be. We don't know where this is going
[00:56:06.900 --> 00:56:12.820]   to be. It's hard for me to think that you can literally wipe two months out of the year in terms
[00:56:12.820 --> 00:56:19.380]   of, you know, where, uh, decision-making is going on in these companies and only have a 3% adjustment,
[00:56:19.380 --> 00:56:24.420]   uh, to S and P earnings. Now, what are we seeing this, uh, over the course of the last two weeks? Well,
[00:56:24.420 --> 00:56:30.340]   Scott Kirby from United airlines comes out. He gives two different guides and he says, you know,
[00:56:30.340 --> 00:56:34.980]   if there's a recession, which we may have, you know, then earnings are going to be seven to eight
[00:56:34.980 --> 00:56:39.140]   bucks. And if there's not a recession, earnings will be 12 bucks. So you have companies that are
[00:56:39.140 --> 00:56:43.220]   doing highly unusual things in terms of saying, we don't know that we don't know the future.
[00:56:43.220 --> 00:56:47.540]   So we're either not going to give you a guide at all, or we're going to give you this wide dispersion
[00:56:47.540 --> 00:56:54.420]   and a guide. So I think for most managers, people are looking at this, they're at max caution. I think
[00:56:54.420 --> 00:56:59.060]   from an altimeter perspective, we were pretty cautious. And now we're looking at again, leaning
[00:56:59.060 --> 00:57:05.380]   back into markets on some of these down days where it's big risk off, because I think ultimately the
[00:57:05.380 --> 00:57:11.300]   president is going to make deals. You know, Besant is going to get deals done. I think we're going to
[00:57:11.300 --> 00:57:16.980]   probably land somewhere in this kind of five to 10% tariffs for the rest of the world, right? If you add
[00:57:16.980 --> 00:57:22.020]   that up, that's going to be somewhere order of magnitude $200 billion of tariffs. And you're not
[00:57:22.020 --> 00:57:27.460]   going to end up at 140 on China, we're probably going to get rid of these export bans and embargoes
[00:57:27.460 --> 00:57:34.820]   and land the plane somewhere around 25 or 30%. Now, mind you, that's still a three to four X increase
[00:57:34.820 --> 00:57:39.780]   over the tariffs from last year. But I think what the world needs is predictability, and they need it
[00:57:39.780 --> 00:57:44.820]   soon. I think if we're still having this conversation in eight, 12, 16 weeks,
[00:57:44.820 --> 00:57:50.100]   with this level of uncertainty around tariffs, I think it's going to have a much bigger headwind
[00:57:50.100 --> 00:57:55.540]   to those S&P earnings for the year. And as those earnings come down, we know that the market's going
[00:57:55.540 --> 00:58:00.980]   to have to come down with it. So the S&P as of end of the day today is only down about 10% for the year.
[00:58:00.980 --> 00:58:05.140]   And if you think about all the things that have changed, that feels to me like just the air coming
[00:58:05.140 --> 00:58:10.420]   out of the balloon in terms of like the certainty and the uncertainty that we have in the market,
[00:58:10.420 --> 00:58:15.220]   I think the next move down, if we have it, is going to be around growth. And we really haven't
[00:58:15.220 --> 00:58:20.660]   got a lot of growth earnings. Tesla's out tonight. And even though earnings came in a lot lower than
[00:58:20.660 --> 00:58:26.100]   expected, I think people are looking through that as kind of one time. But by the time we get another
[00:58:26.100 --> 00:58:33.860]   month or two into the next earnings season, if we continue to see this level of uncertainty and drifting
[00:58:33.860 --> 00:58:36.580]   down, I think we're going to have problems and further problems in the market.
[00:58:36.580 --> 00:58:45.540]   I admire your hopeful optimism and the data points that I see in the past 24 hours about how soon
[00:58:45.540 --> 00:58:52.740]   something might come together. I think there was an announcement that India, we had finalized the
[00:58:52.740 --> 00:58:57.940]   terms of reference. I don't know what that means, but it doesn't sound like you're very close to being
[00:58:57.940 --> 00:59:02.660]   done. Right. That was J.D. Vance today in meetings with Modi, came out of the meetings,
[00:59:02.660 --> 00:59:10.100]   said we had a big breakthrough. We came to terms of reference on what the trade deal will be,
[00:59:10.100 --> 00:59:12.820]   but it will still take months in order to hammer out the deal.
[00:59:12.820 --> 00:59:14.660]   Right. So months, I think months is too long.
[00:59:14.660 --> 00:59:15.060]   Yeah.
[00:59:15.060 --> 00:59:20.420]   I think the, you know, the reflexivity already starts to take place, everything you just described.
[00:59:20.420 --> 00:59:27.540]   And once it does, some of it is certainly self-reinforcing. So you start decommitting
[00:59:27.540 --> 00:59:36.340]   CapEx, you start decommitting, you know, basic capacity on different manufacturing lines, planes,
[00:59:36.340 --> 00:59:41.860]   whatever, and it will become self-reinforcing. You raise prices when you decommit because you have
[00:59:41.860 --> 00:59:48.340]   less land, like that's inflationary. Everything starts, the fear of it starts to become the reality.
[00:59:48.340 --> 00:59:55.380]   Right. I guess, you know, a thought experiment. If I described everything to you that has happened
[00:59:55.380 --> 01:00:01.780]   thus far this year, and I asked you, should the market be higher or lower from the all-time highs
[01:00:01.780 --> 01:00:07.460]   where we started the year? You would say, of course, it should be lower. Right. And I don't think that
[01:00:07.460 --> 01:00:15.460]   down 10% on the S&P sounds to me like irrational, given the level of uncertainty that we've injected in a
[01:00:15.460 --> 01:00:21.780]   very short period of time. And so to me, if you're, you know, if you're thinking about units of risk,
[01:00:21.780 --> 01:00:26.900]   you know, it still feels to me like you're in that bottom third, right? Of whatever your normal
[01:00:26.900 --> 01:00:32.900]   exposures are, you're in kind of that bottom third, you know, everybody wants to buy the dip and go all
[01:00:32.900 --> 01:00:38.500]   in. And, you know, I think we need a lot more certainty as to where this is going. I do think that
[01:00:38.500 --> 01:00:42.820]   it would be very helpful. And it sounds like the president is starting to make some of these comments
[01:00:42.820 --> 01:00:50.260]   just this afternoon to disavow ourselves of this, you know, Navarro style, replace the internal revenue
[01:00:50.260 --> 01:00:56.540]   service. If we can just get a four-year forecast that it's about re-onshoring a few industries,
[01:00:56.540 --> 01:01:02.740]   land the plane on China or on Japan and India, and then on China, I think that gives us what we need to
[01:01:02.740 --> 01:01:07.600]   plan, you know, but there are a lot of other things that have to come together in order to keep the
[01:01:07.600 --> 01:01:14.120]   market moving forward. So, you know, we didn't even get to talk about the impact this is going to have
[01:01:14.120 --> 01:01:19.300]   on startups and on, you know, what we're seeing in kind of the startup ecosystem. We'll come back and do
[01:01:19.300 --> 01:01:27.520]   that next time. But I think that, listen, I'm kind of tired of talking about tariffs, but it is the most
[01:01:27.520 --> 01:01:32.800]   important thing and it is impacting everything that we're looking at, both on the public and on the
[01:01:32.800 --> 01:01:37.920]   venture side of the business today. So, you know, it's unavoidable. We have this really important
[01:01:37.920 --> 01:01:44.200]   divergence, I think, in terms of points of view. And what's interesting to me is kind of the free trade
[01:01:44.200 --> 01:01:50.220]   side of this argument has largely been drowned out. And, you know, so I appreciate you steel manning that
[01:01:50.220 --> 01:01:58.900]   side of it. I mean, look, I assume most people that have at least had a finance class have studied
[01:01:58.900 --> 01:02:06.320]   comparative advantage, but it's very mathematical. Like, it's very deterministic. Like, doing stuff
[01:02:06.320 --> 01:02:11.880]   you're good at and letting other people do stuff they're good at is a win-win-win-win-win. And you
[01:02:11.880 --> 01:02:16.900]   start backing that up and you're going to get lose-lose-lose. I'm certain of it.
[01:02:16.900 --> 01:02:21.600]   Yeah. Here, here. Here, here. Let's land the plane and get back to building America.
[01:02:21.600 --> 01:02:22.840]   Okay. Take care, man.
[01:02:22.840 --> 01:02:36.180]   As a reminder to everybody, just our opinions, not investment advice.

