
[00:00:00.040 --> 00:00:09.480]   Winds
[01:39:26.600 --> 01:39:26.600]   I think there's a jump in ease in the way that you're using the internet.
[01:39:26.600 --> 01:39:26.600]   I think there's a jump in ease in the way that you're using the internet.
[01:39:26.600 --> 01:39:26.600]   I think there's a jump in ease in the way that you're using the internet.
[01:39:26.600 --> 01:39:26.600]   I think there's a jump in ease in the way that you're using the internet.
[01:39:26.600 --> 01:39:26.600]   I think there's a jump in ease in the way that you're using the internet.
[01:39:26.600 --> 01:39:26.600]   I think there's a jump in ease in the way that you're using the internet.
[01:39:26.600 --> 01:39:26.600]   I think there's a jump in ease in the way that you're using the internet.
[01:39:26.640 --> 01:39:29.140]   add
[01:39:29.140 --> 01:39:37.020]   Steven H's, --, add or in thewhich branchesSorry
[01:39:37.020 --> 01:39:37.780]   Z, the, and, and, and, and,,,,,,,,,,,,,,-- autb--out�專 Chin gave Mah
[01:39:37.780 --> 01:39:45.560]  govern Bar Shaprès R winds fit
[01:39:55.540 --> 01:40:06.300]   e
[01:40:06.300 --> 01:40:24.660]   dialogue , ,, this little
[01:40:24.900 --> 01:40:27.760]   acquire
[01:40:27.760 --> 01:40:53.100]  ...ıma
[01:42:20.140 --> 01:42:20.140]   I'm not sure what you're saying.
[01:42:20.140 --> 01:42:20.140]   I'm not sure what you're saying.
[01:42:48.960 --> 01:42:48.960]   I'm not sure what you're saying.
[01:42:48.960 --> 01:42:48.960]   I'm not sure what you're saying.
[01:42:48.960 --> 01:42:48.960]   I'm not sure what you're saying.
[01:42:48.960 --> 01:42:48.960]   I'm not sure what you're saying.
[01:42:48.960 --> 01:42:48.960]   I'm not sure what you're saying.
[01:42:48.960 --> 01:42:48.960]   I'm not sure what you're saying.
[01:42:48.960 --> 01:42:49.000]   I'm not sure what you're saying.
[01:42:49.000 --> 01:42:49.080]   I'm not sure what you're saying.
[01:42:49.080 --> 01:42:49.140]   I'm not sure what you're saying.
[01:42:49.140 --> 01:42:49.200]   I'm not sure what you're saying.
[01:42:49.200 --> 01:42:49.260]   I'm not sure what you're saying.
[01:42:49.260 --> 01:42:49.360]   I'm not sure what you're saying.
[01:42:49.360 --> 01:42:49.440]   I'm not sure what you're saying.
[01:42:49.440 --> 01:42:49.540]   I'm not sure what you're saying.
[01:42:49.540 --> 01:42:49.600]   I'm not sure what you're saying.
[01:42:49.600 --> 01:42:49.640]   I'm not sure what you're saying.
[01:42:49.640 --> 01:42:49.700]   I'm not sure what you're saying.
[01:42:49.700 --> 01:42:49.760]   I'm not sure what you're saying.
[01:42:49.760 --> 01:42:49.800]   I'm not sure what you're saying.
[01:42:49.800 --> 01:43:19.480]   I'm not sure what you're saying.
[01:43:19.480 --> 01:43:19.500]   I'm not sure what you're saying.
[01:43:19.500 --> 01:43:19.520]   I'm not sure what you're saying.
[01:43:19.520 --> 01:43:19.560]   I'm not sure what you're saying.
[01:43:19.560 --> 01:43:19.620]   I'm not sure what you're saying.
[01:43:19.620 --> 01:43:19.660]   I'm not sure what you're saying.
[01:43:19.660 --> 01:43:19.680]   I'm not sure what you're saying.
[01:43:19.680 --> 01:43:19.700]   I'm not sure what you're saying. I'm not sure what you're saying.
[01:43:19.740 --> 01:43:22.340]   puppet made needed
[01:43:22.340 --> 01:43:28.960]   over things as
[01:43:28.960 --> 01:43:45.860]   con
[01:43:45.860 --> 01:43:48.560]   bad. ", be,,,,,,,,,이었 Human legs det such Gu limit inside a shot â bu
[01:43:48.640 --> 01:44:00.620]   buy
[01:47:02.760 --> 01:47:03.420]   I was time's first of the year in 2006. Yeah? I love this. It's you. It was time's first of the year in 2006, right? Like, that's, you know, so quickly did people forget. And I think some of it's social media. I think some of it, I hope, look, I hope that I don't, it's possible that some very sinister things happened. I don't, I don't know. I think it might just be like the effects of social media. But something happened in the last 20 years.
[01:47:03.420 --> 01:47:03.420]   But something happened in the last 20 years.
[01:47:27.020 --> 01:47:27.540]   Yeah.
[01:47:27.540 --> 01:47:28.940]   I mean, that's kind of like what the whole cryptocurrency is trying to exit that. I think crypto is just carrying the flame of that spirit of like, stuff should be decentralized.
[01:47:28.940 --> 01:47:30.140]   It's such a shame that they all got rich. You know?
[01:47:30.140 --> 01:47:30.640]   Yeah.
[01:47:30.640 --> 01:47:32.040]   If you took all the money out of crypto, it would have been a beautiful place.
[01:47:32.040 --> 01:47:32.540]   Yeah.
[01:47:32.580 --> 01:48:02.560]  ,
[01:48:02.560 --> 01:48:02.560]   I mean, these people, you know, they, they, they sucked all the value out of it and took it.
[01:48:02.560 --> 01:48:02.560]   Yeah. Money kind of corrupts the mind somehow. It becomes a drug.
[01:48:02.560 --> 01:48:02.560]   He corrupted all of crypto. You had coins worth billions of dollars that had zero use. You still have hope for crypto?
[01:48:02.560 --> 01:48:02.560]   Sure. I have hope for the ideas. I really do. Yeah. I mean, you know, I want the US dollar to collapse. I do.
[01:48:02.560 --> 01:48:02.560]  , I mean, you know, I want the US dollar to collapse. I do.
[01:48:02.600 --> 01:48:12.420]   Ed
[01:48:12.420 --> 01:48:14.420]  , most i. But, Eu,
[01:48:14.420 --> 01:48:30.440]   cannabis find a just a Dow 10 concentrate's do, or, the, the, the, the, the, the, the, the, the, my, o, third, 12,
[01:48:30.500 --> 01:48:39.760]   attend
[01:48:39.760 --> 01:48:40.560]   the is'm
[01:48:40.560 --> 01:48:57.180]   and play abreses thigh
[01:48:59.600 --> 01:49:28.700]   didnt know this is sci-fi B movie garbage. Okay. What if the thing writes code, basically writes viruses? If the thing writes viruses, it's because the human told it to write viruses. Yeah, but there's some things you can't like put back in the boxes. So that's kind of the whole point is it kind of spreads, give it access to the Internet, it spreads, installs itself, modifies your shit. B plot sci-fi. Not real. I'm trying to work. I'm trying to
[01:49:28.700 --> 01:49:28.700]   I'm trying to get better at my plot writing.
[01:49:28.720 --> 01:49:57.820]   The thing that worries me, I mean, we have a real danger to discuss, and that is bad humans using the thing to do whatever bad unaligned AI thing you want.
[01:49:57.820 --> 01:49:57.820]   But this goes to the your previous concern that who gets to define who's a good human, who's a bad human.
[01:49:57.820 --> 01:49:57.820]   Nobody does. We give it to everybody. And if you do anything besides give it to everybody, trust me, the bad humans will get it. And that's who gets power. It's always the bad humans who get power.
[01:49:57.820 --> 01:49:57.820]   Okay. Power.
[01:49:57.820 --> 01:49:57.820]   And I'm trying to figure out a way to get the right answer.
[01:49:57.820 --> 01:49:57.820]   And I'm trying to figure out a way to get the right answer.
[01:49:57.820 --> 01:49:57.820]   And I'm trying to figure out a way to get the right answer.
[01:49:57.820 --> 01:49:57.820]   And I'm trying to figure out a way to get the right answer.
[01:49:57.820 --> 01:49:57.820]   And I'm trying to figure out a way to get the right answer.
[01:49:57.820 --> 01:50:26.980]   and I'm trying to figure out a way to get the right answer.
[01:50:26.980 --> 01:50:27.020]   and I'm trying to figure out a way to get the right answer.
[01:50:27.020 --> 01:50:27.060]   and I'm trying to figure out a way to get the right answer.
[01:50:27.060 --> 01:50:27.100]   and I'm trying to figure out a way to get the right answer.
[01:50:27.100 --> 01:50:27.140]   and I'm trying to figure out a way to get the right answer.
[01:50:27.140 --> 01:50:27.180]   and I'm trying to figure out the right answer.
[01:50:27.180 --> 01:50:27.220]   and I'm trying to figure out the right answer.
[01:50:27.220 --> 01:50:27.260]   and I'm trying to figure out the right answer.
[01:50:27.260 --> 01:50:27.340]   and I'm trying to figure out the right answer.
[01:50:27.340 --> 01:50:27.340]   and I'm trying to figure out the right answer.
[01:50:27.340 --> 01:50:27.340]   and I'm trying to figure out the right answer.
[01:50:27.380 --> 01:50:37.520]   car
[01:50:37.520 --> 01:50:42.600]   over to should ce
[01:50:56.740 --> 01:51:14.500]  programs. Right? That may be my own biases, that these people are a lot more aligned with me than these other people. Right? Yeah. So you know, I can certainly recognize that. But you know, in general, I mean, this is like, like, common sense maxim, which is the people who end up getting power are never the ones you want with it.
[01:51:14.500 --> 01:51:25.820]   But do you have a concern of superintelligent AGI? open source? And then what do you do with that? I'm not saying control it. It's open source.
[01:51:25.820 --> 01:51:25.940]   What do we do with this?
[01:51:25.980 --> 01:51:32.960]   cortar
[01:51:32.960 --> 01:51:54.080]  ... like, ",
[01:51:54.620 --> 01:52:01.080]   You know, antivirus software, this kind of thing.
[01:52:01.080 --> 01:52:03.020]   - Oh, you're saying that you should build AI firewalls?
[01:52:03.020 --> 01:52:03.860]   That sounds good.
[01:52:03.860 --> 01:52:05.100]   You should definitely be running an AI firewall.
[01:52:05.100 --> 01:52:05.940]   - Yeah, right.
[01:52:05.940 --> 01:52:08.520]   - You should be running an AI firewall to your mind.
[01:52:08.520 --> 01:52:09.360]   - Right.
[01:52:09.360 --> 01:52:10.280]   - You're constantly under, you know,
[01:52:10.280 --> 01:52:11.120]   - That's an interesting idea.
[01:52:11.120 --> 01:52:13.160]   - Info wars, man.
[01:52:13.160 --> 01:52:14.680]   - I don't know if you're being sarcastic enough.
[01:52:14.680 --> 01:52:15.520]   - No, I'm dead serious.
[01:52:15.520 --> 01:52:17.200]   - But I think there's power to that.
[01:52:17.200 --> 01:52:22.200]   It's like, how do I protect my mind from influence
[01:52:22.200 --> 01:52:23.260]   - Yeah.
[01:52:23.260 --> 01:52:23.260]   - of human life?
[01:52:23.260 --> 01:52:23.260]   - Yeah.
[01:52:23.260 --> 01:52:23.260]   - How do I protect my mind from influence of human life?
[01:52:23.260 --> 01:52:23.260]   - Yeah.
[01:52:23.260 --> 01:52:23.260]   - How do I protect my mind from influence of human life?
[01:52:23.260 --> 01:52:23.260]   - Yeah.
[01:52:23.260 --> 01:52:51.940]   - How do I protect my mind from influence of human life?
[01:52:51.940 --> 01:52:52.000]   - Yeah.
[01:52:52.000 --> 01:52:52.040]   - How do I protect my mind from influence of human life?
[01:52:52.040 --> 01:52:52.080]   - Yeah.
[01:52:52.080 --> 01:52:52.180]   - How do I protect my mind from influence of human life?
[01:52:52.180 --> 01:52:52.240]   - Yeah.
[01:52:52.240 --> 01:52:52.380]   - How do I protect my mind from influence of human life?
[01:52:52.380 --> 01:52:52.420]   - Yeah.
[01:52:52.420 --> 01:52:52.480]   - How do I protect my mind from influence of human life?
[01:52:52.480 --> 01:52:52.480]   - Yeah.
[01:52:52.480 --> 01:52:52.540]   - How do I protect my mind from influence of human life?
[01:52:52.540 --> 01:52:52.540]   - Yeah.
[01:52:52.540 --> 01:52:52.600]   - How do I protect my mind from influence of human life?
[01:52:52.600 --> 01:52:52.600]   - Yeah.
[01:52:52.600 --> 01:52:52.680]   - How do I protect my mind from influence of human life?
[01:52:52.680 --> 01:52:52.680]   - Yeah. How do I protect my mind from influence of human life?
[01:52:52.720 --> 01:53:02.620]   Ton
[01:53:02.620 --> 01:53:02.980]   without the,,,
[01:53:02.980 --> 01:53:03.820]   end it a Subscribe Sal de
[01:53:03.820 --> 01:53:21.840]   like the can the edge the......................... go goodetic a evol beetje desperately eater a mouvementumen alldz cell likely as in love for Tot próxima buy had L,"S, ., ., . ,, . , . . . ., ., ., . ., . . . ., . . . , . . . . . . . . . . A G . .視 . understand Hel deuis Per latest sa vibe dance� gates is all universe worthlessoshop included Vladimir back i 말� restart coriander El NAG cupboard found woo професс with sch מחacha�PM never sayЬ---- cocon discountsigrampakGrand intense週 xem person視 το Leadership Vil Quin mentallated Lead Bus recreation take atPPGu besl hung talk would end έ hear all已經infl 들�iled �änd got queue es chest hello jetzt bus gan級 deinformation made that is it's Transport provides askmeye de marking provides process grey fus the Or stabbed assess the Mo
[01:53:21.880 --> 01:53:28.080]   show
[01:53:28.080 --> 01:53:32.760]   드..:,,,,
[01:54:49.000 --> 01:54:57.600]  第二個
[01:54:57.600 --> 01:55:00.620]  � i guess. Let,
[01:55:00.620 --> 01:55:12.920]   depths
[01:55:17.520 --> 01:55:46.000]   didnt. I think again, you are doing so much stuff right with Twitter, like charging people money. As soon as you charge people money, they are no longer the product. They are the customer. And then they can start building something that is good for the customer and not good for the other customer, which is the ad agency. As in pick up steam. I pay for Twitter, it doesn't even get me anything. It's my donation to this new business model hopefully working out. Sure, but you know for this business model to work, it's
[01:55:46.000 --> 01:55:46.000]   The end.
[01:55:46.020 --> 01:56:14.520]  ,
[01:56:14.560 --> 01:56:22.060]  ,
[01:56:22.060 --> 01:56:24.740]   the parts. It's aaimer
[01:56:24.740 --> 01:56:42.920]   a
[01:56:43.300 --> 01:56:47.140]  écs the same of them or less of them. I never think more of them. Yeah.
[01:56:47.140 --> 01:56:56.920]   Right. Like, I don't want to mention any names, but like some people who like, you know, maybe you would like read their books and you would respect them. You see them on Twitter and you're like, okay, dude.
[01:56:56.920 --> 01:57:12.000]   Yeah. But there are some people would say, you know, who I respect a lot are people that just post really good technical stuff. Yeah. And I guess I don't know. I think I respect them
[01:57:12.000 --> 01:57:12.000]   more for it.
[01:57:12.000 --> 01:57:12.000]   Yeah. And I guess I don't know. I think I respect them more for it.
[01:57:12.000 --> 01:57:12.000]   Yeah. And I guess I don't know. I think I respect them more for it.
[01:57:12.000 --> 01:57:12.000]   Yeah. And I guess I don't know. I think I respect them more for it.
[01:57:12.000 --> 01:57:12.000]   Yeah. And I guess I don't know. I think I respect them more for it.
[01:57:12.000 --> 01:57:40.740]  , because you realize, oh, this wasn't there's like so much depth to this person to their technical understanding of so many different topics.
[01:57:40.740 --> 01:57:40.740]   Okay.
[01:57:40.740 --> 01:57:40.800]   Okay.
[01:57:40.800 --> 01:57:40.940]   Okay. So I try to follow people. I try to consume stuff that's technical machine learning content.
[01:57:40.940 --> 01:57:41.000]   Okay. So I try to follow people. I try to consume stuff that's technical machine learning content.
[01:57:41.000 --> 01:57:41.140]   There's probably a few of those people.
[01:57:41.140 --> 01:57:41.240]   Okay. So I try to follow people. I try to consume stuff that's technical machine learning content.
[01:57:41.240 --> 01:57:41.340]   Okay. So I try to consume stuff that's technical machine learning content.
[01:57:41.380 --> 01:57:52.000]   buy
[01:57:52.000 --> 01:58:08.140]   cell Bet H
[01:58:33.420 --> 01:58:36.260]   Twitter
[01:58:36.260 --> 01:58:37.260]   It seems like people associated with this, I think,
[01:58:37.260 --> 01:58:37.260]   It seems like people associated with this, I think,
[01:58:37.260 --> 01:58:37.260]   It seems like people associated with this, I think,
[01:58:37.260 --> 01:58:37.260]   It seems like people associated with this, I think,
[01:58:37.260 --> 01:58:37.260]   It seems like people associated with this, I think,
[01:58:37.260 --> 01:58:37.260]   It seems like people associated with this, I think,
[01:58:37.260 --> 01:58:37.340]   It seems like people associated with this, I think,
[01:58:37.340 --> 01:58:37.440]   It seems like people associated with this, I think,
[01:58:37.440 --> 01:58:37.500]   It seems like people associated with this, I think,
[01:58:37.500 --> 01:58:37.540]   It seems like people associated with this, I think,
[01:58:37.540 --> 01:58:37.640]   It seems like people associated with this, I think,
[01:58:37.640 --> 01:58:37.740]   It seems like people associated with this, I think,
[01:58:37.740 --> 01:58:37.800]   It seems like people associated with this, I think,
[01:58:37.800 --> 01:58:37.860]   It seems like people associated with this, I think,
[01:58:37.860 --> 01:58:37.900]   It seems like people associated with this, I think,
[01:58:37.900 --> 01:58:37.940]   It seems like people associated with this, I think,
[01:58:38.020 --> 01:59:06.620]   It seems like people associated with this, I think,
[01:59:06.620 --> 01:59:06.660]   It seems like people associated with this, I think,
[01:59:06.660 --> 01:59:06.700]   It seems like people associated with this, I think,
[01:59:06.700 --> 01:59:06.740]   It seems like people associated with this, I think,
[01:59:06.740 --> 01:59:06.780]   It seems like people associated with this, I think,
[01:59:06.780 --> 01:59:06.820]   It seems like people associated with this, I think,
[01:59:06.820 --> 01:59:06.860]   It seems like people associated with this, I think,
[01:59:06.860 --> 01:59:06.860]   It seems like people associated with this, I think,
[01:59:06.860 --> 01:59:06.900]   It seems like people associated with this, I think,
[01:59:06.900 --> 01:59:06.940]   It seems like people associated with this, I think,
[01:59:06.940 --> 01:59:06.940]   It seems like people associated with this, I think, I think,
[01:59:06.980 --> 01:59:16.180]   pick
[01:59:16.180 --> 01:59:19.500]   ear, push doll. provide,
[01:59:19.500 --> 01:59:24.880]  , my, it's a theircode. And, dec dos de а de oblig� Principal�juk gun, dis a, wasn,收看,personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,--日 delete the und пери shakenuses., want to the never pocket and clique and then has the double brain상이 tough and Todo the area and sweats and well Nikありがとう 4 deserved the end of the invasive條 llevわか started a
[02:00:01.120 --> 02:00:09.220]   of the oligarchy. The oligarchy just de sides what cloth masks are ineffective against COVID. That's a true statement. Every doctor in 2019 knew it and now abandoned Twitter for saying it. Interesting.
[02:00:09.260 --> 02:00:15.380]  enci'm
[02:00:15.380 --> 02:00:37.100]   word,,, feel
[02:00:38.240 --> 02:00:48.520]   provide
[02:00:48.520 --> 02:01:01.940]   or, have at ana
[02:02:32.760 --> 02:02:32.760]   We can train a classifier to absolutely say what level of Maslow's hierarchy of argument are you at? Yeah, if it's ad hominem like okay cool. I turned on the no ad hominem filter. I wonder if there's a social network that will allow you to have that kind of filter. Yeah, so here's a problem with that.
[02:03:30.040 --> 02:03:30.040]   I'm just experiencing that. So my technical recommendation to Elon and I said this on the Twitter spaces afterward. I said this many times during my brief internship.
[02:03:30.040 --> 02:03:30.040]   I'm just experiencing that. So my technical recommendation to Elon and I said this on the Twitter spaces afterward. I said this many times during my brief internship.
[02:03:30.040 --> 02:03:30.040]   I'm just experiencing that. So my technical recommendation to Elon and I said this on the Twitter spaces afterward. I said this many times during my brief internship.
[02:03:30.040 --> 02:03:30.040]   I'm just experiencing that. So my technical recommendation to Elon and I said this on the Twitter spaces afterward. I said this many times during my brief internship.
[02:03:30.080 --> 02:03:39.340]   e
[02:03:39.340 --> 02:03:41.520]  �, like
[02:03:41.520 --> 02:03:52.900]  , just a over. I have a "G"G, ., change,我知道, la bie,兩個, learn, it's... .G, chased, del. некоторые, cab. - loaded, -éro - fees –� -own -As - percent - trous -
[02:04:00.080 --> 02:04:30.080]   gera, cote base, quite interesting. There's a lot of really good software engineers there, but the code base is very large. -The code base was good in 20, in 2005, right? It looks like 2005 era. -There's so many products, so many teams, right? It's very difficult to, um, I feel like Twitter does less, like obviously, much less than Google. In terms of like, the set of features, right? So like, it's, I can imagine the number of software engineers that could recreate Twitter as much smaller than to recreate Google.
[02:04:30.120 --> 02:04:40.680]   roughly
[02:04:40.680 --> 02:04:57.980]  ир setup. I'm saying that, is,
[02:04:57.980 --> 02:04:59.940]  itä grent entre第一個 муж stalk i I sou Unt I and I And I And The God is 20ict count. cauliflower. Monkey. And, you're. It's. G. Y. Report.G.G.G.Gu.G.G.G.G,-G,G.,utto, or, g, /, gute, seem, ma, guessed, circuits, letters,ımı, feed, sh, over,,,, Matt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,他们 Sempre level a just earn .'m. figure in just support end the name, conversation cier
[02:05:59.240 --> 02:06:03.320]   I want to be more complex because you need more lawyers and more legal hours. Right?
[02:06:03.320 --> 02:06:08.960]   Um, I think that's another. If there's two great evils in the world, it's centralization and complexity.
[02:06:08.960 --> 02:06:28.560]   Yeah. And, uh, the one of the sort of hidden, uh, side effects of software engineering is, um, like finding pleasure in complexity. I mean, I don't remember just taking all the software and courses and just doing programming and just coming up in this.
[02:06:28.560 --> 02:06:29.080]   I mean, I don't remember just taking all the software and courses and just doing programming and just coming up in this.
[02:06:29.080 --> 02:06:29.080]   I mean, I don't remember just taking all the software and courses and just doing programming and just coming up in this.
[02:06:29.080 --> 02:06:29.080]   I mean, I don't remember just taking all the software and courses and just doing programming and just coming up in this.
[02:06:29.080 --> 02:06:29.080]   I mean, I don't remember just taking all the software and courses and just doing programming and just coming up in this.
[02:06:29.120 --> 02:06:40.700]  ,
[02:06:40.700 --> 02:06:56.300]   is be都有; N, ., ", like, me, like, prank at the right, els g vie asked the right. I was the reason that was the chin theiamo the
[02:06:58.000 --> 02:07:26.880]   ,, like, planning for features far into the future and planning poorly and all this kind of stuff. And then there's this, like, code base that follows you along and puts pressure on you. And nobody knows what, like, parts different parts do, which slows everything down. There's a kind of bureaucracy that's instilled in the code as a result of that. But then you feel like, oh, well, I follow good software engineering practices. It's an interesting trade off because then you look at like the things that are happening in the world today.
[02:07:26.880 --> 02:07:26.880]   The
[02:07:26.880 --> 02:07:55.780]  .
[02:07:55.780 --> 02:07:55.780]   The
[02:07:55.780 --> 02:07:55.860]   The
[02:07:55.900 --> 02:08:05.740]   wasn
[02:08:05.740 --> 02:08:21.800]   was recommend
[02:08:24.620 --> 02:08:32.340]   I spoke to a bunch of
[02:08:32.340 --> 02:08:34.340]   individual contributors at Twitter
[02:08:34.340 --> 02:08:36.340]   and I just asked
[02:08:36.340 --> 02:08:38.340]   what's wrong with this place
[02:08:38.340 --> 02:08:40.340]   why does this code look like this
[02:08:40.340 --> 02:08:42.340]   and they explained to me what Twitter's promotion system was
[02:08:42.340 --> 02:08:44.340]   the way that you got promoted
[02:08:44.340 --> 02:08:46.340]   at Twitter was you wrote a library
[02:08:46.340 --> 02:08:48.340]   that a lot of people used
[02:08:48.340 --> 02:08:50.340]   right
[02:08:50.340 --> 02:08:52.340]   so some guy wrote an NGINX
[02:08:52.340 --> 02:08:53.340]   replacement for Twitter
[02:08:53.340 --> 02:08:53.340]   and they explained to me
[02:08:53.340 --> 02:08:53.340]   that you wrote a library
[02:08:53.340 --> 02:08:53.340]   that a lot of people used
[02:08:53.340 --> 02:08:53.340]   right
[02:08:53.340 --> 02:08:53.340]   so some guy wrote an NGINX
[02:08:53.340 --> 02:08:53.340]   replacement for Twitter
[02:08:53.340 --> 02:08:53.340]   right
[02:08:53.340 --> 02:08:53.340]   so some guy wrote an NGINX
[02:08:53.340 --> 02:08:53.340]   replacement for Twitter
[02:08:53.340 --> 02:08:53.340]   right
[02:08:53.340 --> 02:08:53.340]   so some guy wrote an NGINX
[02:08:53.340 --> 02:08:53.340]   replacement for Twitter
[02:08:53.340 --> 02:08:53.340]   so some guy wrote an NGINX
[02:08:53.340 --> 02:08:53.340]   replacement for Twitter
[02:08:53.340 --> 02:08:53.340]   so some guy wrote an NGINX
[02:08:53.340 --> 02:08:53.340]   replacement for Twitter
[02:08:53.340 --> 02:08:53.340]   so some guy wrote an NGINX
[02:08:53.580 --> 02:09:22.080]   I'm not going to get promoted if you use NGINX
[02:09:22.080 --> 02:09:22.080]   replacement for Twitter why does twitter need an NGINX replacement what was wrong with NGINX you see you see you're not going to get promoted if you use NGINX but if you write a replacement and lots of people start using it as the twitter front end for their product then you're going to get promoted right so interesting because like from an individual perspective how do you incentivize how do you create the kind of incentives that would lead to a great code base what's the answer to that so what's the answer to that so what I do at
[02:09:22.120 --> 02:09:33.040]   be
[02:09:33.040 --> 02:09:33.940]   Els I, as,
[02:09:33.940 --> 02:09:51.700]  , or and it and sound sc Mehr P L B I I wax Th detailing kin
[02:10:36.700 --> 02:10:39.620]  obedient.
[02:10:39.620 --> 02:10:44.500]   I have good intuition, intuition that's laden with wisdom from all the battles of trying to reduce complexity and code basis.
[02:10:44.500 --> 02:10:48.000]   You know, I took a political approach at Comma too that I think is pretty interesting.
[02:10:48.000 --> 02:10:49.500]   I think Elon takes the same political approach.
[02:10:49.500 --> 02:10:56.300]   You know, Google had no politics and what ended up happening is the absolute worst kind of politics took over.
[02:10:56.300 --> 02:11:01.600]   Comma has an extreme amount of politics and they're all mine and no dissidence is tolerated.
[02:11:01.600 --> 02:11:03.700]   So it's a dictatorship.
[02:11:03.700 --> 02:11:04.000]   Yep.
[02:11:04.000 --> 02:11:05.400]   It's an absolute dictatorship.
[02:11:05.400 --> 02:11:05.800]   Right?
[02:11:05.800 --> 02:11:06.500]   You want to do the same thing?
[02:11:06.500 --> 02:11:06.600]   Yeah.
[02:11:06.600 --> 02:11:06.680]   Yeah.
[02:11:07.620 --> 02:11:11.000]   the same thing.
[02:11:11.000 --> 02:11:35.120]   Yeah. The thing about my dictatorship is here are my values. Yeah. It's transparent. It's a transparent dictatorship, right? And you can choose to opt in or you know, you get free exit. That's the beauty of companies. If you don't like the dictatorship, you quit. So you mentioned rewrite before or refactor before features. If you were to refactor the Twitter code base, what would that look like? And maybe also comment on how difficult is it to refactor?
[02:11:35.120 --> 02:11:36.520]   The main thing I would do is I would like to have a public comment on this.
[02:11:36.660 --> 02:12:06.460]  , I would like to have a public comment on this.
[02:12:06.460 --> 02:12:06.540]   The main thing I would do is I would like to have a public comment on this.
[02:12:06.540 --> 02:12:06.540]   The main thing I would do is I would like to have a public comment on this.
[02:12:06.540 --> 02:12:06.540]   The main thing I would do is I would like to have a public comment on this.
[02:12:06.540 --> 02:12:06.540]   The main thing I would do is I would like to have a public comment on this.
[02:12:06.540 --> 02:12:06.540]   The main thing I would do is I would like to have a public comment on this.
[02:12:06.540 --> 02:12:06.540]   The main thing I would do is I would like to have a public comment on this.
[02:12:06.540 --> 02:12:06.540]   The main thing I would do is I would like to have a public comment on this.
[02:12:06.560 --> 02:12:36.560]   It was taken by people who started out with a bad faith assumption.
[02:12:36.560 --> 02:12:36.560]   It was taken by people who started out with a bad faith assumption.
[02:12:36.560 --> 02:12:36.560]   It was taken by people who started out with a bad faith assumption.
[02:12:36.560 --> 02:12:36.560]   It was taken by people who started out with a bad faith assumption.
[02:12:36.560 --> 02:12:36.560]   It was taken by people who started out with a bad faith assumption.
[02:12:36.560 --> 02:12:36.560]   It was taken by people who started out with a bad faith assumption.
[02:12:36.560 --> 02:12:36.560]   It was taken by people who started out with a bad faith assumption.
[02:12:36.560 --> 02:12:36.560]   It was taken by people who started out with a bad faith assumption.
[02:12:36.560 --> 02:12:36.560]   It was taken by people who started out with a bad faith assumption.
[02:12:36.560 --> 02:12:36.560]   It was taken by people who started out with a bad faith assumption.
[02:12:36.560 --> 02:12:36.560]   It was taken by people who started out with a bad faith assumption.
[02:12:36.560 --> 02:12:36.560]   It was taken by people who started out with a bad faith assumption.
[02:12:36.560 --> 02:13:06.580]  ,
[02:13:06.580 --> 02:13:06.580]   It was taken by people who started out with a bad faith assumption.
[02:13:06.580 --> 02:13:06.580]   It was taken by people who started out with a bad faith assumption.
[02:13:06.580 --> 02:13:06.580]   It was taken by people who started out with a bad faith assumption.
[02:13:06.580 --> 02:13:06.580]   It was taken by people who started out with a bad faith assumption.
[02:13:06.580 --> 02:13:06.580]   It was taken by people who started out with a bad faith assumption.
[02:13:06.580 --> 02:13:06.580]   It was taken by people who started out with a bad faith assumption.
[02:13:06.580 --> 02:13:06.580]   It was taken by people who started out with a bad faith assumption.
[02:13:06.600 --> 02:13:36.600]   It was taken by people who started out with a bad faith assumption.
[02:13:36.600 --> 02:13:36.600]   It was taken by people who started out with a bad faith assumption.
[02:13:36.600 --> 02:13:36.600]   It was taken by people who started out with a bad faith assumption.
[02:13:36.600 --> 02:13:36.600]   It was taken by people who started out with a bad faith assumption.
[02:13:36.600 --> 02:13:36.600]   It was taken by people who started out with a bad faith assumption.
[02:13:36.600 --> 02:13:36.600]   It was taken by people who started out with a bad faith assumption.
[02:13:36.600 --> 02:13:36.600]   It was taken by people who started out with a bad faith assumption.
[02:13:36.600 --> 02:13:36.600]   It was taken by people who started out with a bad faith assumption.
[02:13:36.600 --> 02:13:36.600]   It was taken by people who started out with a bad faith assumption.
[02:13:36.600 --> 02:13:36.600]   It was taken by people who started out with a bad faith assumption.
[02:13:36.600 --> 02:13:36.600]   It was taken by people who started out with a bad faith assumption.
[02:13:36.600 --> 02:13:36.600]   It was taken by people who started out with a bad faith assumption.
[02:13:36.600 --> 02:13:36.600]   It was taken by people who started out with a bad faith assumption.
[02:13:36.640 --> 02:14:06.620]   It was taken by people who started out with a bad faith assumption.
[02:14:06.620 --> 02:14:06.620]   It was taken by people who started out with a bad faith assumption.
[02:14:06.620 --> 02:14:06.620]   It was taken by people who started out with a bad faith assumption.
