
[00:00:00.040 --> 00:00:05.060]   Despite having dozens of cards and millions of points, I recently went deep on Citibank,
[00:50:39.020 --> 00:50:44.460]   at least at those ratios. Finally, one last great thing about Citi is that you can transfer points to
[00:50:44.460 --> 00:50:50.540]   anyone else. However, when you transfer points, there is a limit, you can only transfer up to 100,000 points,
[00:50:50.540 --> 00:50:57.100]   someone can only receive 100,000 points, and those points expire after 90 days. But if you wanted to
[00:50:57.100 --> 00:51:02.380]   combine points and book one vacation out of one person's account, or one person has earned status,
[00:51:02.380 --> 00:51:07.660]   you could add 100,000 points from your account and they can transfer them to their transfer partners.
[00:51:07.660 --> 00:51:12.940]   And that give you a little bit easier ability to do that. There are mixed reports. Some people are
[00:51:12.940 --> 00:51:17.820]   saying that you can transfer from your Citi account to the loyalty program of an authorized user. Some are
[00:51:17.820 --> 00:51:22.380]   saying you can't, I'm not sure. And also you can transfer your points, as I mentioned earlier,
[00:51:22.380 --> 00:51:27.740]   between cards. So even though the Citi double cash card can't transfer to airlines and hotels,
[00:51:27.740 --> 00:51:32.620]   the Strata Premier can and you can transfer your points from your double cash to your Strata Premier.
[00:51:32.620 --> 00:51:38.220]   The only weird edge case here is that all your points, even if you've moved them,
[00:51:38.220 --> 00:51:42.940]   are still somehow on the back end tied to the card they were earned on. And so let's say you had
[00:51:42.940 --> 00:51:48.380]   100,000 points you earned on your Citi double cash card and 10,000 you earned on your Strata Premier
[00:51:48.380 --> 00:51:53.260]   card and you moved them all over. Now you've got 110,000 in your Strata Premier. If you close your
[00:51:53.260 --> 00:52:00.380]   double cash card, 60 days later, those points are expired. And so even though they might be living in
[00:52:00.380 --> 00:52:06.780]   in the Strata Premier system right now, they will still expire after 60 days. So general advice is
[00:52:06.780 --> 00:52:12.380]   until you have zero points, if you've ever merged or moved points around, I would say just downgrade
[00:52:12.380 --> 00:52:18.460]   whatever card you want to cancel to a free card, because it's not not a not a real problem if you
[00:52:18.460 --> 00:52:23.980]   have a card and you just leave it open. So that's Citi thank you points. Let me talk about at a high
[00:52:23.980 --> 00:52:29.660]   level, what I think is the summary of Citi. What is exciting about Citi? The most exciting few things
[00:52:29.660 --> 00:52:34.060]   are, look, if you care about American status or lounge access, Citi is really the only place to go.
[00:52:34.060 --> 00:52:40.140]   And then if you want to diversify beyond Chase and Amex, there's a lot of interesting reasons to do that.
[00:52:40.140 --> 00:52:46.940]   Like I mentioned, Eva Air, one to one ratio is the only place you can get it. Turkish has some good
[00:52:46.940 --> 00:52:52.140]   sweet spots, not as many as they used to. Turkish is not on Chase and Amex. And then Cathay,
[00:52:52.140 --> 00:52:58.300]   Qantas and Etihad are all not on Chase as well. So you get some new options on the hotels front,
[00:52:58.300 --> 00:53:02.860]   you get choice at one to two leading hotels in the world and preferred, which are also not Chase and
[00:53:02.860 --> 00:53:07.980]   Amex. So a lot of good options, at least choice at that transfer ratio is not, but a lot of good hotel
[00:53:07.980 --> 00:53:15.820]   options. On the earning side, I was really surprised to see what I'm going to share. So I used the
[00:53:15.820 --> 00:53:21.900]   credit card optimizer tool I built, and there's a link to it on the website. And I went in and I used
[00:53:21.900 --> 00:53:27.580]   Bureau of Labor Statistics standard earning data for a household earning, I think, over $100,000.
[00:53:27.580 --> 00:53:35.100]   And just said, what if people had the best two card combo from all major issuers? What would their
[00:53:35.100 --> 00:53:44.700]   average points earning ratio be? So worst in the pack is actually Chase. So that's primarily because the
[00:53:44.700 --> 00:53:49.740]   best everything else card is the Freedom Unlimited, which only earns one and a half points.
[00:53:49.740 --> 00:53:54.380]   And so with Chase, the best combo would be the Chase Sapphire Reserve and the Freedom Unlimited,
[00:53:54.380 --> 00:54:00.540]   you'd get 3x travel dining, one and a half x everything else for a total annual fees of $550.
[00:54:00.540 --> 00:54:07.840]   But the average earning there is 1.91x points. So you're not even getting an average of 2x points, which
[00:54:07.840 --> 00:54:13.440]   obviously, if you're doing City getting your second card as the double cash, the floor is 2x points.
[00:54:13.440 --> 00:54:17.520]   So not great. If you went to the Sapphire Preferred instead of the Sapphire Reserve,
[00:54:17.520 --> 00:54:23.840]   you'd be getting 1.79x on everything. Obviously, your own spending affects this. If you want to go use
[00:54:23.840 --> 00:54:30.880]   the tool I built, you can put in your own spending and see. But Chase is really low in the pack. Worst
[00:54:30.880 --> 00:54:38.960]   worst here when it comes to a two card combo. Next is Amex. I guess the best Amex two card combo,
[00:54:38.960 --> 00:54:45.600]   if you're not talking business cards, would be the Amex Gold and the Amex Green. You'd get travel,
[00:54:45.600 --> 00:54:54.080]   transit, dining, and groceries. And you'd get a $400 of annual fees. And your earning average rate would be
[00:54:54.080 --> 00:55:00.200]   1.96. Now, if you replace the Amex Green with the Blue Business Plus, which earns 2x points on up to
[00:55:00.200 --> 00:55:06.840]   $50,000 a year with no annual fee, you'd have a much higher earning rate of 2.37. But again,
[00:55:06.840 --> 00:55:13.680]   that's using the BLS data. If I use my own spending, which that everything else category goes over $50,000
[00:55:13.680 --> 00:55:19.620]   a year, it really starts to weigh that average down because then you're earning 1x on everything else.
[00:55:19.620 --> 00:55:25.100]   Amex is really a bad platform for the everything else category because they don't have a card that
[00:55:25.100 --> 00:55:29.400]   earns 1.5x unlimited or 2x unlimited on the everything category.
[00:55:29.520 --> 00:55:35.260]   So then you come to the three real contenders for a two card combo in one ecosystem.
[00:55:35.260 --> 00:55:42.860]   You've got Capital One with the Venture Card and the Saver Card. So $95 of annual fees,
[00:55:42.860 --> 00:55:50.720]   2.26 earning on everything. With the Saver, you get 3x dining, groceries, streaming, and entertainment.
[00:55:51.160 --> 00:55:57.680]   And you've got very similar transfer partners actually to Citi. So Citi has a better, you get
[00:55:57.680 --> 00:56:04.000]   JetBlue, you get EVA 1 to 1, you get Choice at 1 to 2 instead of 1 to 1 and some other hotel stuff.
[00:56:04.000 --> 00:56:08.780]   And then Capital One has Tap Portugal, which is a pretty matte airline to redeem points on.
[00:56:08.900 --> 00:56:17.120]   So I'd say comparing these two, Citi's at the top of the pack, 2.33x with the Strata Premier and the Double Cash.
[00:56:17.120 --> 00:56:23.240]   Just to recap, Strata Premier is getting 3x on dining, gas, grocery, hotels, and flights on a $95 annual fee.
[00:56:24.240 --> 00:56:29.980]   So 2.33x on everything. Now, the other card that's really close behind, and when I say really close,
[00:56:29.980 --> 00:56:36.160]   the Citi average for a two card combo was 2.33x and the Wells Fargo average was 2.32x.
[00:56:36.160 --> 00:56:45.320]   So 0.01% less in terms of points. And that is the Wells Fargo autograph card paired with the Wells Fargo
[00:56:45.320 --> 00:56:50.580]   active cash card. Now, it has $0 annual fee. So maybe you could say that takes the cake.
[00:56:50.580 --> 00:56:56.980]   And the autograph card is doing 3x on dining, travel, transit, gas, streaming, and cell phones.
[00:56:56.980 --> 00:57:03.080]   So pretty compelling alternative to the Citi Premier card. What you miss there is you don't get the
[00:57:03.080 --> 00:57:08.660]   grocery spend. But the thing I don't love about Wells Fargo is they have a much, much more limited
[00:57:08.660 --> 00:57:12.720]   set of transfer partners. They've only got five airlines that you can transfer to.
[00:57:12.720 --> 00:57:19.000]   And on the hotel front, they only have one hotel program. So they do have choice at one to two,
[00:57:19.000 --> 00:57:23.260]   which is nice, but that's it. So you're just really, really limited with Wells Fargo.
[00:57:23.260 --> 00:57:26.780]   And I think everyone thought when Wells Fargo launched all these transfer partners,
[00:57:26.780 --> 00:57:31.140]   that there would be a ton of options that were getting added and added month and month after month.
[00:57:31.460 --> 00:57:34.900]   But unfortunately, it turns out they were not added month and month after month.
[00:57:34.900 --> 00:57:39.120]   And they really haven't added a ton of transfer partners. So I think Wells Fargo is an interesting
[00:57:39.120 --> 00:57:44.420]   earning rate. The cards are compelling, but I think the program just isn't where the Citi program is.
[00:57:44.420 --> 00:57:48.340]   So at the end of the day, if you want a two card combo and you want it from one issuer,
[00:57:48.340 --> 00:57:53.160]   I think the Citi Premier and the double cash from an earning standpoint is the best option out there.
[00:57:53.420 --> 00:57:58.740]   I went in and replaced the BLS spending with my spending data and it was still the best card out
[00:57:58.740 --> 00:58:05.620]   there compared to all the others. So really, really impressive combo that I do not have both of yet.
[00:58:05.620 --> 00:58:12.640]   I don't have the double cash. Where I think that Citi is less exciting is that it's just really hard to
[00:58:12.640 --> 00:58:18.260]   get these points. There are not tons of cards all the time with massive signup bonuses and upgrade
[00:58:18.260 --> 00:58:23.220]   bonuses. And you can't get a bunch of different business cards and accrue tons of points.
[00:58:23.220 --> 00:58:28.360]   So for me right now, I want to get the double cash card and add it to the list so I can start
[00:58:28.360 --> 00:58:32.440]   building up enough Citi points that those EVA air and hotel bookings are possible.
[00:58:32.600 --> 00:58:38.760]   But it is hard, right? I'm three months into this with a 75,000 point signup bonus and I don't think
[00:58:38.760 --> 00:58:43.800]   I've cracked 100,000 points yet. So it's really hard to get Citi points. They also don't have a
[00:58:43.800 --> 00:58:48.680]   refer a friend program. They also don't have points that you get from a shopping portal. So that's hard
[00:58:48.680 --> 00:58:53.540]   and they have lower limits. Even if I maxed my Citi Strata Premier card out every single month of the
[00:58:53.540 --> 00:58:59.480]   year, I would barely earn 100,000 points because the limit is so low. Hopefully, I can get that up over
[00:58:59.480 --> 00:59:04.020]   time. But just throwing it out there that that's one of the reasons to not be excited about Citi.
[00:59:04.020 --> 00:59:10.520]   The only thing I didn't mention, which I'll just jump back to quickly, is like Chase and Amex and Bank
[00:59:10.520 --> 00:59:15.000]   of America, Citi does have merchant offers. I thought I'd do a quick run through of them.
[00:59:15.000 --> 00:59:21.140]   I have them pulled up on my screen. One cool thing is I'm looking right now. Similarly, they work with
[00:59:21.140 --> 00:59:27.480]   card pointers. So whenever I open the Citi page, card pointers, auto ads, all of these offers to my cards.
[00:59:27.480 --> 00:59:32.840]   If you haven't used card pointers, I've saved hundreds of dollars by having these offers auto
[00:59:32.840 --> 00:59:37.240]   added. Definitely worth checking them out. It's also a great way to just pull up on your phone and say,
[00:59:37.240 --> 00:59:42.720]   Hey, do I have any card offers? At Lyft, JetBlue, whatever retailer you're going to, or even a
[00:59:42.720 --> 00:59:49.300]   restaurant, you might be surprised. So love that. I think you can get 30% off at allthehacks.com
[00:59:49.300 --> 00:59:55.120]   slash card pointers, 50% off for members, all the Hacks members. And it's really interesting.
[00:59:55.120 --> 00:59:59.440]   So if I look at the offers, they're not as compelling as what you get with Chase and Amex,
[00:59:59.440 --> 01:00:03.580]   but there were some that I thought are worth mentioning. You know, they had an offer for Lyft,
[01:00:03.580 --> 01:00:10.900]   $5 off $25 spend, $25 off $250 of JetBlue, $50 off $150 at Trust & Will.
[01:00:12.180 --> 01:00:16.800]   An interesting one was 4% back at Giant, the grocery store. We don't have them in the Bay
[01:00:16.800 --> 01:00:22.680]   Area, but you could do it up to 10 times for up to $30. But some of them are really, really tiny
[01:00:22.680 --> 01:00:31.040]   offers. So Walmart, 4% back up to $3. I saw one for 8% back on my FICO. I was kind of disappointed
[01:00:31.040 --> 01:00:35.340]   because I paid for that and I didn't use an offer. I don't think I had gotten the card yet,
[01:00:35.340 --> 01:00:41.880]   but still. And then last, there was one for Dropbox, 20% off $100 plus purchase at Dropbox,
[01:00:41.880 --> 01:00:44.900]   which I will likely use because I think my Dropbox plan renews.
[01:00:44.900 --> 01:00:50.640]   They did have a bunch of local restaurants, like five to 10, five or six restaurants that we actually
[01:00:50.640 --> 01:00:55.900]   go to that are local where we live in our Bay Area suburb in town. Most of them were all offering
[01:00:55.900 --> 01:01:00.700]   6% back. Obviously, they're probably partnered with some other platform to do this because I just
[01:01:00.700 --> 01:01:05.720]   don't think that Citi is making deals with all these small restaurants. But at the end of the
[01:01:05.720 --> 01:01:11.400]   day, there's 315 offers on my account. And almost all of them except the ones I mentioned are pretty
[01:01:11.400 --> 01:01:18.960]   low 1% to 10% back with caps. None of the massive crazy offers that I've seen with Citi and Amex lately.
[01:01:18.960 --> 01:01:24.080]   So good that they have them. Good to get them all added. Good to know where they are,
[01:01:24.080 --> 01:01:30.080]   but probably not going to add a huge amount of earning. So that's my end. I'm really excited to be
[01:01:30.360 --> 01:01:34.160]   in the Citi ecosystem. I'm excited to do this episode because I think there's a lot of opportunity
[01:01:34.160 --> 01:01:39.840]   here. Even if you want to just go cash back, the combo of Citi Strata Premier and Double Cash,
[01:01:39.840 --> 01:01:44.860]   using those for cash back is a pretty compelling option as well. So if you like this, if you don't
[01:01:44.860 --> 01:01:52.400]   like this, would love feedback. Podcast at allthehacks.com is the email. Expect another one of these on each
[01:01:52.400 --> 01:01:58.600]   program. I'm probably going to focus on the ones first that are less well-known. Things like Bank of
[01:01:58.600 --> 01:02:03.560]   America and Wells Fargo and U.S. Bank that we haven't dove into as much, though most of the
[01:02:03.560 --> 01:02:08.560]   exciting U.S. Bank cards are no longer available or have been knocked down a bit. So maybe we'll skip
[01:02:08.560 --> 01:02:13.120]   that. And then I'm going to do everything I can to try to put the Chase and Amex one out on the main
[01:02:13.120 --> 01:02:18.120]   feed. But I think realistically, it's going to be tough. So if you want those, definitely check out
[01:02:18.120 --> 01:02:24.140]   the member site, allthehacks.com slash join. We'll do the Chase and Amex ones there. And that's it for
[01:02:24.140 --> 01:02:25.940]   this week. So I will see you next week.

